# _root_ More taunting in the parking lot , the players said , led to a fight .
#goldHeads=2,12,2,6,6,3,10,9,10,0,10,10,12,15,13,12,
#predictedHeads=2,10,2,6,6,3,10,9,10,0,10,10,12,15,13,12,
(8,6),-1.93669 # DEPENDENCYPART_ARC
(8,7),-0.762369 # DEPENDENCYPART_ARC
(8,9),-0.378794 # DEPENDENCYPART_ARC
(8,10),-0.364467 # DEPENDENCYPART_ARC
(8,11),-0.970831 # DEPENDENCYPART_ARC
(8,12),-1.42914 # DEPENDENCYPART_ARC
(8,13),-1.76011 # DEPENDENCYPART_ARC
(8,14),-2.56293 # DEPENDENCYPART_ARC
(8,15),-2.02709 # DEPENDENCYPART_ARC
(8,16),-1.71492 # DEPENDENCYPART_ARC
(9,1),-1.68603 # DEPENDENCYPART_ARC
(9,2),-2.10346 # DEPENDENCYPART_ARC
(9,3),-1.1602 # DEPENDENCYPART_ARC
(9,4),1.52337 # DEPENDENCYPART_ARC
(9,5),0.536705 # DEPENDENCYPART_ARC
(9,6),-0.829927 # DEPENDENCYPART_ARC
(9,7),0.727674 # DEPENDENCYPART_ARC
(9,8),4.56921 # DEPENDENCYPART_ARC
(9,10),1.69397 # DEPENDENCYPART_ARC
(9,11),1.08977 # DEPENDENCYPART_ARC
(9,12),0.742762 # DEPENDENCYPART_ARC
(9,13),0.385342 # DEPENDENCYPART_ARC
(9,14),-0.01143 # DEPENDENCYPART_ARC
(9,15),-0.327505 # DEPENDENCYPART_ARC
(9,16),0.275635 # DEPENDENCYPART_ARC
(10,1),-0.679467 # DEPENDENCYPART_ARC
(10,2),0.408397 # DEPENDENCYPART_ARC
(10,3),0.305032 # DEPENDENCYPART_ARC
(10,4),-0.880939 # DEPENDENCYPART_ARC
(10,5),0.510309 # DEPENDENCYPART_ARC
(10,6),-0.19413 # DEPENDENCYPART_ARC
(10,7),3.59746 # DEPENDENCYPART_ARC
(10,8),0.887673 # DEPENDENCYPART_ARC
(10,9),2.60519 # DEPENDENCYPART_ARC
(10,11),3.2161 # DEPENDENCYPART_ARC
(10,12),3.45709 # DEPENDENCYPART_ARC
(10,13),-0.354848 # DEPENDENCYPART_ARC
(10,14),-1.34467 # DEPENDENCYPART_ARC
(10,15),-2.37962 # DEPENDENCYPART_ARC
(10,16),3.15001 # DEPENDENCYPART_ARC
(11,1),-2.51428 # DEPENDENCYPART_ARC
(11,2),-1.82665 # DEPENDENCYPART_ARC
(11,3),-2.09004 # DEPENDENCYPART_ARC
(11,4),-1.59598 # DEPENDENCYPART_ARC
(11,5),-1.68129 # DEPENDENCYPART_ARC
(11,6),-1.79782 # DEPENDENCYPART_ARC
(11,7),-0.202668 # DEPENDENCYPART_ARC
(11,8),-0.870146 # DEPENDENCYPART_ARC
(11,9),-1.82898 # DEPENDENCYPART_ARC
(11,10),-0.829797 # DEPENDENCYPART_ARC
(11,12),0.28815 # DEPENDENCYPART_ARC
(11,13),-0.828126 # DEPENDENCYPART_ARC
(11,14),-1.33373 # DEPENDENCYPART_ARC
(11,15),-1.63424 # DEPENDENCYPART_ARC
(11,16),-1.36734 # DEPENDENCYPART_ARC
(12,1),-0.267852 # DEPENDENCYPART_ARC
(12,2),0.360905 # DEPENDENCYPART_ARC
(12,3),0.034053 # DEPENDENCYPART_ARC
(12,4),-0.824056 # DEPENDENCYPART_ARC
(12,5),0.386463 # DEPENDENCYPART_ARC
(12,6),0.367114 # DEPENDENCYPART_ARC
(12,7),0.940112 # DEPENDENCYPART_ARC
(12,8),0.529808 # DEPENDENCYPART_ARC
(12,9),1.47741 # DEPENDENCYPART_ARC
(12,10),0.113776 # DEPENDENCYPART_ARC
(12,11),1.9879 # DEPENDENCYPART_ARC
(12,13),4.70177 # DEPENDENCYPART_ARC
(12,14),0.924865 # DEPENDENCYPART_ARC
(12,15),1.75727 # DEPENDENCYPART_ARC
(12,16),3.98788 # DEPENDENCYPART_ARC
(13,1),-2.5799 # DEPENDENCYPART_ARC
(13,2),-2.35068 # DEPENDENCYPART_ARC
(13,3),-1.15728 # DEPENDENCYPART_ARC
(13,4),-1.13774 # DEPENDENCYPART_ARC
(13,5),-1.91766 # DEPENDENCYPART_ARC
(13,6),-1.94104 # DEPENDENCYPART_ARC
(13,7),-0.85763 # DEPENDENCYPART_ARC
(13,8),-0.602757 # DEPENDENCYPART_ARC
(13,9),-1.16527 # DEPENDENCYPART_ARC
(13,10),-0.314504 # DEPENDENCYPART_ARC
(13,11),-0.146247 # DEPENDENCYPART_ARC
(13,12),0.56507 # DEPENDENCYPART_ARC
(13,14),1.40334 # DEPENDENCYPART_ARC
(13,15),3.44781 # DEPENDENCYPART_ARC
(13,16),0.315072 # DEPENDENCYPART_ARC
(14,1),-2.1438 # DEPENDENCYPART_ARC
(14,2),-3.30634 # DEPENDENCYPART_ARC
(14,3),-2.30834 # DEPENDENCYPART_ARC
(14,4),-1.73502 # DEPENDENCYPART_ARC
(14,5),-2.82726 # DEPENDENCYPART_ARC
(14,6),-2.76551 # DEPENDENCYPART_ARC
(14,7),-2.25652 # DEPENDENCYPART_ARC
(14,8),-1.42638 # DEPENDENCYPART_ARC
(14,9),-2.07824 # DEPENDENCYPART_ARC
(14,10),-1.85693 # DEPENDENCYPART_ARC
(14,11),-1.2324 # DEPENDENCYPART_ARC
(14,12),-1.3955 # DEPENDENCYPART_ARC
(14,13),-0.441995 # DEPENDENCYPART_ARC
(14,15),0.594822 # DEPENDENCYPART_ARC
(14,16),-1.2267 # DEPENDENCYPART_ARC
(15,1),-2.48307 # DEPENDENCYPART_ARC
(15,2),-5.66749 # DEPENDENCYPART_ARC
(15,3),-0.636401 # DEPENDENCYPART_ARC
(15,4),-2.38928 # DEPENDENCYPART_ARC
(15,5),-2.9238 # DEPENDENCYPART_ARC
(15,6),-4.1695 # DEPENDENCYPART_ARC
(15,7),-0.563083 # DEPENDENCYPART_ARC
(15,8),-1.07301 # DEPENDENCYPART_ARC
(15,9),-0.63016 # DEPENDENCYPART_ARC
(15,10),-0.475542 # DEPENDENCYPART_ARC
(15,11),0.196597 # DEPENDENCYPART_ARC
(15,12),0.467364 # DEPENDENCYPART_ARC
(15,13),0.472249 # DEPENDENCYPART_ARC
(15,14),4.80238 # DEPENDENCYPART_ARC
(15,16),0.560604 # DEPENDENCYPART_ARC
(16,1),-1.46924 # DEPENDENCYPART_ARC
(16,2),-1.71176 # DEPENDENCYPART_ARC
(16,3),-2.48998 # DEPENDENCYPART_ARC
(16,4),-1.66874 # DEPENDENCYPART_ARC
(16,5),-2.04656 # DEPENDENCYPART_ARC
(16,6),-1.72527 # DEPENDENCYPART_ARC
(16,7),-0.227168 # DEPENDENCYPART_ARC
(16,8),-1.10953 # DEPENDENCYPART_ARC
(16,9),-1.54721 # DEPENDENCYPART_ARC
(16,10),-0.706959 # DEPENDENCYPART_ARC
(16,11),-0.538802 # DEPENDENCYPART_ARC
(16,12),-0.885282 # DEPENDENCYPART_ARC
(16,13),-0.970901 # DEPENDENCYPART_ARC
(16,14),-0.78999 # DEPENDENCYPART_ARC
(16,15),-1.89097 # DEPENDENCYPART_ARC
