# _root_ Some traders said that the closely watched Major Market Index , whose 20 stocks mimic the Dow industrials , did n't lead yesterday 's big rally .
#goldHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,10,18,18,15,10,4,20,20,26,23,26,22,3,
#predictedHeads=2,3,0,3,10,7,10,10,10,20,10,14,14,15,4,18,18,15,10,4,20,20,26,23,26,22,3,
(4,6),0.177265 # DEPENDENCYPART_ARC
(4,7),0.619463 # DEPENDENCYPART_ARC
(4,8),-1.57263 # DEPENDENCYPART_ARC
(4,9),-1.597 # DEPENDENCYPART_ARC
(4,10),-1.25703 # DEPENDENCYPART_ARC
(4,11),1.66182 # DEPENDENCYPART_ARC
(4,12),-1.00143 # DEPENDENCYPART_ARC
(4,13),-2.42324 # DEPENDENCYPART_ARC
(4,14),-2.22014 # DEPENDENCYPART_ARC
(4,15),1.86049 # DEPENDENCYPART_ARC
(4,16),-3.81685 # DEPENDENCYPART_ARC
(4,17),-5.44518 # DEPENDENCYPART_ARC
(4,18),-4.78408 # DEPENDENCYPART_ARC
(4,19),1.15313 # DEPENDENCYPART_ARC
(4,20),3.63787 # DEPENDENCYPART_ARC
(4,21),-1.49546 # DEPENDENCYPART_ARC
(4,22),0.566448 # DEPENDENCYPART_ARC
(4,23),-9.19839 # DEPENDENCYPART_ARC
(4,24),-3.34568 # DEPENDENCYPART_ARC
(4,25),-2.88725 # DEPENDENCYPART_ARC
(4,26),-6.1529 # DEPENDENCYPART_ARC
(4,27),1.08034 # DEPENDENCYPART_ARC
(5,1),-0.985849 # DEPENDENCYPART_ARC
(5,2),-1.38022 # DEPENDENCYPART_ARC
(5,3),-1.26215 # DEPENDENCYPART_ARC
(5,4),-0.250159 # DEPENDENCYPART_ARC
(5,6),-0.401196 # DEPENDENCYPART_ARC
(5,7),-0.0935482 # DEPENDENCYPART_ARC
(5,8),-1.07177 # DEPENDENCYPART_ARC
(5,9),-1.23161 # DEPENDENCYPART_ARC
(5,10),-1.32764 # DEPENDENCYPART_ARC
(5,11),-0.682623 # DEPENDENCYPART_ARC
(5,12),-1.65016 # DEPENDENCYPART_ARC
(5,13),-1.57588 # DEPENDENCYPART_ARC
(5,14),-1.73463 # DEPENDENCYPART_ARC
(5,15),-1.44536 # DEPENDENCYPART_ARC
(5,16),-2.80335 # DEPENDENCYPART_ARC
(5,17),-2.66898 # DEPENDENCYPART_ARC
(5,18),-2.17477 # DEPENDENCYPART_ARC
(5,19),-0.993388 # DEPENDENCYPART_ARC
(5,20),-3.1159 # DEPENDENCYPART_ARC
(5,21),-2.5938 # DEPENDENCYPART_ARC
(5,22),-3.12128 # DEPENDENCYPART_ARC
(5,23),-2.58508 # DEPENDENCYPART_ARC
(5,24),-3.48004 # DEPENDENCYPART_ARC
(5,25),-2.96122 # DEPENDENCYPART_ARC
(5,26),-2.98373 # DEPENDENCYPART_ARC
(5,27),-2.12535 # DEPENDENCYPART_ARC
(6,1),-0.52842 # DEPENDENCYPART_ARC
(6,2),-1.22576 # DEPENDENCYPART_ARC
(6,3),-0.895549 # DEPENDENCYPART_ARC
(6,4),-0.148992 # DEPENDENCYPART_ARC
(6,5),1.38194 # DEPENDENCYPART_ARC
(6,7),1.21554 # DEPENDENCYPART_ARC
(6,8),0.119767 # DEPENDENCYPART_ARC
(6,9),-0.190171 # DEPENDENCYPART_ARC
(6,10),-0.236296 # DEPENDENCYPART_ARC
(6,11),0.122872 # DEPENDENCYPART_ARC
(6,12),-0.789054 # DEPENDENCYPART_ARC
(6,13),-0.569735 # DEPENDENCYPART_ARC
(6,14),-1.3996 # DEPENDENCYPART_ARC
(6,15),-0.348545 # DEPENDENCYPART_ARC
(6,16),-1.44245 # DEPENDENCYPART_ARC
(6,17),-1.73739 # DEPENDENCYPART_ARC
(6,18),-1.86097 # DEPENDENCYPART_ARC
(6,19),0.0125478 # DEPENDENCYPART_ARC
(6,20),-0.766457 # DEPENDENCYPART_ARC
(6,21),-1.86987 # DEPENDENCYPART_ARC
(6,22),-1.96231 # DEPENDENCYPART_ARC
(6,23),-2.59795 # DEPENDENCYPART_ARC
(6,24),-2.20367 # DEPENDENCYPART_ARC
(6,25),-1.52719 # DEPENDENCYPART_ARC
(6,26),-2.8609 # DEPENDENCYPART_ARC
(6,27),-0.880695 # DEPENDENCYPART_ARC
(7,1),0.375355 # DEPENDENCYPART_ARC
(7,2),0.676727 # DEPENDENCYPART_ARC
(7,3),-0.225745 # DEPENDENCYPART_ARC
(7,4),1.44564 # DEPENDENCYPART_ARC
(7,5),0.976981 # DEPENDENCYPART_ARC
(7,6),3.92106 # DEPENDENCYPART_ARC
(7,8),1.18457 # DEPENDENCYPART_ARC
(7,9),1.10657 # DEPENDENCYPART_ARC
(7,10),1.41329 # DEPENDENCYPART_ARC
(7,11),1.19876 # DEPENDENCYPART_ARC
(7,12),-0.199636 # DEPENDENCYPART_ARC
(7,13),-0.592076 # DEPENDENCYPART_ARC
(7,14),-0.398026 # DEPENDENCYPART_ARC
(7,15),-0.574788 # DEPENDENCYPART_ARC
(7,16),-1.46883 # DEPENDENCYPART_ARC
(7,17),-0.770812 # DEPENDENCYPART_ARC
(7,18),-0.708515 # DEPENDENCYPART_ARC
(7,19),0.915283 # DEPENDENCYPART_ARC
(7,20),-0.121508 # DEPENDENCYPART_ARC
(7,21),-1.07833 # DEPENDENCYPART_ARC
(7,22),-0.719356 # DEPENDENCYPART_ARC
(7,23),-0.409634 # DEPENDENCYPART_ARC
(7,24),-1.75676 # DEPENDENCYPART_ARC
(7,25),-1.60985 # DEPENDENCYPART_ARC
(7,26),-1.44642 # DEPENDENCYPART_ARC
(7,27),0.588626 # DEPENDENCYPART_ARC
(8,1),-3.39206 # DEPENDENCYPART_ARC
(8,2),-3.02756 # DEPENDENCYPART_ARC
(8,3),-2.80311 # DEPENDENCYPART_ARC
(8,4),-2.47951 # DEPENDENCYPART_ARC
(8,5),0.178803 # DEPENDENCYPART_ARC
(8,6),-0.640065 # DEPENDENCYPART_ARC
(8,7),0.104746 # DEPENDENCYPART_ARC
(8,9),1.09602 # DEPENDENCYPART_ARC
(8,10),0.830672 # DEPENDENCYPART_ARC
(8,11),0.595458 # DEPENDENCYPART_ARC
(8,12),-1.57878 # DEPENDENCYPART_ARC
(8,13),-0.98412 # DEPENDENCYPART_ARC
(8,14),-1.43542 # DEPENDENCYPART_ARC
(8,15),-0.767274 # DEPENDENCYPART_ARC
(8,16),-1.38748 # DEPENDENCYPART_ARC
(8,17),-2.06129 # DEPENDENCYPART_ARC
(8,18),-1.30016 # DEPENDENCYPART_ARC
(8,19),0.149957 # DEPENDENCYPART_ARC
(8,20),-2.11513 # DEPENDENCYPART_ARC
(8,21),-2.31372 # DEPENDENCYPART_ARC
(8,22),-2.71488 # DEPENDENCYPART_ARC
(8,23),-3.31475 # DEPENDENCYPART_ARC
(8,24),-3.13781 # DEPENDENCYPART_ARC
(8,25),-2.40212 # DEPENDENCYPART_ARC
(8,26),-3.3029 # DEPENDENCYPART_ARC
(8,27),-1.10064 # DEPENDENCYPART_ARC
(9,1),-2.68636 # DEPENDENCYPART_ARC
(9,2),-1.99302 # DEPENDENCYPART_ARC
(9,3),-2.38068 # DEPENDENCYPART_ARC
(9,4),-2.09833 # DEPENDENCYPART_ARC
(9,5),1.28754 # DEPENDENCYPART_ARC
(9,6),-0.411203 # DEPENDENCYPART_ARC
(9,7),0.981696 # DEPENDENCYPART_ARC
(9,8),2.86073 # DEPENDENCYPART_ARC
(9,10),1.56713 # DEPENDENCYPART_ARC
(9,11),1.32807 # DEPENDENCYPART_ARC
(9,12),-0.944021 # DEPENDENCYPART_ARC
(9,13),-0.457417 # DEPENDENCYPART_ARC
(9,14),-0.906434 # DEPENDENCYPART_ARC
(9,15),-0.019247 # DEPENDENCYPART_ARC
(9,16),-1.052 # DEPENDENCYPART_ARC
(9,17),-1.82926 # DEPENDENCYPART_ARC
(9,18),-1.02211 # DEPENDENCYPART_ARC
(9,19),1.03748 # DEPENDENCYPART_ARC
(9,20),-1.47242 # DEPENDENCYPART_ARC
(9,21),-1.80671 # DEPENDENCYPART_ARC
(9,22),-2.19699 # DEPENDENCYPART_ARC
(9,23),-2.69201 # DEPENDENCYPART_ARC
(9,24),-2.30399 # DEPENDENCYPART_ARC
(9,25),-1.83922 # DEPENDENCYPART_ARC
(9,26),-2.4829 # DEPENDENCYPART_ARC
(9,27),-0.867547 # DEPENDENCYPART_ARC
(10,1),0.107624 # DEPENDENCYPART_ARC
(10,2),0.102508 # DEPENDENCYPART_ARC
(10,3),-0.313857 # DEPENDENCYPART_ARC
(10,4),-0.430563 # DEPENDENCYPART_ARC
(10,5),4.25098 # DEPENDENCYPART_ARC
(10,6),1.79385 # DEPENDENCYPART_ARC
(10,7),2.70927 # DEPENDENCYPART_ARC
(10,8),5.4952 # DEPENDENCYPART_ARC
(10,9),5.11785 # DEPENDENCYPART_ARC
(10,11),3.86405 # DEPENDENCYPART_ARC
(10,12),1.00997 # DEPENDENCYPART_ARC
(10,13),1.03685 # DEPENDENCYPART_ARC
(10,14),0.998733 # DEPENDENCYPART_ARC
(10,15),1.65379 # DEPENDENCYPART_ARC
(10,16),0.62145 # DEPENDENCYPART_ARC
(10,17),0.24755 # DEPENDENCYPART_ARC
(10,18),0.905845 # DEPENDENCYPART_ARC
(10,19),3.49675 # DEPENDENCYPART_ARC
(10,20),0.827691 # DEPENDENCYPART_ARC
(10,21),0.265643 # DEPENDENCYPART_ARC
(10,22),-0.482418 # DEPENDENCYPART_ARC
(10,23),-1.16033 # DEPENDENCYPART_ARC
(10,24),-0.266918 # DEPENDENCYPART_ARC
(10,25),-0.160864 # DEPENDENCYPART_ARC
(10,26),-0.862022 # DEPENDENCYPART_ARC
(10,27),0.780146 # DEPENDENCYPART_ARC
(11,1),-1.34909 # DEPENDENCYPART_ARC
(11,2),-1.86392 # DEPENDENCYPART_ARC
(11,3),-1.35313 # DEPENDENCYPART_ARC
(11,4),-1.28728 # DEPENDENCYPART_ARC
(11,5),-0.895936 # DEPENDENCYPART_ARC
(11,6),-1.74674 # DEPENDENCYPART_ARC
(11,7),-0.742118 # DEPENDENCYPART_ARC
(11,8),-1.12786 # DEPENDENCYPART_ARC
(11,9),-1.27676 # DEPENDENCYPART_ARC
(11,10),-0.680998 # DEPENDENCYPART_ARC
(11,12),-0.092771 # DEPENDENCYPART_ARC
(11,13),-0.634532 # DEPENDENCYPART_ARC
(11,14),-1.01468 # DEPENDENCYPART_ARC
(11,15),-0.994439 # DEPENDENCYPART_ARC
(11,16),-1.64162 # DEPENDENCYPART_ARC
(11,17),-1.62414 # DEPENDENCYPART_ARC
(11,18),-1.93494 # DEPENDENCYPART_ARC
(11,19),0.0385742 # DEPENDENCYPART_ARC
(11,20),-1.46582 # DEPENDENCYPART_ARC
(11,21),-1.92843 # DEPENDENCYPART_ARC
(11,22),-1.72655 # DEPENDENCYPART_ARC
(11,23),-2.55121 # DEPENDENCYPART_ARC
(11,24),-2.31187 # DEPENDENCYPART_ARC
(11,25),-2.62307 # DEPENDENCYPART_ARC
(11,26),-2.90291 # DEPENDENCYPART_ARC
(11,27),-1.84391 # DEPENDENCYPART_ARC
(12,1),-1.25724 # DEPENDENCYPART_ARC
(12,2),-1.3203 # DEPENDENCYPART_ARC
(12,3),-1.29667 # DEPENDENCYPART_ARC
(12,4),-0.864884 # DEPENDENCYPART_ARC
(12,5),-0.563173 # DEPENDENCYPART_ARC
(12,6),-0.950425 # DEPENDENCYPART_ARC
(12,7),-0.863209 # DEPENDENCYPART_ARC
(12,8),-0.409969 # DEPENDENCYPART_ARC
(12,9),-0.0755525 # DEPENDENCYPART_ARC
(12,10),0.0407904 # DEPENDENCYPART_ARC
(12,11),0.932447 # DEPENDENCYPART_ARC
(12,13),1.05966 # DEPENDENCYPART_ARC
(12,14),0.369998 # DEPENDENCYPART_ARC
(12,15),0.32756 # DEPENDENCYPART_ARC
(12,16),-0.714075 # DEPENDENCYPART_ARC
(12,17),-0.327392 # DEPENDENCYPART_ARC
(12,18),-0.851719 # DEPENDENCYPART_ARC
(12,19),-0.0500555 # DEPENDENCYPART_ARC
(12,20),-0.492542 # DEPENDENCYPART_ARC
(12,21),-0.985467 # DEPENDENCYPART_ARC
(12,22),-1.02483 # DEPENDENCYPART_ARC
(12,23),-1.03942 # DEPENDENCYPART_ARC
(12,24),-1.44308 # DEPENDENCYPART_ARC
(12,25),-1.62377 # DEPENDENCYPART_ARC
(12,26),-1.37041 # DEPENDENCYPART_ARC
(12,27),-0.658634 # DEPENDENCYPART_ARC
(13,1),-1.86064 # DEPENDENCYPART_ARC
(13,2),-2.05418 # DEPENDENCYPART_ARC
(13,3),-1.94669 # DEPENDENCYPART_ARC
(13,4),-1.45781 # DEPENDENCYPART_ARC
(13,5),-0.628721 # DEPENDENCYPART_ARC
(13,6),-1.33635 # DEPENDENCYPART_ARC
(13,7),-1.15181 # DEPENDENCYPART_ARC
(13,8),-0.925415 # DEPENDENCYPART_ARC
(13,9),-0.805605 # DEPENDENCYPART_ARC
(13,10),-0.489071 # DEPENDENCYPART_ARC
(13,11),-0.0721699 # DEPENDENCYPART_ARC
(13,12),1.25575 # DEPENDENCYPART_ARC
(13,14),0.511119 # DEPENDENCYPART_ARC
(13,15),0.469818 # DEPENDENCYPART_ARC
(13,16),-0.934882 # DEPENDENCYPART_ARC
(13,17),-0.604666 # DEPENDENCYPART_ARC
(13,18),-0.837428 # DEPENDENCYPART_ARC
(13,19),0.00160317 # DEPENDENCYPART_ARC
(13,20),-0.575672 # DEPENDENCYPART_ARC
(13,21),-1.06406 # DEPENDENCYPART_ARC
(13,22),-1.32701 # DEPENDENCYPART_ARC
(13,23),-1.23104 # DEPENDENCYPART_ARC
(13,24),-0.735903 # DEPENDENCYPART_ARC
(13,25),-1.49904 # DEPENDENCYPART_ARC
(13,26),-1.33275 # DEPENDENCYPART_ARC
(13,27),-1.26478 # DEPENDENCYPART_ARC
(14,1),-0.264454 # DEPENDENCYPART_ARC
(14,2),-1.81553 # DEPENDENCYPART_ARC
(14,3),-1.26122 # DEPENDENCYPART_ARC
(14,4),-0.108757 # DEPENDENCYPART_ARC
(14,5),3.28141 # DEPENDENCYPART_ARC
(14,6),0.448497 # DEPENDENCYPART_ARC
(14,7),-0.0476441 # DEPENDENCYPART_ARC
(14,8),1.49485 # DEPENDENCYPART_ARC
(14,9),1.39107 # DEPENDENCYPART_ARC
(14,10),0.453718 # DEPENDENCYPART_ARC
(14,11),0.688583 # DEPENDENCYPART_ARC
(14,12),3.27996 # DEPENDENCYPART_ARC
(14,13),4.14642 # DEPENDENCYPART_ARC
(14,15),0.536626 # DEPENDENCYPART_ARC
(14,16),0.137018 # DEPENDENCYPART_ARC
(14,17),0.328033 # DEPENDENCYPART_ARC
(14,18),0.47981 # DEPENDENCYPART_ARC
(14,19),0.372232 # DEPENDENCYPART_ARC
(14,20),0.321544 # DEPENDENCYPART_ARC
(14,21),-0.369944 # DEPENDENCYPART_ARC
(14,22),-0.501802 # DEPENDENCYPART_ARC
(14,23),-0.499641 # DEPENDENCYPART_ARC
(14,24),-0.405751 # DEPENDENCYPART_ARC
(14,25),-0.793857 # DEPENDENCYPART_ARC
(14,26),-1.04101 # DEPENDENCYPART_ARC
(14,27),-0.147216 # DEPENDENCYPART_ARC
(15,1),0.261437 # DEPENDENCYPART_ARC
(15,2),0.535446 # DEPENDENCYPART_ARC
(15,3),-0.75633 # DEPENDENCYPART_ARC
(15,4),0.782959 # DEPENDENCYPART_ARC
(15,5),-0.309091 # DEPENDENCYPART_ARC
(15,6),0.572612 # DEPENDENCYPART_ARC
(15,7),0.113946 # DEPENDENCYPART_ARC
(15,8),0.683251 # DEPENDENCYPART_ARC
(15,9),0.730958 # DEPENDENCYPART_ARC
(15,10),0.51262 # DEPENDENCYPART_ARC
(15,11),1.32569 # DEPENDENCYPART_ARC
(15,12),1.39229 # DEPENDENCYPART_ARC
(15,13),0.949675 # DEPENDENCYPART_ARC
(15,14),3.30604 # DEPENDENCYPART_ARC
(15,16),1.69882 # DEPENDENCYPART_ARC
(15,17),2.49103 # DEPENDENCYPART_ARC
(15,18),2.63194 # DEPENDENCYPART_ARC
(15,19),2.13865 # DEPENDENCYPART_ARC
(15,20),2.28815 # DEPENDENCYPART_ARC
(15,21),1.69396 # DEPENDENCYPART_ARC
(15,22),1.56378 # DEPENDENCYPART_ARC
(15,23),0.563616 # DEPENDENCYPART_ARC
(15,24),-0.00134024 # DEPENDENCYPART_ARC
(15,25),0.193647 # DEPENDENCYPART_ARC
(15,26),1.13977 # DEPENDENCYPART_ARC
(15,27),4.1438 # DEPENDENCYPART_ARC
(16,1),-3.08229 # DEPENDENCYPART_ARC
(16,2),-3.43898 # DEPENDENCYPART_ARC
(16,3),-3.02726 # DEPENDENCYPART_ARC
(16,4),-2.85753 # DEPENDENCYPART_ARC
(16,5),-2.46526 # DEPENDENCYPART_ARC
(16,6),-2.88062 # DEPENDENCYPART_ARC
(16,7),-2.68506 # DEPENDENCYPART_ARC
(16,8),-2.61233 # DEPENDENCYPART_ARC
(16,9),-2.475 # DEPENDENCYPART_ARC
(16,10),-2.33372 # DEPENDENCYPART_ARC
(16,11),-1.9601 # DEPENDENCYPART_ARC
(16,12),-1.4475 # DEPENDENCYPART_ARC
(16,13),-1.23891 # DEPENDENCYPART_ARC
(16,14),-1.56768 # DEPENDENCYPART_ARC
(16,15),-0.982679 # DEPENDENCYPART_ARC
(16,17),-0.0734974 # DEPENDENCYPART_ARC
(16,18),-0.211487 # DEPENDENCYPART_ARC
(16,19),-0.0530007 # DEPENDENCYPART_ARC
(16,20),-0.302159 # DEPENDENCYPART_ARC
(16,21),-0.987175 # DEPENDENCYPART_ARC
(16,22),-1.2145 # DEPENDENCYPART_ARC
(16,23),-1.155 # DEPENDENCYPART_ARC
(16,24),-1.81155 # DEPENDENCYPART_ARC
(16,25),-1.44374 # DEPENDENCYPART_ARC
(16,26),-1.57312 # DEPENDENCYPART_ARC
(16,27),-0.998081 # DEPENDENCYPART_ARC
(17,1),-4.58143 # DEPENDENCYPART_ARC
(17,2),-4.112 # DEPENDENCYPART_ARC
(17,3),-4.14812 # DEPENDENCYPART_ARC
(17,4),-4.1676 # DEPENDENCYPART_ARC
(17,5),-2.1847 # DEPENDENCYPART_ARC
(17,6),-2.88549 # DEPENDENCYPART_ARC
(17,7),-2.12005 # DEPENDENCYPART_ARC
(17,8),-1.95399 # DEPENDENCYPART_ARC
(17,9),-2.03086 # DEPENDENCYPART_ARC
(17,10),-2.57255 # DEPENDENCYPART_ARC
(17,11),-1.90688 # DEPENDENCYPART_ARC
(17,12),-1.13315 # DEPENDENCYPART_ARC
(17,13),-0.728523 # DEPENDENCYPART_ARC
(17,14),-1.15818 # DEPENDENCYPART_ARC
(17,15),-1.0303 # DEPENDENCYPART_ARC
(17,16),2.79389 # DEPENDENCYPART_ARC
(17,18),0.624252 # DEPENDENCYPART_ARC
(17,19),0.336299 # DEPENDENCYPART_ARC
(17,20),-0.174456 # DEPENDENCYPART_ARC
(17,21),-0.896789 # DEPENDENCYPART_ARC
(17,22),-1.21486 # DEPENDENCYPART_ARC
(17,23),-1.64206 # DEPENDENCYPART_ARC
(17,24),-0.0560979 # DEPENDENCYPART_ARC
(17,25),-0.824476 # DEPENDENCYPART_ARC
(17,26),-1.56892 # DEPENDENCYPART_ARC
(17,27),-0.843742 # DEPENDENCYPART_ARC
(18,1),-2.39297 # DEPENDENCYPART_ARC
(18,2),-2.55309 # DEPENDENCYPART_ARC
(18,3),-1.56197 # DEPENDENCYPART_ARC
(18,4),-0.742878 # DEPENDENCYPART_ARC
(18,5),0.699112 # DEPENDENCYPART_ARC
(18,6),-0.901586 # DEPENDENCYPART_ARC
(18,7),-0.575472 # DEPENDENCYPART_ARC
(18,8),1.24877 # DEPENDENCYPART_ARC
(18,9),0.494802 # DEPENDENCYPART_ARC
(18,10),-0.801277 # DEPENDENCYPART_ARC
(18,11),-0.142029 # DEPENDENCYPART_ARC
(18,12),1.52491 # DEPENDENCYPART_ARC
(18,13),1.58791 # DEPENDENCYPART_ARC
(18,14),0.749154 # DEPENDENCYPART_ARC
(18,15),0.230892 # DEPENDENCYPART_ARC
(18,16),4.48979 # DEPENDENCYPART_ARC
(18,17),4.69611 # DEPENDENCYPART_ARC
(18,19),1.54388 # DEPENDENCYPART_ARC
(18,20),0.649616 # DEPENDENCYPART_ARC
(18,21),-0.505084 # DEPENDENCYPART_ARC
(18,22),-0.374877 # DEPENDENCYPART_ARC
(18,23),-0.442166 # DEPENDENCYPART_ARC
(18,24),0.0540704 # DEPENDENCYPART_ARC
(18,25),-0.672449 # DEPENDENCYPART_ARC
(18,26),-0.691031 # DEPENDENCYPART_ARC
(18,27),0.00153178 # DEPENDENCYPART_ARC
(19,1),-2.52665 # DEPENDENCYPART_ARC
(19,2),-2.98684 # DEPENDENCYPART_ARC
(19,3),-1.9696 # DEPENDENCYPART_ARC
(19,4),-2.35642 # DEPENDENCYPART_ARC
(19,5),-2.18748 # DEPENDENCYPART_ARC
(19,6),-2.7718 # DEPENDENCYPART_ARC
(19,7),-1.46786 # DEPENDENCYPART_ARC
(19,8),-2.4062 # DEPENDENCYPART_ARC
(19,9),-2.21841 # DEPENDENCYPART_ARC
(19,10),-2.1833 # DEPENDENCYPART_ARC
(19,11),-0.0355027 # DEPENDENCYPART_ARC
(19,12),-1.22949 # DEPENDENCYPART_ARC
(19,13),-1.54733 # DEPENDENCYPART_ARC
(19,14),-1.88449 # DEPENDENCYPART_ARC
