# _root_ Seconds later , a 7,500-share `` sell '' order for Scottish & Newcastle came in .
#goldHeads=2,14,14,9,9,9,9,9,14,9,10,11,12,0,14,14,
#predictedHeads=2,9,14,9,9,9,9,9,14,9,10,11,12,0,14,14,
(2,14),0.580568 # DEPENDENCYPART_ARC
(2,15),-0.501768 # DEPENDENCYPART_ARC
(2,16),1.75556 # DEPENDENCYPART_ARC
(3,1),-1.85675 # DEPENDENCYPART_ARC
(3,2),-0.547814 # DEPENDENCYPART_ARC
(3,4),-0.000873585 # DEPENDENCYPART_ARC
(3,5),-0.40455 # DEPENDENCYPART_ARC
(3,6),-0.187279 # DEPENDENCYPART_ARC
(3,7),-1.34103 # DEPENDENCYPART_ARC
(3,8),-0.730462 # DEPENDENCYPART_ARC
(3,9),-1.88663 # DEPENDENCYPART_ARC
(3,10),-1.01236 # DEPENDENCYPART_ARC
(3,11),-1.67812 # DEPENDENCYPART_ARC
(3,12),-1.20563 # DEPENDENCYPART_ARC
(3,13),-1.85462 # DEPENDENCYPART_ARC
(3,14),-1.40995 # DEPENDENCYPART_ARC
(3,15),-2.01238 # DEPENDENCYPART_ARC
(3,16),-1.35307 # DEPENDENCYPART_ARC
(4,1),-1.19241 # DEPENDENCYPART_ARC
(4,2),-0.190195 # DEPENDENCYPART_ARC
(4,3),-0.116672 # DEPENDENCYPART_ARC
(4,5),0.363739 # DEPENDENCYPART_ARC
(4,6),-0.331234 # DEPENDENCYPART_ARC
(4,7),-0.208059 # DEPENDENCYPART_ARC
(4,8),-0.448 # DEPENDENCYPART_ARC
(4,9),-0.70394 # DEPENDENCYPART_ARC
(4,10),-0.80914 # DEPENDENCYPART_ARC
(4,11),-1.21577 # DEPENDENCYPART_ARC
(4,12),-0.580504 # DEPENDENCYPART_ARC
(4,13),-1.30512 # DEPENDENCYPART_ARC
(4,14),-1.01299 # DEPENDENCYPART_ARC
(4,15),-1.68905 # DEPENDENCYPART_ARC
(4,16),-1.21002 # DEPENDENCYPART_ARC
(5,1),-0.781343 # DEPENDENCYPART_ARC
(5,2),0.120542 # DEPENDENCYPART_ARC
(5,3),-0.0270341 # DEPENDENCYPART_ARC
(5,4),1.81375 # DEPENDENCYPART_ARC
(5,6),1.17839 # DEPENDENCYPART_ARC
(5,7),1.03296 # DEPENDENCYPART_ARC
(5,8),1.31748 # DEPENDENCYPART_ARC
(5,9),0.171295 # DEPENDENCYPART_ARC
(5,10),0.536075 # DEPENDENCYPART_ARC
(5,11),-0.39128 # DEPENDENCYPART_ARC
(5,12),0.470493 # DEPENDENCYPART_ARC
(5,13),-0.527101 # DEPENDENCYPART_ARC
(5,14),0.419861 # DEPENDENCYPART_ARC
(5,15),-0.539616 # DEPENDENCYPART_ARC
(5,16),0.347888 # DEPENDENCYPART_ARC
(6,1),-1.39357 # DEPENDENCYPART_ARC
(6,2),-1.53357 # DEPENDENCYPART_ARC
(6,3),-1.08723 # DEPENDENCYPART_ARC
(6,4),-0.747104 # DEPENDENCYPART_ARC
(6,5),-0.376131 # DEPENDENCYPART_ARC
(6,7),-0.845099 # DEPENDENCYPART_ARC
(6,8),-0.525997 # DEPENDENCYPART_ARC
(6,9),-1.56446 # DEPENDENCYPART_ARC
(6,10),-1.95726 # DEPENDENCYPART_ARC
(6,11),-1.94493 # DEPENDENCYPART_ARC
(6,12),-2.13562 # DEPENDENCYPART_ARC
(6,13),-2.4331 # DEPENDENCYPART_ARC
(6,14),-2.20396 # DEPENDENCYPART_ARC
(6,15),-2.53091 # DEPENDENCYPART_ARC
(6,16),-1.92287 # DEPENDENCYPART_ARC
(7,1),-0.4986 # DEPENDENCYPART_ARC
(7,2),0.0508084 # DEPENDENCYPART_ARC
(7,3),0.0337528 # DEPENDENCYPART_ARC
(7,4),3.1774 # DEPENDENCYPART_ARC
(7,5),2.61177 # DEPENDENCYPART_ARC
(7,6),2.4956 # DEPENDENCYPART_ARC
(7,8),2.14759 # DEPENDENCYPART_ARC
(7,9),0.937097 # DEPENDENCYPART_ARC
(7,10),2.26506 # DEPENDENCYPART_ARC
(7,11),0.162176 # DEPENDENCYPART_ARC
(7,12),0.633526 # DEPENDENCYPART_ARC
(7,13),-0.492045 # DEPENDENCYPART_ARC
(7,14),1.22968 # DEPENDENCYPART_ARC
(7,15),-0.0194057 # DEPENDENCYPART_ARC
(7,16),0.100849 # DEPENDENCYPART_ARC
(8,1),-1.43086 # DEPENDENCYPART_ARC
(8,2),-1.35417 # DEPENDENCYPART_ARC
(8,3),-0.856491 # DEPENDENCYPART_ARC
(8,4),-0.223316 # DEPENDENCYPART_ARC
(8,5),-0.872948 # DEPENDENCYPART_ARC
(8,6),0.678789 # DEPENDENCYPART_ARC
(8,7),-0.585586 # DEPENDENCYPART_ARC
(8,9),0.668093 # DEPENDENCYPART_ARC
(8,10),-0.215235 # DEPENDENCYPART_ARC
(8,11),-0.440674 # DEPENDENCYPART_ARC
(8,12),-0.488075 # DEPENDENCYPART_ARC
(8,13),-0.896465 # DEPENDENCYPART_ARC
(8,14),-0.688052 # DEPENDENCYPART_ARC
(8,15),-1.1288 # DEPENDENCYPART_ARC
(8,16),-0.634315 # DEPENDENCYPART_ARC
(9,1),1.56758 # DEPENDENCYPART_ARC
(9,2),1.50525 # DEPENDENCYPART_ARC
(9,3),1.55601 # DEPENDENCYPART_ARC
(9,4),5.69423 # DEPENDENCYPART_ARC
(9,5),4.61644 # DEPENDENCYPART_ARC
(9,6),4.85958 # DEPENDENCYPART_ARC
(9,7),4.72297 # DEPENDENCYPART_ARC
(9,8),4.62321 # DEPENDENCYPART_ARC
(9,10),3.35918 # DEPENDENCYPART_ARC
(9,11),0.724238 # DEPENDENCYPART_ARC
(9,12),1.65922 # DEPENDENCYPART_ARC
(9,13),0.390307 # DEPENDENCYPART_ARC
(9,14),2.02379 # DEPENDENCYPART_ARC
(9,15),0.318477 # DEPENDENCYPART_ARC
(9,16),1.23671 # DEPENDENCYPART_ARC
(10,1),-1.2962 # DEPENDENCYPART_ARC
(10,2),-1.04265 # DEPENDENCYPART_ARC
(10,3),-0.718802 # DEPENDENCYPART_ARC
(10,4),-0.155873 # DEPENDENCYPART_ARC
(10,5),-0.779643 # DEPENDENCYPART_ARC
(10,6),0.414216 # DEPENDENCYPART_ARC
(10,7),-0.375032 # DEPENDENCYPART_ARC
(10,8),-0.182883 # DEPENDENCYPART_ARC
(10,9),0.304926 # DEPENDENCYPART_ARC
(10,11),2.41888 # DEPENDENCYPART_ARC
(10,12),0.796574 # DEPENDENCYPART_ARC
(10,13),1.62869 # DEPENDENCYPART_ARC
(10,14),0.717668 # DEPENDENCYPART_ARC
(10,15),-0.216538 # DEPENDENCYPART_ARC
(10,16),0.965017 # DEPENDENCYPART_ARC
(11,1),-1.99138 # DEPENDENCYPART_ARC
(11,2),-2.24863 # DEPENDENCYPART_ARC
(11,3),-2.07802 # DEPENDENCYPART_ARC
(11,4),-0.15414 # DEPENDENCYPART_ARC
(11,5),-0.322167 # DEPENDENCYPART_ARC
(11,6),0.433517 # DEPENDENCYPART_ARC
(11,7),-0.0897441 # DEPENDENCYPART_ARC
(11,8),-0.273719 # DEPENDENCYPART_ARC
(11,9),-0.223971 # DEPENDENCYPART_ARC
(11,10),0.766013 # DEPENDENCYPART_ARC
(11,12),4.69879 # DEPENDENCYPART_ARC
(11,13),1.4116 # DEPENDENCYPART_ARC
(11,14),1.47863 # DEPENDENCYPART_ARC
(11,15),1.0191 # DEPENDENCYPART_ARC
(11,16),0.396146 # DEPENDENCYPART_ARC
(12,1),-1.90235 # DEPENDENCYPART_ARC
(12,2),-1.99147 # DEPENDENCYPART_ARC
(12,3),-2.00274 # DEPENDENCYPART_ARC
(12,4),-1.38204 # DEPENDENCYPART_ARC
(12,5),-1.56118 # DEPENDENCYPART_ARC
(12,6),-1.53544 # DEPENDENCYPART_ARC
(12,7),-1.377 # DEPENDENCYPART_ARC
(12,8),-1.43536 # DEPENDENCYPART_ARC
(12,9),-0.81192 # DEPENDENCYPART_ARC
(12,10),-0.769558 # DEPENDENCYPART_ARC
(12,11),0.17265 # DEPENDENCYPART_ARC
(12,13),4.75333 # DEPENDENCYPART_ARC
(12,14),0.972215 # DEPENDENCYPART_ARC
(12,15),-0.140465 # DEPENDENCYPART_ARC
(12,16),-0.56478 # DEPENDENCYPART_ARC
(13,1),-2.80046 # DEPENDENCYPART_ARC
(13,2),-2.92757 # DEPENDENCYPART_ARC
(13,3),-1.82682 # DEPENDENCYPART_ARC
(13,4),-0.474552 # DEPENDENCYPART_ARC
(13,5),-0.757359 # DEPENDENCYPART_ARC
(13,6),-0.415061 # DEPENDENCYPART_ARC
(13,7),-1.45545 # DEPENDENCYPART_ARC
(13,8),-0.874034 # DEPENDENCYPART_ARC
(13,9),-1.17108 # DEPENDENCYPART_ARC
(13,10),-0.627154 # DEPENDENCYPART_ARC
(13,11),0.444163 # DEPENDENCYPART_ARC
(13,12),0.604784 # DEPENDENCYPART_ARC
(13,14),-0.231687 # DEPENDENCYPART_ARC
(13,15),-0.658205 # DEPENDENCYPART_ARC
(13,16),-0.786539 # DEPENDENCYPART_ARC
(14,1),0.966307 # DEPENDENCYPART_ARC
(14,2),0.635 # DEPENDENCYPART_ARC
(14,3),1.97191 # DEPENDENCYPART_ARC
(14,4),0.552871 # DEPENDENCYPART_ARC
(14,5),0.674518 # DEPENDENCYPART_ARC
(14,6),0.38218 # DEPENDENCYPART_ARC
(14,7),1.52118 # DEPENDENCYPART_ARC
(14,8),1.06723 # DEPENDENCYPART_ARC
(14,9),1.93426 # DEPENDENCYPART_ARC
(14,10),0.324165 # DEPENDENCYPART_ARC
(14,11),2.1875 # DEPENDENCYPART_ARC
(14,12),1.42553 # DEPENDENCYPART_ARC
(14,13),3.26114 # DEPENDENCYPART_ARC
(14,15),3.47517 # DEPENDENCYPART_ARC
(14,16),3.23992 # DEPENDENCYPART_ARC
(15,1),-1.31356 # DEPENDENCYPART_ARC
(15,2),-1.47932 # DEPENDENCYPART_ARC
(15,3),-0.941318 # DEPENDENCYPART_ARC
(15,4),-0.438646 # DEPENDENCYPART_ARC
(15,5),-0.762874 # DEPENDENCYPART_ARC
(15,6),-0.571188 # DEPENDENCYPART_ARC
(15,7),-0.828991 # DEPENDENCYPART_ARC
(15,8),-0.75096 # DEPENDENCYPART_ARC
(15,9),-0.524439 # DEPENDENCYPART_ARC
(15,10),0.457947 # DEPENDENCYPART_ARC
(15,11),-0.0544555 # DEPENDENCYPART_ARC
(15,12),-0.146737 # DEPENDENCYPART_ARC
(15,13),0.376 # DEPENDENCYPART_ARC
(15,14),0.714672 # DEPENDENCYPART_ARC
(15,16),-0.16982 # DEPENDENCYPART_ARC
(16,1),-3.02925 # DEPENDENCYPART_ARC
(16,2),-2.89766 # DEPENDENCYPART_ARC
(16,3),-1.33133 # DEPENDENCYPART_ARC
(16,4),-2.44537 # DEPENDENCYPART_ARC
(16,5),-2.62759 # DEPENDENCYPART_ARC
(16,6),-2.07155 # DEPENDENCYPART_ARC
(16,7),-2.17406 # DEPENDENCYPART_ARC
(16,8),-2.136 # DEPENDENCYPART_ARC
(16,9),-2.01043 # DEPENDENCYPART_ARC
(16,10),-1.78498 # DEPENDENCYPART_ARC
(16,11),-2.2794 # DEPENDENCYPART_ARC
(16,12),-1.81929 # DEPENDENCYPART_ARC
(16,13),-1.66954 # DEPENDENCYPART_ARC
(16,14),-1.94805 # DEPENDENCYPART_ARC
(16,15),-0.967187 # DEPENDENCYPART_ARC
