# _root_ While profitable , it `` was n't growing and was n't providing a satisfactory return on invested capital , '' he says .
#goldHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,6,6,22,0,22,
#predictedHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,22,22,22,0,22,
(2,4),0.588793 # DEPENDENCYPART_ARC
(2,5),0.305217 # DEPENDENCYPART_ARC
(2,6),0.274403 # DEPENDENCYPART_ARC
(2,7),0.180907 # DEPENDENCYPART_ARC
(2,8),0.0216388 # DEPENDENCYPART_ARC
(2,9),-0.154117 # DEPENDENCYPART_ARC
(2,10),-0.373082 # DEPENDENCYPART_ARC
(2,11),-0.124154 # DEPENDENCYPART_ARC
(2,12),-0.360237 # DEPENDENCYPART_ARC
(2,13),-1.28443 # DEPENDENCYPART_ARC
(2,14),-0.745938 # DEPENDENCYPART_ARC
(2,15),-1.22419 # DEPENDENCYPART_ARC
(2,16),-1.38374 # DEPENDENCYPART_ARC
(2,17),-0.868972 # DEPENDENCYPART_ARC
(2,18),-1.46432 # DEPENDENCYPART_ARC
(2,19),-0.72852 # DEPENDENCYPART_ARC
(2,20),-0.649697 # DEPENDENCYPART_ARC
(2,21),-1.54579 # DEPENDENCYPART_ARC
(2,22),-1.54331 # DEPENDENCYPART_ARC
(2,23),0.157424 # DEPENDENCYPART_ARC
(3,1),-0.88756 # DEPENDENCYPART_ARC
(3,2),-0.384752 # DEPENDENCYPART_ARC
(3,4),-0.179667 # DEPENDENCYPART_ARC
(3,5),-0.0736495 # DEPENDENCYPART_ARC
(3,6),-0.591547 # DEPENDENCYPART_ARC
(3,7),-1.28971 # DEPENDENCYPART_ARC
(3,8),-1.28315 # DEPENDENCYPART_ARC
(3,9),-1.24578 # DEPENDENCYPART_ARC
(3,10),-1.25223 # DEPENDENCYPART_ARC
(3,11),-1.75883 # DEPENDENCYPART_ARC
(3,12),-1.53815 # DEPENDENCYPART_ARC
(3,13),-2.05259 # DEPENDENCYPART_ARC
(3,14),-2.30911 # DEPENDENCYPART_ARC
(3,15),-2.69291 # DEPENDENCYPART_ARC
(3,16),-1.79382 # DEPENDENCYPART_ARC
(3,17),-2.27721 # DEPENDENCYPART_ARC
(3,18),-2.8635 # DEPENDENCYPART_ARC
(3,19),-0.760319 # DEPENDENCYPART_ARC
(3,20),-1.78007 # DEPENDENCYPART_ARC
(3,21),-2.74988 # DEPENDENCYPART_ARC
(3,22),-2.5394 # DEPENDENCYPART_ARC
(3,23),-2.24807 # DEPENDENCYPART_ARC
(4,1),-0.566859 # DEPENDENCYPART_ARC
(4,2),-0.612765 # DEPENDENCYPART_ARC
(4,3),1.00256 # DEPENDENCYPART_ARC
(4,5),0.810604 # DEPENDENCYPART_ARC
(4,6),1.09749 # DEPENDENCYPART_ARC
(4,7),0.186645 # DEPENDENCYPART_ARC
(4,8),0.0654044 # DEPENDENCYPART_ARC
(4,9),0.230508 # DEPENDENCYPART_ARC
(4,10),0.139636 # DEPENDENCYPART_ARC
(4,11),-0.391646 # DEPENDENCYPART_ARC
(4,12),-0.388026 # DEPENDENCYPART_ARC
(4,13),-0.439982 # DEPENDENCYPART_ARC
(4,14),-1.26286 # DEPENDENCYPART_ARC
(4,15),-0.731122 # DEPENDENCYPART_ARC
(4,16),-0.50661 # DEPENDENCYPART_ARC
(4,17),-1.34468 # DEPENDENCYPART_ARC
(4,18),-0.819516 # DEPENDENCYPART_ARC
(4,19),-0.490628 # DEPENDENCYPART_ARC
(4,20),-0.700307 # DEPENDENCYPART_ARC
(4,21),-1.24713 # DEPENDENCYPART_ARC
(4,22),-0.592123 # DEPENDENCYPART_ARC
(4,23),-0.93866 # DEPENDENCYPART_ARC
(5,1),-1.60169 # DEPENDENCYPART_ARC
(5,2),-1.15067 # DEPENDENCYPART_ARC
(5,3),-1.06342 # DEPENDENCYPART_ARC
(5,4),-0.3744 # DEPENDENCYPART_ARC
(5,6),-0.958893 # DEPENDENCYPART_ARC
(5,7),-1.7194 # DEPENDENCYPART_ARC
(5,8),-2.05914 # DEPENDENCYPART_ARC
(5,9),-2.60652 # DEPENDENCYPART_ARC
(5,10),-2.34521 # DEPENDENCYPART_ARC
(5,11),-2.3532 # DEPENDENCYPART_ARC
(5,12),-2.54865 # DEPENDENCYPART_ARC
(5,13),-3.2117 # DEPENDENCYPART_ARC
(5,14),-2.51726 # DEPENDENCYPART_ARC
(5,15),-2.93508 # DEPENDENCYPART_ARC
(5,16),-3.06622 # DEPENDENCYPART_ARC
(5,17),-3.0212 # DEPENDENCYPART_ARC
(5,18),-3.07443 # DEPENDENCYPART_ARC
(5,19),-2.72163 # DEPENDENCYPART_ARC
(5,20),-1.31689 # DEPENDENCYPART_ARC
(5,21),-3.58769 # DEPENDENCYPART_ARC
(5,22),-3.53874 # DEPENDENCYPART_ARC
(5,23),-2.92886 # DEPENDENCYPART_ARC
(6,1),2.07056 # DEPENDENCYPART_ARC
(6,2),0.800938 # DEPENDENCYPART_ARC
(6,3),2.66436 # DEPENDENCYPART_ARC
(6,4),2.87571 # DEPENDENCYPART_ARC
(6,5),3.08749 # DEPENDENCYPART_ARC
(6,7),4.3059 # DEPENDENCYPART_ARC
(6,8),3.20374 # DEPENDENCYPART_ARC
(6,9),3.74947 # DEPENDENCYPART_ARC
(6,10),0.761709 # DEPENDENCYPART_ARC
(6,11),2.11251 # DEPENDENCYPART_ARC
(6,12),1.95602 # DEPENDENCYPART_ARC
(6,13),-0.4177 # DEPENDENCYPART_ARC
(6,14),0.370555 # DEPENDENCYPART_ARC
(6,15),0.59274 # DEPENDENCYPART_ARC
(6,16),0.550527 # DEPENDENCYPART_ARC
(6,17),1.134 # DEPENDENCYPART_ARC
(6,18),-0.966417 # DEPENDENCYPART_ARC
(6,19),0.92482 # DEPENDENCYPART_ARC
(6,20),2.50262 # DEPENDENCYPART_ARC
(6,21),-0.508334 # DEPENDENCYPART_ARC
(6,22),0.500104 # DEPENDENCYPART_ARC
(6,23),3.84106 # DEPENDENCYPART_ARC
(7,1),-1.14632 # DEPENDENCYPART_ARC
(7,2),-0.857746 # DEPENDENCYPART_ARC
(7,3),-0.886992 # DEPENDENCYPART_ARC
(7,4),-1.08686 # DEPENDENCYPART_ARC
(7,5),-0.334038 # DEPENDENCYPART_ARC
(7,6),-0.0977513 # DEPENDENCYPART_ARC
(7,8),0.130696 # DEPENDENCYPART_ARC
(7,9),0.00886038 # DEPENDENCYPART_ARC
(7,10),-0.183284 # DEPENDENCYPART_ARC
(7,11),-1.46279 # DEPENDENCYPART_ARC
(7,12),-1.29382 # DEPENDENCYPART_ARC
(7,13),-1.35017 # DEPENDENCYPART_ARC
(7,14),-1.23297 # DEPENDENCYPART_ARC
(7,15),-1.95551 # DEPENDENCYPART_ARC
(7,16),-1.21621 # DEPENDENCYPART_ARC
(7,17),-1.46058 # DEPENDENCYPART_ARC
(7,18),-2.24537 # DEPENDENCYPART_ARC
(7,19),-1.29841 # DEPENDENCYPART_ARC
(7,20),-0.516455 # DEPENDENCYPART_ARC
(7,21),-2.04709 # DEPENDENCYPART_ARC
(7,22),-2.03408 # DEPENDENCYPART_ARC
(7,23),-0.0222201 # DEPENDENCYPART_ARC
(8,1),-0.373933 # DEPENDENCYPART_ARC
(8,2),-0.382014 # DEPENDENCYPART_ARC
(8,3),-0.0153136 # DEPENDENCYPART_ARC
(8,4),0.438818 # DEPENDENCYPART_ARC
(8,5),0.879299 # DEPENDENCYPART_ARC
(8,6),-0.0138638 # DEPENDENCYPART_ARC
(8,7),2.11696 # DEPENDENCYPART_ARC
(8,9),2.31608 # DEPENDENCYPART_ARC
(8,10),1.82191 # DEPENDENCYPART_ARC
(8,11),1.1411 # DEPENDENCYPART_ARC
(8,12),0.860975 # DEPENDENCYPART_ARC
(8,13),-0.441036 # DEPENDENCYPART_ARC
(8,14),0.00348753 # DEPENDENCYPART_ARC
(8,15),0.353511 # DEPENDENCYPART_ARC
(8,16),1.18215 # DEPENDENCYPART_ARC
(8,17),0.18132 # DEPENDENCYPART_ARC
(8,18),-0.883442 # DEPENDENCYPART_ARC
(8,19),0.89616 # DEPENDENCYPART_ARC
(8,20),0.499251 # DEPENDENCYPART_ARC
(8,21),-0.408769 # DEPENDENCYPART_ARC
(8,22),-0.819919 # DEPENDENCYPART_ARC
(8,23),0.471556 # DEPENDENCYPART_ARC
(9,1),-0.722104 # DEPENDENCYPART_ARC
(9,2),-0.910769 # DEPENDENCYPART_ARC
(9,3),-0.97709 # DEPENDENCYPART_ARC
(9,4),-0.826115 # DEPENDENCYPART_ARC
(9,5),-0.538523 # DEPENDENCYPART_ARC
(9,6),0.257365 # DEPENDENCYPART_ARC
(9,7),-0.206321 # DEPENDENCYPART_ARC
(9,8),1.06439 # DEPENDENCYPART_ARC
(9,10),3.61315 # DEPENDENCYPART_ARC
(9,11),0.0249137 # DEPENDENCYPART_ARC
(9,12),0.628356 # DEPENDENCYPART_ARC
(9,13),-0.714452 # DEPENDENCYPART_ARC
(9,14),-0.215721 # DEPENDENCYPART_ARC
(9,15),-0.988167 # DEPENDENCYPART_ARC
(9,16),-0.139227 # DEPENDENCYPART_ARC
(9,17),0.0194665 # DEPENDENCYPART_ARC
(9,18),-1.72156 # DEPENDENCYPART_ARC
(9,19),-0.0434444 # DEPENDENCYPART_ARC
(9,20),-0.648034 # DEPENDENCYPART_ARC
(9,21),-1.64129 # DEPENDENCYPART_ARC
(9,22),-0.179605 # DEPENDENCYPART_ARC
(9,23),-0.237536 # DEPENDENCYPART_ARC
(10,1),0.539174 # DEPENDENCYPART_ARC
(10,2),-1.15925 # DEPENDENCYPART_ARC
(10,3),-0.722828 # DEPENDENCYPART_ARC
(10,4),-0.083661 # DEPENDENCYPART_ARC
(10,5),0.0185971 # DEPENDENCYPART_ARC
(10,6),-0.802194 # DEPENDENCYPART_ARC
(10,7),-0.610688 # DEPENDENCYPART_ARC
(10,8),0.118847 # DEPENDENCYPART_ARC
(10,9),0.578325 # DEPENDENCYPART_ARC
(10,11),4.19471 # DEPENDENCYPART_ARC
(10,12),2.62127 # DEPENDENCYPART_ARC
(10,13),-0.306731 # DEPENDENCYPART_ARC
(10,14),0.849397 # DEPENDENCYPART_ARC
(10,15),1.42482 # DEPENDENCYPART_ARC
(10,16),1.41259 # DEPENDENCYPART_ARC
(10,17),1.09393 # DEPENDENCYPART_ARC
(10,18),-0.484889 # DEPENDENCYPART_ARC
(10,19),1.05795 # DEPENDENCYPART_ARC
(10,20),1.26098 # DEPENDENCYPART_ARC
(10,21),-0.847509 # DEPENDENCYPART_ARC
(10,22),0.371772 # DEPENDENCYPART_ARC
(10,23),0.536052 # DEPENDENCYPART_ARC
(11,1),-1.57483 # DEPENDENCYPART_ARC
(11,2),-1.181 # DEPENDENCYPART_ARC
(11,3),-1.25432 # DEPENDENCYPART_ARC
(11,4),-1.85788 # DEPENDENCYPART_ARC
(11,5),-1.2645 # DEPENDENCYPART_ARC
(11,6),-1.55802 # DEPENDENCYPART_ARC
(11,7),-0.500455 # DEPENDENCYPART_ARC
(11,8),-0.975782 # DEPENDENCYPART_ARC
(11,9),-0.22599 # DEPENDENCYPART_ARC
(11,10),-0.0196804 # DEPENDENCYPART_ARC
(11,12),0.201304 # DEPENDENCYPART_ARC
(11,13),0.0234101 # DEPENDENCYPART_ARC
(11,14),-0.216403 # DEPENDENCYPART_ARC
(11,15),-0.663725 # DEPENDENCYPART_ARC
(11,16),-0.65152 # DEPENDENCYPART_ARC
(11,17),-0.988095 # DEPENDENCYPART_ARC
(11,18),-1.58386 # DEPENDENCYPART_ARC
(11,19),-0.732025 # DEPENDENCYPART_ARC
(11,20),-0.641582 # DEPENDENCYPART_ARC
(11,21),-1.5445 # DEPENDENCYPART_ARC
(11,22),-1.49502 # DEPENDENCYPART_ARC
(11,23),-0.737176 # DEPENDENCYPART_ARC
(12,1),-1.475 # DEPENDENCYPART_ARC
(12,2),-1.38068 # DEPENDENCYPART_ARC
(12,3),-1.33249 # DEPENDENCYPART_ARC
(12,4),-0.815826 # DEPENDENCYPART_ARC
(12,5),-0.652526 # DEPENDENCYPART_ARC
(12,6),-1.06403 # DEPENDENCYPART_ARC
(12,7),-0.152005 # DEPENDENCYPART_ARC
(12,8),-0.264401 # DEPENDENCYPART_ARC
(12,9),-0.611176 # DEPENDENCYPART_ARC
(12,10),-0.628018 # DEPENDENCYPART_ARC
(12,11),1.38139 # DEPENDENCYPART_ARC
(12,13),1.77879 # DEPENDENCYPART_ARC
(12,14),2.1465 # DEPENDENCYPART_ARC
(12,15),3.89473 # DEPENDENCYPART_ARC
(12,16),2.81789 # DEPENDENCYPART_ARC
(12,17),1.31441 # DEPENDENCYPART_ARC
(12,18),1.84824 # DEPENDENCYPART_ARC
(12,19),1.7255 # DEPENDENCYPART_ARC
(12,20),1.33242 # DEPENDENCYPART_ARC
(12,21),0.629625 # DEPENDENCYPART_ARC
(12,22),0.4926 # DEPENDENCYPART_ARC
(12,23),0.664883 # DEPENDENCYPART_ARC
(13,1),-1.94727 # DEPENDENCYPART_ARC
(13,2),-2.41681 # DEPENDENCYPART_ARC
(13,3),-2.18065 # DEPENDENCYPART_ARC
(13,4),-1.99496 # DEPENDENCYPART_ARC
(13,5),-2.17315 # DEPENDENCYPART_ARC
(13,6),-1.86752 # DEPENDENCYPART_ARC
(13,7),-1.73868 # DEPENDENCYPART_ARC
(13,8),-1.60431 # DEPENDENCYPART_ARC
(13,9),-1.86704 # DEPENDENCYPART_ARC
(13,10),-1.16295 # DEPENDENCYPART_ARC
(13,11),-0.436608 # DEPENDENCYPART_ARC
(13,12),-0.0746151 # DEPENDENCYPART_ARC
(13,14),0.515798 # DEPENDENCYPART_ARC
(13,15),0.0871753 # DEPENDENCYPART_ARC
(13,16),-0.343991 # DEPENDENCYPART_ARC
(13,17),-0.323104 # DEPENDENCYPART_ARC
(13,18),-0.650408 # DEPENDENCYPART_ARC
(13,19),-0.398433 # DEPENDENCYPART_ARC
(13,20),-0.628841 # DEPENDENCYPART_ARC
(13,21),-1.02964 # DEPENDENCYPART_ARC
(13,22),-1.27196 # DEPENDENCYPART_ARC
(13,23),-0.814256 # DEPENDENCYPART_ARC
(14,1),-1.83669 # DEPENDENCYPART_ARC
(14,2),-1.44472 # DEPENDENCYPART_ARC
(14,3),-1.22343 # DEPENDENCYPART_ARC
(14,4),-2.31549 # DEPENDENCYPART_ARC
(14,5),-1.13372 # DEPENDENCYPART_ARC
(14,6),-2.17091 # DEPENDENCYPART_ARC
(14,7),-1.93534 # DEPENDENCYPART_ARC
(14,8),-1.34594 # DEPENDENCYPART_ARC
(14,9),-1.39583 # DEPENDENCYPART_ARC
(14,10),-1.50658 # DEPENDENCYPART_ARC
(14,11),-0.485487 # DEPENDENCYPART_ARC
(14,12),-0.122257 # DEPENDENCYPART_ARC
(14,13),1.82754 # DEPENDENCYPART_ARC
(14,15),1.10515 # DEPENDENCYPART_ARC
(14,16),0.0252568 # DEPENDENCYPART_ARC
(14,17),0.0351537 # DEPENDENCYPART_ARC
(14,18),-0.601232 # DEPENDENCYPART_ARC
(14,19),-0.341446 # DEPENDENCYPART_ARC
(14,20),-0.264381 # DEPENDENCYPART_ARC
(14,21),-1.12807 # DEPENDENCYPART_ARC
(14,22),-0.713344 # DEPENDENCYPART_ARC
(14,23),-0.651356 # DEPENDENCYPART_ARC
(15,1),-1.95958 # DEPENDENCYPART_ARC
(15,2),-1.26524 # DEPENDENCYPART_ARC
(15,3),-1.59927 # DEPENDENCYPART_ARC
(15,4),-1.34053 # DEPENDENCYPART_ARC
(15,5),-0.179941 # DEPENDENCYPART_ARC
(15,6),-0.629025 # DEPENDENCYPART_ARC
(15,7),-1.6699 # DEPENDENCYPART_ARC
(15,8),0.197955 # DEPENDENCYPART_ARC
(15,9),-0.71306 # DEPENDENCYPART_ARC
(15,10),-0.0831269 # DEPENDENCYPART_ARC
(15,11),0.113419 # DEPENDENCYPART_ARC
(15,12),0.371328 # DEPENDENCYPART_ARC
(15,13),4.93049 # DEPENDENCYPART_ARC
(15,14),4.4923 # DEPENDENCYPART_ARC
(15,16),3.37412 # DEPENDENCYPART_ARC
(15,17),1.3784 # DEPENDENCYPART_ARC
(15,18),1.2218 # DEPENDENCYPART_ARC
(15,19),1.40618 # DEPENDENCYPART_ARC
(15,20),1.07069 # DEPENDENCYPART_ARC
(15,21),0.269257 # DEPENDENCYPART_ARC
(15,22),1.01593 # DEPENDENCYPART_ARC
(15,23),0.0954422 # DEPENDENCYPART_ARC
(16,1),-1.11417 # DEPENDENCYPART_ARC
(16,2),-1.32658 # DEPENDENCYPART_ARC
(16,3),-1.81372 # DEPENDENCYPART_ARC
(16,4),-1.85214 # DEPENDENCYPART_ARC
(16,5),-0.946828 # DEPENDENCYPART_ARC
(16,6),-1.29054 # DEPENDENCYPART_ARC
(16,7),-1.38844 # DEPENDENCYPART_ARC
(16,8),-1.36238 # DEPENDENCYPART_ARC
(16,9),-1.11368 # DEPENDENCYPART_ARC
(16,10),-0.790464 # DEPENDENCYPART_ARC
(16,11),-0.805252 # DEPENDENCYPART_ARC
(16,12),-0.909119 # DEPENDENCYPART_ARC
(16,13),0.242191 # DEPENDENCYPART_ARC
(16,14),0.0198603 # DEPENDENCYPART_ARC
(16,15),0.289699 # DEPENDENCYPART_ARC
(16,17),1.42801 # DEPENDENCYPART_ARC
(16,18),3.82588 # DEPENDENCYPART_ARC
(16,19),0.490138 # DEPENDENCYPART_ARC
(16,20),0.629841 # DEPENDENCYPART_ARC
(16,21),-0.499512 # DEPENDENCYPART_ARC
(16,22),-0.123941 # DEPENDENCYPART_ARC
(16,23),-0.113383 # DEPENDENCYPART_ARC
(17,1),-1.40771 # DEPENDENCYPART_ARC
(17,2),-1.75498 # DEPENDENCYPART_ARC
(17,3),-1.96923 # DEPENDENCYPART_ARC
(17,4),-1.09454 # DEPENDENCYPART_ARC
(17,5),-0.877894 # DEPENDENCYPART_ARC
(17,6),-1.59642 # DEPENDENCYPART_ARC
(17,7),-1.79461 # DEPENDENCYPART_ARC
(17,8),-0.822341 # DEPENDENCYPART_ARC
(17,9),-2.0023 # DEPENDENCYPART_ARC
(17,10),-1.07976 # DEPENDENCYPART_ARC
(17,11),-1.33332 # DEPENDENCYPART_ARC
(17,12),-0.540406 # DEPENDENCYPART_ARC
(17,13),-0.22697 # DEPENDENCYPART_ARC
(17,14),-0.0884703 # DEPENDENCYPART_ARC
(17,15),-0.435049 # DEPENDENCYPART_ARC
(17,16),0.649739 # DEPENDENCYPART_ARC
(17,18),1.98471 # DEPENDENCYPART_ARC
(17,19),0.575549 # DEPENDENCYPART_ARC
(17,20),0.810494 # DEPENDENCYPART_ARC
(17,21),-0.130385 # DEPENDENCYPART_ARC
(17,22),-0.261176 # DEPENDENCYPART_ARC
(17,23),0.1537 # DEPENDENCYPART_ARC
(18,1),-2.27077 # DEPENDENCYPART_ARC
(18,2),-1.98376 # DEPENDENCYPART_ARC
(18,3),-1.94471 # DEPENDENCYPART_ARC
(18,4),-1.52792 # DEPENDENCYPART_ARC
(18,5),-0.865229 # DEPENDENCYPART_ARC
(18,6),-1.181 # DEPENDENCYPART_ARC
(18,7),-2.41485 # DEPENDENCYPART_ARC
(18,8),0.039458 # DEPENDENCYPART_ARC
(18,9),-0.914024 # DEPENDENCYPART_ARC
(18,10),-0.730512 # DEPENDENCYPART_ARC
(18,11),-1.22558 # DEPENDENCYPART_ARC
(18,12),-0.290818 # DEPENDENCYPART_ARC
(18,13),2.43178 # DEPENDENCYPART_ARC
(18,14),2.30901 # DEPENDENCYPART_ARC
(18,15),0.371045 # DEPENDENCYPART_ARC
(18,16),1.27416 # DEPENDENCYPART_ARC
(18,17),3.6455 # DEPENDENCYPART_ARC
(18,19),1.0036 # DEPENDENCYPART_ARC
(18,20),0.768461 # DEPENDENCYPART_ARC
(18,21),-0.314451 # DEPENDENCYPART_ARC
(18,22),0.104009 # DEPENDENCYPART_ARC
(18,23),-0.189084 # DEPENDENCYPART_ARC
(19,1),-2.47113 # DEPENDENCYPART_ARC
(19,2),-2.64972 # DEPENDENCYPART_ARC
(19,3),-0.812144 # DEPENDENCYPART_ARC
(19,4),-2.48305 # DEPENDENCYPART_ARC
(19,5),-1.88207 # DEPENDENCYPART_ARC
(19,6),-1.87772 # DEPENDENCYPART_ARC
(19,7),-2.5245 # DEPENDENCYPART_ARC
(19,8),-1.3017 # DEPENDENCYPART_ARC
(19,9),-2.03088 # DEPENDENCYPART_ARC
(19,10),-1.55799 # DEPENDENCYPART_ARC
(19,11),-2.11465 # DEPENDENCYPART_ARC
(19,12),-0.868665 # DEPENDENCYPART_ARC
(19,13),-0.882553 # DEPENDENCYPART_ARC
(19,14),-1.3586 # DEPENDENCYPART_ARC
(19,15),-1.22275 # DEPENDENCYPART_ARC
(19,16),-0.71671 # DEPENDENCYPART_ARC
(19,17),-0.593022 # DEPENDENCYPART_ARC
(19,18),-0.62197 # DEPENDENCYPART_ARC
(19,20),0.725545 # DEPENDENCYPART_ARC
(19,21),-0.582439 # DEPENDENCYPART_ARC
(19,22),-0.374293 # DEPENDENCYPART_ARC
(19,23),-0.785711 # DEPENDENCYPART_ARC
(20,1),-2.75362 # DEPENDENCYPART_ARC
(20,2),-3.02411 # DEPENDENCYPART_ARC
(20,3),-2.24326 # DEPENDENCYPART_ARC
(20,4),-2.72751 # DEPENDENCYPART_ARC
(20,5),-0.215915 # DEPENDENCYPART_ARC
(20,6),-2.34637 # DEPENDENCYPART_ARC
(20,7),-2.61284 # DEPENDENCYPART_ARC
(20,8),-2.08535 # DEPENDENCYPART_ARC
(20,9),-2.22374 # DEPENDENCYPART_ARC
(20,10),-1.897 # DEPENDENCYPART_ARC
(20,11),-2.19009 # DEPENDENCYPART_ARC
(20,12),-1.60307 # DEPENDENCYPART_ARC
(20,13),-0.971101 # DEPENDENCYPART_ARC
(20,14),-1.67184 # DEPENDENCYPART_ARC
(20,15),-1.66812 # DEPENDENCYPART_ARC
(20,16),-0.992478 # DEPENDENCYPART_ARC
(20,17),-0.933928 # DEPENDENCYPART_ARC
(20,18),-1.21378 # DEPENDENCYPART_ARC
(20,19),0.488641 # DEPENDENCYPART_ARC
(20,21),0.0117224 # DEPENDENCYPART_ARC
(20,22),0.0150248 # DEPENDENCYPART_ARC
(20,23),-0.469595 # DEPENDENCYPART_ARC
(21,1),-2.58076 # DEPENDENCYPART_ARC
(21,2),-2.54538 # DEPENDENCYPART_ARC
(21,3),-1.28751 # DEPENDENCYPART_ARC
(21,4),-2.53331 # DEPENDENCYPART_ARC
(21,5),-2.29214 # DEPENDENCYPART_ARC
(21,6),-1.8966 # DEPENDENCYPART_ARC
(21,7),-2.5341 # DEPENDENCYPART_ARC
(21,8),-1.89108 # DEPENDENCYPART_ARC
(21,9),-1.87172 # DEPENDENCYPART_ARC
(21,10),-1.48152 # DEPENDENCYPART_ARC
(21,11),-2.01354 # DEPENDENCYPART_ARC
(21,12),-1.40521 # DEPENDENCYPART_ARC
(21,13),-0.567256 # DEPENDENCYPART_ARC
(21,14),-1.16588 # DEPENDENCYPART_ARC
(21,15),-1.68304 # DEPENDENCYPART_ARC
(21,16),-0.875561 # DEPENDENCYPART_ARC
(21,17),-0.802965 # DEPENDENCYPART_ARC
(21,18),-0.860935 # DEPENDENCYPART_ARC
(21,19),0.775164 # DEPENDENCYPART_ARC
(21,20),0.213392 # DEPENDENCYPART_ARC
(21,22),1.17255 # DEPENDENCYPART_ARC
(21,23),-0.406238 # DEPENDENCYPART_ARC
(22,1),0.336444 # DEPENDENCYPART_ARC
(22,2),-2.06345 # DEPENDENCYPART_ARC
(22,3),-0.49877 # DEPENDENCYPART_ARC
(22,4),-1.18128 # DEPENDENCYPART_ARC
(22,5),1.85555 # DEPENDENCYPART_ARC
(22,6),2.18941 # DEPENDENCYPART_ARC
(22,7),-0.811224 # DEPENDENCYPART_ARC
(22,8),-1.25264 # DEPENDENCYPART_ARC
(22,9),-0.0829791 # DEPENDENCYPART_ARC
(22,10),2.00402 # DEPENDENCYPART_ARC
(22,11),0.0303603 # DEPENDENCYPART_ARC
(22,12),-0.124726 # DEPENDENCYPART_ARC
(22,13),-0.656886 # DEPENDENCYPART_ARC
(22,14),-0.279288 # DEPENDENCYPART_ARC
(22,15),-0.650117 # DEPENDENCYPART_ARC
(22,16),-0.348928 # DEPENDENCYPART_ARC
(22,17),0.317041 # DEPENDENCYPART_ARC
(22,18),-1.04779 # DEPENDENCYPART_ARC
(22,19),3.41322 # DEPENDENCYPART_ARC
(22,20),3.48565 # DEPENDENCYPART_ARC
(22,21),4.02062 # DEPENDENCYPART_ARC
(22,23),6.09779 # DEPENDENCYPART_ARC
(23,1),-3.73931 # DEPENDENCYPART_ARC
(23,2),-3.58157 # DEPENDENCYPART_ARC
(23,3),-1.56592 # DEPENDENCYPART_ARC
(23,4),-2.0578 # DEPENDENCYPART_ARC
