# _root_ Burmah Oil PLC , a British independent oil and specialty chemicals marketing concern , said SHV Holdings N.V. of the Netherlands has built up a 6.7 % stake in the company .
#goldHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
#predictedHeads=3,3,15,3,8,8,8,3,8,13,13,13,9,3,0,17,22,17,17,21,19,15,22,23,28,27,28,23,28,31,29,15,
(11,3),-2.08472 # DEPENDENCYPART_ARC
(11,4),-1.35547 # DEPENDENCYPART_ARC
(11,5),0.342127 # DEPENDENCYPART_ARC
(11,6),0.425291 # DEPENDENCYPART_ARC
(11,7),0.928455 # DEPENDENCYPART_ARC
(11,8),-0.142294 # DEPENDENCYPART_ARC
(11,9),-0.513158 # DEPENDENCYPART_ARC
(11,10),2.71465 # DEPENDENCYPART_ARC
(11,12),-0.20505 # DEPENDENCYPART_ARC
(11,13),-0.589177 # DEPENDENCYPART_ARC
(11,14),-0.353622 # DEPENDENCYPART_ARC
(11,15),-1.22774 # DEPENDENCYPART_ARC
(11,16),-1.38133 # DEPENDENCYPART_ARC
(11,17),-1.49445 # DEPENDENCYPART_ARC
(11,18),-1.30723 # DEPENDENCYPART_ARC
(11,19),-1.82086 # DEPENDENCYPART_ARC
(11,20),-2.52405 # DEPENDENCYPART_ARC
(11,21),-2.09167 # DEPENDENCYPART_ARC
(11,22),-1.27367 # DEPENDENCYPART_ARC
(11,23),-2.26532 # DEPENDENCYPART_ARC
(11,24),-2.76688 # DEPENDENCYPART_ARC
(11,25),-2.82162 # DEPENDENCYPART_ARC
(11,26),-2.38165 # DEPENDENCYPART_ARC
(11,27),-2.70839 # DEPENDENCYPART_ARC
(11,28),-3.07142 # DEPENDENCYPART_ARC
(11,29),-3.75673 # DEPENDENCYPART_ARC
(11,30),-3.52084 # DEPENDENCYPART_ARC
(11,31),-3.88934 # DEPENDENCYPART_ARC
(11,32),-0.889339 # DEPENDENCYPART_ARC
(12,1),-1.28311 # DEPENDENCYPART_ARC
(12,2),-0.89939 # DEPENDENCYPART_ARC
(12,3),-1.63348 # DEPENDENCYPART_ARC
(12,4),-1.10431 # DEPENDENCYPART_ARC
(12,5),1.60049 # DEPENDENCYPART_ARC
(12,6),1.51641 # DEPENDENCYPART_ARC
(12,7),1.44989 # DEPENDENCYPART_ARC
(12,8),0.818847 # DEPENDENCYPART_ARC
(12,9),-0.0485084 # DEPENDENCYPART_ARC
(12,10),3.18755 # DEPENDENCYPART_ARC
(12,11),2.41156 # DEPENDENCYPART_ARC
(12,13),0.504992 # DEPENDENCYPART_ARC
(12,14),0.25239 # DEPENDENCYPART_ARC
(12,15),-0.209026 # DEPENDENCYPART_ARC
(12,16),-0.997785 # DEPENDENCYPART_ARC
(12,17),-0.876903 # DEPENDENCYPART_ARC
(12,18),-1.21328 # DEPENDENCYPART_ARC
(12,19),-1.60943 # DEPENDENCYPART_ARC
(12,20),-2.10877 # DEPENDENCYPART_ARC
(12,21),-1.91816 # DEPENDENCYPART_ARC
(12,22),-1.26962 # DEPENDENCYPART_ARC
(12,23),-1.69688 # DEPENDENCYPART_ARC
(12,24),-2.19084 # DEPENDENCYPART_ARC
(12,25),-2.61383 # DEPENDENCYPART_ARC
(12,26),-2.37104 # DEPENDENCYPART_ARC
(12,27),-3.78511 # DEPENDENCYPART_ARC
(12,28),-2.13927 # DEPENDENCYPART_ARC
(12,29),-3.60162 # DEPENDENCYPART_ARC
(12,30),-3.00148 # DEPENDENCYPART_ARC
(12,31),-3.51269 # DEPENDENCYPART_ARC
(12,32),-1.17224 # DEPENDENCYPART_ARC
(13,1),-0.64878 # DEPENDENCYPART_ARC
(13,2),-0.765133 # DEPENDENCYPART_ARC
(13,3),-1.07137 # DEPENDENCYPART_ARC
(13,4),-0.196496 # DEPENDENCYPART_ARC
(13,5),2.65645 # DEPENDENCYPART_ARC
(13,6),2.24843 # DEPENDENCYPART_ARC
(13,7),1.93664 # DEPENDENCYPART_ARC
(13,8),1.54779 # DEPENDENCYPART_ARC
(13,9),0.309696 # DEPENDENCYPART_ARC
(13,10),4.00346 # DEPENDENCYPART_ARC
(13,11),3.53238 # DEPENDENCYPART_ARC
(13,12),4.74517 # DEPENDENCYPART_ARC
(13,14),1.09349 # DEPENDENCYPART_ARC
(13,15),0.258991 # DEPENDENCYPART_ARC
(13,16),-0.0550278 # DEPENDENCYPART_ARC
(13,17),0.165506 # DEPENDENCYPART_ARC
(13,18),-0.155959 # DEPENDENCYPART_ARC
(13,19),-1.09161 # DEPENDENCYPART_ARC
(13,20),-1.74176 # DEPENDENCYPART_ARC
(13,21),-1.13633 # DEPENDENCYPART_ARC
(13,22),-0.854762 # DEPENDENCYPART_ARC
(13,23),-1.20766 # DEPENDENCYPART_ARC
(13,24),-1.59525 # DEPENDENCYPART_ARC
(13,25),-2.28569 # DEPENDENCYPART_ARC
(13,26),-1.9783 # DEPENDENCYPART_ARC
(13,27),-3.62926 # DEPENDENCYPART_ARC
(13,28),-1.8795 # DEPENDENCYPART_ARC
(13,29),-3.76719 # DEPENDENCYPART_ARC
(13,30),-2.72802 # DEPENDENCYPART_ARC
(13,31),-3.64527 # DEPENDENCYPART_ARC
(13,32),-0.33854 # DEPENDENCYPART_ARC
(14,1),-2.66222 # DEPENDENCYPART_ARC
(14,2),-2.60655 # DEPENDENCYPART_ARC
(14,3),-2.55936 # DEPENDENCYPART_ARC
(14,4),-0.536021 # DEPENDENCYPART_ARC
(14,5),-1.51866 # DEPENDENCYPART_ARC
(14,6),-2.10205 # DEPENDENCYPART_ARC
(14,7),-1.74337 # DEPENDENCYPART_ARC
(14,8),-1.53141 # DEPENDENCYPART_ARC
(14,9),-1.94944 # DEPENDENCYPART_ARC
(14,10),-1.31153 # DEPENDENCYPART_ARC
(14,11),-1.23328 # DEPENDENCYPART_ARC
(14,12),-1.31727 # DEPENDENCYPART_ARC
(14,13),-0.87206 # DEPENDENCYPART_ARC
(14,15),0.12439 # DEPENDENCYPART_ARC
(14,16),-0.757601 # DEPENDENCYPART_ARC
(14,17),-1.02022 # DEPENDENCYPART_ARC
(14,18),-1.30307 # DEPENDENCYPART_ARC
(14,19),-1.53679 # DEPENDENCYPART_ARC
(14,20),-1.86387 # DEPENDENCYPART_ARC
(14,21),-2.00774 # DEPENDENCYPART_ARC
(14,22),-1.68463 # DEPENDENCYPART_ARC
(14,23),-2.03497 # DEPENDENCYPART_ARC
(14,24),-2.31432 # DEPENDENCYPART_ARC
(14,25),-2.44139 # DEPENDENCYPART_ARC
(14,26),-2.90358 # DEPENDENCYPART_ARC
(14,27),-2.91077 # DEPENDENCYPART_ARC
(14,28),-3.10051 # DEPENDENCYPART_ARC
(14,29),-2.44444 # DEPENDENCYPART_ARC
(14,30),-2.94885 # DEPENDENCYPART_ARC
(14,31),-3.42592 # DEPENDENCYPART_ARC
(14,32),-2.50513 # DEPENDENCYPART_ARC
(15,1),2.09025 # DEPENDENCYPART_ARC
(15,2),1.79029 # DEPENDENCYPART_ARC
(15,3),2.26816 # DEPENDENCYPART_ARC
(15,4),1.29112 # DEPENDENCYPART_ARC
(15,5),-0.926663 # DEPENDENCYPART_ARC
(15,6),1.68087 # DEPENDENCYPART_ARC
(15,7),-0.721555 # DEPENDENCYPART_ARC
(15,8),1.03653 # DEPENDENCYPART_ARC
(15,9),0.0571927 # DEPENDENCYPART_ARC
(15,10),0.899351 # DEPENDENCYPART_ARC
(15,11),-0.0216026 # DEPENDENCYPART_ARC
(15,12),0.860379 # DEPENDENCYPART_ARC
(15,13),0.680995 # DEPENDENCYPART_ARC
(15,14),3.09339 # DEPENDENCYPART_ARC
(15,16),0.818275 # DEPENDENCYPART_ARC
(15,17),1.01138 # DEPENDENCYPART_ARC
(15,18),1.46547 # DEPENDENCYPART_ARC
(15,19),0.980009 # DEPENDENCYPART_ARC
(15,20),-1.50413 # DEPENDENCYPART_ARC
(15,21),-0.359512 # DEPENDENCYPART_ARC
(15,22),1.8974 # DEPENDENCYPART_ARC
(15,23),-0.701315 # DEPENDENCYPART_ARC
(15,24),-0.338948 # DEPENDENCYPART_ARC
(15,25),-1.64286 # DEPENDENCYPART_ARC
(15,26),-1.1867 # DEPENDENCYPART_ARC
(15,27),-2.52854 # DEPENDENCYPART_ARC
(15,28),-1.76262 # DEPENDENCYPART_ARC
(15,29),-0.728535 # DEPENDENCYPART_ARC
(15,30),-2.50659 # DEPENDENCYPART_ARC
(15,31),-2.77631 # DEPENDENCYPART_ARC
(15,32),8.41203 # DEPENDENCYPART_ARC
(16,1),-5.97929 # DEPENDENCYPART_ARC
(16,2),-5.90647 # DEPENDENCYPART_ARC
(16,3),-6.18953 # DEPENDENCYPART_ARC
(16,4),-3.81652 # DEPENDENCYPART_ARC
(16,5),-4.03942 # DEPENDENCYPART_ARC
(16,6),-3.80264 # DEPENDENCYPART_ARC
(16,7),-2.57335 # DEPENDENCYPART_ARC
(16,8),-3.25481 # DEPENDENCYPART_ARC
(16,9),-4.05348 # DEPENDENCYPART_ARC
