# _root_ On the screens , only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .
#goldHeads=10,3,1,10,9,9,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
#predictedHeads=10,3,1,10,9,5,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,21,23,15,
(2,6),-2.04854 # DEPENDENCYPART_ARC
(2,7),-2.13989 # DEPENDENCYPART_ARC
(2,8),-2.35019 # DEPENDENCYPART_ARC
(2,9),-2.43304 # DEPENDENCYPART_ARC
(2,10),-2.57348 # DEPENDENCYPART_ARC
(2,11),-2.02924 # DEPENDENCYPART_ARC
(2,12),-2.24312 # DEPENDENCYPART_ARC
(2,13),-3.74006 # DEPENDENCYPART_ARC
(2,14),-2.87776 # DEPENDENCYPART_ARC
(2,15),-4.14165 # DEPENDENCYPART_ARC
(2,16),-3.06367 # DEPENDENCYPART_ARC
(2,17),-4.13053 # DEPENDENCYPART_ARC
(2,18),-3.60125 # DEPENDENCYPART_ARC
(2,19),-3.64288 # DEPENDENCYPART_ARC
(2,20),-3.53388 # DEPENDENCYPART_ARC
(2,21),-5.22582 # DEPENDENCYPART_ARC
(2,22),-4.00185 # DEPENDENCYPART_ARC
(2,23),-4.28833 # DEPENDENCYPART_ARC
(2,24),-4.83273 # DEPENDENCYPART_ARC
(2,25),-2.06012 # DEPENDENCYPART_ARC
(3,1),0.163384 # DEPENDENCYPART_ARC
(3,2),4.37234 # DEPENDENCYPART_ARC
(3,4),1.47945 # DEPENDENCYPART_ARC
(3,5),0.945583 # DEPENDENCYPART_ARC
(3,6),0.822143 # DEPENDENCYPART_ARC
(3,7),0.745533 # DEPENDENCYPART_ARC
(3,8),0.499457 # DEPENDENCYPART_ARC
(3,9),0.591227 # DEPENDENCYPART_ARC
(3,10),0.254178 # DEPENDENCYPART_ARC
(3,11),0.698025 # DEPENDENCYPART_ARC
(3,12),0.0925171 # DEPENDENCYPART_ARC
(3,13),-0.254775 # DEPENDENCYPART_ARC
(3,14),-0.637409 # DEPENDENCYPART_ARC
(3,15),-0.262384 # DEPENDENCYPART_ARC
(3,16),-0.667647 # DEPENDENCYPART_ARC
(3,17),-0.531686 # DEPENDENCYPART_ARC
(3,18),-0.669571 # DEPENDENCYPART_ARC
(3,19),0.158127 # DEPENDENCYPART_ARC
(3,20),-1.75838 # DEPENDENCYPART_ARC
(3,21),-1.83066 # DEPENDENCYPART_ARC
(3,22),-1.7823 # DEPENDENCYPART_ARC
(3,23),-1.02526 # DEPENDENCYPART_ARC
(3,24),-1.83297 # DEPENDENCYPART_ARC
(3,25),0.629818 # DEPENDENCYPART_ARC
(4,1),-0.988064 # DEPENDENCYPART_ARC
(4,2),-0.574397 # DEPENDENCYPART_ARC
(4,3),-1.02425 # DEPENDENCYPART_ARC
(4,5),-0.14998 # DEPENDENCYPART_ARC
(4,6),-0.505045 # DEPENDENCYPART_ARC
(4,7),-0.8849 # DEPENDENCYPART_ARC
(4,8),-1.15151 # DEPENDENCYPART_ARC
(4,9),-1.40512 # DEPENDENCYPART_ARC
(4,10),-0.985941 # DEPENDENCYPART_ARC
(4,11),0.391047 # DEPENDENCYPART_ARC
(4,12),-1.10611 # DEPENDENCYPART_ARC
(4,13),-1.82477 # DEPENDENCYPART_ARC
(4,14),-2.32965 # DEPENDENCYPART_ARC
(4,15),-1.50177 # DEPENDENCYPART_ARC
(4,16),-1.94689 # DEPENDENCYPART_ARC
(4,17),-2.27937 # DEPENDENCYPART_ARC
(4,18),-2.49358 # DEPENDENCYPART_ARC
(4,19),-2.7753 # DEPENDENCYPART_ARC
(4,20),-2.13976 # DEPENDENCYPART_ARC
(4,21),-2.09849 # DEPENDENCYPART_ARC
(4,22),-2.68563 # DEPENDENCYPART_ARC
(4,23),-2.79386 # DEPENDENCYPART_ARC
(4,24),-3.26276 # DEPENDENCYPART_ARC
(4,25),-2.02047 # DEPENDENCYPART_ARC
(5,1),-0.704092 # DEPENDENCYPART_ARC
(5,2),0.182811 # DEPENDENCYPART_ARC
(5,3),-0.974358 # DEPENDENCYPART_ARC
(5,4),0.155471 # DEPENDENCYPART_ARC
(5,6),4.03159 # DEPENDENCYPART_ARC
(5,7),1.72359 # DEPENDENCYPART_ARC
(5,8),1.38682 # DEPENDENCYPART_ARC
(5,9),0.755102 # DEPENDENCYPART_ARC
(5,10),1.07897 # DEPENDENCYPART_ARC
(5,11),1.37985 # DEPENDENCYPART_ARC
(5,12),0.849438 # DEPENDENCYPART_ARC
(5,13),0.00767983 # DEPENDENCYPART_ARC
(5,14),-1.24387 # DEPENDENCYPART_ARC
(5,15),0.210869 # DEPENDENCYPART_ARC
(5,16),-0.0559967 # DEPENDENCYPART_ARC
(5,17),-0.35064 # DEPENDENCYPART_ARC
(5,18),-0.529286 # DEPENDENCYPART_ARC
(5,19),-0.753547 # DEPENDENCYPART_ARC
(5,20),0.167476 # DEPENDENCYPART_ARC
(5,21),-0.161221 # DEPENDENCYPART_ARC
(5,22),-1.33622 # DEPENDENCYPART_ARC
(5,23),-1.46615 # DEPENDENCYPART_ARC
(5,24),-2.37294 # DEPENDENCYPART_ARC
(5,25),3.09906 # DEPENDENCYPART_ARC
(6,1),-1.19761 # DEPENDENCYPART_ARC
(6,2),0.916468 # DEPENDENCYPART_ARC
(6,3),-0.38278 # DEPENDENCYPART_ARC
(6,4),0.117233 # DEPENDENCYPART_ARC
(6,5),1.15728 # DEPENDENCYPART_ARC
(6,7),1.33214 # DEPENDENCYPART_ARC
(6,8),0.697801 # DEPENDENCYPART_ARC
(6,9),0.222589 # DEPENDENCYPART_ARC
(6,10),0.306674 # DEPENDENCYPART_ARC
(6,11),0.0524402 # DEPENDENCYPART_ARC
(6,12),0.306057 # DEPENDENCYPART_ARC
(6,13),-0.73379 # DEPENDENCYPART_ARC
(6,14),-0.24817 # DEPENDENCYPART_ARC
(6,15),-0.0868421 # DEPENDENCYPART_ARC
(6,16),-0.371746 # DEPENDENCYPART_ARC
(6,17),-1.23942 # DEPENDENCYPART_ARC
(6,18),-0.96151 # DEPENDENCYPART_ARC
(6,19),-0.543131 # DEPENDENCYPART_ARC
(6,20),-0.396195 # DEPENDENCYPART_ARC
(6,21),-1.30535 # DEPENDENCYPART_ARC
(6,22),-1.48552 # DEPENDENCYPART_ARC
(6,23),-1.54543 # DEPENDENCYPART_ARC
(6,24),-1.93517 # DEPENDENCYPART_ARC
(6,25),-1.11523 # DEPENDENCYPART_ARC
(7,1),-0.398681 # DEPENDENCYPART_ARC
(7,2),0.422978 # DEPENDENCYPART_ARC
(7,3),-0.701789 # DEPENDENCYPART_ARC
(7,4),0.0676241 # DEPENDENCYPART_ARC
(7,5),0.3621 # DEPENDENCYPART_ARC
(7,6),1.50869 # DEPENDENCYPART_ARC
(7,8),1.39536 # DEPENDENCYPART_ARC
(7,9),0.939459 # DEPENDENCYPART_ARC
(7,10),0.543872 # DEPENDENCYPART_ARC
(7,11),0.0877192 # DEPENDENCYPART_ARC
(7,12),-0.139738 # DEPENDENCYPART_ARC
(7,13),-1.02514 # DEPENDENCYPART_ARC
(7,14),-0.668057 # DEPENDENCYPART_ARC
(7,15),-0.318037 # DEPENDENCYPART_ARC
(7,16),-0.468686 # DEPENDENCYPART_ARC
(7,17),-1.38438 # DEPENDENCYPART_ARC
(7,18),-0.91242 # DEPENDENCYPART_ARC
(7,19),-0.858105 # DEPENDENCYPART_ARC
(7,20),-1.66889 # DEPENDENCYPART_ARC
(7,21),-0.675548 # DEPENDENCYPART_ARC
(7,22),-1.66289 # DEPENDENCYPART_ARC
(7,23),-1.47157 # DEPENDENCYPART_ARC
(7,24),-2.84798 # DEPENDENCYPART_ARC
(7,25),-0.0564233 # DEPENDENCYPART_ARC
(8,1),-0.80501 # DEPENDENCYPART_ARC
(8,2),-0.0890379 # DEPENDENCYPART_ARC
(8,3),-1.09393 # DEPENDENCYPART_ARC
(8,4),-0.475259 # DEPENDENCYPART_ARC
(8,5),-0.559195 # DEPENDENCYPART_ARC
(8,6),0.611098 # DEPENDENCYPART_ARC
(8,7),2.13741 # DEPENDENCYPART_ARC
(8,9),0.919311 # DEPENDENCYPART_ARC
(8,10),0.30675 # DEPENDENCYPART_ARC
(8,11),-0.104701 # DEPENDENCYPART_ARC
(8,12),-0.402515 # DEPENDENCYPART_ARC
(8,13),-1.54926 # DEPENDENCYPART_ARC
(8,14),-1.23299 # DEPENDENCYPART_ARC
(8,15),-0.768504 # DEPENDENCYPART_ARC
(8,16),-1.07523 # DEPENDENCYPART_ARC
(8,17),-1.87435 # DEPENDENCYPART_ARC
(8,18),-1.35351 # DEPENDENCYPART_ARC
(8,19),-1.30145 # DEPENDENCYPART_ARC
(8,20),-2.1138 # DEPENDENCYPART_ARC
(8,21),-1.13809 # DEPENDENCYPART_ARC
(8,22),-2.30707 # DEPENDENCYPART_ARC
(8,23),-2.10153 # DEPENDENCYPART_ARC
(8,24),-3.35044 # DEPENDENCYPART_ARC
(8,25),-0.265622 # DEPENDENCYPART_ARC
(9,1),-0.649934 # DEPENDENCYPART_ARC
(9,2),2.77111 # DEPENDENCYPART_ARC
(9,3),-0.140384 # DEPENDENCYPART_ARC
(9,4),0.176623 # DEPENDENCYPART_ARC
(9,5),2.42342 # DEPENDENCYPART_ARC
(9,6),3.68556 # DEPENDENCYPART_ARC
(9,7),4.02243 # DEPENDENCYPART_ARC
(9,8),4.53899 # DEPENDENCYPART_ARC
(9,10),0.992476 # DEPENDENCYPART_ARC
(9,11),0.389333 # DEPENDENCYPART_ARC
(9,12),0.164382 # DEPENDENCYPART_ARC
(9,13),-0.451473 # DEPENDENCYPART_ARC
(9,14),-0.594902 # DEPENDENCYPART_ARC
(9,15),-0.520633 # DEPENDENCYPART_ARC
(9,16),-0.76273 # DEPENDENCYPART_ARC
(9,17),-0.560617 # DEPENDENCYPART_ARC
(9,18),-0.764613 # DEPENDENCYPART_ARC
(9,19),-0.651986 # DEPENDENCYPART_ARC
(9,20),-1.44417 # DEPENDENCYPART_ARC
(9,21),-1.88458 # DEPENDENCYPART_ARC
(9,22),-1.71485 # DEPENDENCYPART_ARC
(9,23),-1.24818 # DEPENDENCYPART_ARC
(9,24),-1.74472 # DEPENDENCYPART_ARC
(9,25),0.994932 # DEPENDENCYPART_ARC
(10,1),1.50858 # DEPENDENCYPART_ARC
(10,2),-0.359453 # DEPENDENCYPART_ARC
(10,3),0.681899 # DEPENDENCYPART_ARC
(10,4),1.98308 # DEPENDENCYPART_ARC
(10,5),0.134073 # DEPENDENCYPART_ARC
(10,6),1.35457 # DEPENDENCYPART_ARC
(10,7),1.33258 # DEPENDENCYPART_ARC
(10,8),0.98512 # DEPENDENCYPART_ARC
(10,9),2.81401 # DEPENDENCYPART_ARC
(10,11),2.65663 # DEPENDENCYPART_ARC
(10,12),1.37727 # DEPENDENCYPART_ARC
(10,13),-0.798781 # DEPENDENCYPART_ARC
(10,14),-0.575082 # DEPENDENCYPART_ARC
(10,15),0.228269 # DEPENDENCYPART_ARC
(10,16),0.0461549 # DEPENDENCYPART_ARC
(10,17),-1.18177 # DEPENDENCYPART_ARC
(10,18),-1.82876 # DEPENDENCYPART_ARC
(10,19),-0.964263 # DEPENDENCYPART_ARC
(10,20),0.603383 # DEPENDENCYPART_ARC
(10,21),-1.57843 # DEPENDENCYPART_ARC
(10,22),-1.1351 # DEPENDENCYPART_ARC
(10,23),-1.92538 # DEPENDENCYPART_ARC
(10,24),-1.99904 # DEPENDENCYPART_ARC
(10,25),3.85212 # DEPENDENCYPART_ARC
(11,1),-1.93559 # DEPENDENCYPART_ARC
(11,2),-1.52505 # DEPENDENCYPART_ARC
(11,3),-2.05267 # DEPENDENCYPART_ARC
(11,4),-0.259074 # DEPENDENCYPART_ARC
(11,5),-2.08752 # DEPENDENCYPART_ARC
(11,6),-1.58153 # DEPENDENCYPART_ARC
(11,7),-1.38261 # DEPENDENCYPART_ARC
(11,8),-1.03871 # DEPENDENCYPART_ARC
(11,9),-1.54309 # DEPENDENCYPART_ARC
(11,10),-0.528485 # DEPENDENCYPART_ARC
(11,12),-0.211781 # DEPENDENCYPART_ARC
(11,13),-1.11499 # DEPENDENCYPART_ARC
(11,14),-1.46119 # DEPENDENCYPART_ARC
(11,15),-1.10732 # DEPENDENCYPART_ARC
(11,16),-1.6082 # DEPENDENCYPART_ARC
(11,17),-1.86865 # DEPENDENCYPART_ARC
(11,18),-2.05344 # DEPENDENCYPART_ARC
(11,19),-2.39571 # DEPENDENCYPART_ARC
(11,20),-1.85436 # DEPENDENCYPART_ARC
(11,21),-1.79281 # DEPENDENCYPART_ARC
(11,22),-2.29728 # DEPENDENCYPART_ARC
(11,23),-2.43776 # DEPENDENCYPART_ARC
(11,24),-2.94767 # DEPENDENCYPART_ARC
(11,25),-1.91245 # DEPENDENCYPART_ARC
(12,1),-1.81798 # DEPENDENCYPART_ARC
(12,2),-1.64714 # DEPENDENCYPART_ARC
(12,3),-1.62513 # DEPENDENCYPART_ARC
(12,4),-2.14846 # DEPENDENCYPART_ARC
(12,5),-1.99277 # DEPENDENCYPART_ARC
(12,6),-1.60827 # DEPENDENCYPART_ARC
(12,7),-1.37218 # DEPENDENCYPART_ARC
(12,8),-1.14067 # DEPENDENCYPART_ARC
(12,9),-0.762741 # DEPENDENCYPART_ARC
(12,10),-0.519 # DEPENDENCYPART_ARC
(12,11),-0.614256 # DEPENDENCYPART_ARC
(12,13),0.62601 # DEPENDENCYPART_ARC
(12,14),0.58165 # DEPENDENCYPART_ARC
(12,15),3.68598 # DEPENDENCYPART_ARC
(12,16),1.27582 # DEPENDENCYPART_ARC
(12,17),-0.929966 # DEPENDENCYPART_ARC
(12,18),-0.529566 # DEPENDENCYPART_ARC
(12,19),-1.87547 # DEPENDENCYPART_ARC
(12,20),0.368025 # DEPENDENCYPART_ARC
(12,21),0.917612 # DEPENDENCYPART_ARC
(12,22),-0.709076 # DEPENDENCYPART_ARC
(12,23),-0.939899 # DEPENDENCYPART_ARC
(12,24),-0.965693 # DEPENDENCYPART_ARC
(12,25),-0.394267 # DEPENDENCYPART_ARC
(13,1),-3.69068 # DEPENDENCYPART_ARC
(13,2),-3.36101 # DEPENDENCYPART_ARC
(13,3),-3.76569 # DEPENDENCYPART_ARC
(13,4),-3.44483 # DEPENDENCYPART_ARC
(13,5),-3.62185 # DEPENDENCYPART_ARC
(13,6),-3.11826 # DEPENDENCYPART_ARC
(13,7),-3.08755 # DEPENDENCYPART_ARC
(13,8),-2.84924 # DEPENDENCYPART_ARC
(13,9),-2.89377 # DEPENDENCYPART_ARC
(13,10),-2.53831 # DEPENDENCYPART_ARC
(13,11),-2.10251 # DEPENDENCYPART_ARC
(13,12),-1.73147 # DEPENDENCYPART_ARC
(13,14),0.03724 # DEPENDENCYPART_ARC
(13,15),-0.111211 # DEPENDENCYPART_ARC
(13,16),-1.10884 # DEPENDENCYPART_ARC
(13,17),-2.29132 # DEPENDENCYPART_ARC
(13,18),-1.82329 # DEPENDENCYPART_ARC
(13,19),-2.01087 # DEPENDENCYPART_ARC
(13,20),-1.06009 # DEPENDENCYPART_ARC
(13,21),-1.90821 # DEPENDENCYPART_ARC
(13,22),-2.22464 # DEPENDENCYPART_ARC
(13,23),-2.44452 # DEPENDENCYPART_ARC
(13,24),-2.99865 # DEPENDENCYPART_ARC
(13,25),-1.38084 # DEPENDENCYPART_ARC
(14,1),-2.15122 # DEPENDENCYPART_ARC
(14,2),-1.05078 # DEPENDENCYPART_ARC
(14,3),-2.06414 # DEPENDENCYPART_ARC
(14,4),-1.00869 # DEPENDENCYPART_ARC
(14,5),-0.480638 # DEPENDENCYPART_ARC
(14,6),-1.30515 # DEPENDENCYPART_ARC
(14,7),-0.567893 # DEPENDENCYPART_ARC
(14,8),-0.627566 # DEPENDENCYPART_ARC
(14,9),-0.830041 # DEPENDENCYPART_ARC
(14,10),-0.223525 # DEPENDENCYPART_ARC
(14,11),0.348469 # DEPENDENCYPART_ARC
(14,12),0.391664 # DEPENDENCYPART_ARC
(14,13),4.5601 # DEPENDENCYPART_ARC
(14,15),1.4024 # DEPENDENCYPART_ARC
(14,16),0.681847 # DEPENDENCYPART_ARC
(14,17),-0.122547 # DEPENDENCYPART_ARC
(14,18),-0.250202 # DEPENDENCYPART_ARC
(14,19),-0.329718 # DEPENDENCYPART_ARC
(14,20),-0.34178 # DEPENDENCYPART_ARC
(14,21),-0.402798 # DEPENDENCYPART_ARC
(14,22),-0.807567 # DEPENDENCYPART_ARC
(14,23),-0.418747 # DEPENDENCYPART_ARC
(14,24),-0.762916 # DEPENDENCYPART_ARC
(14,25),1.06626 # DEPENDENCYPART_ARC
(15,1),1.29359 # DEPENDENCYPART_ARC
(15,2),-1.23382 # DEPENDENCYPART_ARC
(15,3),0.117876 # DEPENDENCYPART_ARC
(15,4),0.83103 # DEPENDENCYPART_ARC
(15,5),-0.0641538 # DEPENDENCYPART_ARC
(15,6),0.628603 # DEPENDENCYPART_ARC
(15,7),0.495384 # DEPENDENCYPART_ARC
(15,8),0.314387 # DEPENDENCYPART_ARC
(15,9),1.08327 # DEPENDENCYPART_ARC
(15,10),0.100817 # DEPENDENCYPART_ARC
(15,11),0.284286 # DEPENDENCYPART_ARC
(15,12),0.669887 # DEPENDENCYPART_ARC
(15,13),1.18056 # DEPENDENCYPART_ARC
(15,14),3.44596 # DEPENDENCYPART_ARC
(15,16),4.09497 # DEPENDENCYPART_ARC
(15,17),0.290612 # DEPENDENCYPART_ARC
(15,18),-0.529225 # DEPENDENCYPART_ARC
(15,19),1.21015 # DEPENDENCYPART_ARC
(15,20),3.34296 # DEPENDENCYPART_ARC
(15,21),0.362762 # DEPENDENCYPART_ARC
(15,22),0.621174 # DEPENDENCYPART_ARC
(15,23),-0.580594 # DEPENDENCYPART_ARC
(15,24),-0.783199 # DEPENDENCYPART_ARC
(15,25),5.55258 # DEPENDENCYPART_ARC
(16,1),-1.13576 # DEPENDENCYPART_ARC
(16,2),-0.91784 # DEPENDENCYPART_ARC
(16,3),-1.17039 # DEPENDENCYPART_ARC
(16,4),-0.985933 # DEPENDENCYPART_ARC
(16,5),-1.13431 # DEPENDENCYPART_ARC
(16,6),-1.01742 # DEPENDENCYPART_ARC
(16,7),-0.220112 # DEPENDENCYPART_ARC
(16,8),-0.135313 # DEPENDENCYPART_ARC
(16,9),-0.29136 # DEPENDENCYPART_ARC
(16,10),-0.546142 # DEPENDENCYPART_ARC
(16,11),-0.124791 # DEPENDENCYPART_ARC
(16,12),-0.659362 # DEPENDENCYPART_ARC
(16,13),0.8057 # DEPENDENCYPART_ARC
(16,14),0.437264 # DEPENDENCYPART_ARC
(16,15),0.655614 # DEPENDENCYPART_ARC
(16,17),1.04495 # DEPENDENCYPART_ARC
(16,18),1.57788 # DEPENDENCYPART_ARC
(16,19),2.13925 # DEPENDENCYPART_ARC
(16,20),2.01711 # DEPENDENCYPART_ARC
(16,21),1.21668 # DEPENDENCYPART_ARC
(16,22),1.45916 # DEPENDENCYPART_ARC
(16,23),0.50792 # DEPENDENCYPART_ARC
(16,24),0.0528919 # DEPENDENCYPART_ARC
(16,25),2.01122 # DEPENDENCYPART_ARC
(17,1),-2.50301 # DEPENDENCYPART_ARC
(17,2),-2.01225 # DEPENDENCYPART_ARC
(17,3),-2.71449 # DEPENDENCYPART_ARC
(17,4),-2.27655 # DEPENDENCYPART_ARC
(17,5),-2.65066 # DEPENDENCYPART_ARC
(17,6),-2.06571 # DEPENDENCYPART_ARC
(17,7),-1.97124 # DEPENDENCYPART_ARC
(17,8),-1.88459 # DEPENDENCYPART_ARC
(17,9),-1.97455 # DEPENDENCYPART_ARC
(17,10),-1.66807 # DEPENDENCYPART_ARC
(17,11),-1.53115 # DEPENDENCYPART_ARC
(17,12),-1.97663 # DEPENDENCYPART_ARC
(17,13),-0.244744 # DEPENDENCYPART_ARC
(17,14),-1.01593 # DEPENDENCYPART_ARC
(17,15),-0.853108 # DEPENDENCYPART_ARC
(17,16),-0.0185579 # DEPENDENCYPART_ARC
(17,18),0.405846 # DEPENDENCYPART_ARC
(17,19),-0.160036 # DEPENDENCYPART_ARC
(17,20),0.129879 # DEPENDENCYPART_ARC
(17,21),0.053055 # DEPENDENCYPART_ARC
(17,22),-1.04781 # DEPENDENCYPART_ARC
(17,23),-1.15777 # DEPENDENCYPART_ARC
(17,24),-1.18649 # DEPENDENCYPART_ARC
(17,25),-0.676387 # DEPENDENCYPART_ARC
(18,1),-1.85901 # DEPENDENCYPART_ARC
(18,2),-1.53992 # DEPENDENCYPART_ARC
(18,3),-2.38024 # DEPENDENCYPART_ARC
(18,4),-2.04157 # DEPENDENCYPART_ARC
(18,5),-0.939326 # DEPENDENCYPART_ARC
(18,6),-1.38959 # DEPENDENCYPART_ARC
(18,7),-1.0542 # DEPENDENCYPART_ARC
(18,8),-0.847268 # DEPENDENCYPART_ARC
(18,9),-1.44421 # DEPENDENCYPART_ARC
(18,10),-1.66844 # DEPENDENCYPART_ARC
(18,11),-1.19199 # DEPENDENCYPART_ARC
(18,12),-1.69204 # DEPENDENCYPART_ARC
(18,13),0.53142 # DEPENDENCYPART_ARC
(18,14),-0.256103 # DEPENDENCYPART_ARC
(18,15),-0.733745 # DEPENDENCYPART_ARC
(18,16),0.120183 # DEPENDENCYPART_ARC
(18,17),2.54473 # DEPENDENCYPART_ARC
(18,19),0.964131 # DEPENDENCYPART_ARC
(18,20),0.373503 # DEPENDENCYPART_ARC
(18,21),0.217405 # DEPENDENCYPART_ARC
(18,22),-0.61727 # DEPENDENCYPART_ARC
(18,23),-0.564163 # DEPENDENCYPART_ARC
(18,24),-1.49016 # DEPENDENCYPART_ARC
(18,25),0.105185 # DEPENDENCYPART_ARC
(19,1),-1.55592 # DEPENDENCYPART_ARC
(19,2),-1.45122 # DEPENDENCYPART_ARC
(19,3),-2.51218 # DEPENDENCYPART_ARC
(19,4),-1.76018 # DEPENDENCYPART_ARC
(19,5),-0.413566 # DEPENDENCYPART_ARC
(19,6),0.161336 # DEPENDENCYPART_ARC
(19,7),-0.382259 # DEPENDENCYPART_ARC
(19,8),-0.733277 # DEPENDENCYPART_ARC
(19,9),-1.61561 # DEPENDENCYPART_ARC
(19,10),-0.567236 # DEPENDENCYPART_ARC
(19,11),-0.680977 # DEPENDENCYPART_ARC
(19,12),-0.734722 # DEPENDENCYPART_ARC
(19,13),1.07769 # DEPENDENCYPART_ARC
(19,14),0.342306 # DEPENDENCYPART_ARC
(19,15),0.164737 # DEPENDENCYPART_ARC
(19,16),1.57573 # DEPENDENCYPART_ARC
(19,17),4.39588 # DEPENDENCYPART_ARC
(19,18),4.75179 # DEPENDENCYPART_ARC
(19,20),0.709622 # DEPENDENCYPART_ARC
(19,21),0.947766 # DEPENDENCYPART_ARC
(19,22),-0.376643 # DEPENDENCYPART_ARC
(19,23),0.01422 # DEPENDENCYPART_ARC
(19,24),-0.41003 # DEPENDENCYPART_ARC
(19,25),1.22549 # DEPENDENCYPART_ARC
(20,1),-2.05344 # DEPENDENCYPART_ARC
(20,2),-1.98851 # DEPENDENCYPART_ARC
(20,3),-1.69989 # DEPENDENCYPART_ARC
(20,4),-2.07503 # DEPENDENCYPART_ARC
(20,5),-2.26443 # DEPENDENCYPART_ARC
(20,6),-1.90528 # DEPENDENCYPART_ARC
(20,7),-1.64893 # DEPENDENCYPART_ARC
(20,8),-1.57811 # DEPENDENCYPART_ARC
(20,9),-1.31967 # DEPENDENCYPART_ARC
(20,10),-0.361893 # DEPENDENCYPART_ARC
(20,11),-1.41321 # DEPENDENCYPART_ARC
(20,12),-1.31302 # DEPENDENCYPART_ARC
(20,13),-0.594555 # DEPENDENCYPART_ARC
(20,14),-0.593451 # DEPENDENCYPART_ARC
(20,15),-0.205291 # DEPENDENCYPART_ARC
(20,16),-0.637816 # DEPENDENCYPART_ARC
(20,17),0.251892 # DEPENDENCYPART_ARC
(20,18),-0.23147 # DEPENDENCYPART_ARC
(20,19),0.467488 # DEPENDENCYPART_ARC
(20,21),3.13244 # DEPENDENCYPART_ARC
(20,22),-0.225267 # DEPENDENCYPART_ARC
(20,23),-1.12232 # DEPENDENCYPART_ARC
(20,24),-0.69729 # DEPENDENCYPART_ARC
(20,25),-0.942716 # DEPENDENCYPART_ARC
(21,1),-0.687521 # DEPENDENCYPART_ARC
(21,2),-3.47183 # DEPENDENCYPART_ARC
(21,3),-3.45928 # DEPENDENCYPART_ARC
(21,4),-1.96195 # DEPENDENCYPART_ARC
(21,5),-2.44703 # DEPENDENCYPART_ARC
(21,6),-2.09998 # DEPENDENCYPART_ARC
