# _root_ ADT , a security services and auctions company , trades on London 's Stock Exchange .
#goldHeads=10,1,5,5,1,5,8,6,1,0,10,15,12,15,11,10,
#predictedHeads=10,1,5,5,1,5,8,6,1,0,10,15,12,15,11,10,
(15,7),0.886074 # DEPENDENCYPART_ARC
(15,8),-0.629153 # DEPENDENCYPART_ARC
(15,9),-0.695564 # DEPENDENCYPART_ARC
(15,10),0.230793 # DEPENDENCYPART_ARC
(15,11),0.792732 # DEPENDENCYPART_ARC
(15,12),5.3835 # DEPENDENCYPART_ARC
(15,13),2.0398 # DEPENDENCYPART_ARC
(15,14),4.63365 # DEPENDENCYPART_ARC
(15,16),0.124309 # DEPENDENCYPART_ARC
(16,1),-2.07623 # DEPENDENCYPART_ARC
(16,2),-0.813656 # DEPENDENCYPART_ARC
(16,3),-1.85993 # DEPENDENCYPART_ARC
(16,4),-1.96677 # DEPENDENCYPART_ARC
(16,5),-1.86636 # DEPENDENCYPART_ARC
(16,6),-1.53446 # DEPENDENCYPART_ARC
(16,7),-1.65238 # DEPENDENCYPART_ARC
(16,8),-1.37119 # DEPENDENCYPART_ARC
(16,9),-0.525364 # DEPENDENCYPART_ARC
(16,10),-0.42675 # DEPENDENCYPART_ARC
(16,11),-1.19605 # DEPENDENCYPART_ARC
(16,12),-1.22339 # DEPENDENCYPART_ARC
(16,13),-0.798359 # DEPENDENCYPART_ARC
(16,14),-1.25985 # DEPENDENCYPART_ARC
(16,15),-1.19738 # DEPENDENCYPART_ARC
