# _root_ Dr. Novello , an expert on pediatric kidney diseases , is deputy director of the National Institute of Child Health and Human Development .
#goldHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
#predictedHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
(5,7),1.18774 # DEPENDENCYPART_ARC
(5,8),1.40337 # DEPENDENCYPART_ARC
(5,9),1.20031 # DEPENDENCYPART_ARC
(5,10),2.12927 # DEPENDENCYPART_ARC
(5,11),1.09007 # DEPENDENCYPART_ARC
(5,12),0.386953 # DEPENDENCYPART_ARC
(5,13),0.499816 # DEPENDENCYPART_ARC
(5,14),0.820596 # DEPENDENCYPART_ARC
(5,15),-0.157426 # DEPENDENCYPART_ARC
(5,16),-0.809133 # DEPENDENCYPART_ARC
(5,17),-0.328329 # DEPENDENCYPART_ARC
(5,18),-1.6379 # DEPENDENCYPART_ARC
(5,19),-0.942193 # DEPENDENCYPART_ARC
(5,20),-0.73755 # DEPENDENCYPART_ARC
(5,21),0.334617 # DEPENDENCYPART_ARC
(5,22),-1.30008 # DEPENDENCYPART_ARC
(5,23),-1.35796 # DEPENDENCYPART_ARC
(5,24),1.08474 # DEPENDENCYPART_ARC
(6,1),-0.887128 # DEPENDENCYPART_ARC
(6,2),-0.933515 # DEPENDENCYPART_ARC
(6,3),-0.48559 # DEPENDENCYPART_ARC
(6,4),0.179032 # DEPENDENCYPART_ARC
(6,5),0.156485 # DEPENDENCYPART_ARC
(6,7),1.15381 # DEPENDENCYPART_ARC
(6,8),2.32694 # DEPENDENCYPART_ARC
(6,9),3.23006 # DEPENDENCYPART_ARC
(6,10),0.522908 # DEPENDENCYPART_ARC
(6,11),-0.14942 # DEPENDENCYPART_ARC
(6,12),-1.16888 # DEPENDENCYPART_ARC
(6,13),-0.692352 # DEPENDENCYPART_ARC
(6,14),0.338108 # DEPENDENCYPART_ARC
(6,15),-2.9555 # DEPENDENCYPART_ARC
(6,16),-3.09676 # DEPENDENCYPART_ARC
(6,17),-2.52079 # DEPENDENCYPART_ARC
(6,18),-1.42544 # DEPENDENCYPART_ARC
(6,19),-4.35347 # DEPENDENCYPART_ARC
(6,20),-3.24283 # DEPENDENCYPART_ARC
(6,21),-1.82959 # DEPENDENCYPART_ARC
(6,22),-5.22459 # DEPENDENCYPART_ARC
(6,23),-3.58279 # DEPENDENCYPART_ARC
(6,24),0.00962303 # DEPENDENCYPART_ARC
(7,1),-1.37608 # DEPENDENCYPART_ARC
(7,2),-1.70321 # DEPENDENCYPART_ARC
(7,3),-0.99865 # DEPENDENCYPART_ARC
(7,4),-0.18682 # DEPENDENCYPART_ARC
(7,5),-0.581616 # DEPENDENCYPART_ARC
(7,6),0.124209 # DEPENDENCYPART_ARC
(7,8),1.50436 # DEPENDENCYPART_ARC
(7,9),1.05657 # DEPENDENCYPART_ARC
(7,10),0.253156 # DEPENDENCYPART_ARC
(7,11),-0.197313 # DEPENDENCYPART_ARC
(7,12),-0.487125 # DEPENDENCYPART_ARC
(7,13),-0.444682 # DEPENDENCYPART_ARC
(7,14),-0.804282 # DEPENDENCYPART_ARC
(7,15),-1.80481 # DEPENDENCYPART_ARC
(7,16),-1.22814 # DEPENDENCYPART_ARC
(7,17),-1.23923 # DEPENDENCYPART_ARC
(7,18),-1.86133 # DEPENDENCYPART_ARC
(7,19),-1.54786 # DEPENDENCYPART_ARC
(7,20),-1.51083 # DEPENDENCYPART_ARC
(7,21),-0.713018 # DEPENDENCYPART_ARC
(7,22),-1.67949 # DEPENDENCYPART_ARC
(7,23),-1.82046 # DEPENDENCYPART_ARC
(7,24),-0.302073 # DEPENDENCYPART_ARC
(8,1),-3.43125 # DEPENDENCYPART_ARC
(8,2),-4.29349 # DEPENDENCYPART_ARC
(8,3),-2.12632 # DEPENDENCYPART_ARC
(8,4),0.0730452 # DEPENDENCYPART_ARC
(8,5),-1.44733 # DEPENDENCYPART_ARC
(8,6),-0.596598 # DEPENDENCYPART_ARC
(8,7),1.50433 # DEPENDENCYPART_ARC
(8,9),0.948945 # DEPENDENCYPART_ARC
(8,10),0.261541 # DEPENDENCYPART_ARC
(8,11),-0.533952 # DEPENDENCYPART_ARC
(8,12),-0.773968 # DEPENDENCYPART_ARC
(8,13),-0.807853 # DEPENDENCYPART_ARC
(8,14),-0.418374 # DEPENDENCYPART_ARC
(8,15),-1.46676 # DEPENDENCYPART_ARC
(8,16),-1.85578 # DEPENDENCYPART_ARC
(8,17),-1.37762 # DEPENDENCYPART_ARC
(8,18),-2.18352 # DEPENDENCYPART_ARC
(8,19),-2.05185 # DEPENDENCYPART_ARC
(8,20),-1.92555 # DEPENDENCYPART_ARC
(8,21),-1.52506 # DEPENDENCYPART_ARC
(8,22),-2.5135 # DEPENDENCYPART_ARC
(8,23),-2.39479 # DEPENDENCYPART_ARC
(8,24),-0.32834 # DEPENDENCYPART_ARC
(9,1),0.569372 # DEPENDENCYPART_ARC
(9,2),-0.636026 # DEPENDENCYPART_ARC
(9,3),0.411272 # DEPENDENCYPART_ARC
(9,4),1.40155 # DEPENDENCYPART_ARC
(9,5),0.799201 # DEPENDENCYPART_ARC
(9,6),0.672206 # DEPENDENCYPART_ARC
(9,7),4.18051 # DEPENDENCYPART_ARC
(9,8),4.76836 # DEPENDENCYPART_ARC
(9,10),1.18526 # DEPENDENCYPART_ARC
(9,11),0.2408 # DEPENDENCYPART_ARC
(9,12),0.310438 # DEPENDENCYPART_ARC
(9,13),0.157241 # DEPENDENCYPART_ARC
(9,14),0.604087 # DEPENDENCYPART_ARC
(9,15),-0.542547 # DEPENDENCYPART_ARC
(9,16),-0.455429 # DEPENDENCYPART_ARC
(9,17),-0.0495329 # DEPENDENCYPART_ARC
(9,18),-1.02366 # DEPENDENCYPART_ARC
(9,19),-0.813306 # DEPENDENCYPART_ARC
(9,20),-0.318012 # DEPENDENCYPART_ARC
(9,21),-0.00964561 # DEPENDENCYPART_ARC
(9,22),-1.01999 # DEPENDENCYPART_ARC
(9,23),-0.96878 # DEPENDENCYPART_ARC
(9,24),0.681296 # DEPENDENCYPART_ARC
(10,1),-2.14152 # DEPENDENCYPART_ARC
(10,2),-2.12357 # DEPENDENCYPART_ARC
(10,3),-0.104127 # DEPENDENCYPART_ARC
(10,4),-1.09493 # DEPENDENCYPART_ARC
(10,5),-1.29025 # DEPENDENCYPART_ARC
(10,6),-1.32954 # DEPENDENCYPART_ARC
(10,7),-0.987603 # DEPENDENCYPART_ARC
(10,8),-1.33322 # DEPENDENCYPART_ARC
(10,9),-1.02095 # DEPENDENCYPART_ARC
(10,11),-0.619933 # DEPENDENCYPART_ARC
(10,12),-1.63702 # DEPENDENCYPART_ARC
(10,13),-2.29409 # DEPENDENCYPART_ARC
(10,14),-2.01618 # DEPENDENCYPART_ARC
(10,15),-2.66099 # DEPENDENCYPART_ARC
(10,16),-2.64739 # DEPENDENCYPART_ARC
(10,17),-2.78175 # DEPENDENCYPART_ARC
(10,18),-2.42562 # DEPENDENCYPART_ARC
(10,19),-2.99872 # DEPENDENCYPART_ARC
(10,20),-3.12456 # DEPENDENCYPART_ARC
(10,21),-2.80049 # DEPENDENCYPART_ARC
(10,22),-3.39094 # DEPENDENCYPART_ARC
(10,23),-3.4917 # DEPENDENCYPART_ARC
(10,24),-2.64336 # DEPENDENCYPART_ARC
(11,1),1.8074 # DEPENDENCYPART_ARC
(11,2),1.907 # DEPENDENCYPART_ARC
(11,3),1.75917 # DEPENDENCYPART_ARC
(11,4),0.242468 # DEPENDENCYPART_ARC
(11,5),1.91067 # DEPENDENCYPART_ARC
(11,6),0.332893 # DEPENDENCYPART_ARC
(11,7),1.31219 # DEPENDENCYPART_ARC
(11,8),1.9444 # DEPENDENCYPART_ARC
(11,9),0.285449 # DEPENDENCYPART_ARC
(11,10),1.98508 # DEPENDENCYPART_ARC
(11,12),2.21754 # DEPENDENCYPART_ARC
(11,13),3.023 # DEPENDENCYPART_ARC
(11,14),1.30349 # DEPENDENCYPART_ARC
(11,15),-0.0538605 # DEPENDENCYPART_ARC
(11,16),0.629288 # DEPENDENCYPART_ARC
(11,17),0.435341 # DEPENDENCYPART_ARC
(11,18),0.0632664 # DEPENDENCYPART_ARC
(11,19),-0.637815 # DEPENDENCYPART_ARC
(11,20),-0.251639 # DEPENDENCYPART_ARC
(11,21),2.32842 # DEPENDENCYPART_ARC
(11,22),-0.808145 # DEPENDENCYPART_ARC
(11,23),-0.37372 # DEPENDENCYPART_ARC
(11,24),7.19849 # DEPENDENCYPART_ARC
(12,1),-2.40649 # DEPENDENCYPART_ARC
(12,2),-2.71425 # DEPENDENCYPART_ARC
(12,3),-2.05367 # DEPENDENCYPART_ARC
(12,4),-1.38621 # DEPENDENCYPART_ARC
(12,5),-1.67421 # DEPENDENCYPART_ARC
(12,6),-1.51665 # DEPENDENCYPART_ARC
(12,7),-0.598025 # DEPENDENCYPART_ARC
(12,8),-1.30221 # DEPENDENCYPART_ARC
(12,9),-1.26552 # DEPENDENCYPART_ARC
(12,10),-0.53566 # DEPENDENCYPART_ARC
(12,11),-0.49598 # DEPENDENCYPART_ARC
(12,13),1.42056 # DEPENDENCYPART_ARC
(12,14),0.0433447 # DEPENDENCYPART_ARC
(12,15),-1.2908 # DEPENDENCYPART_ARC
(12,16),-0.845679 # DEPENDENCYPART_ARC
(12,17),-0.986011 # DEPENDENCYPART_ARC
(12,18),-1.26543 # DEPENDENCYPART_ARC
(12,19),-1.57933 # DEPENDENCYPART_ARC
(12,20),-1.71029 # DEPENDENCYPART_ARC
(12,21),-0.224025 # DEPENDENCYPART_ARC
(12,22),-1.78925 # DEPENDENCYPART_ARC
(12,23),-2.01725 # DEPENDENCYPART_ARC
(12,24),-0.500144 # DEPENDENCYPART_ARC
(13,1),-3.74276 # DEPENDENCYPART_ARC
(13,2),-4.70358 # DEPENDENCYPART_ARC
(13,3),-1.38897 # DEPENDENCYPART_ARC
(13,4),1.09601 # DEPENDENCYPART_ARC
(13,5),-0.821301 # DEPENDENCYPART_ARC
(13,6),-0.818371 # DEPENDENCYPART_ARC
(13,7),1.41706 # DEPENDENCYPART_ARC
(13,8),1.40287 # DEPENDENCYPART_ARC
(13,9),0.0805277 # DEPENDENCYPART_ARC
(13,10),0.132559 # DEPENDENCYPART_ARC
(13,11),0.719229 # DEPENDENCYPART_ARC
(13,12),4.29386 # DEPENDENCYPART_ARC
(13,14),3.35772 # DEPENDENCYPART_ARC
(13,15),0.453618 # DEPENDENCYPART_ARC
(13,16),0.497463 # DEPENDENCYPART_ARC
(13,17),0.798632 # DEPENDENCYPART_ARC
(13,18),0.267937 # DEPENDENCYPART_ARC
(13,19),-0.0117465 # DEPENDENCYPART_ARC
(13,20),0.300062 # DEPENDENCYPART_ARC
(13,21),2.32184 # DEPENDENCYPART_ARC
(13,22),-0.305561 # DEPENDENCYPART_ARC
(13,23),-0.118521 # DEPENDENCYPART_ARC
(13,24),1.12495 # DEPENDENCYPART_ARC
(14,1),-2.09522 # DEPENDENCYPART_ARC
(14,2),-2.2298 # DEPENDENCYPART_ARC
(14,3),-2.31286 # DEPENDENCYPART_ARC
(14,4),-1.82288 # DEPENDENCYPART_ARC
(14,5),-1.33297 # DEPENDENCYPART_ARC
(14,6),-0.986453 # DEPENDENCYPART_ARC
(14,7),-1.23504 # DEPENDENCYPART_ARC
(14,8),-1.62226 # DEPENDENCYPART_ARC
(14,9),-1.4912 # DEPENDENCYPART_ARC
(14,10),-1.15406 # DEPENDENCYPART_ARC
(14,11),-0.502456 # DEPENDENCYPART_ARC
(14,12),-0.692915 # DEPENDENCYPART_ARC
(14,13),-0.047056 # DEPENDENCYPART_ARC
(14,15),0.501737 # DEPENDENCYPART_ARC
(14,16),1.81547 # DEPENDENCYPART_ARC
(14,17),3.44771 # DEPENDENCYPART_ARC
(14,18),-0.250494 # DEPENDENCYPART_ARC
(14,19),0.375992 # DEPENDENCYPART_ARC
(14,20),1.65104 # DEPENDENCYPART_ARC
(14,21),0.479744 # DEPENDENCYPART_ARC
(14,22),-1.02302 # DEPENDENCYPART_ARC
(14,23),1.93024 # DEPENDENCYPART_ARC
(14,24),-1.22064 # DEPENDENCYPART_ARC
(15,1),-3.77024 # DEPENDENCYPART_ARC
(15,2),-3.59936 # DEPENDENCYPART_ARC
(15,3),-3.26058 # DEPENDENCYPART_ARC
(15,4),-2.93913 # DEPENDENCYPART_ARC
(15,5),-3.50388 # DEPENDENCYPART_ARC
(15,6),-2.86188 # DEPENDENCYPART_ARC
(15,7),-2.89704 # DEPENDENCYPART_ARC
(15,8),-3.15152 # DEPENDENCYPART_ARC
(15,9),-2.82089 # DEPENDENCYPART_ARC
(15,10),-2.32251 # DEPENDENCYPART_ARC
(15,11),-2.42424 # DEPENDENCYPART_ARC
(15,12),-1.79086 # DEPENDENCYPART_ARC
(15,13),-2.17577 # DEPENDENCYPART_ARC
(15,14),-0.963141 # DEPENDENCYPART_ARC
(15,16),-0.592912 # DEPENDENCYPART_ARC
(15,17),-1.00054 # DEPENDENCYPART_ARC
(15,18),-0.451173 # DEPENDENCYPART_ARC
(15,19),-1.42092 # DEPENDENCYPART_ARC
(15,20),-1.52706 # DEPENDENCYPART_ARC
(15,21),-1.35105 # DEPENDENCYPART_ARC
(15,22),-2.01157 # DEPENDENCYPART_ARC
(15,23),-2.0978 # DEPENDENCYPART_ARC
(15,24),-2.25913 # DEPENDENCYPART_ARC
(16,1),-6.13592 # DEPENDENCYPART_ARC
(16,2),-6.61221 # DEPENDENCYPART_ARC
(16,3),-3.24303 # DEPENDENCYPART_ARC
(16,4),-4.06173 # DEPENDENCYPART_ARC
(16,5),-4.77535 # DEPENDENCYPART_ARC
(16,6),-3.02145 # DEPENDENCYPART_ARC
(16,7),-2.08725 # DEPENDENCYPART_ARC
(16,8),-3.07754 # DEPENDENCYPART_ARC
(16,9),-3.21643 # DEPENDENCYPART_ARC
(16,10),-2.68961 # DEPENDENCYPART_ARC
(16,11),-2.29456 # DEPENDENCYPART_ARC
(16,12),-0.713892 # DEPENDENCYPART_ARC
(16,13),-1.94915 # DEPENDENCYPART_ARC
(16,14),-0.858312 # DEPENDENCYPART_ARC
(16,15),2.31188 # DEPENDENCYPART_ARC
(16,17),0.766153 # DEPENDENCYPART_ARC
(16,18),1.27638 # DEPENDENCYPART_ARC
(16,19),-0.832327 # DEPENDENCYPART_ARC
(16,20),-0.161235 # DEPENDENCYPART_ARC
(16,21),0.78276 # DEPENDENCYPART_ARC
(16,22),-2.07451 # DEPENDENCYPART_ARC
(16,23),-1.88084 # DEPENDENCYPART_ARC
(16,24),-0.223479 # DEPENDENCYPART_ARC
(17,1),-3.70574 # DEPENDENCYPART_ARC
(17,2),-4.6765 # DEPENDENCYPART_ARC
(17,3),-1.22881 # DEPENDENCYPART_ARC
(17,4),-1.66324 # DEPENDENCYPART_ARC
(17,5),-3.15485 # DEPENDENCYPART_ARC
(17,6),-1.68434 # DEPENDENCYPART_ARC
(17,7),-0.259142 # DEPENDENCYPART_ARC
(17,8),-1.07245 # DEPENDENCYPART_ARC
(17,9),-1.45285 # DEPENDENCYPART_ARC
(17,10),-0.792031 # DEPENDENCYPART_ARC
(17,11),-1.26397 # DEPENDENCYPART_ARC
(17,12),1.29036 # DEPENDENCYPART_ARC
(17,13),-0.474983 # DEPENDENCYPART_ARC
(17,14),0.45847 # DEPENDENCYPART_ARC
(17,15),4.3955 # DEPENDENCYPART_ARC
(17,16),4.84851 # DEPENDENCYPART_ARC
(17,18),3.64757 # DEPENDENCYPART_ARC
(17,19),1.44435 # DEPENDENCYPART_ARC
(17,20),1.78546 # DEPENDENCYPART_ARC
(17,21),2.56168 # DEPENDENCYPART_ARC
(17,22),0.186826 # DEPENDENCYPART_ARC
(17,23),0.420341 # DEPENDENCYPART_ARC
(17,24),1.35264 # DEPENDENCYPART_ARC
(18,1),-2.05275 # DEPENDENCYPART_ARC
(18,2),-2.28622 # DEPENDENCYPART_ARC
(18,3),-2.24783 # DEPENDENCYPART_ARC
(18,4),-2.2549 # DEPENDENCYPART_ARC
(18,5),-1.85272 # DEPENDENCYPART_ARC
(18,6),-1.66028 # DEPENDENCYPART_ARC
(18,7),-1.52653 # DEPENDENCYPART_ARC
(18,8),-1.73551 # DEPENDENCYPART_ARC
(18,9),-1.44496 # DEPENDENCYPART_ARC
(18,10),-1.23438 # DEPENDENCYPART_ARC
(18,11),-0.868149 # DEPENDENCYPART_ARC
(18,12),-0.840274 # DEPENDENCYPART_ARC
(18,13),-0.772103 # DEPENDENCYPART_ARC
(18,14),-0.611786 # DEPENDENCYPART_ARC
(18,15),0.00963845 # DEPENDENCYPART_ARC
(18,16),0.269716 # DEPENDENCYPART_ARC
(18,17),0.414206 # DEPENDENCYPART_ARC
(18,19),3.37582 # DEPENDENCYPART_ARC
(18,20),3.63483 # DEPENDENCYPART_ARC
(18,21),0.58004 # DEPENDENCYPART_ARC
(18,22),0.986145 # DEPENDENCYPART_ARC
(18,23),2.95544 # DEPENDENCYPART_ARC
(18,24),-0.0551255 # DEPENDENCYPART_ARC
(19,1),-6.861 # DEPENDENCYPART_ARC
(19,2),-7.48818 # DEPENDENCYPART_ARC
(19,3),-4.04846 # DEPENDENCYPART_ARC
(19,4),-4.38813 # DEPENDENCYPART_ARC
(19,5),-5.51931 # DEPENDENCYPART_ARC
(19,6),-4.00142 # DEPENDENCYPART_ARC
(19,7),-3.17245 # DEPENDENCYPART_ARC
(19,8),-4.21036 # DEPENDENCYPART_ARC
(19,9),-3.68747 # DEPENDENCYPART_ARC
(19,10),-3.54628 # DEPENDENCYPART_ARC
(19,11),-3.50531 # DEPENDENCYPART_ARC
(19,12),-2.02365 # DEPENDENCYPART_ARC
(19,13),-3.72387 # DEPENDENCYPART_ARC
(19,14),-2.16791 # DEPENDENCYPART_ARC
(19,15),0.0229213 # DEPENDENCYPART_ARC
(19,16),0.429189 # DEPENDENCYPART_ARC
(19,17),-0.425214 # DEPENDENCYPART_ARC
(19,18),-0.386088 # DEPENDENCYPART_ARC
(19,20),1.82667 # DEPENDENCYPART_ARC
(19,21),1.82834 # DEPENDENCYPART_ARC
(19,22),-1.17424 # DEPENDENCYPART_ARC
(19,23),-0.659979 # DEPENDENCYPART_ARC
(19,24),-1.12487 # DEPENDENCYPART_ARC
(20,1),-4.98007 # DEPENDENCYPART_ARC
(20,2),-6.64579 # DEPENDENCYPART_ARC
(20,3),-2.77388 # DEPENDENCYPART_ARC
(20,4),-2.68424 # DEPENDENCYPART_ARC
(20,5),-4.1806 # DEPENDENCYPART_ARC
(20,6),-2.93911 # DEPENDENCYPART_ARC
(20,7),-1.27489 # DEPENDENCYPART_ARC
(20,8),-2.1606 # DEPENDENCYPART_ARC
(20,9),-2.39758 # DEPENDENCYPART_ARC
(20,10),-2.36817 # DEPENDENCYPART_ARC
(20,11),-2.27959 # DEPENDENCYPART_ARC
(20,12),-0.140134 # DEPENDENCYPART_ARC
(20,13),-2.19523 # DEPENDENCYPART_ARC
(20,14),-1.38561 # DEPENDENCYPART_ARC
(20,15),2.29657 # DEPENDENCYPART_ARC
(20,16),1.8889 # DEPENDENCYPART_ARC
(20,17),1.05081 # DEPENDENCYPART_ARC
(20,18),0.629211 # DEPENDENCYPART_ARC
(20,19),4.91751 # DEPENDENCYPART_ARC
(20,21),4.10154 # DEPENDENCYPART_ARC
(20,22),0.3403 # DEPENDENCYPART_ARC
(20,23),1.13843 # DEPENDENCYPART_ARC
(20,24),0.582107 # DEPENDENCYPART_ARC
(21,1),-1.66071 # DEPENDENCYPART_ARC
(21,2),-1.60669 # DEPENDENCYPART_ARC
(21,3),-2.37051 # DEPENDENCYPART_ARC
(21,4),-2.05176 # DEPENDENCYPART_ARC
(21,5),-2.21045 # DEPENDENCYPART_ARC
(21,6),-1.68879 # DEPENDENCYPART_ARC
(21,7),-1.94344 # DEPENDENCYPART_ARC
(21,8),-1.77883 # DEPENDENCYPART_ARC
(21,9),-1.55903 # DEPENDENCYPART_ARC
(21,10),-1.69986 # DEPENDENCYPART_ARC
(21,11),-0.99763 # DEPENDENCYPART_ARC
(21,12),-1.29265 # DEPENDENCYPART_ARC
(21,13),-1.28774 # DEPENDENCYPART_ARC
(21,14),-0.883163 # DEPENDENCYPART_ARC
(21,15),-0.579372 # DEPENDENCYPART_ARC
(21,16),0.110346 # DEPENDENCYPART_ARC
(21,17),0.334185 # DEPENDENCYPART_ARC
(21,18),-0.201073 # DEPENDENCYPART_ARC
(21,19),0.470807 # DEPENDENCYPART_ARC
(21,20),0.885899 # DEPENDENCYPART_ARC
(21,22),3.14908 # DEPENDENCYPART_ARC
(21,23),3.12676 # DEPENDENCYPART_ARC
(21,24),0.679331 # DEPENDENCYPART_ARC
(22,1),-9.23642 # DEPENDENCYPART_ARC
(22,2),-9.55923 # DEPENDENCYPART_ARC
(22,3),-5.27686 # DEPENDENCYPART_ARC
(22,4),-5.28781 # DEPENDENCYPART_ARC
