# _root_ Among rail and highway accounts , the agreement provides $ 615 million for Amtrak , including $ 85 million for capital improvements .
#goldHeads=9,1,2,5,3,9,8,9,0,9,10,10,10,13,10,10,16,17,17,16,22,20,9,
#predictedHeads=9,1,2,5,3,9,8,9,0,9,10,10,9,13,9,10,16,17,17,17,22,20,9,
(5,21),-2.39704 # DEPENDENCYPART_ARC
(5,22),-3.14007 # DEPENDENCYPART_ARC
(5,23),-0.718779 # DEPENDENCYPART_ARC
(6,1),-1.86723 # DEPENDENCYPART_ARC
(6,2),-1.60299 # DEPENDENCYPART_ARC
(6,3),-1.6212 # DEPENDENCYPART_ARC
(6,4),-1.6211 # DEPENDENCYPART_ARC
(6,5),-1.36276 # DEPENDENCYPART_ARC
(6,7),-0.239506 # DEPENDENCYPART_ARC
(6,8),-0.868684 # DEPENDENCYPART_ARC
(6,9),-0.564348 # DEPENDENCYPART_ARC
(6,10),-1.4649 # DEPENDENCYPART_ARC
(6,11),-1.60391 # DEPENDENCYPART_ARC
(6,12),-2.00272 # DEPENDENCYPART_ARC
(6,13),-1.30908 # DEPENDENCYPART_ARC
(6,14),-1.90538 # DEPENDENCYPART_ARC
(6,15),-0.134729 # DEPENDENCYPART_ARC
(6,16),-1.81349 # DEPENDENCYPART_ARC
(6,17),-2.45027 # DEPENDENCYPART_ARC
(6,18),-2.63879 # DEPENDENCYPART_ARC
(6,19),-2.72673 # DEPENDENCYPART_ARC
(6,20),-1.94408 # DEPENDENCYPART_ARC
(6,21),-2.82602 # DEPENDENCYPART_ARC
(6,22),-2.91082 # DEPENDENCYPART_ARC
(6,23),-1.98037 # DEPENDENCYPART_ARC
(7,1),-2.41069 # DEPENDENCYPART_ARC
(7,2),-2.60258 # DEPENDENCYPART_ARC
(7,3),-2.59968 # DEPENDENCYPART_ARC
(7,4),-2.02717 # DEPENDENCYPART_ARC
(7,5),-1.87635 # DEPENDENCYPART_ARC
(7,6),-0.851627 # DEPENDENCYPART_ARC
(7,8),-0.119796 # DEPENDENCYPART_ARC
(7,9),0.111866 # DEPENDENCYPART_ARC
(7,10),-2.04131 # DEPENDENCYPART_ARC
(7,11),-1.21438 # DEPENDENCYPART_ARC
(7,12),-1.44606 # DEPENDENCYPART_ARC
(7,13),-1.54849 # DEPENDENCYPART_ARC
(7,14),-2.23502 # DEPENDENCYPART_ARC
(7,15),-1.31042 # DEPENDENCYPART_ARC
(7,16),-1.68161 # DEPENDENCYPART_ARC
(7,17),-3.25968 # DEPENDENCYPART_ARC
(7,18),-2.35963 # DEPENDENCYPART_ARC
(7,19),-2.56164 # DEPENDENCYPART_ARC
(7,20),-2.63089 # DEPENDENCYPART_ARC
(7,21),-2.9107 # DEPENDENCYPART_ARC
(7,22),-3.13707 # DEPENDENCYPART_ARC
(7,23),-2.11413 # DEPENDENCYPART_ARC
(8,1),-1.04299 # DEPENDENCYPART_ARC
(8,2),-0.814746 # DEPENDENCYPART_ARC
(8,3),-0.326044 # DEPENDENCYPART_ARC
(8,4),0.888881 # DEPENDENCYPART_ARC
(8,5),-0.382822 # DEPENDENCYPART_ARC
(8,6),0.798966 # DEPENDENCYPART_ARC
(8,7),4.52062 # DEPENDENCYPART_ARC
(8,9),1.70988 # DEPENDENCYPART_ARC
(8,10),0.557241 # DEPENDENCYPART_ARC
(8,11),0.983008 # DEPENDENCYPART_ARC
(8,12),0.160518 # DEPENDENCYPART_ARC
(8,13),1.52417 # DEPENDENCYPART_ARC
(8,14),-0.260968 # DEPENDENCYPART_ARC
(8,15),0.350532 # DEPENDENCYPART_ARC
(8,16),0.926516 # DEPENDENCYPART_ARC
(8,17),-0.858992 # DEPENDENCYPART_ARC
(8,18),-0.362724 # DEPENDENCYPART_ARC
(8,19),-1.1061 # DEPENDENCYPART_ARC
(8,20),0.54528 # DEPENDENCYPART_ARC
(8,21),-0.962158 # DEPENDENCYPART_ARC
(8,22),-1.65413 # DEPENDENCYPART_ARC
(8,23),0.251357 # DEPENDENCYPART_ARC
(9,1),1.81422 # DEPENDENCYPART_ARC
(9,2),0.769664 # DEPENDENCYPART_ARC
(9,3),0.259792 # DEPENDENCYPART_ARC
(9,4),1.20848 # DEPENDENCYPART_ARC
(9,5),-0.141553 # DEPENDENCYPART_ARC
(9,6),3.34172 # DEPENDENCYPART_ARC
(9,7),0.807241 # DEPENDENCYPART_ARC
(9,8),3.12649 # DEPENDENCYPART_ARC
(9,10),2.53721 # DEPENDENCYPART_ARC
(9,11),1.82536 # DEPENDENCYPART_ARC
(9,12),1.48103 # DEPENDENCYPART_ARC
(9,13),2.59631 # DEPENDENCYPART_ARC
(9,14),1.18275 # DEPENDENCYPART_ARC
(9,15),1.9618 # DEPENDENCYPART_ARC
(9,16),1.24444 # DEPENDENCYPART_ARC
(9,17),0.0940028 # DEPENDENCYPART_ARC
(9,18),-0.0406859 # DEPENDENCYPART_ARC
(9,19),0.322889 # DEPENDENCYPART_ARC
(9,20),1.49115 # DEPENDENCYPART_ARC
(9,21),0.695173 # DEPENDENCYPART_ARC
(9,22),0.56458 # DEPENDENCYPART_ARC
(9,23),5.46276 # DEPENDENCYPART_ARC
(10,1),-0.889197 # DEPENDENCYPART_ARC
(10,2),-1.27165 # DEPENDENCYPART_ARC
(10,3),-1.60363 # DEPENDENCYPART_ARC
(10,4),-1.15021 # DEPENDENCYPART_ARC
(10,5),-0.805959 # DEPENDENCYPART_ARC
(10,6),-0.341575 # DEPENDENCYPART_ARC
(10,7),1.51972 # DEPENDENCYPART_ARC
(10,8),0.490705 # DEPENDENCYPART_ARC
(10,9),0.890017 # DEPENDENCYPART_ARC
(10,11),4.59958 # DEPENDENCYPART_ARC
(10,12),4.18341 # DEPENDENCYPART_ARC
(10,13),1.77895 # DEPENDENCYPART_ARC
(10,14),0.405963 # DEPENDENCYPART_ARC
(10,15),1.16065 # DEPENDENCYPART_ARC
(10,16),2.39473 # DEPENDENCYPART_ARC
(10,17),0.185661 # DEPENDENCYPART_ARC
(10,18),0.278146 # DEPENDENCYPART_ARC
(10,19),0.911039 # DEPENDENCYPART_ARC
(10,20),0.634229 # DEPENDENCYPART_ARC
(10,21),-0.582212 # DEPENDENCYPART_ARC
(10,22),-0.89681 # DEPENDENCYPART_ARC
(10,23),0.92771 # DEPENDENCYPART_ARC
(11,1),-3.03599 # DEPENDENCYPART_ARC
(11,2),-3.39288 # DEPENDENCYPART_ARC
(11,3),-3.16974 # DEPENDENCYPART_ARC
(11,4),-3.15118 # DEPENDENCYPART_ARC
(11,5),-2.68399 # DEPENDENCYPART_ARC
(11,6),-2.03812 # DEPENDENCYPART_ARC
(11,7),-0.9996 # DEPENDENCYPART_ARC
(11,8),-1.94748 # DEPENDENCYPART_ARC
(11,9),-1.57752 # DEPENDENCYPART_ARC
(11,10),-0.709365 # DEPENDENCYPART_ARC
(11,12),1.55779 # DEPENDENCYPART_ARC
(11,13),-0.717411 # DEPENDENCYPART_ARC
(11,14),-0.611354 # DEPENDENCYPART_ARC
(11,15),-0.433298 # DEPENDENCYPART_ARC
(11,16),-0.855157 # DEPENDENCYPART_ARC
(11,17),-1.31506 # DEPENDENCYPART_ARC
(11,18),-1.05239 # DEPENDENCYPART_ARC
(11,19),-0.745415 # DEPENDENCYPART_ARC
(11,20),-1.48525 # DEPENDENCYPART_ARC
(11,21),-1.78522 # DEPENDENCYPART_ARC
(11,22),-1.76156 # DEPENDENCYPART_ARC
(11,23),-0.886684 # DEPENDENCYPART_ARC
(12,1),-1.52149 # DEPENDENCYPART_ARC
(12,2),-2.00406 # DEPENDENCYPART_ARC
(12,3),-1.68723 # DEPENDENCYPART_ARC
(12,4),-1.81839 # DEPENDENCYPART_ARC
(12,5),-1.28077 # DEPENDENCYPART_ARC
(12,6),-0.807059 # DEPENDENCYPART_ARC
(12,7),0.380473 # DEPENDENCYPART_ARC
(12,8),-0.801583 # DEPENDENCYPART_ARC
(12,9),-0.410553 # DEPENDENCYPART_ARC
(12,10),0.3998 # DEPENDENCYPART_ARC
(12,11),1.71098 # DEPENDENCYPART_ARC
(12,13),0.0985011 # DEPENDENCYPART_ARC
(12,14),0.0143281 # DEPENDENCYPART_ARC
(12,15),0.72719 # DEPENDENCYPART_ARC
(12,16),-0.424201 # DEPENDENCYPART_ARC
(12,17),-0.866574 # DEPENDENCYPART_ARC
(12,18),-1.15632 # DEPENDENCYPART_ARC
(12,19),-1.16999 # DEPENDENCYPART_ARC
(12,20),-1.09863 # DEPENDENCYPART_ARC
(12,21),-0.697767 # DEPENDENCYPART_ARC
(12,22),-1.46666 # DEPENDENCYPART_ARC
(12,23),-0.722606 # DEPENDENCYPART_ARC
(13,1),-1.76122 # DEPENDENCYPART_ARC
(13,2),-2.20962 # DEPENDENCYPART_ARC
(13,3),-1.88894 # DEPENDENCYPART_ARC
(13,4),-1.95143 # DEPENDENCYPART_ARC
(13,5),-1.77855 # DEPENDENCYPART_ARC
(13,6),-1.00353 # DEPENDENCYPART_ARC
(13,7),-0.289337 # DEPENDENCYPART_ARC
(13,8),-0.864208 # DEPENDENCYPART_ARC
(13,9),-0.781897 # DEPENDENCYPART_ARC
(13,10),-0.0271474 # DEPENDENCYPART_ARC
(13,11),-0.36826 # DEPENDENCYPART_ARC
(13,12),-0.0695178 # DEPENDENCYPART_ARC
(13,14),2.798 # DEPENDENCYPART_ARC
(13,15),0.115313 # DEPENDENCYPART_ARC
(13,16),-0.0525578 # DEPENDENCYPART_ARC
(13,17),-0.295397 # DEPENDENCYPART_ARC
(13,18),-1.01109 # DEPENDENCYPART_ARC
(13,19),-1.14308 # DEPENDENCYPART_ARC
(13,20),-0.924501 # DEPENDENCYPART_ARC
(13,21),-1.45905 # DEPENDENCYPART_ARC
(13,22),-0.316623 # DEPENDENCYPART_ARC
(13,23),-0.200191 # DEPENDENCYPART_ARC
(14,1),-2.77341 # DEPENDENCYPART_ARC
(14,2),-3.15321 # DEPENDENCYPART_ARC
(14,3),-3.54076 # DEPENDENCYPART_ARC
(14,4),-2.20581 # DEPENDENCYPART_ARC
(14,5),-3.03871 # DEPENDENCYPART_ARC
(14,6),-2.58616 # DEPENDENCYPART_ARC
(14,7),-0.541672 # DEPENDENCYPART_ARC
(14,8),-2.19553 # DEPENDENCYPART_ARC
(14,9),-1.82802 # DEPENDENCYPART_ARC
(14,10),-0.372311 # DEPENDENCYPART_ARC
(14,11),0.0499643 # DEPENDENCYPART_ARC
(14,12),-0.272411 # DEPENDENCYPART_ARC
(14,13),0.672489 # DEPENDENCYPART_ARC
(14,15),0.837471 # DEPENDENCYPART_ARC
(14,16),0.370017 # DEPENDENCYPART_ARC
(14,17),-0.42033 # DEPENDENCYPART_ARC
(14,18),0.201636 # DEPENDENCYPART_ARC
(14,19),-0.56895 # DEPENDENCYPART_ARC
(14,20),-0.362354 # DEPENDENCYPART_ARC
(14,21),-0.595768 # DEPENDENCYPART_ARC
(14,22),-0.918689 # DEPENDENCYPART_ARC
(14,23),-0.168669 # DEPENDENCYPART_ARC
(15,1),-2.33541 # DEPENDENCYPART_ARC
(15,2),-1.89124 # DEPENDENCYPART_ARC
(15,3),-2.40148 # DEPENDENCYPART_ARC
(15,4),-1.74719 # DEPENDENCYPART_ARC
(15,5),-2.17475 # DEPENDENCYPART_ARC
(15,6),-0.570178 # DEPENDENCYPART_ARC
(15,7),-1.38827 # DEPENDENCYPART_ARC
(15,8),-1.54499 # DEPENDENCYPART_ARC
(15,9),-1.52078 # DEPENDENCYPART_ARC
(15,10),-1.27142 # DEPENDENCYPART_ARC
(15,11),-1.31149 # DEPENDENCYPART_ARC
(15,12),-0.967588 # DEPENDENCYPART_ARC
(15,13),-0.994117 # DEPENDENCYPART_ARC
(15,14),-0.839618 # DEPENDENCYPART_ARC
(15,16),-0.518055 # DEPENDENCYPART_ARC
(15,17),-1.38176 # DEPENDENCYPART_ARC
(15,18),-1.70698 # DEPENDENCYPART_ARC
(15,19),-1.99039 # DEPENDENCYPART_ARC
(15,20),-1.78143 # DEPENDENCYPART_ARC
(15,21),-2.38794 # DEPENDENCYPART_ARC
(15,22),-2.45442 # DEPENDENCYPART_ARC
(15,23),-1.7564 # DEPENDENCYPART_ARC
(16,1),-2.27151 # DEPENDENCYPART_ARC
(16,2),-1.54074 # DEPENDENCYPART_ARC
(16,3),-2.19188 # DEPENDENCYPART_ARC
(16,4),-1.97185 # DEPENDENCYPART_ARC
(16,5),-1.70754 # DEPENDENCYPART_ARC
(16,6),-1.06851 # DEPENDENCYPART_ARC
(16,7),-0.543347 # DEPENDENCYPART_ARC
(16,8),-1.18614 # DEPENDENCYPART_ARC
(16,9),-1.1842 # DEPENDENCYPART_ARC
(16,10),-0.393725 # DEPENDENCYPART_ARC
(16,11),-0.512642 # DEPENDENCYPART_ARC
(16,12),-0.27801 # DEPENDENCYPART_ARC
(16,13),-0.0179202 # DEPENDENCYPART_ARC
(16,14),0.441083 # DEPENDENCYPART_ARC
(16,15),0.475771 # DEPENDENCYPART_ARC
(16,17),2.28089 # DEPENDENCYPART_ARC
(16,18),1.43867 # DEPENDENCYPART_ARC
(16,19),1.26416 # DEPENDENCYPART_ARC
(16,20),0.752537 # DEPENDENCYPART_ARC
(16,21),0.531849 # DEPENDENCYPART_ARC
(16,22),0.985641 # DEPENDENCYPART_ARC
(16,23),1.20699 # DEPENDENCYPART_ARC
(17,1),-2.61063 # DEPENDENCYPART_ARC
(17,2),-2.81507 # DEPENDENCYPART_ARC
(17,3),-2.87961 # DEPENDENCYPART_ARC
(17,4),-2.73883 # DEPENDENCYPART_ARC
(17,5),-2.65196 # DEPENDENCYPART_ARC
(17,6),-2.21775 # DEPENDENCYPART_ARC
(17,7),-0.828927 # DEPENDENCYPART_ARC
(17,8),-1.9603 # DEPENDENCYPART_ARC
(17,9),-1.92169 # DEPENDENCYPART_ARC
(17,10),-1.19489 # DEPENDENCYPART_ARC
(17,11),-1.4876 # DEPENDENCYPART_ARC
(17,12),-0.977889 # DEPENDENCYPART_ARC
(17,13),-0.903187 # DEPENDENCYPART_ARC
(17,14),-0.813823 # DEPENDENCYPART_ARC
(17,15),0.108021 # DEPENDENCYPART_ARC
(17,16),0.564115 # DEPENDENCYPART_ARC
(17,18),5.0323 # DEPENDENCYPART_ARC
(17,19),4.76455 # DEPENDENCYPART_ARC
(17,20),3.09501 # DEPENDENCYPART_ARC
(17,21),1.74109 # DEPENDENCYPART_ARC
(17,22),0.982933 # DEPENDENCYPART_ARC
(17,23),1.33578 # DEPENDENCYPART_ARC
(18,1),-3.42875 # DEPENDENCYPART_ARC
(18,2),-4.2362 # DEPENDENCYPART_ARC
(18,3),-3.75525 # DEPENDENCYPART_ARC
(18,4),-4.04635 # DEPENDENCYPART_ARC
(18,5),-3.44851 # DEPENDENCYPART_ARC
(18,6),-2.86586 # DEPENDENCYPART_ARC
(18,7),-2.90193 # DEPENDENCYPART_ARC
(18,8),-3.33545 # DEPENDENCYPART_ARC
(18,9),-2.98763 # DEPENDENCYPART_ARC
(18,10),-3.06741 # DEPENDENCYPART_ARC
(18,11),-1.82284 # DEPENDENCYPART_ARC
(18,12),-2.25935 # DEPENDENCYPART_ARC
(18,13),-1.96261 # DEPENDENCYPART_ARC
(18,14),-1.708 # DEPENDENCYPART_ARC
(18,15),-1.29211 # DEPENDENCYPART_ARC
(18,16),-1.13573 # DEPENDENCYPART_ARC
(18,17),-0.484815 # DEPENDENCYPART_ARC
(18,19),1.68251 # DEPENDENCYPART_ARC
(18,20),-0.678044 # DEPENDENCYPART_ARC
(18,21),-0.126053 # DEPENDENCYPART_ARC
(18,22),-0.792057 # DEPENDENCYPART_ARC
(18,23),-0.984828 # DEPENDENCYPART_ARC
(19,1),-2.16798 # DEPENDENCYPART_ARC
(19,2),-3.06296 # DEPENDENCYPART_ARC
(19,3),-2.57396 # DEPENDENCYPART_ARC
(19,4),-2.85948 # DEPENDENCYPART_ARC
(19,5),-2.20653 # DEPENDENCYPART_ARC
(19,6),-1.51925 # DEPENDENCYPART_ARC
(19,7),-1.52107 # DEPENDENCYPART_ARC
(19,8),-2.36656 # DEPENDENCYPART_ARC
(19,9),-1.61766 # DEPENDENCYPART_ARC
(19,10),-1.45587 # DEPENDENCYPART_ARC
(19,11),-0.72234 # DEPENDENCYPART_ARC
(19,12),-1.42973 # DEPENDENCYPART_ARC
(19,13),-0.882931 # DEPENDENCYPART_ARC
(19,14),-0.543845 # DEPENDENCYPART_ARC
(19,15),-0.102271 # DEPENDENCYPART_ARC
(19,16),-0.123606 # DEPENDENCYPART_ARC
(19,17),0.449251 # DEPENDENCYPART_ARC
(19,18),1.80479 # DEPENDENCYPART_ARC
(19,20),-0.18427 # DEPENDENCYPART_ARC
(19,21),0.92304 # DEPENDENCYPART_ARC
(19,22),-0.750181 # DEPENDENCYPART_ARC
(19,23),-1.15831 # DEPENDENCYPART_ARC
(20,1),-2.36648 # DEPENDENCYPART_ARC
(20,2),-2.83871 # DEPENDENCYPART_ARC
(20,3),-2.643 # DEPENDENCYPART_ARC
(20,4),-2.97452 # DEPENDENCYPART_ARC
(20,5),-2.79406 # DEPENDENCYPART_ARC
(20,6),-1.58626 # DEPENDENCYPART_ARC
(20,7),-1.38855 # DEPENDENCYPART_ARC
(20,8),-2.06095 # DEPENDENCYPART_ARC
(20,9),-1.50324 # DEPENDENCYPART_ARC
(20,10),-1.35302 # DEPENDENCYPART_ARC
(20,11),-0.983654 # DEPENDENCYPART_ARC
(20,12),-1.29268 # DEPENDENCYPART_ARC
(20,13),-0.326226 # DEPENDENCYPART_ARC
(20,14),-0.938393 # DEPENDENCYPART_ARC
(20,15),-0.305327 # DEPENDENCYPART_ARC
(20,16),-0.919494 # DEPENDENCYPART_ARC
(20,17),0.120053 # DEPENDENCYPART_ARC
(20,18),-0.0746645 # DEPENDENCYPART_ARC
(20,19),0.12368 # DEPENDENCYPART_ARC
(20,21),2.30788 # DEPENDENCYPART_ARC
(20,22),3.33475 # DEPENDENCYPART_ARC
(20,23),0.121925 # DEPENDENCYPART_ARC
(21,1),-5.10918 # DEPENDENCYPART_ARC
(21,2),-7.40528 # DEPENDENCYPART_ARC
(21,3),-4.75296 # DEPENDENCYPART_ARC
(21,4),-6.41587 # DEPENDENCYPART_ARC
(21,5),-5.71713 # DEPENDENCYPART_ARC
(21,6),-4.44021 # DEPENDENCYPART_ARC
(21,7),-3.36224 # DEPENDENCYPART_ARC
(21,8),-5.85222 # DEPENDENCYPART_ARC
(21,9),-4.47376 # DEPENDENCYPART_ARC
(21,10),-5.07259 # DEPENDENCYPART_ARC
(21,11),-3.59795 # DEPENDENCYPART_ARC
(21,12),-4.27571 # DEPENDENCYPART_ARC
(21,13),-3.34631 # DEPENDENCYPART_ARC
(21,14),-3.58569 # DEPENDENCYPART_ARC
(21,15),-3.51519 # DEPENDENCYPART_ARC
(21,16),-3.30365 # DEPENDENCYPART_ARC
(21,17),-2.28027 # DEPENDENCYPART_ARC
(21,18),-1.576 # DEPENDENCYPART_ARC
(21,19),-2.11431 # DEPENDENCYPART_ARC
(21,20),-0.157162 # DEPENDENCYPART_ARC
(21,22),1.15785 # DEPENDENCYPART_ARC
(21,23),-1.81084 # DEPENDENCYPART_ARC
(22,1),-2.35314 # DEPENDENCYPART_ARC
(22,2),-3.30773 # DEPENDENCYPART_ARC
(22,3),-1.81977 # DEPENDENCYPART_ARC
(22,4),-2.83135 # DEPENDENCYPART_ARC
(22,5),-3.44649 # DEPENDENCYPART_ARC
(22,6),-1.67703 # DEPENDENCYPART_ARC
(22,7),-2.2648 # DEPENDENCYPART_ARC
(22,8),-2.99515 # DEPENDENCYPART_ARC
(22,9),-1.9173 # DEPENDENCYPART_ARC
(22,10),-2.51264 # DEPENDENCYPART_ARC
(22,11),-2.3878 # DEPENDENCYPART_ARC
(22,12),-1.88888 # DEPENDENCYPART_ARC
(22,13),-0.831271 # DEPENDENCYPART_ARC
(22,14),-1.12897 # DEPENDENCYPART_ARC
(22,15),-1.01236 # DEPENDENCYPART_ARC
(22,16),-1.22808 # DEPENDENCYPART_ARC
(22,17),0.680577 # DEPENDENCYPART_ARC
(22,18),0.587944 # DEPENDENCYPART_ARC
(22,19),0.775238 # DEPENDENCYPART_ARC
(22,20),0.809626 # DEPENDENCYPART_ARC
(22,21),5.18701 # DEPENDENCYPART_ARC
(22,23),0.677195 # DEPENDENCYPART_ARC
(23,1),-3.60574 # DEPENDENCYPART_ARC
(23,2),-3.14387 # DEPENDENCYPART_ARC
(23,3),-2.77695 # DEPENDENCYPART_ARC
