# _root_ In Merrill Lynch & Co. 's Tokyo trading room , some 40 traders and assistants sat quietly , with few orders to process .
#goldHeads=16,3,9,3,4,5,9,9,1,16,13,11,16,13,14,0,16,16,16,21,19,21,22,16,
#predictedHeads=16,3,1,3,4,5,9,9,4,16,13,11,16,13,14,0,16,16,16,21,19,21,22,16,
(3,9),1.88714 # DEPENDENCYPART_ARC
(3,10),1.85665 # DEPENDENCYPART_ARC
(3,11),0.16954 # DEPENDENCYPART_ARC
(3,12),-0.57262 # DEPENDENCYPART_ARC
(3,13),0.254996 # DEPENDENCYPART_ARC
(3,14),-0.662752 # DEPENDENCYPART_ARC
(3,15),-0.190394 # DEPENDENCYPART_ARC
(3,16),-0.250233 # DEPENDENCYPART_ARC
(3,17),-0.715429 # DEPENDENCYPART_ARC
(3,18),-0.0720007 # DEPENDENCYPART_ARC
(3,19),-0.0395722 # DEPENDENCYPART_ARC
(3,20),-0.961837 # DEPENDENCYPART_ARC
(3,21),-1.08279 # DEPENDENCYPART_ARC
(3,22),-0.518194 # DEPENDENCYPART_ARC
(3,23),-2.91897 # DEPENDENCYPART_ARC
(3,24),0.387352 # DEPENDENCYPART_ARC
(4,1),0.224695 # DEPENDENCYPART_ARC
(4,2),0.525682 # DEPENDENCYPART_ARC
(4,3),1.05005 # DEPENDENCYPART_ARC
(4,5),5.4797 # DEPENDENCYPART_ARC
(4,6),1.62714 # DEPENDENCYPART_ARC
(4,7),1.84006 # DEPENDENCYPART_ARC
(4,8),2.21912 # DEPENDENCYPART_ARC
(4,9),2.41984 # DEPENDENCYPART_ARC
(4,10),1.16664 # DEPENDENCYPART_ARC
(4,11),-0.280081 # DEPENDENCYPART_ARC
(4,12),-0.0968291 # DEPENDENCYPART_ARC
(4,13),-0.357713 # DEPENDENCYPART_ARC
(4,14),1.03751 # DEPENDENCYPART_ARC
(4,15),0.0936915 # DEPENDENCYPART_ARC
(4,16),-0.540066 # DEPENDENCYPART_ARC
(4,17),-0.55208 # DEPENDENCYPART_ARC
(4,18),0.377428 # DEPENDENCYPART_ARC
(4,19),-1.24373 # DEPENDENCYPART_ARC
(4,20),-1.11752 # DEPENDENCYPART_ARC
(4,21),-2.97971 # DEPENDENCYPART_ARC
(4,22),-0.639084 # DEPENDENCYPART_ARC
(4,23),-2.9394 # DEPENDENCYPART_ARC
(4,24),-0.192799 # DEPENDENCYPART_ARC
(5,1),-2.98706 # DEPENDENCYPART_ARC
(5,2),0.593668 # DEPENDENCYPART_ARC
(5,3),-1.54409 # DEPENDENCYPART_ARC
(5,4),-0.895747 # DEPENDENCYPART_ARC
(5,6),3.38891 # DEPENDENCYPART_ARC
(5,7),0.166632 # DEPENDENCYPART_ARC
(5,8),-0.816291 # DEPENDENCYPART_ARC
(5,9),-1.47265 # DEPENDENCYPART_ARC
(5,10),-0.981082 # DEPENDENCYPART_ARC
(5,11),-1.62045 # DEPENDENCYPART_ARC
(5,12),-2.00201 # DEPENDENCYPART_ARC
(5,13),-1.84665 # DEPENDENCYPART_ARC
(5,14),-1.11443 # DEPENDENCYPART_ARC
(5,15),-2.16851 # DEPENDENCYPART_ARC
(5,16),-2.27599 # DEPENDENCYPART_ARC
(5,17),-2.39165 # DEPENDENCYPART_ARC
(5,18),-1.96855 # DEPENDENCYPART_ARC
(5,19),-2.81829 # DEPENDENCYPART_ARC
(5,20),-2.37276 # DEPENDENCYPART_ARC
(5,21),-3.38766 # DEPENDENCYPART_ARC
(5,22),-2.20881 # DEPENDENCYPART_ARC
(5,23),-6.14016 # DEPENDENCYPART_ARC
(5,24),-1.50131 # DEPENDENCYPART_ARC
(6,1),-1.09118 # DEPENDENCYPART_ARC
(6,2),0.0911782 # DEPENDENCYPART_ARC
(6,3),0.32354 # DEPENDENCYPART_ARC
(6,4),-0.230476 # DEPENDENCYPART_ARC
(6,5),0.963403 # DEPENDENCYPART_ARC
(6,7),-0.213565 # DEPENDENCYPART_ARC
(6,8),-0.811701 # DEPENDENCYPART_ARC
(6,9),-1.27848 # DEPENDENCYPART_ARC
(6,10),-1.24509 # DEPENDENCYPART_ARC
(6,11),-1.59736 # DEPENDENCYPART_ARC
(6,12),-2.13247 # DEPENDENCYPART_ARC
(6,13),-2.49595 # DEPENDENCYPART_ARC
(6,14),-0.910772 # DEPENDENCYPART_ARC
(6,15),-2.6874 # DEPENDENCYPART_ARC
(6,16),-1.71721 # DEPENDENCYPART_ARC
(6,17),-2.16493 # DEPENDENCYPART_ARC
(6,18),-2.24029 # DEPENDENCYPART_ARC
(6,19),-2.93891 # DEPENDENCYPART_ARC
(6,20),-3.00569 # DEPENDENCYPART_ARC
(6,21),-3.55606 # DEPENDENCYPART_ARC
(6,22),-3.07561 # DEPENDENCYPART_ARC
(6,23),-2.97668 # DEPENDENCYPART_ARC
(6,24),-3.10549 # DEPENDENCYPART_ARC
(7,1),-2.39534 # DEPENDENCYPART_ARC
(7,2),0.250134 # DEPENDENCYPART_ARC
(7,3),-0.191483 # DEPENDENCYPART_ARC
(7,4),-0.944564 # DEPENDENCYPART_ARC
(7,5),2.53892 # DEPENDENCYPART_ARC
(7,6),0.442919 # DEPENDENCYPART_ARC
(7,8),0.800564 # DEPENDENCYPART_ARC
(7,9),0.0182414 # DEPENDENCYPART_ARC
(7,10),0.344166 # DEPENDENCYPART_ARC
(7,11),-1.31034 # DEPENDENCYPART_ARC
(7,12),-1.17956 # DEPENDENCYPART_ARC
(7,13),-1.29063 # DEPENDENCYPART_ARC
(7,14),-1.02795 # DEPENDENCYPART_ARC
(7,15),-1.68374 # DEPENDENCYPART_ARC
(7,16),-1.51818 # DEPENDENCYPART_ARC
(7,17),-1.86874 # DEPENDENCYPART_ARC
(7,18),-1.25754 # DEPENDENCYPART_ARC
(7,19),-2.17341 # DEPENDENCYPART_ARC
(7,20),-2.23376 # DEPENDENCYPART_ARC
(7,21),-2.87843 # DEPENDENCYPART_ARC
(7,22),-1.81581 # DEPENDENCYPART_ARC
(7,23),-4.63098 # DEPENDENCYPART_ARC
(7,24),-0.734235 # DEPENDENCYPART_ARC
(8,1),-2.39396 # DEPENDENCYPART_ARC
(8,2),1.88476 # DEPENDENCYPART_ARC
(8,3),0.787547 # DEPENDENCYPART_ARC
(8,4),-0.890744 # DEPENDENCYPART_ARC
(8,5),3.13264 # DEPENDENCYPART_ARC
(8,6),0.31317 # DEPENDENCYPART_ARC
(8,7),2.74283 # DEPENDENCYPART_ARC
(8,9),0.0528109 # DEPENDENCYPART_ARC
(8,10),-0.433236 # DEPENDENCYPART_ARC
(8,11),-1.38518 # DEPENDENCYPART_ARC
(8,12),-1.05388 # DEPENDENCYPART_ARC
(8,13),-1.35993 # DEPENDENCYPART_ARC
(8,14),-0.788829 # DEPENDENCYPART_ARC
(8,15),-2.19187 # DEPENDENCYPART_ARC
(8,16),-1.2477 # DEPENDENCYPART_ARC
(8,17),-1.60916 # DEPENDENCYPART_ARC
(8,18),-1.3682 # DEPENDENCYPART_ARC
(8,19),-3.17693 # DEPENDENCYPART_ARC
(8,20),-2.71269 # DEPENDENCYPART_ARC
(8,21),-2.68107 # DEPENDENCYPART_ARC
(8,22),-3.11052 # DEPENDENCYPART_ARC
(8,23),-2.59255 # DEPENDENCYPART_ARC
(8,24),-1.24337 # DEPENDENCYPART_ARC
(9,1),-0.439188 # DEPENDENCYPART_ARC
(9,2),3.09804 # DEPENDENCYPART_ARC
(9,3),2.08903 # DEPENDENCYPART_ARC
(9,4),0.60581 # DEPENDENCYPART_ARC
(9,5),5.01951 # DEPENDENCYPART_ARC
(9,6),1.53755 # DEPENDENCYPART_ARC
(9,7),4.47822 # DEPENDENCYPART_ARC
(9,8),4.46602 # DEPENDENCYPART_ARC
(9,10),1.70938 # DEPENDENCYPART_ARC
(9,11),0.0918189 # DEPENDENCYPART_ARC
(9,12),0.744093 # DEPENDENCYPART_ARC
(9,13),1.01273 # DEPENDENCYPART_ARC
(9,14),0.314298 # DEPENDENCYPART_ARC
(9,15),-0.35757 # DEPENDENCYPART_ARC
(9,16),0.181772 # DEPENDENCYPART_ARC
(9,17),-0.263231 # DEPENDENCYPART_ARC
(9,18),0.220709 # DEPENDENCYPART_ARC
(9,19),-0.562797 # DEPENDENCYPART_ARC
(9,20),-1.12449 # DEPENDENCYPART_ARC
(9,21),-0.702922 # DEPENDENCYPART_ARC
(9,22),-0.932385 # DEPENDENCYPART_ARC
(9,23),-1.63792 # DEPENDENCYPART_ARC
(9,24),1.04317 # DEPENDENCYPART_ARC
(10,1),-2.16539 # DEPENDENCYPART_ARC
(10,2),-2.33421 # DEPENDENCYPART_ARC
(10,3),-2.20837 # DEPENDENCYPART_ARC
(10,4),-2.08575 # DEPENDENCYPART_ARC
(10,5),-2.14319 # DEPENDENCYPART_ARC
(10,6),-1.66277 # DEPENDENCYPART_ARC
(10,7),-1.56522 # DEPENDENCYPART_ARC
(10,8),-1.74179 # DEPENDENCYPART_ARC
(10,9),-1.18376 # DEPENDENCYPART_ARC
(10,11),-0.0719532 # DEPENDENCYPART_ARC
(10,12),-0.565767 # DEPENDENCYPART_ARC
(10,13),-1.00162 # DEPENDENCYPART_ARC
(10,14),-1.10082 # DEPENDENCYPART_ARC
(10,15),-1.43136 # DEPENDENCYPART_ARC
(10,16),-1.03951 # DEPENDENCYPART_ARC
(10,17),-1.50975 # DEPENDENCYPART_ARC
(10,18),0.335235 # DEPENDENCYPART_ARC
(10,19),-1.39473 # DEPENDENCYPART_ARC
(10,20),-2.03279 # DEPENDENCYPART_ARC
(10,21),-2.33968 # DEPENDENCYPART_ARC
(10,22),-2.00655 # DEPENDENCYPART_ARC
(10,23),-2.62959 # DEPENDENCYPART_ARC
(10,24),-1.62024 # DEPENDENCYPART_ARC
(11,1),-1.52705 # DEPENDENCYPART_ARC
(11,2),-1.58821 # DEPENDENCYPART_ARC
(11,3),-1.5062 # DEPENDENCYPART_ARC
(11,4),-1.71269 # DEPENDENCYPART_ARC
(11,5),-1.21918 # DEPENDENCYPART_ARC
(11,6),-0.980175 # DEPENDENCYPART_ARC
(11,7),-0.826154 # DEPENDENCYPART_ARC
(11,8),-0.669181 # DEPENDENCYPART_ARC
(11,9),-0.685593 # DEPENDENCYPART_ARC
(11,10),0.480669 # DEPENDENCYPART_ARC
(11,12),4.13866 # DEPENDENCYPART_ARC
(11,13),0.824518 # DEPENDENCYPART_ARC
(11,14),0.991711 # DEPENDENCYPART_ARC
(11,15),0.36757 # DEPENDENCYPART_ARC
(11,16),0.650379 # DEPENDENCYPART_ARC
(11,17),0.107314 # DEPENDENCYPART_ARC
(11,18),0.904037 # DEPENDENCYPART_ARC
(11,19),0.507991 # DEPENDENCYPART_ARC
(11,20),-0.336527 # DEPENDENCYPART_ARC
(11,21),-0.0842907 # DEPENDENCYPART_ARC
(11,22),-0.614606 # DEPENDENCYPART_ARC
(11,23),-0.72498 # DEPENDENCYPART_ARC
(11,24),1.05067 # DEPENDENCYPART_ARC
(12,1),-2.23567 # DEPENDENCYPART_ARC
(12,2),-1.43805 # DEPENDENCYPART_ARC
(12,3),-1.59607 # DEPENDENCYPART_ARC
(12,4),-1.86728 # DEPENDENCYPART_ARC
(12,5),-1.1829 # DEPENDENCYPART_ARC
(12,6),-1.48738 # DEPENDENCYPART_ARC
(12,7),-0.820375 # DEPENDENCYPART_ARC
(12,8),-1.03229 # DEPENDENCYPART_ARC
(12,9),-0.739748 # DEPENDENCYPART_ARC
(12,10),0.208876 # DEPENDENCYPART_ARC
(12,11),1.85653 # DEPENDENCYPART_ARC
(12,13),0.75775 # DEPENDENCYPART_ARC
(12,14),0.312783 # DEPENDENCYPART_ARC
(12,15),-0.334626 # DEPENDENCYPART_ARC
(12,16),-0.338346 # DEPENDENCYPART_ARC
(12,17),-0.926148 # DEPENDENCYPART_ARC
(12,18),0.0835497 # DEPENDENCYPART_ARC
(12,19),-0.723028 # DEPENDENCYPART_ARC
(12,20),-0.999903 # DEPENDENCYPART_ARC
(12,21),-1.21463 # DEPENDENCYPART_ARC
(12,22),-1.08441 # DEPENDENCYPART_ARC
(12,23),-1.4379 # DEPENDENCYPART_ARC
(12,24),-0.709198 # DEPENDENCYPART_ARC
(13,1),-1.89949 # DEPENDENCYPART_ARC
(13,2),0.0312559 # DEPENDENCYPART_ARC
(13,3),-1.05336 # DEPENDENCYPART_ARC
(13,4),-0.793062 # DEPENDENCYPART_ARC
(13,5),1.4831 # DEPENDENCYPART_ARC
(13,6),-0.746019 # DEPENDENCYPART_ARC
(13,7),0.1442 # DEPENDENCYPART_ARC
(13,8),0.368793 # DEPENDENCYPART_ARC
(13,9),-0.720588 # DEPENDENCYPART_ARC
(13,10),0.138156 # DEPENDENCYPART_ARC
(13,11),3.91023 # DEPENDENCYPART_ARC
(13,12),3.32357 # DEPENDENCYPART_ARC
(13,14),3.24554 # DEPENDENCYPART_ARC
(13,15),1.09504 # DEPENDENCYPART_ARC
(13,16),1.50199 # DEPENDENCYPART_ARC
(13,17),0.811849 # DEPENDENCYPART_ARC
(13,18),0.662551 # DEPENDENCYPART_ARC
(13,19),0.0591998 # DEPENDENCYPART_ARC
(13,20),0.733904 # DEPENDENCYPART_ARC
(13,21),-0.325801 # DEPENDENCYPART_ARC
(13,22),-0.498032 # DEPENDENCYPART_ARC
(13,23),-0.335842 # DEPENDENCYPART_ARC
(13,24),0.809378 # DEPENDENCYPART_ARC
(14,1),-1.86282 # DEPENDENCYPART_ARC
(14,2),-1.13756 # DEPENDENCYPART_ARC
(14,3),-1.20808 # DEPENDENCYPART_ARC
(14,4),-1.93242 # DEPENDENCYPART_ARC
(14,5),-0.38194 # DEPENDENCYPART_ARC
(14,6),-1.5338 # DEPENDENCYPART_ARC
(14,7),-0.634139 # DEPENDENCYPART_ARC
(14,8),-0.832082 # DEPENDENCYPART_ARC
(14,9),-0.489303 # DEPENDENCYPART_ARC
(14,10),-1.11228 # DEPENDENCYPART_ARC
(14,11),-0.185781 # DEPENDENCYPART_ARC
(14,12),-0.702509 # DEPENDENCYPART_ARC
(14,13),0.112981 # DEPENDENCYPART_ARC
(14,15),4.95235 # DEPENDENCYPART_ARC
(14,16),1.88457 # DEPENDENCYPART_ARC
(14,17),-0.53743 # DEPENDENCYPART_ARC
(14,18),0.340249 # DEPENDENCYPART_ARC
(14,19),-1.08712 # DEPENDENCYPART_ARC
(14,20),-1.45552 # DEPENDENCYPART_ARC
(14,21),-1.87187 # DEPENDENCYPART_ARC
(14,22),-0.221771 # DEPENDENCYPART_ARC
(14,23),-1.9913 # DEPENDENCYPART_ARC
(14,24),-0.502062 # DEPENDENCYPART_ARC
(15,1),-3.43422 # DEPENDENCYPART_ARC
(15,2),-1.71041 # DEPENDENCYPART_ARC
(15,3),-2.96159 # DEPENDENCYPART_ARC
(15,4),-2.50272 # DEPENDENCYPART_ARC
(15,5),-0.222734 # DEPENDENCYPART_ARC
(15,6),-2.21844 # DEPENDENCYPART_ARC
(15,7),-1.59391 # DEPENDENCYPART_ARC
(15,8),-1.75537 # DEPENDENCYPART_ARC
(15,9),-2.83919 # DEPENDENCYPART_ARC
(15,10),-1.96569 # DEPENDENCYPART_ARC
(15,11),1.19028 # DEPENDENCYPART_ARC
(15,12),0.709212 # DEPENDENCYPART_ARC
(15,13),-0.324226 # DEPENDENCYPART_ARC
(15,14),0.0210729 # DEPENDENCYPART_ARC
(15,16),0.447883 # DEPENDENCYPART_ARC
(15,17),-0.59117 # DEPENDENCYPART_ARC
(15,18),-0.572943 # DEPENDENCYPART_ARC
(15,19),0.0304926 # DEPENDENCYPART_ARC
(15,20),-0.692036 # DEPENDENCYPART_ARC
(15,21),-1.19916 # DEPENDENCYPART_ARC
(15,22),-1.08465 # DEPENDENCYPART_ARC
(15,23),-1.39745 # DEPENDENCYPART_ARC
(15,24),-0.467758 # DEPENDENCYPART_ARC
(16,1),1.81179 # DEPENDENCYPART_ARC
(16,2),0.489418 # DEPENDENCYPART_ARC
(16,3),1.45508 # DEPENDENCYPART_ARC
(16,4),0.012151 # DEPENDENCYPART_ARC
(16,5),0.135043 # DEPENDENCYPART_ARC
(16,6),-0.217582 # DEPENDENCYPART_ARC
(16,7),0.993504 # DEPENDENCYPART_ARC
(16,8),0.985488 # DEPENDENCYPART_ARC
(16,9),0.976076 # DEPENDENCYPART_ARC
(16,10),3.06569 # DEPENDENCYPART_ARC
(16,11),1.76994 # DEPENDENCYPART_ARC
(16,12),1.49481 # DEPENDENCYPART_ARC
(16,13),2.11657 # DEPENDENCYPART_ARC
(16,14),1.31805 # DEPENDENCYPART_ARC
(16,15),3.54247 # DEPENDENCYPART_ARC
(16,17),2.67178 # DEPENDENCYPART_ARC
(16,18),2.92998 # DEPENDENCYPART_ARC
(16,19),2.58021 # DEPENDENCYPART_ARC
(16,20),0.458778 # DEPENDENCYPART_ARC
(16,21),0.805621 # DEPENDENCYPART_ARC
(16,22),1.41304 # DEPENDENCYPART_ARC
(16,23),-0.219531 # DEPENDENCYPART_ARC
(16,24),3.0138 # DEPENDENCYPART_ARC
(17,1),-1.6963 # DEPENDENCYPART_ARC
(17,2),-1.69696 # DEPENDENCYPART_ARC
(17,3),-1.6729 # DEPENDENCYPART_ARC
(17,4),-1.31073 # DEPENDENCYPART_ARC
(17,5),-1.11456 # DEPENDENCYPART_ARC
(17,6),-1.05308 # DEPENDENCYPART_ARC
(17,7),-0.979197 # DEPENDENCYPART_ARC
(17,8),-1.11502 # DEPENDENCYPART_ARC
(17,9),-1.18683 # DEPENDENCYPART_ARC
(17,10),0.414702 # DEPENDENCYPART_ARC
(17,11),0.169878 # DEPENDENCYPART_ARC
(17,12),-0.133604 # DEPENDENCYPART_ARC
(17,13),0.109147 # DEPENDENCYPART_ARC
(17,14),0.185143 # DEPENDENCYPART_ARC
(17,15),0.384747 # DEPENDENCYPART_ARC
(17,16),0.895228 # DEPENDENCYPART_ARC
(17,18),0.952918 # DEPENDENCYPART_ARC
(17,19),-0.440138 # DEPENDENCYPART_ARC
(17,20),0.335966 # DEPENDENCYPART_ARC
(17,21),-0.48273 # DEPENDENCYPART_ARC
(17,22),0.000166144 # DEPENDENCYPART_ARC
(17,23),-1.37635 # DEPENDENCYPART_ARC
(17,24),-0.556326 # DEPENDENCYPART_ARC
(18,1),-2.83486 # DEPENDENCYPART_ARC
(18,2),-3.06585 # DEPENDENCYPART_ARC
(18,3),-2.98479 # DEPENDENCYPART_ARC
(18,4),-2.72551 # DEPENDENCYPART_ARC
(18,5),-2.72769 # DEPENDENCYPART_ARC
(18,6),-2.34692 # DEPENDENCYPART_ARC
(18,7),-2.55085 # DEPENDENCYPART_ARC
(18,8),-1.90653 # DEPENDENCYPART_ARC
(18,9),-1.91842 # DEPENDENCYPART_ARC
(18,10),-0.245079 # DEPENDENCYPART_ARC
(18,11),-1.34594 # DEPENDENCYPART_ARC
(18,12),-1.6902 # DEPENDENCYPART_ARC
(18,13),-2.03977 # DEPENDENCYPART_ARC
(18,14),-1.7793 # DEPENDENCYPART_ARC
(18,15),-1.46457 # DEPENDENCYPART_ARC
(18,16),-1.3259 # DEPENDENCYPART_ARC
(18,17),-0.791855 # DEPENDENCYPART_ARC
(18,19),-0.497483 # DEPENDENCYPART_ARC
(18,20),-0.791997 # DEPENDENCYPART_ARC
(18,21),-1.22817 # DEPENDENCYPART_ARC
(18,22),-1.34913 # DEPENDENCYPART_ARC
(18,23),-1.85844 # DEPENDENCYPART_ARC
(18,24),-1.12959 # DEPENDENCYPART_ARC
(19,1),-3.28434 # DEPENDENCYPART_ARC
(19,2),-2.98094 # DEPENDENCYPART_ARC
(19,3),-3.09688 # DEPENDENCYPART_ARC
(19,4),-2.71555 # DEPENDENCYPART_ARC
(19,5),-2.93783 # DEPENDENCYPART_ARC
(19,6),-2.16623 # DEPENDENCYPART_ARC
(19,7),-2.7422 # DEPENDENCYPART_ARC
(19,8),-3.25645 # DEPENDENCYPART_ARC
(19,9),-3.17973 # DEPENDENCYPART_ARC
(19,10),-2.16728 # DEPENDENCYPART_ARC
(19,11),-1.59645 # DEPENDENCYPART_ARC
(19,12),-1.35345 # DEPENDENCYPART_ARC
(19,13),-1.44381 # DEPENDENCYPART_ARC
(19,14),-1.1391 # DEPENDENCYPART_ARC
(19,15),-1.41393 # DEPENDENCYPART_ARC
(19,16),-0.917317 # DEPENDENCYPART_ARC
(19,17),-1.3642 # DEPENDENCYPART_ARC
(19,18),-0.395763 # DEPENDENCYPART_ARC
(19,20),1.35377 # DEPENDENCYPART_ARC
(19,21),1.88811 # DEPENDENCYPART_ARC
(19,22),1.07691 # DEPENDENCYPART_ARC
(19,23),0.76322 # DEPENDENCYPART_ARC
(19,24),-0.206164 # DEPENDENCYPART_ARC
(20,1),-3.78334 # DEPENDENCYPART_ARC
(20,2),-2.75857 # DEPENDENCYPART_ARC
(20,3),-3.4302 # DEPENDENCYPART_ARC
(20,4),-3.0985 # DEPENDENCYPART_ARC
(20,5),-3.03562 # DEPENDENCYPART_ARC
(20,6),-2.5874 # DEPENDENCYPART_ARC
(20,7),-2.7647 # DEPENDENCYPART_ARC
(20,8),-2.19765 # DEPENDENCYPART_ARC
(20,9),-2.5502 # DEPENDENCYPART_ARC
(20,10),-1.87789 # DEPENDENCYPART_ARC
(20,11),-1.49317 # DEPENDENCYPART_ARC
(20,12),-1.31427 # DEPENDENCYPART_ARC
(20,13),-1.57356 # DEPENDENCYPART_ARC
(20,14),-1.90216 # DEPENDENCYPART_ARC
(20,15),-1.39794 # DEPENDENCYPART_ARC
(20,16),-1.69744 # DEPENDENCYPART_ARC
(20,17),0.225415 # DEPENDENCYPART_ARC
(20,18),0.169987 # DEPENDENCYPART_ARC
(20,19),0.040571 # DEPENDENCYPART_ARC
(20,21),0.978178 # DEPENDENCYPART_ARC
(20,22),0.175808 # DEPENDENCYPART_ARC
(20,23),-0.24676 # DEPENDENCYPART_ARC
(20,24),-0.35179 # DEPENDENCYPART_ARC
(21,1),-2.9195 # DEPENDENCYPART_ARC
(21,2),-2.98811 # DEPENDENCYPART_ARC
(21,3),-4.54446 # DEPENDENCYPART_ARC
(21,4),-1.73717 # DEPENDENCYPART_ARC
(21,5),-2.03248 # DEPENDENCYPART_ARC
(21,6),-1.87638 # DEPENDENCYPART_ARC
(21,7),-3.25033 # DEPENDENCYPART_ARC
(21,8),-2.16971 # DEPENDENCYPART_ARC
(21,9),-3.47857 # DEPENDENCYPART_ARC
(21,10),-1.91148 # DEPENDENCYPART_ARC
(21,11),-0.575281 # DEPENDENCYPART_ARC
(21,12),-1.046 # DEPENDENCYPART_ARC
(21,13),-1.54038 # DEPENDENCYPART_ARC
(21,14),-1.21524 # DEPENDENCYPART_ARC
(21,15),-0.555679 # DEPENDENCYPART_ARC
(21,16),-0.640435 # DEPENDENCYPART_ARC
(21,17),-0.334548 # DEPENDENCYPART_ARC
(21,18),-0.144289 # DEPENDENCYPART_ARC
(21,19),0.207416 # DEPENDENCYPART_ARC
(21,20),4.38723 # DEPENDENCYPART_ARC
(21,22),1.58559 # DEPENDENCYPART_ARC
(21,23),0.767667 # DEPENDENCYPART_ARC
(21,24),0.338069 # DEPENDENCYPART_ARC
(22,1),-3.2046 # DEPENDENCYPART_ARC
(22,2),-1.423 # DEPENDENCYPART_ARC
(22,3),-1.64109 # DEPENDENCYPART_ARC
(22,4),-2.4764 # DEPENDENCYPART_ARC
