# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,16,19,24,12,22,20,24,0,29,27,28,24,28,24,
(8,20),0.301739 # DEPENDENCYPART_ARC
(8,21),-1.3695 # DEPENDENCYPART_ARC
(8,22),-0.665506 # DEPENDENCYPART_ARC
(8,23),0.329041 # DEPENDENCYPART_ARC
(8,24),-0.0653225 # DEPENDENCYPART_ARC
(8,25),-0.89585 # DEPENDENCYPART_ARC
(8,26),-1.98407 # DEPENDENCYPART_ARC
(8,27),-1.43584 # DEPENDENCYPART_ARC
(8,28),-0.599915 # DEPENDENCYPART_ARC
(8,29),-1.10506 # DEPENDENCYPART_ARC
(8,30),5.66284 # DEPENDENCYPART_ARC
(9,1),0.10133 # DEPENDENCYPART_ARC
(9,2),0.307704 # DEPENDENCYPART_ARC
(9,3),0.306041 # DEPENDENCYPART_ARC
(9,4),0.599874 # DEPENDENCYPART_ARC
(9,5),3.77478 # DEPENDENCYPART_ARC
(9,6),1.27771 # DEPENDENCYPART_ARC
(9,7),0.617578 # DEPENDENCYPART_ARC
(9,8),1.24454 # DEPENDENCYPART_ARC
(9,10),3.49302 # DEPENDENCYPART_ARC
(9,11),0.822883 # DEPENDENCYPART_ARC
(9,12),2.85942 # DEPENDENCYPART_ARC
(9,13),0.827056 # DEPENDENCYPART_ARC
(9,14),0.955883 # DEPENDENCYPART_ARC
(9,15),2.00647 # DEPENDENCYPART_ARC
(9,16),1.68782 # DEPENDENCYPART_ARC
(9,17),1.23411 # DEPENDENCYPART_ARC
(9,18),-0.555513 # DEPENDENCYPART_ARC
(9,19),-0.123665 # DEPENDENCYPART_ARC
(9,20),0.992994 # DEPENDENCYPART_ARC
(9,21),-0.635285 # DEPENDENCYPART_ARC
(9,22),-0.859971 # DEPENDENCYPART_ARC
(9,23),1.98936 # DEPENDENCYPART_ARC
(9,24),0.615289 # DEPENDENCYPART_ARC
(9,25),-0.803239 # DEPENDENCYPART_ARC
(9,26),-1.39588 # DEPENDENCYPART_ARC
(9,27),-3.09828 # DEPENDENCYPART_ARC
(9,28),0.216912 # DEPENDENCYPART_ARC
(9,29),0.0919921 # DEPENDENCYPART_ARC
(9,30),2.47264 # DEPENDENCYPART_ARC
(10,1),-0.60825 # DEPENDENCYPART_ARC
(10,2),-0.859148 # DEPENDENCYPART_ARC
(10,3),-1.10226 # DEPENDENCYPART_ARC
(10,4),-0.684817 # DEPENDENCYPART_ARC
(10,5),0.209392 # DEPENDENCYPART_ARC
(10,6),0.188734 # DEPENDENCYPART_ARC
(10,7),-0.232225 # DEPENDENCYPART_ARC
(10,8),-0.136978 # DEPENDENCYPART_ARC
(10,9),0.668777 # DEPENDENCYPART_ARC
(10,11),0.123122 # DEPENDENCYPART_ARC
(10,12),0.388585 # DEPENDENCYPART_ARC
(10,13),0.608847 # DEPENDENCYPART_ARC
(10,14),0.237088 # DEPENDENCYPART_ARC
(10,15),0.268989 # DEPENDENCYPART_ARC
(10,16),0.199209 # DEPENDENCYPART_ARC
(10,17),0.0124887 # DEPENDENCYPART_ARC
(10,18),-1.10108 # DEPENDENCYPART_ARC
(10,19),-0.546286 # DEPENDENCYPART_ARC
(10,20),-0.428166 # DEPENDENCYPART_ARC
(10,21),-1.52867 # DEPENDENCYPART_ARC
(10,22),-1.58389 # DEPENDENCYPART_ARC
(10,23),-1.27946 # DEPENDENCYPART_ARC
(10,24),-1.46915 # DEPENDENCYPART_ARC
(10,25),-1.80647 # DEPENDENCYPART_ARC
(10,26),-2.21295 # DEPENDENCYPART_ARC
(10,27),-2.42768 # DEPENDENCYPART_ARC
(10,28),-1.98101 # DEPENDENCYPART_ARC
(10,29),-1.91503 # DEPENDENCYPART_ARC
(10,30),-1.36211 # DEPENDENCYPART_ARC
(11,1),-1.57716 # DEPENDENCYPART_ARC
(11,2),-2.12929 # DEPENDENCYPART_ARC
(11,3),-2.23431 # DEPENDENCYPART_ARC
(11,4),-1.92269 # DEPENDENCYPART_ARC
(11,5),-1.11809 # DEPENDENCYPART_ARC
(11,6),-0.765313 # DEPENDENCYPART_ARC
(11,7),-1.62777 # DEPENDENCYPART_ARC
(11,8),-1.30095 # DEPENDENCYPART_ARC
(11,9),-0.597422 # DEPENDENCYPART_ARC
(11,10),-0.00654552 # DEPENDENCYPART_ARC
(11,12),0.574346 # DEPENDENCYPART_ARC
(11,13),0.115298 # DEPENDENCYPART_ARC
(11,14),-0.524425 # DEPENDENCYPART_ARC
(11,15),-0.288871 # DEPENDENCYPART_ARC
(11,16),-0.553172 # DEPENDENCYPART_ARC
(11,17),-0.367435 # DEPENDENCYPART_ARC
(11,18),-1.06131 # DEPENDENCYPART_ARC
(11,19),-1.44012 # DEPENDENCYPART_ARC
(11,20),-1.41281 # DEPENDENCYPART_ARC
(11,21),-1.50165 # DEPENDENCYPART_ARC
(11,22),-1.72145 # DEPENDENCYPART_ARC
(11,23),-0.709312 # DEPENDENCYPART_ARC
(11,24),-2.29357 # DEPENDENCYPART_ARC
(11,25),-2.34788 # DEPENDENCYPART_ARC
(11,26),-2.87467 # DEPENDENCYPART_ARC
(11,27),-2.10743 # DEPENDENCYPART_ARC
(11,28),-3.44578 # DEPENDENCYPART_ARC
(11,29),-2.45601 # DEPENDENCYPART_ARC
(11,30),-0.673055 # DEPENDENCYPART_ARC
(12,1),-1.99022 # DEPENDENCYPART_ARC
(12,2),-1.09933 # DEPENDENCYPART_ARC
(12,3),-1.48587 # DEPENDENCYPART_ARC
(12,4),-1.44944 # DEPENDENCYPART_ARC
(12,5),-0.866405 # DEPENDENCYPART_ARC
(12,6),0.321127 # DEPENDENCYPART_ARC
(12,7),-0.461665 # DEPENDENCYPART_ARC
(12,8),-0.343266 # DEPENDENCYPART_ARC
(12,9),0.113295 # DEPENDENCYPART_ARC
(12,10),0.647185 # DEPENDENCYPART_ARC
(12,11),4.63091 # DEPENDENCYPART_ARC
(12,13),3.72439 # DEPENDENCYPART_ARC
(12,14),1.35036 # DEPENDENCYPART_ARC
(12,15),1.8044 # DEPENDENCYPART_ARC
(12,16),1.05185 # DEPENDENCYPART_ARC
(12,17),1.06725 # DEPENDENCYPART_ARC
(12,18),-0.26025 # DEPENDENCYPART_ARC
(12,19),-0.112003 # DEPENDENCYPART_ARC
(12,20),1.87223 # DEPENDENCYPART_ARC
(12,21),-0.252847 # DEPENDENCYPART_ARC
(12,22),-0.381876 # DEPENDENCYPART_ARC
(12,23),1.13823 # DEPENDENCYPART_ARC
(12,24),0.799291 # DEPENDENCYPART_ARC
(12,25),-1.31191 # DEPENDENCYPART_ARC
(12,26),-0.550184 # DEPENDENCYPART_ARC
(12,27),-1.87594 # DEPENDENCYPART_ARC
(12,28),0.0562529 # DEPENDENCYPART_ARC
(12,29),-0.319464 # DEPENDENCYPART_ARC
(12,30),1.85108 # DEPENDENCYPART_ARC
(13,1),-2.6128 # DEPENDENCYPART_ARC
(13,2),-2.21243 # DEPENDENCYPART_ARC
(13,3),-2.22451 # DEPENDENCYPART_ARC
(13,4),-2.08405 # DEPENDENCYPART_ARC
(13,5),-0.137657 # DEPENDENCYPART_ARC
(13,6),-1.51943 # DEPENDENCYPART_ARC
(13,7),-1.35095 # DEPENDENCYPART_ARC
(13,8),-1.91813 # DEPENDENCYPART_ARC
(13,9),-1.04875 # DEPENDENCYPART_ARC
(13,10),-0.786266 # DEPENDENCYPART_ARC
(13,11),-0.517013 # DEPENDENCYPART_ARC
(13,12),0.127618 # DEPENDENCYPART_ARC
(13,14),3.73123 # DEPENDENCYPART_ARC
(13,15),0.163578 # DEPENDENCYPART_ARC
(13,16),0.0108352 # DEPENDENCYPART_ARC
(13,17),0.0944905 # DEPENDENCYPART_ARC
(13,18),-0.720809 # DEPENDENCYPART_ARC
(13,19),-0.585219 # DEPENDENCYPART_ARC
(13,20),-0.250727 # DEPENDENCYPART_ARC
(13,21),-2.31949 # DEPENDENCYPART_ARC
(13,22),-1.59063 # DEPENDENCYPART_ARC
(13,23),-0.157912 # DEPENDENCYPART_ARC
(13,24),-1.58491 # DEPENDENCYPART_ARC
(13,25),-1.79546 # DEPENDENCYPART_ARC
(13,26),-3.8369 # DEPENDENCYPART_ARC
(13,27),-6.94819 # DEPENDENCYPART_ARC
(13,28),-3.73548 # DEPENDENCYPART_ARC
(13,29),-1.40937 # DEPENDENCYPART_ARC
(13,30),2.65256 # DEPENDENCYPART_ARC
(14,1),-3.15411 # DEPENDENCYPART_ARC
(14,2),-3.29621 # DEPENDENCYPART_ARC
(14,3),-3.33522 # DEPENDENCYPART_ARC
(14,4),-1.73251 # DEPENDENCYPART_ARC
(14,5),-0.653832 # DEPENDENCYPART_ARC
(14,6),-1.84532 # DEPENDENCYPART_ARC
(14,7),-1.75144 # DEPENDENCYPART_ARC
(14,8),-1.59618 # DEPENDENCYPART_ARC
(14,9),-0.698153 # DEPENDENCYPART_ARC
(14,10),-0.843266 # DEPENDENCYPART_ARC
(14,11),0.485366 # DEPENDENCYPART_ARC
(14,12),0.443157 # DEPENDENCYPART_ARC
(14,13),1.09331 # DEPENDENCYPART_ARC
(14,15),1.92181 # DEPENDENCYPART_ARC
(14,16),0.366697 # DEPENDENCYPART_ARC
(14,17),1.24162 # DEPENDENCYPART_ARC
(14,18),-0.452519 # DEPENDENCYPART_ARC
(14,19),-0.565087 # DEPENDENCYPART_ARC
(14,20),1.36285 # DEPENDENCYPART_ARC
(14,21),-0.452278 # DEPENDENCYPART_ARC
(14,22),-0.670207 # DEPENDENCYPART_ARC
(14,23),1.39388 # DEPENDENCYPART_ARC
(14,24),0.171702 # DEPENDENCYPART_ARC
(14,25),-1.54465 # DEPENDENCYPART_ARC
(14,26),-1.59039 # DEPENDENCYPART_ARC
(14,27),-1.91389 # DEPENDENCYPART_ARC
(14,28),-0.572826 # DEPENDENCYPART_ARC
(14,29),-1.03693 # DEPENDENCYPART_ARC
(14,30),-0.211664 # DEPENDENCYPART_ARC
(15,1),-2.5047 # DEPENDENCYPART_ARC
(15,2),-2.53553 # DEPENDENCYPART_ARC
(15,3),-2.33753 # DEPENDENCYPART_ARC
(15,4),-2.44663 # DEPENDENCYPART_ARC
(15,5),-1.40762 # DEPENDENCYPART_ARC
(15,6),-1.71871 # DEPENDENCYPART_ARC
(15,7),-1.75561 # DEPENDENCYPART_ARC
(15,8),-1.95236 # DEPENDENCYPART_ARC
(15,9),-1.62807 # DEPENDENCYPART_ARC
(15,10),-1.61212 # DEPENDENCYPART_ARC
(15,11),-0.987449 # DEPENDENCYPART_ARC
(15,12),-0.733305 # DEPENDENCYPART_ARC
(15,13),-0.856808 # DEPENDENCYPART_ARC
(15,14),-0.269334 # DEPENDENCYPART_ARC
(15,16),2.35353 # DEPENDENCYPART_ARC
(15,17),1.7807 # DEPENDENCYPART_ARC
(15,18),1.11796 # DEPENDENCYPART_ARC
(15,19),1.86787 # DEPENDENCYPART_ARC
(15,20),0.194247 # DEPENDENCYPART_ARC
(15,21),-0.438316 # DEPENDENCYPART_ARC
(15,22),-0.550908 # DEPENDENCYPART_ARC
(15,23),0.308471 # DEPENDENCYPART_ARC
(15,24),1.37916 # DEPENDENCYPART_ARC
(15,25),-0.639962 # DEPENDENCYPART_ARC
(15,26),-1.77757 # DEPENDENCYPART_ARC
(15,27),-2.27428 # DEPENDENCYPART_ARC
(15,28),-0.0852786 # DEPENDENCYPART_ARC
(15,29),0.455615 # DEPENDENCYPART_ARC
(15,30),-0.263932 # DEPENDENCYPART_ARC
(16,1),-2.97227 # DEPENDENCYPART_ARC
(16,2),-3.0741 # DEPENDENCYPART_ARC
(16,3),-2.76055 # DEPENDENCYPART_ARC
(16,4),-2.93079 # DEPENDENCYPART_ARC
(16,5),-2.05278 # DEPENDENCYPART_ARC
(16,6),-2.19061 # DEPENDENCYPART_ARC
(16,7),-2.45968 # DEPENDENCYPART_ARC
(16,8),-2.53574 # DEPENDENCYPART_ARC
(16,9),-2.20803 # DEPENDENCYPART_ARC
(16,10),-2.12259 # DEPENDENCYPART_ARC
(16,11),-1.60957 # DEPENDENCYPART_ARC
(16,12),-1.71018 # DEPENDENCYPART_ARC
(16,13),-1.17474 # DEPENDENCYPART_ARC
(16,14),-1.35524 # DEPENDENCYPART_ARC
(16,15),-0.724206 # DEPENDENCYPART_ARC
(16,17),2.29762 # DEPENDENCYPART_ARC
(16,18),1.57644 # DEPENDENCYPART_ARC
(16,19),1.04685 # DEPENDENCYPART_ARC
(16,20),0.744197 # DEPENDENCYPART_ARC
(16,21),0.816381 # DEPENDENCYPART_ARC
(16,22),-0.691896 # DEPENDENCYPART_ARC
(16,23),0.402401 # DEPENDENCYPART_ARC
(16,24),1.02424 # DEPENDENCYPART_ARC
(16,25),-0.517262 # DEPENDENCYPART_ARC
(16,26),-1.07808 # DEPENDENCYPART_ARC
(16,27),-2.72595 # DEPENDENCYPART_ARC
(16,28),-0.791863 # DEPENDENCYPART_ARC
(16,29),0.352613 # DEPENDENCYPART_ARC
(16,30),0.031067 # DEPENDENCYPART_ARC
(17,1),-2.87999 # DEPENDENCYPART_ARC
(17,2),-2.94954 # DEPENDENCYPART_ARC
(17,3),-2.72927 # DEPENDENCYPART_ARC
(17,4),-2.81806 # DEPENDENCYPART_ARC
(17,5),-1.94937 # DEPENDENCYPART_ARC
(17,6),-2.37571 # DEPENDENCYPART_ARC
(17,7),-2.28983 # DEPENDENCYPART_ARC
(17,8),-2.41825 # DEPENDENCYPART_ARC
(17,9),-2.14585 # DEPENDENCYPART_ARC
(17,10),-2.05699 # DEPENDENCYPART_ARC
(17,11),-1.5364 # DEPENDENCYPART_ARC
(17,12),-1.69765 # DEPENDENCYPART_ARC
(17,13),-1.28367 # DEPENDENCYPART_ARC
(17,14),-1.07345 # DEPENDENCYPART_ARC
