# _root_ In Big Board composite trading yesterday , NCNB jumped $ 3.50 a share , to $ 51 .
#goldHeads=9,5,5,5,1,9,9,9,0,9,10,13,10,9,9,15,16,9,
#predictedHeads=9,5,5,5,1,9,9,9,0,9,10,13,10,9,9,15,16,9,
(5,13),-0.714949 # DEPENDENCYPART_ARC
(5,14),-0.595969 # DEPENDENCYPART_ARC
(5,15),-1.91581 # DEPENDENCYPART_ARC
(5,16),-2.22736 # DEPENDENCYPART_ARC
(5,17),-1.46121 # DEPENDENCYPART_ARC
(5,18),-1.23241 # DEPENDENCYPART_ARC
(6,1),-0.51827 # DEPENDENCYPART_ARC
(6,2),0.748389 # DEPENDENCYPART_ARC
(6,3),0.917749 # DEPENDENCYPART_ARC
(6,4),0.749499 # DEPENDENCYPART_ARC
(6,5),0.775731 # DEPENDENCYPART_ARC
(6,7),1.17741 # DEPENDENCYPART_ARC
(6,8),0.0731754 # DEPENDENCYPART_ARC
(6,9),0.342949 # DEPENDENCYPART_ARC
(6,10),-0.559312 # DEPENDENCYPART_ARC
(6,11),0.267763 # DEPENDENCYPART_ARC
(6,12),-0.684824 # DEPENDENCYPART_ARC
(6,13),0.555694 # DEPENDENCYPART_ARC
(6,14),0.458044 # DEPENDENCYPART_ARC
(6,15),-0.80871 # DEPENDENCYPART_ARC
(6,16),-1.34771 # DEPENDENCYPART_ARC
(6,17),-0.459195 # DEPENDENCYPART_ARC
(6,18),0.015976 # DEPENDENCYPART_ARC
(7,1),-1.92629 # DEPENDENCYPART_ARC
(7,2),-2.29079 # DEPENDENCYPART_ARC
(7,3),-2.08253 # DEPENDENCYPART_ARC
(7,4),-1.40942 # DEPENDENCYPART_ARC
(7,5),-1.74401 # DEPENDENCYPART_ARC
(7,6),-0.711791 # DEPENDENCYPART_ARC
(7,8),0.101938 # DEPENDENCYPART_ARC
(7,9),-0.281449 # DEPENDENCYPART_ARC
(7,10),-1.26484 # DEPENDENCYPART_ARC
(7,11),-1.52922 # DEPENDENCYPART_ARC
(7,12),-1.69938 # DEPENDENCYPART_ARC
(7,13),-1.96293 # DEPENDENCYPART_ARC
(7,14),-0.0666877 # DEPENDENCYPART_ARC
(7,15),-1.73951 # DEPENDENCYPART_ARC
(7,16),-2.41175 # DEPENDENCYPART_ARC
(7,17),-2.50958 # DEPENDENCYPART_ARC
(7,18),-1.40885 # DEPENDENCYPART_ARC
(8,1),-2.45103 # DEPENDENCYPART_ARC
(8,2),0.885738 # DEPENDENCYPART_ARC
(8,3),0.874365 # DEPENDENCYPART_ARC
(8,4),0.975645 # DEPENDENCYPART_ARC
(8,5),0.56479 # DEPENDENCYPART_ARC
(8,6),-0.882286 # DEPENDENCYPART_ARC
(8,7),1.63185 # DEPENDENCYPART_ARC
(8,9),0.646709 # DEPENDENCYPART_ARC
(8,10),-0.247775 # DEPENDENCYPART_ARC
(8,11),0.382654 # DEPENDENCYPART_ARC
(8,12),-0.78095 # DEPENDENCYPART_ARC
(8,13),-1.06507 # DEPENDENCYPART_ARC
(8,14),0.0983704 # DEPENDENCYPART_ARC
(8,15),-1.21825 # DEPENDENCYPART_ARC
(8,16),-2.02497 # DEPENDENCYPART_ARC
(8,17),-0.92961 # DEPENDENCYPART_ARC
(8,18),-0.643037 # DEPENDENCYPART_ARC
(9,1),3.36182 # DEPENDENCYPART_ARC
(9,2),1.96255 # DEPENDENCYPART_ARC
(9,3),2.18053 # DEPENDENCYPART_ARC
(9,4),1.21618 # DEPENDENCYPART_ARC
(9,5),1.0138 # DEPENDENCYPART_ARC
(9,6),2.14481 # DEPENDENCYPART_ARC
(9,7),3.92939 # DEPENDENCYPART_ARC
(9,8),3.52009 # DEPENDENCYPART_ARC
(9,10),2.47522 # DEPENDENCYPART_ARC
(9,11),1.64724 # DEPENDENCYPART_ARC
(9,12),0.774787 # DEPENDENCYPART_ARC
(9,13),1.69539 # DEPENDENCYPART_ARC
(9,14),2.73577 # DEPENDENCYPART_ARC
(9,15),3.98055 # DEPENDENCYPART_ARC
(9,16),-0.197538 # DEPENDENCYPART_ARC
(9,17),-0.2481 # DEPENDENCYPART_ARC
(9,18),3.97459 # DEPENDENCYPART_ARC
(10,1),-2.04572 # DEPENDENCYPART_ARC
(10,2),-1.8242 # DEPENDENCYPART_ARC
(10,3),-1.65883 # DEPENDENCYPART_ARC
(10,4),-1.11782 # DEPENDENCYPART_ARC
(10,5),-0.648051 # DEPENDENCYPART_ARC
(10,6),-0.498729 # DEPENDENCYPART_ARC
(10,7),-0.217361 # DEPENDENCYPART_ARC
(10,8),0.00581659 # DEPENDENCYPART_ARC
(10,9),1.0113 # DEPENDENCYPART_ARC
(10,11),3.31292 # DEPENDENCYPART_ARC
(10,12),1.53001 # DEPENDENCYPART_ARC
(10,13),2.95325 # DEPENDENCYPART_ARC
(10,14),1.88567 # DEPENDENCYPART_ARC
(10,15),0.725245 # DEPENDENCYPART_ARC
(10,16),0.0337581 # DEPENDENCYPART_ARC
(10,17),0.61956 # DEPENDENCYPART_ARC
(10,18),-0.45827 # DEPENDENCYPART_ARC
(11,1),-2.23386 # DEPENDENCYPART_ARC
(11,2),-1.53671 # DEPENDENCYPART_ARC
(11,3),-1.65578 # DEPENDENCYPART_ARC
(11,4),-1.90175 # DEPENDENCYPART_ARC
(11,5),-1.74862 # DEPENDENCYPART_ARC
(11,6),-1.37627 # DEPENDENCYPART_ARC
(11,7),-0.740056 # DEPENDENCYPART_ARC
(11,8),-0.307669 # DEPENDENCYPART_ARC
(11,9),-0.212606 # DEPENDENCYPART_ARC
(11,10),0.662659 # DEPENDENCYPART_ARC
(11,12),0.429163 # DEPENDENCYPART_ARC
(11,13),0.573552 # DEPENDENCYPART_ARC
(11,14),0.679907 # DEPENDENCYPART_ARC
(11,15),-0.587043 # DEPENDENCYPART_ARC
(11,16),-0.343103 # DEPENDENCYPART_ARC
(11,17),-0.514527 # DEPENDENCYPART_ARC
(11,18),-0.204437 # DEPENDENCYPART_ARC
(12,1),-1.704 # DEPENDENCYPART_ARC
(12,2),-1.74614 # DEPENDENCYPART_ARC
(12,3),-1.77277 # DEPENDENCYPART_ARC
(12,4),-2.0042 # DEPENDENCYPART_ARC
(12,5),-1.87616 # DEPENDENCYPART_ARC
(12,6),-1.749 # DEPENDENCYPART_ARC
(12,7),-1.11709 # DEPENDENCYPART_ARC
(12,8),-1.13935 # DEPENDENCYPART_ARC
(12,9),-0.805183 # DEPENDENCYPART_ARC
(12,10),-0.0509781 # DEPENDENCYPART_ARC
(12,11),0.263421 # DEPENDENCYPART_ARC
(12,13),0.210339 # DEPENDENCYPART_ARC
(12,14),-0.697498 # DEPENDENCYPART_ARC
(12,15),-0.801952 # DEPENDENCYPART_ARC
(12,16),-2.0039 # DEPENDENCYPART_ARC
(12,17),-1.11813 # DEPENDENCYPART_ARC
(12,18),-1.52905 # DEPENDENCYPART_ARC
(13,1),-1.78064 # DEPENDENCYPART_ARC
(13,2),-1.26003 # DEPENDENCYPART_ARC
(13,3),-0.942914 # DEPENDENCYPART_ARC
(13,4),-1.43586 # DEPENDENCYPART_ARC
(13,5),-1.76312 # DEPENDENCYPART_ARC
(13,6),-2.15704 # DEPENDENCYPART_ARC
(13,7),-0.469397 # DEPENDENCYPART_ARC
(13,8),-0.159674 # DEPENDENCYPART_ARC
(13,9),-0.0879286 # DEPENDENCYPART_ARC
(13,10),0.840281 # DEPENDENCYPART_ARC
(13,11),0.874073 # DEPENDENCYPART_ARC
(13,12),5.56751 # DEPENDENCYPART_ARC
(13,14),-0.149786 # DEPENDENCYPART_ARC
(13,15),-0.564006 # DEPENDENCYPART_ARC
(13,16),-1.37551 # DEPENDENCYPART_ARC
(13,17),-0.591109 # DEPENDENCYPART_ARC
(13,18),-2.07987 # DEPENDENCYPART_ARC
(14,1),-2.42924 # DEPENDENCYPART_ARC
(14,2),-2.68386 # DEPENDENCYPART_ARC
(14,3),-2.59926 # DEPENDENCYPART_ARC
(14,4),-1.94222 # DEPENDENCYPART_ARC
(14,5),-1.9001 # DEPENDENCYPART_ARC
(14,6),-1.3247 # DEPENDENCYPART_ARC
(14,7),-0.368881 # DEPENDENCYPART_ARC
(14,8),-1.90699 # DEPENDENCYPART_ARC
(14,9),-1.75928 # DEPENDENCYPART_ARC
(14,10),-1.1658 # DEPENDENCYPART_ARC
(14,11),-1.10477 # DEPENDENCYPART_ARC
(14,12),-0.68158 # DEPENDENCYPART_ARC
(14,13),-1.03751 # DEPENDENCYPART_ARC
(14,15),-0.145366 # DEPENDENCYPART_ARC
(14,16),-0.825335 # DEPENDENCYPART_ARC
(14,17),-1.14925 # DEPENDENCYPART_ARC
(14,18),-0.967246 # DEPENDENCYPART_ARC
(15,1),-1.53602 # DEPENDENCYPART_ARC
(15,2),-0.577687 # DEPENDENCYPART_ARC
(15,3),-0.838198 # DEPENDENCYPART_ARC
(15,4),-2.13409 # DEPENDENCYPART_ARC
(15,5),-1.39156 # DEPENDENCYPART_ARC
(15,6),-1.64515 # DEPENDENCYPART_ARC
(15,7),-0.668702 # DEPENDENCYPART_ARC
(15,8),-0.553198 # DEPENDENCYPART_ARC
(15,9),-0.454561 # DEPENDENCYPART_ARC
(15,10),-0.308293 # DEPENDENCYPART_ARC
(15,11),0.0776167 # DEPENDENCYPART_ARC
(15,12),0.537474 # DEPENDENCYPART_ARC
(15,13),-0.278085 # DEPENDENCYPART_ARC
(15,14),0.752577 # DEPENDENCYPART_ARC
(15,16),3.58317 # DEPENDENCYPART_ARC
(15,17),1.72486 # DEPENDENCYPART_ARC
(15,18),0.430232 # DEPENDENCYPART_ARC
(16,1),-2.40937 # DEPENDENCYPART_ARC
(16,2),-2.206 # DEPENDENCYPART_ARC
(16,3),-2.02686 # DEPENDENCYPART_ARC
(16,4),-1.74742 # DEPENDENCYPART_ARC
(16,5),-1.73278 # DEPENDENCYPART_ARC
(16,6),-1.47004 # DEPENDENCYPART_ARC
(16,7),-1.24576 # DEPENDENCYPART_ARC
(16,8),-1.30897 # DEPENDENCYPART_ARC
(16,9),-0.802367 # DEPENDENCYPART_ARC
(16,10),-0.164634 # DEPENDENCYPART_ARC
(16,11),-0.170302 # DEPENDENCYPART_ARC
(16,12),1.06687 # DEPENDENCYPART_ARC
(16,13),0.266717 # DEPENDENCYPART_ARC
(16,14),0.643255 # DEPENDENCYPART_ARC
(16,15),2.26497 # DEPENDENCYPART_ARC
(16,17),4.6526 # DEPENDENCYPART_ARC
(16,18),0.291007 # DEPENDENCYPART_ARC
(17,1),-3.54821 # DEPENDENCYPART_ARC
(17,2),-2.56913 # DEPENDENCYPART_ARC
(17,3),-2.68897 # DEPENDENCYPART_ARC
(17,4),-2.84656 # DEPENDENCYPART_ARC
(17,5),-2.77228 # DEPENDENCYPART_ARC
(17,6),-2.70955 # DEPENDENCYPART_ARC
(17,7),-1.6695 # DEPENDENCYPART_ARC
(17,8),-1.77627 # DEPENDENCYPART_ARC
(17,9),-1.74456 # DEPENDENCYPART_ARC
(17,10),-1.82392 # DEPENDENCYPART_ARC
(17,11),-1.22505 # DEPENDENCYPART_ARC
(17,12),-0.0701106 # DEPENDENCYPART_ARC
(17,13),-1.17525 # DEPENDENCYPART_ARC
(17,14),-0.266688 # DEPENDENCYPART_ARC
(17,15),0.0779086 # DEPENDENCYPART_ARC
(17,16),0.584597 # DEPENDENCYPART_ARC
(17,18),-0.709423 # DEPENDENCYPART_ARC
(18,1),-2.81602 # DEPENDENCYPART_ARC
(18,2),-1.92673 # DEPENDENCYPART_ARC
(18,3),-1.8886 # DEPENDENCYPART_ARC
(18,4),-2.18798 # DEPENDENCYPART_ARC
(18,5),-2.19634 # DEPENDENCYPART_ARC
(18,6),-2.14258 # DEPENDENCYPART_ARC
(18,7),-0.915024 # DEPENDENCYPART_ARC
(18,8),-1.72079 # DEPENDENCYPART_ARC
(18,9),-0.988611 # DEPENDENCYPART_ARC
(18,10),-1.72402 # DEPENDENCYPART_ARC
(18,11),-1.62405 # DEPENDENCYPART_ARC
(18,12),-0.771932 # DEPENDENCYPART_ARC
(18,13),-1.78468 # DEPENDENCYPART_ARC
(18,14),-0.421164 # DEPENDENCYPART_ARC
(18,15),-0.836086 # DEPENDENCYPART_ARC
(18,16),-1.16621 # DEPENDENCYPART_ARC
(18,17),-0.894332 # DEPENDENCYPART_ARC
