# _root_ The average discount rate was 7.42 % on new six-month bills , the lowest since the average of 7.35 % at the auction on July 31 , 1989 .
#goldHeads=4,4,4,5,0,7,5,7,11,11,8,7,14,7,14,17,15,17,20,18,20,23,21,23,24,25,25,25,5,
#predictedHeads=4,4,4,5,0,7,5,5,11,11,8,11,14,11,14,17,15,17,20,18,17,23,21,23,24,25,25,25,5,
(2,22),-3.22208 # DEPENDENCYPART_ARC
(2,23),-2.64987 # DEPENDENCYPART_ARC
(2,24),-4.14941 # DEPENDENCYPART_ARC
(2,25),-3.51848 # DEPENDENCYPART_ARC
(2,26),-5.14938 # DEPENDENCYPART_ARC
(2,27),-3.6724 # DEPENDENCYPART_ARC
(2,28),-5.72576 # DEPENDENCYPART_ARC
(2,29),-0.156281 # DEPENDENCYPART_ARC
(3,1),2.72252 # DEPENDENCYPART_ARC
(3,2),2.55616 # DEPENDENCYPART_ARC
(3,4),1.46119 # DEPENDENCYPART_ARC
(3,5),0.531465 # DEPENDENCYPART_ARC
(3,6),-0.28958 # DEPENDENCYPART_ARC
(3,7),-1.07082 # DEPENDENCYPART_ARC
(3,8),-0.531198 # DEPENDENCYPART_ARC
(3,9),-0.795698 # DEPENDENCYPART_ARC
(3,10),-0.862419 # DEPENDENCYPART_ARC
(3,11),-0.78275 # DEPENDENCYPART_ARC
(3,12),-0.884038 # DEPENDENCYPART_ARC
(3,13),-1.32355 # DEPENDENCYPART_ARC
(3,14),-1.28869 # DEPENDENCYPART_ARC
(3,15),-2.23105 # DEPENDENCYPART_ARC
(3,16),-1.72334 # DEPENDENCYPART_ARC
(3,17),-2.28471 # DEPENDENCYPART_ARC
(3,18),-4.53641 # DEPENDENCYPART_ARC
(3,19),-2.50517 # DEPENDENCYPART_ARC
(3,20),-3.68979 # DEPENDENCYPART_ARC
(3,21),-2.27532 # DEPENDENCYPART_ARC
(3,22),-2.09649 # DEPENDENCYPART_ARC
(3,23),-2.77811 # DEPENDENCYPART_ARC
(3,24),-3.56106 # DEPENDENCYPART_ARC
(3,25),-3.1818 # DEPENDENCYPART_ARC
(3,26),-3.27208 # DEPENDENCYPART_ARC
(3,27),-2.13414 # DEPENDENCYPART_ARC
(3,28),-3.77773 # DEPENDENCYPART_ARC
(3,29),-0.516235 # DEPENDENCYPART_ARC
(4,1),4.70368 # DEPENDENCYPART_ARC
(4,2),4.51692 # DEPENDENCYPART_ARC
(4,3),4.16825 # DEPENDENCYPART_ARC
(4,5),0.825706 # DEPENDENCYPART_ARC
(4,6),0.444138 # DEPENDENCYPART_ARC
(4,7),0.105462 # DEPENDENCYPART_ARC
(4,8),0.688325 # DEPENDENCYPART_ARC
(4,9),-0.320224 # DEPENDENCYPART_ARC
(4,10),-0.585146 # DEPENDENCYPART_ARC
(4,11),-0.479854 # DEPENDENCYPART_ARC
(4,12),0.0285686 # DEPENDENCYPART_ARC
(4,13),-1.22288 # DEPENDENCYPART_ARC
(4,14),-0.54853 # DEPENDENCYPART_ARC
(4,15),-1.29627 # DEPENDENCYPART_ARC
(4,16),-1.74556 # DEPENDENCYPART_ARC
(4,17),-1.59362 # DEPENDENCYPART_ARC
(4,18),-3.28137 # DEPENDENCYPART_ARC
(4,19),-2.20223 # DEPENDENCYPART_ARC
(4,20),-2.10648 # DEPENDENCYPART_ARC
(4,21),-0.398844 # DEPENDENCYPART_ARC
(4,22),-2.08081 # DEPENDENCYPART_ARC
(4,23),-2.12467 # DEPENDENCYPART_ARC
(4,24),-1.21277 # DEPENDENCYPART_ARC
(4,25),-3.02539 # DEPENDENCYPART_ARC
(4,26),-3.17883 # DEPENDENCYPART_ARC
(4,27),-2.28378 # DEPENDENCYPART_ARC
(4,28),-3.63896 # DEPENDENCYPART_ARC
(4,29),0.525146 # DEPENDENCYPART_ARC
(5,1),0.0502326 # DEPENDENCYPART_ARC
(5,2),0.793301 # DEPENDENCYPART_ARC
(5,3),1.67644 # DEPENDENCYPART_ARC
(5,4),2.82203 # DEPENDENCYPART_ARC
(5,6),1.58554 # DEPENDENCYPART_ARC
(5,7),2.18078 # DEPENDENCYPART_ARC
(5,8),2.59127 # DEPENDENCYPART_ARC
(5,9),0.95485 # DEPENDENCYPART_ARC
(5,10),0.368041 # DEPENDENCYPART_ARC
(5,11),0.841544 # DEPENDENCYPART_ARC
(5,12),1.90868 # DEPENDENCYPART_ARC
(5,13),-1.05501 # DEPENDENCYPART_ARC
(5,14),0.300448 # DEPENDENCYPART_ARC
(5,15),0.674989 # DEPENDENCYPART_ARC
(5,16),-1.51965 # DEPENDENCYPART_ARC
(5,17),-0.960086 # DEPENDENCYPART_ARC
(5,18),-0.943503 # DEPENDENCYPART_ARC
(5,19),-0.847328 # DEPENDENCYPART_ARC
(5,20),-2.28978 # DEPENDENCYPART_ARC
(5,21),0.645139 # DEPENDENCYPART_ARC
(5,22),-1.9938 # DEPENDENCYPART_ARC
(5,23),-2.90373 # DEPENDENCYPART_ARC
(5,24),-0.868579 # DEPENDENCYPART_ARC
(5,25),-3.07804 # DEPENDENCYPART_ARC
(5,26),-0.731625 # DEPENDENCYPART_ARC
(5,27),0.745771 # DEPENDENCYPART_ARC
(5,28),-1.1227 # DEPENDENCYPART_ARC
(5,29),5.11665 # DEPENDENCYPART_ARC
(6,1),-0.0581353 # DEPENDENCYPART_ARC
(6,2),-0.502559 # DEPENDENCYPART_ARC
(6,3),-1.0661 # DEPENDENCYPART_ARC
(6,4),-0.705566 # DEPENDENCYPART_ARC
(6,5),0.0422719 # DEPENDENCYPART_ARC
(6,7),1.00545 # DEPENDENCYPART_ARC
(6,8),-0.161574 # DEPENDENCYPART_ARC
(6,9),-0.358934 # DEPENDENCYPART_ARC
(6,10),-0.541169 # DEPENDENCYPART_ARC
(6,11),-0.691403 # DEPENDENCYPART_ARC
(6,12),-0.228066 # DEPENDENCYPART_ARC
(6,13),-1.18344 # DEPENDENCYPART_ARC
(6,14),-1.47978 # DEPENDENCYPART_ARC
(6,15),-0.783965 # DEPENDENCYPART_ARC
(6,16),-1.5812 # DEPENDENCYPART_ARC
(6,17),-1.15356 # DEPENDENCYPART_ARC
(6,18),-2.19088 # DEPENDENCYPART_ARC
(6,19),-1.87741 # DEPENDENCYPART_ARC
(6,20),-1.74622 # DEPENDENCYPART_ARC
(6,21),-2.52216 # DEPENDENCYPART_ARC
(6,22),-2.38069 # DEPENDENCYPART_ARC
(6,23),-1.95428 # DEPENDENCYPART_ARC
(6,24),-2.42532 # DEPENDENCYPART_ARC
(6,25),-1.99222 # DEPENDENCYPART_ARC
(6,26),-2.44172 # DEPENDENCYPART_ARC
(6,27),-1.7526 # DEPENDENCYPART_ARC
(6,28),-2.84975 # DEPENDENCYPART_ARC
(6,29),-1.28261 # DEPENDENCYPART_ARC
(7,1),1.36962 # DEPENDENCYPART_ARC
(7,2),1.28776 # DEPENDENCYPART_ARC
(7,3),0.617087 # DEPENDENCYPART_ARC
(7,4),-0.951997 # DEPENDENCYPART_ARC
(7,5),0.305672 # DEPENDENCYPART_ARC
(7,6),4.46743 # DEPENDENCYPART_ARC
(7,8),1.58981 # DEPENDENCYPART_ARC
(7,9),0.279153 # DEPENDENCYPART_ARC
(7,10),-0.0530154 # DEPENDENCYPART_ARC
(7,11),0.536876 # DEPENDENCYPART_ARC
(7,12),1.23297 # DEPENDENCYPART_ARC
(7,13),-0.735087 # DEPENDENCYPART_ARC
(7,14),-0.52486 # DEPENDENCYPART_ARC
(7,15),-0.943502 # DEPENDENCYPART_ARC
(7,16),-1.06896 # DEPENDENCYPART_ARC
(7,17),-0.28379 # DEPENDENCYPART_ARC
(7,18),-2.74616 # DEPENDENCYPART_ARC
(7,19),-1.32853 # DEPENDENCYPART_ARC
(7,20),-0.51716 # DEPENDENCYPART_ARC
(7,21),-0.516192 # DEPENDENCYPART_ARC
(7,22),-1.55999 # DEPENDENCYPART_ARC
(7,23),-0.7556 # DEPENDENCYPART_ARC
(7,24),-2.48196 # DEPENDENCYPART_ARC
(7,25),-2.47654 # DEPENDENCYPART_ARC
(7,26),-2.44645 # DEPENDENCYPART_ARC
(7,27),0.638461 # DEPENDENCYPART_ARC
(7,28),-3.11501 # DEPENDENCYPART_ARC
(7,29),-0.238111 # DEPENDENCYPART_ARC
(8,1),-0.851064 # DEPENDENCYPART_ARC
(8,2),-0.839411 # DEPENDENCYPART_ARC
(8,3),-1.20622 # DEPENDENCYPART_ARC
(8,4),-1.10888 # DEPENDENCYPART_ARC
(8,5),-0.588632 # DEPENDENCYPART_ARC
(8,6),-0.380348 # DEPENDENCYPART_ARC
(8,7),0.486712 # DEPENDENCYPART_ARC
(8,9),1.59939 # DEPENDENCYPART_ARC
(8,10),1.75162 # DEPENDENCYPART_ARC
(8,11),4.23651 # DEPENDENCYPART_ARC
(8,12),0.853065 # DEPENDENCYPART_ARC
(8,13),-1.70303 # DEPENDENCYPART_ARC
(8,14),0.0694226 # DEPENDENCYPART_ARC
(8,15),-0.133684 # DEPENDENCYPART_ARC
(8,16),-2.09834 # DEPENDENCYPART_ARC
(8,17),-2.01011 # DEPENDENCYPART_ARC
(8,18),-0.347751 # DEPENDENCYPART_ARC
(8,19),-1.38901 # DEPENDENCYPART_ARC
(8,20),-4.32553 # DEPENDENCYPART_ARC
(8,21),-0.545708 # DEPENDENCYPART_ARC
(8,22),-3.18497 # DEPENDENCYPART_ARC
(8,23),-4.80694 # DEPENDENCYPART_ARC
(8,24),0.413623 # DEPENDENCYPART_ARC
(8,25),-6.10917 # DEPENDENCYPART_ARC
(8,26),-2.45469 # DEPENDENCYPART_ARC
(8,27),0.400361 # DEPENDENCYPART_ARC
(8,28),-2.67807 # DEPENDENCYPART_ARC
(8,29),-0.570845 # DEPENDENCYPART_ARC
(9,1),-1.71376 # DEPENDENCYPART_ARC
(9,2),-1.70481 # DEPENDENCYPART_ARC
(9,3),-2.01502 # DEPENDENCYPART_ARC
(9,4),-1.66261 # DEPENDENCYPART_ARC
(9,5),-2.4469 # DEPENDENCYPART_ARC
(9,6),-0.825162 # DEPENDENCYPART_ARC
(9,7),-0.547296 # DEPENDENCYPART_ARC
(9,8),-0.270505 # DEPENDENCYPART_ARC
(9,10),1.07804 # DEPENDENCYPART_ARC
(9,11),1.12541 # DEPENDENCYPART_ARC
(9,12),0.117903 # DEPENDENCYPART_ARC
(9,13),-1.03048 # DEPENDENCYPART_ARC
(9,14),-0.499957 # DEPENDENCYPART_ARC
(9,15),-0.21909 # DEPENDENCYPART_ARC
(9,16),-1.41565 # DEPENDENCYPART_ARC
(9,17),-0.831258 # DEPENDENCYPART_ARC
(9,18),-0.882548 # DEPENDENCYPART_ARC
(9,19),-1.56454 # DEPENDENCYPART_ARC
(9,20),-1.3137 # DEPENDENCYPART_ARC
(9,21),-0.806545 # DEPENDENCYPART_ARC
(9,22),-2.28298 # DEPENDENCYPART_ARC
(9,23),-1.84177 # DEPENDENCYPART_ARC
(9,24),-1.82675 # DEPENDENCYPART_ARC
(9,25),-2.0836 # DEPENDENCYPART_ARC
(9,26),-3.42208 # DEPENDENCYPART_ARC
(9,27),-1.20071 # DEPENDENCYPART_ARC
(9,28),-3.86561 # DEPENDENCYPART_ARC
(9,29),-0.975979 # DEPENDENCYPART_ARC
(10,1),-0.476779 # DEPENDENCYPART_ARC
(10,2),-0.884063 # DEPENDENCYPART_ARC
(10,3),-1.15516 # DEPENDENCYPART_ARC
(10,4),-1.12752 # DEPENDENCYPART_ARC
(10,5),-1.75809 # DEPENDENCYPART_ARC
(10,6),-0.156136 # DEPENDENCYPART_ARC
(10,7),0.293178 # DEPENDENCYPART_ARC
(10,8),0.0616538 # DEPENDENCYPART_ARC
(10,9),2.38101 # DEPENDENCYPART_ARC
(10,11),0.754173 # DEPENDENCYPART_ARC
(10,12),-0.285386 # DEPENDENCYPART_ARC
(10,13),-1.36456 # DEPENDENCYPART_ARC
(10,14),-0.977782 # DEPENDENCYPART_ARC
(10,15),-1.11925 # DEPENDENCYPART_ARC
(10,16),-1.89943 # DEPENDENCYPART_ARC
(10,17),-1.40398 # DEPENDENCYPART_ARC
(10,18),-1.69559 # DEPENDENCYPART_ARC
(10,19),-2.29434 # DEPENDENCYPART_ARC
(10,20),-1.96969 # DEPENDENCYPART_ARC
(10,21),-1.711 # DEPENDENCYPART_ARC
(10,22),-2.80985 # DEPENDENCYPART_ARC
(10,23),-2.41018 # DEPENDENCYPART_ARC
(10,24),-2.65362 # DEPENDENCYPART_ARC
(10,25),-2.63616 # DEPENDENCYPART_ARC
(10,26),-3.99056 # DEPENDENCYPART_ARC
(10,27),-1.19973 # DEPENDENCYPART_ARC
(10,28),-4.43803 # DEPENDENCYPART_ARC
(10,29),-0.633226 # DEPENDENCYPART_ARC
(11,1),-0.32788 # DEPENDENCYPART_ARC
(11,2),1.02836 # DEPENDENCYPART_ARC
(11,3),1.041 # DEPENDENCYPART_ARC
(11,4),-0.127225 # DEPENDENCYPART_ARC
(11,5),-0.227898 # DEPENDENCYPART_ARC
(11,6),2.08026 # DEPENDENCYPART_ARC
(11,7),0.603108 # DEPENDENCYPART_ARC
(11,8),0.545355 # DEPENDENCYPART_ARC
(11,9),4.61143 # DEPENDENCYPART_ARC
(11,10),4.33154 # DEPENDENCYPART_ARC
(11,12),1.9087 # DEPENDENCYPART_ARC
(11,13),0.786533 # DEPENDENCYPART_ARC
(11,14),0.584375 # DEPENDENCYPART_ARC
(11,15),-0.00810844 # DEPENDENCYPART_ARC
(11,16),-0.0284493 # DEPENDENCYPART_ARC
(11,17),0.0919137 # DEPENDENCYPART_ARC
(11,18),-1.40914 # DEPENDENCYPART_ARC
(11,19),-0.403366 # DEPENDENCYPART_ARC
(11,20),0.298227 # DEPENDENCYPART_ARC
(11,21),-0.999315 # DEPENDENCYPART_ARC
(11,22),-0.622992 # DEPENDENCYPART_ARC
(11,23),-0.970403 # DEPENDENCYPART_ARC
(11,24),-1.11098 # DEPENDENCYPART_ARC
(11,25),-0.668741 # DEPENDENCYPART_ARC
(11,26),-0.425945 # DEPENDENCYPART_ARC
(11,27),-0.0277785 # DEPENDENCYPART_ARC
(11,28),-0.431805 # DEPENDENCYPART_ARC
(11,29),1.80552 # DEPENDENCYPART_ARC
(12,1),-2.32745 # DEPENDENCYPART_ARC
(12,2),-2.46769 # DEPENDENCYPART_ARC
(12,3),-1.97517 # DEPENDENCYPART_ARC
(12,4),-1.94761 # DEPENDENCYPART_ARC
(12,5),-1.8643 # DEPENDENCYPART_ARC
(12,6),-2.02894 # DEPENDENCYPART_ARC
(12,7),-1.60343 # DEPENDENCYPART_ARC
(12,8),-1.7893 # DEPENDENCYPART_ARC
(12,9),-1.43955 # DEPENDENCYPART_ARC
(12,10),-1.59149 # DEPENDENCYPART_ARC
(12,11),-1.54547 # DEPENDENCYPART_ARC
(12,13),-0.187699 # DEPENDENCYPART_ARC
(12,14),-0.749116 # DEPENDENCYPART_ARC
(12,15),-0.739185 # DEPENDENCYPART_ARC
(12,16),-1.43156 # DEPENDENCYPART_ARC
(12,17),-1.85149 # DEPENDENCYPART_ARC
(12,18),-1.08938 # DEPENDENCYPART_ARC
(12,19),-2.05769 # DEPENDENCYPART_ARC
(12,20),-2.34671 # DEPENDENCYPART_ARC
(12,21),-1.3326 # DEPENDENCYPART_ARC
(12,22),-2.01954 # DEPENDENCYPART_ARC
(12,23),-2.67742 # DEPENDENCYPART_ARC
(12,24),-1.60522 # DEPENDENCYPART_ARC
(12,25),-2.35203 # DEPENDENCYPART_ARC
(12,26),-2.78678 # DEPENDENCYPART_ARC
(12,27),-1.61139 # DEPENDENCYPART_ARC
(12,28),-3.00524 # DEPENDENCYPART_ARC
(12,29),-2.0609 # DEPENDENCYPART_ARC
(13,1),-2.52878 # DEPENDENCYPART_ARC
(13,2),-2.85122 # DEPENDENCYPART_ARC
(13,3),-3.00445 # DEPENDENCYPART_ARC
(13,4),-2.92656 # DEPENDENCYPART_ARC
(13,5),-2.46825 # DEPENDENCYPART_ARC
(13,6),-2.11149 # DEPENDENCYPART_ARC
(13,7),-2.54414 # DEPENDENCYPART_ARC
(13,8),-1.88793 # DEPENDENCYPART_ARC
(13,9),-1.68674 # DEPENDENCYPART_ARC
(13,10),-1.33636 # DEPENDENCYPART_ARC
(13,11),-1.50828 # DEPENDENCYPART_ARC
(13,12),-0.497958 # DEPENDENCYPART_ARC
(13,14),-0.507748 # DEPENDENCYPART_ARC
(13,15),-0.643093 # DEPENDENCYPART_ARC
(13,16),-1.56141 # DEPENDENCYPART_ARC
(13,17),-1.03764 # DEPENDENCYPART_ARC
(13,18),-0.738387 # DEPENDENCYPART_ARC
(13,19),-1.19283 # DEPENDENCYPART_ARC
(13,20),-1.67429 # DEPENDENCYPART_ARC
(13,21),-2.00534 # DEPENDENCYPART_ARC
(13,22),-2.29871 # DEPENDENCYPART_ARC
(13,23),-1.8984 # DEPENDENCYPART_ARC
(13,24),-2.60406 # DEPENDENCYPART_ARC
(13,25),-2.72454 # DEPENDENCYPART_ARC
(13,26),-2.43979 # DEPENDENCYPART_ARC
(13,27),-1.56092 # DEPENDENCYPART_ARC
(13,28),-2.67237 # DEPENDENCYPART_ARC
(13,29),-1.72822 # DEPENDENCYPART_ARC
(14,1),-0.660321 # DEPENDENCYPART_ARC
(14,2),-1.58233 # DEPENDENCYPART_ARC
(14,3),-1.87007 # DEPENDENCYPART_ARC
(14,4),-1.54917 # DEPENDENCYPART_ARC
(14,5),-1.14616 # DEPENDENCYPART_ARC
(14,6),-1.20677 # DEPENDENCYPART_ARC
(14,7),-1.23479 # DEPENDENCYPART_ARC
(14,8),-0.627587 # DEPENDENCYPART_ARC
(14,9),-0.540269 # DEPENDENCYPART_ARC
(14,10),-0.308756 # DEPENDENCYPART_ARC
(14,11),-0.214728 # DEPENDENCYPART_ARC
(14,12),0.223915 # DEPENDENCYPART_ARC
(14,13),3.10254 # DEPENDENCYPART_ARC
(14,15),2.89499 # DEPENDENCYPART_ARC
(14,16),0.546778 # DEPENDENCYPART_ARC
(14,17),1.02023 # DEPENDENCYPART_ARC
(14,18),1.27029 # DEPENDENCYPART_ARC
(14,19),-0.116023 # DEPENDENCYPART_ARC
(14,20),0.70096 # DEPENDENCYPART_ARC
(14,21),0.535818 # DEPENDENCYPART_ARC
(14,22),-0.545106 # DEPENDENCYPART_ARC
(14,23),0.254343 # DEPENDENCYPART_ARC
(14,24),0.549184 # DEPENDENCYPART_ARC
(14,25),-0.697893 # DEPENDENCYPART_ARC
(14,26),-1.159 # DEPENDENCYPART_ARC
(14,27),0.324168 # DEPENDENCYPART_ARC
(14,28),-1.34947 # DEPENDENCYPART_ARC
(14,29),-0.231617 # DEPENDENCYPART_ARC
(15,1),-2.00759 # DEPENDENCYPART_ARC
(15,2),-1.73686 # DEPENDENCYPART_ARC
(15,3),-2.45008 # DEPENDENCYPART_ARC
(15,4),-2.39133 # DEPENDENCYPART_ARC
(15,5),-1.44361 # DEPENDENCYPART_ARC
(15,6),-1.12694 # DEPENDENCYPART_ARC
(15,7),-1.57141 # DEPENDENCYPART_ARC
(15,8),-0.381019 # DEPENDENCYPART_ARC
(15,9),-0.655583 # DEPENDENCYPART_ARC
(15,10),-0.487927 # DEPENDENCYPART_ARC
(15,11),-0.87095 # DEPENDENCYPART_ARC
(15,12),-0.302262 # DEPENDENCYPART_ARC
(15,13),0.320051 # DEPENDENCYPART_ARC
(15,14),0.0633886 # DEPENDENCYPART_ARC
(15,16),0.639073 # DEPENDENCYPART_ARC
(15,17),2.74077 # DEPENDENCYPART_ARC
(15,18),0.772187 # DEPENDENCYPART_ARC
(15,19),0.113627 # DEPENDENCYPART_ARC
(15,20),0.351642 # DEPENDENCYPART_ARC
(15,21),0.131436 # DEPENDENCYPART_ARC
(15,22),-1.72147 # DEPENDENCYPART_ARC
(15,23),-1.17167 # DEPENDENCYPART_ARC
(15,24),-0.23967 # DEPENDENCYPART_ARC
(15,25),-3.36303 # DEPENDENCYPART_ARC
(15,26),-1.43895 # DEPENDENCYPART_ARC
(15,27),0.676001 # DEPENDENCYPART_ARC
(15,28),-1.62471 # DEPENDENCYPART_ARC
(15,29),0.00667757 # DEPENDENCYPART_ARC
(16,1),-3.31887 # DEPENDENCYPART_ARC
(16,2),-3.5178 # DEPENDENCYPART_ARC
(16,3),-3.84041 # DEPENDENCYPART_ARC
(16,4),-3.78711 # DEPENDENCYPART_ARC
(16,5),-3.11644 # DEPENDENCYPART_ARC
(16,6),-2.70988 # DEPENDENCYPART_ARC
(16,7),-3.30483 # DEPENDENCYPART_ARC
(16,8),-2.4538 # DEPENDENCYPART_ARC
(16,9),-2.63165 # DEPENDENCYPART_ARC
(16,10),-2.4839 # DEPENDENCYPART_ARC
(16,11),-2.53639 # DEPENDENCYPART_ARC
(16,12),-1.99969 # DEPENDENCYPART_ARC
(16,13),-1.08069 # DEPENDENCYPART_ARC
(16,14),-1.02507 # DEPENDENCYPART_ARC
(16,15),-0.465428 # DEPENDENCYPART_ARC
(16,17),-0.0992402 # DEPENDENCYPART_ARC
(16,18),-0.713453 # DEPENDENCYPART_ARC
(16,19),-0.991185 # DEPENDENCYPART_ARC
(16,20),-1.78823 # DEPENDENCYPART_ARC
(16,21),-2.38467 # DEPENDENCYPART_ARC
(16,22),-2.77173 # DEPENDENCYPART_ARC
(16,23),-2.05131 # DEPENDENCYPART_ARC
(16,24),-2.59892 # DEPENDENCYPART_ARC
(16,25),-3.03203 # DEPENDENCYPART_ARC
(16,26),-2.69473 # DEPENDENCYPART_ARC
(16,27),-2.11287 # DEPENDENCYPART_ARC
(16,28),-3.20575 # DEPENDENCYPART_ARC
(16,29),-2.40033 # DEPENDENCYPART_ARC
(17,1),-4.62506 # DEPENDENCYPART_ARC
(17,2),-3.33589 # DEPENDENCYPART_ARC
(17,3),-4.02923 # DEPENDENCYPART_ARC
(17,4),-5.60023 # DEPENDENCYPART_ARC
(17,5),-1.70732 # DEPENDENCYPART_ARC
(17,6),-3.01602 # DEPENDENCYPART_ARC
(17,7),-3.79899 # DEPENDENCYPART_ARC
(17,8),-1.02599 # DEPENDENCYPART_ARC
(17,9),-1.44849 # DEPENDENCYPART_ARC
(17,10),-2.00454 # DEPENDENCYPART_ARC
(17,11),-1.73319 # DEPENDENCYPART_ARC
(17,12),-0.877031 # DEPENDENCYPART_ARC
(17,13),-0.296783 # DEPENDENCYPART_ARC
(17,14),0.289422 # DEPENDENCYPART_ARC
(17,15),0.814396 # DEPENDENCYPART_ARC
(17,16),4.43453 # DEPENDENCYPART_ARC
(17,18),3.00741 # DEPENDENCYPART_ARC
(17,19),1.27448 # DEPENDENCYPART_ARC
(17,20),0.636839 # DEPENDENCYPART_ARC
(17,21),1.70554 # DEPENDENCYPART_ARC
(17,22),0.047645 # DEPENDENCYPART_ARC
(17,23),0.545741 # DEPENDENCYPART_ARC
(17,24),1.0752 # DEPENDENCYPART_ARC
(17,25),-0.309689 # DEPENDENCYPART_ARC
(17,26),-0.600999 # DEPENDENCYPART_ARC
(17,27),0.765925 # DEPENDENCYPART_ARC
(17,28),-1.13701 # DEPENDENCYPART_ARC
(17,29),1.02498 # DEPENDENCYPART_ARC
(18,1),-3.27246 # DEPENDENCYPART_ARC
(18,2),-2.83816 # DEPENDENCYPART_ARC
