# _root_ It also recommends better retirement and day-care benefits , and basing pay on education , experience and nurses ' demanding work schedules .
#goldHeads=3,3,0,5,3,5,8,6,8,8,10,11,11,13,14,14,16,22,18,22,22,17,3,
#predictedHeads=3,3,0,5,3,5,8,6,3,3,10,11,11,13,14,14,16,22,18,22,22,17,3,
(3,11),1.34712 # DEPENDENCYPART_ARC
(3,12),0.689835 # DEPENDENCYPART_ARC
(3,13),1.40009 # DEPENDENCYPART_ARC
(3,14),-0.291037 # DEPENDENCYPART_ARC
(3,15),1.3104 # DEPENDENCYPART_ARC
(3,16),-1.09074 # DEPENDENCYPART_ARC
(3,17),1.173 # DEPENDENCYPART_ARC
(3,18),-0.489736 # DEPENDENCYPART_ARC
(3,19),-0.123207 # DEPENDENCYPART_ARC
(3,20),-0.349099 # DEPENDENCYPART_ARC
(3,21),-1.32087 # DEPENDENCYPART_ARC
(3,22),-0.664307 # DEPENDENCYPART_ARC
(3,23),5.7793 # DEPENDENCYPART_ARC
(4,1),-0.589045 # DEPENDENCYPART_ARC
(4,2),0.916747 # DEPENDENCYPART_ARC
(4,3),0.22598 # DEPENDENCYPART_ARC
(4,5),1.00407 # DEPENDENCYPART_ARC
(4,6),0.884002 # DEPENDENCYPART_ARC
(4,7),0.0932022 # DEPENDENCYPART_ARC
(4,8),-0.629582 # DEPENDENCYPART_ARC
(4,9),0.353038 # DEPENDENCYPART_ARC
(4,10),0.167943 # DEPENDENCYPART_ARC
(4,11),-0.348306 # DEPENDENCYPART_ARC
(4,12),-0.86306 # DEPENDENCYPART_ARC
(4,13),-1.10471 # DEPENDENCYPART_ARC
(4,14),-0.934333 # DEPENDENCYPART_ARC
(4,15),-0.10653 # DEPENDENCYPART_ARC
(4,16),-1.02366 # DEPENDENCYPART_ARC
(4,17),-0.679914 # DEPENDENCYPART_ARC
(4,18),-2.08527 # DEPENDENCYPART_ARC
(4,19),-1.45753 # DEPENDENCYPART_ARC
(4,20),-1.42544 # DEPENDENCYPART_ARC
(4,21),-1.41418 # DEPENDENCYPART_ARC
(4,22),-2.61011 # DEPENDENCYPART_ARC
(4,23),0.799551 # DEPENDENCYPART_ARC
(5,1),0.586666 # DEPENDENCYPART_ARC
(5,2),0.462943 # DEPENDENCYPART_ARC
(5,3),0.618556 # DEPENDENCYPART_ARC
(5,4),3.20448 # DEPENDENCYPART_ARC
(5,6),4.11775 # DEPENDENCYPART_ARC
(5,7),1.37007 # DEPENDENCYPART_ARC
(5,8),1.61166 # DEPENDENCYPART_ARC
(5,9),1.06364 # DEPENDENCYPART_ARC
(5,10),0.677616 # DEPENDENCYPART_ARC
(5,11),0.868424 # DEPENDENCYPART_ARC
(5,12),-0.031753 # DEPENDENCYPART_ARC
(5,13),1.58302 # DEPENDENCYPART_ARC
(5,14),-0.444963 # DEPENDENCYPART_ARC
(5,15),0.998642 # DEPENDENCYPART_ARC
(5,16),-0.195888 # DEPENDENCYPART_ARC
(5,17),0.980483 # DEPENDENCYPART_ARC
(5,18),-0.742963 # DEPENDENCYPART_ARC
(5,19),-0.594022 # DEPENDENCYPART_ARC
(5,20),-0.0787014 # DEPENDENCYPART_ARC
(5,21),-1.61375 # DEPENDENCYPART_ARC
(5,22),-1.03152 # DEPENDENCYPART_ARC
(5,23),0.638108 # DEPENDENCYPART_ARC
(6,1),-1.26106 # DEPENDENCYPART_ARC
(6,2),-1.18976 # DEPENDENCYPART_ARC
(6,3),-0.40394 # DEPENDENCYPART_ARC
(6,4),-0.317301 # DEPENDENCYPART_ARC
(6,5),0.342998 # DEPENDENCYPART_ARC
(6,7),2.9043 # DEPENDENCYPART_ARC
(6,8),3.66989 # DEPENDENCYPART_ARC
(6,9),1.51676 # DEPENDENCYPART_ARC
(6,10),1.3322 # DEPENDENCYPART_ARC
(6,11),0.108442 # DEPENDENCYPART_ARC
(6,12),0.678256 # DEPENDENCYPART_ARC
(6,13),-0.732099 # DEPENDENCYPART_ARC
(6,14),-0.536301 # DEPENDENCYPART_ARC
(6,15),0.617074 # DEPENDENCYPART_ARC
(6,16),-1.401 # DEPENDENCYPART_ARC
(6,17),0.721435 # DEPENDENCYPART_ARC
(6,18),-3.13897 # DEPENDENCYPART_ARC
(6,19),-1.33199 # DEPENDENCYPART_ARC
(6,20),-0.690332 # DEPENDENCYPART_ARC
(6,21),-2.28369 # DEPENDENCYPART_ARC
(6,22),-3.08366 # DEPENDENCYPART_ARC
(6,23),-0.64527 # DEPENDENCYPART_ARC
(7,1),-3.07201 # DEPENDENCYPART_ARC
(7,2),-3.09611 # DEPENDENCYPART_ARC
(7,3),-3.08954 # DEPENDENCYPART_ARC
(7,4),-1.26779 # DEPENDENCYPART_ARC
(7,5),-1.43052 # DEPENDENCYPART_ARC
(7,6),-1.22615 # DEPENDENCYPART_ARC
(7,8),1.24352 # DEPENDENCYPART_ARC
(7,9),-0.607657 # DEPENDENCYPART_ARC
(7,10),-0.706959 # DEPENDENCYPART_ARC
(7,11),-0.75456 # DEPENDENCYPART_ARC
(7,12),-1.47609 # DEPENDENCYPART_ARC
(7,13),-1.07923 # DEPENDENCYPART_ARC
(7,14),-1.76072 # DEPENDENCYPART_ARC
(7,15),-0.916336 # DEPENDENCYPART_ARC
(7,16),-1.8234 # DEPENDENCYPART_ARC
(7,17),-1.72582 # DEPENDENCYPART_ARC
(7,18),-2.15194 # DEPENDENCYPART_ARC
(7,19),-2.1067 # DEPENDENCYPART_ARC
(7,20),-1.74693 # DEPENDENCYPART_ARC
(7,21),-3.0095 # DEPENDENCYPART_ARC
(7,22),-2.12771 # DEPENDENCYPART_ARC
(7,23),-1.28927 # DEPENDENCYPART_ARC
(8,1),-0.951334 # DEPENDENCYPART_ARC
(8,2),-0.680445 # DEPENDENCYPART_ARC
(8,3),-0.380001 # DEPENDENCYPART_ARC
(8,4),1.86136 # DEPENDENCYPART_ARC
(8,5),1.67219 # DEPENDENCYPART_ARC
(8,6),0.466965 # DEPENDENCYPART_ARC
(8,7),4.12639 # DEPENDENCYPART_ARC
(8,9),1.03131 # DEPENDENCYPART_ARC
(8,10),0.367227 # DEPENDENCYPART_ARC
(8,11),-0.271856 # DEPENDENCYPART_ARC
(8,12),-0.523388 # DEPENDENCYPART_ARC
(8,13),-0.285441 # DEPENDENCYPART_ARC
(8,14),-0.456858 # DEPENDENCYPART_ARC
(8,15),0.606304 # DEPENDENCYPART_ARC
(8,16),-0.398907 # DEPENDENCYPART_ARC
(8,17),-0.736933 # DEPENDENCYPART_ARC
(8,18),-1.98005 # DEPENDENCYPART_ARC
(8,19),-0.482779 # DEPENDENCYPART_ARC
(8,20),-1.66502 # DEPENDENCYPART_ARC
(8,21),-2.10295 # DEPENDENCYPART_ARC
(8,22),-2.58276 # DEPENDENCYPART_ARC
(8,23),-0.625411 # DEPENDENCYPART_ARC
(9,1),-1.98293 # DEPENDENCYPART_ARC
(9,2),-2.15356 # DEPENDENCYPART_ARC
(9,3),-1.48407 # DEPENDENCYPART_ARC
(9,4),-1.49844 # DEPENDENCYPART_ARC
(9,5),-1.24039 # DEPENDENCYPART_ARC
(9,6),-1.29885 # DEPENDENCYPART_ARC
(9,7),-1.25851 # DEPENDENCYPART_ARC
(9,8),-1.00927 # DEPENDENCYPART_ARC
(9,10),-0.221451 # DEPENDENCYPART_ARC
(9,11),-0.530882 # DEPENDENCYPART_ARC
(9,12),-1.21498 # DEPENDENCYPART_ARC
(9,13),-1.02752 # DEPENDENCYPART_ARC
(9,14),-1.59324 # DEPENDENCYPART_ARC
(9,15),-0.0169747 # DEPENDENCYPART_ARC
(9,16),-1.98755 # DEPENDENCYPART_ARC
(9,17),-1.57166 # DEPENDENCYPART_ARC
(9,18),-2.17087 # DEPENDENCYPART_ARC
(9,19),-2.07744 # DEPENDENCYPART_ARC
(9,20),-2.33787 # DEPENDENCYPART_ARC
(9,21),-2.56051 # DEPENDENCYPART_ARC
(9,22),-2.62004 # DEPENDENCYPART_ARC
(9,23),-1.74601 # DEPENDENCYPART_ARC
(10,1),-1.34709 # DEPENDENCYPART_ARC
(10,2),-1.4668 # DEPENDENCYPART_ARC
(10,3),-0.622918 # DEPENDENCYPART_ARC
(10,4),-0.906588 # DEPENDENCYPART_ARC
(10,5),-0.0884378 # DEPENDENCYPART_ARC
(10,6),-0.783814 # DEPENDENCYPART_ARC
(10,7),0.742611 # DEPENDENCYPART_ARC
(10,8),0.00338842 # DEPENDENCYPART_ARC
(10,9),0.164072 # DEPENDENCYPART_ARC
(10,11),2.21183 # DEPENDENCYPART_ARC
(10,12),1.52905 # DEPENDENCYPART_ARC
(10,13),0.582987 # DEPENDENCYPART_ARC
(10,14),0.428258 # DEPENDENCYPART_ARC
(10,15),1.00237 # DEPENDENCYPART_ARC
(10,16),-1.17375 # DEPENDENCYPART_ARC
(10,17),0.698614 # DEPENDENCYPART_ARC
(10,18),-2.69751 # DEPENDENCYPART_ARC
(10,19),-1.01048 # DEPENDENCYPART_ARC
(10,20),-0.593156 # DEPENDENCYPART_ARC
(10,21),-2.09053 # DEPENDENCYPART_ARC
(10,22),-2.6789 # DEPENDENCYPART_ARC
(10,23),-0.354051 # DEPENDENCYPART_ARC
(11,1),-1.26072 # DEPENDENCYPART_ARC
(11,2),-1.96233 # DEPENDENCYPART_ARC
(11,3),-1.64781 # DEPENDENCYPART_ARC
(11,4),-1.36939 # DEPENDENCYPART_ARC
(11,5),-0.526756 # DEPENDENCYPART_ARC
(11,6),-1.52197 # DEPENDENCYPART_ARC
(11,7),-0.432839 # DEPENDENCYPART_ARC
(11,8),-0.351665 # DEPENDENCYPART_ARC
(11,9),-0.367115 # DEPENDENCYPART_ARC
(11,10),0.30014 # DEPENDENCYPART_ARC
(11,12),3.22684 # DEPENDENCYPART_ARC
(11,13),2.95223 # DEPENDENCYPART_ARC
(11,14),1.29525 # DEPENDENCYPART_ARC
(11,15),1.35914 # DEPENDENCYPART_ARC
(11,16),-0.108559 # DEPENDENCYPART_ARC
(11,17),0.907981 # DEPENDENCYPART_ARC
(11,18),-1.00363 # DEPENDENCYPART_ARC
(11,19),-0.575776 # DEPENDENCYPART_ARC
(11,20),-0.0179462 # DEPENDENCYPART_ARC
(11,21),-1.29754 # DEPENDENCYPART_ARC
(11,22),-1.0523 # DEPENDENCYPART_ARC
(11,23),0.500665 # DEPENDENCYPART_ARC
(12,1),-1.34009 # DEPENDENCYPART_ARC
(12,2),-3.04246 # DEPENDENCYPART_ARC
(12,3),-1.61656 # DEPENDENCYPART_ARC
(12,4),0.299983 # DEPENDENCYPART_ARC
(12,5),-0.466758 # DEPENDENCYPART_ARC
(12,6),-1.37093 # DEPENDENCYPART_ARC
(12,7),1.74952 # DEPENDENCYPART_ARC
(12,8),-0.272536 # DEPENDENCYPART_ARC
(12,9),-0.585249 # DEPENDENCYPART_ARC
(12,10),-0.0420249 # DEPENDENCYPART_ARC
(12,11),1.87837 # DEPENDENCYPART_ARC
(12,13),2.88786 # DEPENDENCYPART_ARC
(12,14),1.47031 # DEPENDENCYPART_ARC
(12,15),1.65224 # DEPENDENCYPART_ARC
(12,16),1.0761 # DEPENDENCYPART_ARC
(12,17),1.1173 # DEPENDENCYPART_ARC
(12,18),-0.00349459 # DEPENDENCYPART_ARC
(12,19),0.241413 # DEPENDENCYPART_ARC
(12,20),0.463262 # DEPENDENCYPART_ARC
(12,21),-0.291045 # DEPENDENCYPART_ARC
(12,22),-0.279083 # DEPENDENCYPART_ARC
(12,23),0.649535 # DEPENDENCYPART_ARC
(13,1),-1.74045 # DEPENDENCYPART_ARC
(13,2),-1.80382 # DEPENDENCYPART_ARC
(13,3),-1.03539 # DEPENDENCYPART_ARC
(13,4),-0.919154 # DEPENDENCYPART_ARC
(13,5),-1.14017 # DEPENDENCYPART_ARC
(13,6),-1.21955 # DEPENDENCYPART_ARC
(13,7),-0.957543 # DEPENDENCYPART_ARC
(13,8),-0.827173 # DEPENDENCYPART_ARC
(13,9),-0.289225 # DEPENDENCYPART_ARC
(13,10),-0.0446536 # DEPENDENCYPART_ARC
(13,11),-0.352866 # DEPENDENCYPART_ARC
(13,12),0.583623 # DEPENDENCYPART_ARC
(13,14),4.23185 # DEPENDENCYPART_ARC
(13,15),0.788444 # DEPENDENCYPART_ARC
(13,16),0.649488 # DEPENDENCYPART_ARC
(13,17),-0.19566 # DEPENDENCYPART_ARC
(13,18),-1.29256 # DEPENDENCYPART_ARC
(13,19),-0.622702 # DEPENDENCYPART_ARC
(13,20),-1.64341 # DEPENDENCYPART_ARC
(13,21),-1.75159 # DEPENDENCYPART_ARC
(13,22),-0.441434 # DEPENDENCYPART_ARC
(13,23),-0.805635 # DEPENDENCYPART_ARC
(14,1),-2.44206 # DEPENDENCYPART_ARC
(14,2),-4.6229 # DEPENDENCYPART_ARC
(14,3),-2.81462 # DEPENDENCYPART_ARC
(14,4),-1.33896 # DEPENDENCYPART_ARC
(14,5),-2.43743 # DEPENDENCYPART_ARC
(14,6),-2.50624 # DEPENDENCYPART_ARC
(14,7),-1.21013 # DEPENDENCYPART_ARC
(14,8),-2.06595 # DEPENDENCYPART_ARC
(14,9),-1.86683 # DEPENDENCYPART_ARC
(14,10),-1.68021 # DEPENDENCYPART_ARC
(14,11),-0.071449 # DEPENDENCYPART_ARC
(14,12),-0.0456426 # DEPENDENCYPART_ARC
(14,13),0.97546 # DEPENDENCYPART_ARC
(14,15),3.02357 # DEPENDENCYPART_ARC
(14,16),2.64998 # DEPENDENCYPART_ARC
(14,17),1.30723 # DEPENDENCYPART_ARC
(14,18),0.300124 # DEPENDENCYPART_ARC
(14,19),0.593658 # DEPENDENCYPART_ARC
(14,20),0.438515 # DEPENDENCYPART_ARC
(14,21),0.0435799 # DEPENDENCYPART_ARC
(14,22),0.165468 # DEPENDENCYPART_ARC
(14,23),-0.443418 # DEPENDENCYPART_ARC
(15,1),-3.04526 # DEPENDENCYPART_ARC
(15,2),-3.21996 # DEPENDENCYPART_ARC
(15,3),-2.60051 # DEPENDENCYPART_ARC
(15,4),-2.67402 # DEPENDENCYPART_ARC
(15,5),-2.09297 # DEPENDENCYPART_ARC
(15,6),-2.58875 # DEPENDENCYPART_ARC
(15,7),-1.94904 # DEPENDENCYPART_ARC
(15,8),-2.14426 # DEPENDENCYPART_ARC
(15,9),-0.865787 # DEPENDENCYPART_ARC
(15,10),-2.31958 # DEPENDENCYPART_ARC
(15,11),-1.39718 # DEPENDENCYPART_ARC
(15,12),-1.43745 # DEPENDENCYPART_ARC
(15,13),-1.43809 # DEPENDENCYPART_ARC
(15,14),-1.15683 # DEPENDENCYPART_ARC
(15,16),-0.600657 # DEPENDENCYPART_ARC
(15,17),-1.24662 # DEPENDENCYPART_ARC
(15,18),-1.52022 # DEPENDENCYPART_ARC
(15,19),-1.77192 # DEPENDENCYPART_ARC
(15,20),-1.94964 # DEPENDENCYPART_ARC
(15,21),-2.38302 # DEPENDENCYPART_ARC
(15,22),-2.426 # DEPENDENCYPART_ARC
(15,23),-1.75829 # DEPENDENCYPART_ARC
(16,1),-1.6609 # DEPENDENCYPART_ARC
(16,2),-4.59634 # DEPENDENCYPART_ARC
(16,3),-2.0273 # DEPENDENCYPART_ARC
(16,4),-0.588389 # DEPENDENCYPART_ARC
(16,5),-1.62743 # DEPENDENCYPART_ARC
(16,6),-1.10466 # DEPENDENCYPART_ARC
(16,7),-0.362559 # DEPENDENCYPART_ARC
(16,8),-1.3344 # DEPENDENCYPART_ARC
(16,9),-1.25404 # DEPENDENCYPART_ARC
(16,10),-0.905803 # DEPENDENCYPART_ARC
(16,11),0.56143 # DEPENDENCYPART_ARC
(16,12),0.20687 # DEPENDENCYPART_ARC
(16,13),0.441798 # DEPENDENCYPART_ARC
(16,14),1.87932 # DEPENDENCYPART_ARC
(16,15),0.888126 # DEPENDENCYPART_ARC
(16,17),3.85611 # DEPENDENCYPART_ARC
(16,18),1.43677 # DEPENDENCYPART_ARC
(16,19),1.61084 # DEPENDENCYPART_ARC
(16,20),1.07904 # DEPENDENCYPART_ARC
(16,21),0.521203 # DEPENDENCYPART_ARC
(16,22),0.633119 # DEPENDENCYPART_ARC
(16,23),0.656002 # DEPENDENCYPART_ARC
(17,1),-2.70184 # DEPENDENCYPART_ARC
(17,2),-2.82391 # DEPENDENCYPART_ARC
(17,3),-2.02744 # DEPENDENCYPART_ARC
(17,4),-2.3002 # DEPENDENCYPART_ARC
(17,5),-1.88479 # DEPENDENCYPART_ARC
(17,6),-2.18428 # DEPENDENCYPART_ARC
(17,7),-1.25784 # DEPENDENCYPART_ARC
(17,8),-1.52593 # DEPENDENCYPART_ARC
(17,9),-1.90538 # DEPENDENCYPART_ARC
(17,10),-1.77394 # DEPENDENCYPART_ARC
(17,11),-0.467717 # DEPENDENCYPART_ARC
(17,12),-0.992789 # DEPENDENCYPART_ARC
(17,13),-0.598235 # DEPENDENCYPART_ARC
(17,14),-0.216455 # DEPENDENCYPART_ARC
(17,15),-0.986383 # DEPENDENCYPART_ARC
(17,16),0.0218849 # DEPENDENCYPART_ARC
(17,18),3.22607 # DEPENDENCYPART_ARC
(17,19),0.951553 # DEPENDENCYPART_ARC
(17,20),0.524599 # DEPENDENCYPART_ARC
(17,21),1.5031 # DEPENDENCYPART_ARC
(17,22),1.63584 # DEPENDENCYPART_ARC
(17,23),-0.625926 # DEPENDENCYPART_ARC
(18,1),-3.8978 # DEPENDENCYPART_ARC
(18,2),-5.39291 # DEPENDENCYPART_ARC
(18,3),-3.12161 # DEPENDENCYPART_ARC
(18,4),-2.35014 # DEPENDENCYPART_ARC
(18,5),-2.85869 # DEPENDENCYPART_ARC
(18,6),-2.75149 # DEPENDENCYPART_ARC
(18,7),-1.99965 # DEPENDENCYPART_ARC
(18,8),-3.47613 # DEPENDENCYPART_ARC
(18,9),-3.02005 # DEPENDENCYPART_ARC
(18,10),-2.51147 # DEPENDENCYPART_ARC
(18,11),-1.74401 # DEPENDENCYPART_ARC
(18,12),-1.51894 # DEPENDENCYPART_ARC
(18,13),-1.55718 # DEPENDENCYPART_ARC
(18,14),-0.101066 # DEPENDENCYPART_ARC
(18,15),-1.22453 # DEPENDENCYPART_ARC
(18,16),0.189824 # DEPENDENCYPART_ARC
(18,17),0.150749 # DEPENDENCYPART_ARC
(18,19),3.58843 # DEPENDENCYPART_ARC
(18,20),0.411592 # DEPENDENCYPART_ARC
(18,21),0.23286 # DEPENDENCYPART_ARC
(18,22),-0.0739061 # DEPENDENCYPART_ARC
(18,23),-0.0385418 # DEPENDENCYPART_ARC
(19,1),-1.95952 # DEPENDENCYPART_ARC
(19,2),-2.33832 # DEPENDENCYPART_ARC
(19,3),-1.50318 # DEPENDENCYPART_ARC
(19,4),-1.75542 # DEPENDENCYPART_ARC
(19,5),-1.8244 # DEPENDENCYPART_ARC
(19,6),-1.72982 # DEPENDENCYPART_ARC
(19,7),-1.58968 # DEPENDENCYPART_ARC
(19,8),-0.929461 # DEPENDENCYPART_ARC
(19,9),-0.950374 # DEPENDENCYPART_ARC
(19,10),-1.36128 # DEPENDENCYPART_ARC
(19,11),-0.583173 # DEPENDENCYPART_ARC
(19,12),-0.847225 # DEPENDENCYPART_ARC
(19,13),-0.855959 # DEPENDENCYPART_ARC
(19,14),-0.399307 # DEPENDENCYPART_ARC
(19,15),0.0996131 # DEPENDENCYPART_ARC
(19,16),0.196081 # DEPENDENCYPART_ARC
(19,17),0.352987 # DEPENDENCYPART_ARC
(19,18),1.1913 # DEPENDENCYPART_ARC
(19,20),0.187295 # DEPENDENCYPART_ARC
(19,21),-0.343021 # DEPENDENCYPART_ARC
(19,22),-0.677777 # DEPENDENCYPART_ARC
(19,23),-0.903347 # DEPENDENCYPART_ARC
(20,1),-2.84643 # DEPENDENCYPART_ARC
(20,2),-3.67624 # DEPENDENCYPART_ARC
(20,3),-2.28018 # DEPENDENCYPART_ARC
(20,4),-2.00785 # DEPENDENCYPART_ARC
(20,5),-1.37944 # DEPENDENCYPART_ARC
(20,6),-2.27108 # DEPENDENCYPART_ARC
(20,7),-1.29495 # DEPENDENCYPART_ARC
(20,8),-1.86453 # DEPENDENCYPART_ARC
(20,9),-1.16739 # DEPENDENCYPART_ARC
(20,10),-1.76857 # DEPENDENCYPART_ARC
(20,11),-1.20855 # DEPENDENCYPART_ARC
(20,12),-0.670307 # DEPENDENCYPART_ARC
(20,13),-0.546559 # DEPENDENCYPART_ARC
(20,14),-0.722434 # DEPENDENCYPART_ARC
(20,15),-0.345157 # DEPENDENCYPART_ARC
(20,16),-0.0258076 # DEPENDENCYPART_ARC
(20,17),-0.349995 # DEPENDENCYPART_ARC
(20,18),0.464973 # DEPENDENCYPART_ARC
(20,19),0.947048 # DEPENDENCYPART_ARC
(20,21),1.0012 # DEPENDENCYPART_ARC
(20,22),0.373284 # DEPENDENCYPART_ARC
(20,23),-0.487413 # DEPENDENCYPART_ARC
(21,1),-2.8471 # DEPENDENCYPART_ARC
(21,2),-6.53916 # DEPENDENCYPART_ARC
(21,3),-3.53447 # DEPENDENCYPART_ARC
(21,4),-2.00466 # DEPENDENCYPART_ARC
(21,5),-3.27387 # DEPENDENCYPART_ARC
(21,6),-2.7385 # DEPENDENCYPART_ARC
(21,7),-2.3015 # DEPENDENCYPART_ARC
(21,8),-2.45753 # DEPENDENCYPART_ARC
(21,9),-3.08727 # DEPENDENCYPART_ARC
(21,10),-2.66532 # DEPENDENCYPART_ARC
(21,11),-1.31897 # DEPENDENCYPART_ARC
(21,12),-2.26019 # DEPENDENCYPART_ARC
(21,13),-1.8875 # DEPENDENCYPART_ARC
(21,14),-0.861996 # DEPENDENCYPART_ARC
(21,15),-1.70922 # DEPENDENCYPART_ARC
(21,16),-0.849498 # DEPENDENCYPART_ARC
(21,17),-1.60143 # DEPENDENCYPART_ARC
(21,18),1.24237 # DEPENDENCYPART_ARC
(21,19),-0.0181952 # DEPENDENCYPART_ARC
(21,20),1.89577 # DEPENDENCYPART_ARC
(21,22),1.13709 # DEPENDENCYPART_ARC
(21,23),-0.508756 # DEPENDENCYPART_ARC
(22,1),-2.55251 # DEPENDENCYPART_ARC
(22,2),-4.36043 # DEPENDENCYPART_ARC
(22,3),-1.71496 # DEPENDENCYPART_ARC
(22,4),-0.536029 # DEPENDENCYPART_ARC
(22,5),-0.728101 # DEPENDENCYPART_ARC
(22,6),-1.63087 # DEPENDENCYPART_ARC
(22,7),0.540361 # DEPENDENCYPART_ARC
(22,8),-1.51736 # DEPENDENCYPART_ARC
(22,9),-1.40874 # DEPENDENCYPART_ARC
(22,10),-1.41302 # DEPENDENCYPART_ARC
(22,11),-0.192531 # DEPENDENCYPART_ARC
(22,12),0.774701 # DEPENDENCYPART_ARC
(22,13),-0.854425 # DEPENDENCYPART_ARC
(22,14),2.19055 # DEPENDENCYPART_ARC
(22,15),-0.30176 # DEPENDENCYPART_ARC
(22,16),0.747911 # DEPENDENCYPART_ARC
(22,17),-0.378189 # DEPENDENCYPART_ARC
(22,18),3.59309 # DEPENDENCYPART_ARC
(22,19),0.74749 # DEPENDENCYPART_ARC
(22,20),3.64844 # DEPENDENCYPART_ARC
(22,21),4.71111 # DEPENDENCYPART_ARC
(22,23),0.478227 # DEPENDENCYPART_ARC
(23,1),-1.81798 # DEPENDENCYPART_ARC
(23,2),-2.7224 # DEPENDENCYPART_ARC
(23,3),-2.87709 # DEPENDENCYPART_ARC
(23,4),-0.65744 # DEPENDENCYPART_ARC
