# _root_ And the chain is testing products that are n't fried , such as `` char-grilled '' chicken , to try to win health-conscious consumers .
#goldHeads=4,3,4,0,4,5,8,6,8,8,6,13,6,17,17,17,13,6,5,19,20,21,24,22,4,
#predictedHeads=4,3,4,0,4,5,8,6,8,8,10,13,6,17,17,17,13,17,15,19,20,21,24,22,4,
(1,19),-3.48182 # DEPENDENCYPART_ARC
(1,20),-3.48155 # DEPENDENCYPART_ARC
(1,21),-3.71033 # DEPENDENCYPART_ARC
(1,22),-3.75345 # DEPENDENCYPART_ARC
(1,23),-4.77849 # DEPENDENCYPART_ARC
(1,24),-8.12007 # DEPENDENCYPART_ARC
(1,25),-2.18201 # DEPENDENCYPART_ARC
(2,1),-1.83441 # DEPENDENCYPART_ARC
(2,3),-0.0165569 # DEPENDENCYPART_ARC
(2,4),0.0955416 # DEPENDENCYPART_ARC
(2,5),-1.22677 # DEPENDENCYPART_ARC
(2,6),-1.60485 # DEPENDENCYPART_ARC
(2,7),-2.68787 # DEPENDENCYPART_ARC
(2,8),-0.982028 # DEPENDENCYPART_ARC
(2,9),-1.98886 # DEPENDENCYPART_ARC
(2,10),-1.95302 # DEPENDENCYPART_ARC
(2,11),-1.0817 # DEPENDENCYPART_ARC
(2,12),-2.32116 # DEPENDENCYPART_ARC
(2,13),-2.5947 # DEPENDENCYPART_ARC
(2,14),-2.52047 # DEPENDENCYPART_ARC
(2,15),-3.00918 # DEPENDENCYPART_ARC
(2,16),-1.98597 # DEPENDENCYPART_ARC
(2,17),-2.91252 # DEPENDENCYPART_ARC
(2,18),-2.24296 # DEPENDENCYPART_ARC
(2,19),-3.41491 # DEPENDENCYPART_ARC
(2,20),-3.71366 # DEPENDENCYPART_ARC
(2,21),-3.6438 # DEPENDENCYPART_ARC
(2,22),-3.83865 # DEPENDENCYPART_ARC
(2,23),-3.8415 # DEPENDENCYPART_ARC
(2,24),-3.60906 # DEPENDENCYPART_ARC
(2,25),-1.85158 # DEPENDENCYPART_ARC
(3,1),-0.237921 # DEPENDENCYPART_ARC
(3,2),4.12993 # DEPENDENCYPART_ARC
(3,4),1.18554 # DEPENDENCYPART_ARC
(3,5),0.657877 # DEPENDENCYPART_ARC
(3,6),-0.266134 # DEPENDENCYPART_ARC
(3,7),-1.29313 # DEPENDENCYPART_ARC
(3,8),1.16855 # DEPENDENCYPART_ARC
(3,9),-0.667613 # DEPENDENCYPART_ARC
(3,10),-0.68822 # DEPENDENCYPART_ARC
(3,11),0.45148 # DEPENDENCYPART_ARC
(3,12),-0.956966 # DEPENDENCYPART_ARC
(3,13),-0.764641 # DEPENDENCYPART_ARC
(3,14),-0.739195 # DEPENDENCYPART_ARC
(3,15),-1.83186 # DEPENDENCYPART_ARC
(3,16),-0.159924 # DEPENDENCYPART_ARC
(3,17),-1.89361 # DEPENDENCYPART_ARC
(3,18),-0.328843 # DEPENDENCYPART_ARC
(3,19),-1.63882 # DEPENDENCYPART_ARC
(3,20),-1.737 # DEPENDENCYPART_ARC
(3,21),-2.38997 # DEPENDENCYPART_ARC
(3,22),-1.92336 # DEPENDENCYPART_ARC
(3,23),-2.60424 # DEPENDENCYPART_ARC
(3,24),-2.28595 # DEPENDENCYPART_ARC
(3,25),-0.0939681 # DEPENDENCYPART_ARC
(4,1),1.72346 # DEPENDENCYPART_ARC
(4,2),0.404865 # DEPENDENCYPART_ARC
(4,3),3.39684 # DEPENDENCYPART_ARC
(4,5),3.65449 # DEPENDENCYPART_ARC
(4,6),1.48875 # DEPENDENCYPART_ARC
(4,7),-0.429484 # DEPENDENCYPART_ARC
(4,8),1.179 # DEPENDENCYPART_ARC
(4,9),1.27662 # DEPENDENCYPART_ARC
(4,10),0.724583 # DEPENDENCYPART_ARC
(4,11),0.656326 # DEPENDENCYPART_ARC
(4,12),-1.05521 # DEPENDENCYPART_ARC
(4,13),-0.965019 # DEPENDENCYPART_ARC
(4,14),-0.202001 # DEPENDENCYPART_ARC
(4,15),-1.36068 # DEPENDENCYPART_ARC
(4,16),0.706654 # DEPENDENCYPART_ARC
(4,17),-0.75282 # DEPENDENCYPART_ARC
(4,18),0.391185 # DEPENDENCYPART_ARC
(4,19),-1.15907 # DEPENDENCYPART_ARC
(4,20),-1.11048 # DEPENDENCYPART_ARC
(4,21),-1.72701 # DEPENDENCYPART_ARC
(4,22),-1.81581 # DEPENDENCYPART_ARC
(4,23),-3.35532 # DEPENDENCYPART_ARC
(4,24),-3.10408 # DEPENDENCYPART_ARC
(4,25),3.84626 # DEPENDENCYPART_ARC
(5,1),-0.98872 # DEPENDENCYPART_ARC
(5,2),0.919564 # DEPENDENCYPART_ARC
(5,3),0.0421018 # DEPENDENCYPART_ARC
(5,4),0.168244 # DEPENDENCYPART_ARC
(5,6),3.54905 # DEPENDENCYPART_ARC
(5,7),0.459784 # DEPENDENCYPART_ARC
(5,8),1.49464 # DEPENDENCYPART_ARC
(5,9),1.05015 # DEPENDENCYPART_ARC
(5,10),0.749929 # DEPENDENCYPART_ARC
(5,11),1.09888 # DEPENDENCYPART_ARC
(5,12),0.122668 # DEPENDENCYPART_ARC
(5,13),0.199857 # DEPENDENCYPART_ARC
(5,14),0.16646 # DEPENDENCYPART_ARC
(5,15),-0.289407 # DEPENDENCYPART_ARC
(5,16),0.834656 # DEPENDENCYPART_ARC
(5,17),-0.594516 # DEPENDENCYPART_ARC
(5,18),1.09541 # DEPENDENCYPART_ARC
(5,19),0.267589 # DEPENDENCYPART_ARC
(5,20),-0.832197 # DEPENDENCYPART_ARC
(5,21),-0.606215 # DEPENDENCYPART_ARC
(5,22),-1.09648 # DEPENDENCYPART_ARC
(5,23),-1.65452 # DEPENDENCYPART_ARC
(5,24),-3.58284 # DEPENDENCYPART_ARC
(5,25),-0.395278 # DEPENDENCYPART_ARC
(6,1),-0.844345 # DEPENDENCYPART_ARC
(6,2),2.26042 # DEPENDENCYPART_ARC
(6,3),1.14273 # DEPENDENCYPART_ARC
(6,4),0.68345 # DEPENDENCYPART_ARC
(6,5),2.51848 # DEPENDENCYPART_ARC
(6,7),-0.0332837 # DEPENDENCYPART_ARC
(6,8),3.64865 # DEPENDENCYPART_ARC
(6,9),0.637688 # DEPENDENCYPART_ARC
(6,10),0.450958 # DEPENDENCYPART_ARC
(6,11),1.76439 # DEPENDENCYPART_ARC
(6,12),-0.0401757 # DEPENDENCYPART_ARC
(6,13),1.61768 # DEPENDENCYPART_ARC
(6,14),0.643159 # DEPENDENCYPART_ARC
(6,15),-0.278558 # DEPENDENCYPART_ARC
(6,16),0.854217 # DEPENDENCYPART_ARC
(6,17),-0.335024 # DEPENDENCYPART_ARC
(6,18),0.906907 # DEPENDENCYPART_ARC
(6,19),-0.801131 # DEPENDENCYPART_ARC
(6,20),-0.592387 # DEPENDENCYPART_ARC
(6,21),-1.24046 # DEPENDENCYPART_ARC
(6,22),-0.618721 # DEPENDENCYPART_ARC
(6,23),-1.254 # DEPENDENCYPART_ARC
(6,24),-0.451925 # DEPENDENCYPART_ARC
(6,25),-0.013338 # DEPENDENCYPART_ARC
(7,1),-1.6176 # DEPENDENCYPART_ARC
(7,2),-0.56817 # DEPENDENCYPART_ARC
(7,3),-1.17776 # DEPENDENCYPART_ARC
(7,4),-0.738172 # DEPENDENCYPART_ARC
(7,5),-0.378052 # DEPENDENCYPART_ARC
(7,6),-0.146782 # DEPENDENCYPART_ARC
(7,8),1.07858 # DEPENDENCYPART_ARC
(7,9),-1.17089 # DEPENDENCYPART_ARC
(7,10),-0.904868 # DEPENDENCYPART_ARC
(7,11),-0.33349 # DEPENDENCYPART_ARC
(7,12),-1.65969 # DEPENDENCYPART_ARC
(7,13),-1.35094 # DEPENDENCYPART_ARC
(7,14),-1.47394 # DEPENDENCYPART_ARC
(7,15),-2.01125 # DEPENDENCYPART_ARC
(7,16),-0.943233 # DEPENDENCYPART_ARC
(7,17),-2.83877 # DEPENDENCYPART_ARC
(7,18),-0.901756 # DEPENDENCYPART_ARC
(7,19),-2.7182 # DEPENDENCYPART_ARC
(7,20),-2.10507 # DEPENDENCYPART_ARC
(7,21),-2.90867 # DEPENDENCYPART_ARC
(7,22),-2.3731 # DEPENDENCYPART_ARC
(7,23),-2.63646 # DEPENDENCYPART_ARC
(7,24),-4.60201 # DEPENDENCYPART_ARC
(7,25),-1.83982 # DEPENDENCYPART_ARC
(8,1),-0.732613 # DEPENDENCYPART_ARC
(8,2),-0.737876 # DEPENDENCYPART_ARC
(8,3),-0.647229 # DEPENDENCYPART_ARC
(8,4),-1.06506 # DEPENDENCYPART_ARC
(8,5),-0.496195 # DEPENDENCYPART_ARC
(8,6),0.517896 # DEPENDENCYPART_ARC
(8,7),4.14967 # DEPENDENCYPART_ARC
(8,9),4.32238 # DEPENDENCYPART_ARC
(8,10),2.69657 # DEPENDENCYPART_ARC
(8,11),0.772885 # DEPENDENCYPART_ARC
(8,12),1.17565 # DEPENDENCYPART_ARC
(8,13),0.445939 # DEPENDENCYPART_ARC
(8,14),0.504107 # DEPENDENCYPART_ARC
(8,15),0.244062 # DEPENDENCYPART_ARC
(8,16),0.0340446 # DEPENDENCYPART_ARC
(8,17),-0.13489 # DEPENDENCYPART_ARC
(8,18),0.0207006 # DEPENDENCYPART_ARC
(8,19),-0.865118 # DEPENDENCYPART_ARC
(8,20),0.0485458 # DEPENDENCYPART_ARC
(8,21),-1.59815 # DEPENDENCYPART_ARC
(8,22),-0.708399 # DEPENDENCYPART_ARC
(8,23),-1.58719 # DEPENDENCYPART_ARC
(8,24),-0.980366 # DEPENDENCYPART_ARC
(8,25),0.435381 # DEPENDENCYPART_ARC
(9,1),-2.08074 # DEPENDENCYPART_ARC
(9,2),-0.58598 # DEPENDENCYPART_ARC
(9,3),-1.59477 # DEPENDENCYPART_ARC
(9,4),-1.60093 # DEPENDENCYPART_ARC
(9,5),-1.28378 # DEPENDENCYPART_ARC
(9,6),-0.890304 # DEPENDENCYPART_ARC
(9,7),0.0351363 # DEPENDENCYPART_ARC
(9,8),-0.146009 # DEPENDENCYPART_ARC
(9,10),0.408783 # DEPENDENCYPART_ARC
(9,11),-0.0346294 # DEPENDENCYPART_ARC
(9,12),-0.443269 # DEPENDENCYPART_ARC
(9,13),-0.547354 # DEPENDENCYPART_ARC
(9,14),-0.80393 # DEPENDENCYPART_ARC
(9,15),-1.12679 # DEPENDENCYPART_ARC
(9,16),-0.612247 # DEPENDENCYPART_ARC
(9,17),-2.34975 # DEPENDENCYPART_ARC
(9,18),-0.787563 # DEPENDENCYPART_ARC
(9,19),-1.85778 # DEPENDENCYPART_ARC
(9,20),-1.47397 # DEPENDENCYPART_ARC
(9,21),-2.16743 # DEPENDENCYPART_ARC
(9,22),-1.68407 # DEPENDENCYPART_ARC
(9,23),-1.97643 # DEPENDENCYPART_ARC
(9,24),-2.6782 # DEPENDENCYPART_ARC
(9,25),-0.776251 # DEPENDENCYPART_ARC
(10,1),-1.74336 # DEPENDENCYPART_ARC
(10,2),-0.397967 # DEPENDENCYPART_ARC
(10,3),-0.317909 # DEPENDENCYPART_ARC
(10,4),-0.787256 # DEPENDENCYPART_ARC
(10,5),-0.0979682 # DEPENDENCYPART_ARC
(10,6),0.0630311 # DEPENDENCYPART_ARC
(10,7),1.53739 # DEPENDENCYPART_ARC
(10,8),0.255924 # DEPENDENCYPART_ARC
(10,9),1.90479 # DEPENDENCYPART_ARC
(10,11),1.982 # DEPENDENCYPART_ARC
(10,12),1.54539 # DEPENDENCYPART_ARC
(10,13),1.39184 # DEPENDENCYPART_ARC
(10,14),0.604892 # DEPENDENCYPART_ARC
(10,15),0.285569 # DEPENDENCYPART_ARC
(10,16),1.42584 # DEPENDENCYPART_ARC
(10,17),-0.114004 # DEPENDENCYPART_ARC
(10,18),1.51544 # DEPENDENCYPART_ARC
(10,19),0.490043 # DEPENDENCYPART_ARC
(10,20),-0.658274 # DEPENDENCYPART_ARC
(10,21),-0.397501 # DEPENDENCYPART_ARC
(10,22),-0.767541 # DEPENDENCYPART_ARC
(10,23),-1.10681 # DEPENDENCYPART_ARC
(10,24),-1.9059 # DEPENDENCYPART_ARC
(10,25),0.68641 # DEPENDENCYPART_ARC
(11,1),-2.65405 # DEPENDENCYPART_ARC
(11,2),-1.86745 # DEPENDENCYPART_ARC
(11,3),-2.21389 # DEPENDENCYPART_ARC
(11,4),-2.05185 # DEPENDENCYPART_ARC
(11,5),-1.59672 # DEPENDENCYPART_ARC
(11,6),-2.38906 # DEPENDENCYPART_ARC
(11,7),-1.17201 # DEPENDENCYPART_ARC
(11,8),-1.799 # DEPENDENCYPART_ARC
(11,9),-1.59192 # DEPENDENCYPART_ARC
(11,10),-0.645829 # DEPENDENCYPART_ARC
(11,12),-0.107083 # DEPENDENCYPART_ARC
(11,13),-0.759451 # DEPENDENCYPART_ARC
(11,14),-0.436025 # DEPENDENCYPART_ARC
(11,15),-1.33969 # DEPENDENCYPART_ARC
(11,16),-0.979162 # DEPENDENCYPART_ARC
(11,17),-1.96313 # DEPENDENCYPART_ARC
(11,18),0.0260395 # DEPENDENCYPART_ARC
(11,19),-1.6855 # DEPENDENCYPART_ARC
(11,20),-1.6105 # DEPENDENCYPART_ARC
(11,21),-1.82982 # DEPENDENCYPART_ARC
(11,22),-1.74544 # DEPENDENCYPART_ARC
(11,23),-2.4913 # DEPENDENCYPART_ARC
(11,24),-2.66209 # DEPENDENCYPART_ARC
(11,25),-1.61859 # DEPENDENCYPART_ARC
(12,1),-2.60563 # DEPENDENCYPART_ARC
(12,2),-0.621263 # DEPENDENCYPART_ARC
(12,3),-1.88056 # DEPENDENCYPART_ARC
(12,4),-1.78618 # DEPENDENCYPART_ARC
(12,5),-1.53157 # DEPENDENCYPART_ARC
(12,6),-1.55058 # DEPENDENCYPART_ARC
(12,7),-0.229426 # DEPENDENCYPART_ARC
(12,8),-1.49076 # DEPENDENCYPART_ARC
(12,9),-0.880974 # DEPENDENCYPART_ARC
(12,10),-0.292773 # DEPENDENCYPART_ARC
(12,11),0.0914346 # DEPENDENCYPART_ARC
(12,13),1.32756 # DEPENDENCYPART_ARC
(12,14),0.204703 # DEPENDENCYPART_ARC
(12,15),0.127211 # DEPENDENCYPART_ARC
(12,16),0.678318 # DEPENDENCYPART_ARC
(12,17),-0.390588 # DEPENDENCYPART_ARC
(12,18),-0.077973 # DEPENDENCYPART_ARC
(12,19),0.0661519 # DEPENDENCYPART_ARC
(12,20),-1.08228 # DEPENDENCYPART_ARC
(12,21),-0.501392 # DEPENDENCYPART_ARC
(12,22),-1.21929 # DEPENDENCYPART_ARC
(12,23),-1.1177 # DEPENDENCYPART_ARC
(12,24),-1.54149 # DEPENDENCYPART_ARC
(12,25),-0.290318 # DEPENDENCYPART_ARC
(13,1),-1.30901 # DEPENDENCYPART_ARC
(13,2),-1.29352 # DEPENDENCYPART_ARC
(13,3),-1.59581 # DEPENDENCYPART_ARC
(13,4),-0.770554 # DEPENDENCYPART_ARC
(13,5),-1.07379 # DEPENDENCYPART_ARC
(13,6),-0.656043 # DEPENDENCYPART_ARC
(13,7),0.979756 # DEPENDENCYPART_ARC
(13,8),-0.85756 # DEPENDENCYPART_ARC
(13,9),-0.147948 # DEPENDENCYPART_ARC
(13,10),0.0254316 # DEPENDENCYPART_ARC
(13,11),0.857473 # DEPENDENCYPART_ARC
(13,12),3.58808 # DEPENDENCYPART_ARC
(13,14),2.40054 # DEPENDENCYPART_ARC
(13,15),1.74368 # DEPENDENCYPART_ARC
(13,16),2.12062 # DEPENDENCYPART_ARC
(13,17),2.58978 # DEPENDENCYPART_ARC
(13,18),1.26311 # DEPENDENCYPART_ARC
(13,19),0.170256 # DEPENDENCYPART_ARC
(13,20),0.464266 # DEPENDENCYPART_ARC
(13,21),-0.508624 # DEPENDENCYPART_ARC
(13,22),0.165029 # DEPENDENCYPART_ARC
(13,23),-0.523695 # DEPENDENCYPART_ARC
(13,24),-0.669523 # DEPENDENCYPART_ARC
(13,25),-0.189615 # DEPENDENCYPART_ARC
(14,1),-3.14922 # DEPENDENCYPART_ARC
(14,2),-2.78157 # DEPENDENCYPART_ARC
(14,3),-2.96819 # DEPENDENCYPART_ARC
(14,4),-2.68783 # DEPENDENCYPART_ARC
(14,5),-2.5147 # DEPENDENCYPART_ARC
(14,6),-1.94894 # DEPENDENCYPART_ARC
(14,7),-1.89883 # DEPENDENCYPART_ARC
(14,8),-2.34416 # DEPENDENCYPART_ARC
(14,9),-2.01814 # DEPENDENCYPART_ARC
(14,10),-1.9045 # DEPENDENCYPART_ARC
(14,11),-1.33253 # DEPENDENCYPART_ARC
(14,12),-1.29873 # DEPENDENCYPART_ARC
(14,13),-0.566281 # DEPENDENCYPART_ARC
(14,15),0.480926 # DEPENDENCYPART_ARC
(14,16),0.0902092 # DEPENDENCYPART_ARC
(14,17),-1.1224 # DEPENDENCYPART_ARC
(14,18),-1.03253 # DEPENDENCYPART_ARC
(14,19),-1.74978 # DEPENDENCYPART_ARC
(14,20),-1.85358 # DEPENDENCYPART_ARC
(14,21),-1.81938 # DEPENDENCYPART_ARC
(14,22),-2.10768 # DEPENDENCYPART_ARC
(14,23),-1.75084 # DEPENDENCYPART_ARC
(14,24),-2.64073 # DEPENDENCYPART_ARC
(14,25),-1.35759 # DEPENDENCYPART_ARC
(15,1),-2.23285 # DEPENDENCYPART_ARC
(15,2),-0.762111 # DEPENDENCYPART_ARC
(15,3),-1.5351 # DEPENDENCYPART_ARC
(15,4),-1.40225 # DEPENDENCYPART_ARC
(15,5),-1.14394 # DEPENDENCYPART_ARC
(15,6),-0.969641 # DEPENDENCYPART_ARC
(15,7),-0.122962 # DEPENDENCYPART_ARC
(15,8),-1.2873 # DEPENDENCYPART_ARC
(15,9),-1.19533 # DEPENDENCYPART_ARC
(15,10),-0.583683 # DEPENDENCYPART_ARC
(15,11),0.101315 # DEPENDENCYPART_ARC
(15,12),0.850768 # DEPENDENCYPART_ARC
(15,13),1.17133 # DEPENDENCYPART_ARC
(15,14),2.3067 # DEPENDENCYPART_ARC
(15,16),1.96191 # DEPENDENCYPART_ARC
(15,17),1.31256 # DEPENDENCYPART_ARC
(15,18),0.907177 # DEPENDENCYPART_ARC
(15,19),1.37346 # DEPENDENCYPART_ARC
(15,20),0.160487 # DEPENDENCYPART_ARC
(15,21),0.63592 # DEPENDENCYPART_ARC
(15,22),-0.170035 # DEPENDENCYPART_ARC
(15,23),0.0754321 # DEPENDENCYPART_ARC
(15,24),-0.19658 # DEPENDENCYPART_ARC
(15,25),0.597121 # DEPENDENCYPART_ARC
(16,1),-2.88637 # DEPENDENCYPART_ARC
(16,2),-1.9048 # DEPENDENCYPART_ARC
(16,3),-2.97373 # DEPENDENCYPART_ARC
(16,4),-2.40029 # DEPENDENCYPART_ARC
(16,5),-2.22943 # DEPENDENCYPART_ARC
(16,6),-2.18791 # DEPENDENCYPART_ARC
(16,7),-1.64881 # DEPENDENCYPART_ARC
(16,8),-2.0687 # DEPENDENCYPART_ARC
(16,9),-2.19203 # DEPENDENCYPART_ARC
(16,10),-1.75635 # DEPENDENCYPART_ARC
(16,11),-1.16975 # DEPENDENCYPART_ARC
(16,12),-1.56983 # DEPENDENCYPART_ARC
(16,13),-0.843961 # DEPENDENCYPART_ARC
(16,14),0.150181 # DEPENDENCYPART_ARC
(16,15),-0.712396 # DEPENDENCYPART_ARC
(16,17),-0.312644 # DEPENDENCYPART_ARC
(16,18),-1.04613 # DEPENDENCYPART_ARC
(16,19),-1.25142 # DEPENDENCYPART_ARC
(16,20),-1.6013 # DEPENDENCYPART_ARC
(16,21),-1.68957 # DEPENDENCYPART_ARC
(16,22),-1.98074 # DEPENDENCYPART_ARC
(16,23),-2.47512 # DEPENDENCYPART_ARC
(16,24),-2.36901 # DEPENDENCYPART_ARC
(16,25),-1.67422 # DEPENDENCYPART_ARC
(17,1),-1.21635 # DEPENDENCYPART_ARC
(17,2),-0.010204 # DEPENDENCYPART_ARC
(17,3),-0.513197 # DEPENDENCYPART_ARC
(17,4),-0.196143 # DEPENDENCYPART_ARC
(17,5),0.52055 # DEPENDENCYPART_ARC
(17,6),0.374202 # DEPENDENCYPART_ARC
(17,7),0.854094 # DEPENDENCYPART_ARC
(17,8),0.386741 # DEPENDENCYPART_ARC
(17,9),-0.404307 # DEPENDENCYPART_ARC
(17,10),0.88709 # DEPENDENCYPART_ARC
(17,11),1.37568 # DEPENDENCYPART_ARC
(17,12),2.32345 # DEPENDENCYPART_ARC
(17,13),1.59006 # DEPENDENCYPART_ARC
(17,14),4.33448 # DEPENDENCYPART_ARC
(17,15),3.82331 # DEPENDENCYPART_ARC
(17,16),4.04892 # DEPENDENCYPART_ARC
(17,18),1.98562 # DEPENDENCYPART_ARC
(17,19),1.27621 # DEPENDENCYPART_ARC
(17,20),0.558045 # DEPENDENCYPART_ARC
(17,21),0.267261 # DEPENDENCYPART_ARC
(17,22),0.155062 # DEPENDENCYPART_ARC
(17,23),-0.132739 # DEPENDENCYPART_ARC
(17,24),0.310849 # DEPENDENCYPART_ARC
(17,25),0.363284 # DEPENDENCYPART_ARC
(18,1),-2.891 # DEPENDENCYPART_ARC
(18,2),-2.39464 # DEPENDENCYPART_ARC
(18,3),-2.35491 # DEPENDENCYPART_ARC
(18,4),-2.41544 # DEPENDENCYPART_ARC
(18,5),-1.78095 # DEPENDENCYPART_ARC
(18,6),-2.21895 # DEPENDENCYPART_ARC
(18,7),-1.64974 # DEPENDENCYPART_ARC
(18,8),-2.27439 # DEPENDENCYPART_ARC
(18,9),-2.4143 # DEPENDENCYPART_ARC
(18,10),-1.49253 # DEPENDENCYPART_ARC
(18,11),-0.480715 # DEPENDENCYPART_ARC
(18,12),-1.55787 # DEPENDENCYPART_ARC
(18,13),-1.51938 # DEPENDENCYPART_ARC
(18,14),-1.03419 # DEPENDENCYPART_ARC
(18,15),-1.0006 # DEPENDENCYPART_ARC
(18,16),-0.95485 # DEPENDENCYPART_ARC
(18,17),-0.754292 # DEPENDENCYPART_ARC
(18,19),-0.4084 # DEPENDENCYPART_ARC
(18,20),-0.332182 # DEPENDENCYPART_ARC
(18,21),-1.16931 # DEPENDENCYPART_ARC
(18,22),-1.07453 # DEPENDENCYPART_ARC
(18,23),-1.64742 # DEPENDENCYPART_ARC
(18,24),-2.02091 # DEPENDENCYPART_ARC
(18,25),-1.2342 # DEPENDENCYPART_ARC
(19,1),-1.99964 # DEPENDENCYPART_ARC
(19,2),-1.30015 # DEPENDENCYPART_ARC
(19,3),-1.67943 # DEPENDENCYPART_ARC
(19,4),-1.39341 # DEPENDENCYPART_ARC
(19,5),-1.47234 # DEPENDENCYPART_ARC
(19,6),-1.82105 # DEPENDENCYPART_ARC
(19,7),-0.796717 # DEPENDENCYPART_ARC
(19,8),-0.909342 # DEPENDENCYPART_ARC
(19,9),-1.39425 # DEPENDENCYPART_ARC
(19,10),-0.961058 # DEPENDENCYPART_ARC
(19,11),0.199804 # DEPENDENCYPART_ARC
(19,12),-0.448132 # DEPENDENCYPART_ARC
(19,13),0.304986 # DEPENDENCYPART_ARC
(19,14),0.177807 # DEPENDENCYPART_ARC
(19,15),0.281306 # DEPENDENCYPART_ARC
(19,16),0.409259 # DEPENDENCYPART_ARC
(19,17),-0.0184541 # DEPENDENCYPART_ARC
(19,18),0.890423 # DEPENDENCYPART_ARC
(19,20),4.11798 # DEPENDENCYPART_ARC
(19,21),1.91739 # DEPENDENCYPART_ARC
(19,22),1.85486 # DEPENDENCYPART_ARC
(19,23),0.185735 # DEPENDENCYPART_ARC
(19,24),0.377204 # DEPENDENCYPART_ARC
(19,25),0.996737 # DEPENDENCYPART_ARC
(20,1),-2.18187 # DEPENDENCYPART_ARC
(20,2),-1.97221 # DEPENDENCYPART_ARC
(20,3),-2.18664 # DEPENDENCYPART_ARC
(20,4),-1.88795 # DEPENDENCYPART_ARC
(20,5),-1.59267 # DEPENDENCYPART_ARC
(20,6),-1.35827 # DEPENDENCYPART_ARC
(20,7),-0.307125 # DEPENDENCYPART_ARC
(20,8),-1.59269 # DEPENDENCYPART_ARC
(20,9),-1.50074 # DEPENDENCYPART_ARC
(20,10),-1.26861 # DEPENDENCYPART_ARC
(20,11),-0.587068 # DEPENDENCYPART_ARC
(20,12),-0.735382 # DEPENDENCYPART_ARC
(20,13),-0.616244 # DEPENDENCYPART_ARC
(20,14),-0.306266 # DEPENDENCYPART_ARC
(20,15),-0.284443 # DEPENDENCYPART_ARC
(20,16),-0.00442696 # DEPENDENCYPART_ARC
(20,17),0.0484481 # DEPENDENCYPART_ARC
(20,18),0.0737752 # DEPENDENCYPART_ARC
(20,19),0.931985 # DEPENDENCYPART_ARC
(20,21),3.58464 # DEPENDENCYPART_ARC
(20,22),1.54354 # DEPENDENCYPART_ARC
(20,23),0.401234 # DEPENDENCYPART_ARC
(20,24),1.40437 # DEPENDENCYPART_ARC
(20,25),0.189819 # DEPENDENCYPART_ARC
(21,1),-2.67681 # DEPENDENCYPART_ARC
(21,2),-1.85012 # DEPENDENCYPART_ARC
(21,3),-2.23877 # DEPENDENCYPART_ARC
(21,4),-1.89406 # DEPENDENCYPART_ARC
(21,5),-1.966 # DEPENDENCYPART_ARC
(21,6),-2.55622 # DEPENDENCYPART_ARC
