# _root_ Grinned Griffith Peck , a trader in Shearson Lehman Hutton Inc. 's OTC department : `` I tell you , this market acts healthy . ''
#goldHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,1,18,18,22,23,18,23,1,1,
#predictedHeads=0,3,1,3,6,3,6,11,11,11,14,11,14,7,1,1,18,14,18,23,22,23,18,23,1,1,
(1,14),0.929272 # DEPENDENCYPART_ARC
(1,15),2.81025 # DEPENDENCYPART_ARC
(1,16),2.15322 # DEPENDENCYPART_ARC
(1,17),-0.353699 # DEPENDENCYPART_ARC
(1,18),0.372804 # DEPENDENCYPART_ARC
(1,19),-0.0333397 # DEPENDENCYPART_ARC
(1,20),-0.173818 # DEPENDENCYPART_ARC
(1,21),-1.45848 # DEPENDENCYPART_ARC
(1,22),-1.49156 # DEPENDENCYPART_ARC
(1,23),-0.582662 # DEPENDENCYPART_ARC
(1,24),-0.55369 # DEPENDENCYPART_ARC
(1,25),3.38272 # DEPENDENCYPART_ARC
(1,26),3.07567 # DEPENDENCYPART_ARC
(2,1),-0.163839 # DEPENDENCYPART_ARC
(2,3),1.81252 # DEPENDENCYPART_ARC
(2,4),1.26671 # DEPENDENCYPART_ARC
(2,5),-0.391849 # DEPENDENCYPART_ARC
(2,6),0.762674 # DEPENDENCYPART_ARC
(2,7),-0.695612 # DEPENDENCYPART_ARC
(2,8),-1.12721 # DEPENDENCYPART_ARC
(2,9),-0.5939 # DEPENDENCYPART_ARC
(2,10),-0.513254 # DEPENDENCYPART_ARC
(2,11),-1.78 # DEPENDENCYPART_ARC
(2,12),-1.20125 # DEPENDENCYPART_ARC
(2,13),-0.997869 # DEPENDENCYPART_ARC
(2,14),-0.0240013 # DEPENDENCYPART_ARC
(2,15),0.275451 # DEPENDENCYPART_ARC
(2,16),-0.250257 # DEPENDENCYPART_ARC
(2,17),-1.81789 # DEPENDENCYPART_ARC
(2,18),-0.857329 # DEPENDENCYPART_ARC
(2,19),-2.15516 # DEPENDENCYPART_ARC
(2,20),-0.213205 # DEPENDENCYPART_ARC
(2,21),-1.77614 # DEPENDENCYPART_ARC
(2,22),-1.67343 # DEPENDENCYPART_ARC
(2,23),-2.34579 # DEPENDENCYPART_ARC
(2,24),-2.52639 # DEPENDENCYPART_ARC
(2,25),0.882048 # DEPENDENCYPART_ARC
(2,26),-0.749144 # DEPENDENCYPART_ARC
(3,1),0.467227 # DEPENDENCYPART_ARC
(3,2),4.63622 # DEPENDENCYPART_ARC
(3,4),3.62106 # DEPENDENCYPART_ARC
(3,5),0.884392 # DEPENDENCYPART_ARC
(3,6),2.70697 # DEPENDENCYPART_ARC
(3,7),0.627557 # DEPENDENCYPART_ARC
(3,8),0.23133 # DEPENDENCYPART_ARC
(3,9),0.471153 # DEPENDENCYPART_ARC
(3,10),0.530628 # DEPENDENCYPART_ARC
(3,11),0.317161 # DEPENDENCYPART_ARC
(3,12),0.55348 # DEPENDENCYPART_ARC
(3,13),0.29383 # DEPENDENCYPART_ARC
(3,14),1.68417 # DEPENDENCYPART_ARC
(3,15),1.55694 # DEPENDENCYPART_ARC
(3,16),0.883207 # DEPENDENCYPART_ARC
(3,17),-0.335008 # DEPENDENCYPART_ARC
(3,18),0.506659 # DEPENDENCYPART_ARC
(3,19),-0.572395 # DEPENDENCYPART_ARC
(3,20),0.5007 # DEPENDENCYPART_ARC
(3,21),-0.731644 # DEPENDENCYPART_ARC
(3,22),-0.461813 # DEPENDENCYPART_ARC
(3,23),-0.851685 # DEPENDENCYPART_ARC
(3,24),-1.28331 # DEPENDENCYPART_ARC
(3,25),1.99077 # DEPENDENCYPART_ARC
(3,26),0.479604 # DEPENDENCYPART_ARC
(4,1),-1.54311 # DEPENDENCYPART_ARC
(4,2),-1.91692 # DEPENDENCYPART_ARC
(4,3),-1.36362 # DEPENDENCYPART_ARC
(4,5),-0.403687 # DEPENDENCYPART_ARC
(4,6),-1.18158 # DEPENDENCYPART_ARC
(4,7),-0.994472 # DEPENDENCYPART_ARC
(4,8),-1.21372 # DEPENDENCYPART_ARC
(4,9),-1.40145 # DEPENDENCYPART_ARC
(4,10),-1.83139 # DEPENDENCYPART_ARC
(4,11),-1.95632 # DEPENDENCYPART_ARC
(4,12),-2.04563 # DEPENDENCYPART_ARC
(4,13),-2.17808 # DEPENDENCYPART_ARC
(4,14),-2.55694 # DEPENDENCYPART_ARC
(4,15),-1.15426 # DEPENDENCYPART_ARC
(4,16),-1.50499 # DEPENDENCYPART_ARC
(4,17),-2.35469 # DEPENDENCYPART_ARC
(4,18),-2.35538 # DEPENDENCYPART_ARC
(4,19),-2.54092 # DEPENDENCYPART_ARC
(4,20),-1.64363 # DEPENDENCYPART_ARC
(4,21),-2.96386 # DEPENDENCYPART_ARC
(4,22),-3.46505 # DEPENDENCYPART_ARC
(4,23),-2.70566 # DEPENDENCYPART_ARC
(4,24),-3.38134 # DEPENDENCYPART_ARC
(4,25),-2.41175 # DEPENDENCYPART_ARC
(4,26),-2.29348 # DEPENDENCYPART_ARC
(5,1),-1.59999 # DEPENDENCYPART_ARC
(5,2),-1.12482 # DEPENDENCYPART_ARC
(5,3),-1.10395 # DEPENDENCYPART_ARC
(5,4),-0.194171 # DEPENDENCYPART_ARC
(5,6),0.536727 # DEPENDENCYPART_ARC
(5,7),-0.494865 # DEPENDENCYPART_ARC
(5,8),-0.487182 # DEPENDENCYPART_ARC
(5,9),-0.607742 # DEPENDENCYPART_ARC
(5,10),-0.653445 # DEPENDENCYPART_ARC
(5,11),-0.913633 # DEPENDENCYPART_ARC
(5,12),-1.66939 # DEPENDENCYPART_ARC
(5,13),-1.05233 # DEPENDENCYPART_ARC
(5,14),-1.2985 # DEPENDENCYPART_ARC
(5,15),-0.617428 # DEPENDENCYPART_ARC
(5,16),-1.48294 # DEPENDENCYPART_ARC
(5,17),-1.83597 # DEPENDENCYPART_ARC
(5,18),-1.27996 # DEPENDENCYPART_ARC
(5,19),-1.91555 # DEPENDENCYPART_ARC
(5,20),-0.786079 # DEPENDENCYPART_ARC
(5,21),-2.9934 # DEPENDENCYPART_ARC
(5,22),-2.17863 # DEPENDENCYPART_ARC
(5,23),-2.48108 # DEPENDENCYPART_ARC
(5,24),-2.74241 # DEPENDENCYPART_ARC
(5,25),-2.26339 # DEPENDENCYPART_ARC
(5,26),-1.70078 # DEPENDENCYPART_ARC
(6,1),-0.599923 # DEPENDENCYPART_ARC
(6,2),0.210481 # DEPENDENCYPART_ARC
(6,3),-0.669371 # DEPENDENCYPART_ARC
(6,4),0.446308 # DEPENDENCYPART_ARC
(6,5),3.97327 # DEPENDENCYPART_ARC
(6,7),3.12827 # DEPENDENCYPART_ARC
(6,8),0.947051 # DEPENDENCYPART_ARC
(6,9),1.02996 # DEPENDENCYPART_ARC
(6,10),0.878354 # DEPENDENCYPART_ARC
(6,11),0.775376 # DEPENDENCYPART_ARC
(6,12),0.96177 # DEPENDENCYPART_ARC
(6,13),0.706203 # DEPENDENCYPART_ARC
(6,14),0.819997 # DEPENDENCYPART_ARC
(6,15),1.91459 # DEPENDENCYPART_ARC
(6,16),1.35291 # DEPENDENCYPART_ARC
(6,17),-0.0689576 # DEPENDENCYPART_ARC
(6,18),0.558264 # DEPENDENCYPART_ARC
(6,19),-0.348871 # DEPENDENCYPART_ARC
(6,20),0.399378 # DEPENDENCYPART_ARC
(6,21),-0.972332 # DEPENDENCYPART_ARC
(6,22),0.738776 # DEPENDENCYPART_ARC
(6,23),-0.530364 # DEPENDENCYPART_ARC
(6,24),-0.825483 # DEPENDENCYPART_ARC
(6,25),1.67098 # DEPENDENCYPART_ARC
(6,26),0.0192311 # DEPENDENCYPART_ARC
(7,1),-1.08033 # DEPENDENCYPART_ARC
(7,2),-1.18646 # DEPENDENCYPART_ARC
(7,3),-1.19612 # DEPENDENCYPART_ARC
(7,4),-0.150032 # DEPENDENCYPART_ARC
(7,5),0.117252 # DEPENDENCYPART_ARC
(7,6),0.51615 # DEPENDENCYPART_ARC
(7,8),3.00996 # DEPENDENCYPART_ARC
(7,9),2.76018 # DEPENDENCYPART_ARC
(7,10),2.59052 # DEPENDENCYPART_ARC
(7,11),0.752092 # DEPENDENCYPART_ARC
(7,12),-0.810347 # DEPENDENCYPART_ARC
(7,13),0.552771 # DEPENDENCYPART_ARC
(7,14),2.22486 # DEPENDENCYPART_ARC
(7,15),0.283572 # DEPENDENCYPART_ARC
(7,16),-0.42679 # DEPENDENCYPART_ARC
(7,17),-2.01298 # DEPENDENCYPART_ARC
(7,18),-0.747023 # DEPENDENCYPART_ARC
(7,19),-1.41595 # DEPENDENCYPART_ARC
(7,20),0.0165416 # DEPENDENCYPART_ARC
(7,21),-1.69829 # DEPENDENCYPART_ARC
(7,22),-2.20002 # DEPENDENCYPART_ARC
(7,23),-3.29576 # DEPENDENCYPART_ARC
(7,24),-2.56938 # DEPENDENCYPART_ARC
(7,25),-0.170055 # DEPENDENCYPART_ARC
(7,26),-0.167339 # DEPENDENCYPART_ARC
(8,1),-4.08683 # DEPENDENCYPART_ARC
(8,2),-3.57108 # DEPENDENCYPART_ARC
(8,3),-3.70292 # DEPENDENCYPART_ARC
(8,4),-3.03077 # DEPENDENCYPART_ARC
(8,5),-1.89275 # DEPENDENCYPART_ARC
(8,6),-2.74777 # DEPENDENCYPART_ARC
(8,7),-1.708 # DEPENDENCYPART_ARC
(8,9),0.917224 # DEPENDENCYPART_ARC
(8,10),0.582144 # DEPENDENCYPART_ARC
(8,11),0.0314883 # DEPENDENCYPART_ARC
(8,12),-0.664051 # DEPENDENCYPART_ARC
(8,13),-0.690768 # DEPENDENCYPART_ARC
(8,14),0.0965519 # DEPENDENCYPART_ARC
(8,15),-1.0769 # DEPENDENCYPART_ARC
(8,16),-0.979287 # DEPENDENCYPART_ARC
(8,17),-2.10911 # DEPENDENCYPART_ARC
(8,18),-1.58792 # DEPENDENCYPART_ARC
(8,19),-2.46078 # DEPENDENCYPART_ARC
(8,20),-1.22488 # DEPENDENCYPART_ARC
(8,21),-2.45162 # DEPENDENCYPART_ARC
(8,22),-2.30246 # DEPENDENCYPART_ARC
(8,23),-2.92714 # DEPENDENCYPART_ARC
(8,24),-2.927 # DEPENDENCYPART_ARC
(8,25),-0.322803 # DEPENDENCYPART_ARC
(8,26),-1.9071 # DEPENDENCYPART_ARC
(9,1),-3.26235 # DEPENDENCYPART_ARC
(9,2),-2.49351 # DEPENDENCYPART_ARC
(9,3),-3.48801 # DEPENDENCYPART_ARC
(9,4),-2.28883 # DEPENDENCYPART_ARC
(9,5),-1.53818 # DEPENDENCYPART_ARC
(9,6),-2.45107 # DEPENDENCYPART_ARC
(9,7),-1.96324 # DEPENDENCYPART_ARC
(9,8),2.53674 # DEPENDENCYPART_ARC
(9,10),0.630853 # DEPENDENCYPART_ARC
(9,11),0.954209 # DEPENDENCYPART_ARC
(9,12),-0.198367 # DEPENDENCYPART_ARC
(9,13),-0.923052 # DEPENDENCYPART_ARC
(9,14),0.0865351 # DEPENDENCYPART_ARC
(9,15),-0.99934 # DEPENDENCYPART_ARC
(9,16),-1.15049 # DEPENDENCYPART_ARC
(9,17),-1.88375 # DEPENDENCYPART_ARC
(9,18),-1.56739 # DEPENDENCYPART_ARC
(9,19),-2.15741 # DEPENDENCYPART_ARC
(9,20),-0.972724 # DEPENDENCYPART_ARC
(9,21),-2.63386 # DEPENDENCYPART_ARC
(9,22),-2.34943 # DEPENDENCYPART_ARC
(9,23),-2.51684 # DEPENDENCYPART_ARC
(9,24),-2.98122 # DEPENDENCYPART_ARC
(9,25),-0.0549149 # DEPENDENCYPART_ARC
(9,26),-1.70748 # DEPENDENCYPART_ARC
(10,1),-1.6536 # DEPENDENCYPART_ARC
(10,2),-0.971561 # DEPENDENCYPART_ARC
(10,3),-1.87747 # DEPENDENCYPART_ARC
(10,4),-1.45424 # DEPENDENCYPART_ARC
(10,5),-0.0567978 # DEPENDENCYPART_ARC
(10,6),-1.01287 # DEPENDENCYPART_ARC
(10,7),-1.13926 # DEPENDENCYPART_ARC
(10,8),3.58789 # DEPENDENCYPART_ARC
(10,9),3.06748 # DEPENDENCYPART_ARC
(10,11),2.03027 # DEPENDENCYPART_ARC
(10,12),1.5839 # DEPENDENCYPART_ARC
(10,13),-0.107224 # DEPENDENCYPART_ARC
(10,14),0.794075 # DEPENDENCYPART_ARC
(10,15),-0.531789 # DEPENDENCYPART_ARC
(10,16),-0.445783 # DEPENDENCYPART_ARC
(10,17),-0.940793 # DEPENDENCYPART_ARC
(10,18),-0.879851 # DEPENDENCYPART_ARC
(10,19),-1.2629 # DEPENDENCYPART_ARC
(10,20),-0.627562 # DEPENDENCYPART_ARC
(10,21),-1.90737 # DEPENDENCYPART_ARC
(10,22),-1.67705 # DEPENDENCYPART_ARC
(10,23),-1.63651 # DEPENDENCYPART_ARC
(10,24),-2.22222 # DEPENDENCYPART_ARC
(10,25),0.576607 # DEPENDENCYPART_ARC
(10,26),-0.925474 # DEPENDENCYPART_ARC
(11,1),-2.00144 # DEPENDENCYPART_ARC
(11,2),1.54693 # DEPENDENCYPART_ARC
(11,3),-1.3611 # DEPENDENCYPART_ARC
(11,4),-1.95951 # DEPENDENCYPART_ARC
(11,5),-0.443888 # DEPENDENCYPART_ARC
(11,6),-1.24665 # DEPENDENCYPART_ARC
(11,7),-1.59414 # DEPENDENCYPART_ARC
(11,8),4.96379 # DEPENDENCYPART_ARC
(11,9),4.1986 # DEPENDENCYPART_ARC
(11,10),4.97667 # DEPENDENCYPART_ARC
(11,12),3.60429 # DEPENDENCYPART_ARC
(11,13),-0.637961 # DEPENDENCYPART_ARC
(11,14),-0.239983 # DEPENDENCYPART_ARC
(11,15),-0.99593 # DEPENDENCYPART_ARC
(11,16),-1.22307 # DEPENDENCYPART_ARC
(11,17),-1.30085 # DEPENDENCYPART_ARC
(11,18),-1.26297 # DEPENDENCYPART_ARC
(11,19),-1.66797 # DEPENDENCYPART_ARC
(11,20),-2.34786 # DEPENDENCYPART_ARC
(11,21),-2.32964 # DEPENDENCYPART_ARC
(11,22),-2.92409 # DEPENDENCYPART_ARC
(11,23),-2.45331 # DEPENDENCYPART_ARC
(11,24),-2.54566 # DEPENDENCYPART_ARC
(11,25),-0.133511 # DEPENDENCYPART_ARC
(11,26),-1.51804 # DEPENDENCYPART_ARC
(12,1),-1.67004 # DEPENDENCYPART_ARC
(12,2),-0.350442 # DEPENDENCYPART_ARC
(12,3),-0.321073 # DEPENDENCYPART_ARC
(12,4),-1.76098 # DEPENDENCYPART_ARC
(12,5),-0.606476 # DEPENDENCYPART_ARC
(12,6),-1.59825 # DEPENDENCYPART_ARC
(12,7),-0.927483 # DEPENDENCYPART_ARC
(12,8),0.499671 # DEPENDENCYPART_ARC
(12,9),0.733127 # DEPENDENCYPART_ARC
(12,10),0.736412 # DEPENDENCYPART_ARC
(12,11),1.23343 # DEPENDENCYPART_ARC
(12,13),-0.219104 # DEPENDENCYPART_ARC
(12,14),-0.794698 # DEPENDENCYPART_ARC
(12,15),-0.584966 # DEPENDENCYPART_ARC
(12,16),-1.73502 # DEPENDENCYPART_ARC
(12,17),-1.62137 # DEPENDENCYPART_ARC
(12,18),-1.24478 # DEPENDENCYPART_ARC
(12,19),-1.74853 # DEPENDENCYPART_ARC
(12,20),-1.33548 # DEPENDENCYPART_ARC
(12,21),-2.07217 # DEPENDENCYPART_ARC
(12,22),-2.2577 # DEPENDENCYPART_ARC
(12,23),-1.86469 # DEPENDENCYPART_ARC
(12,24),-2.72882 # DEPENDENCYPART_ARC
(12,25),-1.83446 # DEPENDENCYPART_ARC
(12,26),-1.4698 # DEPENDENCYPART_ARC
(13,1),-2.52673 # DEPENDENCYPART_ARC
(13,2),-2.06364 # DEPENDENCYPART_ARC
(13,3),-1.90259 # DEPENDENCYPART_ARC
(13,4),-1.96607 # DEPENDENCYPART_ARC
(13,5),-0.892833 # DEPENDENCYPART_ARC
(13,6),-0.969014 # DEPENDENCYPART_ARC
(13,7),-2.22504 # DEPENDENCYPART_ARC
(13,8),1.89453 # DEPENDENCYPART_ARC
(13,9),1.38019 # DEPENDENCYPART_ARC
(13,10),1.39502 # DEPENDENCYPART_ARC
(13,11),2.20827 # DEPENDENCYPART_ARC
(13,12),0.621626 # DEPENDENCYPART_ARC
(13,14),1.72404 # DEPENDENCYPART_ARC
(13,15),0.380017 # DEPENDENCYPART_ARC
(13,16),0.393628 # DEPENDENCYPART_ARC
(13,17),0.0330733 # DEPENDENCYPART_ARC
(13,18),-0.147133 # DEPENDENCYPART_ARC
(13,19),-0.334926 # DEPENDENCYPART_ARC
(13,20),-0.36258 # DEPENDENCYPART_ARC
(13,21),-1.04616 # DEPENDENCYPART_ARC
(13,22),-1.00427 # DEPENDENCYPART_ARC
(13,23),-0.845406 # DEPENDENCYPART_ARC
(13,24),-1.26134 # DEPENDENCYPART_ARC
(13,25),1.36412 # DEPENDENCYPART_ARC
(13,26),-0.203574 # DEPENDENCYPART_ARC
(14,1),-0.962965 # DEPENDENCYPART_ARC
(14,2),-0.195051 # DEPENDENCYPART_ARC
(14,3),-1.61504 # DEPENDENCYPART_ARC
(14,4),-0.771848 # DEPENDENCYPART_ARC
(14,5),1.82935 # DEPENDENCYPART_ARC
(14,6),-0.377948 # DEPENDENCYPART_ARC
(14,7),-0.222735 # DEPENDENCYPART_ARC
(14,8),3.42546 # DEPENDENCYPART_ARC
(14,9),3.54185 # DEPENDENCYPART_ARC
(14,10),3.34391 # DEPENDENCYPART_ARC
(14,11),4.52347 # DEPENDENCYPART_ARC
(14,12),2.21272 # DEPENDENCYPART_ARC
(14,13),4.66998 # DEPENDENCYPART_ARC
(14,15),1.74914 # DEPENDENCYPART_ARC
(14,16),1.76945 # DEPENDENCYPART_ARC
(14,17),0.6042 # DEPENDENCYPART_ARC
(14,18),1.21611 # DEPENDENCYPART_ARC
(14,19),0.178095 # DEPENDENCYPART_ARC
(14,20),0.842632 # DEPENDENCYPART_ARC
(14,21),-0.217488 # DEPENDENCYPART_ARC
(14,22),0.640583 # DEPENDENCYPART_ARC
(14,23),-0.265142 # DEPENDENCYPART_ARC
(14,24),-0.668471 # DEPENDENCYPART_ARC
(14,25),2.27763 # DEPENDENCYPART_ARC
(14,26),0.804129 # DEPENDENCYPART_ARC
(15,1),-2.1145 # DEPENDENCYPART_ARC
(15,2),-0.665571 # DEPENDENCYPART_ARC
(15,3),-0.688162 # DEPENDENCYPART_ARC
(15,4),-0.859674 # DEPENDENCYPART_ARC
(15,5),-1.3189 # DEPENDENCYPART_ARC
(15,6),-2.25056 # DEPENDENCYPART_ARC
(15,7),-0.166884 # DEPENDENCYPART_ARC
(15,8),-0.707781 # DEPENDENCYPART_ARC
(15,9),-0.670671 # DEPENDENCYPART_ARC
(15,10),-0.777554 # DEPENDENCYPART_ARC
(15,11),-0.673245 # DEPENDENCYPART_ARC
(15,12),-0.706351 # DEPENDENCYPART_ARC
(15,13),-0.494143 # DEPENDENCYPART_ARC
(15,14),-0.714132 # DEPENDENCYPART_ARC
(15,16),-0.125838 # DEPENDENCYPART_ARC
(15,17),-0.522139 # DEPENDENCYPART_ARC
(15,18),-0.411146 # DEPENDENCYPART_ARC
(15,19),-1.02789 # DEPENDENCYPART_ARC
(15,20),-0.571677 # DEPENDENCYPART_ARC
(15,21),-1.46711 # DEPENDENCYPART_ARC
(15,22),-1.29657 # DEPENDENCYPART_ARC
(15,23),-1.146 # DEPENDENCYPART_ARC
(15,24),-1.59539 # DEPENDENCYPART_ARC
(15,25),-0.864566 # DEPENDENCYPART_ARC
(15,26),-0.859591 # DEPENDENCYPART_ARC
(16,1),-3.56689 # DEPENDENCYPART_ARC
(16,2),-3.6629 # DEPENDENCYPART_ARC
(16,3),-3.52329 # DEPENDENCYPART_ARC
(16,4),-3.14444 # DEPENDENCYPART_ARC
(16,5),-3.14366 # DEPENDENCYPART_ARC
(16,6),-3.09095 # DEPENDENCYPART_ARC
(16,7),-2.75825 # DEPENDENCYPART_ARC
(16,8),-2.885 # DEPENDENCYPART_ARC
(16,9),-2.75917 # DEPENDENCYPART_ARC
(16,10),-2.61789 # DEPENDENCYPART_ARC
(16,11),-2.54697 # DEPENDENCYPART_ARC
(16,12),-2.32197 # DEPENDENCYPART_ARC
(16,13),-1.95269 # DEPENDENCYPART_ARC
(16,14),-1.92442 # DEPENDENCYPART_ARC
(16,15),-0.940204 # DEPENDENCYPART_ARC
(16,17),-0.433279 # DEPENDENCYPART_ARC
(16,18),-0.958832 # DEPENDENCYPART_ARC
(16,19),-1.362 # DEPENDENCYPART_ARC
(16,20),-0.979658 # DEPENDENCYPART_ARC
(16,21),-2.13268 # DEPENDENCYPART_ARC
(16,22),-1.88862 # DEPENDENCYPART_ARC
(16,23),-1.68968 # DEPENDENCYPART_ARC
(16,24),-1.72026 # DEPENDENCYPART_ARC
(16,25),-1.34333 # DEPENDENCYPART_ARC
(16,26),-0.5107 # DEPENDENCYPART_ARC
(17,1),-2.45935 # DEPENDENCYPART_ARC
(17,2),-3.39406 # DEPENDENCYPART_ARC
(17,3),-3.31308 # DEPENDENCYPART_ARC
(17,4),-1.65862 # DEPENDENCYPART_ARC
(17,5),-2.66723 # DEPENDENCYPART_ARC
(17,6),-2.73946 # DEPENDENCYPART_ARC
(17,7),-1.80303 # DEPENDENCYPART_ARC
(17,8),-2.48945 # DEPENDENCYPART_ARC
(17,9),-2.37689 # DEPENDENCYPART_ARC
(17,10),-2.17163 # DEPENDENCYPART_ARC
(17,11),-1.9698 # DEPENDENCYPART_ARC
(17,12),-1.51586 # DEPENDENCYPART_ARC
(17,13),-1.49982 # DEPENDENCYPART_ARC
(17,14),-1.14147 # DEPENDENCYPART_ARC
(17,15),-0.541416 # DEPENDENCYPART_ARC
(17,16),-0.10365 # DEPENDENCYPART_ARC
(17,18),1.07943 # DEPENDENCYPART_ARC
(17,19),0.56181 # DEPENDENCYPART_ARC
(17,20),0.891 # DEPENDENCYPART_ARC
(17,21),-0.315399 # DEPENDENCYPART_ARC
(17,22),-0.115359 # DEPENDENCYPART_ARC
(17,23),-0.19741 # DEPENDENCYPART_ARC
(17,24),-1.14763 # DEPENDENCYPART_ARC
(17,25),-0.25793 # DEPENDENCYPART_ARC
(17,26),-0.395242 # DEPENDENCYPART_ARC
(18,1),-0.996271 # DEPENDENCYPART_ARC
(18,2),-0.574098 # DEPENDENCYPART_ARC
(18,3),-0.80572 # DEPENDENCYPART_ARC
(18,4),1.67374 # DEPENDENCYPART_ARC
(18,5),0.304698 # DEPENDENCYPART_ARC
(18,6),0.242171 # DEPENDENCYPART_ARC
(18,7),0.912712 # DEPENDENCYPART_ARC
(18,8),0.3701 # DEPENDENCYPART_ARC
(18,9),-0.188383 # DEPENDENCYPART_ARC
(18,10),-0.188586 # DEPENDENCYPART_ARC
(18,11),-0.0993463 # DEPENDENCYPART_ARC
(18,12),0.138094 # DEPENDENCYPART_ARC
(18,13),-0.000533653 # DEPENDENCYPART_ARC
(18,14),0.419072 # DEPENDENCYPART_ARC
(18,15),1.58903 # DEPENDENCYPART_ARC
(18,16),1.56072 # DEPENDENCYPART_ARC
(18,17),3.82863 # DEPENDENCYPART_ARC
(18,19),3.21535 # DEPENDENCYPART_ARC
(18,20),2.17644 # DEPENDENCYPART_ARC
(18,21),0.846119 # DEPENDENCYPART_ARC
(18,22),0.978069 # DEPENDENCYPART_ARC
(18,23),2.11769 # DEPENDENCYPART_ARC
(18,24),0.890124 # DEPENDENCYPART_ARC
(18,25),3.34456 # DEPENDENCYPART_ARC
(18,26),3.03837 # DEPENDENCYPART_ARC
(19,1),-2.203 # DEPENDENCYPART_ARC
(19,2),-2.725 # DEPENDENCYPART_ARC
(19,3),-2.6821 # DEPENDENCYPART_ARC
(19,4),-1.62629 # DEPENDENCYPART_ARC
(19,5),-1.63737 # DEPENDENCYPART_ARC
(19,6),-2.65131 # DEPENDENCYPART_ARC
(19,7),-1.74961 # DEPENDENCYPART_ARC
(19,8),-2.10858 # DEPENDENCYPART_ARC
(19,9),-1.87169 # DEPENDENCYPART_ARC
(19,10),-1.78503 # DEPENDENCYPART_ARC
(19,11),-1.69565 # DEPENDENCYPART_ARC
(19,12),-1.5639 # DEPENDENCYPART_ARC
(19,13),-1.3706 # DEPENDENCYPART_ARC
(19,14),-1.45711 # DEPENDENCYPART_ARC
(19,15),-0.705731 # DEPENDENCYPART_ARC
(19,16),-0.688037 # DEPENDENCYPART_ARC
(19,17),-0.0474414 # DEPENDENCYPART_ARC
(19,18),0.0347276 # DEPENDENCYPART_ARC
(19,20),1.47753 # DEPENDENCYPART_ARC
(19,21),0.286308 # DEPENDENCYPART_ARC
(19,22),0.438258 # DEPENDENCYPART_ARC
(19,23),-0.0230358 # DEPENDENCYPART_ARC
(19,24),-0.865193 # DEPENDENCYPART_ARC
(19,25),-0.00103134 # DEPENDENCYPART_ARC
(19,26),-0.177327 # DEPENDENCYPART_ARC
(20,1),-3.66657 # DEPENDENCYPART_ARC
(20,2),-3.98397 # DEPENDENCYPART_ARC
(20,3),-3.98724 # DEPENDENCYPART_ARC
(20,4),-2.25869 # DEPENDENCYPART_ARC
(20,5),-3.1579 # DEPENDENCYPART_ARC
(20,6),-3.56749 # DEPENDENCYPART_ARC
(20,7),-3.06117 # DEPENDENCYPART_ARC
(20,8),-3.40664 # DEPENDENCYPART_ARC
