# _root_ The offer , which also includes common and preferred stock purchase rights , was to expire last night at midnight .
#goldHeads=2,14,2,6,6,2,12,7,8,12,12,6,2,0,14,15,18,16,16,19,14,
#predictedHeads=2,14,2,6,6,2,12,7,8,12,12,2,2,0,14,15,18,16,16,19,14,
(9,20),-1.97717 # DEPENDENCYPART_ARC
(9,21),1.18738 # DEPENDENCYPART_ARC
(10,1),-0.19311 # DEPENDENCYPART_ARC
(10,2),-1.57725 # DEPENDENCYPART_ARC
(10,3),-1.23144 # DEPENDENCYPART_ARC
(10,4),-1.09536 # DEPENDENCYPART_ARC
(10,5),-1.03971 # DEPENDENCYPART_ARC
(10,6),-1.09707 # DEPENDENCYPART_ARC
(10,7),1.13534 # DEPENDENCYPART_ARC
(10,8),-0.394278 # DEPENDENCYPART_ARC
(10,9),2.19742 # DEPENDENCYPART_ARC
(10,11),0.604606 # DEPENDENCYPART_ARC
(10,12),0.207582 # DEPENDENCYPART_ARC
(10,13),0.174393 # DEPENDENCYPART_ARC
(10,14),-0.371087 # DEPENDENCYPART_ARC
(10,15),-1.01192 # DEPENDENCYPART_ARC
(10,16),-1.31313 # DEPENDENCYPART_ARC
(10,17),-1.6929 # DEPENDENCYPART_ARC
(10,18),-1.58039 # DEPENDENCYPART_ARC
(10,19),-2.42949 # DEPENDENCYPART_ARC
(10,20),-2.304 # DEPENDENCYPART_ARC
(10,21),-0.233474 # DEPENDENCYPART_ARC
(11,1),-0.31859 # DEPENDENCYPART_ARC
(11,2),-1.95632 # DEPENDENCYPART_ARC
(11,3),-1.68269 # DEPENDENCYPART_ARC
(11,4),-1.18153 # DEPENDENCYPART_ARC
(11,5),-1.97341 # DEPENDENCYPART_ARC
(11,6),-1.23916 # DEPENDENCYPART_ARC
(11,7),0.845465 # DEPENDENCYPART_ARC
(11,8),-1.10635 # DEPENDENCYPART_ARC
(11,9),1.99374 # DEPENDENCYPART_ARC
(11,10),2.38634 # DEPENDENCYPART_ARC
(11,12),1.02264 # DEPENDENCYPART_ARC
(11,13),0.14239 # DEPENDENCYPART_ARC
(11,14),-0.174359 # DEPENDENCYPART_ARC
(11,15),-0.67166 # DEPENDENCYPART_ARC
(11,16),-1.04641 # DEPENDENCYPART_ARC
(11,17),-1.67976 # DEPENDENCYPART_ARC
(11,18),-1.19555 # DEPENDENCYPART_ARC
(11,19),-2.03841 # DEPENDENCYPART_ARC
(11,20),-2.38854 # DEPENDENCYPART_ARC
(11,21),-0.592774 # DEPENDENCYPART_ARC
(12,1),1.04206 # DEPENDENCYPART_ARC
(12,2),0.124768 # DEPENDENCYPART_ARC
(12,3),-0.486795 # DEPENDENCYPART_ARC
(12,4),0.154001 # DEPENDENCYPART_ARC
(12,5),-0.0787854 # DEPENDENCYPART_ARC
(12,6),0.242467 # DEPENDENCYPART_ARC
(12,7),2.67558 # DEPENDENCYPART_ARC
(12,8),0.262577 # DEPENDENCYPART_ARC
(12,9),3.45613 # DEPENDENCYPART_ARC
(12,10),4.57051 # DEPENDENCYPART_ARC
(12,11),4.76373 # DEPENDENCYPART_ARC
(12,13),1.07179 # DEPENDENCYPART_ARC
(12,14),0.280312 # DEPENDENCYPART_ARC
(12,15),1.05483 # DEPENDENCYPART_ARC
(12,16),-0.323154 # DEPENDENCYPART_ARC
(12,17),-0.860158 # DEPENDENCYPART_ARC
(12,18),-0.503218 # DEPENDENCYPART_ARC
(12,19),-0.597377 # DEPENDENCYPART_ARC
(12,20),-0.839306 # DEPENDENCYPART_ARC
(12,21),-0.0388567 # DEPENDENCYPART_ARC
(13,1),-1.82769 # DEPENDENCYPART_ARC
(13,2),-1.8147 # DEPENDENCYPART_ARC
(13,3),-0.362235 # DEPENDENCYPART_ARC
(13,4),-1.23549 # DEPENDENCYPART_ARC
(13,5),-2.1695 # DEPENDENCYPART_ARC
(13,6),-1.50341 # DEPENDENCYPART_ARC
(13,7),-1.40245 # DEPENDENCYPART_ARC
(13,8),-1.7498 # DEPENDENCYPART_ARC
(13,9),-0.910895 # DEPENDENCYPART_ARC
(13,10),-0.756985 # DEPENDENCYPART_ARC
(13,11),-1.18497 # DEPENDENCYPART_ARC
(13,12),-0.86537 # DEPENDENCYPART_ARC
(13,14),-0.692891 # DEPENDENCYPART_ARC
(13,15),-1.84188 # DEPENDENCYPART_ARC
(13,16),-1.72361 # DEPENDENCYPART_ARC
(13,17),-2.40489 # DEPENDENCYPART_ARC
(13,18),-2.81192 # DEPENDENCYPART_ARC
(13,19),-2.28306 # DEPENDENCYPART_ARC
(13,20),-3.12553 # DEPENDENCYPART_ARC
(13,21),-2.37483 # DEPENDENCYPART_ARC
(14,1),-1.68909 # DEPENDENCYPART_ARC
(14,2),1.84975 # DEPENDENCYPART_ARC
(14,3),0.0604727 # DEPENDENCYPART_ARC
(14,4),0.813418 # DEPENDENCYPART_ARC
(14,5),0.900241 # DEPENDENCYPART_ARC
(14,6),-0.236032 # DEPENDENCYPART_ARC
(14,7),0.188135 # DEPENDENCYPART_ARC
(14,8),0.000760348 # DEPENDENCYPART_ARC
(14,9),0.294671 # DEPENDENCYPART_ARC
(14,10),1.12261 # DEPENDENCYPART_ARC
(14,11),1.31009 # DEPENDENCYPART_ARC
(14,12),0.436055 # DEPENDENCYPART_ARC
(14,13),2.13675 # DEPENDENCYPART_ARC
(14,15),3.5176 # DEPENDENCYPART_ARC
(14,16),1.57184 # DEPENDENCYPART_ARC
(14,17),0.615296 # DEPENDENCYPART_ARC
(14,18),1.66241 # DEPENDENCYPART_ARC
(14,19),0.989531 # DEPENDENCYPART_ARC
(14,20),-0.689485 # DEPENDENCYPART_ARC
(14,21),4.79642 # DEPENDENCYPART_ARC
(15,1),-1.85395 # DEPENDENCYPART_ARC
(15,2),-2.19015 # DEPENDENCYPART_ARC
(15,3),-1.33376 # DEPENDENCYPART_ARC
(15,4),-1.26754 # DEPENDENCYPART_ARC
(15,5),-2.18292 # DEPENDENCYPART_ARC
(15,6),-1.03384 # DEPENDENCYPART_ARC
(15,7),-1.18114 # DEPENDENCYPART_ARC
(15,8),-1.182 # DEPENDENCYPART_ARC
(15,9),-1.13277 # DEPENDENCYPART_ARC
(15,10),-0.703497 # DEPENDENCYPART_ARC
(15,11),-0.426032 # DEPENDENCYPART_ARC
(15,12),-0.206365 # DEPENDENCYPART_ARC
(15,13),0.0873094 # DEPENDENCYPART_ARC
(15,14),0.975404 # DEPENDENCYPART_ARC
(15,16),3.58694 # DEPENDENCYPART_ARC
(15,17),0.746473 # DEPENDENCYPART_ARC
(15,18),0.764374 # DEPENDENCYPART_ARC
(15,19),0.92306 # DEPENDENCYPART_ARC
(15,20),-0.209027 # DEPENDENCYPART_ARC
(15,21),0.544794 # DEPENDENCYPART_ARC
(16,1),-0.881043 # DEPENDENCYPART_ARC
(16,2),-1.20029 # DEPENDENCYPART_ARC
(16,3),0.528897 # DEPENDENCYPART_ARC
(16,4),1.00641 # DEPENDENCYPART_ARC
(16,5),-0.552856 # DEPENDENCYPART_ARC
(16,6),-0.473258 # DEPENDENCYPART_ARC
(16,7),0.0919724 # DEPENDENCYPART_ARC
(16,8),-0.593155 # DEPENDENCYPART_ARC
(16,9),-0.235715 # DEPENDENCYPART_ARC
(16,10),0.223179 # DEPENDENCYPART_ARC
(16,11),0.290665 # DEPENDENCYPART_ARC
(16,12),0.151619 # DEPENDENCYPART_ARC
(16,13),0.418586 # DEPENDENCYPART_ARC
(16,14),0.422187 # DEPENDENCYPART_ARC
(16,15),1.56682 # DEPENDENCYPART_ARC
(16,17),1.46559 # DEPENDENCYPART_ARC
(16,18),2.91574 # DEPENDENCYPART_ARC
(16,19),2.67932 # DEPENDENCYPART_ARC
(16,20),1.10447 # DEPENDENCYPART_ARC
(16,21),0.281547 # DEPENDENCYPART_ARC
(17,1),-2.92421 # DEPENDENCYPART_ARC
(17,2),-3.19147 # DEPENDENCYPART_ARC
(17,3),-3.11152 # DEPENDENCYPART_ARC
(17,4),-2.19228 # DEPENDENCYPART_ARC
(17,5),-4.35012 # DEPENDENCYPART_ARC
(17,6),-3.01845 # DEPENDENCYPART_ARC
(17,7),-2.04371 # DEPENDENCYPART_ARC
(17,8),-3.02717 # DEPENDENCYPART_ARC
(17,9),-2.64385 # DEPENDENCYPART_ARC
(17,10),-2.22977 # DEPENDENCYPART_ARC
(17,11),-2.22588 # DEPENDENCYPART_ARC
(17,12),-2.09782 # DEPENDENCYPART_ARC
(17,13),-1.56666 # DEPENDENCYPART_ARC
(17,14),-1.95636 # DEPENDENCYPART_ARC
(17,15),-0.715939 # DEPENDENCYPART_ARC
(17,16),0.107686 # DEPENDENCYPART_ARC
(17,18),0.955235 # DEPENDENCYPART_ARC
(17,19),-0.417632 # DEPENDENCYPART_ARC
(17,20),-0.827351 # DEPENDENCYPART_ARC
(17,21),-0.483395 # DEPENDENCYPART_ARC
(18,1),-3.99097 # DEPENDENCYPART_ARC
(18,2),-4.68183 # DEPENDENCYPART_ARC
(18,3),-3.41832 # DEPENDENCYPART_ARC
(18,4),-3.12447 # DEPENDENCYPART_ARC
(18,5),-4.88279 # DEPENDENCYPART_ARC
(18,6),-3.34343 # DEPENDENCYPART_ARC
(18,7),-2.0897 # DEPENDENCYPART_ARC
(18,8),-3.3427 # DEPENDENCYPART_ARC
(18,9),-1.30284 # DEPENDENCYPART_ARC
(18,10),-2.20427 # DEPENDENCYPART_ARC
(18,11),-3.02818 # DEPENDENCYPART_ARC
(18,12),-2.5334 # DEPENDENCYPART_ARC
(18,13),-2.30924 # DEPENDENCYPART_ARC
(18,14),-0.866755 # DEPENDENCYPART_ARC
(18,15),-1.71861 # DEPENDENCYPART_ARC
(18,16),-0.375889 # DEPENDENCYPART_ARC
(18,17),3.34275 # DEPENDENCYPART_ARC
(18,19),1.34701 # DEPENDENCYPART_ARC
(18,20),-0.00148312 # DEPENDENCYPART_ARC
(18,21),-0.143619 # DEPENDENCYPART_ARC
(19,1),-2.42844 # DEPENDENCYPART_ARC
(19,2),-3.03769 # DEPENDENCYPART_ARC
(19,3),-1.69888 # DEPENDENCYPART_ARC
(19,4),-0.343677 # DEPENDENCYPART_ARC
(19,5),-2.11462 # DEPENDENCYPART_ARC
(19,6),-1.63931 # DEPENDENCYPART_ARC
(19,7),-1.59517 # DEPENDENCYPART_ARC
(19,8),-1.74895 # DEPENDENCYPART_ARC
(19,9),-1.01919 # DEPENDENCYPART_ARC
(19,10),-1.59956 # DEPENDENCYPART_ARC
(19,11),-1.84323 # DEPENDENCYPART_ARC
(19,12),-1.20996 # DEPENDENCYPART_ARC
(19,13),-0.508694 # DEPENDENCYPART_ARC
(19,14),-0.975348 # DEPENDENCYPART_ARC
(19,15),-0.569537 # DEPENDENCYPART_ARC
(19,16),-0.204882 # DEPENDENCYPART_ARC
(19,17),-0.145392 # DEPENDENCYPART_ARC
(19,18),-0.0460099 # DEPENDENCYPART_ARC
(19,20),4.80176 # DEPENDENCYPART_ARC
(19,21),-0.28529 # DEPENDENCYPART_ARC
(20,1),-4.21314 # DEPENDENCYPART_ARC
(20,2),-4.39287 # DEPENDENCYPART_ARC
(20,3),-2.92362 # DEPENDENCYPART_ARC
(20,4),-2.66333 # DEPENDENCYPART_ARC
(20,5),-4.92123 # DEPENDENCYPART_ARC
(20,6),-2.84095 # DEPENDENCYPART_ARC
(20,7),-2.43014 # DEPENDENCYPART_ARC
(20,8),-2.91572 # DEPENDENCYPART_ARC
(20,9),-1.24556 # DEPENDENCYPART_ARC
(20,10),-2.18036 # DEPENDENCYPART_ARC
(20,11),-2.83449 # DEPENDENCYPART_ARC
(20,12),-2.25617 # DEPENDENCYPART_ARC
(20,13),-1.97087 # DEPENDENCYPART_ARC
(20,14),-1.03169 # DEPENDENCYPART_ARC
(20,15),-2.0157 # DEPENDENCYPART_ARC
(20,16),-0.927077 # DEPENDENCYPART_ARC
(20,17),1.15979 # DEPENDENCYPART_ARC
(20,18),0.0187641 # DEPENDENCYPART_ARC
(20,19),1.34857 # DEPENDENCYPART_ARC
(20,21),-0.408529 # DEPENDENCYPART_ARC
(21,1),-2.47416 # DEPENDENCYPART_ARC
(21,2),-2.48734 # DEPENDENCYPART_ARC
(21,3),-1.52702 # DEPENDENCYPART_ARC
(21,4),-1.75405 # DEPENDENCYPART_ARC
(21,5),-2.28608 # DEPENDENCYPART_ARC
(21,6),-1.91345 # DEPENDENCYPART_ARC
(21,7),-2.27998 # DEPENDENCYPART_ARC
(21,8),-1.80213 # DEPENDENCYPART_ARC
(21,9),-1.45701 # DEPENDENCYPART_ARC
(21,10),-1.72797 # DEPENDENCYPART_ARC
(21,11),-1.79723 # DEPENDENCYPART_ARC
(21,12),-1.72192 # DEPENDENCYPART_ARC
(21,13),-0.755348 # DEPENDENCYPART_ARC
(21,14),-0.712044 # DEPENDENCYPART_ARC
(21,15),-1.20165 # DEPENDENCYPART_ARC
(21,16),-1.51719 # DEPENDENCYPART_ARC
(21,17),-1.31724 # DEPENDENCYPART_ARC
(21,18),-0.937773 # DEPENDENCYPART_ARC
(21,19),-1.47982 # DEPENDENCYPART_ARC
(21,20),-1.52942 # DEPENDENCYPART_ARC
