# _root_ Mr. Freund , former chief economist of the New York Stock Exchange , is a professor of economics at Pace University 's business school in New York .
#goldHeads=2,14,2,6,6,2,6,12,12,12,12,7,2,0,16,14,16,17,16,21,24,21,24,19,24,27,25,14,
#predictedHeads=2,14,2,6,6,2,6,12,12,12,12,7,2,0,16,14,16,17,16,21,24,21,24,19,24,27,25,14,
(2,23),-2.53039 # DEPENDENCYPART_ARC
(2,24),-1.57731 # DEPENDENCYPART_ARC
(2,25),-2.33573 # DEPENDENCYPART_ARC
(2,26),-3.51059 # DEPENDENCYPART_ARC
(2,27),-1.59408 # DEPENDENCYPART_ARC
(2,28),0.765793 # DEPENDENCYPART_ARC
(3,1),-1.71074 # DEPENDENCYPART_ARC
(3,2),-1.15002 # DEPENDENCYPART_ARC
(3,4),-0.339478 # DEPENDENCYPART_ARC
(3,5),-0.928826 # DEPENDENCYPART_ARC
(3,6),-1.63516 # DEPENDENCYPART_ARC
(3,7),-1.31469 # DEPENDENCYPART_ARC
(3,8),-1.94125 # DEPENDENCYPART_ARC
(3,9),-1.92405 # DEPENDENCYPART_ARC
(3,10),-2.05447 # DEPENDENCYPART_ARC
(3,11),-2.20532 # DEPENDENCYPART_ARC
(3,12),-2.30879 # DEPENDENCYPART_ARC
(3,13),-0.857829 # DEPENDENCYPART_ARC
(3,14),-1.95951 # DEPENDENCYPART_ARC
(3,15),-2.64093 # DEPENDENCYPART_ARC
(3,16),-3.18248 # DEPENDENCYPART_ARC
(3,17),-2.19305 # DEPENDENCYPART_ARC
(3,18),-3.15197 # DEPENDENCYPART_ARC
(3,19),-2.34711 # DEPENDENCYPART_ARC
(3,20),-3.15442 # DEPENDENCYPART_ARC
(3,21),-3.298 # DEPENDENCYPART_ARC
(3,22),-3.24907 # DEPENDENCYPART_ARC
(3,23),-3.7865 # DEPENDENCYPART_ARC
(3,24),-3.88875 # DEPENDENCYPART_ARC
(3,25),-3.01328 # DEPENDENCYPART_ARC
(3,26),-3.82473 # DEPENDENCYPART_ARC
(3,27),-3.95912 # DEPENDENCYPART_ARC
(3,28),-2.99478 # DEPENDENCYPART_ARC
(4,1),0.903967 # DEPENDENCYPART_ARC
(4,2),0.426183 # DEPENDENCYPART_ARC
(4,3),0.573753 # DEPENDENCYPART_ARC
(4,5),1.13741 # DEPENDENCYPART_ARC
(4,6),0.881513 # DEPENDENCYPART_ARC
(4,7),0.746843 # DEPENDENCYPART_ARC
(4,8),-1.04856 # DEPENDENCYPART_ARC
(4,9),-0.196205 # DEPENDENCYPART_ARC
(4,10),-0.718369 # DEPENDENCYPART_ARC
(4,11),-0.762035 # DEPENDENCYPART_ARC
(4,12),-0.75011 # DEPENDENCYPART_ARC
(4,13),-0.144016 # DEPENDENCYPART_ARC
(4,14),-0.774801 # DEPENDENCYPART_ARC
(4,15),-1.51105 # DEPENDENCYPART_ARC
(4,16),-1.20895 # DEPENDENCYPART_ARC
(4,17),-1.5439 # DEPENDENCYPART_ARC
(4,18),-1.17346 # DEPENDENCYPART_ARC
(4,19),-0.757958 # DEPENDENCYPART_ARC
(4,20),-1.74929 # DEPENDENCYPART_ARC
(4,21),-1.83173 # DEPENDENCYPART_ARC
(4,22),-1.64827 # DEPENDENCYPART_ARC
(4,23),-1.69608 # DEPENDENCYPART_ARC
(4,24),-2.03556 # DEPENDENCYPART_ARC
(4,25),-2.63022 # DEPENDENCYPART_ARC
(4,26),-2.13597 # DEPENDENCYPART_ARC
(4,27),-2.50363 # DEPENDENCYPART_ARC
(4,28),-0.522019 # DEPENDENCYPART_ARC
(5,1),-0.311055 # DEPENDENCYPART_ARC
(5,2),-0.685338 # DEPENDENCYPART_ARC
(5,3),-0.204067 # DEPENDENCYPART_ARC
(5,4),1.1809 # DEPENDENCYPART_ARC
(5,6),1.41176 # DEPENDENCYPART_ARC
(5,7),0.510691 # DEPENDENCYPART_ARC
(5,8),-0.9263 # DEPENDENCYPART_ARC
(5,9),-0.371727 # DEPENDENCYPART_ARC
(5,10),-0.595037 # DEPENDENCYPART_ARC
(5,11),-1.01307 # DEPENDENCYPART_ARC
(5,12),-1.02845 # DEPENDENCYPART_ARC
(5,13),-0.326871 # DEPENDENCYPART_ARC
(5,14),-0.953855 # DEPENDENCYPART_ARC
(5,15),-1.53916 # DEPENDENCYPART_ARC
(5,16),-1.14766 # DEPENDENCYPART_ARC
(5,17),-1.65913 # DEPENDENCYPART_ARC
(5,18),-1.20104 # DEPENDENCYPART_ARC
(5,19),-0.227186 # DEPENDENCYPART_ARC
(5,20),-2.15162 # DEPENDENCYPART_ARC
(5,21),-2.24357 # DEPENDENCYPART_ARC
(5,22),-1.69094 # DEPENDENCYPART_ARC
(5,23),-1.70661 # DEPENDENCYPART_ARC
(5,24),-2.09887 # DEPENDENCYPART_ARC
(5,25),-2.09391 # DEPENDENCYPART_ARC
(5,26),-2.59609 # DEPENDENCYPART_ARC
(5,27),-3.08738 # DEPENDENCYPART_ARC
(5,28),-0.286609 # DEPENDENCYPART_ARC
(6,1),1.33443 # DEPENDENCYPART_ARC
(6,2),0.458689 # DEPENDENCYPART_ARC
(6,3),0.630122 # DEPENDENCYPART_ARC
(6,4),3.51235 # DEPENDENCYPART_ARC
(6,5),4.49652 # DEPENDENCYPART_ARC
(6,7),3.47422 # DEPENDENCYPART_ARC
(6,8),0.443351 # DEPENDENCYPART_ARC
(6,9),0.537904 # DEPENDENCYPART_ARC
(6,10),0.735044 # DEPENDENCYPART_ARC
(6,11),0.737391 # DEPENDENCYPART_ARC
(6,12),1.26475 # DEPENDENCYPART_ARC
(6,13),1.71219 # DEPENDENCYPART_ARC
(6,14),-0.0374225 # DEPENDENCYPART_ARC
(6,15),-0.404093 # DEPENDENCYPART_ARC
(6,16),0.151641 # DEPENDENCYPART_ARC
(6,17),-1.34723 # DEPENDENCYPART_ARC
(6,18),-0.44297 # DEPENDENCYPART_ARC
(6,19),-0.0110105 # DEPENDENCYPART_ARC
(6,20),-0.935457 # DEPENDENCYPART_ARC
(6,21),-0.589798 # DEPENDENCYPART_ARC
(6,22),-1.648 # DEPENDENCYPART_ARC
(6,23),-0.941083 # DEPENDENCYPART_ARC
(6,24),-0.876994 # DEPENDENCYPART_ARC
(6,25),-1.16205 # DEPENDENCYPART_ARC
(6,26),-1.5102 # DEPENDENCYPART_ARC
(6,27),-1.6657 # DEPENDENCYPART_ARC
(6,28),0.819125 # DEPENDENCYPART_ARC
(7,1),-0.872104 # DEPENDENCYPART_ARC
(7,2),-1.05745 # DEPENDENCYPART_ARC
(7,3),-0.980217 # DEPENDENCYPART_ARC
(7,4),-0.424862 # DEPENDENCYPART_ARC
(7,5),-0.536942 # DEPENDENCYPART_ARC
(7,6),0.0187181 # DEPENDENCYPART_ARC
(7,8),0.626764 # DEPENDENCYPART_ARC
(7,9),1.33394 # DEPENDENCYPART_ARC
(7,10),2.1105 # DEPENDENCYPART_ARC
(7,11),2.18025 # DEPENDENCYPART_ARC
(7,12),3.0232 # DEPENDENCYPART_ARC
(7,13),0.796334 # DEPENDENCYPART_ARC
(7,14),-1.33561 # DEPENDENCYPART_ARC
(7,15),-2.38199 # DEPENDENCYPART_ARC
(7,16),-0.710442 # DEPENDENCYPART_ARC
(7,17),-1.20646 # DEPENDENCYPART_ARC
(7,18),-2.37416 # DEPENDENCYPART_ARC
(7,19),-1.83154 # DEPENDENCYPART_ARC
(7,20),-4.20975 # DEPENDENCYPART_ARC
(7,21),-4.27088 # DEPENDENCYPART_ARC
(7,22),-2.0132 # DEPENDENCYPART_ARC
(7,23),-3.4504 # DEPENDENCYPART_ARC
(7,24),-2.25096 # DEPENDENCYPART_ARC
(7,25),-2.62927 # DEPENDENCYPART_ARC
(7,26),-6.69652 # DEPENDENCYPART_ARC
(7,27),-4.93315 # DEPENDENCYPART_ARC
(7,28),-3.04565 # DEPENDENCYPART_ARC
(8,1),-2.79513 # DEPENDENCYPART_ARC
(8,2),-2.64144 # DEPENDENCYPART_ARC
(8,3),-2.26781 # DEPENDENCYPART_ARC
(8,4),-2.08007 # DEPENDENCYPART_ARC
(8,5),-1.73617 # DEPENDENCYPART_ARC
(8,6),-2.12108 # DEPENDENCYPART_ARC
(8,7),-0.908445 # DEPENDENCYPART_ARC
(8,9),-0.640076 # DEPENDENCYPART_ARC
(8,10),-0.997023 # DEPENDENCYPART_ARC
(8,11),-1.15055 # DEPENDENCYPART_ARC
(8,12),-1.29597 # DEPENDENCYPART_ARC
(8,13),-1.20843 # DEPENDENCYPART_ARC
(8,14),-1.21397 # DEPENDENCYPART_ARC
(8,15),-2.32733 # DEPENDENCYPART_ARC
(8,16),-1.59975 # DEPENDENCYPART_ARC
(8,17),-1.84634 # DEPENDENCYPART_ARC
(8,18),-1.99881 # DEPENDENCYPART_ARC
(8,19),-2.87146 # DEPENDENCYPART_ARC
(8,20),-2.7521 # DEPENDENCYPART_ARC
(8,21),-2.74613 # DEPENDENCYPART_ARC
(8,22),-3.15713 # DEPENDENCYPART_ARC
(8,23),-2.39433 # DEPENDENCYPART_ARC
(8,24),-2.4626 # DEPENDENCYPART_ARC
(8,25),-3.71404 # DEPENDENCYPART_ARC
(8,26),-3.28768 # DEPENDENCYPART_ARC
(8,27),-3.32105 # DEPENDENCYPART_ARC
(8,28),-3.21794 # DEPENDENCYPART_ARC
(9,1),-3.2298 # DEPENDENCYPART_ARC
(9,2),-4.13877 # DEPENDENCYPART_ARC
(9,3),-2.4915 # DEPENDENCYPART_ARC
(9,4),-1.69186 # DEPENDENCYPART_ARC
(9,5),-1.27675 # DEPENDENCYPART_ARC
(9,6),-2.79472 # DEPENDENCYPART_ARC
(9,7),-1.69613 # DEPENDENCYPART_ARC
(9,8),1.45117 # DEPENDENCYPART_ARC
(9,10),0.471157 # DEPENDENCYPART_ARC
(9,11),0.160953 # DEPENDENCYPART_ARC
(9,12),-0.172004 # DEPENDENCYPART_ARC
(9,13),-0.0995118 # DEPENDENCYPART_ARC
(9,14),-1.55242 # DEPENDENCYPART_ARC
(9,15),-1.5339 # DEPENDENCYPART_ARC
(9,16),-0.767623 # DEPENDENCYPART_ARC
(9,17),-1.74463 # DEPENDENCYPART_ARC
(9,18),-2.19089 # DEPENDENCYPART_ARC
(9,19),-1.90368 # DEPENDENCYPART_ARC
(9,20),-3.23738 # DEPENDENCYPART_ARC
(9,21),-3.22798 # DEPENDENCYPART_ARC
(9,22),-2.40426 # DEPENDENCYPART_ARC
(9,23),-3.61919 # DEPENDENCYPART_ARC
(9,24),-3.25913 # DEPENDENCYPART_ARC
(9,25),-2.99962 # DEPENDENCYPART_ARC
(9,26),-4.23803 # DEPENDENCYPART_ARC
(9,27),-3.051 # DEPENDENCYPART_ARC
(9,28),-1.94119 # DEPENDENCYPART_ARC
(10,1),-3.01968 # DEPENDENCYPART_ARC
(10,2),-3.90585 # DEPENDENCYPART_ARC
(10,3),-1.99736 # DEPENDENCYPART_ARC
(10,4),-1.55312 # DEPENDENCYPART_ARC
(10,5),-0.583567 # DEPENDENCYPART_ARC
(10,6),-2.85366 # DEPENDENCYPART_ARC
(10,7),-1.8007 # DEPENDENCYPART_ARC
(10,8),1.576 # DEPENDENCYPART_ARC
(10,9),1.85329 # DEPENDENCYPART_ARC
(10,11),0.0767234 # DEPENDENCYPART_ARC
(10,12),0.593854 # DEPENDENCYPART_ARC
(10,13),-0.000508252 # DEPENDENCYPART_ARC
(10,14),-1.82988 # DEPENDENCYPART_ARC
(10,15),-2.43807 # DEPENDENCYPART_ARC
(10,16),-1.62727 # DEPENDENCYPART_ARC
(10,17),-2.89003 # DEPENDENCYPART_ARC
(10,18),-2.61846 # DEPENDENCYPART_ARC
(10,19),-2.87998 # DEPENDENCYPART_ARC
(10,20),-3.54602 # DEPENDENCYPART_ARC
(10,21),-3.54569 # DEPENDENCYPART_ARC
(10,22),-3.17464 # DEPENDENCYPART_ARC
(10,23),-4.78946 # DEPENDENCYPART_ARC
(10,24),-4.14906 # DEPENDENCYPART_ARC
(10,25),-3.88299 # DEPENDENCYPART_ARC
(10,26),-4.54559 # DEPENDENCYPART_ARC
(10,27),-3.14505 # DEPENDENCYPART_ARC
(10,28),-0.817595 # DEPENDENCYPART_ARC
(11,1),-1.51789 # DEPENDENCYPART_ARC
(11,2),-2.23719 # DEPENDENCYPART_ARC
(11,3),-1.08771 # DEPENDENCYPART_ARC
(11,4),-0.177655 # DEPENDENCYPART_ARC
(11,5),0.114416 # DEPENDENCYPART_ARC
(11,6),-2.01736 # DEPENDENCYPART_ARC
(11,7),-1.40472 # DEPENDENCYPART_ARC
(11,8),1.87124 # DEPENDENCYPART_ARC
(11,9),2.27347 # DEPENDENCYPART_ARC
(11,10),2.28701 # DEPENDENCYPART_ARC
(11,12),1.55026 # DEPENDENCYPART_ARC
(11,13),0.979417 # DEPENDENCYPART_ARC
(11,14),-0.413096 # DEPENDENCYPART_ARC
(11,15),-1.27265 # DEPENDENCYPART_ARC
(11,16),-0.247582 # DEPENDENCYPART_ARC
(11,17),-1.83434 # DEPENDENCYPART_ARC
(11,18),-1.50831 # DEPENDENCYPART_ARC
(11,19),-1.89052 # DEPENDENCYPART_ARC
(11,20),-2.08748 # DEPENDENCYPART_ARC
(11,21),-2.17352 # DEPENDENCYPART_ARC
(11,22),-1.61767 # DEPENDENCYPART_ARC
(11,23),-3.29846 # DEPENDENCYPART_ARC
(11,24),-2.68349 # DEPENDENCYPART_ARC
(11,25),-2.54176 # DEPENDENCYPART_ARC
(11,26),-2.74284 # DEPENDENCYPART_ARC
(11,27),-1.48498 # DEPENDENCYPART_ARC
(11,28),0.340168 # DEPENDENCYPART_ARC
(12,1),-0.605697 # DEPENDENCYPART_ARC
(12,2),-0.650466 # DEPENDENCYPART_ARC
(12,3),-0.0167439 # DEPENDENCYPART_ARC
(12,4),1.54042 # DEPENDENCYPART_ARC
(12,5),1.86048 # DEPENDENCYPART_ARC
(12,6),-1.17568 # DEPENDENCYPART_ARC
(12,7),0.124443 # DEPENDENCYPART_ARC
(12,8),4.12039 # DEPENDENCYPART_ARC
(12,9),4.67543 # DEPENDENCYPART_ARC
(12,10),4.51125 # DEPENDENCYPART_ARC
(12,11),4.57883 # DEPENDENCYPART_ARC
(12,13),0.466421 # DEPENDENCYPART_ARC
(12,14),-0.547118 # DEPENDENCYPART_ARC
(12,15),-1.43533 # DEPENDENCYPART_ARC
(12,16),-0.359782 # DEPENDENCYPART_ARC
(12,17),-1.53003 # DEPENDENCYPART_ARC
(12,18),-1.97611 # DEPENDENCYPART_ARC
(12,19),-2.04776 # DEPENDENCYPART_ARC
(12,20),-2.91106 # DEPENDENCYPART_ARC
(12,21),-2.32681 # DEPENDENCYPART_ARC
(12,22),-1.33424 # DEPENDENCYPART_ARC
(12,23),-2.90403 # DEPENDENCYPART_ARC
(12,24),-2.11939 # DEPENDENCYPART_ARC
(12,25),-3.63519 # DEPENDENCYPART_ARC
(12,26),-3.71022 # DEPENDENCYPART_ARC
(12,27),-2.4461 # DEPENDENCYPART_ARC
(12,28),-1.13442 # DEPENDENCYPART_ARC
(13,1),-2.5425 # DEPENDENCYPART_ARC
(13,2),-2.5819 # DEPENDENCYPART_ARC
(13,3),-0.52038 # DEPENDENCYPART_ARC
(13,4),-1.86857 # DEPENDENCYPART_ARC
(13,5),-1.77919 # DEPENDENCYPART_ARC
(13,6),-1.54832 # DEPENDENCYPART_ARC
(13,7),-1.28841 # DEPENDENCYPART_ARC
(13,8),-1.043 # DEPENDENCYPART_ARC
(13,9),-1.62964 # DEPENDENCYPART_ARC
(13,10),-1.31294 # DEPENDENCYPART_ARC
(13,11),-1.41937 # DEPENDENCYPART_ARC
(13,12),-0.828339 # DEPENDENCYPART_ARC
(13,14),-1.07883 # DEPENDENCYPART_ARC
(13,15),-2.33984 # DEPENDENCYPART_ARC
(13,16),-2.78024 # DEPENDENCYPART_ARC
(13,17),-2.47469 # DEPENDENCYPART_ARC
(13,18),-2.98407 # DEPENDENCYPART_ARC
(13,19),-2.65028 # DEPENDENCYPART_ARC
(13,20),-3.21936 # DEPENDENCYPART_ARC
(13,21),-3.37513 # DEPENDENCYPART_ARC
(13,22),-3.42179 # DEPENDENCYPART_ARC
(13,23),-3.81814 # DEPENDENCYPART_ARC
(13,24),-3.94584 # DEPENDENCYPART_ARC
(13,25),-3.25891 # DEPENDENCYPART_ARC
(13,26),-3.89842 # DEPENDENCYPART_ARC
(13,27),-4.05115 # DEPENDENCYPART_ARC
(13,28),-3.24783 # DEPENDENCYPART_ARC
(14,1),0.552963 # DEPENDENCYPART_ARC
(14,2),1.1756 # DEPENDENCYPART_ARC
(14,3),1.30122 # DEPENDENCYPART_ARC
(14,4),0.493443 # DEPENDENCYPART_ARC
(14,5),-0.0994529 # DEPENDENCYPART_ARC
(14,6),0.389344 # DEPENDENCYPART_ARC
(14,7),-1.00217 # DEPENDENCYPART_ARC
(14,8),-0.922114 # DEPENDENCYPART_ARC
(14,9),0.510073 # DEPENDENCYPART_ARC
(14,10),0.641595 # DEPENDENCYPART_ARC
(14,11),0.970531 # DEPENDENCYPART_ARC
(14,12),1.57842 # DEPENDENCYPART_ARC
(14,13),1.78126 # DEPENDENCYPART_ARC
(14,15),1.68941 # DEPENDENCYPART_ARC
(14,16),2.5595 # DEPENDENCYPART_ARC
(14,17),0.319932 # DEPENDENCYPART_ARC
(14,18),0.588073 # DEPENDENCYPART_ARC
(14,19),0.62094 # DEPENDENCYPART_ARC
(14,20),-1.11821 # DEPENDENCYPART_ARC
(14,21),-0.799662 # DEPENDENCYPART_ARC
(14,22),-0.404563 # DEPENDENCYPART_ARC
(14,23),-0.172659 # DEPENDENCYPART_ARC
(14,24),0.0844834 # DEPENDENCYPART_ARC
(14,25),0.29711 # DEPENDENCYPART_ARC
(14,26),-2.33658 # DEPENDENCYPART_ARC
(14,27),-1.54853 # DEPENDENCYPART_ARC
(14,28),6.25635 # DEPENDENCYPART_ARC
(15,1),-2.83741 # DEPENDENCYPART_ARC
(15,2),-2.77243 # DEPENDENCYPART_ARC
(15,3),-2.80444 # DEPENDENCYPART_ARC
(15,4),-2.80024 # DEPENDENCYPART_ARC
(15,5),-2.56672 # DEPENDENCYPART_ARC
(15,6),-2.90191 # DEPENDENCYPART_ARC
(15,7),-1.74601 # DEPENDENCYPART_ARC
(15,8),-0.854258 # DEPENDENCYPART_ARC
(15,9),-1.96439 # DEPENDENCYPART_ARC
(15,10),-1.92248 # DEPENDENCYPART_ARC
(15,11),-1.79117 # DEPENDENCYPART_ARC
(15,12),-1.54747 # DEPENDENCYPART_ARC
(15,13),-1.15658 # DEPENDENCYPART_ARC
(15,14),-0.806609 # DEPENDENCYPART_ARC
(15,16),0.815397 # DEPENDENCYPART_ARC
(15,17),0.403351 # DEPENDENCYPART_ARC
(15,18),-0.171815 # DEPENDENCYPART_ARC
(15,19),-0.892077 # DEPENDENCYPART_ARC
(15,20),-0.736386 # DEPENDENCYPART_ARC
(15,21),-0.976367 # DEPENDENCYPART_ARC
(15,22),-1.4008 # DEPENDENCYPART_ARC
(15,23),-0.972188 # DEPENDENCYPART_ARC
(15,24),-1.05811 # DEPENDENCYPART_ARC
(15,25),-1.76689 # DEPENDENCYPART_ARC
(15,26),-1.6219 # DEPENDENCYPART_ARC
(15,27),-1.6324 # DEPENDENCYPART_ARC
(15,28),-0.975938 # DEPENDENCYPART_ARC
(16,1),-4.86087 # DEPENDENCYPART_ARC
(16,2),-5.47148 # DEPENDENCYPART_ARC
(16,3),-1.93772 # DEPENDENCYPART_ARC
(16,4),-0.947103 # DEPENDENCYPART_ARC
(16,5),-0.914742 # DEPENDENCYPART_ARC
(16,6),-4.10583 # DEPENDENCYPART_ARC
(16,7),-0.82495 # DEPENDENCYPART_ARC
(16,8),-0.158156 # DEPENDENCYPART_ARC
(16,9),-0.660691 # DEPENDENCYPART_ARC
(16,10),-1.07696 # DEPENDENCYPART_ARC
(16,11),-0.621998 # DEPENDENCYPART_ARC
(16,12),-1.52459 # DEPENDENCYPART_ARC
(16,13),0.00441574 # DEPENDENCYPART_ARC
(16,14),0.0289419 # DEPENDENCYPART_ARC
(16,15),4.40746 # DEPENDENCYPART_ARC
(16,17),4.28542 # DEPENDENCYPART_ARC
(16,18),1.77039 # DEPENDENCYPART_ARC
(16,19),3.36189 # DEPENDENCYPART_ARC
(16,20),0.51956 # DEPENDENCYPART_ARC
(16,21),0.734219 # DEPENDENCYPART_ARC
(16,22),1.59041 # DEPENDENCYPART_ARC
(16,23),0.64688 # DEPENDENCYPART_ARC
(16,24),0.840046 # DEPENDENCYPART_ARC
(16,25),1.92576 # DEPENDENCYPART_ARC
(16,26),-0.198366 # DEPENDENCYPART_ARC
(16,27),-0.24279 # DEPENDENCYPART_ARC
(16,28),0.948998 # DEPENDENCYPART_ARC
(17,1),-2.47724 # DEPENDENCYPART_ARC
(17,2),-2.58355 # DEPENDENCYPART_ARC
(17,3),-2.75663 # DEPENDENCYPART_ARC
(17,4),-2.36444 # DEPENDENCYPART_ARC
(17,5),-2.37607 # DEPENDENCYPART_ARC
(17,6),-2.7383 # DEPENDENCYPART_ARC
(17,7),-2.17111 # DEPENDENCYPART_ARC
(17,8),-1.76109 # DEPENDENCYPART_ARC
(17,9),-1.29891 # DEPENDENCYPART_ARC
(17,10),-1.35853 # DEPENDENCYPART_ARC
(17,11),-1.29419 # DEPENDENCYPART_ARC
(17,12),-1.36965 # DEPENDENCYPART_ARC
(17,13),-1.13702 # DEPENDENCYPART_ARC
(17,14),-0.675576 # DEPENDENCYPART_ARC
(17,15),-0.516574 # DEPENDENCYPART_ARC
(17,16),0.151754 # DEPENDENCYPART_ARC
(17,18),4.13568 # DEPENDENCYPART_ARC
(17,19),0.468871 # DEPENDENCYPART_ARC
(17,20),0.407796 # DEPENDENCYPART_ARC
(17,21),-0.110933 # DEPENDENCYPART_ARC
(17,22),-0.655098 # DEPENDENCYPART_ARC
(17,23),0.00525611 # DEPENDENCYPART_ARC
(17,24),0.848288 # DEPENDENCYPART_ARC
(17,25),-0.418986 # DEPENDENCYPART_ARC
(17,26),-2.5219 # DEPENDENCYPART_ARC
(17,27),-1.00122 # DEPENDENCYPART_ARC
(17,28),-1.93086 # DEPENDENCYPART_ARC
(18,1),-5.57971 # DEPENDENCYPART_ARC
(18,2),-4.87403 # DEPENDENCYPART_ARC
(18,3),-1.21094 # DEPENDENCYPART_ARC
(18,4),-3.51435 # DEPENDENCYPART_ARC
(18,5),-3.14807 # DEPENDENCYPART_ARC
(18,6),-4.41177 # DEPENDENCYPART_ARC
(18,7),-1.28757 # DEPENDENCYPART_ARC
(18,8),-1.29468 # DEPENDENCYPART_ARC
(18,9),-1.00458 # DEPENDENCYPART_ARC
(18,10),-1.59359 # DEPENDENCYPART_ARC
(18,11),-1.80044 # DEPENDENCYPART_ARC
(18,12),-2.61388 # DEPENDENCYPART_ARC
(18,13),-0.854927 # DEPENDENCYPART_ARC
(18,14),-0.950116 # DEPENDENCYPART_ARC
(18,15),0.426377 # DEPENDENCYPART_ARC
(18,16),0.10888 # DEPENDENCYPART_ARC
(18,17),1.42346 # DEPENDENCYPART_ARC
(18,19),1.88404 # DEPENDENCYPART_ARC
(18,20),0.120785 # DEPENDENCYPART_ARC
(18,21),0.277363 # DEPENDENCYPART_ARC
(18,22),0.566136 # DEPENDENCYPART_ARC
(18,23),0.561953 # DEPENDENCYPART_ARC
