# _root_ Many employers have already begun moving to southern countries such as Spain and Italy , where wages are low and unions are weaker ; demand for trained labor and managers will rise there , FMC says .
#goldHeads=2,3,36,3,3,5,6,9,7,11,9,11,12,13,9,18,18,9,18,18,22,20,22,3,31,25,28,26,28,29,3,31,32,3,36,0,36,
#predictedHeads=2,3,0,3,3,5,6,9,7,11,9,11,12,13,14,18,18,12,18,18,22,20,22,22,31,25,28,26,28,29,22,31,32,36,36,32,3,
(4,10),-0.824397 # DEPENDENCYPART_ARC
(4,11),-0.113558 # DEPENDENCYPART_ARC
(4,12),-1.70701 # DEPENDENCYPART_ARC
(4,13),-0.166025 # DEPENDENCYPART_ARC
(4,14),-1.75992 # DEPENDENCYPART_ARC
(4,15),-0.532965 # DEPENDENCYPART_ARC
(4,16),-1.98495 # DEPENDENCYPART_ARC
(4,17),-2.15513 # DEPENDENCYPART_ARC
(4,18),-0.887647 # DEPENDENCYPART_ARC
(4,19),-1.5141 # DEPENDENCYPART_ARC
(4,20),-0.856118 # DEPENDENCYPART_ARC
(4,21),-2.75605 # DEPENDENCYPART_ARC
(4,22),-1.2472 # DEPENDENCYPART_ARC
(4,23),-2.30662 # DEPENDENCYPART_ARC
(4,24),-1.4823 # DEPENDENCYPART_ARC
(4,25),-4.03817 # DEPENDENCYPART_ARC
(4,26),-2.20676 # DEPENDENCYPART_ARC
(4,27),-3.05281 # DEPENDENCYPART_ARC
(4,28),-4.17731 # DEPENDENCYPART_ARC
(4,29),-1.91165 # DEPENDENCYPART_ARC
(4,30),-4.08979 # DEPENDENCYPART_ARC
(4,31),-2.62876 # DEPENDENCYPART_ARC
(4,32),-3.1199 # DEPENDENCYPART_ARC
(4,33),-4.55451 # DEPENDENCYPART_ARC
(4,34),-2.27083 # DEPENDENCYPART_ARC
(4,35),-4.18727 # DEPENDENCYPART_ARC
(4,36),-3.57747 # DEPENDENCYPART_ARC
(4,37),0.221306 # DEPENDENCYPART_ARC
(5,1),0.295655 # DEPENDENCYPART_ARC
(5,2),0.572292 # DEPENDENCYPART_ARC
(5,3),0.3563 # DEPENDENCYPART_ARC
(5,4),1.84113 # DEPENDENCYPART_ARC
(5,6),2.63635 # DEPENDENCYPART_ARC
(5,7),1.3176 # DEPENDENCYPART_ARC
(5,8),0.337021 # DEPENDENCYPART_ARC
(5,9),0.36146 # DEPENDENCYPART_ARC
(5,10),0.0918483 # DEPENDENCYPART_ARC
(5,11),0.732542 # DEPENDENCYPART_ARC
(5,12),-0.508265 # DEPENDENCYPART_ARC
(5,13),0.0826733 # DEPENDENCYPART_ARC
(5,14),-0.343809 # DEPENDENCYPART_ARC
(5,15),0.97762 # DEPENDENCYPART_ARC
(5,16),-1.2237 # DEPENDENCYPART_ARC
(5,17),-1.80152 # DEPENDENCYPART_ARC
(5,18),-0.452582 # DEPENDENCYPART_ARC
(5,19),-1.5553 # DEPENDENCYPART_ARC
(5,20),-0.841038 # DEPENDENCYPART_ARC
(5,21),-2.14273 # DEPENDENCYPART_ARC
(5,22),-0.805647 # DEPENDENCYPART_ARC
(5,23),-1.79493 # DEPENDENCYPART_ARC
(5,24),-0.625236 # DEPENDENCYPART_ARC
(5,25),-3.22338 # DEPENDENCYPART_ARC
(5,26),-1.18379 # DEPENDENCYPART_ARC
(5,27),-1.95567 # DEPENDENCYPART_ARC
(5,28),-3.75597 # DEPENDENCYPART_ARC
(5,29),-2.28962 # DEPENDENCYPART_ARC
(5,30),-3.88374 # DEPENDENCYPART_ARC
(5,31),-2.20501 # DEPENDENCYPART_ARC
(5,32),-2.33883 # DEPENDENCYPART_ARC
(5,33),-2.81247 # DEPENDENCYPART_ARC
(5,34),-1.06934 # DEPENDENCYPART_ARC
(5,35),-3.2975 # DEPENDENCYPART_ARC
(5,36),-2.89471 # DEPENDENCYPART_ARC
(5,37),1.34773 # DEPENDENCYPART_ARC
(6,1),0.0751598 # DEPENDENCYPART_ARC
(6,2),0.642674 # DEPENDENCYPART_ARC
(6,3),0.346207 # DEPENDENCYPART_ARC
(6,4),1.28648 # DEPENDENCYPART_ARC
(6,5),1.61922 # DEPENDENCYPART_ARC
(6,7),4.1413 # DEPENDENCYPART_ARC
(6,8),1.16257 # DEPENDENCYPART_ARC
(6,9),1.25702 # DEPENDENCYPART_ARC
(6,10),0.744827 # DEPENDENCYPART_ARC
(6,11),1.36871 # DEPENDENCYPART_ARC
(6,12),-0.388151 # DEPENDENCYPART_ARC
(6,13),0.903248 # DEPENDENCYPART_ARC
(6,14),-0.540898 # DEPENDENCYPART_ARC
(6,15),0.757515 # DEPENDENCYPART_ARC
(6,16),-0.726105 # DEPENDENCYPART_ARC
(6,17),-1.84293 # DEPENDENCYPART_ARC
(6,18),0.104921 # DEPENDENCYPART_ARC
(6,19),-0.306932 # DEPENDENCYPART_ARC
(6,20),-0.462074 # DEPENDENCYPART_ARC
(6,21),-2.63399 # DEPENDENCYPART_ARC
(6,22),0.135295 # DEPENDENCYPART_ARC
(6,23),-1.45564 # DEPENDENCYPART_ARC
(6,24),0.0355081 # DEPENDENCYPART_ARC
(6,25),-3.82486 # DEPENDENCYPART_ARC
(6,26),-0.433997 # DEPENDENCYPART_ARC
(6,27),-1.20795 # DEPENDENCYPART_ARC
(6,28),-4.3473 # DEPENDENCYPART_ARC
(6,29),-1.2993 # DEPENDENCYPART_ARC
(6,30),-4.53737 # DEPENDENCYPART_ARC
(6,31),-1.80767 # DEPENDENCYPART_ARC
(6,32),-1.92442 # DEPENDENCYPART_ARC
(6,33),-1.64443 # DEPENDENCYPART_ARC
(6,34),-1.14058 # DEPENDENCYPART_ARC
(6,35),-4.6577 # DEPENDENCYPART_ARC
(6,36),-2.66437 # DEPENDENCYPART_ARC
(6,37),-0.615793 # DEPENDENCYPART_ARC
(7,1),-0.8594 # DEPENDENCYPART_ARC
(7,2),-1.18533 # DEPENDENCYPART_ARC
(7,3),-0.7749 # DEPENDENCYPART_ARC
(7,4),-0.441287 # DEPENDENCYPART_ARC
(7,5),-0.527791 # DEPENDENCYPART_ARC
(7,6),0.308402 # DEPENDENCYPART_ARC
(7,8),1.5037 # DEPENDENCYPART_ARC
(7,9),3.66023 # DEPENDENCYPART_ARC
(7,10),0.191577 # DEPENDENCYPART_ARC
(7,11),0.547382 # DEPENDENCYPART_ARC
(7,12),0.472244 # DEPENDENCYPART_ARC
(7,13),0.673681 # DEPENDENCYPART_ARC
(7,14),0.114025 # DEPENDENCYPART_ARC
(7,15),0.0271933 # DEPENDENCYPART_ARC
(7,16),-1.27054 # DEPENDENCYPART_ARC
(7,17),-0.74954 # DEPENDENCYPART_ARC
(7,18),-0.257633 # DEPENDENCYPART_ARC
(7,19),-1.40747 # DEPENDENCYPART_ARC
(7,20),-0.690814 # DEPENDENCYPART_ARC
(7,21),-1.70704 # DEPENDENCYPART_ARC
(7,22),-0.474261 # DEPENDENCYPART_ARC
(7,23),-1.43099 # DEPENDENCYPART_ARC
(7,24),-0.462484 # DEPENDENCYPART_ARC
(7,25),-3.0456 # DEPENDENCYPART_ARC
(7,26),-1.72454 # DEPENDENCYPART_ARC
(7,27),-1.57574 # DEPENDENCYPART_ARC
(7,28),-4.06139 # DEPENDENCYPART_ARC
(7,29),-1.7229 # DEPENDENCYPART_ARC
(7,30),-4.08094 # DEPENDENCYPART_ARC
(7,31),-1.49589 # DEPENDENCYPART_ARC
(7,32),-3.24757 # DEPENDENCYPART_ARC
(7,33),-1.57937 # DEPENDENCYPART_ARC
(7,34),-1.84723 # DEPENDENCYPART_ARC
(7,35),-6.04276 # DEPENDENCYPART_ARC
(7,36),-2.30509 # DEPENDENCYPART_ARC
(7,37),-0.617859 # DEPENDENCYPART_ARC
(8,1),-0.487908 # DEPENDENCYPART_ARC
(8,2),-1.39788 # DEPENDENCYPART_ARC
(8,3),-1.72664 # DEPENDENCYPART_ARC
(8,4),-0.304333 # DEPENDENCYPART_ARC
(8,5),-0.712197 # DEPENDENCYPART_ARC
(8,6),-0.180375 # DEPENDENCYPART_ARC
(8,7),1.06285 # DEPENDENCYPART_ARC
(8,9),0.738105 # DEPENDENCYPART_ARC
(8,10),-0.230915 # DEPENDENCYPART_ARC
(8,11),0.0853028 # DEPENDENCYPART_ARC
(8,12),-0.852158 # DEPENDENCYPART_ARC
(8,13),-0.502763 # DEPENDENCYPART_ARC
(8,14),-1.39843 # DEPENDENCYPART_ARC
(8,15),-0.3912 # DEPENDENCYPART_ARC
(8,16),-1.8242 # DEPENDENCYPART_ARC
(8,17),-1.21384 # DEPENDENCYPART_ARC
(8,18),-0.96977 # DEPENDENCYPART_ARC
(8,19),-1.66468 # DEPENDENCYPART_ARC
(8,20),-1.66954 # DEPENDENCYPART_ARC
(8,21),-1.6621 # DEPENDENCYPART_ARC
(8,22),-1.39157 # DEPENDENCYPART_ARC
(8,23),-2.09256 # DEPENDENCYPART_ARC
(8,24),-1.39953 # DEPENDENCYPART_ARC
(8,25),-2.03237 # DEPENDENCYPART_ARC
(8,26),-2.10099 # DEPENDENCYPART_ARC
(8,27),-1.76464 # DEPENDENCYPART_ARC
(8,28),-2.32137 # DEPENDENCYPART_ARC
(8,29),-3.17827 # DEPENDENCYPART_ARC
(8,30),-2.83324 # DEPENDENCYPART_ARC
(8,31),-2.29295 # DEPENDENCYPART_ARC
(8,32),-3.21716 # DEPENDENCYPART_ARC
(8,33),-3.33194 # DEPENDENCYPART_ARC
(8,34),-2.62451 # DEPENDENCYPART_ARC
(8,35),-3.56173 # DEPENDENCYPART_ARC
(8,36),-3.05441 # DEPENDENCYPART_ARC
(8,37),-0.89498 # DEPENDENCYPART_ARC
(9,1),0.223891 # DEPENDENCYPART_ARC
(9,2),-0.842543 # DEPENDENCYPART_ARC
(9,3),-0.953811 # DEPENDENCYPART_ARC
(9,4),0.681687 # DEPENDENCYPART_ARC
(9,5),1.05591 # DEPENDENCYPART_ARC
(9,6),1.05105 # DEPENDENCYPART_ARC
(9,7),1.2948 # DEPENDENCYPART_ARC
(9,8),3.87998 # DEPENDENCYPART_ARC
(9,10),1.52083 # DEPENDENCYPART_ARC
(9,11),3.2215 # DEPENDENCYPART_ARC
(9,12),0.552785 # DEPENDENCYPART_ARC
(9,13),1.23137 # DEPENDENCYPART_ARC
(9,14),0.366215 # DEPENDENCYPART_ARC
(9,15),1.4518 # DEPENDENCYPART_ARC
(9,16),-0.559525 # DEPENDENCYPART_ARC
(9,17),-0.410009 # DEPENDENCYPART_ARC
(9,18),1.14903 # DEPENDENCYPART_ARC
(9,19),-0.192189 # DEPENDENCYPART_ARC
(9,20),0.322648 # DEPENDENCYPART_ARC
(9,21),-1.2913 # DEPENDENCYPART_ARC
(9,22),0.207724 # DEPENDENCYPART_ARC
(9,23),-0.869491 # DEPENDENCYPART_ARC
(9,24),-0.155693 # DEPENDENCYPART_ARC
(9,25),-0.963722 # DEPENDENCYPART_ARC
(9,26),-1.25956 # DEPENDENCYPART_ARC
(9,27),-0.877689 # DEPENDENCYPART_ARC
(9,28),-1.36642 # DEPENDENCYPART_ARC
(9,29),-0.666181 # DEPENDENCYPART_ARC
(9,30),-2.23399 # DEPENDENCYPART_ARC
(9,31),-1.16991 # DEPENDENCYPART_ARC
(9,32),-1.1167 # DEPENDENCYPART_ARC
(9,33),-0.668067 # DEPENDENCYPART_ARC
(9,34),-1.92402 # DEPENDENCYPART_ARC
(9,35),-1.9061 # DEPENDENCYPART_ARC
(9,36),-1.54007 # DEPENDENCYPART_ARC
(9,37),0.608677 # DEPENDENCYPART_ARC
(10,1),-0.991581 # DEPENDENCYPART_ARC
(10,2),-1.75511 # DEPENDENCYPART_ARC
(10,3),-1.99805 # DEPENDENCYPART_ARC
(10,4),-1.08328 # DEPENDENCYPART_ARC
(10,5),-1.27069 # DEPENDENCYPART_ARC
(10,6),-0.975052 # DEPENDENCYPART_ARC
(10,7),-0.0622806 # DEPENDENCYPART_ARC
(10,8),0.918793 # DEPENDENCYPART_ARC
(10,9),0.0881842 # DEPENDENCYPART_ARC
(10,11),1.49606 # DEPENDENCYPART_ARC
(10,12),0.603949 # DEPENDENCYPART_ARC
(10,13),0.82027 # DEPENDENCYPART_ARC
(10,14),0.0464293 # DEPENDENCYPART_ARC
(10,15),0.40019 # DEPENDENCYPART_ARC
(10,16),-0.754318 # DEPENDENCYPART_ARC
(10,17),-0.440036 # DEPENDENCYPART_ARC
(10,18),-0.0600029 # DEPENDENCYPART_ARC
(10,19),-0.533412 # DEPENDENCYPART_ARC
(10,20),-0.69276 # DEPENDENCYPART_ARC
(10,21),-0.907058 # DEPENDENCYPART_ARC
(10,22),-0.477383 # DEPENDENCYPART_ARC
(10,23),-1.12102 # DEPENDENCYPART_ARC
(10,24),-0.235069 # DEPENDENCYPART_ARC
(10,25),-1.23464 # DEPENDENCYPART_ARC
(10,26),-1.08027 # DEPENDENCYPART_ARC
(10,27),-0.769853 # DEPENDENCYPART_ARC
(10,28),-1.68612 # DEPENDENCYPART_ARC
(10,29),-2.28607 # DEPENDENCYPART_ARC
(10,30),-2.14279 # DEPENDENCYPART_ARC
(10,31),-1.57614 # DEPENDENCYPART_ARC
(10,32),-2.18354 # DEPENDENCYPART_ARC
(10,33),-2.30656 # DEPENDENCYPART_ARC
(10,34),-2.00326 # DEPENDENCYPART_ARC
(10,35),-2.47252 # DEPENDENCYPART_ARC
(10,36),-1.99858 # DEPENDENCYPART_ARC
(10,37),-0.362151 # DEPENDENCYPART_ARC
(11,1),-0.409828 # DEPENDENCYPART_ARC
(11,2),-0.538422 # DEPENDENCYPART_ARC
(11,3),-1.09416 # DEPENDENCYPART_ARC
(11,4),-0.321233 # DEPENDENCYPART_ARC
(11,5),-0.554497 # DEPENDENCYPART_ARC
(11,6),-0.953469 # DEPENDENCYPART_ARC
(11,7),0.144558 # DEPENDENCYPART_ARC
(11,8),0.746581 # DEPENDENCYPART_ARC
(11,9),0.00557315 # DEPENDENCYPART_ARC
(11,10),4.02468 # DEPENDENCYPART_ARC
(11,12),2.58347 # DEPENDENCYPART_ARC
(11,13),0.587934 # DEPENDENCYPART_ARC
(11,14),1.01772 # DEPENDENCYPART_ARC
(11,15),0.840038 # DEPENDENCYPART_ARC
(11,16),-0.375468 # DEPENDENCYPART_ARC
(11,17),-1.04327 # DEPENDENCYPART_ARC
(11,18),0.989912 # DEPENDENCYPART_ARC
(11,19),-0.525129 # DEPENDENCYPART_ARC
(11,20),-0.991583 # DEPENDENCYPART_ARC
(11,21),-2.88338 # DEPENDENCYPART_ARC
(11,22),0.0573841 # DEPENDENCYPART_ARC
(11,23),-0.830688 # DEPENDENCYPART_ARC
(11,24),0.815224 # DEPENDENCYPART_ARC
(11,25),-4.16314 # DEPENDENCYPART_ARC
(11,26),-1.22334 # DEPENDENCYPART_ARC
(11,27),-0.0862608 # DEPENDENCYPART_ARC
(11,28),-5.00604 # DEPENDENCYPART_ARC
(11,29),-1.61501 # DEPENDENCYPART_ARC
(11,30),-7.1727 # DEPENDENCYPART_ARC
(11,31),-2.94059 # DEPENDENCYPART_ARC
(11,32),-0.564509 # DEPENDENCYPART_ARC
(11,33),-1.54571 # DEPENDENCYPART_ARC
(11,34),-1.22679 # DEPENDENCYPART_ARC
(11,35),-7.35254 # DEPENDENCYPART_ARC
(11,36),-3.94068 # DEPENDENCYPART_ARC
(11,37),2.77545 # DEPENDENCYPART_ARC
(12,1),-1.75882 # DEPENDENCYPART_ARC
(12,2),-1.9105 # DEPENDENCYPART_ARC
(12,3),-2.21515 # DEPENDENCYPART_ARC
(12,4),-1.60293 # DEPENDENCYPART_ARC
(12,5),-1.52555 # DEPENDENCYPART_ARC
(12,6),-1.30402 # DEPENDENCYPART_ARC
(12,7),-1.35257 # DEPENDENCYPART_ARC
(12,8),0.763924 # DEPENDENCYPART_ARC
(12,9),-0.0677521 # DEPENDENCYPART_ARC
(12,10),0.539616 # DEPENDENCYPART_ARC
(12,11),0.617719 # DEPENDENCYPART_ARC
(12,13),4.0752 # DEPENDENCYPART_ARC
(12,14),1.2134 # DEPENDENCYPART_ARC
(12,15),2.58096 # DEPENDENCYPART_ARC
(12,16),-0.189141 # DEPENDENCYPART_ARC
(12,17),0.637649 # DEPENDENCYPART_ARC
(12,18),2.16212 # DEPENDENCYPART_ARC
(12,19),0.47391 # DEPENDENCYPART_ARC
(12,20),-0.107903 # DEPENDENCYPART_ARC
(12,21),-0.0420953 # DEPENDENCYPART_ARC
(12,22),2.01018 # DEPENDENCYPART_ARC
(12,23),-0.532243 # DEPENDENCYPART_ARC
(12,24),0.354709 # DEPENDENCYPART_ARC
(12,25),-1.48217 # DEPENDENCYPART_ARC
(12,26),-0.198372 # DEPENDENCYPART_ARC
(12,27),-0.0642293 # DEPENDENCYPART_ARC
(12,28),-2.63693 # DEPENDENCYPART_ARC
(12,29),-1.73328 # DEPENDENCYPART_ARC
(12,30),-1.1449 # DEPENDENCYPART_ARC
(12,31),-0.363844 # DEPENDENCYPART_ARC
(12,32),-1.62151 # DEPENDENCYPART_ARC
(12,33),-1.46658 # DEPENDENCYPART_ARC
(12,34),-1.13599 # DEPENDENCYPART_ARC
(12,35),-2.1148 # DEPENDENCYPART_ARC
(12,36),-0.391156 # DEPENDENCYPART_ARC
(12,37),1.35822 # DEPENDENCYPART_ARC
(13,1),-1.71292 # DEPENDENCYPART_ARC
(13,2),-1.27135 # DEPENDENCYPART_ARC
(13,3),-1.1112 # DEPENDENCYPART_ARC
(13,4),-1.69949 # DEPENDENCYPART_ARC
(13,5),-1.24334 # DEPENDENCYPART_ARC
(13,6),-0.343456 # DEPENDENCYPART_ARC
(13,7),-0.819629 # DEPENDENCYPART_ARC
(13,8),-0.809604 # DEPENDENCYPART_ARC
(13,9),-0.42606 # DEPENDENCYPART_ARC
(13,10),-0.234186 # DEPENDENCYPART_ARC
(13,11),-0.220161 # DEPENDENCYPART_ARC
(13,12),1.12492 # DEPENDENCYPART_ARC
(13,14),3.43172 # DEPENDENCYPART_ARC
(13,15),0.87064 # DEPENDENCYPART_ARC
(13,16),-0.196885 # DEPENDENCYPART_ARC
(13,17),1.62477 # DEPENDENCYPART_ARC
(13,18),-0.433395 # DEPENDENCYPART_ARC
(13,19),-0.927183 # DEPENDENCYPART_ARC
(13,20),-0.211285 # DEPENDENCYPART_ARC
(13,21),-0.106732 # DEPENDENCYPART_ARC
(13,22),-0.62097 # DEPENDENCYPART_ARC
(13,23),-1.17321 # DEPENDENCYPART_ARC
(13,24),0.13901 # DEPENDENCYPART_ARC
(13,25),-2.20257 # DEPENDENCYPART_ARC
(13,26),-1.47278 # DEPENDENCYPART_ARC
(13,27),-0.502506 # DEPENDENCYPART_ARC
(13,28),-3.40729 # DEPENDENCYPART_ARC
(13,29),-0.610215 # DEPENDENCYPART_ARC
(13,30),-3.53882 # DEPENDENCYPART_ARC
(13,31),-1.93536 # DEPENDENCYPART_ARC
(13,32),-2.05077 # DEPENDENCYPART_ARC
(13,33),-2.06583 # DEPENDENCYPART_ARC
(13,34),-1.34479 # DEPENDENCYPART_ARC
(13,35),-5.10259 # DEPENDENCYPART_ARC
(13,36),-3.12564 # DEPENDENCYPART_ARC
(13,37),-1.43571 # DEPENDENCYPART_ARC
