# _root_ Around Wall Street , trading desks were relieved that they could at least play the market yesterday , in contrast to Friday 's gridlock .
#goldHeads=7,3,1,7,6,7,0,7,8,11,9,11,12,11,16,14,14,14,14,19,20,24,22,21,7,
#predictedHeads=7,3,1,7,6,7,0,7,8,11,9,14,12,11,16,14,14,14,14,19,20,24,22,21,7,
(1,13),-0.954979 # DEPENDENCYPART_ARC
(1,14),-0.281211 # DEPENDENCYPART_ARC
(1,15),-2.63955 # DEPENDENCYPART_ARC
(1,16),-5.60175 # DEPENDENCYPART_ARC
(1,17),-6.78545 # DEPENDENCYPART_ARC
(1,18),0.0605891 # DEPENDENCYPART_ARC
(1,19),-2.0523 # DEPENDENCYPART_ARC
(1,20),-7.65279 # DEPENDENCYPART_ARC
(1,21),-4.27702 # DEPENDENCYPART_ARC
(1,22),-9.49596 # DEPENDENCYPART_ARC
(1,23),-2.78275 # DEPENDENCYPART_ARC
(1,24),-7.85328 # DEPENDENCYPART_ARC
(1,25),0.285661 # DEPENDENCYPART_ARC
(2,1),0.0239894 # DEPENDENCYPART_ARC
(2,3),1.31053 # DEPENDENCYPART_ARC
(2,4),-0.0920192 # DEPENDENCYPART_ARC
(2,5),-0.278128 # DEPENDENCYPART_ARC
(2,6),-1.26016 # DEPENDENCYPART_ARC
(2,7),-1.08821 # DEPENDENCYPART_ARC
(2,8),-1.59747 # DEPENDENCYPART_ARC
(2,9),-2.90324 # DEPENDENCYPART_ARC
(2,10),-1.93359 # DEPENDENCYPART_ARC
(2,11),-1.92146 # DEPENDENCYPART_ARC
(2,12),-2.58784 # DEPENDENCYPART_ARC
(2,13),-2.29878 # DEPENDENCYPART_ARC
(2,14),-2.84853 # DEPENDENCYPART_ARC
(2,15),-2.52619 # DEPENDENCYPART_ARC
(2,16),-4.56718 # DEPENDENCYPART_ARC
(2,17),-4.14451 # DEPENDENCYPART_ARC
(2,18),-1.46623 # DEPENDENCYPART_ARC
(2,19),-4.63311 # DEPENDENCYPART_ARC
(2,20),-6.34426 # DEPENDENCYPART_ARC
(2,21),-3.21832 # DEPENDENCYPART_ARC
(2,22),-5.55337 # DEPENDENCYPART_ARC
(2,23),-3.78495 # DEPENDENCYPART_ARC
(2,24),-6.69225 # DEPENDENCYPART_ARC
(2,25),-2.02809 # DEPENDENCYPART_ARC
(3,1),0.747061 # DEPENDENCYPART_ARC
(3,2),6.06342 # DEPENDENCYPART_ARC
(3,4),2.23517 # DEPENDENCYPART_ARC
(3,5),1.39142 # DEPENDENCYPART_ARC
(3,6),0.21776 # DEPENDENCYPART_ARC
(3,7),0.492296 # DEPENDENCYPART_ARC
(3,8),0.0509234 # DEPENDENCYPART_ARC
(3,9),-1.64078 # DEPENDENCYPART_ARC
(3,10),-0.558771 # DEPENDENCYPART_ARC
(3,11),-0.460849 # DEPENDENCYPART_ARC
(3,12),-1.42444 # DEPENDENCYPART_ARC
(3,13),-0.97389 # DEPENDENCYPART_ARC
(3,14),-1.57967 # DEPENDENCYPART_ARC
(3,15),-1.51392 # DEPENDENCYPART_ARC
(3,16),-3.33676 # DEPENDENCYPART_ARC
(3,17),-2.47516 # DEPENDENCYPART_ARC
(3,18),0.438938 # DEPENDENCYPART_ARC
(3,19),-2.72006 # DEPENDENCYPART_ARC
(3,20),-4.70766 # DEPENDENCYPART_ARC
(3,21),-2.06005 # DEPENDENCYPART_ARC
(3,22),-4.23507 # DEPENDENCYPART_ARC
(3,23),-2.0761 # DEPENDENCYPART_ARC
(3,24),-4.79311 # DEPENDENCYPART_ARC
(3,25),-0.274268 # DEPENDENCYPART_ARC
(4,1),-1.71729 # DEPENDENCYPART_ARC
(4,2),-2.22861 # DEPENDENCYPART_ARC
(4,3),-1.67532 # DEPENDENCYPART_ARC
(4,5),-1.44101 # DEPENDENCYPART_ARC
(4,6),-1.90561 # DEPENDENCYPART_ARC
(4,7),-1.85469 # DEPENDENCYPART_ARC
(4,8),-2.48014 # DEPENDENCYPART_ARC
(4,9),-2.36714 # DEPENDENCYPART_ARC
(4,10),-2.7777 # DEPENDENCYPART_ARC
(4,11),-2.68082 # DEPENDENCYPART_ARC
(4,12),-2.69274 # DEPENDENCYPART_ARC
(4,13),-3.41138 # DEPENDENCYPART_ARC
(4,14),-2.94905 # DEPENDENCYPART_ARC
(4,15),-3.48228 # DEPENDENCYPART_ARC
(4,16),-3.83899 # DEPENDENCYPART_ARC
(4,17),-3.89196 # DEPENDENCYPART_ARC
(4,18),-2.19672 # DEPENDENCYPART_ARC
(4,19),-3.31932 # DEPENDENCYPART_ARC
(4,20),-4.18483 # DEPENDENCYPART_ARC
(4,21),-3.84549 # DEPENDENCYPART_ARC
(4,22),-4.21345 # DEPENDENCYPART_ARC
(4,23),-4.23119 # DEPENDENCYPART_ARC
(4,24),-4.60875 # DEPENDENCYPART_ARC
(4,25),-3.55838 # DEPENDENCYPART_ARC
(5,1),-0.5677 # DEPENDENCYPART_ARC
(5,2),1.52565 # DEPENDENCYPART_ARC
(5,3),0.511304 # DEPENDENCYPART_ARC
(5,4),0.518204 # DEPENDENCYPART_ARC
(5,6),0.97841 # DEPENDENCYPART_ARC
(5,7),0.368571 # DEPENDENCYPART_ARC
(5,8),-0.35338 # DEPENDENCYPART_ARC
(5,9),-0.923263 # DEPENDENCYPART_ARC
(5,10),-1.17339 # DEPENDENCYPART_ARC
(5,11),-0.813381 # DEPENDENCYPART_ARC
(5,12),-1.53187 # DEPENDENCYPART_ARC
(5,13),-1.4456 # DEPENDENCYPART_ARC
(5,14),-1.48551 # DEPENDENCYPART_ARC
(5,15),-1.68404 # DEPENDENCYPART_ARC
(5,16),-1.48252 # DEPENDENCYPART_ARC
(5,17),-0.692227 # DEPENDENCYPART_ARC
(5,18),-1.01231 # DEPENDENCYPART_ARC
(5,19),-2.48275 # DEPENDENCYPART_ARC
(5,20),-1.93561 # DEPENDENCYPART_ARC
(5,21),-2.76547 # DEPENDENCYPART_ARC
(5,22),-1.60716 # DEPENDENCYPART_ARC
(5,23),-3.30625 # DEPENDENCYPART_ARC
(5,24),-2.40281 # DEPENDENCYPART_ARC
(5,25),-1.08234 # DEPENDENCYPART_ARC
(6,1),0.0201221 # DEPENDENCYPART_ARC
(6,2),3.0007 # DEPENDENCYPART_ARC
(6,3),1.18876 # DEPENDENCYPART_ARC
(6,4),1.39917 # DEPENDENCYPART_ARC
(6,5),3.79759 # DEPENDENCYPART_ARC
(6,7),0.849588 # DEPENDENCYPART_ARC
(6,8),0.782057 # DEPENDENCYPART_ARC
(6,9),-0.113663 # DEPENDENCYPART_ARC
(6,10),-0.757662 # DEPENDENCYPART_ARC
(6,11),0.19482 # DEPENDENCYPART_ARC
(6,12),-0.432776 # DEPENDENCYPART_ARC
(6,13),-0.877439 # DEPENDENCYPART_ARC
(6,14),-0.694339 # DEPENDENCYPART_ARC
(6,15),-1.25559 # DEPENDENCYPART_ARC
(6,16),-0.998087 # DEPENDENCYPART_ARC
(6,17),-0.930209 # DEPENDENCYPART_ARC
(6,18),-0.557927 # DEPENDENCYPART_ARC
(6,19),-1.93622 # DEPENDENCYPART_ARC
(6,20),-1.66825 # DEPENDENCYPART_ARC
(6,21),-1.45944 # DEPENDENCYPART_ARC
(6,22),-1.62334 # DEPENDENCYPART_ARC
(6,23),-1.73578 # DEPENDENCYPART_ARC
(6,24),-1.9507 # DEPENDENCYPART_ARC
(6,25),-0.00985281 # DEPENDENCYPART_ARC
(7,1),2.19009 # DEPENDENCYPART_ARC
(7,2),0.15214 # DEPENDENCYPART_ARC
(7,3),0.714618 # DEPENDENCYPART_ARC
(7,4),3.51582 # DEPENDENCYPART_ARC
(7,5),0.941594 # DEPENDENCYPART_ARC
(7,6),3.24283 # DEPENDENCYPART_ARC
(7,8),4.04199 # DEPENDENCYPART_ARC
(7,9),0.697535 # DEPENDENCYPART_ARC
(7,10),0.0934275 # DEPENDENCYPART_ARC
(7,11),0.466925 # DEPENDENCYPART_ARC
(7,12),0.0484633 # DEPENDENCYPART_ARC
(7,13),-0.604783 # DEPENDENCYPART_ARC
(7,14),-0.319592 # DEPENDENCYPART_ARC
(7,15),-1.14196 # DEPENDENCYPART_ARC
(7,16),-1.92648 # DEPENDENCYPART_ARC
(7,17),0.141855 # DEPENDENCYPART_ARC
(7,18),1.1334 # DEPENDENCYPART_ARC
(7,19),-1.17522 # DEPENDENCYPART_ARC
(7,20),-3.16065 # DEPENDENCYPART_ARC
(7,21),-1.30662 # DEPENDENCYPART_ARC
(7,22),-2.21725 # DEPENDENCYPART_ARC
(7,23),-1.38308 # DEPENDENCYPART_ARC
(7,24),-3.04557 # DEPENDENCYPART_ARC
(7,25),4.56492 # DEPENDENCYPART_ARC
(8,1),0.152702 # DEPENDENCYPART_ARC
(8,2),-0.0379768 # DEPENDENCYPART_ARC
(8,3),-0.420445 # DEPENDENCYPART_ARC
(8,4),0.95835 # DEPENDENCYPART_ARC
(8,5),0.740356 # DEPENDENCYPART_ARC
(8,6),0.361359 # DEPENDENCYPART_ARC
(8,7),0.604138 # DEPENDENCYPART_ARC
(8,9),2.14851 # DEPENDENCYPART_ARC
(8,10),0.387434 # DEPENDENCYPART_ARC
(8,11),0.389455 # DEPENDENCYPART_ARC
(8,12),0.954257 # DEPENDENCYPART_ARC
(8,13),-0.36616 # DEPENDENCYPART_ARC
(8,14),-0.060115 # DEPENDENCYPART_ARC
(8,15),-0.997224 # DEPENDENCYPART_ARC
(8,16),-0.904741 # DEPENDENCYPART_ARC
(8,17),0.531438 # DEPENDENCYPART_ARC
(8,18),0.616194 # DEPENDENCYPART_ARC
(8,19),-0.0118098 # DEPENDENCYPART_ARC
(8,20),-2.45642 # DEPENDENCYPART_ARC
(8,21),-0.267217 # DEPENDENCYPART_ARC
(8,22),-1.47865 # DEPENDENCYPART_ARC
(8,23),-1.75887 # DEPENDENCYPART_ARC
(8,24),-2.33496 # DEPENDENCYPART_ARC
(8,25),0.696976 # DEPENDENCYPART_ARC
(9,1),-0.735137 # DEPENDENCYPART_ARC
(9,2),-1.13997 # DEPENDENCYPART_ARC
(9,3),-1.28582 # DEPENDENCYPART_ARC
(9,4),-0.245745 # DEPENDENCYPART_ARC
(9,5),-0.857674 # DEPENDENCYPART_ARC
(9,6),-0.368435 # DEPENDENCYPART_ARC
(9,7),-0.289618 # DEPENDENCYPART_ARC
(9,8),0.448513 # DEPENDENCYPART_ARC
(9,10),0.640896 # DEPENDENCYPART_ARC
(9,11),3.97963 # DEPENDENCYPART_ARC
(9,12),-0.755778 # DEPENDENCYPART_ARC
(9,13),-0.277922 # DEPENDENCYPART_ARC
(9,14),0.736418 # DEPENDENCYPART_ARC
(9,15),-2.67623 # DEPENDENCYPART_ARC
(9,16),-4.56521 # DEPENDENCYPART_ARC
(9,17),-4.87498 # DEPENDENCYPART_ARC
(9,18),1.22743 # DEPENDENCYPART_ARC
(9,19),-1.13226 # DEPENDENCYPART_ARC
(9,20),-5.93529 # DEPENDENCYPART_ARC
(9,21),-2.95172 # DEPENDENCYPART_ARC
(9,22),-7.75612 # DEPENDENCYPART_ARC
(9,23),-1.58757 # DEPENDENCYPART_ARC
(9,24),-5.85381 # DEPENDENCYPART_ARC
(9,25),-0.316811 # DEPENDENCYPART_ARC
(10,1),-1.73303 # DEPENDENCYPART_ARC
(10,2),-1.9675 # DEPENDENCYPART_ARC
(10,3),-1.86937 # DEPENDENCYPART_ARC
(10,4),-0.965118 # DEPENDENCYPART_ARC
(10,5),-1.75215 # DEPENDENCYPART_ARC
(10,6),-1.49959 # DEPENDENCYPART_ARC
(10,7),-0.818747 # DEPENDENCYPART_ARC
(10,8),-0.674151 # DEPENDENCYPART_ARC
(10,9),0.256679 # DEPENDENCYPART_ARC
(10,11),1.06317 # DEPENDENCYPART_ARC
(10,12),0.579168 # DEPENDENCYPART_ARC
(10,13),-0.324812 # DEPENDENCYPART_ARC
(10,14),-0.765147 # DEPENDENCYPART_ARC
(10,15),-0.256754 # DEPENDENCYPART_ARC
(10,16),-0.327713 # DEPENDENCYPART_ARC
(10,17),-0.370002 # DEPENDENCYPART_ARC
(10,18),0.323839 # DEPENDENCYPART_ARC
(10,19),-0.444219 # DEPENDENCYPART_ARC
(10,20),-0.729415 # DEPENDENCYPART_ARC
(10,21),-0.726572 # DEPENDENCYPART_ARC
(10,22),-1.05831 # DEPENDENCYPART_ARC
(10,23),-1.92751 # DEPENDENCYPART_ARC
(10,24),-1.14766 # DEPENDENCYPART_ARC
(10,25),-0.648273 # DEPENDENCYPART_ARC
(11,1),1.00638 # DEPENDENCYPART_ARC
(11,2),-0.77789 # DEPENDENCYPART_ARC
(11,3),-0.907147 # DEPENDENCYPART_ARC
(11,4),0.298619 # DEPENDENCYPART_ARC
(11,5),-0.163476 # DEPENDENCYPART_ARC
(11,6),-0.174188 # DEPENDENCYPART_ARC
(11,7),-0.252761 # DEPENDENCYPART_ARC
(11,8),-0.159932 # DEPENDENCYPART_ARC
(11,9),0.74906 # DEPENDENCYPART_ARC
(11,10),3.2537 # DEPENDENCYPART_ARC
(11,12),2.0097 # DEPENDENCYPART_ARC
(11,13),0.722917 # DEPENDENCYPART_ARC
(11,14),1.86623 # DEPENDENCYPART_ARC
(11,15),-0.704472 # DEPENDENCYPART_ARC
(11,16),-0.058246 # DEPENDENCYPART_ARC
(11,17),-0.224476 # DEPENDENCYPART_ARC
(11,18),0.511644 # DEPENDENCYPART_ARC
(11,19),-0.400957 # DEPENDENCYPART_ARC
(11,20),-0.548668 # DEPENDENCYPART_ARC
(11,21),-0.355605 # DEPENDENCYPART_ARC
(11,22),-0.820292 # DEPENDENCYPART_ARC
(11,23),-1.04722 # DEPENDENCYPART_ARC
(11,24),-0.939778 # DEPENDENCYPART_ARC
(11,25),3.20266 # DEPENDENCYPART_ARC
(12,1),-2.00498 # DEPENDENCYPART_ARC
(12,2),-2.21373 # DEPENDENCYPART_ARC
(12,3),-2.39968 # DEPENDENCYPART_ARC
(12,4),-1.68644 # DEPENDENCYPART_ARC
(12,5),-2.05281 # DEPENDENCYPART_ARC
(12,6),-1.88864 # DEPENDENCYPART_ARC
(12,7),-1.69019 # DEPENDENCYPART_ARC
(12,8),-1.39424 # DEPENDENCYPART_ARC
(12,9),0.151447 # DEPENDENCYPART_ARC
(12,10),-0.823381 # DEPENDENCYPART_ARC
(12,11),-0.724986 # DEPENDENCYPART_ARC
(12,13),3.68428 # DEPENDENCYPART_ARC
(12,14),1.0291 # DEPENDENCYPART_ARC
(12,15),-1.01833 # DEPENDENCYPART_ARC
(12,16),-0.966646 # DEPENDENCYPART_ARC
(12,17),-2.0371 # DEPENDENCYPART_ARC
(12,18),0.160993 # DEPENDENCYPART_ARC
(12,19),-0.562059 # DEPENDENCYPART_ARC
(12,20),-3.56093 # DEPENDENCYPART_ARC
(12,21),-2.12266 # DEPENDENCYPART_ARC
(12,22),-4.71549 # DEPENDENCYPART_ARC
(12,23),-1.88263 # DEPENDENCYPART_ARC
(12,24),-3.42838 # DEPENDENCYPART_ARC
(12,25),-1.96935 # DEPENDENCYPART_ARC
(13,1),-2.09134 # DEPENDENCYPART_ARC
(13,2),-2.04736 # DEPENDENCYPART_ARC
(13,3),-1.78388 # DEPENDENCYPART_ARC
(13,4),-1.81789 # DEPENDENCYPART_ARC
(13,5),-1.983 # DEPENDENCYPART_ARC
(13,6),-1.67979 # DEPENDENCYPART_ARC
(13,7),-1.44501 # DEPENDENCYPART_ARC
(13,8),-1.34959 # DEPENDENCYPART_ARC
(13,9),-1.04343 # DEPENDENCYPART_ARC
(13,10),-0.770019 # DEPENDENCYPART_ARC
(13,11),-0.537225 # DEPENDENCYPART_ARC
(13,12),0.244171 # DEPENDENCYPART_ARC
(13,14),0.269887 # DEPENDENCYPART_ARC
(13,15),-0.898403 # DEPENDENCYPART_ARC
(13,16),-0.779737 # DEPENDENCYPART_ARC
(13,17),-0.973821 # DEPENDENCYPART_ARC
(13,18),-1.09863 # DEPENDENCYPART_ARC
(13,19),-1.45922 # DEPENDENCYPART_ARC
(13,20),-1.41373 # DEPENDENCYPART_ARC
(13,21),-1.04819 # DEPENDENCYPART_ARC
(13,22),-1.94495 # DEPENDENCYPART_ARC
(13,23),-2.04265 # DEPENDENCYPART_ARC
(13,24),-1.77121 # DEPENDENCYPART_ARC
(13,25),-1.52657 # DEPENDENCYPART_ARC
(14,1),0.750965 # DEPENDENCYPART_ARC
(14,2),-0.0335184 # DEPENDENCYPART_ARC
(14,3),-0.235109 # DEPENDENCYPART_ARC
(14,4),0.468988 # DEPENDENCYPART_ARC
(14,5),0.916724 # DEPENDENCYPART_ARC
(14,6),0.75718 # DEPENDENCYPART_ARC
(14,7),0.574108 # DEPENDENCYPART_ARC
(14,8),0.750836 # DEPENDENCYPART_ARC
(14,9),1.90238 # DEPENDENCYPART_ARC
(14,10),1.68523 # DEPENDENCYPART_ARC
(14,11),1.16398 # DEPENDENCYPART_ARC
(14,12),2.10161 # DEPENDENCYPART_ARC
(14,13),2.41177 # DEPENDENCYPART_ARC
(14,15),1.50339 # DEPENDENCYPART_ARC
(14,16),2.64015 # DEPENDENCYPART_ARC
(14,17),3.38439 # DEPENDENCYPART_ARC
(14,18),2.22229 # DEPENDENCYPART_ARC
(14,19),2.54451 # DEPENDENCYPART_ARC
(14,20),0.291916 # DEPENDENCYPART_ARC
(14,21),1.99409 # DEPENDENCYPART_ARC
(14,22),0.00214865 # DEPENDENCYPART_ARC
(14,23),-0.634018 # DEPENDENCYPART_ARC
(14,24),-0.0678251 # DEPENDENCYPART_ARC
(14,25),1.56367 # DEPENDENCYPART_ARC
(15,1),-3.07283 # DEPENDENCYPART_ARC
(15,2),-3.40543 # DEPENDENCYPART_ARC
(15,3),-3.34768 # DEPENDENCYPART_ARC
(15,4),-2.94083 # DEPENDENCYPART_ARC
(15,5),-3.27308 # DEPENDENCYPART_ARC
(15,6),-2.99143 # DEPENDENCYPART_ARC
(15,7),-2.69771 # DEPENDENCYPART_ARC
(15,8),-2.61518 # DEPENDENCYPART_ARC
(15,9),-1.96346 # DEPENDENCYPART_ARC
(15,10),-1.87219 # DEPENDENCYPART_ARC
(15,11),-2.29159 # DEPENDENCYPART_ARC
(15,12),-0.962772 # DEPENDENCYPART_ARC
(15,13),-0.842814 # DEPENDENCYPART_ARC
(15,14),-0.394592 # DEPENDENCYPART_ARC
(15,16),-0.0752817 # DEPENDENCYPART_ARC
(15,17),-0.646776 # DEPENDENCYPART_ARC
(15,18),-1.21219 # DEPENDENCYPART_ARC
(15,19),-1.77273 # DEPENDENCYPART_ARC
(15,20),-1.53574 # DEPENDENCYPART_ARC
(15,21),-1.66413 # DEPENDENCYPART_ARC
(15,22),-2.3043 # DEPENDENCYPART_ARC
(15,23),-2.53622 # DEPENDENCYPART_ARC
(15,24),-2.07855 # DEPENDENCYPART_ARC
(15,25),-2.30835 # DEPENDENCYPART_ARC
(16,1),-2.33366 # DEPENDENCYPART_ARC
(16,2),-5.34206 # DEPENDENCYPART_ARC
(16,3),-6.29953 # DEPENDENCYPART_ARC
(16,4),-2.83939 # DEPENDENCYPART_ARC
(16,5),-4.56721 # DEPENDENCYPART_ARC
(16,6),-2.72376 # DEPENDENCYPART_ARC
(16,7),-1.75467 # DEPENDENCYPART_ARC
(16,8),-2.49482 # DEPENDENCYPART_ARC
(16,9),-0.21626 # DEPENDENCYPART_ARC
(16,10),-1.41875 # DEPENDENCYPART_ARC
(16,11),-1.23161 # DEPENDENCYPART_ARC
(16,12),1.16523 # DEPENDENCYPART_ARC
(16,13),0.286928 # DEPENDENCYPART_ARC
(16,14),0.100413 # DEPENDENCYPART_ARC
(16,15),4.04295 # DEPENDENCYPART_ARC
(16,17),0.603494 # DEPENDENCYPART_ARC
(16,18),-0.418727 # DEPENDENCYPART_ARC
(16,19),-0.36631 # DEPENDENCYPART_ARC
(16,20),-1.05776 # DEPENDENCYPART_ARC
(16,21),-0.890449 # DEPENDENCYPART_ARC
(16,22),-1.18431 # DEPENDENCYPART_ARC
(16,23),-0.863866 # DEPENDENCYPART_ARC
(16,24),-1.4131 # DEPENDENCYPART_ARC
(16,25),-1.70072 # DEPENDENCYPART_ARC
(17,1),-2.54108 # DEPENDENCYPART_ARC
(17,2),-6.97201 # DEPENDENCYPART_ARC
(17,3),-8.15252 # DEPENDENCYPART_ARC
(17,4),-3.85694 # DEPENDENCYPART_ARC
(17,5),-6.29907 # DEPENDENCYPART_ARC
(17,6),-4.02861 # DEPENDENCYPART_ARC
(17,7),-3.05879 # DEPENDENCYPART_ARC
(17,8),-3.38377 # DEPENDENCYPART_ARC
(17,9),-1.2999 # DEPENDENCYPART_ARC
(17,10),-2.28894 # DEPENDENCYPART_ARC
(17,11),-2.68035 # DEPENDENCYPART_ARC
(17,12),0.325894 # DEPENDENCYPART_ARC
(17,13),-0.931663 # DEPENDENCYPART_ARC
(17,14),-1.45711 # DEPENDENCYPART_ARC
(17,15),1.81039 # DEPENDENCYPART_ARC
(17,16),0.996814 # DEPENDENCYPART_ARC
(17,18),-0.0621062 # DEPENDENCYPART_ARC
(17,19),-1.44624 # DEPENDENCYPART_ARC
(17,20),-0.36475 # DEPENDENCYPART_ARC
(17,21),-1.02012 # DEPENDENCYPART_ARC
(17,22),-0.979673 # DEPENDENCYPART_ARC
(17,23),-0.473256 # DEPENDENCYPART_ARC
(17,24),-1.2219 # DEPENDENCYPART_ARC
(17,25),-0.338447 # DEPENDENCYPART_ARC
(18,1),-2.94935 # DEPENDENCYPART_ARC
(18,2),-3.25195 # DEPENDENCYPART_ARC
(18,3),-3.23245 # DEPENDENCYPART_ARC
(18,4),-1.11493 # DEPENDENCYPART_ARC
(18,5),-2.42906 # DEPENDENCYPART_ARC
(18,6),-2.46017 # DEPENDENCYPART_ARC
(18,7),-2.14562 # DEPENDENCYPART_ARC
(18,8),-1.49734 # DEPENDENCYPART_ARC
(18,9),-2.07165 # DEPENDENCYPART_ARC
(18,10),-2.32823 # DEPENDENCYPART_ARC
(18,11),-2.20979 # DEPENDENCYPART_ARC
(18,12),-1.6716 # DEPENDENCYPART_ARC
(18,13),-1.73779 # DEPENDENCYPART_ARC
(18,14),-1.7258 # DEPENDENCYPART_ARC
(18,15),-0.815076 # DEPENDENCYPART_ARC
(18,16),-1.80909 # DEPENDENCYPART_ARC
(18,17),-0.981561 # DEPENDENCYPART_ARC
(18,19),-0.395501 # DEPENDENCYPART_ARC
(18,20),-0.620606 # DEPENDENCYPART_ARC
(18,21),-0.852012 # DEPENDENCYPART_ARC
(18,22),-0.93544 # DEPENDENCYPART_ARC
(18,23),-1.38758 # DEPENDENCYPART_ARC
(18,24),-1.74576 # DEPENDENCYPART_ARC
(18,25),-1.07626 # DEPENDENCYPART_ARC
(19,1),-2.62611 # DEPENDENCYPART_ARC
(19,2),-2.85352 # DEPENDENCYPART_ARC
(19,3),-3.07627 # DEPENDENCYPART_ARC
(19,4),-2.11109 # DEPENDENCYPART_ARC
(19,5),-3.0296 # DEPENDENCYPART_ARC
(19,6),-1.70225 # DEPENDENCYPART_ARC
(19,7),-1.80095 # DEPENDENCYPART_ARC
(19,8),-1.62963 # DEPENDENCYPART_ARC
(19,9),-0.422171 # DEPENDENCYPART_ARC
(19,10),-1.90519 # DEPENDENCYPART_ARC
(19,11),-2.00921 # DEPENDENCYPART_ARC
(19,12),-0.0370587 # DEPENDENCYPART_ARC
(19,13),-1.34887 # DEPENDENCYPART_ARC
(19,14),-1.18364 # DEPENDENCYPART_ARC
(19,15),-0.562915 # DEPENDENCYPART_ARC
(19,16),-0.605854 # DEPENDENCYPART_ARC
(19,17),-1.51233 # DEPENDENCYPART_ARC
(19,18),0.598709 # DEPENDENCYPART_ARC
(19,20),3.58017 # DEPENDENCYPART_ARC
(19,21),1.4835 # DEPENDENCYPART_ARC
(19,22),-0.287 # DEPENDENCYPART_ARC
(19,23),-0.243233 # DEPENDENCYPART_ARC
(19,24),1.97994 # DEPENDENCYPART_ARC
(19,25),-0.662706 # DEPENDENCYPART_ARC
(20,1),-3.19532 # DEPENDENCYPART_ARC
(20,2),-7.08475 # DEPENDENCYPART_ARC
(20,3),-8.14342 # DEPENDENCYPART_ARC
(20,4),-3.2603 # DEPENDENCYPART_ARC
(20,5),-5.83894 # DEPENDENCYPART_ARC
(20,6),-3.49732 # DEPENDENCYPART_ARC
(20,7),-2.9028 # DEPENDENCYPART_ARC
(20,8),-3.33706 # DEPENDENCYPART_ARC
(20,9),-2.33237 # DEPENDENCYPART_ARC
(20,10),-2.27871 # DEPENDENCYPART_ARC
(20,11),-2.50831 # DEPENDENCYPART_ARC
(20,12),-0.793666 # DEPENDENCYPART_ARC
(20,13),-1.52193 # DEPENDENCYPART_ARC
(20,14),-2.05526 # DEPENDENCYPART_ARC
(20,15),0.870607 # DEPENDENCYPART_ARC
(20,16),-0.16597 # DEPENDENCYPART_ARC
(20,17),-1.01788 # DEPENDENCYPART_ARC
(20,18),-0.193393 # DEPENDENCYPART_ARC
(20,19),0.603458 # DEPENDENCYPART_ARC
(20,21),2.28922 # DEPENDENCYPART_ARC
(20,22),-0.165144 # DEPENDENCYPART_ARC
(20,23),1.01497 # DEPENDENCYPART_ARC
(20,24),-0.151333 # DEPENDENCYPART_ARC
(20,25),-1.25776 # DEPENDENCYPART_ARC
(21,1),-2.26609 # DEPENDENCYPART_ARC
(21,2),-1.0531 # DEPENDENCYPART_ARC
(21,3),-0.954212 # DEPENDENCYPART_ARC
(21,4),-0.658177 # DEPENDENCYPART_ARC
