# _root_ That debt would be paid off as the assets are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .
#goldHeads=2,3,0,3,4,5,5,9,10,7,10,5,5,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
#predictedHeads=2,3,0,3,4,5,5,9,10,7,10,11,11,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
(1,32),-3.39487 # DEPENDENCYPART_ARC
(1,33),-5.58249 # DEPENDENCYPART_ARC
(1,34),3.0944 # DEPENDENCYPART_ARC
(2,1),3.12848 # DEPENDENCYPART_ARC
(2,3),0.101176 # DEPENDENCYPART_ARC
(2,4),0.26633 # DEPENDENCYPART_ARC
(2,5),0.532338 # DEPENDENCYPART_ARC
(2,6),-0.798968 # DEPENDENCYPART_ARC
(2,7),-0.448614 # DEPENDENCYPART_ARC
(2,8),-1.11935 # DEPENDENCYPART_ARC
(2,9),-1.20022 # DEPENDENCYPART_ARC
(2,10),-0.402607 # DEPENDENCYPART_ARC
(2,11),-1.15643 # DEPENDENCYPART_ARC
(2,12),-0.507194 # DEPENDENCYPART_ARC
(2,13),-1.09129 # DEPENDENCYPART_ARC
(2,14),-1.90954 # DEPENDENCYPART_ARC
(2,15),-1.98105 # DEPENDENCYPART_ARC
(2,16),-1.96662 # DEPENDENCYPART_ARC
(2,17),-1.9889 # DEPENDENCYPART_ARC
(2,18),-2.10426 # DEPENDENCYPART_ARC
(2,19),-2.39456 # DEPENDENCYPART_ARC
(2,20),-2.74463 # DEPENDENCYPART_ARC
(2,21),-2.69446 # DEPENDENCYPART_ARC
(2,22),-2.12077 # DEPENDENCYPART_ARC
(2,23),-2.65623 # DEPENDENCYPART_ARC
(2,24),-1.67125 # DEPENDENCYPART_ARC
(2,25),-2.10806 # DEPENDENCYPART_ARC
(2,26),-3.08319 # DEPENDENCYPART_ARC
(2,27),-2.81368 # DEPENDENCYPART_ARC
(2,28),-3.50828 # DEPENDENCYPART_ARC
(2,29),-1.80255 # DEPENDENCYPART_ARC
(2,30),-4.20708 # DEPENDENCYPART_ARC
(2,31),-3.6355 # DEPENDENCYPART_ARC
(2,32),-3.80273 # DEPENDENCYPART_ARC
(2,33),-3.19312 # DEPENDENCYPART_ARC
(2,34),-0.847001 # DEPENDENCYPART_ARC
(3,1),1.29889 # DEPENDENCYPART_ARC
(3,2),3.42223 # DEPENDENCYPART_ARC
(3,4),4.46506 # DEPENDENCYPART_ARC
(3,5),1.55671 # DEPENDENCYPART_ARC
(3,6),0.705061 # DEPENDENCYPART_ARC
(3,7),0.706933 # DEPENDENCYPART_ARC
(3,8),-0.350042 # DEPENDENCYPART_ARC
(3,9),0.231553 # DEPENDENCYPART_ARC
(3,10),0.701501 # DEPENDENCYPART_ARC
(3,11),0.32065 # DEPENDENCYPART_ARC
(3,12),1.69281 # DEPENDENCYPART_ARC
(3,13),-0.0892526 # DEPENDENCYPART_ARC
(3,14),-0.852672 # DEPENDENCYPART_ARC
(3,15),-1.11636 # DEPENDENCYPART_ARC
(3,16),-0.113706 # DEPENDENCYPART_ARC
(3,17),0.801984 # DEPENDENCYPART_ARC
(3,18),-1.27505 # DEPENDENCYPART_ARC
(3,19),-0.669631 # DEPENDENCYPART_ARC
(3,20),0.0539926 # DEPENDENCYPART_ARC
(3,21),-1.83131 # DEPENDENCYPART_ARC
(3,22),-2.10525 # DEPENDENCYPART_ARC
(3,23),-2.20314 # DEPENDENCYPART_ARC
(3,24),1.96605 # DEPENDENCYPART_ARC
(3,25),-0.150817 # DEPENDENCYPART_ARC
(3,26),-2.32527 # DEPENDENCYPART_ARC
(3,27),-2.62551 # DEPENDENCYPART_ARC
(3,28),-2.70667 # DEPENDENCYPART_ARC
(3,29),-1.20212 # DEPENDENCYPART_ARC
(3,30),-0.875905 # DEPENDENCYPART_ARC
(3,31),0.0626998 # DEPENDENCYPART_ARC
(3,32),-3.17977 # DEPENDENCYPART_ARC
(3,33),-2.86887 # DEPENDENCYPART_ARC
(3,34),5.97499 # DEPENDENCYPART_ARC
(4,1),0.79827 # DEPENDENCYPART_ARC
(4,2),0.619601 # DEPENDENCYPART_ARC
(4,3),1.25868 # DEPENDENCYPART_ARC
(4,5),3.74131 # DEPENDENCYPART_ARC
(4,6),1.29212 # DEPENDENCYPART_ARC
(4,7),0.656123 # DEPENDENCYPART_ARC
(4,8),-1.34769 # DEPENDENCYPART_ARC
(4,9),-0.50923 # DEPENDENCYPART_ARC
(4,10),-0.0803903 # DEPENDENCYPART_ARC
(4,11),0.279897 # DEPENDENCYPART_ARC
(4,12),0.233473 # DEPENDENCYPART_ARC
(4,13),0.154871 # DEPENDENCYPART_ARC
(4,14),-2.01216 # DEPENDENCYPART_ARC
(4,15),-2.23229 # DEPENDENCYPART_ARC
(4,16),-3.21608 # DEPENDENCYPART_ARC
(4,17),-2.19505 # DEPENDENCYPART_ARC
(4,18),-2.49162 # DEPENDENCYPART_ARC
(4,19),-4.00689 # DEPENDENCYPART_ARC
(4,20),-1.74492 # DEPENDENCYPART_ARC
(4,21),-1.98792 # DEPENDENCYPART_ARC
(4,22),-2.18981 # DEPENDENCYPART_ARC
(4,23),-1.9368 # DEPENDENCYPART_ARC
(4,24),-0.736186 # DEPENDENCYPART_ARC
(4,25),-1.44254 # DEPENDENCYPART_ARC
(4,26),-3.07365 # DEPENDENCYPART_ARC
(4,27),-2.4568 # DEPENDENCYPART_ARC
(4,28),-2.37106 # DEPENDENCYPART_ARC
(4,29),-3.37636 # DEPENDENCYPART_ARC
(4,30),-6.39307 # DEPENDENCYPART_ARC
(4,31),-1.50688 # DEPENDENCYPART_ARC
(4,32),-3.13402 # DEPENDENCYPART_ARC
(4,33),-7.44066 # DEPENDENCYPART_ARC
(4,34),0.290338 # DEPENDENCYPART_ARC
(5,1),0.656836 # DEPENDENCYPART_ARC
(5,2),0.491621 # DEPENDENCYPART_ARC
(5,3),0.168114 # DEPENDENCYPART_ARC
(5,4),0.647781 # DEPENDENCYPART_ARC
(5,6),3.71858 # DEPENDENCYPART_ARC
(5,7),3.1843 # DEPENDENCYPART_ARC
(5,8),0.480559 # DEPENDENCYPART_ARC
(5,9),1.05834 # DEPENDENCYPART_ARC
(5,10),1.67682 # DEPENDENCYPART_ARC
(5,11),1.0687 # DEPENDENCYPART_ARC
(5,12),2.35288 # DEPENDENCYPART_ARC
(5,13),1.41488 # DEPENDENCYPART_ARC
(5,14),-0.291662 # DEPENDENCYPART_ARC
(5,15),-0.154827 # DEPENDENCYPART_ARC
(5,16),-0.00898544 # DEPENDENCYPART_ARC
(5,17),0.924263 # DEPENDENCYPART_ARC
(5,18),-0.594917 # DEPENDENCYPART_ARC
(5,19),-1.114 # DEPENDENCYPART_ARC
(5,20),-0.124489 # DEPENDENCYPART_ARC
(5,21),1.19025 # DEPENDENCYPART_ARC
(5,22),-0.439465 # DEPENDENCYPART_ARC
(5,23),-0.479983 # DEPENDENCYPART_ARC
(5,24),0.496379 # DEPENDENCYPART_ARC
(5,25),0.0812486 # DEPENDENCYPART_ARC
(5,26),-0.16604 # DEPENDENCYPART_ARC
(5,27),-0.927279 # DEPENDENCYPART_ARC
(5,28),-0.948708 # DEPENDENCYPART_ARC
(5,29),-1.20966 # DEPENDENCYPART_ARC
(5,30),-2.67909 # DEPENDENCYPART_ARC
(5,31),-0.877237 # DEPENDENCYPART_ARC
(5,32),-1.4367 # DEPENDENCYPART_ARC
(5,33),-4.58006 # DEPENDENCYPART_ARC
(5,34),0.552284 # DEPENDENCYPART_ARC
(6,1),0.839516 # DEPENDENCYPART_ARC
(6,2),0.23138 # DEPENDENCYPART_ARC
(6,3),0.265778 # DEPENDENCYPART_ARC
(6,4),0.59083 # DEPENDENCYPART_ARC
(6,5),1.18961 # DEPENDENCYPART_ARC
(6,7),0.49637 # DEPENDENCYPART_ARC
(6,8),-0.349466 # DEPENDENCYPART_ARC
(6,9),0.539982 # DEPENDENCYPART_ARC
(6,10),0.0475715 # DEPENDENCYPART_ARC
(6,11),-0.330557 # DEPENDENCYPART_ARC
(6,12),-0.193258 # DEPENDENCYPART_ARC
(6,13),-0.512842 # DEPENDENCYPART_ARC
(6,14),-1.31891 # DEPENDENCYPART_ARC
(6,15),-1.04828 # DEPENDENCYPART_ARC
(6,16),-0.161495 # DEPENDENCYPART_ARC
(6,17),-0.793051 # DEPENDENCYPART_ARC
(6,18),-1.78557 # DEPENDENCYPART_ARC
(6,19),-0.387902 # DEPENDENCYPART_ARC
(6,20),-1.1454 # DEPENDENCYPART_ARC
(6,21),-1.34371 # DEPENDENCYPART_ARC
(6,22),-2.31962 # DEPENDENCYPART_ARC
(6,23),-2.27908 # DEPENDENCYPART_ARC
(6,24),-1.73783 # DEPENDENCYPART_ARC
(6,25),-1.50085 # DEPENDENCYPART_ARC
(6,26),-1.90118 # DEPENDENCYPART_ARC
(6,27),-2.4595 # DEPENDENCYPART_ARC
(6,28),-2.48359 # DEPENDENCYPART_ARC
(6,29),-2.18905 # DEPENDENCYPART_ARC
(6,30),-0.984959 # DEPENDENCYPART_ARC
(6,31),-2.01394 # DEPENDENCYPART_ARC
(6,32),-2.88986 # DEPENDENCYPART_ARC
(6,33),-1.62986 # DEPENDENCYPART_ARC
(6,34),-2.0219 # DEPENDENCYPART_ARC
(7,1),-0.879354 # DEPENDENCYPART_ARC
(7,2),-1.08252 # DEPENDENCYPART_ARC
(7,3),-1.51213 # DEPENDENCYPART_ARC
(7,4),-0.529799 # DEPENDENCYPART_ARC
(7,5),-0.545401 # DEPENDENCYPART_ARC
(7,6),0.285145 # DEPENDENCYPART_ARC
(7,8),0.731608 # DEPENDENCYPART_ARC
(7,9),2.29618 # DEPENDENCYPART_ARC
(7,10),3.02863 # DEPENDENCYPART_ARC
(7,11),1.62266 # DEPENDENCYPART_ARC
(7,12),0.424953 # DEPENDENCYPART_ARC
(7,13),-0.942383 # DEPENDENCYPART_ARC
(7,14),-1.98556 # DEPENDENCYPART_ARC
(7,15),-0.493835 # DEPENDENCYPART_ARC
(7,16),-1.16558 # DEPENDENCYPART_ARC
(7,17),-0.30872 # DEPENDENCYPART_ARC
(7,18),-2.58176 # DEPENDENCYPART_ARC
(7,19),-3.20715 # DEPENDENCYPART_ARC
(7,20),-1.42567 # DEPENDENCYPART_ARC
(7,21),-3.25778 # DEPENDENCYPART_ARC
(7,22),-2.48848 # DEPENDENCYPART_ARC
(7,23),-1.94575 # DEPENDENCYPART_ARC
(7,24),0.0429424 # DEPENDENCYPART_ARC
(7,25),-2.17593 # DEPENDENCYPART_ARC
(7,26),-5.08912 # DEPENDENCYPART_ARC
(7,27),-3.06463 # DEPENDENCYPART_ARC
(7,28),-3.1473 # DEPENDENCYPART_ARC
(7,29),-4.04252 # DEPENDENCYPART_ARC
(7,30),-6.96657 # DEPENDENCYPART_ARC
(7,31),-4.43852 # DEPENDENCYPART_ARC
(7,32),-4.25536 # DEPENDENCYPART_ARC
(7,33),-9.08461 # DEPENDENCYPART_ARC
(7,34),-0.0819696 # DEPENDENCYPART_ARC
(8,1),-1.95072 # DEPENDENCYPART_ARC
(8,2),-2.59981 # DEPENDENCYPART_ARC
(8,3),-2.32014 # DEPENDENCYPART_ARC
(8,4),-1.6401 # DEPENDENCYPART_ARC
(8,5),-1.61085 # DEPENDENCYPART_ARC
(8,6),-1.16702 # DEPENDENCYPART_ARC
(8,7),-0.580295 # DEPENDENCYPART_ARC
(8,9),-0.860311 # DEPENDENCYPART_ARC
(8,10),-0.761762 # DEPENDENCYPART_ARC
(8,11),-1.55577 # DEPENDENCYPART_ARC
(8,12),-1.41903 # DEPENDENCYPART_ARC
(8,13),-1.91645 # DEPENDENCYPART_ARC
(8,14),-2.88017 # DEPENDENCYPART_ARC
(8,15),-2.17998 # DEPENDENCYPART_ARC
(8,16),-2.49396 # DEPENDENCYPART_ARC
(8,17),-2.35459 # DEPENDENCYPART_ARC
(8,18),-3.30697 # DEPENDENCYPART_ARC
(8,19),-2.70826 # DEPENDENCYPART_ARC
(8,20),-3.5958 # DEPENDENCYPART_ARC
(8,21),-4.20623 # DEPENDENCYPART_ARC
(8,22),-3.36117 # DEPENDENCYPART_ARC
(8,23),-3.5074 # DEPENDENCYPART_ARC
(8,24),-2.51045 # DEPENDENCYPART_ARC
(8,25),-3.20852 # DEPENDENCYPART_ARC
(8,26),-4.73262 # DEPENDENCYPART_ARC
(8,27),-3.88849 # DEPENDENCYPART_ARC
(8,28),-3.90101 # DEPENDENCYPART_ARC
(8,29),-3.58256 # DEPENDENCYPART_ARC
(8,30),-4.20632 # DEPENDENCYPART_ARC
(8,31),-4.62259 # DEPENDENCYPART_ARC
(8,32),-3.80919 # DEPENDENCYPART_ARC
(8,33),-4.64037 # DEPENDENCYPART_ARC
(8,34),-2.75256 # DEPENDENCYPART_ARC
(9,1),-2.53844 # DEPENDENCYPART_ARC
(9,2),-2.45704 # DEPENDENCYPART_ARC
(9,3),-1.75009 # DEPENDENCYPART_ARC
(9,4),-0.84068 # DEPENDENCYPART_ARC
(9,5),-0.0446126 # DEPENDENCYPART_ARC
(9,6),-0.583052 # DEPENDENCYPART_ARC
(9,7),0.239339 # DEPENDENCYPART_ARC
(9,8),4.35979 # DEPENDENCYPART_ARC
(9,10),0.360508 # DEPENDENCYPART_ARC
(9,11),0.376299 # DEPENDENCYPART_ARC
(9,12),0.591816 # DEPENDENCYPART_ARC
(9,13),-0.034218 # DEPENDENCYPART_ARC
(9,14),-1.07559 # DEPENDENCYPART_ARC
(9,15),-1.16768 # DEPENDENCYPART_ARC
(9,16),-1.24534 # DEPENDENCYPART_ARC
(9,17),-0.673363 # DEPENDENCYPART_ARC
(9,18),-1.30265 # DEPENDENCYPART_ARC
(9,19),-1.60774 # DEPENDENCYPART_ARC
(9,20),-1.13846 # DEPENDENCYPART_ARC
(9,21),-3.05979 # DEPENDENCYPART_ARC
(9,22),-1.72336 # DEPENDENCYPART_ARC
(9,23),-1.53849 # DEPENDENCYPART_ARC
(9,24),-0.174383 # DEPENDENCYPART_ARC
(9,25),-1.1001 # DEPENDENCYPART_ARC
(9,26),-3.48032 # DEPENDENCYPART_ARC
(9,27),-2.12743 # DEPENDENCYPART_ARC
(9,28),-2.10786 # DEPENDENCYPART_ARC
(9,29),0.325392 # DEPENDENCYPART_ARC
(9,30),-3.22801 # DEPENDENCYPART_ARC
(9,31),-1.50506 # DEPENDENCYPART_ARC
(9,32),-2.40421 # DEPENDENCYPART_ARC
(9,33),-3.63632 # DEPENDENCYPART_ARC
(9,34),-0.794018 # DEPENDENCYPART_ARC
(10,1),-0.227157 # DEPENDENCYPART_ARC
(10,2),0.252903 # DEPENDENCYPART_ARC
(10,3),-0.587631 # DEPENDENCYPART_ARC
(10,4),-0.408053 # DEPENDENCYPART_ARC
(10,5),0.165714 # DEPENDENCYPART_ARC
(10,6),0.351392 # DEPENDENCYPART_ARC
(10,7),1.14546 # DEPENDENCYPART_ARC
(10,8),0.805796 # DEPENDENCYPART_ARC
(10,9),3.41902 # DEPENDENCYPART_ARC
(10,11),3.21518 # DEPENDENCYPART_ARC
(10,12),1.40984 # DEPENDENCYPART_ARC
(10,13),1.16857 # DEPENDENCYPART_ARC
(10,14),-1.1495 # DEPENDENCYPART_ARC
(10,15),-0.208988 # DEPENDENCYPART_ARC
(10,16),-0.966796 # DEPENDENCYPART_ARC
(10,17),-0.599675 # DEPENDENCYPART_ARC
(10,18),-1.61211 # DEPENDENCYPART_ARC
(10,19),-1.59504 # DEPENDENCYPART_ARC
(10,20),-0.563757 # DEPENDENCYPART_ARC
(10,21),-0.94179 # DEPENDENCYPART_ARC
(10,22),-1.50463 # DEPENDENCYPART_ARC
(10,23),-1.44756 # DEPENDENCYPART_ARC
(10,24),1.14733 # DEPENDENCYPART_ARC
(10,25),-1.52593 # DEPENDENCYPART_ARC
(10,26),-1.75957 # DEPENDENCYPART_ARC
(10,27),-1.83272 # DEPENDENCYPART_ARC
(10,28),-1.86939 # DEPENDENCYPART_ARC
(10,29),-1.71493 # DEPENDENCYPART_ARC
(10,30),-3.63801 # DEPENDENCYPART_ARC
(10,31),-2.83011 # DEPENDENCYPART_ARC
(10,32),-2.23924 # DEPENDENCYPART_ARC
(10,33),-4.20851 # DEPENDENCYPART_ARC
(10,34),4.70505 # DEPENDENCYPART_ARC
(11,1),0.0402642 # DEPENDENCYPART_ARC
(11,2),-0.173239 # DEPENDENCYPART_ARC
(11,3),-0.382113 # DEPENDENCYPART_ARC
(11,4),-0.411606 # DEPENDENCYPART_ARC
(11,5),-0.0202359 # DEPENDENCYPART_ARC
(11,6),0.16296 # DEPENDENCYPART_ARC
(11,7),0.0870498 # DEPENDENCYPART_ARC
(11,8),1.20566 # DEPENDENCYPART_ARC
(11,9),0.738214 # DEPENDENCYPART_ARC
(11,10),1.22916 # DEPENDENCYPART_ARC
(11,12),2.57267 # DEPENDENCYPART_ARC
(11,13),2.13582 # DEPENDENCYPART_ARC
(11,14),-0.20282 # DEPENDENCYPART_ARC
(11,15),0.023036 # DEPENDENCYPART_ARC
(11,16),0.141228 # DEPENDENCYPART_ARC
(11,17),1.03183 # DEPENDENCYPART_ARC
(11,18),-0.698591 # DEPENDENCYPART_ARC
(11,19),-0.920937 # DEPENDENCYPART_ARC
(11,20),0.478354 # DEPENDENCYPART_ARC
(11,21),-0.715769 # DEPENDENCYPART_ARC
(11,22),-0.771898 # DEPENDENCYPART_ARC
(11,23),-0.829299 # DEPENDENCYPART_ARC
(11,24),0.913179 # DEPENDENCYPART_ARC
(11,25),-1.12414 # DEPENDENCYPART_ARC
(11,26),-1.56964 # DEPENDENCYPART_ARC
(11,27),-1.15487 # DEPENDENCYPART_ARC
(11,28),-1.20102 # DEPENDENCYPART_ARC
(11,29),-0.235395 # DEPENDENCYPART_ARC
(11,30),-2.2466 # DEPENDENCYPART_ARC
(11,31),0.0255483 # DEPENDENCYPART_ARC
(11,32),-1.74072 # DEPENDENCYPART_ARC
(11,33),-2.97197 # DEPENDENCYPART_ARC
(11,34),1.35308 # DEPENDENCYPART_ARC
(12,1),-2.1176 # DEPENDENCYPART_ARC
(12,2),-1.98 # DEPENDENCYPART_ARC
(12,3),-2.38139 # DEPENDENCYPART_ARC
(12,4),-2.03278 # DEPENDENCYPART_ARC
(12,5),-1.47227 # DEPENDENCYPART_ARC
(12,6),-1.7874 # DEPENDENCYPART_ARC
(12,7),-1.7251 # DEPENDENCYPART_ARC
(12,8),-1.09502 # DEPENDENCYPART_ARC
(12,9),-1.63095 # DEPENDENCYPART_ARC
(12,10),-1.66023 # DEPENDENCYPART_ARC
(12,11),-0.445542 # DEPENDENCYPART_ARC
(12,13),0.109992 # DEPENDENCYPART_ARC
(12,14),-1.06405 # DEPENDENCYPART_ARC
(12,15),-1.21208 # DEPENDENCYPART_ARC
(12,16),-1.79358 # DEPENDENCYPART_ARC
(12,17),-1.34274 # DEPENDENCYPART_ARC
(12,18),-1.82708 # DEPENDENCYPART_ARC
(12,19),-2.41142 # DEPENDENCYPART_ARC
(12,20),-1.5101 # DEPENDENCYPART_ARC
(12,21),-2.51352 # DEPENDENCYPART_ARC
(12,22),-2.59493 # DEPENDENCYPART_ARC
(12,23),-2.68047 # DEPENDENCYPART_ARC
(12,24),-1.07451 # DEPENDENCYPART_ARC
(12,25),-2.1243 # DEPENDENCYPART_ARC
(12,26),-2.9673 # DEPENDENCYPART_ARC
(12,27),-3.07836 # DEPENDENCYPART_ARC
(12,28),-3.18589 # DEPENDENCYPART_ARC
(12,29),-2.59301 # DEPENDENCYPART_ARC
(12,30),-3.50799 # DEPENDENCYPART_ARC
(12,31),-2.45398 # DEPENDENCYPART_ARC
(12,32),-3.58993 # DEPENDENCYPART_ARC
(12,33),-3.55977 # DEPENDENCYPART_ARC
(12,34),-2.58725 # DEPENDENCYPART_ARC
(13,1),-1.06194 # DEPENDENCYPART_ARC
(13,2),-1.71708 # DEPENDENCYPART_ARC
(13,3),-1.68372 # DEPENDENCYPART_ARC
(13,4),-1.17166 # DEPENDENCYPART_ARC
(13,5),-0.793434 # DEPENDENCYPART_ARC
(13,6),-0.841609 # DEPENDENCYPART_ARC
(13,7),-0.633816 # DEPENDENCYPART_ARC
(13,8),0.321926 # DEPENDENCYPART_ARC
(13,9),-0.163906 # DEPENDENCYPART_ARC
(13,10),0.0255596 # DEPENDENCYPART_ARC
(13,11),0.249295 # DEPENDENCYPART_ARC
(13,12),0.649035 # DEPENDENCYPART_ARC
(13,14),1.75249 # DEPENDENCYPART_ARC
(13,15),2.35921 # DEPENDENCYPART_ARC
(13,16),3.62605 # DEPENDENCYPART_ARC
(13,17),2.78621 # DEPENDENCYPART_ARC
(13,18),0.439254 # DEPENDENCYPART_ARC
(13,19),1.23948 # DEPENDENCYPART_ARC
(13,20),2.45607 # DEPENDENCYPART_ARC
(13,21),0.0945208 # DEPENDENCYPART_ARC
(13,22),0.618224 # DEPENDENCYPART_ARC
(13,23),0.859943 # DEPENDENCYPART_ARC
(13,24),1.69985 # DEPENDENCYPART_ARC
(13,25),0.806822 # DEPENDENCYPART_ARC
(13,26),-0.576644 # DEPENDENCYPART_ARC
(13,27),0.0592088 # DEPENDENCYPART_ARC
(13,28),0.214458 # DEPENDENCYPART_ARC
(13,29),-0.106373 # DEPENDENCYPART_ARC
(13,30),-0.264191 # DEPENDENCYPART_ARC
(13,31),0.998122 # DEPENDENCYPART_ARC
(13,32),-0.527976 # DEPENDENCYPART_ARC
(13,33),-2.38432 # DEPENDENCYPART_ARC
(13,34),1.99734 # DEPENDENCYPART_ARC
(14,1),-2.97075 # DEPENDENCYPART_ARC
(14,2),-3.58794 # DEPENDENCYPART_ARC
(14,3),-3.16334 # DEPENDENCYPART_ARC
(14,4),-2.52057 # DEPENDENCYPART_ARC
(14,5),-2.78284 # DEPENDENCYPART_ARC
(14,6),-2.67701 # DEPENDENCYPART_ARC
(14,7),-2.6565 # DEPENDENCYPART_ARC
(14,8),-1.68005 # DEPENDENCYPART_ARC
(14,9),-2.36386 # DEPENDENCYPART_ARC
(14,10),-2.3053 # DEPENDENCYPART_ARC
(14,11),-1.75154 # DEPENDENCYPART_ARC
(14,12),-1.34676 # DEPENDENCYPART_ARC
(14,13),-0.694939 # DEPENDENCYPART_ARC
(14,15),-0.472481 # DEPENDENCYPART_ARC
(14,16),-1.03686 # DEPENDENCYPART_ARC
(14,17),-1.16806 # DEPENDENCYPART_ARC
(14,18),-2.3955 # DEPENDENCYPART_ARC
(14,19),-1.75529 # DEPENDENCYPART_ARC
(14,20),-2.2712 # DEPENDENCYPART_ARC
(14,21),-3.11255 # DEPENDENCYPART_ARC
(14,22),-2.21709 # DEPENDENCYPART_ARC
(14,23),-2.3444 # DEPENDENCYPART_ARC
(14,24),-1.99321 # DEPENDENCYPART_ARC
(14,25),-2.17669 # DEPENDENCYPART_ARC
(14,26),-3.7594 # DEPENDENCYPART_ARC
(14,27),-2.87615 # DEPENDENCYPART_ARC
(14,28),-2.92803 # DEPENDENCYPART_ARC
(14,29),-2.70952 # DEPENDENCYPART_ARC
(14,30),-3.35232 # DEPENDENCYPART_ARC
(14,31),-3.4587 # DEPENDENCYPART_ARC
(14,32),-2.78131 # DEPENDENCYPART_ARC
(14,33),-3.82914 # DEPENDENCYPART_ARC
(14,34),-2.39057 # DEPENDENCYPART_ARC
(15,1),-2.53974 # DEPENDENCYPART_ARC
(15,2),-2.5131 # DEPENDENCYPART_ARC
(15,3),-2.57638 # DEPENDENCYPART_ARC
(15,4),-2.11361 # DEPENDENCYPART_ARC
(15,5),-2.03474 # DEPENDENCYPART_ARC
(15,6),-1.72218 # DEPENDENCYPART_ARC
(15,7),-0.890476 # DEPENDENCYPART_ARC
(15,8),-0.346119 # DEPENDENCYPART_ARC
(15,9),-1.49039 # DEPENDENCYPART_ARC
(15,10),-1.7989 # DEPENDENCYPART_ARC
