# _root_ Then , nine minutes later , Wall Street suddenly rebounded to a gain on the day .
#goldHeads=10,10,4,5,10,10,8,10,10,0,10,13,11,13,16,14,10,
#predictedHeads=10,10,4,5,10,10,8,10,10,0,10,13,11,13,16,14,10,
(6,7),0.115225 # DEPENDENCYPART_ARC
(6,8),-0.539001 # DEPENDENCYPART_ARC
(6,9),-1.01666 # DEPENDENCYPART_ARC
(6,10),-0.848325 # DEPENDENCYPART_ARC
(6,11),-1.35341 # DEPENDENCYPART_ARC
(6,12),-1.62343 # DEPENDENCYPART_ARC
(6,13),-2.10106 # DEPENDENCYPART_ARC
(6,14),-1.37912 # DEPENDENCYPART_ARC
(6,15),-1.95911 # DEPENDENCYPART_ARC
(6,16),-2.45257 # DEPENDENCYPART_ARC
(6,17),-1.38597 # DEPENDENCYPART_ARC
(7,1),-3.79911 # DEPENDENCYPART_ARC
(7,2),-2.33398 # DEPENDENCYPART_ARC
(7,3),-1.29164 # DEPENDENCYPART_ARC
(7,4),-1.78698 # DEPENDENCYPART_ARC
(7,5),-0.925437 # DEPENDENCYPART_ARC
(7,6),-0.369007 # DEPENDENCYPART_ARC
(7,8),1.47878 # DEPENDENCYPART_ARC
(7,9),-1.03323 # DEPENDENCYPART_ARC
(7,10),-1.10833 # DEPENDENCYPART_ARC
(7,11),-1.321 # DEPENDENCYPART_ARC
(7,12),-1.7431 # DEPENDENCYPART_ARC
(7,13),-1.92994 # DEPENDENCYPART_ARC
(7,14),-2.4921 # DEPENDENCYPART_ARC
(7,15),-1.68918 # DEPENDENCYPART_ARC
(7,16),-2.87104 # DEPENDENCYPART_ARC
(7,17),-1.60788 # DEPENDENCYPART_ARC
(8,1),-3.2046 # DEPENDENCYPART_ARC
(8,2),-1.7121 # DEPENDENCYPART_ARC
(8,3),-0.576343 # DEPENDENCYPART_ARC
(8,4),-0.950792 # DEPENDENCYPART_ARC
(8,5),-0.71868 # DEPENDENCYPART_ARC
(8,6),0.428146 # DEPENDENCYPART_ARC
(8,7),4.2999 # DEPENDENCYPART_ARC
(8,9),0.168359 # DEPENDENCYPART_ARC
(8,10),-0.318179 # DEPENDENCYPART_ARC
(8,11),-0.695307 # DEPENDENCYPART_ARC
(8,12),-1.29634 # DEPENDENCYPART_ARC
(8,13),-1.26705 # DEPENDENCYPART_ARC
(8,14),-1.87991 # DEPENDENCYPART_ARC
(8,15),-1.28366 # DEPENDENCYPART_ARC
(8,16),-2.09343 # DEPENDENCYPART_ARC
(8,17),-1.01552 # DEPENDENCYPART_ARC
(9,1),-1.07877 # DEPENDENCYPART_ARC
(9,2),-1.03724 # DEPENDENCYPART_ARC
(9,3),-0.884779 # DEPENDENCYPART_ARC
(9,4),-1.08217 # DEPENDENCYPART_ARC
(9,5),-0.168919 # DEPENDENCYPART_ARC
(9,6),-0.0457501 # DEPENDENCYPART_ARC
(9,7),-0.365442 # DEPENDENCYPART_ARC
(9,8),-0.00326068 # DEPENDENCYPART_ARC
(9,10),0.444104 # DEPENDENCYPART_ARC
(9,11),0.51978 # DEPENDENCYPART_ARC
(9,12),-0.37133 # DEPENDENCYPART_ARC
(9,13),-0.531243 # DEPENDENCYPART_ARC
(9,14),-0.978136 # DEPENDENCYPART_ARC
(9,15),-1.39704 # DEPENDENCYPART_ARC
(9,16),-1.44246 # DEPENDENCYPART_ARC
(9,17),-0.590456 # DEPENDENCYPART_ARC
(10,1),2.27179 # DEPENDENCYPART_ARC
(10,2),2.34612 # DEPENDENCYPART_ARC
(10,3),1.17499 # DEPENDENCYPART_ARC
(10,4),1.01912 # DEPENDENCYPART_ARC
(10,5),1.17994 # DEPENDENCYPART_ARC
(10,6),3.30014 # DEPENDENCYPART_ARC
(10,7),1.83219 # DEPENDENCYPART_ARC
(10,8),2.85332 # DEPENDENCYPART_ARC
(10,9),3.77755 # DEPENDENCYPART_ARC
(10,11),4.3334 # DEPENDENCYPART_ARC
(10,12),0.921589 # DEPENDENCYPART_ARC
(10,13),2.17274 # DEPENDENCYPART_ARC
(10,14),2.78993 # DEPENDENCYPART_ARC
(10,15),-0.264453 # DEPENDENCYPART_ARC
(10,16),0.709245 # DEPENDENCYPART_ARC
(10,17),3.81496 # DEPENDENCYPART_ARC
(11,1),-1.68713 # DEPENDENCYPART_ARC
(11,2),-1.21937 # DEPENDENCYPART_ARC
(11,3),-0.972229 # DEPENDENCYPART_ARC
(11,4),-1.24032 # DEPENDENCYPART_ARC
(11,5),-1.11124 # DEPENDENCYPART_ARC
(11,6),-0.864451 # DEPENDENCYPART_ARC
(11,7),-0.617905 # DEPENDENCYPART_ARC
(11,8),-0.0371889 # DEPENDENCYPART_ARC
(11,9),0.175796 # DEPENDENCYPART_ARC
(11,10),0.702116 # DEPENDENCYPART_ARC
(11,12),1.50879 # DEPENDENCYPART_ARC
(11,13),3.78221 # DEPENDENCYPART_ARC
(11,14),0.633759 # DEPENDENCYPART_ARC
(11,15),-0.577074 # DEPENDENCYPART_ARC
(11,16),0.84538 # DEPENDENCYPART_ARC
(11,17),0.415888 # DEPENDENCYPART_ARC
(12,1),-2.83454 # DEPENDENCYPART_ARC
(12,2),-2.24292 # DEPENDENCYPART_ARC
(12,3),-2.0533 # DEPENDENCYPART_ARC
(12,4),-2.23666 # DEPENDENCYPART_ARC
(12,5),-1.52793 # DEPENDENCYPART_ARC
(12,6),-1.76273 # DEPENDENCYPART_ARC
(12,7),-1.66879 # DEPENDENCYPART_ARC
(12,8),-1.5332 # DEPENDENCYPART_ARC
(12,9),-1.10554 # DEPENDENCYPART_ARC
(12,10),-1.09373 # DEPENDENCYPART_ARC
(12,11),-0.14023 # DEPENDENCYPART_ARC
(12,13),0.549119 # DEPENDENCYPART_ARC
(12,14),-0.554706 # DEPENDENCYPART_ARC
(12,15),-1.36789 # DEPENDENCYPART_ARC
(12,16),-0.68751 # DEPENDENCYPART_ARC
(12,17),-1.289 # DEPENDENCYPART_ARC
(13,1),-4.014 # DEPENDENCYPART_ARC
(13,2),-1.55071 # DEPENDENCYPART_ARC
(13,3),-1.58252 # DEPENDENCYPART_ARC
(13,4),-1.73941 # DEPENDENCYPART_ARC
(13,5),-1.35947 # DEPENDENCYPART_ARC
(13,6),-1.35461 # DEPENDENCYPART_ARC
(13,7),-1.4972 # DEPENDENCYPART_ARC
(13,8),-1.66613 # DEPENDENCYPART_ARC
(13,9),-0.341129 # DEPENDENCYPART_ARC
(13,10),-0.110059 # DEPENDENCYPART_ARC
(13,11),0.361524 # DEPENDENCYPART_ARC
(13,12),4.51978 # DEPENDENCYPART_ARC
(13,14),3.3366 # DEPENDENCYPART_ARC
(13,15),0.743672 # DEPENDENCYPART_ARC
(13,16),1.40546 # DEPENDENCYPART_ARC
(13,17),0.653007 # DEPENDENCYPART_ARC
(14,1),-2.65599 # DEPENDENCYPART_ARC
(14,2),-2.25123 # DEPENDENCYPART_ARC
(14,3),-1.90678 # DEPENDENCYPART_ARC
(14,4),-1.88186 # DEPENDENCYPART_ARC
(14,5),-1.58135 # DEPENDENCYPART_ARC
(14,6),-1.50261 # DEPENDENCYPART_ARC
(14,7),-1.00299 # DEPENDENCYPART_ARC
(14,8),-1.10235 # DEPENDENCYPART_ARC
(14,9),-1.04177 # DEPENDENCYPART_ARC
(14,10),-1.0147 # DEPENDENCYPART_ARC
(14,11),-0.462284 # DEPENDENCYPART_ARC
(14,12),-0.00412251 # DEPENDENCYPART_ARC
(14,13),0.18751 # DEPENDENCYPART_ARC
(14,15),0.322114 # DEPENDENCYPART_ARC
(14,16),3.76505 # DEPENDENCYPART_ARC
(14,17),-0.231346 # DEPENDENCYPART_ARC
(15,1),-4.20465 # DEPENDENCYPART_ARC
(15,2),-3.73553 # DEPENDENCYPART_ARC
(15,3),-3.56887 # DEPENDENCYPART_ARC
(15,4),-3.88539 # DEPENDENCYPART_ARC
(15,5),-3.10095 # DEPENDENCYPART_ARC
(15,6),-3.35523 # DEPENDENCYPART_ARC
(15,7),-3.40247 # DEPENDENCYPART_ARC
(15,8),-3.25349 # DEPENDENCYPART_ARC
(15,9),-3.07338 # DEPENDENCYPART_ARC
(15,10),-3.0208 # DEPENDENCYPART_ARC
(15,11),-2.73566 # DEPENDENCYPART_ARC
(15,12),-1.68938 # DEPENDENCYPART_ARC
(15,13),-2.59097 # DEPENDENCYPART_ARC
(15,14),-1.23031 # DEPENDENCYPART_ARC
(15,16),-0.0994694 # DEPENDENCYPART_ARC
(15,17),-2.16804 # DEPENDENCYPART_ARC
(16,1),-4.56538 # DEPENDENCYPART_ARC
(16,2),-1.95022 # DEPENDENCYPART_ARC
(16,3),-2.79427 # DEPENDENCYPART_ARC
(16,4),-2.94684 # DEPENDENCYPART_ARC
(16,5),-2.02684 # DEPENDENCYPART_ARC
(16,6),-1.84837 # DEPENDENCYPART_ARC
(16,7),-3.29888 # DEPENDENCYPART_ARC
(16,8),-3.95113 # DEPENDENCYPART_ARC
(16,9),-2.22593 # DEPENDENCYPART_ARC
(16,10),-0.853296 # DEPENDENCYPART_ARC
(16,11),-1.22703 # DEPENDENCYPART_ARC
(16,12),1.34141 # DEPENDENCYPART_ARC
(16,13),-0.804809 # DEPENDENCYPART_ARC
(16,14),1.13013 # DEPENDENCYPART_ARC
(16,15),4.9588 # DEPENDENCYPART_ARC
(16,17),0.0777928 # DEPENDENCYPART_ARC
(17,1),-1.27024 # DEPENDENCYPART_ARC
(17,2),-0.878996 # DEPENDENCYPART_ARC
(17,3),-2.4011 # DEPENDENCYPART_ARC
(17,4),-1.97839 # DEPENDENCYPART_ARC
(17,5),-1.98639 # DEPENDENCYPART_ARC
(17,6),-0.705285 # DEPENDENCYPART_ARC
(17,7),-1.63971 # DEPENDENCYPART_ARC
(17,8),-1.62202 # DEPENDENCYPART_ARC
(17,9),-1.39763 # DEPENDENCYPART_ARC
(17,10),-0.572091 # DEPENDENCYPART_ARC
(17,11),-1.19712 # DEPENDENCYPART_ARC
(17,12),-1.05467 # DEPENDENCYPART_ARC
(17,13),-1.37968 # DEPENDENCYPART_ARC
(17,14),-1.03652 # DEPENDENCYPART_ARC
(17,15),-0.717318 # DEPENDENCYPART_ARC
(17,16),-1.83576 # DEPENDENCYPART_ARC
