# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(1,24),-0.361294 # DEPENDENCYPART_ARC
(1,25),-2.57109 # DEPENDENCYPART_ARC
(1,26),-1.97675 # DEPENDENCYPART_ARC
(1,27),-2.13471 # DEPENDENCYPART_ARC
(1,28),-2.99225 # DEPENDENCYPART_ARC
(1,29),0.675514 # DEPENDENCYPART_ARC
(2,1),1.10556 # DEPENDENCYPART_ARC
(2,3),0.0242606 # DEPENDENCYPART_ARC
(2,4),-0.886384 # DEPENDENCYPART_ARC
(2,5),-1.05109 # DEPENDENCYPART_ARC
(2,6),-1.5055 # DEPENDENCYPART_ARC
(2,7),-1.97978 # DEPENDENCYPART_ARC
(2,8),-1.78471 # DEPENDENCYPART_ARC
(2,9),-1.6877 # DEPENDENCYPART_ARC
(2,10),-2.0187 # DEPENDENCYPART_ARC
(2,11),-1.67852 # DEPENDENCYPART_ARC
(2,12),-2.50055 # DEPENDENCYPART_ARC
(2,13),-2.24654 # DEPENDENCYPART_ARC
(2,14),-1.8559 # DEPENDENCYPART_ARC
(2,15),-2.76131 # DEPENDENCYPART_ARC
(2,16),-3.00035 # DEPENDENCYPART_ARC
(2,17),-3.0562 # DEPENDENCYPART_ARC
(2,18),-1.537 # DEPENDENCYPART_ARC
(2,19),-1.61361 # DEPENDENCYPART_ARC
(2,20),-3.40214 # DEPENDENCYPART_ARC
(2,21),-4.26217 # DEPENDENCYPART_ARC
(2,22),-2.60446 # DEPENDENCYPART_ARC
(2,23),-2.96066 # DEPENDENCYPART_ARC
(2,24),-2.40008 # DEPENDENCYPART_ARC
(2,25),-2.62758 # DEPENDENCYPART_ARC
(2,26),-3.06101 # DEPENDENCYPART_ARC
(2,27),-4.61057 # DEPENDENCYPART_ARC
(2,28),-3.58099 # DEPENDENCYPART_ARC
(2,29),-3.59935 # DEPENDENCYPART_ARC
(3,1),0.0994654 # DEPENDENCYPART_ARC
(3,2),0.671052 # DEPENDENCYPART_ARC
(3,4),1.33901 # DEPENDENCYPART_ARC
(3,5),-0.1487 # DEPENDENCYPART_ARC
(3,6),-1.01748 # DEPENDENCYPART_ARC
(3,7),-0.453194 # DEPENDENCYPART_ARC
(3,8),-0.759927 # DEPENDENCYPART_ARC
(3,9),-0.355449 # DEPENDENCYPART_ARC
(3,10),-1.0355 # DEPENDENCYPART_ARC
(3,11),-1.69552 # DEPENDENCYPART_ARC
(3,12),-1.02307 # DEPENDENCYPART_ARC
(3,13),-1.25897 # DEPENDENCYPART_ARC
(3,14),-1.74269 # DEPENDENCYPART_ARC
(3,15),-2.27693 # DEPENDENCYPART_ARC
(3,16),-2.83017 # DEPENDENCYPART_ARC
(3,17),-2.30209 # DEPENDENCYPART_ARC
(3,18),-0.872956 # DEPENDENCYPART_ARC
(3,19),-1.23331 # DEPENDENCYPART_ARC
(3,20),-2.69732 # DEPENDENCYPART_ARC
(3,21),-1.99664 # DEPENDENCYPART_ARC
(3,22),-2.87041 # DEPENDENCYPART_ARC
(3,23),-2.46584 # DEPENDENCYPART_ARC
(3,24),-1.56312 # DEPENDENCYPART_ARC
(3,25),-2.40244 # DEPENDENCYPART_ARC
(3,26),-3.80704 # DEPENDENCYPART_ARC
(3,27),-2.10523 # DEPENDENCYPART_ARC
(3,28),-2.79838 # DEPENDENCYPART_ARC
(3,29),-0.978497 # DEPENDENCYPART_ARC
(4,1),3.27818 # DEPENDENCYPART_ARC
(4,2),1.96414 # DEPENDENCYPART_ARC
(4,3),4.6323 # DEPENDENCYPART_ARC
(4,5),2.82899 # DEPENDENCYPART_ARC
(4,6),0.58304 # DEPENDENCYPART_ARC
(4,7),0.859966 # DEPENDENCYPART_ARC
(4,8),1.60125 # DEPENDENCYPART_ARC
(4,9),0.919219 # DEPENDENCYPART_ARC
(4,10),1.55086 # DEPENDENCYPART_ARC
(4,11),0.283742 # DEPENDENCYPART_ARC
(4,12),-0.411448 # DEPENDENCYPART_ARC
(4,13),0.654282 # DEPENDENCYPART_ARC
(4,14),0.805765 # DEPENDENCYPART_ARC
(4,15),-0.367619 # DEPENDENCYPART_ARC
(4,16),0.0937977 # DEPENDENCYPART_ARC
(4,17),-0.501522 # DEPENDENCYPART_ARC
(4,18),1.63558 # DEPENDENCYPART_ARC
(4,19),-0.491444 # DEPENDENCYPART_ARC
(4,20),-0.848065 # DEPENDENCYPART_ARC
(4,21),-0.0758985 # DEPENDENCYPART_ARC
(4,22),-0.65198 # DEPENDENCYPART_ARC
(4,23),-0.810305 # DEPENDENCYPART_ARC
(4,24),1.97581 # DEPENDENCYPART_ARC
(4,25),-1.00465 # DEPENDENCYPART_ARC
(4,26),-1.45915 # DEPENDENCYPART_ARC
(4,27),-2.03256 # DEPENDENCYPART_ARC
(4,28),-0.829049 # DEPENDENCYPART_ARC
(4,29),-0.15893 # DEPENDENCYPART_ARC
(5,1),-0.25654 # DEPENDENCYPART_ARC
(5,2),0.0975156 # DEPENDENCYPART_ARC
(5,3),-0.323452 # DEPENDENCYPART_ARC
(5,4),-0.0422259 # DEPENDENCYPART_ARC
(5,6),0.869344 # DEPENDENCYPART_ARC
(5,7),2.04181 # DEPENDENCYPART_ARC
(5,8),3.61579 # DEPENDENCYPART_ARC
(5,9),0.126147 # DEPENDENCYPART_ARC
(5,10),-0.219251 # DEPENDENCYPART_ARC
(5,11),-1.41919 # DEPENDENCYPART_ARC
(5,12),-0.629948 # DEPENDENCYPART_ARC
(5,13),0.425107 # DEPENDENCYPART_ARC
(5,14),-0.685934 # DEPENDENCYPART_ARC
(5,15),-2.36834 # DEPENDENCYPART_ARC
(5,16),-1.89514 # DEPENDENCYPART_ARC
(5,17),-1.33064 # DEPENDENCYPART_ARC
(5,18),0.177423 # DEPENDENCYPART_ARC
(5,19),-1.58247 # DEPENDENCYPART_ARC
(5,20),-2.1998 # DEPENDENCYPART_ARC
(5,21),-4.40051 # DEPENDENCYPART_ARC
(5,22),-3.4105 # DEPENDENCYPART_ARC
(5,23),-6.39562 # DEPENDENCYPART_ARC
(5,24),-0.590678 # DEPENDENCYPART_ARC
(5,25),-1.93827 # DEPENDENCYPART_ARC
(5,26),-4.38637 # DEPENDENCYPART_ARC
(5,27),-3.95916 # DEPENDENCYPART_ARC
(5,28),-8.58861 # DEPENDENCYPART_ARC
(5,29),-0.377295 # DEPENDENCYPART_ARC
(6,1),-2.82713 # DEPENDENCYPART_ARC
(6,2),-2.42305 # DEPENDENCYPART_ARC
(6,3),-1.98934 # DEPENDENCYPART_ARC
(6,4),-2.37425 # DEPENDENCYPART_ARC
(6,5),-1.26333 # DEPENDENCYPART_ARC
(6,7),-0.919936 # DEPENDENCYPART_ARC
(6,8),-0.573478 # DEPENDENCYPART_ARC
(6,9),-0.714384 # DEPENDENCYPART_ARC
(6,10),-1.03804 # DEPENDENCYPART_ARC
(6,11),-2.39386 # DEPENDENCYPART_ARC
(6,12),-1.7631 # DEPENDENCYPART_ARC
(6,13),-1.85302 # DEPENDENCYPART_ARC
(6,14),-1.68898 # DEPENDENCYPART_ARC
(6,15),-3.18338 # DEPENDENCYPART_ARC
(6,16),-2.20075 # DEPENDENCYPART_ARC
(6,17),-2.3217 # DEPENDENCYPART_ARC
(6,18),-1.92978 # DEPENDENCYPART_ARC
(6,19),-2.28609 # DEPENDENCYPART_ARC
(6,20),-2.69971 # DEPENDENCYPART_ARC
(6,21),-3.08132 # DEPENDENCYPART_ARC
(6,22),-3.63664 # DEPENDENCYPART_ARC
(6,23),-2.84095 # DEPENDENCYPART_ARC
(6,24),-2.15711 # DEPENDENCYPART_ARC
(6,25),-3.8565 # DEPENDENCYPART_ARC
(6,26),-4.04068 # DEPENDENCYPART_ARC
(6,27),-3.56536 # DEPENDENCYPART_ARC
(6,28),-3.62368 # DEPENDENCYPART_ARC
(6,29),-2.13352 # DEPENDENCYPART_ARC
(7,1),-1.44156 # DEPENDENCYPART_ARC
(7,2),-1.26209 # DEPENDENCYPART_ARC
(7,3),-0.878332 # DEPENDENCYPART_ARC
(7,4),-0.788766 # DEPENDENCYPART_ARC
(7,5),-0.294638 # DEPENDENCYPART_ARC
(7,6),2.23017 # DEPENDENCYPART_ARC
(7,8),1.37962 # DEPENDENCYPART_ARC
(7,9),0.525291 # DEPENDENCYPART_ARC
(7,10),0.561888 # DEPENDENCYPART_ARC
(7,11),-0.715297 # DEPENDENCYPART_ARC
(7,12),-0.318638 # DEPENDENCYPART_ARC
(7,13),-0.222714 # DEPENDENCYPART_ARC
(7,14),0.00432586 # DEPENDENCYPART_ARC
(7,15),-1.28365 # DEPENDENCYPART_ARC
(7,16),-1.4526 # DEPENDENCYPART_ARC
(7,17),-1.55005 # DEPENDENCYPART_ARC
(7,18),-0.387395 # DEPENDENCYPART_ARC
(7,19),-0.873818 # DEPENDENCYPART_ARC
(7,20),-1.8481 # DEPENDENCYPART_ARC
(7,21),-1.93852 # DEPENDENCYPART_ARC
(7,22),-1.86261 # DEPENDENCYPART_ARC
(7,23),-1.03054 # DEPENDENCYPART_ARC
(7,24),-0.7198 # DEPENDENCYPART_ARC
(7,25),-0.331841 # DEPENDENCYPART_ARC
(7,26),-2.32647 # DEPENDENCYPART_ARC
(7,27),-2.06157 # DEPENDENCYPART_ARC
(7,28),-1.28591 # DEPENDENCYPART_ARC
(7,29),-1.44515 # DEPENDENCYPART_ARC
(8,1),1.12248 # DEPENDENCYPART_ARC
(8,2),0.0714227 # DEPENDENCYPART_ARC
(8,3),1.19676 # DEPENDENCYPART_ARC
(8,4),-0.0151091 # DEPENDENCYPART_ARC
(8,5),1.52959 # DEPENDENCYPART_ARC
(8,6),4.87048 # DEPENDENCYPART_ARC
(8,7),4.24039 # DEPENDENCYPART_ARC
(8,9),0.937276 # DEPENDENCYPART_ARC
(8,10),0.441812 # DEPENDENCYPART_ARC
(8,11),-0.354475 # DEPENDENCYPART_ARC
(8,12),-0.551586 # DEPENDENCYPART_ARC
(8,13),-0.577946 # DEPENDENCYPART_ARC
(8,14),-0.344421 # DEPENDENCYPART_ARC
(8,15),-1.4533 # DEPENDENCYPART_ARC
(8,16),-0.615856 # DEPENDENCYPART_ARC
(8,17),-0.854267 # DEPENDENCYPART_ARC
(8,18),-0.105205 # DEPENDENCYPART_ARC
(8,19),-0.114381 # DEPENDENCYPART_ARC
(8,20),-1.605 # DEPENDENCYPART_ARC
(8,21),-1.71063 # DEPENDENCYPART_ARC
(8,22),-1.36914 # DEPENDENCYPART_ARC
(8,23),-1.85509 # DEPENDENCYPART_ARC
(8,24),-0.352506 # DEPENDENCYPART_ARC
(8,25),-2.45012 # DEPENDENCYPART_ARC
(8,26),-2.08366 # DEPENDENCYPART_ARC
(8,27),-2.11198 # DEPENDENCYPART_ARC
(8,28),-2.13599 # DEPENDENCYPART_ARC
(8,29),-0.942806 # DEPENDENCYPART_ARC
(9,1),0.0823118 # DEPENDENCYPART_ARC
(9,2),-0.360238 # DEPENDENCYPART_ARC
(9,3),0.0556735 # DEPENDENCYPART_ARC
(9,4),0.270285 # DEPENDENCYPART_ARC
(9,5),0.404199 # DEPENDENCYPART_ARC
(9,6),1.01747 # DEPENDENCYPART_ARC
(9,7),1.07027 # DEPENDENCYPART_ARC
(9,8),1.2192 # DEPENDENCYPART_ARC
(9,10),3.79837 # DEPENDENCYPART_ARC
(9,11),-0.137613 # DEPENDENCYPART_ARC
(9,12),-0.167257 # DEPENDENCYPART_ARC
(9,13),0.839837 # DEPENDENCYPART_ARC
(9,14),-0.407986 # DEPENDENCYPART_ARC
(9,15),-0.768113 # DEPENDENCYPART_ARC
(9,16),-0.730785 # DEPENDENCYPART_ARC
(9,17),-0.936247 # DEPENDENCYPART_ARC
(9,18),0.35371 # DEPENDENCYPART_ARC
(9,19),-0.15956 # DEPENDENCYPART_ARC
(9,20),-1.04587 # DEPENDENCYPART_ARC
(9,21),-1.77445 # DEPENDENCYPART_ARC
(9,22),-1.35409 # DEPENDENCYPART_ARC
(9,23),-1.2453 # DEPENDENCYPART_ARC
(9,24),0.08048 # DEPENDENCYPART_ARC
(9,25),-2.3498 # DEPENDENCYPART_ARC
(9,26),-2.18176 # DEPENDENCYPART_ARC
(9,27),-2.18093 # DEPENDENCYPART_ARC
(9,28),-2.60917 # DEPENDENCYPART_ARC
(9,29),2.15528 # DEPENDENCYPART_ARC
(10,1),-1.04751 # DEPENDENCYPART_ARC
(10,2),-0.846083 # DEPENDENCYPART_ARC
(10,3),-1.11494 # DEPENDENCYPART_ARC
(10,4),-1.26716 # DEPENDENCYPART_ARC
(10,5),0.230764 # DEPENDENCYPART_ARC
(10,6),-0.286292 # DEPENDENCYPART_ARC
(10,7),-0.377131 # DEPENDENCYPART_ARC
(10,8),-0.584062 # DEPENDENCYPART_ARC
(10,9),0.759245 # DEPENDENCYPART_ARC
(10,11),0.387671 # DEPENDENCYPART_ARC
(10,12),1.42136 # DEPENDENCYPART_ARC
(10,13),3.36281 # DEPENDENCYPART_ARC
(10,14),0.496263 # DEPENDENCYPART_ARC
(10,15),0.0990823 # DEPENDENCYPART_ARC
(10,16),-0.90212 # DEPENDENCYPART_ARC
(10,17),-0.156638 # DEPENDENCYPART_ARC
(10,18),0.80788 # DEPENDENCYPART_ARC
(10,19),-0.869129 # DEPENDENCYPART_ARC
(10,20),-1.30078 # DEPENDENCYPART_ARC
(10,21),-0.618311 # DEPENDENCYPART_ARC
(10,22),-2.73581 # DEPENDENCYPART_ARC
(10,23),-1.71325 # DEPENDENCYPART_ARC
(10,24),0.0935111 # DEPENDENCYPART_ARC
(10,25),-0.285055 # DEPENDENCYPART_ARC
(10,26),-3.69973 # DEPENDENCYPART_ARC
(10,27),-1.16659 # DEPENDENCYPART_ARC
(10,28),-3.95 # DEPENDENCYPART_ARC
(10,29),-0.627119 # DEPENDENCYPART_ARC
(11,1),-2.67171 # DEPENDENCYPART_ARC
(11,2),-2.4814 # DEPENDENCYPART_ARC
(11,3),-2.33057 # DEPENDENCYPART_ARC
(11,4),-2.61047 # DEPENDENCYPART_ARC
(11,5),-1.65836 # DEPENDENCYPART_ARC
(11,6),-1.01905 # DEPENDENCYPART_ARC
(11,7),-1.20953 # DEPENDENCYPART_ARC
(11,8),-1.57962 # DEPENDENCYPART_ARC
(11,9),-1.22103 # DEPENDENCYPART_ARC
(11,10),-0.0138564 # DEPENDENCYPART_ARC
(11,12),0.517374 # DEPENDENCYPART_ARC
(11,13),-0.146739 # DEPENDENCYPART_ARC
(11,14),-0.0804933 # DEPENDENCYPART_ARC
(11,15),-1.72232 # DEPENDENCYPART_ARC
(11,16),-0.556774 # DEPENDENCYPART_ARC
(11,17),-0.659854 # DEPENDENCYPART_ARC
(11,18),-0.623151 # DEPENDENCYPART_ARC
(11,19),-1.14558 # DEPENDENCYPART_ARC
(11,20),-1.17933 # DEPENDENCYPART_ARC
(11,21),-1.87493 # DEPENDENCYPART_ARC
(11,22),-2.55797 # DEPENDENCYPART_ARC
(11,23),-1.77358 # DEPENDENCYPART_ARC
(11,24),-0.825538 # DEPENDENCYPART_ARC
(11,25),-2.31358 # DEPENDENCYPART_ARC
(11,26),-2.95587 # DEPENDENCYPART_ARC
(11,27),-2.47235 # DEPENDENCYPART_ARC
(11,28),-2.46204 # DEPENDENCYPART_ARC
(11,29),-1.50955 # DEPENDENCYPART_ARC
(12,1),-2.29816 # DEPENDENCYPART_ARC
(12,2),-2.16073 # DEPENDENCYPART_ARC
(12,3),-1.56094 # DEPENDENCYPART_ARC
(12,4),-1.79561 # DEPENDENCYPART_ARC
(12,5),-1.45664 # DEPENDENCYPART_ARC
(12,6),-0.569391 # DEPENDENCYPART_ARC
(12,7),-0.414451 # DEPENDENCYPART_ARC
(12,8),-0.974905 # DEPENDENCYPART_ARC
(12,9),-1.03003 # DEPENDENCYPART_ARC
(12,10),-0.0923917 # DEPENDENCYPART_ARC
(12,11),1.5883 # DEPENDENCYPART_ARC
(12,13),1.47395 # DEPENDENCYPART_ARC
(12,14),1.09537 # DEPENDENCYPART_ARC
(12,15),-0.123249 # DEPENDENCYPART_ARC
(12,16),-0.345784 # DEPENDENCYPART_ARC
(12,17),-0.0398743 # DEPENDENCYPART_ARC
(12,18),0.43276 # DEPENDENCYPART_ARC
(12,19),0.597413 # DEPENDENCYPART_ARC
(12,20),-0.824502 # DEPENDENCYPART_ARC
(12,21),-0.65573 # DEPENDENCYPART_ARC
(12,22),-1.27387 # DEPENDENCYPART_ARC
(12,23),-0.970809 # DEPENDENCYPART_ARC
(12,24),-0.323226 # DEPENDENCYPART_ARC
(12,25),-0.861525 # DEPENDENCYPART_ARC
(12,26),-2.2845 # DEPENDENCYPART_ARC
(12,27),-1.19648 # DEPENDENCYPART_ARC
(12,28),-1.47328 # DEPENDENCYPART_ARC
(12,29),-0.281466 # DEPENDENCYPART_ARC
(13,1),0.00181279 # DEPENDENCYPART_ARC
(13,2),-0.712179 # DEPENDENCYPART_ARC
(13,3),-0.856984 # DEPENDENCYPART_ARC
(13,4),-3.34855 # DEPENDENCYPART_ARC
(13,5),-0.522456 # DEPENDENCYPART_ARC
(13,6),0.55882 # DEPENDENCYPART_ARC
(13,7),1.12007 # DEPENDENCYPART_ARC
(13,8),-0.188284 # DEPENDENCYPART_ARC
(13,9),0.133107 # DEPENDENCYPART_ARC
(13,10),0.520882 # DEPENDENCYPART_ARC
(13,11),4.96011 # DEPENDENCYPART_ARC
(13,12),4.73611 # DEPENDENCYPART_ARC
(13,14),3.62095 # DEPENDENCYPART_ARC
(13,15),1.06915 # DEPENDENCYPART_ARC
(13,16),1.74817 # DEPENDENCYPART_ARC
(13,17),1.03917 # DEPENDENCYPART_ARC
(13,18),1.55993 # DEPENDENCYPART_ARC
(13,19),1.25715 # DEPENDENCYPART_ARC
(13,20),0.510943 # DEPENDENCYPART_ARC
(13,21),0.258256 # DEPENDENCYPART_ARC
(13,22),0.51012 # DEPENDENCYPART_ARC
(13,23),0.285376 # DEPENDENCYPART_ARC
(13,24),1.7622 # DEPENDENCYPART_ARC
(13,25),0.751088 # DEPENDENCYPART_ARC
(13,26),-0.303541 # DEPENDENCYPART_ARC
(13,27),0.0474511 # DEPENDENCYPART_ARC
(13,28),0.233688 # DEPENDENCYPART_ARC
(13,29),1.05844 # DEPENDENCYPART_ARC
(14,1),-2.09339 # DEPENDENCYPART_ARC
(14,2),-1.91175 # DEPENDENCYPART_ARC
(14,3),-2.2481 # DEPENDENCYPART_ARC
(14,4),-1.97242 # DEPENDENCYPART_ARC
(14,5),-1.19017 # DEPENDENCYPART_ARC
(14,6),-1.6913 # DEPENDENCYPART_ARC
(14,7),-1.70821 # DEPENDENCYPART_ARC
(14,8),-1.48934 # DEPENDENCYPART_ARC
(14,9),-1.07694 # DEPENDENCYPART_ARC
(14,10),-0.649983 # DEPENDENCYPART_ARC
(14,11),-0.633981 # DEPENDENCYPART_ARC
(14,12),-0.931142 # DEPENDENCYPART_ARC
(14,13),-0.128305 # DEPENDENCYPART_ARC
(14,15),3.37841 # DEPENDENCYPART_ARC
(14,16),1.04067 # DEPENDENCYPART_ARC
(14,17),1.16617 # DEPENDENCYPART_ARC
(14,18),0.510772 # DEPENDENCYPART_ARC
(14,19),-1.3224 # DEPENDENCYPART_ARC
(14,20),-0.740326 # DEPENDENCYPART_ARC
(14,21),-0.50353 # DEPENDENCYPART_ARC
(14,22),-2.08966 # DEPENDENCYPART_ARC
(14,23),-2.44645 # DEPENDENCYPART_ARC
(14,24),0.492122 # DEPENDENCYPART_ARC
(14,25),-0.574828 # DEPENDENCYPART_ARC
(14,26),-3.29051 # DEPENDENCYPART_ARC
(14,27),-2.63134 # DEPENDENCYPART_ARC
(14,28),-4.36016 # DEPENDENCYPART_ARC
(14,29),-0.210133 # DEPENDENCYPART_ARC
(15,1),-2.2007 # DEPENDENCYPART_ARC
(15,2),-1.86173 # DEPENDENCYPART_ARC
(15,3),-2.02145 # DEPENDENCYPART_ARC
(15,4),-1.83711 # DEPENDENCYPART_ARC
(15,5),-2.25836 # DEPENDENCYPART_ARC
(15,6),0.166334 # DEPENDENCYPART_ARC
(15,7),-0.108439 # DEPENDENCYPART_ARC
(15,8),-1.13691 # DEPENDENCYPART_ARC
(15,9),-0.897366 # DEPENDENCYPART_ARC
(15,10),-0.808561 # DEPENDENCYPART_ARC
(15,11),1.1248 # DEPENDENCYPART_ARC
(15,12),0.310936 # DEPENDENCYPART_ARC
(15,13),0.730661 # DEPENDENCYPART_ARC
(15,14),1.51412 # DEPENDENCYPART_ARC
(15,16),4.60455 # DEPENDENCYPART_ARC
(15,17),4.06354 # DEPENDENCYPART_ARC
(15,18),3.59599 # DEPENDENCYPART_ARC
(15,19),3.39854 # DEPENDENCYPART_ARC
(15,20),0.0713489 # DEPENDENCYPART_ARC
(15,21),-0.662744 # DEPENDENCYPART_ARC
(15,22),0.465661 # DEPENDENCYPART_ARC
(15,23),0.499966 # DEPENDENCYPART_ARC
(15,24),2.00702 # DEPENDENCYPART_ARC
(15,25),-0.0508719 # DEPENDENCYPART_ARC
(15,26),-0.443766 # DEPENDENCYPART_ARC
(15,27),-0.494033 # DEPENDENCYPART_ARC
(15,28),-0.170271 # DEPENDENCYPART_ARC
(15,29),-0.23493 # DEPENDENCYPART_ARC
(16,1),-3.92498 # DEPENDENCYPART_ARC
(16,2),-3.8501 # DEPENDENCYPART_ARC
(16,3),-3.09981 # DEPENDENCYPART_ARC
(16,4),-3.84705 # DEPENDENCYPART_ARC
(16,5),-4.18991 # DEPENDENCYPART_ARC
(16,6),-1.83471 # DEPENDENCYPART_ARC
(16,7),-2.48991 # DEPENDENCYPART_ARC
(16,8),-3.26222 # DEPENDENCYPART_ARC
(16,9),-2.67387 # DEPENDENCYPART_ARC
(16,10),-2.87676 # DEPENDENCYPART_ARC
(16,11),-1.16064 # DEPENDENCYPART_ARC
(16,12),-1.39967 # DEPENDENCYPART_ARC
(16,13),-1.9411 # DEPENDENCYPART_ARC
(16,14),-0.929366 # DEPENDENCYPART_ARC
(16,15),-0.704206 # DEPENDENCYPART_ARC
(16,17),1.41089 # DEPENDENCYPART_ARC
(16,18),-0.663923 # DEPENDENCYPART_ARC
(16,19),-0.207924 # DEPENDENCYPART_ARC
(16,20),-0.759268 # DEPENDENCYPART_ARC
(16,21),-1.34481 # DEPENDENCYPART_ARC
(16,22),-1.42482 # DEPENDENCYPART_ARC
(16,23),-1.71782 # DEPENDENCYPART_ARC
(16,24),-0.45623 # DEPENDENCYPART_ARC
(16,25),-1.32878 # DEPENDENCYPART_ARC
(16,26),-1.97084 # DEPENDENCYPART_ARC
(16,27),-1.78352 # DEPENDENCYPART_ARC
(16,28),-2.34996 # DEPENDENCYPART_ARC
(16,29),-0.906099 # DEPENDENCYPART_ARC
(17,1),-2.371 # DEPENDENCYPART_ARC
(17,2),-2.38126 # DEPENDENCYPART_ARC
(17,3),-1.53763 # DEPENDENCYPART_ARC
(17,4),-2.4175 # DEPENDENCYPART_ARC
(17,5),-2.9492 # DEPENDENCYPART_ARC
(17,6),-0.429104 # DEPENDENCYPART_ARC
(17,7),-0.732715 # DEPENDENCYPART_ARC
(17,8),-1.8043 # DEPENDENCYPART_ARC
(17,9),-1.11228 # DEPENDENCYPART_ARC
(17,10),-1.53543 # DEPENDENCYPART_ARC
(17,11),0.396974 # DEPENDENCYPART_ARC
(17,12),0.139853 # DEPENDENCYPART_ARC
(17,13),-0.774714 # DEPENDENCYPART_ARC
(17,14),-0.0288532 # DEPENDENCYPART_ARC
(17,15),0.464422 # DEPENDENCYPART_ARC
(17,16),1.93299 # DEPENDENCYPART_ARC
(17,18),0.265475 # DEPENDENCYPART_ARC
(17,19),0.455445 # DEPENDENCYPART_ARC
(17,20),-0.529785 # DEPENDENCYPART_ARC
(17,21),-0.960466 # DEPENDENCYPART_ARC
(17,22),-1.35096 # DEPENDENCYPART_ARC
(17,23),-0.775387 # DEPENDENCYPART_ARC
(17,24),0.525535 # DEPENDENCYPART_ARC
(17,25),-0.95995 # DEPENDENCYPART_ARC
(17,26),-1.62098 # DEPENDENCYPART_ARC
(17,27),-1.22092 # DEPENDENCYPART_ARC
(17,28),-1.27043 # DEPENDENCYPART_ARC
(17,29),-0.661383 # DEPENDENCYPART_ARC
(18,1),-2.07799 # DEPENDENCYPART_ARC
(18,2),-2.53155 # DEPENDENCYPART_ARC
(18,3),-2.49686 # DEPENDENCYPART_ARC
