# _root_ The average discount rate on new three-month Treasury bills was 7.37 % , the lowest since the average of 7.36 % at the auction on Oct. 17 , 1988 .
#goldHeads=4,4,4,10,4,9,9,9,5,0,12,10,12,15,12,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
#predictedHeads=4,4,4,10,4,9,9,9,5,0,12,10,10,15,10,15,18,16,18,21,19,18,24,22,24,25,26,26,26,10,
(2,20),-3.69819 # DEPENDENCYPART_ARC
(2,21),-2.53455 # DEPENDENCYPART_ARC
(2,22),-2.1925 # DEPENDENCYPART_ARC
(2,23),-3.25176 # DEPENDENCYPART_ARC
(2,24),-2.73647 # DEPENDENCYPART_ARC
(2,25),-4.19237 # DEPENDENCYPART_ARC
(2,26),-3.66803 # DEPENDENCYPART_ARC
(2,27),-5.23821 # DEPENDENCYPART_ARC
(2,28),-3.85004 # DEPENDENCYPART_ARC
(2,29),-5.96031 # DEPENDENCYPART_ARC
(2,30),-0.21736 # DEPENDENCYPART_ARC
(3,1),2.84341 # DEPENDENCYPART_ARC
(3,2),2.67705 # DEPENDENCYPART_ARC
(3,4),1.25861 # DEPENDENCYPART_ARC
(3,5),0.145871 # DEPENDENCYPART_ARC
(3,6),-0.296075 # DEPENDENCYPART_ARC
(3,7),-0.71543 # DEPENDENCYPART_ARC
(3,8),-0.663925 # DEPENDENCYPART_ARC
(3,9),-0.812759 # DEPENDENCYPART_ARC
(3,10),-0.199536 # DEPENDENCYPART_ARC
(3,11),-1.39789 # DEPENDENCYPART_ARC
(3,12),-2.18005 # DEPENDENCYPART_ARC
(3,13),-0.7619 # DEPENDENCYPART_ARC
(3,14),-1.65863 # DEPENDENCYPART_ARC
(3,15),-1.42248 # DEPENDENCYPART_ARC
(3,16),-2.29327 # DEPENDENCYPART_ARC
(3,17),-1.914 # DEPENDENCYPART_ARC
(3,18),-2.33947 # DEPENDENCYPART_ARC
(3,19),-4.81957 # DEPENDENCYPART_ARC
(3,20),-2.63284 # DEPENDENCYPART_ARC
(3,21),-3.96442 # DEPENDENCYPART_ARC
(3,22),-2.38866 # DEPENDENCYPART_ARC
(3,23),-2.22815 # DEPENDENCYPART_ARC
(3,24),-3.00986 # DEPENDENCYPART_ARC
(3,25),-3.74752 # DEPENDENCYPART_ARC
(3,26),-1.61882 # DEPENDENCYPART_ARC
(3,27),-3.43225 # DEPENDENCYPART_ARC
(3,28),-2.1488 # DEPENDENCYPART_ARC
(3,29),-3.97774 # DEPENDENCYPART_ARC
(3,30),-0.547919 # DEPENDENCYPART_ARC
(4,1),5.00154 # DEPENDENCYPART_ARC
(4,2),4.75765 # DEPENDENCYPART_ARC
(4,3),4.74452 # DEPENDENCYPART_ARC
(4,5),3.08702 # DEPENDENCYPART_ARC
(4,6),1.24615 # DEPENDENCYPART_ARC
(4,7),0.945395 # DEPENDENCYPART_ARC
(4,8),0.894058 # DEPENDENCYPART_ARC
(4,9),0.615931 # DEPENDENCYPART_ARC
(4,10),1.09008 # DEPENDENCYPART_ARC
(4,11),0.087681 # DEPENDENCYPART_ARC
(4,12),0.477703 # DEPENDENCYPART_ARC
(4,13),1.08378 # DEPENDENCYPART_ARC
(4,14),-0.361621 # DEPENDENCYPART_ARC
(4,15),0.400624 # DEPENDENCYPART_ARC
(4,16),-0.758543 # DEPENDENCYPART_ARC
(4,17),-0.886488 # DEPENDENCYPART_ARC
(4,18),-0.452267 # DEPENDENCYPART_ARC
(4,19),-2.73325 # DEPENDENCYPART_ARC
(4,20),-1.2203 # DEPENDENCYPART_ARC
(4,21),-0.965803 # DEPENDENCYPART_ARC
(4,22),0.599597 # DEPENDENCYPART_ARC
(4,23),-1.2559 # DEPENDENCYPART_ARC
(4,24),-0.920001 # DEPENDENCYPART_ARC
(4,25),-0.670066 # DEPENDENCYPART_ARC
(4,26),-0.638254 # DEPENDENCYPART_ARC
(4,27),-2.31424 # DEPENDENCYPART_ARC
(4,28),-1.21584 # DEPENDENCYPART_ARC
(4,29),-2.68971 # DEPENDENCYPART_ARC
(4,30),1.30125 # DEPENDENCYPART_ARC
(5,1),-0.178314 # DEPENDENCYPART_ARC
(5,2),-0.0208113 # DEPENDENCYPART_ARC
(5,3),-0.611782 # DEPENDENCYPART_ARC
(5,4),0.0229155 # DEPENDENCYPART_ARC
(5,6),1.63867 # DEPENDENCYPART_ARC
(5,7),1.32221 # DEPENDENCYPART_ARC
(5,8),2.05308 # DEPENDENCYPART_ARC
(5,9),4.34223 # DEPENDENCYPART_ARC
(5,10),0.626254 # DEPENDENCYPART_ARC
(5,11),-0.270368 # DEPENDENCYPART_ARC
(5,12),-0.346368 # DEPENDENCYPART_ARC
(5,13),0.711575 # DEPENDENCYPART_ARC
(5,14),-2.3442 # DEPENDENCYPART_ARC
(5,15),-0.50935 # DEPENDENCYPART_ARC
(5,16),-0.637654 # DEPENDENCYPART_ARC
(5,17),-2.77299 # DEPENDENCYPART_ARC
(5,18),-3.57913 # DEPENDENCYPART_ARC
(5,19),-1.27624 # DEPENDENCYPART_ARC
(5,20),-2.07709 # DEPENDENCYPART_ARC
(5,21),-6.56782 # DEPENDENCYPART_ARC
(5,22),-1.00298 # DEPENDENCYPART_ARC
(5,23),-3.73226 # DEPENDENCYPART_ARC
(5,24),-6.32522 # DEPENDENCYPART_ARC
(5,25),0.46407 # DEPENDENCYPART_ARC
(5,26),-8.3746 # DEPENDENCYPART_ARC
(5,27),-3.30169 # DEPENDENCYPART_ARC
(5,28),-0.259473 # DEPENDENCYPART_ARC
(5,29),-4.18469 # DEPENDENCYPART_ARC
(5,30),-0.72077 # DEPENDENCYPART_ARC
(6,1),-1.06414 # DEPENDENCYPART_ARC
(6,2),-0.989429 # DEPENDENCYPART_ARC
(6,3),-1.19697 # DEPENDENCYPART_ARC
(6,4),-1.00479 # DEPENDENCYPART_ARC
(6,5),-0.326792 # DEPENDENCYPART_ARC
(6,7),0.877544 # DEPENDENCYPART_ARC
(6,8),0.757665 # DEPENDENCYPART_ARC
(6,9),0.782294 # DEPENDENCYPART_ARC
(6,10),0.00911082 # DEPENDENCYPART_ARC
(6,11),-0.240818 # DEPENDENCYPART_ARC
(6,12),-0.260571 # DEPENDENCYPART_ARC
(6,13),-0.814834 # DEPENDENCYPART_ARC
(6,14),-1.45952 # DEPENDENCYPART_ARC
(6,15),-1.01475 # DEPENDENCYPART_ARC
(6,16),-0.735705 # DEPENDENCYPART_ARC
(6,17),-1.82084 # DEPENDENCYPART_ARC
(6,18),-1.20932 # DEPENDENCYPART_ARC
(6,19),-1.63124 # DEPENDENCYPART_ARC
(6,20),-2.05944 # DEPENDENCYPART_ARC
(6,21),-1.65228 # DEPENDENCYPART_ARC
(6,22),-1.13987 # DEPENDENCYPART_ARC
(6,23),-2.64265 # DEPENDENCYPART_ARC
(6,24),-2.24312 # DEPENDENCYPART_ARC
(6,25),-2.32952 # DEPENDENCYPART_ARC
(6,26),-2.49163 # DEPENDENCYPART_ARC
(6,27),-3.68709 # DEPENDENCYPART_ARC
(6,28),-1.92388 # DEPENDENCYPART_ARC
(6,29),-4.28951 # DEPENDENCYPART_ARC
(6,30),-0.955981 # DEPENDENCYPART_ARC
(7,1),0.199993 # DEPENDENCYPART_ARC
(7,2),0.253556 # DEPENDENCYPART_ARC
(7,3),0.161087 # DEPENDENCYPART_ARC
(7,4),0.450667 # DEPENDENCYPART_ARC
(7,5),0.847611 # DEPENDENCYPART_ARC
(7,6),2.46356 # DEPENDENCYPART_ARC
(7,8),1.21335 # DEPENDENCYPART_ARC
(7,9),1.03532 # DEPENDENCYPART_ARC
(7,10),0.3206 # DEPENDENCYPART_ARC
(7,11),-0.330154 # DEPENDENCYPART_ARC
(7,12),-0.180091 # DEPENDENCYPART_ARC
(7,13),-0.196034 # DEPENDENCYPART_ARC
(7,14),-1.29917 # DEPENDENCYPART_ARC
(7,15),-0.994823 # DEPENDENCYPART_ARC
(7,16),-0.987472 # DEPENDENCYPART_ARC
(7,17),-1.66025 # DEPENDENCYPART_ARC
(7,18),-1.14075 # DEPENDENCYPART_ARC
(7,19),-1.83569 # DEPENDENCYPART_ARC
(7,20),-2.16554 # DEPENDENCYPART_ARC
(7,21),-1.67483 # DEPENDENCYPART_ARC
(7,22),-1.41539 # DEPENDENCYPART_ARC
(7,23),-2.50877 # DEPENDENCYPART_ARC
(7,24),-2.16254 # DEPENDENCYPART_ARC
(7,25),-2.48128 # DEPENDENCYPART_ARC
(7,26),-2.25904 # DEPENDENCYPART_ARC
(7,27),-3.74713 # DEPENDENCYPART_ARC
(7,28),-1.20531 # DEPENDENCYPART_ARC
(7,29),-4.30579 # DEPENDENCYPART_ARC
(7,30),0.063039 # DEPENDENCYPART_ARC
(8,1),0.183903 # DEPENDENCYPART_ARC
(8,2),-0.466611 # DEPENDENCYPART_ARC
(8,3),-0.167013 # DEPENDENCYPART_ARC
(8,4),-1.30942 # DEPENDENCYPART_ARC
(8,5),-0.970053 # DEPENDENCYPART_ARC
(8,6),1.48141 # DEPENDENCYPART_ARC
(8,7),1.79746 # DEPENDENCYPART_ARC
(8,9),-0.0471291 # DEPENDENCYPART_ARC
(8,10),-0.215387 # DEPENDENCYPART_ARC
(8,11),-0.619573 # DEPENDENCYPART_ARC
(8,12),-1.32301 # DEPENDENCYPART_ARC
(8,13),-0.549224 # DEPENDENCYPART_ARC
(8,14),-1.23954 # DEPENDENCYPART_ARC
(8,15),-1.58054 # DEPENDENCYPART_ARC
(8,16),-2.13684 # DEPENDENCYPART_ARC
(8,17),-1.62702 # DEPENDENCYPART_ARC
(8,18),-2.62107 # DEPENDENCYPART_ARC
(8,19),-3.21714 # DEPENDENCYPART_ARC
(8,20),-3.12113 # DEPENDENCYPART_ARC
(8,21),-3.66202 # DEPENDENCYPART_ARC
(8,22),-3.26982 # DEPENDENCYPART_ARC
(8,23),-2.46602 # DEPENDENCYPART_ARC
(8,24),-5.19985 # DEPENDENCYPART_ARC
(8,25),-3.05972 # DEPENDENCYPART_ARC
(8,26),-4.46045 # DEPENDENCYPART_ARC
(8,27),-3.81493 # DEPENDENCYPART_ARC
(8,28),-0.174183 # DEPENDENCYPART_ARC
(8,29),-3.51925 # DEPENDENCYPART_ARC
(8,30),-1.09076 # DEPENDENCYPART_ARC
(9,1),0.235404 # DEPENDENCYPART_ARC
(9,2),1.13887 # DEPENDENCYPART_ARC
(9,3),0.492751 # DEPENDENCYPART_ARC
(9,4),-0.369514 # DEPENDENCYPART_ARC
(9,5),0.0636408 # DEPENDENCYPART_ARC
(9,6),3.8774 # DEPENDENCYPART_ARC
(9,7),3.89145 # DEPENDENCYPART_ARC
(9,8),4.19665 # DEPENDENCYPART_ARC
(9,10),0.78374 # DEPENDENCYPART_ARC
(9,11),0.123664 # DEPENDENCYPART_ARC
(9,12),-0.00889892 # DEPENDENCYPART_ARC
(9,13),0.0225006 # DEPENDENCYPART_ARC
(9,14),-0.781208 # DEPENDENCYPART_ARC
(9,15),-0.75568 # DEPENDENCYPART_ARC
(9,16),-0.617993 # DEPENDENCYPART_ARC
(9,17),-1.00226 # DEPENDENCYPART_ARC
(9,18),-0.976763 # DEPENDENCYPART_ARC
(9,19),-2.43732 # DEPENDENCYPART_ARC
(9,20),-1.38036 # DEPENDENCYPART_ARC
(9,21),-0.884281 # DEPENDENCYPART_ARC
(9,22),-1.58927 # DEPENDENCYPART_ARC
(9,23),-1.74524 # DEPENDENCYPART_ARC
(9,24),-2.04301 # DEPENDENCYPART_ARC
(9,25),-1.83921 # DEPENDENCYPART_ARC
(9,26),-1.7449 # DEPENDENCYPART_ARC
(9,27),-1.49438 # DEPENDENCYPART_ARC
(9,28),-1.74296 # DEPENDENCYPART_ARC
(9,29),-1.52105 # DEPENDENCYPART_ARC
(9,30),2.06511 # DEPENDENCYPART_ARC
(10,1),-1.01067 # DEPENDENCYPART_ARC
(10,2),0.416719 # DEPENDENCYPART_ARC
(10,3),1.82049 # DEPENDENCYPART_ARC
(10,4),2.82903 # DEPENDENCYPART_ARC
(10,5),0.48705 # DEPENDENCYPART_ARC
(10,6),1.04262 # DEPENDENCYPART_ARC
(10,7),1.069 # DEPENDENCYPART_ARC
(10,8),1.15843 # DEPENDENCYPART_ARC
(10,9),1.05967 # DEPENDENCYPART_ARC
(10,11),1.45506 # DEPENDENCYPART_ARC
(10,12),2.59812 # DEPENDENCYPART_ARC
(10,13),2.00939 # DEPENDENCYPART_ARC
(10,14),-0.190988 # DEPENDENCYPART_ARC
(10,15),0.855979 # DEPENDENCYPART_ARC
(10,16),1.64611 # DEPENDENCYPART_ARC
(10,17),-0.487062 # DEPENDENCYPART_ARC
(10,18),-0.131483 # DEPENDENCYPART_ARC
(10,19),-0.386254 # DEPENDENCYPART_ARC
(10,20),-0.740652 # DEPENDENCYPART_ARC
(10,21),-1.51647 # DEPENDENCYPART_ARC
(10,22),1.24202 # DEPENDENCYPART_ARC
(10,23),-1.08791 # DEPENDENCYPART_ARC
(10,24),-2.02269 # DEPENDENCYPART_ARC
(10,25),0.348096 # DEPENDENCYPART_ARC
(10,26),-1.51794 # DEPENDENCYPART_ARC
(10,27),-0.500801 # DEPENDENCYPART_ARC
(10,28),1.60049 # DEPENDENCYPART_ARC
(10,29),-1.20312 # DEPENDENCYPART_ARC
(10,30),4.66968 # DEPENDENCYPART_ARC
(11,1),-0.451002 # DEPENDENCYPART_ARC
(11,2),-1.30891 # DEPENDENCYPART_ARC
(11,3),-2.18586 # DEPENDENCYPART_ARC
(11,4),-1.97589 # DEPENDENCYPART_ARC
(11,5),-1.53861 # DEPENDENCYPART_ARC
(11,6),-0.494553 # DEPENDENCYPART_ARC
(11,7),-0.484742 # DEPENDENCYPART_ARC
(11,8),-0.372196 # DEPENDENCYPART_ARC
(11,9),-0.226704 # DEPENDENCYPART_ARC
(11,10),0.314792 # DEPENDENCYPART_ARC
(11,12),1.30476 # DEPENDENCYPART_ARC
(11,13),0.455868 # DEPENDENCYPART_ARC
(11,14),-0.649181 # DEPENDENCYPART_ARC
(11,15),-0.954666 # DEPENDENCYPART_ARC
(11,16),-0.370622 # DEPENDENCYPART_ARC
(11,17),-0.993981 # DEPENDENCYPART_ARC
(11,18),-0.832669 # DEPENDENCYPART_ARC
(11,19),-1.06829 # DEPENDENCYPART_ARC
(11,20),-1.24731 # DEPENDENCYPART_ARC
(11,21),-1.30923 # DEPENDENCYPART_ARC
(11,22),-1.82689 # DEPENDENCYPART_ARC
(11,23),-1.85537 # DEPENDENCYPART_ARC
(11,24),-1.64577 # DEPENDENCYPART_ARC
(11,25),-1.8309 # DEPENDENCYPART_ARC
(11,26),-1.54014 # DEPENDENCYPART_ARC
(11,27),-1.85104 # DEPENDENCYPART_ARC
(11,28),-0.810782 # DEPENDENCYPART_ARC
(11,29),-2.24065 # DEPENDENCYPART_ARC
(11,30),-0.735565 # DEPENDENCYPART_ARC
(12,1),-1.12579 # DEPENDENCYPART_ARC
(12,2),-0.0782128 # DEPENDENCYPART_ARC
(12,3),-1.80807 # DEPENDENCYPART_ARC
(12,4),-3.58151 # DEPENDENCYPART_ARC
(12,5),-0.889829 # DEPENDENCYPART_ARC
(12,6),0.860417 # DEPENDENCYPART_ARC
(12,7),1.04641 # DEPENDENCYPART_ARC
(12,8),-0.230231 # DEPENDENCYPART_ARC
(12,9),0.0385641 # DEPENDENCYPART_ARC
(12,10),0.287611 # DEPENDENCYPART_ARC
(12,11),4.30093 # DEPENDENCYPART_ARC
(12,13),1.75533 # DEPENDENCYPART_ARC
(12,14),0.0538885 # DEPENDENCYPART_ARC
(12,15),0.42704 # DEPENDENCYPART_ARC
(12,16),0.0561877 # DEPENDENCYPART_ARC
(12,17),-0.508056 # DEPENDENCYPART_ARC
(12,18),0.23677 # DEPENDENCYPART_ARC
(12,19),-0.523448 # DEPENDENCYPART_ARC
(12,20),-0.681831 # DEPENDENCYPART_ARC
(12,21),-0.376508 # DEPENDENCYPART_ARC
(12,22),-0.194196 # DEPENDENCYPART_ARC
(12,23),-0.903318 # DEPENDENCYPART_ARC
(12,24),-0.484335 # DEPENDENCYPART_ARC
(12,25),-1.4754 # DEPENDENCYPART_ARC
(12,26),-0.56794 # DEPENDENCYPART_ARC
(12,27),-1.70797 # DEPENDENCYPART_ARC
(12,28),1.39248 # DEPENDENCYPART_ARC
(12,29),-2.16102 # DEPENDENCYPART_ARC
(12,30),-0.017704 # DEPENDENCYPART_ARC
(13,1),-2.5466 # DEPENDENCYPART_ARC
(13,2),-2.76136 # DEPENDENCYPART_ARC
(13,3),-2.30877 # DEPENDENCYPART_ARC
(13,4),-2.31126 # DEPENDENCYPART_ARC
(13,5),-2.28689 # DEPENDENCYPART_ARC
(13,6),-2.26263 # DEPENDENCYPART_ARC
(13,7),-2.12136 # DEPENDENCYPART_ARC
(13,8),-2.42249 # DEPENDENCYPART_ARC
(13,9),-2.19445 # DEPENDENCYPART_ARC
(13,10),-1.70237 # DEPENDENCYPART_ARC
(13,11),-1.63861 # DEPENDENCYPART_ARC
(13,12),-1.23117 # DEPENDENCYPART_ARC
(13,14),-0.060939 # DEPENDENCYPART_ARC
(13,15),-0.714415 # DEPENDENCYPART_ARC
(13,16),-0.736014 # DEPENDENCYPART_ARC
(13,17),-1.36617 # DEPENDENCYPART_ARC
(13,18),-1.79233 # DEPENDENCYPART_ARC
(13,19),-1.08118 # DEPENDENCYPART_ARC
(13,20),-2.0342 # DEPENDENCYPART_ARC
(13,21),-2.29978 # DEPENDENCYPART_ARC
(13,22),-1.32943 # DEPENDENCYPART_ARC
(13,23),-1.95415 # DEPENDENCYPART_ARC
(13,24),-2.61826 # DEPENDENCYPART_ARC
(13,25),-1.59871 # DEPENDENCYPART_ARC
(13,26),-1.99843 # DEPENDENCYPART_ARC
(13,27),-2.7633 # DEPENDENCYPART_ARC
(13,28),-1.51832 # DEPENDENCYPART_ARC
(13,29),-2.97119 # DEPENDENCYPART_ARC
(13,30),-2.0467 # DEPENDENCYPART_ARC
(14,1),-2.60188 # DEPENDENCYPART_ARC
(14,2),-2.95394 # DEPENDENCYPART_ARC
(14,3),-3.28174 # DEPENDENCYPART_ARC
(14,4),-3.02224 # DEPENDENCYPART_ARC
(14,5),-2.37481 # DEPENDENCYPART_ARC
(14,6),-2.44179 # DEPENDENCYPART_ARC
(14,7),-2.29061 # DEPENDENCYPART_ARC
(14,8),-2.23966 # DEPENDENCYPART_ARC
(14,9),-2.18599 # DEPENDENCYPART_ARC
(14,10),-1.95384 # DEPENDENCYPART_ARC
(14,11),-1.14608 # DEPENDENCYPART_ARC
(14,12),-1.68219 # DEPENDENCYPART_ARC
(14,13),-0.524694 # DEPENDENCYPART_ARC
(14,15),-0.582261 # DEPENDENCYPART_ARC
(14,16),-0.717606 # DEPENDENCYPART_ARC
(14,17),-1.63592 # DEPENDENCYPART_ARC
(14,18),-1.11215 # DEPENDENCYPART_ARC
(14,19),-0.8129 # DEPENDENCYPART_ARC
(14,20),-1.26735 # DEPENDENCYPART_ARC
(14,21),-1.7488 # DEPENDENCYPART_ARC
(14,22),-2.07986 # DEPENDENCYPART_ARC
(14,23),-2.37323 # DEPENDENCYPART_ARC
(14,24),-1.97291 # DEPENDENCYPART_ARC
(14,25),-2.67857 # DEPENDENCYPART_ARC
(14,26),-2.77747 # DEPENDENCYPART_ARC
(14,27),-2.45032 # DEPENDENCYPART_ARC
(14,28),-1.63544 # DEPENDENCYPART_ARC
(14,29),-2.79405 # DEPENDENCYPART_ARC
(14,30),-1.80273 # DEPENDENCYPART_ARC
(15,1),-0.825293 # DEPENDENCYPART_ARC
(15,2),-1.65315 # DEPENDENCYPART_ARC
(15,3),-1.97354 # DEPENDENCYPART_ARC
(15,4),-1.83871 # DEPENDENCYPART_ARC
(15,5),-1.10615 # DEPENDENCYPART_ARC
(15,6),-1.13459 # DEPENDENCYPART_ARC
(15,7),-1.04521 # DEPENDENCYPART_ARC
(15,8),-0.791165 # DEPENDENCYPART_ARC
(15,9),-0.884892 # DEPENDENCYPART_ARC
(15,10),-0.804875 # DEPENDENCYPART_ARC
(15,11),-0.423034 # DEPENDENCYPART_ARC
(15,12),-0.256287 # DEPENDENCYPART_ARC
(15,13),0.242554 # DEPENDENCYPART_ARC
(15,14),3.10254 # DEPENDENCYPART_ARC
(15,16),2.89499 # DEPENDENCYPART_ARC
(15,17),0.546778 # DEPENDENCYPART_ARC
(15,18),1.02023 # DEPENDENCYPART_ARC
(15,19),1.27029 # DEPENDENCYPART_ARC
(15,20),-0.116023 # DEPENDENCYPART_ARC
(15,21),0.70096 # DEPENDENCYPART_ARC
(15,22),0.535818 # DEPENDENCYPART_ARC
(15,23),-0.545106 # DEPENDENCYPART_ARC
(15,24),0.254343 # DEPENDENCYPART_ARC
(15,25),0.549184 # DEPENDENCYPART_ARC
(15,26),-0.697893 # DEPENDENCYPART_ARC
(15,27),-1.159 # DEPENDENCYPART_ARC
(15,28),0.324168 # DEPENDENCYPART_ARC
(15,29),-1.34947 # DEPENDENCYPART_ARC
(15,30),-0.231617 # DEPENDENCYPART_ARC
(16,1),-2.08243 # DEPENDENCYPART_ARC
(16,2),-1.93563 # DEPENDENCYPART_ARC
(16,3),-2.51425 # DEPENDENCYPART_ARC
(16,4),-2.45846 # DEPENDENCYPART_ARC
(16,5),-1.18327 # DEPENDENCYPART_ARC
(16,6),-1.1437 # DEPENDENCYPART_ARC
(16,7),-1.00813 # DEPENDENCYPART_ARC
(16,8),-1.31163 # DEPENDENCYPART_ARC
(16,9),-1.19234 # DEPENDENCYPART_ARC
(16,10),-0.939029 # DEPENDENCYPART_ARC
(16,11),-0.642262 # DEPENDENCYPART_ARC
(16,12),-1.17947 # DEPENDENCYPART_ARC
(16,13),-0.133126 # DEPENDENCYPART_ARC
(16,14),0.320051 # DEPENDENCYPART_ARC
(16,15),0.0633886 # DEPENDENCYPART_ARC
(16,17),0.639073 # DEPENDENCYPART_ARC
(16,18),2.74077 # DEPENDENCYPART_ARC
(16,19),0.772187 # DEPENDENCYPART_ARC
(16,20),0.113627 # DEPENDENCYPART_ARC
(16,21),0.351642 # DEPENDENCYPART_ARC
(16,22),0.131436 # DEPENDENCYPART_ARC
(16,23),-1.72147 # DEPENDENCYPART_ARC
(16,24),-1.17167 # DEPENDENCYPART_ARC
(16,25),-0.23967 # DEPENDENCYPART_ARC
(16,26),-4.05016 # DEPENDENCYPART_ARC
(16,27),-1.44467 # DEPENDENCYPART_ARC
(16,28),0.676001 # DEPENDENCYPART_ARC
(16,29),-2.02651 # DEPENDENCYPART_ARC
(16,30),0.00667757 # DEPENDENCYPART_ARC
(17,1),-3.42181 # DEPENDENCYPART_ARC
(17,2),-3.60011 # DEPENDENCYPART_ARC
(17,3),-3.99888 # DEPENDENCYPART_ARC
(17,4),-3.87747 # DEPENDENCYPART_ARC
(17,5),-2.91121 # DEPENDENCYPART_ARC
(17,6),-3.18591 # DEPENDENCYPART_ARC
(17,7),-2.94591 # DEPENDENCYPART_ARC
(17,8),-2.96396 # DEPENDENCYPART_ARC
(17,9),-2.96482 # DEPENDENCYPART_ARC
(17,10),-2.64789 # DEPENDENCYPART_ARC
(17,11),-2.28883 # DEPENDENCYPART_ARC
(17,12),-2.63398 # DEPENDENCYPART_ARC
(17,13),-2.00885 # DEPENDENCYPART_ARC
