# _root_ UAL , the takeover stock at the center of Friday 's 190.58-point market plunge , fell 56 7\/8 to 222 7\/8 on nearly 2.3 million shares .
#goldHeads=16,1,5,5,1,5,8,6,8,14,10,14,14,9,1,0,18,16,16,21,19,16,26,23,23,22,16,
#predictedHeads=16,1,5,5,1,5,8,6,8,14,10,14,14,9,1,0,18,16,16,21,19,16,26,23,23,22,16,
(2,14),-2.96872 # DEPENDENCYPART_ARC
(2,15),-1.74221 # DEPENDENCYPART_ARC
(2,16),-2.22577 # DEPENDENCYPART_ARC
(2,17),-3.1451 # DEPENDENCYPART_ARC
(2,18),-3.25263 # DEPENDENCYPART_ARC
(2,19),-2.83022 # DEPENDENCYPART_ARC
(2,20),-3.49104 # DEPENDENCYPART_ARC
(2,21),-3.61314 # DEPENDENCYPART_ARC
(2,22),-2.56707 # DEPENDENCYPART_ARC
(2,23),-3.31753 # DEPENDENCYPART_ARC
(2,24),-3.83685 # DEPENDENCYPART_ARC
(2,25),-3.94011 # DEPENDENCYPART_ARC
(2,26),-4.00504 # DEPENDENCYPART_ARC
(2,27),-3.02109 # DEPENDENCYPART_ARC
(3,1),-1.66868 # DEPENDENCYPART_ARC
(3,2),-0.777007 # DEPENDENCYPART_ARC
(3,4),0.0929468 # DEPENDENCYPART_ARC
(3,5),-0.543763 # DEPENDENCYPART_ARC
(3,6),-1.4106 # DEPENDENCYPART_ARC
(3,7),-2.04639 # DEPENDENCYPART_ARC
(3,8),-1.34083 # DEPENDENCYPART_ARC
(3,9),-1.38118 # DEPENDENCYPART_ARC
(3,10),-2.12968 # DEPENDENCYPART_ARC
(3,11),-2.32709 # DEPENDENCYPART_ARC
(3,12),-2.04153 # DEPENDENCYPART_ARC
(3,13),-1.99524 # DEPENDENCYPART_ARC
(3,14),-2.1469 # DEPENDENCYPART_ARC
(3,15),-1.92556 # DEPENDENCYPART_ARC
(3,16),-2.65416 # DEPENDENCYPART_ARC
(3,17),-2.8601 # DEPENDENCYPART_ARC
(3,18),-2.89636 # DEPENDENCYPART_ARC
(3,19),-2.46744 # DEPENDENCYPART_ARC
(3,20),-2.98022 # DEPENDENCYPART_ARC
(3,21),-3.33727 # DEPENDENCYPART_ARC
(3,22),-3.91724 # DEPENDENCYPART_ARC
(3,23),-2.99487 # DEPENDENCYPART_ARC
(3,24),-3.26709 # DEPENDENCYPART_ARC
(3,25),-3.05267 # DEPENDENCYPART_ARC
(3,26),-3.95376 # DEPENDENCYPART_ARC
(3,27),-2.47673 # DEPENDENCYPART_ARC
(4,1),-2.118 # DEPENDENCYPART_ARC
(4,2),-0.551139 # DEPENDENCYPART_ARC
(4,3),2.21614 # DEPENDENCYPART_ARC
(4,5),1.21418 # DEPENDENCYPART_ARC
(4,6),0.36043 # DEPENDENCYPART_ARC
(4,7),-0.48021 # DEPENDENCYPART_ARC
(4,8),-0.236624 # DEPENDENCYPART_ARC
(4,9),0.17073 # DEPENDENCYPART_ARC
(4,10),-0.627572 # DEPENDENCYPART_ARC
(4,11),-0.738555 # DEPENDENCYPART_ARC
(4,12),-0.686524 # DEPENDENCYPART_ARC
(4,13),-0.620951 # DEPENDENCYPART_ARC
(4,14),-1.04189 # DEPENDENCYPART_ARC
(4,15),-0.0372123 # DEPENDENCYPART_ARC
(4,16),-1.63602 # DEPENDENCYPART_ARC
(4,17),-1.80556 # DEPENDENCYPART_ARC
(4,18),-2.14355 # DEPENDENCYPART_ARC
(4,19),-1.89978 # DEPENDENCYPART_ARC
(4,20),-2.09475 # DEPENDENCYPART_ARC
(4,21),-2.6307 # DEPENDENCYPART_ARC
(4,22),-0.893898 # DEPENDENCYPART_ARC
(4,23),-2.23683 # DEPENDENCYPART_ARC
(4,24),-2.76658 # DEPENDENCYPART_ARC
(4,25),-3.06095 # DEPENDENCYPART_ARC
(4,26),-3.10139 # DEPENDENCYPART_ARC
(4,27),0.242109 # DEPENDENCYPART_ARC
(5,1),0.178414 # DEPENDENCYPART_ARC
(5,2),0.544732 # DEPENDENCYPART_ARC
(5,3),4.50942 # DEPENDENCYPART_ARC
(5,4),4.64646 # DEPENDENCYPART_ARC
(5,6),1.37489 # DEPENDENCYPART_ARC
(5,7),-0.346731 # DEPENDENCYPART_ARC
(5,8),0.562342 # DEPENDENCYPART_ARC
(5,9),0.624969 # DEPENDENCYPART_ARC
(5,10),0.396433 # DEPENDENCYPART_ARC
(5,11),-0.129391 # DEPENDENCYPART_ARC
(5,12),-0.272564 # DEPENDENCYPART_ARC
(5,13),-0.212886 # DEPENDENCYPART_ARC
(5,14),-0.530268 # DEPENDENCYPART_ARC
(5,15),1.23482 # DEPENDENCYPART_ARC
(5,16),-0.936725 # DEPENDENCYPART_ARC
(5,17),-1.27316 # DEPENDENCYPART_ARC
(5,18),-1.61321 # DEPENDENCYPART_ARC
(5,19),-1.51105 # DEPENDENCYPART_ARC
(5,20),-1.55061 # DEPENDENCYPART_ARC
(5,21),-2.11683 # DEPENDENCYPART_ARC
(5,22),-1.17162 # DEPENDENCYPART_ARC
(5,23),-1.61281 # DEPENDENCYPART_ARC
(5,24),-2.26718 # DEPENDENCYPART_ARC
(5,25),-2.41132 # DEPENDENCYPART_ARC
(5,26),-2.1338 # DEPENDENCYPART_ARC
(5,27),1.08471 # DEPENDENCYPART_ARC
(6,1),-1.04292 # DEPENDENCYPART_ARC
(6,2),-0.213328 # DEPENDENCYPART_ARC
(6,3),0.150889 # DEPENDENCYPART_ARC
(6,4),-0.0551296 # DEPENDENCYPART_ARC
(6,5),0.119639 # DEPENDENCYPART_ARC
(6,7),0.460682 # DEPENDENCYPART_ARC
(6,8),3.51847 # DEPENDENCYPART_ARC
(6,9),0.735945 # DEPENDENCYPART_ARC
(6,10),-0.66592 # DEPENDENCYPART_ARC
(6,11),-0.431394 # DEPENDENCYPART_ARC
(6,12),-0.403106 # DEPENDENCYPART_ARC
(6,13),0.574506 # DEPENDENCYPART_ARC
(6,14),2.24092 # DEPENDENCYPART_ARC
(6,15),0.185662 # DEPENDENCYPART_ARC
(6,16),-2.15222 # DEPENDENCYPART_ARC
(6,17),-2.7103 # DEPENDENCYPART_ARC
(6,18),-1.69019 # DEPENDENCYPART_ARC
(6,19),-3.49665 # DEPENDENCYPART_ARC
(6,20),-2.55639 # DEPENDENCYPART_ARC
(6,21),-1.32484 # DEPENDENCYPART_ARC
(6,22),-0.782311 # DEPENDENCYPART_ARC
(6,23),-1.64307 # DEPENDENCYPART_ARC
(6,24),-3.01495 # DEPENDENCYPART_ARC
(6,25),-4.02754 # DEPENDENCYPART_ARC
(6,26),-3.62183 # DEPENDENCYPART_ARC
(6,27),-1.59647 # DEPENDENCYPART_ARC
(7,1),-2.99521 # DEPENDENCYPART_ARC
(7,2),-2.62418 # DEPENDENCYPART_ARC
(7,3),-1.81757 # DEPENDENCYPART_ARC
(7,4),-2.44073 # DEPENDENCYPART_ARC
(7,5),-2.49055 # DEPENDENCYPART_ARC
(7,6),-1.01229 # DEPENDENCYPART_ARC
(7,8),-0.0894492 # DEPENDENCYPART_ARC
(7,9),-0.766871 # DEPENDENCYPART_ARC
(7,10),-1.81233 # DEPENDENCYPART_ARC
(7,11),-2.28651 # DEPENDENCYPART_ARC
(7,12),-1.91464 # DEPENDENCYPART_ARC
(7,13),-2.02135 # DEPENDENCYPART_ARC
(7,14),-2.00465 # DEPENDENCYPART_ARC
(7,15),-1.90147 # DEPENDENCYPART_ARC
(7,16),-2.30628 # DEPENDENCYPART_ARC
(7,17),-2.61618 # DEPENDENCYPART_ARC
(7,18),-2.86643 # DEPENDENCYPART_ARC
(7,19),-2.56607 # DEPENDENCYPART_ARC
(7,20),-2.93158 # DEPENDENCYPART_ARC
(7,21),-3.31232 # DEPENDENCYPART_ARC
(7,22),-3.63632 # DEPENDENCYPART_ARC
(7,23),-3.20468 # DEPENDENCYPART_ARC
(7,24),-3.2189 # DEPENDENCYPART_ARC
(7,25),-3.03563 # DEPENDENCYPART_ARC
(7,26),-4.09473 # DEPENDENCYPART_ARC
(7,27),-2.8391 # DEPENDENCYPART_ARC
(8,1),-4.31171 # DEPENDENCYPART_ARC
(8,2),-1.54802 # DEPENDENCYPART_ARC
(8,3),-0.120517 # DEPENDENCYPART_ARC
(8,4),-0.253639 # DEPENDENCYPART_ARC
(8,5),-1.34297 # DEPENDENCYPART_ARC
(8,6),0.728398 # DEPENDENCYPART_ARC
(8,7),4.66248 # DEPENDENCYPART_ARC
(8,9),3.58984 # DEPENDENCYPART_ARC
(8,10),0.691724 # DEPENDENCYPART_ARC
(8,11),1.61635 # DEPENDENCYPART_ARC
(8,12),0.762697 # DEPENDENCYPART_ARC
(8,13),0.89077 # DEPENDENCYPART_ARC
(8,14),0.723747 # DEPENDENCYPART_ARC
(8,15),1.53039 # DEPENDENCYPART_ARC
(8,16),-0.0690143 # DEPENDENCYPART_ARC
(8,17),-0.448565 # DEPENDENCYPART_ARC
(8,18),-0.792549 # DEPENDENCYPART_ARC
(8,19),-0.435489 # DEPENDENCYPART_ARC
(8,20),-0.855048 # DEPENDENCYPART_ARC
(8,21),-1.43079 # DEPENDENCYPART_ARC
(8,22),0.337044 # DEPENDENCYPART_ARC
(8,23),-0.807093 # DEPENDENCYPART_ARC
(8,24),-1.48755 # DEPENDENCYPART_ARC
(8,25),-1.58375 # DEPENDENCYPART_ARC
(8,26),-1.17019 # DEPENDENCYPART_ARC
(8,27),1.62943 # DEPENDENCYPART_ARC
(9,1),-1.24777 # DEPENDENCYPART_ARC
(9,2),-1.31683 # DEPENDENCYPART_ARC
(9,3),-0.872158 # DEPENDENCYPART_ARC
(9,4),-0.503665 # DEPENDENCYPART_ARC
(9,5),-0.691112 # DEPENDENCYPART_ARC
(9,6),0.111785 # DEPENDENCYPART_ARC
(9,7),-0.0999957 # DEPENDENCYPART_ARC
(9,8),0.955597 # DEPENDENCYPART_ARC
(9,10),1.9807 # DEPENDENCYPART_ARC
(9,11),0.883929 # DEPENDENCYPART_ARC
(9,12),0.276176 # DEPENDENCYPART_ARC
(9,13),1.98904 # DEPENDENCYPART_ARC
(9,14),3.4027 # DEPENDENCYPART_ARC
(9,15),0.512665 # DEPENDENCYPART_ARC
(9,16),-0.630426 # DEPENDENCYPART_ARC
(9,17),-1.88006 # DEPENDENCYPART_ARC
(9,18),-1.04852 # DEPENDENCYPART_ARC
(9,19),-2.2099 # DEPENDENCYPART_ARC
(9,20),-1.65684 # DEPENDENCYPART_ARC
(9,21),-0.931112 # DEPENDENCYPART_ARC
(9,22),-1.03262 # DEPENDENCYPART_ARC
(9,23),-1.68825 # DEPENDENCYPART_ARC
(9,24),-1.86874 # DEPENDENCYPART_ARC
(9,25),-2.05049 # DEPENDENCYPART_ARC
(9,26),-2.18337 # DEPENDENCYPART_ARC
(9,27),0.290663 # DEPENDENCYPART_ARC
(10,1),-5.26582 # DEPENDENCYPART_ARC
(10,2),-3.82212 # DEPENDENCYPART_ARC
(10,3),-2.73544 # DEPENDENCYPART_ARC
(10,4),-3.34735 # DEPENDENCYPART_ARC
(10,5),-3.95807 # DEPENDENCYPART_ARC
(10,6),-2.21904 # DEPENDENCYPART_ARC
(10,7),-0.350327 # DEPENDENCYPART_ARC
(10,8),-2.28741 # DEPENDENCYPART_ARC
(10,9),-0.502389 # DEPENDENCYPART_ARC
(10,11),4.11966 # DEPENDENCYPART_ARC
(10,12),1.54757 # DEPENDENCYPART_ARC
(10,13),0.123024 # DEPENDENCYPART_ARC
(10,14),0.117724 # DEPENDENCYPART_ARC
(10,15),-0.243417 # DEPENDENCYPART_ARC
(10,16),-0.377069 # DEPENDENCYPART_ARC
(10,17),-0.721103 # DEPENDENCYPART_ARC
(10,18),-0.925259 # DEPENDENCYPART_ARC
(10,19),-1.06413 # DEPENDENCYPART_ARC
(10,20),-1.34836 # DEPENDENCYPART_ARC
(10,21),-1.6915 # DEPENDENCYPART_ARC
(10,22),-0.296388 # DEPENDENCYPART_ARC
(10,23),-1.17051 # DEPENDENCYPART_ARC
(10,24),-2.22786 # DEPENDENCYPART_ARC
(10,25),-3.05201 # DEPENDENCYPART_ARC
(10,26),-1.75698 # DEPENDENCYPART_ARC
(10,27),0.784424 # DEPENDENCYPART_ARC
(11,1),-0.540756 # DEPENDENCYPART_ARC
(11,2),-0.800669 # DEPENDENCYPART_ARC
(11,3),0.0226068 # DEPENDENCYPART_ARC
(11,4),-1.35673 # DEPENDENCYPART_ARC
(11,5),-1.13637 # DEPENDENCYPART_ARC
(11,6),-0.598386 # DEPENDENCYPART_ARC
(11,7),1.08055 # DEPENDENCYPART_ARC
(11,8),-0.0783702 # DEPENDENCYPART_ARC
(11,9),0.521307 # DEPENDENCYPART_ARC
(11,10),1.79995 # DEPENDENCYPART_ARC
(11,12),0.11417 # DEPENDENCYPART_ARC
(11,13),-0.725292 # DEPENDENCYPART_ARC
(11,14),-1.24279 # DEPENDENCYPART_ARC
(11,15),-0.604663 # DEPENDENCYPART_ARC
(11,16),-0.783766 # DEPENDENCYPART_ARC
(11,17),-1.99747 # DEPENDENCYPART_ARC
(11,18),-2.10617 # DEPENDENCYPART_ARC
(11,19),-1.57634 # DEPENDENCYPART_ARC
(11,20),-2.32683 # DEPENDENCYPART_ARC
(11,21),-2.41874 # DEPENDENCYPART_ARC
(11,22),-2.94914 # DEPENDENCYPART_ARC
(11,23),-2.02231 # DEPENDENCYPART_ARC
(11,24),-2.64861 # DEPENDENCYPART_ARC
(11,25),-2.7624 # DEPENDENCYPART_ARC
(11,26),-3.47577 # DEPENDENCYPART_ARC
(11,27),-3.12498 # DEPENDENCYPART_ARC
(12,1),-2.25509 # DEPENDENCYPART_ARC
(12,2),-1.30793 # DEPENDENCYPART_ARC
(12,3),-0.526626 # DEPENDENCYPART_ARC
(12,4),-0.965556 # DEPENDENCYPART_ARC
(12,5),-1.05283 # DEPENDENCYPART_ARC
(12,6),-0.757991 # DEPENDENCYPART_ARC
(12,7),0.435021 # DEPENDENCYPART_ARC
(12,8),-0.270701 # DEPENDENCYPART_ARC
(12,9),-0.0677373 # DEPENDENCYPART_ARC
(12,10),0.674035 # DEPENDENCYPART_ARC
(12,11),0.69479 # DEPENDENCYPART_ARC
(12,13),1.32755 # DEPENDENCYPART_ARC
(12,14),0.0752984 # DEPENDENCYPART_ARC
(12,15),-0.12487 # DEPENDENCYPART_ARC
(12,16),-0.507197 # DEPENDENCYPART_ARC
(12,17),-0.992104 # DEPENDENCYPART_ARC
(12,18),-1.58891 # DEPENDENCYPART_ARC
(12,19),-1.0197 # DEPENDENCYPART_ARC
(12,20),-1.57374 # DEPENDENCYPART_ARC
(12,21),-1.8625 # DEPENDENCYPART_ARC
(12,22),-1.65848 # DEPENDENCYPART_ARC
(12,23),-1.58423 # DEPENDENCYPART_ARC
(12,24),-1.94125 # DEPENDENCYPART_ARC
(12,25),-1.10488 # DEPENDENCYPART_ARC
(12,26),-1.76164 # DEPENDENCYPART_ARC
(12,27),0.532986 # DEPENDENCYPART_ARC
(13,1),-5.53515 # DEPENDENCYPART_ARC
(13,2),-2.79349 # DEPENDENCYPART_ARC
(13,3),-2.44295 # DEPENDENCYPART_ARC
(13,4),-1.9634 # DEPENDENCYPART_ARC
(13,5),-3.49131 # DEPENDENCYPART_ARC
(13,6),-1.67534 # DEPENDENCYPART_ARC
(13,7),-0.0534602 # DEPENDENCYPART_ARC
(13,8),-0.395201 # DEPENDENCYPART_ARC
(13,9),-0.78945 # DEPENDENCYPART_ARC
(13,10),3.25344 # DEPENDENCYPART_ARC
(13,11),0.671976 # DEPENDENCYPART_ARC
(13,12),1.9916 # DEPENDENCYPART_ARC
(13,14),0.567139 # DEPENDENCYPART_ARC
(13,15),0.317216 # DEPENDENCYPART_ARC
(13,16),-0.223123 # DEPENDENCYPART_ARC
(13,17),-0.765525 # DEPENDENCYPART_ARC
(13,18),-1.15055 # DEPENDENCYPART_ARC
(13,19),-1.41355 # DEPENDENCYPART_ARC
(13,20),-1.38802 # DEPENDENCYPART_ARC
(13,21),-1.89385 # DEPENDENCYPART_ARC
(13,22),-1.28521 # DEPENDENCYPART_ARC
(13,23),-1.64781 # DEPENDENCYPART_ARC
(13,24),-2.0255 # DEPENDENCYPART_ARC
(13,25),-2.49297 # DEPENDENCYPART_ARC
(13,26),-2.33739 # DEPENDENCYPART_ARC
(13,27),-0.110828 # DEPENDENCYPART_ARC
(14,1),-2.76076 # DEPENDENCYPART_ARC
(14,2),-0.93751 # DEPENDENCYPART_ARC
(14,3),-1.5925 # DEPENDENCYPART_ARC
(14,4),0.744215 # DEPENDENCYPART_ARC
(14,5),-1.2609 # DEPENDENCYPART_ARC
(14,6),-0.442708 # DEPENDENCYPART_ARC
(14,7),1.64099 # DEPENDENCYPART_ARC
(14,8),0.954766 # DEPENDENCYPART_ARC
(14,9),0.407772 # DEPENDENCYPART_ARC
(14,10),5.4571 # DEPENDENCYPART_ARC
(14,11),1.33873 # DEPENDENCYPART_ARC
(14,12),3.76615 # DEPENDENCYPART_ARC
(14,13),4.43848 # DEPENDENCYPART_ARC
(14,15),1.30299 # DEPENDENCYPART_ARC
(14,16),0.644971 # DEPENDENCYPART_ARC
(14,17),0.24611 # DEPENDENCYPART_ARC
(14,18),-0.248622 # DEPENDENCYPART_ARC
(14,19),-0.286033 # DEPENDENCYPART_ARC
(14,20),-0.499254 # DEPENDENCYPART_ARC
(14,21),-0.961333 # DEPENDENCYPART_ARC
(14,22),0.198439 # DEPENDENCYPART_ARC
(14,23),-0.55036 # DEPENDENCYPART_ARC
(14,24),-1.12726 # DEPENDENCYPART_ARC
(14,25),-1.67639 # DEPENDENCYPART_ARC
(14,26),-0.792468 # DEPENDENCYPART_ARC
(14,27),1.40317 # DEPENDENCYPART_ARC
(15,1),-2.76999 # DEPENDENCYPART_ARC
(15,2),-0.559832 # DEPENDENCYPART_ARC
(15,3),-1.92036 # DEPENDENCYPART_ARC
(15,4),-1.82236 # DEPENDENCYPART_ARC
(15,5),-1.67333 # DEPENDENCYPART_ARC
(15,6),-1.73336 # DEPENDENCYPART_ARC
(15,7),-1.33116 # DEPENDENCYPART_ARC
(15,8),-1.61933 # DEPENDENCYPART_ARC
(15,9),-1.31795 # DEPENDENCYPART_ARC
(15,10),-1.79625 # DEPENDENCYPART_ARC
(15,11),-1.31838 # DEPENDENCYPART_ARC
(15,12),-0.928988 # DEPENDENCYPART_ARC
(15,13),-1.39847 # DEPENDENCYPART_ARC
(15,14),-0.740161 # DEPENDENCYPART_ARC
(15,16),-0.0652474 # DEPENDENCYPART_ARC
(15,17),-1.12886 # DEPENDENCYPART_ARC
(15,18),-1.6446 # DEPENDENCYPART_ARC
(15,19),-1.66278 # DEPENDENCYPART_ARC
(15,20),-2.08275 # DEPENDENCYPART_ARC
(15,21),-2.49278 # DEPENDENCYPART_ARC
(15,22),-1.86595 # DEPENDENCYPART_ARC
(15,23),-2.25635 # DEPENDENCYPART_ARC
(15,24),-2.79412 # DEPENDENCYPART_ARC
(15,25),-2.89157 # DEPENDENCYPART_ARC
(15,26),-2.81474 # DEPENDENCYPART_ARC
(15,27),-1.84937 # DEPENDENCYPART_ARC
(16,1),3.2854 # DEPENDENCYPART_ARC
(16,2),2.50118 # DEPENDENCYPART_ARC
(16,3),-2.21112 # DEPENDENCYPART_ARC
(16,4),0.409708 # DEPENDENCYPART_ARC
(16,5),0.0975216 # DEPENDENCYPART_ARC
(16,6),0.113873 # DEPENDENCYPART_ARC
(16,7),-1.3697 # DEPENDENCYPART_ARC
(16,8),1.28622 # DEPENDENCYPART_ARC
(16,9),0.0123524 # DEPENDENCYPART_ARC
(16,10),1.47154 # DEPENDENCYPART_ARC
(16,11),-0.313004 # DEPENDENCYPART_ARC
(16,12),0.657639 # DEPENDENCYPART_ARC
(16,13),1.53482 # DEPENDENCYPART_ARC
(16,14),0.754196 # DEPENDENCYPART_ARC
(16,15),1.42657 # DEPENDENCYPART_ARC
(16,17),1.99542 # DEPENDENCYPART_ARC
(16,18),2.82631 # DEPENDENCYPART_ARC
(16,19),3.90719 # DEPENDENCYPART_ARC
(16,20),0.541125 # DEPENDENCYPART_ARC
(16,21),1.03978 # DEPENDENCYPART_ARC
(16,22),3.38971 # DEPENDENCYPART_ARC
(16,23),0.227988 # DEPENDENCYPART_ARC
(16,24),-0.421418 # DEPENDENCYPART_ARC
(16,25),0.0431659 # DEPENDENCYPART_ARC
(16,26),0.66346 # DEPENDENCYPART_ARC
(16,27),6.08608 # DEPENDENCYPART_ARC
(17,1),-3.42646 # DEPENDENCYPART_ARC
(17,2),-3.3245 # DEPENDENCYPART_ARC
(17,3),-2.12529 # DEPENDENCYPART_ARC
(17,4),-3.35859 # DEPENDENCYPART_ARC
(17,5),-3.27133 # DEPENDENCYPART_ARC
(17,6),-3.36053 # DEPENDENCYPART_ARC
(17,7),-1.25913 # DEPENDENCYPART_ARC
(17,8),-2.76452 # DEPENDENCYPART_ARC
(17,9),-1.60451 # DEPENDENCYPART_ARC
(17,10),-1.87393 # DEPENDENCYPART_ARC
(17,11),-2.22541 # DEPENDENCYPART_ARC
(17,12),-1.05685 # DEPENDENCYPART_ARC
(17,13),-1.74006 # DEPENDENCYPART_ARC
(17,14),-1.43479 # DEPENDENCYPART_ARC
(17,15),-0.601489 # DEPENDENCYPART_ARC
(17,16),-0.0748576 # DEPENDENCYPART_ARC
(17,18),1.07449 # DEPENDENCYPART_ARC
(17,19),0.687987 # DEPENDENCYPART_ARC
(17,20),-0.0101828 # DEPENDENCYPART_ARC
(17,21),-0.333148 # DEPENDENCYPART_ARC
(17,22),0.145144 # DEPENDENCYPART_ARC
(17,23),-0.0293024 # DEPENDENCYPART_ARC
(17,24),-0.595078 # DEPENDENCYPART_ARC
(17,25),-0.512471 # DEPENDENCYPART_ARC
(17,26),-0.847638 # DEPENDENCYPART_ARC
(17,27),-0.00374883 # DEPENDENCYPART_ARC
(18,1),-2.32163 # DEPENDENCYPART_ARC
(18,2),-2.09318 # DEPENDENCYPART_ARC
(18,3),-0.869967 # DEPENDENCYPART_ARC
(18,4),-2.35305 # DEPENDENCYPART_ARC
(18,5),-2.19199 # DEPENDENCYPART_ARC
(18,6),-2.41629 # DEPENDENCYPART_ARC
(18,7),-0.273322 # DEPENDENCYPART_ARC
(18,8),-1.69479 # DEPENDENCYPART_ARC
(18,9),-0.515532 # DEPENDENCYPART_ARC
(18,10),-0.817962 # DEPENDENCYPART_ARC
(18,11),-1.16862 # DEPENDENCYPART_ARC
(18,12),-0.0445 # DEPENDENCYPART_ARC
(18,13),-0.820707 # DEPENDENCYPART_ARC
(18,14),-0.644649 # DEPENDENCYPART_ARC
(18,15),0.433699 # DEPENDENCYPART_ARC
(18,16),0.321414 # DEPENDENCYPART_ARC
(18,17),4.01572 # DEPENDENCYPART_ARC
(18,19),1.41892 # DEPENDENCYPART_ARC
(18,20),0.948672 # DEPENDENCYPART_ARC
(18,21),0.327156 # DEPENDENCYPART_ARC
(18,22),0.449521 # DEPENDENCYPART_ARC
(18,23),0.0860686 # DEPENDENCYPART_ARC
(18,24),-0.103375 # DEPENDENCYPART_ARC
(18,25),-0.0120034 # DEPENDENCYPART_ARC
(18,26),-0.292842 # DEPENDENCYPART_ARC
(18,27),0.411217 # DEPENDENCYPART_ARC
(19,1),-1.60542 # DEPENDENCYPART_ARC
(19,2),-1.50366 # DEPENDENCYPART_ARC
(19,3),-2.01148 # DEPENDENCYPART_ARC
(19,4),-2.1783 # DEPENDENCYPART_ARC
(19,5),-2.25337 # DEPENDENCYPART_ARC
(19,6),-1.75254 # DEPENDENCYPART_ARC
(19,7),-1.73673 # DEPENDENCYPART_ARC
(19,8),-1.8994 # DEPENDENCYPART_ARC
(19,9),-1.56874 # DEPENDENCYPART_ARC
(19,10),-1.07532 # DEPENDENCYPART_ARC
(19,11),-0.988429 # DEPENDENCYPART_ARC
(19,12),-1.08311 # DEPENDENCYPART_ARC
