# _root_ Burmah , which owns the Castrol brand of lubricant oils , reported a 17 % rise in net income to # 43.5 million ( $ 68.3 million ) in the first half .
#goldHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,16,32,32,29,12,
#predictedHeads=12,1,4,1,7,7,4,7,10,8,1,0,16,15,16,12,16,19,17,16,20,21,21,25,21,25,25,25,20,32,32,29,12,
(2,26),-4.28356 # DEPENDENCYPART_ARC
(2,27),-4.34393 # DEPENDENCYPART_ARC
(2,28),-1.52618 # DEPENDENCYPART_ARC
(2,29),-3.87827 # DEPENDENCYPART_ARC
(2,30),-4.43439 # DEPENDENCYPART_ARC
(2,31),-4.62667 # DEPENDENCYPART_ARC
(2,32),-5.12988 # DEPENDENCYPART_ARC
(2,33),-3.78726 # DEPENDENCYPART_ARC
(3,1),-0.491876 # DEPENDENCYPART_ARC
(3,2),0.328164 # DEPENDENCYPART_ARC
(3,4),0.489799 # DEPENDENCYPART_ARC
(3,5),-0.967214 # DEPENDENCYPART_ARC
(3,6),-0.85402 # DEPENDENCYPART_ARC
(3,7),-0.759599 # DEPENDENCYPART_ARC
(3,8),-1.08142 # DEPENDENCYPART_ARC
(3,9),-1.75378 # DEPENDENCYPART_ARC
(3,10),-1.93161 # DEPENDENCYPART_ARC
(3,11),-1.20236 # DEPENDENCYPART_ARC
(3,12),-1.95878 # DEPENDENCYPART_ARC
(3,13),-2.32419 # DEPENDENCYPART_ARC
(3,14),-2.56836 # DEPENDENCYPART_ARC
(3,15),-2.02794 # DEPENDENCYPART_ARC
(3,16),-2.06084 # DEPENDENCYPART_ARC
(3,17),-2.48799 # DEPENDENCYPART_ARC
(3,18),-2.81981 # DEPENDENCYPART_ARC
(3,19),-2.3523 # DEPENDENCYPART_ARC
(3,20),-2.63676 # DEPENDENCYPART_ARC
(3,21),-3.07854 # DEPENDENCYPART_ARC
(3,22),-3.4175 # DEPENDENCYPART_ARC
(3,23),-3.47782 # DEPENDENCYPART_ARC
(3,24),-3.14715 # DEPENDENCYPART_ARC
(3,25),-3.68404 # DEPENDENCYPART_ARC
(3,26),-3.79997 # DEPENDENCYPART_ARC
(3,27),-3.90095 # DEPENDENCYPART_ARC
(3,28),-2.64636 # DEPENDENCYPART_ARC
(3,29),-3.9237 # DEPENDENCYPART_ARC
(3,30),-4.25414 # DEPENDENCYPART_ARC
(3,31),-4.19099 # DEPENDENCYPART_ARC
(3,32),-3.77104 # DEPENDENCYPART_ARC
(3,33),-3.301 # DEPENDENCYPART_ARC
(4,1),0.330123 # DEPENDENCYPART_ARC
(4,2),1.00076 # DEPENDENCYPART_ARC
(4,3),4.01815 # DEPENDENCYPART_ARC
(4,5),1.10112 # DEPENDENCYPART_ARC
(4,6),2.08008 # DEPENDENCYPART_ARC
(4,7),3.04618 # DEPENDENCYPART_ARC
(4,8),0.338705 # DEPENDENCYPART_ARC
(4,9),0.220506 # DEPENDENCYPART_ARC
(4,10),1.05819 # DEPENDENCYPART_ARC
(4,11),0.857694 # DEPENDENCYPART_ARC
(4,12),0.0642161 # DEPENDENCYPART_ARC
(4,13),-0.715502 # DEPENDENCYPART_ARC
(4,14),-1.15077 # DEPENDENCYPART_ARC
(4,15),-1.02472 # DEPENDENCYPART_ARC
(4,16),0.558364 # DEPENDENCYPART_ARC
(4,17),-1.49322 # DEPENDENCYPART_ARC
(4,18),-1.10161 # DEPENDENCYPART_ARC
(4,19),-0.929898 # DEPENDENCYPART_ARC
(4,20),-0.329744 # DEPENDENCYPART_ARC
(4,21),-1.35478 # DEPENDENCYPART_ARC
(4,22),-1.81707 # DEPENDENCYPART_ARC
(4,23),-1.54918 # DEPENDENCYPART_ARC
(4,24),-0.648029 # DEPENDENCYPART_ARC
(4,25),-1.35758 # DEPENDENCYPART_ARC
(4,26),-1.89315 # DEPENDENCYPART_ARC
(4,27),-1.45718 # DEPENDENCYPART_ARC
(4,28),0.649187 # DEPENDENCYPART_ARC
(4,29),-3.05489 # DEPENDENCYPART_ARC
(4,30),-3.19787 # DEPENDENCYPART_ARC
(4,31),-2.35224 # DEPENDENCYPART_ARC
(4,32),-2.10931 # DEPENDENCYPART_ARC
(4,33),2.54314 # DEPENDENCYPART_ARC
(5,1),-2.19142 # DEPENDENCYPART_ARC
(5,2),-1.61666 # DEPENDENCYPART_ARC
(5,3),-0.511997 # DEPENDENCYPART_ARC
(5,4),-1.13619 # DEPENDENCYPART_ARC
(5,6),-0.253858 # DEPENDENCYPART_ARC
(5,7),-0.19241 # DEPENDENCYPART_ARC
(5,8),-0.267806 # DEPENDENCYPART_ARC
(5,9),-0.97942 # DEPENDENCYPART_ARC
(5,10),-1.07334 # DEPENDENCYPART_ARC
(5,11),-0.544293 # DEPENDENCYPART_ARC
(5,12),-1.03687 # DEPENDENCYPART_ARC
(5,13),-2.09515 # DEPENDENCYPART_ARC
(5,14),-1.5279 # DEPENDENCYPART_ARC
(5,15),-1.69948 # DEPENDENCYPART_ARC
(5,16),-1.83888 # DEPENDENCYPART_ARC
(5,17),-2.69564 # DEPENDENCYPART_ARC
(5,18),-2.3755 # DEPENDENCYPART_ARC
(5,19),-2.23095 # DEPENDENCYPART_ARC
(5,20),-2.35683 # DEPENDENCYPART_ARC
(5,21),-2.60373 # DEPENDENCYPART_ARC
(5,22),-2.64471 # DEPENDENCYPART_ARC
(5,23),-2.62601 # DEPENDENCYPART_ARC
(5,24),-2.76512 # DEPENDENCYPART_ARC
(5,25),-3.80996 # DEPENDENCYPART_ARC
(5,26),-2.92963 # DEPENDENCYPART_ARC
(5,27),-2.93433 # DEPENDENCYPART_ARC
(5,28),-1.66618 # DEPENDENCYPART_ARC
(5,29),-4.43317 # DEPENDENCYPART_ARC
(5,30),-4.05221 # DEPENDENCYPART_ARC
(5,31),-3.9389 # DEPENDENCYPART_ARC
(5,32),-3.55939 # DEPENDENCYPART_ARC
(5,33),-2.57675 # DEPENDENCYPART_ARC
(6,1),-1.78611 # DEPENDENCYPART_ARC
(6,2),-0.586488 # DEPENDENCYPART_ARC
(6,3),-0.917403 # DEPENDENCYPART_ARC
(6,4),-0.491092 # DEPENDENCYPART_ARC
(6,5),2.2592 # DEPENDENCYPART_ARC
(6,7),1.09495 # DEPENDENCYPART_ARC
(6,8),1.08346 # DEPENDENCYPART_ARC
(6,9),0.0110675 # DEPENDENCYPART_ARC
(6,10),-0.109705 # DEPENDENCYPART_ARC
(6,11),0.246311 # DEPENDENCYPART_ARC
(6,12),-0.153987 # DEPENDENCYPART_ARC
(6,13),-1.02763 # DEPENDENCYPART_ARC
(6,14),-1.60558 # DEPENDENCYPART_ARC
(6,15),-1.89015 # DEPENDENCYPART_ARC
(6,16),-2.48827 # DEPENDENCYPART_ARC
(6,17),-1.7838 # DEPENDENCYPART_ARC
(6,18),-1.41713 # DEPENDENCYPART_ARC
(6,19),-4.43463 # DEPENDENCYPART_ARC
(6,20),-1.4758 # DEPENDENCYPART_ARC
(6,21),-1.78265 # DEPENDENCYPART_ARC
(6,22),-2.84609 # DEPENDENCYPART_ARC
(6,23),-3.26214 # DEPENDENCYPART_ARC
(6,24),-1.60033 # DEPENDENCYPART_ARC
(6,25),-3.22901 # DEPENDENCYPART_ARC
(6,26),-3.3559 # DEPENDENCYPART_ARC
(6,27),-3.83406 # DEPENDENCYPART_ARC
(6,28),-1.43871 # DEPENDENCYPART_ARC
(6,29),-1.59932 # DEPENDENCYPART_ARC
(6,30),-2.60799 # DEPENDENCYPART_ARC
(6,31),-2.21318 # DEPENDENCYPART_ARC
(6,32),-6.07867 # DEPENDENCYPART_ARC
(6,33),0.289753 # DEPENDENCYPART_ARC
(7,1),-2.34108 # DEPENDENCYPART_ARC
(7,2),-0.301028 # DEPENDENCYPART_ARC
(7,3),0.39445 # DEPENDENCYPART_ARC
(7,4),-0.0383921 # DEPENDENCYPART_ARC
(7,5),4.32813 # DEPENDENCYPART_ARC
(7,6),4.0455 # DEPENDENCYPART_ARC
(7,8),2.8402 # DEPENDENCYPART_ARC
(7,9),1.00207 # DEPENDENCYPART_ARC
(7,10),1.11829 # DEPENDENCYPART_ARC
(7,11),1.88515 # DEPENDENCYPART_ARC
(7,12),1.12405 # DEPENDENCYPART_ARC
(7,13),0.0588574 # DEPENDENCYPART_ARC
(7,14),-0.0672758 # DEPENDENCYPART_ARC
(7,15),-0.532231 # DEPENDENCYPART_ARC
(7,16),-0.167456 # DEPENDENCYPART_ARC
(7,17),-0.732979 # DEPENDENCYPART_ARC
(7,18),-0.803876 # DEPENDENCYPART_ARC
(7,19),-0.786761 # DEPENDENCYPART_ARC
(7,20),-0.0532495 # DEPENDENCYPART_ARC
(7,21),-1.12408 # DEPENDENCYPART_ARC
(7,22),-1.12233 # DEPENDENCYPART_ARC
(7,23),-1.42079 # DEPENDENCYPART_ARC
(7,24),-0.553215 # DEPENDENCYPART_ARC
(7,25),-0.958701 # DEPENDENCYPART_ARC
(7,26),-1.36592 # DEPENDENCYPART_ARC
(7,27),-1.68196 # DEPENDENCYPART_ARC
(7,28),-0.67974 # DEPENDENCYPART_ARC
(7,29),-2.14056 # DEPENDENCYPART_ARC
(7,30),-1.75876 # DEPENDENCYPART_ARC
(7,31),-1.76556 # DEPENDENCYPART_ARC
(7,32),-1.79726 # DEPENDENCYPART_ARC
(7,33),0.0295565 # DEPENDENCYPART_ARC
(8,1),-1.04725 # DEPENDENCYPART_ARC
(8,2),-1.10373 # DEPENDENCYPART_ARC
(8,3),0.387511 # DEPENDENCYPART_ARC
(8,4),-0.718506 # DEPENDENCYPART_ARC
(8,5),-0.148258 # DEPENDENCYPART_ARC
(8,6),-0.18123 # DEPENDENCYPART_ARC
(8,7),0.604001 # DEPENDENCYPART_ARC
(8,9),1.67368 # DEPENDENCYPART_ARC
(8,10),4.00099 # DEPENDENCYPART_ARC
(8,11),0.654801 # DEPENDENCYPART_ARC
(8,12),0.113696 # DEPENDENCYPART_ARC
(8,13),-1.58925 # DEPENDENCYPART_ARC
(8,14),-1.19057 # DEPENDENCYPART_ARC
(8,15),-4.19489 # DEPENDENCYPART_ARC
(8,16),-1.18485 # DEPENDENCYPART_ARC
(8,17),-0.40728 # DEPENDENCYPART_ARC
(8,18),-2.44665 # DEPENDENCYPART_ARC
(8,19),-3.94594 # DEPENDENCYPART_ARC
(8,20),-3.35767 # DEPENDENCYPART_ARC
(8,21),-0.969005 # DEPENDENCYPART_ARC
(8,22),-2.28588 # DEPENDENCYPART_ARC
(8,23),-1.92506 # DEPENDENCYPART_ARC
(8,24),-1.73505 # DEPENDENCYPART_ARC
(8,25),-4.82715 # DEPENDENCYPART_ARC
(8,26),-2.55295 # DEPENDENCYPART_ARC
(8,27),-2.22199 # DEPENDENCYPART_ARC
(8,28),-1.30233 # DEPENDENCYPART_ARC
(8,29),-2.59959 # DEPENDENCYPART_ARC
(8,30),-5.0091 # DEPENDENCYPART_ARC
(8,31),-3.91133 # DEPENDENCYPART_ARC
(8,32),-5.69854 # DEPENDENCYPART_ARC
(8,33),-0.806332 # DEPENDENCYPART_ARC
(9,1),-1.9426 # DEPENDENCYPART_ARC
(9,2),-1.40907 # DEPENDENCYPART_ARC
(9,3),-0.77439 # DEPENDENCYPART_ARC
(9,4),-1.7451 # DEPENDENCYPART_ARC
(9,5),0.101581 # DEPENDENCYPART_ARC
(9,6),-0.159415 # DEPENDENCYPART_ARC
(9,7),-0.348066 # DEPENDENCYPART_ARC
(9,8),0.405062 # DEPENDENCYPART_ARC
(9,10),1.24442 # DEPENDENCYPART_ARC
(9,11),0.283703 # DEPENDENCYPART_ARC
(9,12),-0.311591 # DEPENDENCYPART_ARC
(9,13),-1.17558 # DEPENDENCYPART_ARC
(9,14),-0.708398 # DEPENDENCYPART_ARC
(9,15),-0.925305 # DEPENDENCYPART_ARC
(9,16),-1.40674 # DEPENDENCYPART_ARC
(9,17),-1.22191 # DEPENDENCYPART_ARC
(9,18),-1.30039 # DEPENDENCYPART_ARC
(9,19),-1.42656 # DEPENDENCYPART_ARC
(9,20),-1.31347 # DEPENDENCYPART_ARC
(9,21),-1.47854 # DEPENDENCYPART_ARC
(9,22),-2.48987 # DEPENDENCYPART_ARC
(9,23),-2.15826 # DEPENDENCYPART_ARC
(9,24),-2.42196 # DEPENDENCYPART_ARC
(9,25),-2.50573 # DEPENDENCYPART_ARC
(9,26),-2.82842 # DEPENDENCYPART_ARC
(9,27),-2.36932 # DEPENDENCYPART_ARC
(9,28),-1.38728 # DEPENDENCYPART_ARC
(9,29),-1.28999 # DEPENDENCYPART_ARC
(9,30),-3.43424 # DEPENDENCYPART_ARC
(9,31),-2.34945 # DEPENDENCYPART_ARC
(9,32),-2.69874 # DEPENDENCYPART_ARC
(9,33),-0.22017 # DEPENDENCYPART_ARC
(10,1),-1.63501 # DEPENDENCYPART_ARC
(10,2),-0.683182 # DEPENDENCYPART_ARC
(10,3),-0.692859 # DEPENDENCYPART_ARC
(10,4),-0.433351 # DEPENDENCYPART_ARC
(10,5),1.36597 # DEPENDENCYPART_ARC
(10,6),1.74674 # DEPENDENCYPART_ARC
(10,7),0.370852 # DEPENDENCYPART_ARC
(10,8),0.663032 # DEPENDENCYPART_ARC
(10,9),4.15372 # DEPENDENCYPART_ARC
(10,11),1.15943 # DEPENDENCYPART_ARC
(10,12),0.425796 # DEPENDENCYPART_ARC
(10,13),-0.116819 # DEPENDENCYPART_ARC
(10,14),-0.587143 # DEPENDENCYPART_ARC
(10,15),-0.299255 # DEPENDENCYPART_ARC
(10,16),-0.51245 # DEPENDENCYPART_ARC
(10,17),-0.297863 # DEPENDENCYPART_ARC
(10,18),-0.841797 # DEPENDENCYPART_ARC
(10,19),-0.982345 # DEPENDENCYPART_ARC
(10,20),-0.602002 # DEPENDENCYPART_ARC
(10,21),-1.54022 # DEPENDENCYPART_ARC
(10,22),-1.37879 # DEPENDENCYPART_ARC
(10,23),-1.48097 # DEPENDENCYPART_ARC
(10,24),-0.842165 # DEPENDENCYPART_ARC
(10,25),-2.0639 # DEPENDENCYPART_ARC
(10,26),-1.56666 # DEPENDENCYPART_ARC
(10,27),-1.68653 # DEPENDENCYPART_ARC
(10,28),-0.577063 # DEPENDENCYPART_ARC
(10,29),-1.50902 # DEPENDENCYPART_ARC
(10,30),-2.06403 # DEPENDENCYPART_ARC
(10,31),-2.63482 # DEPENDENCYPART_ARC
(10,32),-1.43894 # DEPENDENCYPART_ARC
(10,33),0.122799 # DEPENDENCYPART_ARC
(11,1),-2.24243 # DEPENDENCYPART_ARC
(11,2),-0.384978 # DEPENDENCYPART_ARC
(11,3),-1.25536 # DEPENDENCYPART_ARC
(11,4),-1.61267 # DEPENDENCYPART_ARC
(11,5),-1.05291 # DEPENDENCYPART_ARC
(11,6),-1.81811 # DEPENDENCYPART_ARC
(11,7),-1.15972 # DEPENDENCYPART_ARC
(11,8),-0.901109 # DEPENDENCYPART_ARC
(11,9),-1.09751 # DEPENDENCYPART_ARC
(11,10),-0.978563 # DEPENDENCYPART_ARC
(11,12),-0.269532 # DEPENDENCYPART_ARC
(11,13),-1.55702 # DEPENDENCYPART_ARC
(11,14),-1.84963 # DEPENDENCYPART_ARC
(11,15),-2.15423 # DEPENDENCYPART_ARC
(11,16),-2.38611 # DEPENDENCYPART_ARC
(11,17),-1.8669 # DEPENDENCYPART_ARC
(11,18),-2.49956 # DEPENDENCYPART_ARC
(11,19),-2.92729 # DEPENDENCYPART_ARC
(11,20),-2.38606 # DEPENDENCYPART_ARC
(11,21),-2.70253 # DEPENDENCYPART_ARC
(11,22),-3.18213 # DEPENDENCYPART_ARC
(11,23),-3.32265 # DEPENDENCYPART_ARC
(11,24),-2.80405 # DEPENDENCYPART_ARC
(11,25),-3.45626 # DEPENDENCYPART_ARC
(11,26),-3.58003 # DEPENDENCYPART_ARC
(11,27),-3.68756 # DEPENDENCYPART_ARC
(11,28),-0.867386 # DEPENDENCYPART_ARC
(11,29),-3.13962 # DEPENDENCYPART_ARC
(11,30),-3.75201 # DEPENDENCYPART_ARC
(11,31),-3.90091 # DEPENDENCYPART_ARC
(11,32),-4.24304 # DEPENDENCYPART_ARC
(11,33),-3.14016 # DEPENDENCYPART_ARC
(12,1),2.14448 # DEPENDENCYPART_ARC
(12,2),0.697863 # DEPENDENCYPART_ARC
(12,3),1.08138 # DEPENDENCYPART_ARC
(12,4),0.0456594 # DEPENDENCYPART_ARC
(12,5),-0.28281 # DEPENDENCYPART_ARC
(12,6),1.51619 # DEPENDENCYPART_ARC
(12,7),0.933543 # DEPENDENCYPART_ARC
(12,8),-0.0247313 # DEPENDENCYPART_ARC
(12,9),1.22004 # DEPENDENCYPART_ARC
(12,10),1.49158 # DEPENDENCYPART_ARC
(12,11),2.06593 # DEPENDENCYPART_ARC
(12,13),1.45559 # DEPENDENCYPART_ARC
(12,14),1.16156 # DEPENDENCYPART_ARC
(12,15),1.32855 # DEPENDENCYPART_ARC
(12,16),2.14654 # DEPENDENCYPART_ARC
(12,17),1.37274 # DEPENDENCYPART_ARC
(12,18),-0.0404473 # DEPENDENCYPART_ARC
(12,19),0.664071 # DEPENDENCYPART_ARC
(12,20),1.26177 # DEPENDENCYPART_ARC
(12,21),0.35182 # DEPENDENCYPART_ARC
(12,22),-0.512501 # DEPENDENCYPART_ARC
(12,23),-0.203917 # DEPENDENCYPART_ARC
(12,24),-0.159129 # DEPENDENCYPART_ARC
(12,25),-0.95341 # DEPENDENCYPART_ARC
(12,26),-0.990796 # DEPENDENCYPART_ARC
(12,27),-0.636044 # DEPENDENCYPART_ARC
(12,28),0.649331 # DEPENDENCYPART_ARC
(12,29),-0.084564 # DEPENDENCYPART_ARC
(12,30),-1.20555 # DEPENDENCYPART_ARC
(12,31),-1.62942 # DEPENDENCYPART_ARC
(12,32),-0.638017 # DEPENDENCYPART_ARC
(12,33),7.22489 # DEPENDENCYPART_ARC
(13,1),-2.49873 # DEPENDENCYPART_ARC
(13,2),-2.20047 # DEPENDENCYPART_ARC
(13,3),-1.29633 # DEPENDENCYPART_ARC
(13,4),-2.11931 # DEPENDENCYPART_ARC
(13,5),-0.978706 # DEPENDENCYPART_ARC
(13,6),-1.88802 # DEPENDENCYPART_ARC
(13,7),-2.0194 # DEPENDENCYPART_ARC
(13,8),-0.819632 # DEPENDENCYPART_ARC
(13,9),-1.14554 # DEPENDENCYPART_ARC
(13,10),-1.07117 # DEPENDENCYPART_ARC
(13,11),-0.65608 # DEPENDENCYPART_ARC
(13,12),-0.241116 # DEPENDENCYPART_ARC
(13,14),2.268 # DEPENDENCYPART_ARC
(13,15),0.543228 # DEPENDENCYPART_ARC
(13,16),0.244584 # DEPENDENCYPART_ARC
(13,17),-0.192529 # DEPENDENCYPART_ARC
(13,18),-0.408424 # DEPENDENCYPART_ARC
(13,19),-0.498935 # DEPENDENCYPART_ARC
(13,20),0.00800733 # DEPENDENCYPART_ARC
(13,21),-0.863263 # DEPENDENCYPART_ARC
(13,22),-0.24719 # DEPENDENCYPART_ARC
(13,23),-0.0941047 # DEPENDENCYPART_ARC
(13,24),-1.05199 # DEPENDENCYPART_ARC
(13,25),-2.14399 # DEPENDENCYPART_ARC
(13,26),-0.71803 # DEPENDENCYPART_ARC
(13,27),-0.584178 # DEPENDENCYPART_ARC
(13,28),-0.108773 # DEPENDENCYPART_ARC
(13,29),-1.78125 # DEPENDENCYPART_ARC
(13,30),-2.33154 # DEPENDENCYPART_ARC
(13,31),-2.26055 # DEPENDENCYPART_ARC
(13,32),-1.85811 # DEPENDENCYPART_ARC
(13,33),-1.2495 # DEPENDENCYPART_ARC
(14,1),-2.61205 # DEPENDENCYPART_ARC
(14,2),-2.33606 # DEPENDENCYPART_ARC
(14,3),-1.80543 # DEPENDENCYPART_ARC
(14,4),-2.21397 # DEPENDENCYPART_ARC
(14,5),-0.88144 # DEPENDENCYPART_ARC
(14,6),-1.72153 # DEPENDENCYPART_ARC
(14,7),-2.0729 # DEPENDENCYPART_ARC
(14,8),-1.07083 # DEPENDENCYPART_ARC
(14,9),-0.64526 # DEPENDENCYPART_ARC
(14,10),-1.13072 # DEPENDENCYPART_ARC
(14,11),-0.394109 # DEPENDENCYPART_ARC
(14,12),-0.449977 # DEPENDENCYPART_ARC
(14,13),1.34316 # DEPENDENCYPART_ARC
(14,15),1.9097 # DEPENDENCYPART_ARC
(14,16),0.574325 # DEPENDENCYPART_ARC
(14,17),0.738737 # DEPENDENCYPART_ARC
(14,18),0.0230046 # DEPENDENCYPART_ARC
(14,19),-0.24145 # DEPENDENCYPART_ARC
(14,20),0.232287 # DEPENDENCYPART_ARC
(14,21),-0.478311 # DEPENDENCYPART_ARC
(14,22),-0.518039 # DEPENDENCYPART_ARC
(14,23),-0.460124 # DEPENDENCYPART_ARC
(14,24),-0.75985 # DEPENDENCYPART_ARC
(14,25),0.308416 # DEPENDENCYPART_ARC
(14,26),-0.942126 # DEPENDENCYPART_ARC
(14,27),-0.850662 # DEPENDENCYPART_ARC
(14,28),-0.201437 # DEPENDENCYPART_ARC
(14,29),-0.196883 # DEPENDENCYPART_ARC
(14,30),-1.70523 # DEPENDENCYPART_ARC
(14,31),-1.60913 # DEPENDENCYPART_ARC
(14,32),-2.00341 # DEPENDENCYPART_ARC
(14,33),-0.707329 # DEPENDENCYPART_ARC
(15,1),-8.8163 # DEPENDENCYPART_ARC
(15,2),-2.63491 # DEPENDENCYPART_ARC
(15,3),-2.92029 # DEPENDENCYPART_ARC
(15,4),-2.92267 # DEPENDENCYPART_ARC
(15,5),-2.80927 # DEPENDENCYPART_ARC
(15,6),-4.39761 # DEPENDENCYPART_ARC
(15,7),-4.49549 # DEPENDENCYPART_ARC
(15,8),-1.19673 # DEPENDENCYPART_ARC
(15,9),-2.03465 # DEPENDENCYPART_ARC
(15,10),-2.13735 # DEPENDENCYPART_ARC
(15,11),-1.07898 # DEPENDENCYPART_ARC
(15,12),-1.07655 # DEPENDENCYPART_ARC
(15,13),1.97186 # DEPENDENCYPART_ARC
(15,14),4.37921 # DEPENDENCYPART_ARC
(15,16),1.15204 # DEPENDENCYPART_ARC
(15,17),-0.103829 # DEPENDENCYPART_ARC
(15,18),-0.179636 # DEPENDENCYPART_ARC
(15,19),-0.281509 # DEPENDENCYPART_ARC
(15,20),-0.693419 # DEPENDENCYPART_ARC
(15,21),-0.981576 # DEPENDENCYPART_ARC
(15,22),-0.728109 # DEPENDENCYPART_ARC
(15,23),-1.10754 # DEPENDENCYPART_ARC
(15,24),-0.893184 # DEPENDENCYPART_ARC
(15,25),-0.909483 # DEPENDENCYPART_ARC
