# _root_ The plan had been to make one of Shearson 's easy-to-film , black-and-white `` Where We Stand '' commercials , which have been running occasionally in response to news events since 1985 .
#goldHeads=2,3,0,3,4,5,6,7,19,9,19,19,19,19,17,17,19,19,8,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,19,9,19,11,19,19,17,17,6,19,17,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
(1,25),-4.41467 # DEPENDENCYPART_ARC
(1,26),-5.33778 # DEPENDENCYPART_ARC
(1,27),-4.88889 # DEPENDENCYPART_ARC
(1,28),-5.00816 # DEPENDENCYPART_ARC
(1,29),-4.90888 # DEPENDENCYPART_ARC
(1,30),-4.67558 # DEPENDENCYPART_ARC
(1,31),-5.92044 # DEPENDENCYPART_ARC
(1,32),-5.3481 # DEPENDENCYPART_ARC
(1,33),-3.2589 # DEPENDENCYPART_ARC
(2,1),4.76681 # DEPENDENCYPART_ARC
(2,3),1.67157 # DEPENDENCYPART_ARC
(2,4),1.081 # DEPENDENCYPART_ARC
(2,5),2.67191 # DEPENDENCYPART_ARC
(2,6),0.443911 # DEPENDENCYPART_ARC
(2,7),-0.275602 # DEPENDENCYPART_ARC
(2,8),0.168252 # DEPENDENCYPART_ARC
(2,9),-0.756598 # DEPENDENCYPART_ARC
(2,10),0.32924 # DEPENDENCYPART_ARC
(2,11),-0.424299 # DEPENDENCYPART_ARC
(2,12),0.0685065 # DEPENDENCYPART_ARC
(2,13),-0.933566 # DEPENDENCYPART_ARC
(2,14),-0.320772 # DEPENDENCYPART_ARC
(2,15),-1.72063 # DEPENDENCYPART_ARC
(2,16),-1.00638 # DEPENDENCYPART_ARC
(2,17),-0.972907 # DEPENDENCYPART_ARC
(2,18),-0.0376371 # DEPENDENCYPART_ARC
(2,19),-1.65218 # DEPENDENCYPART_ARC
(2,20),0.155179 # DEPENDENCYPART_ARC
(2,21),-1.88638 # DEPENDENCYPART_ARC
(2,22),-0.785486 # DEPENDENCYPART_ARC
(2,23),-2.03416 # DEPENDENCYPART_ARC
(2,24),-1.72075 # DEPENDENCYPART_ARC
(2,25),-2.74239 # DEPENDENCYPART_ARC
(2,26),-4.10615 # DEPENDENCYPART_ARC
(2,27),-3.2151 # DEPENDENCYPART_ARC
(2,28),-2.97346 # DEPENDENCYPART_ARC
(2,29),-3.37245 # DEPENDENCYPART_ARC
(2,30),-3.33716 # DEPENDENCYPART_ARC
(2,31),-3.58863 # DEPENDENCYPART_ARC
(2,32),-2.85122 # DEPENDENCYPART_ARC
(2,33),1.10383 # DEPENDENCYPART_ARC
(3,1),0.767439 # DEPENDENCYPART_ARC
(3,2),3.08356 # DEPENDENCYPART_ARC
(3,4),4.43603 # DEPENDENCYPART_ARC
(3,5),1.40452 # DEPENDENCYPART_ARC
(3,6),0.828585 # DEPENDENCYPART_ARC
(3,7),0.187779 # DEPENDENCYPART_ARC
(3,8),-0.698126 # DEPENDENCYPART_ARC
(3,9),-1.18601 # DEPENDENCYPART_ARC
(3,10),-0.382906 # DEPENDENCYPART_ARC
(3,11),-1.22995 # DEPENDENCYPART_ARC
(3,12),0.828272 # DEPENDENCYPART_ARC
(3,13),-1.50263 # DEPENDENCYPART_ARC
(3,14),0.100477 # DEPENDENCYPART_ARC
(3,15),-1.04897 # DEPENDENCYPART_ARC
(3,16),-0.633554 # DEPENDENCYPART_ARC
(3,17),-0.366248 # DEPENDENCYPART_ARC
(3,18),0.902348 # DEPENDENCYPART_ARC
(3,19),-0.860946 # DEPENDENCYPART_ARC
(3,20),0.397448 # DEPENDENCYPART_ARC
(3,21),-2.1923 # DEPENDENCYPART_ARC
(3,22),-1.06106 # DEPENDENCYPART_ARC
(3,23),-0.682366 # DEPENDENCYPART_ARC
(3,24),-1.10875 # DEPENDENCYPART_ARC
(3,25),-3.0984 # DEPENDENCYPART_ARC
(3,26),-4.92599 # DEPENDENCYPART_ARC
(3,27),-4.65247 # DEPENDENCYPART_ARC
(3,28),-2.99689 # DEPENDENCYPART_ARC
(3,29),-5.18734 # DEPENDENCYPART_ARC
(3,30),-3.44964 # DEPENDENCYPART_ARC
(3,31),-3.27742 # DEPENDENCYPART_ARC
(3,32),-2.50406 # DEPENDENCYPART_ARC
(3,33),5.67449 # DEPENDENCYPART_ARC
(4,1),0.718276 # DEPENDENCYPART_ARC
(4,2),0.520272 # DEPENDENCYPART_ARC
(4,3),0.79977 # DEPENDENCYPART_ARC
(4,5),3.21756 # DEPENDENCYPART_ARC
(4,6),1.62279 # DEPENDENCYPART_ARC
(4,7),1.19458 # DEPENDENCYPART_ARC
(4,8),1.15254 # DEPENDENCYPART_ARC
(4,9),-0.107328 # DEPENDENCYPART_ARC
(4,10),-0.227793 # DEPENDENCYPART_ARC
(4,11),0.535849 # DEPENDENCYPART_ARC
(4,12),1.49711 # DEPENDENCYPART_ARC
(4,13),0.192333 # DEPENDENCYPART_ARC
(4,14),0.320381 # DEPENDENCYPART_ARC
(4,15),-0.700668 # DEPENDENCYPART_ARC
(4,16),-0.282992 # DEPENDENCYPART_ARC
(4,17),-0.332054 # DEPENDENCYPART_ARC
(4,18),1.21155 # DEPENDENCYPART_ARC
(4,19),-0.935268 # DEPENDENCYPART_ARC
(4,20),0.317194 # DEPENDENCYPART_ARC
(4,21),-1.49039 # DEPENDENCYPART_ARC
(4,22),-1.15954 # DEPENDENCYPART_ARC
(4,23),-0.423826 # DEPENDENCYPART_ARC
(4,24),-0.356292 # DEPENDENCYPART_ARC
(4,25),-2.09885 # DEPENDENCYPART_ARC
(4,26),-2.42364 # DEPENDENCYPART_ARC
(4,27),-3.52381 # DEPENDENCYPART_ARC
(4,28),-3.05422 # DEPENDENCYPART_ARC
(4,29),-3.90159 # DEPENDENCYPART_ARC
(4,30),-3.95387 # DEPENDENCYPART_ARC
(4,31),-1.42501 # DEPENDENCYPART_ARC
(4,32),-1.93815 # DEPENDENCYPART_ARC
(4,33),0.503342 # DEPENDENCYPART_ARC
(5,1),0.0622725 # DEPENDENCYPART_ARC
(5,2),0.137732 # DEPENDENCYPART_ARC
(5,3),0.0409911 # DEPENDENCYPART_ARC
(5,4),0.336787 # DEPENDENCYPART_ARC
(5,6),3.90025 # DEPENDENCYPART_ARC
(5,7),1.09813 # DEPENDENCYPART_ARC
(5,8),0.75415 # DEPENDENCYPART_ARC
(5,9),-0.675732 # DEPENDENCYPART_ARC
(5,10),0.165868 # DEPENDENCYPART_ARC
(5,11),-0.190954 # DEPENDENCYPART_ARC
(5,12),1.03829 # DEPENDENCYPART_ARC
(5,13),-0.610489 # DEPENDENCYPART_ARC
(5,14),-0.318337 # DEPENDENCYPART_ARC
(5,15),-1.1651 # DEPENDENCYPART_ARC
(5,16),-0.657222 # DEPENDENCYPART_ARC
(5,17),-0.421843 # DEPENDENCYPART_ARC
(5,18),0.439589 # DEPENDENCYPART_ARC
(5,19),-1.27894 # DEPENDENCYPART_ARC
(5,20),0.787891 # DEPENDENCYPART_ARC
(5,21),-1.16208 # DEPENDENCYPART_ARC
(5,22),-0.984673 # DEPENDENCYPART_ARC
(5,23),-1.01327 # DEPENDENCYPART_ARC
(5,24),-1.59249 # DEPENDENCYPART_ARC
(5,25),-1.34732 # DEPENDENCYPART_ARC
(5,26),-1.86307 # DEPENDENCYPART_ARC
(5,27),-3.93691 # DEPENDENCYPART_ARC
(5,28),-0.882238 # DEPENDENCYPART_ARC
(5,29),-4.41877 # DEPENDENCYPART_ARC
(5,30),-4.68039 # DEPENDENCYPART_ARC
(5,31),-1.85072 # DEPENDENCYPART_ARC
(5,32),-2.67336 # DEPENDENCYPART_ARC
(5,33),-0.259862 # DEPENDENCYPART_ARC
(6,1),0.299488 # DEPENDENCYPART_ARC
(6,2),0.242717 # DEPENDENCYPART_ARC
(6,3),0.405223 # DEPENDENCYPART_ARC
(6,4),0.711565 # DEPENDENCYPART_ARC
(6,5),1.53545 # DEPENDENCYPART_ARC
(6,7),2.70414 # DEPENDENCYPART_ARC
(6,8),1.62221 # DEPENDENCYPART_ARC
(6,9),1.14699 # DEPENDENCYPART_ARC
(6,10),0.458251 # DEPENDENCYPART_ARC
(6,11),1.72159 # DEPENDENCYPART_ARC
(6,12),1.27027 # DEPENDENCYPART_ARC
(6,13),0.957689 # DEPENDENCYPART_ARC
(6,14),1.28783 # DEPENDENCYPART_ARC
(6,15),-0.401617 # DEPENDENCYPART_ARC
(6,16),0.123375 # DEPENDENCYPART_ARC
(6,17),0.910679 # DEPENDENCYPART_ARC
(6,18),1.05742 # DEPENDENCYPART_ARC
(6,19),0.152694 # DEPENDENCYPART_ARC
(6,20),0.4989 # DEPENDENCYPART_ARC
(6,21),-1.42655 # DEPENDENCYPART_ARC
(6,22),0.484874 # DEPENDENCYPART_ARC
(6,23),0.0748641 # DEPENDENCYPART_ARC
(6,24),-0.925791 # DEPENDENCYPART_ARC
(6,25),-1.31231 # DEPENDENCYPART_ARC
(6,26),-1.55092 # DEPENDENCYPART_ARC
(6,27),-2.82244 # DEPENDENCYPART_ARC
(6,28),-1.75655 # DEPENDENCYPART_ARC
(6,29),-3.80275 # DEPENDENCYPART_ARC
(6,30),-3.4649 # DEPENDENCYPART_ARC
(6,31),-0.70021 # DEPENDENCYPART_ARC
(6,32),-2.06139 # DEPENDENCYPART_ARC
(6,33),1.03883 # DEPENDENCYPART_ARC
(7,1),0.825183 # DEPENDENCYPART_ARC
(7,2),-1.00706 # DEPENDENCYPART_ARC
(7,3),-0.712804 # DEPENDENCYPART_ARC
(7,4),-0.0883975 # DEPENDENCYPART_ARC
(7,5),0.231923 # DEPENDENCYPART_ARC
(7,6),1.94359 # DEPENDENCYPART_ARC
(7,8),3.40076 # DEPENDENCYPART_ARC
(7,9),1.29637 # DEPENDENCYPART_ARC
(7,10),1.51986 # DEPENDENCYPART_ARC
(7,11),0.409292 # DEPENDENCYPART_ARC
(7,12),1.20752 # DEPENDENCYPART_ARC
(7,13),0.192248 # DEPENDENCYPART_ARC
(7,14),0.287393 # DEPENDENCYPART_ARC
(7,15),-0.325675 # DEPENDENCYPART_ARC
(7,16),-0.136908 # DEPENDENCYPART_ARC
(7,17),0.621193 # DEPENDENCYPART_ARC
(7,18),0.356053 # DEPENDENCYPART_ARC
(7,19),-0.128003 # DEPENDENCYPART_ARC
(7,20),0.914775 # DEPENDENCYPART_ARC
(7,21),-1.12165 # DEPENDENCYPART_ARC
(7,22),0.422531 # DEPENDENCYPART_ARC
(7,23),-0.198456 # DEPENDENCYPART_ARC
(7,24),0.0660185 # DEPENDENCYPART_ARC
(7,25),-0.744241 # DEPENDENCYPART_ARC
(7,26),-1.23696 # DEPENDENCYPART_ARC
(7,27),-1.0177 # DEPENDENCYPART_ARC
(7,28),-1.01408 # DEPENDENCYPART_ARC
(7,29),-0.841545 # DEPENDENCYPART_ARC
(7,30),-0.985476 # DEPENDENCYPART_ARC
(7,31),-1.4769 # DEPENDENCYPART_ARC
(7,32),-1.9769 # DEPENDENCYPART_ARC
(7,33),0.267195 # DEPENDENCYPART_ARC
(8,1),-1.56211 # DEPENDENCYPART_ARC
(8,2),-1.07842 # DEPENDENCYPART_ARC
(8,3),-1.42052 # DEPENDENCYPART_ARC
(8,4),-1.2223 # DEPENDENCYPART_ARC
(8,5),-0.857348 # DEPENDENCYPART_ARC
(8,6),-0.622956 # DEPENDENCYPART_ARC
(8,7),-0.350585 # DEPENDENCYPART_ARC
(8,9),2.045 # DEPENDENCYPART_ARC
(8,10),1.04381 # DEPENDENCYPART_ARC
(8,11),0.675539 # DEPENDENCYPART_ARC
(8,12),0.289298 # DEPENDENCYPART_ARC
(8,13),-0.16293 # DEPENDENCYPART_ARC
(8,14),-0.285378 # DEPENDENCYPART_ARC
(8,15),-0.799032 # DEPENDENCYPART_ARC
(8,16),-0.530597 # DEPENDENCYPART_ARC
(8,17),-1.25705 # DEPENDENCYPART_ARC
(8,18),-0.0261815 # DEPENDENCYPART_ARC
(8,19),0.270214 # DEPENDENCYPART_ARC
(8,20),-0.266277 # DEPENDENCYPART_ARC
(8,21),-1.18276 # DEPENDENCYPART_ARC
(8,22),-2.97133 # DEPENDENCYPART_ARC
(8,23),-1.23622 # DEPENDENCYPART_ARC
(8,24),-1.21513 # DEPENDENCYPART_ARC
(8,25),-1.09092 # DEPENDENCYPART_ARC
(8,26),-2.16916 # DEPENDENCYPART_ARC
(8,27),-4.69619 # DEPENDENCYPART_ARC
(8,28),-4.46425 # DEPENDENCYPART_ARC
(8,29),-6.52129 # DEPENDENCYPART_ARC
(8,30),-6.86001 # DEPENDENCYPART_ARC
(8,31),-3.16741 # DEPENDENCYPART_ARC
(8,32),-3.24501 # DEPENDENCYPART_ARC
(8,33),-1.19233 # DEPENDENCYPART_ARC
(9,1),-0.887929 # DEPENDENCYPART_ARC
(9,2),-3.0918 # DEPENDENCYPART_ARC
(9,3),-2.33933 # DEPENDENCYPART_ARC
(9,4),-1.53512 # DEPENDENCYPART_ARC
(9,5),-1.70337 # DEPENDENCYPART_ARC
(9,6),-0.641254 # DEPENDENCYPART_ARC
(9,7),0.260703 # DEPENDENCYPART_ARC
(9,8),0.523096 # DEPENDENCYPART_ARC
(9,10),3.96537 # DEPENDENCYPART_ARC
(9,11),1.22069 # DEPENDENCYPART_ARC
(9,12),0.442408 # DEPENDENCYPART_ARC
(9,13),0.0186808 # DEPENDENCYPART_ARC
(9,14),-0.0912349 # DEPENDENCYPART_ARC
(9,15),-1.34467 # DEPENDENCYPART_ARC
(9,16),-0.662898 # DEPENDENCYPART_ARC
(9,17),-0.209012 # DEPENDENCYPART_ARC
(9,18),0.183639 # DEPENDENCYPART_ARC
(9,19),-1.33461 # DEPENDENCYPART_ARC
(9,20),-0.0878526 # DEPENDENCYPART_ARC
(9,21),-2.77564 # DEPENDENCYPART_ARC
(9,22),-0.166052 # DEPENDENCYPART_ARC
(9,23),-1.19266 # DEPENDENCYPART_ARC
(9,24),-1.62945 # DEPENDENCYPART_ARC
(9,25),-2.22571 # DEPENDENCYPART_ARC
(9,26),-2.94077 # DEPENDENCYPART_ARC
(9,27),-3.61062 # DEPENDENCYPART_ARC
(9,28),-1.85586 # DEPENDENCYPART_ARC
(9,29),-4.03488 # DEPENDENCYPART_ARC
(9,30),-3.1297 # DEPENDENCYPART_ARC
(9,31),-3.07512 # DEPENDENCYPART_ARC
(9,32),-2.61747 # DEPENDENCYPART_ARC
(9,33),-1.07294 # DEPENDENCYPART_ARC
(10,1),-0.290481 # DEPENDENCYPART_ARC
(10,2),-1.75395 # DEPENDENCYPART_ARC
(10,3),-1.04259 # DEPENDENCYPART_ARC
(10,4),-0.396418 # DEPENDENCYPART_ARC
(10,5),-0.858892 # DEPENDENCYPART_ARC
(10,6),-0.386542 # DEPENDENCYPART_ARC
(10,7),0.180041 # DEPENDENCYPART_ARC
(10,8),0.082412 # DEPENDENCYPART_ARC
(10,9),1.36106 # DEPENDENCYPART_ARC
(10,11),-0.053118 # DEPENDENCYPART_ARC
(10,12),-0.483888 # DEPENDENCYPART_ARC
(10,13),-1.21817 # DEPENDENCYPART_ARC
(10,14),-0.952142 # DEPENDENCYPART_ARC
(10,15),-2.04427 # DEPENDENCYPART_ARC
(10,16),-1.6926 # DEPENDENCYPART_ARC
(10,17),-1.09539 # DEPENDENCYPART_ARC
(10,18),-0.906007 # DEPENDENCYPART_ARC
(10,19),-2.67145 # DEPENDENCYPART_ARC
(10,20),-1.15787 # DEPENDENCYPART_ARC
(10,21),-2.78969 # DEPENDENCYPART_ARC
(10,22),-1.40109 # DEPENDENCYPART_ARC
(10,23),-2.1069 # DEPENDENCYPART_ARC
(10,24),-2.423 # DEPENDENCYPART_ARC
(10,25),-2.46603 # DEPENDENCYPART_ARC
(10,26),-2.83327 # DEPENDENCYPART_ARC
(10,27),-3.53207 # DEPENDENCYPART_ARC
(10,28),-2.30111 # DEPENDENCYPART_ARC
(10,29),-3.79214 # DEPENDENCYPART_ARC
(10,30),-4.12733 # DEPENDENCYPART_ARC
(10,31),-2.85218 # DEPENDENCYPART_ARC
(10,32),-3.72619 # DEPENDENCYPART_ARC
(10,33),-2.17389 # DEPENDENCYPART_ARC
(11,1),-0.197591 # DEPENDENCYPART_ARC
(11,2),-1.00779 # DEPENDENCYPART_ARC
(11,3),-1.57603 # DEPENDENCYPART_ARC
(11,4),-1.13781 # DEPENDENCYPART_ARC
(11,5),-0.500549 # DEPENDENCYPART_ARC
(11,6),-0.543562 # DEPENDENCYPART_ARC
(11,7),0.0636063 # DEPENDENCYPART_ARC
(11,8),0.393881 # DEPENDENCYPART_ARC
(11,9),0.872431 # DEPENDENCYPART_ARC
(11,10),1.05048 # DEPENDENCYPART_ARC
(11,12),1.95278 # DEPENDENCYPART_ARC
(11,13),1.70398 # DEPENDENCYPART_ARC
(11,14),0.532976 # DEPENDENCYPART_ARC
(11,15),-0.277031 # DEPENDENCYPART_ARC
(11,16),-0.071317 # DEPENDENCYPART_ARC
(11,17),0.464443 # DEPENDENCYPART_ARC
(11,18),0.786154 # DEPENDENCYPART_ARC
(11,19),-0.0661299 # DEPENDENCYPART_ARC
(11,20),0.247671 # DEPENDENCYPART_ARC
(11,21),-1.20039 # DEPENDENCYPART_ARC
(11,22),0.450732 # DEPENDENCYPART_ARC
(11,23),-0.309615 # DEPENDENCYPART_ARC
(11,24),-0.760456 # DEPENDENCYPART_ARC
(11,25),-0.830519 # DEPENDENCYPART_ARC
(11,26),-1.15191 # DEPENDENCYPART_ARC
(11,27),-1.09588 # DEPENDENCYPART_ARC
(11,28),-0.505567 # DEPENDENCYPART_ARC
(11,29),-1.40979 # DEPENDENCYPART_ARC
(11,30),-1.46201 # DEPENDENCYPART_ARC
(11,31),-1.09946 # DEPENDENCYPART_ARC
(11,32),-2.80006 # DEPENDENCYPART_ARC
(11,33),0.296072 # DEPENDENCYPART_ARC
(12,1),-2.16516 # DEPENDENCYPART_ARC
(12,2),-2.21498 # DEPENDENCYPART_ARC
(12,3),-1.89948 # DEPENDENCYPART_ARC
(12,4),-1.62064 # DEPENDENCYPART_ARC
(12,5),-1.59924 # DEPENDENCYPART_ARC
(12,6),-1.81095 # DEPENDENCYPART_ARC
(12,7),-1.84234 # DEPENDENCYPART_ARC
(12,8),-1.55604 # DEPENDENCYPART_ARC
(12,9),-1.56911 # DEPENDENCYPART_ARC
(12,10),-1.33157 # DEPENDENCYPART_ARC
(12,11),-0.805679 # DEPENDENCYPART_ARC
(12,13),-0.293534 # DEPENDENCYPART_ARC
(12,14),-0.502626 # DEPENDENCYPART_ARC
(12,15),-1.59687 # DEPENDENCYPART_ARC
(12,16),-1.56514 # DEPENDENCYPART_ARC
(12,17),-1.4256 # DEPENDENCYPART_ARC
(12,18),-1.07727 # DEPENDENCYPART_ARC
(12,19),-2.16113 # DEPENDENCYPART_ARC
(12,20),0.188773 # DEPENDENCYPART_ARC
(12,21),-2.72608 # DEPENDENCYPART_ARC
(12,22),-1.99297 # DEPENDENCYPART_ARC
(12,23),-2.16955 # DEPENDENCYPART_ARC
(12,24),-2.10001 # DEPENDENCYPART_ARC
(12,25),-2.49108 # DEPENDENCYPART_ARC
(12,26),-2.31389 # DEPENDENCYPART_ARC
(12,27),-2.99293 # DEPENDENCYPART_ARC
(12,28),-2.68084 # DEPENDENCYPART_ARC
(12,29),-3.21119 # DEPENDENCYPART_ARC
(12,30),-3.34248 # DEPENDENCYPART_ARC
(12,31),-2.54997 # DEPENDENCYPART_ARC
(12,32),-3.62594 # DEPENDENCYPART_ARC
(12,33),-2.34265 # DEPENDENCYPART_ARC
(13,1),-0.877895 # DEPENDENCYPART_ARC
(13,2),-1.61113 # DEPENDENCYPART_ARC
(13,3),-1.7049 # DEPENDENCYPART_ARC
(13,4),-1.33491 # DEPENDENCYPART_ARC
(13,5),-0.697531 # DEPENDENCYPART_ARC
(13,6),-0.857226 # DEPENDENCYPART_ARC
(13,7),-0.652216 # DEPENDENCYPART_ARC
(13,8),-0.201856 # DEPENDENCYPART_ARC
(13,9),0.686157 # DEPENDENCYPART_ARC
(13,10),0.0676483 # DEPENDENCYPART_ARC
(13,11),1.39248 # DEPENDENCYPART_ARC
(13,12),1.52562 # DEPENDENCYPART_ARC
(13,14),1.25577 # DEPENDENCYPART_ARC
(13,15),0.335653 # DEPENDENCYPART_ARC
(13,16),0.3444 # DEPENDENCYPART_ARC
(13,17),0.748537 # DEPENDENCYPART_ARC
(13,18),0.929301 # DEPENDENCYPART_ARC
(13,19),0.301279 # DEPENDENCYPART_ARC
(13,20),0.400134 # DEPENDENCYPART_ARC
(13,21),-1.00907 # DEPENDENCYPART_ARC
(13,22),0.664145 # DEPENDENCYPART_ARC
(13,23),-0.0641874 # DEPENDENCYPART_ARC
(13,24),-0.371242 # DEPENDENCYPART_ARC
(13,25),-0.704375 # DEPENDENCYPART_ARC
(13,26),-0.794936 # DEPENDENCYPART_ARC
(13,27),-1.12752 # DEPENDENCYPART_ARC
(13,28),-0.243312 # DEPENDENCYPART_ARC
(13,29),-1.35375 # DEPENDENCYPART_ARC
(13,30),-0.981307 # DEPENDENCYPART_ARC
(13,31),-0.726626 # DEPENDENCYPART_ARC
(13,32),-2.53011 # DEPENDENCYPART_ARC
(13,33),0.321421 # DEPENDENCYPART_ARC
(14,1),-2.0687 # DEPENDENCYPART_ARC
(14,2),-2.2698 # DEPENDENCYPART_ARC
(14,3),-1.94698 # DEPENDENCYPART_ARC
(14,4),-1.79243 # DEPENDENCYPART_ARC
(14,5),-1.7001 # DEPENDENCYPART_ARC
(14,6),-1.66501 # DEPENDENCYPART_ARC
(14,7),-1.40987 # DEPENDENCYPART_ARC
(14,8),-1.21034 # DEPENDENCYPART_ARC
(14,9),-1.32328 # DEPENDENCYPART_ARC
(14,10),-1.11714 # DEPENDENCYPART_ARC
(14,11),-0.555811 # DEPENDENCYPART_ARC
(14,12),-0.445367 # DEPENDENCYPART_ARC
(14,13),0.193501 # DEPENDENCYPART_ARC
(14,15),-0.33042 # DEPENDENCYPART_ARC
(14,16),-0.463879 # DEPENDENCYPART_ARC
(14,17),-0.760578 # DEPENDENCYPART_ARC
(14,18),0.167833 # DEPENDENCYPART_ARC
(14,19),-1.27545 # DEPENDENCYPART_ARC
(14,20),-0.418621 # DEPENDENCYPART_ARC
(14,21),-1.87822 # DEPENDENCYPART_ARC
(14,22),-1.5113 # DEPENDENCYPART_ARC
(14,23),-1.2686 # DEPENDENCYPART_ARC
(14,24),-1.41189 # DEPENDENCYPART_ARC
(14,25),-1.44056 # DEPENDENCYPART_ARC
(14,26),-1.72277 # DEPENDENCYPART_ARC
(14,27),-1.75216 # DEPENDENCYPART_ARC
(14,28),-1.9694 # DEPENDENCYPART_ARC
(14,29),-1.84483 # DEPENDENCYPART_ARC
(14,30),-2.63701 # DEPENDENCYPART_ARC
(14,31),-2.19103 # DEPENDENCYPART_ARC
(14,32),-2.76648 # DEPENDENCYPART_ARC
(14,33),-1.58483 # DEPENDENCYPART_ARC
(15,1),-1.87566 # DEPENDENCYPART_ARC
(15,2),-2.35757 # DEPENDENCYPART_ARC
(15,3),-1.88313 # DEPENDENCYPART_ARC
(15,4),-1.68949 # DEPENDENCYPART_ARC
(15,5),-1.68777 # DEPENDENCYPART_ARC
(15,6),-1.61456 # DEPENDENCYPART_ARC
(15,7),-1.45166 # DEPENDENCYPART_ARC
(15,8),-0.420811 # DEPENDENCYPART_ARC
(15,9),-1.07055 # DEPENDENCYPART_ARC
(15,10),-1.13829 # DEPENDENCYPART_ARC
(15,11),-0.712801 # DEPENDENCYPART_ARC
(15,12),-0.024069 # DEPENDENCYPART_ARC
(15,13),-0.348737 # DEPENDENCYPART_ARC
(15,14),0.467688 # DEPENDENCYPART_ARC
(15,16),0.625041 # DEPENDENCYPART_ARC
(15,17),0.5935 # DEPENDENCYPART_ARC
(15,18),0.650712 # DEPENDENCYPART_ARC
(15,19),-0.359645 # DEPENDENCYPART_ARC
(15,20),-0.193782 # DEPENDENCYPART_ARC
(15,21),-1.24889 # DEPENDENCYPART_ARC
(15,22),-0.760514 # DEPENDENCYPART_ARC
(15,23),-0.792119 # DEPENDENCYPART_ARC
(15,24),-0.77829 # DEPENDENCYPART_ARC
(15,25),-0.807922 # DEPENDENCYPART_ARC
(15,26),-0.798377 # DEPENDENCYPART_ARC
(15,27),-0.943549 # DEPENDENCYPART_ARC
