# _root_ The index slid 647.33 points , or 1.8 % , on Monday .
#goldHeads=2,3,0,5,3,5,5,9,7,5,3,11,3,
#predictedHeads=2,3,0,5,3,5,5,9,7,5,3,11,3,
(5,3),0.679347 # DEPENDENCYPART_ARC
(5,4),4.44399 # DEPENDENCYPART_ARC
(5,6),2.88304 # DEPENDENCYPART_ARC
(5,7),2.73484 # DEPENDENCYPART_ARC
(5,8),0.245605 # DEPENDENCYPART_ARC
(5,9),0.495109 # DEPENDENCYPART_ARC
(5,10),2.26012 # DEPENDENCYPART_ARC
(5,11),-0.148086 # DEPENDENCYPART_ARC
(5,12),-0.831209 # DEPENDENCYPART_ARC
(5,13),0.813007 # DEPENDENCYPART_ARC
(6,1),-0.790658 # DEPENDENCYPART_ARC
(6,2),-1.00876 # DEPENDENCYPART_ARC
(6,3),-0.639062 # DEPENDENCYPART_ARC
(6,4),-0.766979 # DEPENDENCYPART_ARC
(6,5),-0.640278 # DEPENDENCYPART_ARC
(6,7),-0.00438715 # DEPENDENCYPART_ARC
(6,8),-0.544727 # DEPENDENCYPART_ARC
(6,9),-1.0195 # DEPENDENCYPART_ARC
(6,10),0.416428 # DEPENDENCYPART_ARC
(6,11),-1.04281 # DEPENDENCYPART_ARC
(6,12),-1.55707 # DEPENDENCYPART_ARC
(6,13),-0.970014 # DEPENDENCYPART_ARC
(7,1),-1.04534 # DEPENDENCYPART_ARC
(7,2),-1.19772 # DEPENDENCYPART_ARC
(7,3),-0.56576 # DEPENDENCYPART_ARC
(7,4),-0.766946 # DEPENDENCYPART_ARC
(7,5),-0.755034 # DEPENDENCYPART_ARC
(7,6),-0.440777 # DEPENDENCYPART_ARC
(7,8),1.47106 # DEPENDENCYPART_ARC
(7,9),3.23663 # DEPENDENCYPART_ARC
(7,10),0.598261 # DEPENDENCYPART_ARC
(7,11),0.445908 # DEPENDENCYPART_ARC
(7,12),-0.301892 # DEPENDENCYPART_ARC
(7,13),0.530247 # DEPENDENCYPART_ARC
(8,1),-0.455879 # DEPENDENCYPART_ARC
(8,2),-1.4575 # DEPENDENCYPART_ARC
(8,3),-1.07378 # DEPENDENCYPART_ARC
(8,4),0.556299 # DEPENDENCYPART_ARC
(8,5),-0.25857 # DEPENDENCYPART_ARC
(8,6),0.723965 # DEPENDENCYPART_ARC
(8,7),0.878538 # DEPENDENCYPART_ARC
(8,9),1.71911 # DEPENDENCYPART_ARC
(8,10),-0.0869202 # DEPENDENCYPART_ARC
(8,11),-0.323876 # DEPENDENCYPART_ARC
(8,12),-0.565229 # DEPENDENCYPART_ARC
(8,13),-0.903673 # DEPENDENCYPART_ARC
(9,1),0.362342 # DEPENDENCYPART_ARC
(9,2),-1.51072 # DEPENDENCYPART_ARC
(9,3),-0.550014 # DEPENDENCYPART_ARC
(9,4),0.949831 # DEPENDENCYPART_ARC
(9,5),-0.23191 # DEPENDENCYPART_ARC
(9,6),0.730784 # DEPENDENCYPART_ARC
(9,7),1.49005 # DEPENDENCYPART_ARC
(9,8),4.34282 # DEPENDENCYPART_ARC
(9,10),1.65889 # DEPENDENCYPART_ARC
(9,11),0.526849 # DEPENDENCYPART_ARC
(9,12),0.14601 # DEPENDENCYPART_ARC
(9,13),-0.255048 # DEPENDENCYPART_ARC
(10,1),-1.9559 # DEPENDENCYPART_ARC
(10,2),-2.24816 # DEPENDENCYPART_ARC
(10,3),-1.9257 # DEPENDENCYPART_ARC
(10,4),-2.06607 # DEPENDENCYPART_ARC
(10,5),-2.3234 # DEPENDENCYPART_ARC
(10,6),-0.792386 # DEPENDENCYPART_ARC
(10,7),-1.8011 # DEPENDENCYPART_ARC
(10,8),-1.56007 # DEPENDENCYPART_ARC
(10,9),-1.19502 # DEPENDENCYPART_ARC
(10,11),-0.463189 # DEPENDENCYPART_ARC
(10,12),-0.566927 # DEPENDENCYPART_ARC
(10,13),-0.773779 # DEPENDENCYPART_ARC
(11,1),-1.1668 # DEPENDENCYPART_ARC
(11,2),-1.75429 # DEPENDENCYPART_ARC
(11,3),-1.2497 # DEPENDENCYPART_ARC
(11,4),-0.945605 # DEPENDENCYPART_ARC
(11,5),-1.12887 # DEPENDENCYPART_ARC
(11,6),-0.722177 # DEPENDENCYPART_ARC
(11,7),-0.923309 # DEPENDENCYPART_ARC
(11,8),-0.214577 # DEPENDENCYPART_ARC
(11,9),-1.0823 # DEPENDENCYPART_ARC
(11,10),0.37492 # DEPENDENCYPART_ARC
(11,12),2.84164 # DEPENDENCYPART_ARC
(11,13),0.73852 # DEPENDENCYPART_ARC
(12,1),-3.79402 # DEPENDENCYPART_ARC
(12,2),-4.49755 # DEPENDENCYPART_ARC
(12,3),-3.40184 # DEPENDENCYPART_ARC
(12,4),-2.87792 # DEPENDENCYPART_ARC
(12,5),-3.67906 # DEPENDENCYPART_ARC
(12,6),-2.95202 # DEPENDENCYPART_ARC
(12,7),-2.40575 # DEPENDENCYPART_ARC
(12,8),-1.07508 # DEPENDENCYPART_ARC
(12,9),-2.85536 # DEPENDENCYPART_ARC
(12,10),-1.24905 # DEPENDENCYPART_ARC
(12,11),-0.00492127 # DEPENDENCYPART_ARC
(12,13),-0.0922813 # DEPENDENCYPART_ARC
(13,1),-1.52001 # DEPENDENCYPART_ARC
(13,2),-2.19904 # DEPENDENCYPART_ARC
(13,3),-1.37252 # DEPENDENCYPART_ARC
(13,4),-1.78806 # DEPENDENCYPART_ARC
(13,5),-1.50782 # DEPENDENCYPART_ARC
(13,6),-0.661575 # DEPENDENCYPART_ARC
(13,7),-0.979331 # DEPENDENCYPART_ARC
(13,8),-1.55404 # DEPENDENCYPART_ARC
(13,9),-1.11129 # DEPENDENCYPART_ARC
(13,10),0.00409978 # DEPENDENCYPART_ARC
(13,11),-1.14262 # DEPENDENCYPART_ARC
(13,12),-0.933166 # DEPENDENCYPART_ARC
