# _root_ `` They were absolutely killed , slaughtered , '' said one Chicago-based options trader .
#goldHeads=3,3,10,5,3,5,5,3,3,0,14,14,14,10,10,
#predictedHeads=10,3,10,5,3,5,5,10,10,0,14,14,14,10,10,
(9,13),-1.4107 # DEPENDENCYPART_ARC
(9,14),-1.59832 # DEPENDENCYPART_ARC
(9,15),-1.16322 # DEPENDENCYPART_ARC
(10,1),3.75524 # DEPENDENCYPART_ARC
(10,2),0.441533 # DEPENDENCYPART_ARC
(10,3),1.56893 # DEPENDENCYPART_ARC
(10,4),0.236689 # DEPENDENCYPART_ARC
(10,5),0.0952637 # DEPENDENCYPART_ARC
(10,6),1.59035 # DEPENDENCYPART_ARC
(10,7),0.76101 # DEPENDENCYPART_ARC
(10,8),3.08522 # DEPENDENCYPART_ARC
(10,9),3.25257 # DEPENDENCYPART_ARC
(10,11),1.70174 # DEPENDENCYPART_ARC
(10,12),0.9572 # DEPENDENCYPART_ARC
(10,13),0.659565 # DEPENDENCYPART_ARC
(10,14),1.63883 # DEPENDENCYPART_ARC
(10,15),7.24033 # DEPENDENCYPART_ARC
(11,1),-1.59667 # DEPENDENCYPART_ARC
(11,2),-2.00897 # DEPENDENCYPART_ARC
(11,3),-1.53799 # DEPENDENCYPART_ARC
(11,4),-1.2202 # DEPENDENCYPART_ARC
(11,5),-1.11399 # DEPENDENCYPART_ARC
(11,6),-0.627802 # DEPENDENCYPART_ARC
(11,7),-0.683412 # DEPENDENCYPART_ARC
(11,8),-0.0620563 # DEPENDENCYPART_ARC
(11,9),0.240966 # DEPENDENCYPART_ARC
(11,10),0.6488 # DEPENDENCYPART_ARC
(11,12),1.61025 # DEPENDENCYPART_ARC
(11,13),0.797849 # DEPENDENCYPART_ARC
(11,14),0.257601 # DEPENDENCYPART_ARC
(11,15),-0.316507 # DEPENDENCYPART_ARC
(12,1),-1.82345 # DEPENDENCYPART_ARC
(12,2),-2.18029 # DEPENDENCYPART_ARC
(12,3),-2.19709 # DEPENDENCYPART_ARC
(12,4),-1.25528 # DEPENDENCYPART_ARC
(12,5),-1.65245 # DEPENDENCYPART_ARC
(12,6),-1.21238 # DEPENDENCYPART_ARC
(12,7),-1.31794 # DEPENDENCYPART_ARC
(12,8),-0.624969 # DEPENDENCYPART_ARC
(12,9),-0.39498 # DEPENDENCYPART_ARC
(12,10),-0.738958 # DEPENDENCYPART_ARC
(12,11),1.17768 # DEPENDENCYPART_ARC
(12,13),0.868194 # DEPENDENCYPART_ARC
(12,14),0.237927 # DEPENDENCYPART_ARC
(12,15),-0.0347039 # DEPENDENCYPART_ARC
(13,1),-1.15959 # DEPENDENCYPART_ARC
(13,2),-2.52888 # DEPENDENCYPART_ARC
(13,3),-1.94239 # DEPENDENCYPART_ARC
(13,4),-1.79043 # DEPENDENCYPART_ARC
(13,5),-1.06752 # DEPENDENCYPART_ARC
(13,6),-1.29847 # DEPENDENCYPART_ARC
(13,7),-0.932962 # DEPENDENCYPART_ARC
(13,8),-0.995352 # DEPENDENCYPART_ARC
(13,9),-0.342187 # DEPENDENCYPART_ARC
(13,10),-1.05596 # DEPENDENCYPART_ARC
(13,11),2.18106 # DEPENDENCYPART_ARC
(13,12),2.33703 # DEPENDENCYPART_ARC
(13,14),1.13949 # DEPENDENCYPART_ARC
(13,15),0.268309 # DEPENDENCYPART_ARC
(14,1),0.263746 # DEPENDENCYPART_ARC
(14,2),-0.576514 # DEPENDENCYPART_ARC
(14,3),-0.561426 # DEPENDENCYPART_ARC
(14,4),-1.31193 # DEPENDENCYPART_ARC
(14,5),0.532745 # DEPENDENCYPART_ARC
(14,6),0.919239 # DEPENDENCYPART_ARC
(14,7),0.750541 # DEPENDENCYPART_ARC
(14,8),0.680892 # DEPENDENCYPART_ARC
(14,9),1.03719 # DEPENDENCYPART_ARC
(14,10),0.610326 # DEPENDENCYPART_ARC
(14,11),3.59686 # DEPENDENCYPART_ARC
(14,12),3.66309 # DEPENDENCYPART_ARC
(14,13),4.22486 # DEPENDENCYPART_ARC
(14,15),0.451241 # DEPENDENCYPART_ARC
(15,1),-1.62354 # DEPENDENCYPART_ARC
(15,2),-1.51705 # DEPENDENCYPART_ARC
(15,3),-1.31153 # DEPENDENCYPART_ARC
(15,4),-1.43831 # DEPENDENCYPART_ARC
(15,5),-1.37103 # DEPENDENCYPART_ARC
(15,6),-0.55631 # DEPENDENCYPART_ARC
(15,7),-1.17408 # DEPENDENCYPART_ARC
(15,8),-0.244608 # DEPENDENCYPART_ARC
(15,9),-1.08548 # DEPENDENCYPART_ARC
(15,10),-1.12042 # DEPENDENCYPART_ARC
(15,11),-1.31029 # DEPENDENCYPART_ARC
(15,12),-0.890911 # DEPENDENCYPART_ARC
(15,13),-1.57824 # DEPENDENCYPART_ARC
(15,14),-1.37801 # DEPENDENCYPART_ARC
