# _root_ John Verret , the agency 's president and chief executive , will retain the title of president .
#goldHeads=2,12,2,5,7,5,2,7,10,8,2,0,12,15,13,15,16,12,
#predictedHeads=2,12,2,5,7,5,2,7,10,8,2,0,12,15,13,15,16,12,
(13,8),-0.946376 # DEPENDENCYPART_ARC
(13,9),0.225884 # DEPENDENCYPART_ARC
(13,10),0.211548 # DEPENDENCYPART_ARC
(13,11),0.546912 # DEPENDENCYPART_ARC
(13,12),0.816594 # DEPENDENCYPART_ARC
(13,14),1.19978 # DEPENDENCYPART_ARC
(13,15),3.642 # DEPENDENCYPART_ARC
(13,16),1.43875 # DEPENDENCYPART_ARC
(13,17),1.48773 # DEPENDENCYPART_ARC
(13,18),0.655449 # DEPENDENCYPART_ARC
(14,1),-3.04836 # DEPENDENCYPART_ARC
(14,2),-2.97082 # DEPENDENCYPART_ARC
(14,3),-2.58867 # DEPENDENCYPART_ARC
(14,4),-1.90006 # DEPENDENCYPART_ARC
(14,5),-2.80394 # DEPENDENCYPART_ARC
(14,6),-2.36593 # DEPENDENCYPART_ARC
(14,7),-2.57902 # DEPENDENCYPART_ARC
(14,8),-2.50969 # DEPENDENCYPART_ARC
(14,9),-1.78848 # DEPENDENCYPART_ARC
(14,10),-1.93665 # DEPENDENCYPART_ARC
(14,11),-1.18314 # DEPENDENCYPART_ARC
(14,12),-1.21922 # DEPENDENCYPART_ARC
(14,13),-0.0106759 # DEPENDENCYPART_ARC
(14,15),0.00862587 # DEPENDENCYPART_ARC
(14,16),-0.530545 # DEPENDENCYPART_ARC
(14,17),-0.972563 # DEPENDENCYPART_ARC
(14,18),-1.63066 # DEPENDENCYPART_ARC
(15,1),-5.00472 # DEPENDENCYPART_ARC
(15,2),-5.52865 # DEPENDENCYPART_ARC
(15,3),-2.11011 # DEPENDENCYPART_ARC
(15,4),-2.74067 # DEPENDENCYPART_ARC
(15,5),0.0457777 # DEPENDENCYPART_ARC
(15,6),-1.53328 # DEPENDENCYPART_ARC
(15,7),-2.5111 # DEPENDENCYPART_ARC
(15,8),-1.24636 # DEPENDENCYPART_ARC
(15,9),0.145217 # DEPENDENCYPART_ARC
(15,10),-1.4015 # DEPENDENCYPART_ARC
(15,11),-0.247061 # DEPENDENCYPART_ARC
(15,12),-0.502497 # DEPENDENCYPART_ARC
(15,13),0.213203 # DEPENDENCYPART_ARC
(15,14),4.69349 # DEPENDENCYPART_ARC
(15,16),3.46563 # DEPENDENCYPART_ARC
(15,17),1.18121 # DEPENDENCYPART_ARC
(15,18),0.936752 # DEPENDENCYPART_ARC
(16,1),-2.34327 # DEPENDENCYPART_ARC
(16,2),-2.46828 # DEPENDENCYPART_ARC
(16,3),-2.30292 # DEPENDENCYPART_ARC
(16,4),-2.27848 # DEPENDENCYPART_ARC
(16,5),-2.0755 # DEPENDENCYPART_ARC
(16,6),-1.31019 # DEPENDENCYPART_ARC
(16,7),-1.66609 # DEPENDENCYPART_ARC
(16,8),-1.76105 # DEPENDENCYPART_ARC
(16,9),-1.24017 # DEPENDENCYPART_ARC
(16,10),-1.96276 # DEPENDENCYPART_ARC
(16,11),-1.17982 # DEPENDENCYPART_ARC
(16,12),-1.46891 # DEPENDENCYPART_ARC
(16,13),-0.489909 # DEPENDENCYPART_ARC
(16,14),-0.352558 # DEPENDENCYPART_ARC
(16,15),0.535359 # DEPENDENCYPART_ARC
(16,17),4.31308 # DEPENDENCYPART_ARC
(16,18),-0.116087 # DEPENDENCYPART_ARC
(17,1),-6.01475 # DEPENDENCYPART_ARC
(17,2),-6.49595 # DEPENDENCYPART_ARC
(17,3),-2.73007 # DEPENDENCYPART_ARC
(17,4),-4.19429 # DEPENDENCYPART_ARC
(17,5),-0.266167 # DEPENDENCYPART_ARC
(17,6),-2.22335 # DEPENDENCYPART_ARC
(17,7),-2.64442 # DEPENDENCYPART_ARC
(17,8),-0.979521 # DEPENDENCYPART_ARC
(17,9),-0.896805 # DEPENDENCYPART_ARC
(17,10),-2.054 # DEPENDENCYPART_ARC
(17,11),-1.35778 # DEPENDENCYPART_ARC
(17,12),-0.990403 # DEPENDENCYPART_ARC
(17,13),-0.725334 # DEPENDENCYPART_ARC
(17,14),2.12498 # DEPENDENCYPART_ARC
(17,15),0.897734 # DEPENDENCYPART_ARC
(17,16),1.41222 # DEPENDENCYPART_ARC
(17,18),-0.568352 # DEPENDENCYPART_ARC
(18,1),-1.99411 # DEPENDENCYPART_ARC
(18,2),-2.2546 # DEPENDENCYPART_ARC
(18,3),-0.5565 # DEPENDENCYPART_ARC
(18,4),-1.74669 # DEPENDENCYPART_ARC
(18,5),-1.87702 # DEPENDENCYPART_ARC
(18,6),-1.92822 # DEPENDENCYPART_ARC
(18,7),-1.55264 # DEPENDENCYPART_ARC
(18,8),-1.66116 # DEPENDENCYPART_ARC
(18,9),-1.66071 # DEPENDENCYPART_ARC
(18,10),-1.21822 # DEPENDENCYPART_ARC
(18,11),-0.197316 # DEPENDENCYPART_ARC
(18,12),-0.770668 # DEPENDENCYPART_ARC
(18,13),-1.42847 # DEPENDENCYPART_ARC
(18,14),-0.646433 # DEPENDENCYPART_ARC
(18,15),-1.05739 # DEPENDENCYPART_ARC
(18,16),-1.3998 # DEPENDENCYPART_ARC
(18,17),-1.44835 # DEPENDENCYPART_ARC
