# _root_ If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on a range of health issues .
#goldHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
#predictedHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,23,23,31,31,28,31,34,32,34,37,35,3,
(0,28),-11.113 # DEPENDENCYPART_ARC
(0,29),-9.07782 # DEPENDENCYPART_ARC
(0,30),-7.12759 # DEPENDENCYPART_ARC
(0,31),-8.32421 # DEPENDENCYPART_ARC
(0,32),-11.9155 # DEPENDENCYPART_ARC
(0,33),-10.1734 # DEPENDENCYPART_ARC
(0,34),-8.63936 # DEPENDENCYPART_ARC
(0,35),-12.8365 # DEPENDENCYPART_ARC
(0,36),-8.91174 # DEPENDENCYPART_ARC
(0,37),-6.53982 # DEPENDENCYPART_ARC
(0,38),-6.90088 # DEPENDENCYPART_ARC
(1,2),0.880049 # DEPENDENCYPART_ARC
(1,3),5.28542 # DEPENDENCYPART_ARC
(1,4),1.26334 # DEPENDENCYPART_ARC
(1,5),0.38004 # DEPENDENCYPART_ARC
(1,6),-1.88755 # DEPENDENCYPART_ARC
(1,7),-2.59262 # DEPENDENCYPART_ARC
(1,8),0.665598 # DEPENDENCYPART_ARC
(1,9),0.320943 # DEPENDENCYPART_ARC
(1,10),0.0717237 # DEPENDENCYPART_ARC
(1,11),-2.45258 # DEPENDENCYPART_ARC
(1,12),-4.37644 # DEPENDENCYPART_ARC
(1,13),0.821703 # DEPENDENCYPART_ARC
(1,14),-6.15187 # DEPENDENCYPART_ARC
(1,15),-5.82888 # DEPENDENCYPART_ARC
(1,16),0.795213 # DEPENDENCYPART_ARC
(1,17),-0.698193 # DEPENDENCYPART_ARC
(1,18),-6.80637 # DEPENDENCYPART_ARC
(1,19),-6.89161 # DEPENDENCYPART_ARC
(1,20),-6.65491 # DEPENDENCYPART_ARC
(1,21),0.991423 # DEPENDENCYPART_ARC
(1,22),-2.62664 # DEPENDENCYPART_ARC
(1,23),-0.928265 # DEPENDENCYPART_ARC
(1,24),-10.1264 # DEPENDENCYPART_ARC
(1,25),-1.74016 # DEPENDENCYPART_ARC
(1,26),-11.8762 # DEPENDENCYPART_ARC
(1,27),-1.79564 # DEPENDENCYPART_ARC
(1,28),-3.94196 # DEPENDENCYPART_ARC
(1,29),-3.36116 # DEPENDENCYPART_ARC
(1,30),-4.49114 # DEPENDENCYPART_ARC
(1,31),-13.4956 # DEPENDENCYPART_ARC
(1,32),-2.4198 # DEPENDENCYPART_ARC
(1,33),-6.95765 # DEPENDENCYPART_ARC
(1,34),-15.1582 # DEPENDENCYPART_ARC
(1,35),-5.30152 # DEPENDENCYPART_ARC
(1,36),-17.5973 # DEPENDENCYPART_ARC
(1,37),-17.3138 # DEPENDENCYPART_ARC
(1,38),3.14448 # DEPENDENCYPART_ARC
(2,1),0.234573 # DEPENDENCYPART_ARC
(2,3),0.899757 # DEPENDENCYPART_ARC
(2,4),-0.455968 # DEPENDENCYPART_ARC
(2,5),0.00960528 # DEPENDENCYPART_ARC
(2,6),-0.520215 # DEPENDENCYPART_ARC
(2,7),-0.652999 # DEPENDENCYPART_ARC
(2,8),-0.172763 # DEPENDENCYPART_ARC
(2,9),-1.45092 # DEPENDENCYPART_ARC
(2,10),-0.538189 # DEPENDENCYPART_ARC
(2,11),-1.17733 # DEPENDENCYPART_ARC
(2,12),-1.40299 # DEPENDENCYPART_ARC
(2,13),-1.11812 # DEPENDENCYPART_ARC
(2,14),-1.8168 # DEPENDENCYPART_ARC
(2,15),-1.79653 # DEPENDENCYPART_ARC
(2,16),-1.24406 # DEPENDENCYPART_ARC
(2,17),-2.57406 # DEPENDENCYPART_ARC
(2,18),-2.09106 # DEPENDENCYPART_ARC
(2,19),-2.16088 # DEPENDENCYPART_ARC
(2,20),-2.27466 # DEPENDENCYPART_ARC
(2,21),-2.04337 # DEPENDENCYPART_ARC
(2,22),-3.25667 # DEPENDENCYPART_ARC
(2,23),-2.33184 # DEPENDENCYPART_ARC
(2,24),-2.69908 # DEPENDENCYPART_ARC
(2,25),-3.19998 # DEPENDENCYPART_ARC
(2,26),-2.89611 # DEPENDENCYPART_ARC
(2,27),-3.01345 # DEPENDENCYPART_ARC
(2,28),-2.80089 # DEPENDENCYPART_ARC
(2,29),-3.77184 # DEPENDENCYPART_ARC
(2,30),-3.92114 # DEPENDENCYPART_ARC
(2,31),-3.52471 # DEPENDENCYPART_ARC
(2,32),-2.96081 # DEPENDENCYPART_ARC
(2,33),-3.49472 # DEPENDENCYPART_ARC
(2,34),-3.33209 # DEPENDENCYPART_ARC
(2,35),-4.14622 # DEPENDENCYPART_ARC
(2,36),-3.33592 # DEPENDENCYPART_ARC
(2,37),-4.28389 # DEPENDENCYPART_ARC
(2,38),-3.11974 # DEPENDENCYPART_ARC
(3,1),1.12669 # DEPENDENCYPART_ARC
(3,2),2.96807 # DEPENDENCYPART_ARC
(3,4),3.30875 # DEPENDENCYPART_ARC
(3,5),0.122036 # DEPENDENCYPART_ARC
(3,6),-0.786401 # DEPENDENCYPART_ARC
(3,7),-0.701295 # DEPENDENCYPART_ARC
(3,8),0.87675 # DEPENDENCYPART_ARC
(3,9),-0.308866 # DEPENDENCYPART_ARC
(3,10),-0.80686 # DEPENDENCYPART_ARC
(3,11),-2.12255 # DEPENDENCYPART_ARC
(3,12),-2.31285 # DEPENDENCYPART_ARC
(3,13),-0.246917 # DEPENDENCYPART_ARC
(3,14),-3.20447 # DEPENDENCYPART_ARC
(3,15),-3.15849 # DEPENDENCYPART_ARC
(3,16),0.365123 # DEPENDENCYPART_ARC
(3,17),-1.3416 # DEPENDENCYPART_ARC
(3,18),-3.41024 # DEPENDENCYPART_ARC
(3,19),-3.29101 # DEPENDENCYPART_ARC
(3,20),-2.94442 # DEPENDENCYPART_ARC
(3,21),-1.23731 # DEPENDENCYPART_ARC
(3,22),-3.02254 # DEPENDENCYPART_ARC
(3,23),-0.90196 # DEPENDENCYPART_ARC
(3,24),-2.97391 # DEPENDENCYPART_ARC
(3,25),-0.475486 # DEPENDENCYPART_ARC
(3,26),-3.64339 # DEPENDENCYPART_ARC
(3,27),-2.95433 # DEPENDENCYPART_ARC
(3,28),-2.50293 # DEPENDENCYPART_ARC
(3,29),-3.52267 # DEPENDENCYPART_ARC
(3,30),-3.74041 # DEPENDENCYPART_ARC
(3,31),-4.45554 # DEPENDENCYPART_ARC
(3,32),-5.44175 # DEPENDENCYPART_ARC
(3,33),-3.20086 # DEPENDENCYPART_ARC
(3,34),-6.14985 # DEPENDENCYPART_ARC
(3,35),-5.40512 # DEPENDENCYPART_ARC
(3,36),-7.25154 # DEPENDENCYPART_ARC
(3,37),-5.6461 # DEPENDENCYPART_ARC
(3,38),7.67972 # DEPENDENCYPART_ARC
(4,1),0.0378078 # DEPENDENCYPART_ARC
(4,2),0.602525 # DEPENDENCYPART_ARC
(4,3),0.29884 # DEPENDENCYPART_ARC
(4,5),3.99701 # DEPENDENCYPART_ARC
(4,6),0.777925 # DEPENDENCYPART_ARC
(4,7),0.877832 # DEPENDENCYPART_ARC
(4,8),2.78637 # DEPENDENCYPART_ARC
(4,9),0.81432 # DEPENDENCYPART_ARC
(4,10),2.39189 # DEPENDENCYPART_ARC
(4,11),-0.907212 # DEPENDENCYPART_ARC
(4,12),-0.573524 # DEPENDENCYPART_ARC
(4,13),0.40425 # DEPENDENCYPART_ARC
(4,14),-1.21643 # DEPENDENCYPART_ARC
(4,15),-1.09561 # DEPENDENCYPART_ARC
(4,16),0.203389 # DEPENDENCYPART_ARC
(4,17),-0.293707 # DEPENDENCYPART_ARC
(4,18),-1.76735 # DEPENDENCYPART_ARC
(4,19),-1.77518 # DEPENDENCYPART_ARC
(4,20),-1.47768 # DEPENDENCYPART_ARC
(4,21),-0.0515557 # DEPENDENCYPART_ARC
(4,22),-1.92359 # DEPENDENCYPART_ARC
(4,23),-0.504677 # DEPENDENCYPART_ARC
(4,24),-2.58411 # DEPENDENCYPART_ARC
(4,25),-1.21686 # DEPENDENCYPART_ARC
(4,26),-2.78895 # DEPENDENCYPART_ARC
(4,27),-2.22668 # DEPENDENCYPART_ARC
(4,28),-1.83966 # DEPENDENCYPART_ARC
(4,29),-2.73097 # DEPENDENCYPART_ARC
(4,30),-2.79165 # DEPENDENCYPART_ARC
(4,31),-3.38019 # DEPENDENCYPART_ARC
(4,32),-2.18429 # DEPENDENCYPART_ARC
(4,33),-2.93136 # DEPENDENCYPART_ARC
(4,34),-3.29 # DEPENDENCYPART_ARC
(4,35),-4.97198 # DEPENDENCYPART_ARC
(4,36),-4.51257 # DEPENDENCYPART_ARC
(4,37),-5.2773 # DEPENDENCYPART_ARC
(4,38),0.709172 # DEPENDENCYPART_ARC
(5,1),0.478252 # DEPENDENCYPART_ARC
(5,2),-0.235768 # DEPENDENCYPART_ARC
(5,3),0.0295467 # DEPENDENCYPART_ARC
(5,4),0.64466 # DEPENDENCYPART_ARC
(5,6),2.61568 # DEPENDENCYPART_ARC
(5,7),2.80262 # DEPENDENCYPART_ARC
(5,8),1.25841 # DEPENDENCYPART_ARC
(5,9),0.224975 # DEPENDENCYPART_ARC
(5,10),1.77928 # DEPENDENCYPART_ARC
(5,11),-1.47656 # DEPENDENCYPART_ARC
(5,12),0.37258 # DEPENDENCYPART_ARC
(5,13),0.691802 # DEPENDENCYPART_ARC
(5,14),-1.63742 # DEPENDENCYPART_ARC
(5,15),-0.554345 # DEPENDENCYPART_ARC
(5,16),-1.45336 # DEPENDENCYPART_ARC
(5,17),-0.770644 # DEPENDENCYPART_ARC
(5,18),-2.29889 # DEPENDENCYPART_ARC
(5,19),-1.98495 # DEPENDENCYPART_ARC
(5,20),-1.00648 # DEPENDENCYPART_ARC
(5,21),0.124022 # DEPENDENCYPART_ARC
(5,22),-1.91973 # DEPENDENCYPART_ARC
(5,23),-4.79576 # DEPENDENCYPART_ARC
(5,24),-5.46147 # DEPENDENCYPART_ARC
(5,25),-1.12891 # DEPENDENCYPART_ARC
(5,26),-7.88007 # DEPENDENCYPART_ARC
(5,27),-1.43636 # DEPENDENCYPART_ARC
(5,28),-2.75631 # DEPENDENCYPART_ARC
(5,29),-2.74033 # DEPENDENCYPART_ARC
(5,30),-3.84071 # DEPENDENCYPART_ARC
(5,31),-9.51497 # DEPENDENCYPART_ARC
(5,32),-1.25973 # DEPENDENCYPART_ARC
(5,33),-5.67124 # DEPENDENCYPART_ARC
(5,34),-10.8285 # DEPENDENCYPART_ARC
(5,35),-3.49011 # DEPENDENCYPART_ARC
(5,36),-13.2191 # DEPENDENCYPART_ARC
(5,37),-13.0657 # DEPENDENCYPART_ARC
(5,38),-1.43451 # DEPENDENCYPART_ARC
(6,1),-2.68379 # DEPENDENCYPART_ARC
(6,2),-2.06202 # DEPENDENCYPART_ARC
(6,3),-2.33597 # DEPENDENCYPART_ARC
(6,4),-1.5944 # DEPENDENCYPART_ARC
(6,5),-0.78928 # DEPENDENCYPART_ARC
(6,7),2.01384 # DEPENDENCYPART_ARC
(6,8),0.433835 # DEPENDENCYPART_ARC
(6,9),-0.632597 # DEPENDENCYPART_ARC
(6,10),-1.637 # DEPENDENCYPART_ARC
(6,11),-1.07152 # DEPENDENCYPART_ARC
(6,12),-1.17574 # DEPENDENCYPART_ARC
(6,13),0.259717 # DEPENDENCYPART_ARC
(6,14),-0.998746 # DEPENDENCYPART_ARC
(6,15),-0.990977 # DEPENDENCYPART_ARC
(6,16),-2.57309 # DEPENDENCYPART_ARC
(6,17),-2.3777 # DEPENDENCYPART_ARC
(6,18),-1.83743 # DEPENDENCYPART_ARC
(6,19),-1.24951 # DEPENDENCYPART_ARC
(6,20),-0.829345 # DEPENDENCYPART_ARC
(6,21),-0.747098 # DEPENDENCYPART_ARC
(6,22),-3.36214 # DEPENDENCYPART_ARC
(6,23),-1.33516 # DEPENDENCYPART_ARC
(6,24),-1.98028 # DEPENDENCYPART_ARC
(6,25),-5.10663 # DEPENDENCYPART_ARC
(6,26),-2.37028 # DEPENDENCYPART_ARC
(6,27),-2.99573 # DEPENDENCYPART_ARC
(6,28),-5.16302 # DEPENDENCYPART_ARC
(6,29),-3.64816 # DEPENDENCYPART_ARC
(6,30),-3.43714 # DEPENDENCYPART_ARC
(6,31),-2.8127 # DEPENDENCYPART_ARC
(6,32),-5.99862 # DEPENDENCYPART_ARC
(6,33),-3.29388 # DEPENDENCYPART_ARC
(6,34),-7.1142 # DEPENDENCYPART_ARC
(6,35),-9.36264 # DEPENDENCYPART_ARC
(6,36),-7.92305 # DEPENDENCYPART_ARC
(6,37),-4.40616 # DEPENDENCYPART_ARC
(6,38),-1.30264 # DEPENDENCYPART_ARC
(7,1),-1.51619 # DEPENDENCYPART_ARC
(7,2),-0.370736 # DEPENDENCYPART_ARC
(7,3),-1.03484 # DEPENDENCYPART_ARC
(7,4),-0.329022 # DEPENDENCYPART_ARC
(7,5),0.0370194 # DEPENDENCYPART_ARC
(7,6),5.0989 # DEPENDENCYPART_ARC
(7,8),1.35679 # DEPENDENCYPART_ARC
(7,9),0.980071 # DEPENDENCYPART_ARC
(7,10),-0.304366 # DEPENDENCYPART_ARC
(7,11),-0.359932 # DEPENDENCYPART_ARC
(7,12),-0.429015 # DEPENDENCYPART_ARC
(7,13),0.696671 # DEPENDENCYPART_ARC
(7,14),-0.948308 # DEPENDENCYPART_ARC
(7,15),-1.0584 # DEPENDENCYPART_ARC
(7,16),-1.50196 # DEPENDENCYPART_ARC
(7,17),-1.60787 # DEPENDENCYPART_ARC
(7,18),-1.77472 # DEPENDENCYPART_ARC
(7,19),-1.58137 # DEPENDENCYPART_ARC
(7,20),-0.993798 # DEPENDENCYPART_ARC
(7,21),-0.111551 # DEPENDENCYPART_ARC
(7,22),-2.63139 # DEPENDENCYPART_ARC
(7,23),0.316999 # DEPENDENCYPART_ARC
(7,24),-1.14888 # DEPENDENCYPART_ARC
(7,25),-2.61484 # DEPENDENCYPART_ARC
(7,26),-1.59636 # DEPENDENCYPART_ARC
(7,27),-2.02572 # DEPENDENCYPART_ARC
(7,28),-2.63404 # DEPENDENCYPART_ARC
(7,29),-2.84483 # DEPENDENCYPART_ARC
(7,30),-2.56207 # DEPENDENCYPART_ARC
(7,31),-1.84188 # DEPENDENCYPART_ARC
(7,32),-3.30074 # DEPENDENCYPART_ARC
(7,33),-2.66497 # DEPENDENCYPART_ARC
(7,34),-4.86662 # DEPENDENCYPART_ARC
(7,35),-4.97225 # DEPENDENCYPART_ARC
(7,36),-6.05203 # DEPENDENCYPART_ARC
(7,37),-3.30969 # DEPENDENCYPART_ARC
(7,38),0.214156 # DEPENDENCYPART_ARC
(8,1),-0.904768 # DEPENDENCYPART_ARC
(8,2),-1.21857 # DEPENDENCYPART_ARC
(8,3),-0.47623 # DEPENDENCYPART_ARC
(8,4),-0.882458 # DEPENDENCYPART_ARC
(8,5),-0.269355 # DEPENDENCYPART_ARC
(8,6),0.0518803 # DEPENDENCYPART_ARC
(8,7),0.52031 # DEPENDENCYPART_ARC
(8,9),2.88648 # DEPENDENCYPART_ARC
(8,10),0.738553 # DEPENDENCYPART_ARC
(8,11),-0.680389 # DEPENDENCYPART_ARC
(8,12),0.323658 # DEPENDENCYPART_ARC
(8,13),0.118555 # DEPENDENCYPART_ARC
(8,14),-1.32382 # DEPENDENCYPART_ARC
(8,15),0.12348 # DEPENDENCYPART_ARC
(8,16),0.0108666 # DEPENDENCYPART_ARC
(8,17),-0.958386 # DEPENDENCYPART_ARC
(8,18),-1.529 # DEPENDENCYPART_ARC
(8,19),-1.09132 # DEPENDENCYPART_ARC
(8,20),-0.755251 # DEPENDENCYPART_ARC
(8,21),-0.579365 # DEPENDENCYPART_ARC
(8,22),-2.51007 # DEPENDENCYPART_ARC
(8,23),-1.47805 # DEPENDENCYPART_ARC
(8,24),-4.28821 # DEPENDENCYPART_ARC
(8,25),-0.810894 # DEPENDENCYPART_ARC
(8,26),-4.84582 # DEPENDENCYPART_ARC
(8,27),-2.2241 # DEPENDENCYPART_ARC
(8,28),-2.46236 # DEPENDENCYPART_ARC
(8,29),-2.92327 # DEPENDENCYPART_ARC
(8,30),-3.38964 # DEPENDENCYPART_ARC
(8,31),-6.29677 # DEPENDENCYPART_ARC
(8,32),-4.33896 # DEPENDENCYPART_ARC
(8,33),-3.04219 # DEPENDENCYPART_ARC
(8,34),-5.98873 # DEPENDENCYPART_ARC
(8,35),-4.171 # DEPENDENCYPART_ARC
(8,36),-7.3408 # DEPENDENCYPART_ARC
(8,37),-9.24736 # DEPENDENCYPART_ARC
(8,38),-0.763865 # DEPENDENCYPART_ARC
(9,1),-1.13697 # DEPENDENCYPART_ARC
(9,2),-0.846325 # DEPENDENCYPART_ARC
(9,3),-1.13221 # DEPENDENCYPART_ARC
(9,4),-1.09162 # DEPENDENCYPART_ARC
(9,5),-0.457171 # DEPENDENCYPART_ARC
(9,6),-0.119644 # DEPENDENCYPART_ARC
(9,7),-0.0778678 # DEPENDENCYPART_ARC
(9,8),0.220961 # DEPENDENCYPART_ARC
(9,10),3.85768 # DEPENDENCYPART_ARC
(9,11),0.379923 # DEPENDENCYPART_ARC
(9,12),1.21701 # DEPENDENCYPART_ARC
(9,13),1.03082 # DEPENDENCYPART_ARC
(9,14),0.260398 # DEPENDENCYPART_ARC
(9,15),-0.1597 # DEPENDENCYPART_ARC
(9,16),0.691094 # DEPENDENCYPART_ARC
(9,17),0.274685 # DEPENDENCYPART_ARC
(9,18),-0.707734 # DEPENDENCYPART_ARC
(9,19),-0.845037 # DEPENDENCYPART_ARC
(9,20),-0.554082 # DEPENDENCYPART_ARC
(9,21),0.198564 # DEPENDENCYPART_ARC
(9,22),-1.13576 # DEPENDENCYPART_ARC
(9,23),0.349668 # DEPENDENCYPART_ARC
(9,24),-1.6499 # DEPENDENCYPART_ARC
(9,25),0.262713 # DEPENDENCYPART_ARC
(9,26),-1.66056 # DEPENDENCYPART_ARC
(9,27),-1.1016 # DEPENDENCYPART_ARC
(9,28),-1.10518 # DEPENDENCYPART_ARC
(9,29),-1.84731 # DEPENDENCYPART_ARC
(9,30),-1.63095 # DEPENDENCYPART_ARC
(9,31),-2.44438 # DEPENDENCYPART_ARC
(9,32),-2.23647 # DEPENDENCYPART_ARC
(9,33),-2.17034 # DEPENDENCYPART_ARC
(9,34),-2.27562 # DEPENDENCYPART_ARC
(9,35),-4.12775 # DEPENDENCYPART_ARC
(9,36),-3.27564 # DEPENDENCYPART_ARC
(9,37),-4.49845 # DEPENDENCYPART_ARC
(9,38),3.08232 # DEPENDENCYPART_ARC
(10,1),-0.617066 # DEPENDENCYPART_ARC
(10,2),-1.59529 # DEPENDENCYPART_ARC
(10,3),-0.969245 # DEPENDENCYPART_ARC
(10,4),-1.04429 # DEPENDENCYPART_ARC
(10,5),-0.252569 # DEPENDENCYPART_ARC
(10,6),-0.486106 # DEPENDENCYPART_ARC
(10,7),-0.362292 # DEPENDENCYPART_ARC
(10,8),-0.164431 # DEPENDENCYPART_ARC
(10,9),0.221172 # DEPENDENCYPART_ARC
(10,11),0.587495 # DEPENDENCYPART_ARC
(10,12),3.47552 # DEPENDENCYPART_ARC
(10,13),1.02891 # DEPENDENCYPART_ARC
(10,14),0.413891 # DEPENDENCYPART_ARC
(10,15),2.07073 # DEPENDENCYPART_ARC
(10,16),-0.235145 # DEPENDENCYPART_ARC
(10,17),-0.084066 # DEPENDENCYPART_ARC
(10,18),-0.484367 # DEPENDENCYPART_ARC
(10,19),0.0527256 # DEPENDENCYPART_ARC
(10,20),1.1147 # DEPENDENCYPART_ARC
(10,21),0.333398 # DEPENDENCYPART_ARC
(10,22),-1.20923 # DEPENDENCYPART_ARC
(10,23),-4.00794 # DEPENDENCYPART_ARC
(10,24),-3.12341 # DEPENDENCYPART_ARC
(10,25),-0.840745 # DEPENDENCYPART_ARC
(10,26),-5.11538 # DEPENDENCYPART_ARC
(10,27),-0.181911 # DEPENDENCYPART_ARC
(10,28),-1.84882 # DEPENDENCYPART_ARC
(10,29),-1.85584 # DEPENDENCYPART_ARC
(10,30),-2.6431 # DEPENDENCYPART_ARC
(10,31),-6.45658 # DEPENDENCYPART_ARC
(10,32),-0.901464 # DEPENDENCYPART_ARC
(10,33),-4.67308 # DEPENDENCYPART_ARC
(10,34),-7.82289 # DEPENDENCYPART_ARC
(10,35),-2.86344 # DEPENDENCYPART_ARC
(10,36),-10.5583 # DEPENDENCYPART_ARC
(10,37),-10.291 # DEPENDENCYPART_ARC
(10,38),-1.37 # DEPENDENCYPART_ARC
(11,1),-2.91699 # DEPENDENCYPART_ARC
(11,2),-2.869 # DEPENDENCYPART_ARC
(11,3),-3.04829 # DEPENDENCYPART_ARC
(11,4),-2.8558 # DEPENDENCYPART_ARC
(11,5),-2.25183 # DEPENDENCYPART_ARC
(11,6),-2.59346 # DEPENDENCYPART_ARC
(11,7),-2.34977 # DEPENDENCYPART_ARC
(11,8),-2.411 # DEPENDENCYPART_ARC
(11,9),-1.77963 # DEPENDENCYPART_ARC
(11,10),-0.788725 # DEPENDENCYPART_ARC
(11,12),-0.400939 # DEPENDENCYPART_ARC
(11,13),-0.872837 # DEPENDENCYPART_ARC
(11,14),-0.912768 # DEPENDENCYPART_ARC
(11,15),-1.20499 # DEPENDENCYPART_ARC
(11,16),-1.39335 # DEPENDENCYPART_ARC
(11,17),-1.57318 # DEPENDENCYPART_ARC
(11,18),-1.85752 # DEPENDENCYPART_ARC
(11,19),-1.92009 # DEPENDENCYPART_ARC
(11,20),-1.87855 # DEPENDENCYPART_ARC
(11,21),-1.12181 # DEPENDENCYPART_ARC
(11,22),-3.16335 # DEPENDENCYPART_ARC
(11,23),-2.35511 # DEPENDENCYPART_ARC
(11,24),-2.35411 # DEPENDENCYPART_ARC
(11,25),-2.83237 # DEPENDENCYPART_ARC
(11,26),-2.49513 # DEPENDENCYPART_ARC
(11,27),-2.65412 # DEPENDENCYPART_ARC
(11,28),-2.96717 # DEPENDENCYPART_ARC
(11,29),-3.37254 # DEPENDENCYPART_ARC
(11,30),-2.78277 # DEPENDENCYPART_ARC
(11,31),-2.68576 # DEPENDENCYPART_ARC
(11,32),-4.30184 # DEPENDENCYPART_ARC
(11,33),-4.01273 # DEPENDENCYPART_ARC
(11,34),-3.09377 # DEPENDENCYPART_ARC
(11,35),-4.86713 # DEPENDENCYPART_ARC
(11,36),-3.30647 # DEPENDENCYPART_ARC
(11,37),-3.62166 # DEPENDENCYPART_ARC
(11,38),-2.09324 # DEPENDENCYPART_ARC
(12,1),-2.77785 # DEPENDENCYPART_ARC
(12,2),-1.75889 # DEPENDENCYPART_ARC
(12,3),-2.42706 # DEPENDENCYPART_ARC
(12,4),-1.92977 # DEPENDENCYPART_ARC
(12,5),-2.11374 # DEPENDENCYPART_ARC
(12,6),-1.35975 # DEPENDENCYPART_ARC
(12,7),-1.97683 # DEPENDENCYPART_ARC
(12,8),-1.24016 # DEPENDENCYPART_ARC
(12,9),-0.617691 # DEPENDENCYPART_ARC
(12,10),0.311987 # DEPENDENCYPART_ARC
(12,11),4.07489 # DEPENDENCYPART_ARC
(12,13),1.61479 # DEPENDENCYPART_ARC
(12,14),1.35351 # DEPENDENCYPART_ARC
(12,15),0.803794 # DEPENDENCYPART_ARC
(12,16),-0.171976 # DEPENDENCYPART_ARC
(12,17),-0.51114 # DEPENDENCYPART_ARC
(12,18),-0.59227 # DEPENDENCYPART_ARC
(12,19),-0.484556 # DEPENDENCYPART_ARC
(12,20),0.0767604 # DEPENDENCYPART_ARC
(12,21),0.845635 # DEPENDENCYPART_ARC
(12,22),-1.66093 # DEPENDENCYPART_ARC
(12,23),1.26266 # DEPENDENCYPART_ARC
(12,24),-0.422188 # DEPENDENCYPART_ARC
(12,25),-1.97934 # DEPENDENCYPART_ARC
(12,26),-0.958515 # DEPENDENCYPART_ARC
(12,27),-0.912203 # DEPENDENCYPART_ARC
(12,28),-1.34244 # DEPENDENCYPART_ARC
(12,29),-1.83857 # DEPENDENCYPART_ARC
(12,30),-1.55045 # DEPENDENCYPART_ARC
(12,31),-1.51462 # DEPENDENCYPART_ARC
(12,32),-1.90385 # DEPENDENCYPART_ARC
(12,33),-1.61701 # DEPENDENCYPART_ARC
(12,34),-3.92163 # DEPENDENCYPART_ARC
(12,35),-3.96299 # DEPENDENCYPART_ARC
(12,36),-4.99659 # DEPENDENCYPART_ARC
(12,37),-2.79814 # DEPENDENCYPART_ARC
(12,38),0.464229 # DEPENDENCYPART_ARC
(13,1),-2.37168 # DEPENDENCYPART_ARC
(13,2),-2.61326 # DEPENDENCYPART_ARC
(13,3),-2.2947 # DEPENDENCYPART_ARC
(13,4),-1.26602 # DEPENDENCYPART_ARC
(13,5),-1.96562 # DEPENDENCYPART_ARC
(13,6),-2.28366 # DEPENDENCYPART_ARC
(13,7),-2.1845 # DEPENDENCYPART_ARC
(13,8),-2.23815 # DEPENDENCYPART_ARC
(13,9),-1.14797 # DEPENDENCYPART_ARC
(13,10),-1.23883 # DEPENDENCYPART_ARC
(13,11),-0.86517 # DEPENDENCYPART_ARC
(13,12),-1.18048 # DEPENDENCYPART_ARC
(13,14),-0.107537 # DEPENDENCYPART_ARC
(13,15),-0.746798 # DEPENDENCYPART_ARC
(13,16),-0.958964 # DEPENDENCYPART_ARC
(13,17),-1.07986 # DEPENDENCYPART_ARC
(13,18),-1.43252 # DEPENDENCYPART_ARC
(13,19),-1.87287 # DEPENDENCYPART_ARC
(13,20),-2.02885 # DEPENDENCYPART_ARC
(13,21),-0.247439 # DEPENDENCYPART_ARC
(13,22),-2.76685 # DEPENDENCYPART_ARC
