# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(3,25),-6.76288 # DEPENDENCYPART_ARC
(3,26),-1.15594 # DEPENDENCYPART_ARC
(3,27),-2.69147 # DEPENDENCYPART_ARC
(3,28),-10.2126 # DEPENDENCYPART_ARC
(3,29),-10.6297 # DEPENDENCYPART_ARC
(3,30),-4.06043 # DEPENDENCYPART_ARC
(3,31),-9.73651 # DEPENDENCYPART_ARC
(3,32),-8.99763 # DEPENDENCYPART_ARC
(3,33),-0.016021 # DEPENDENCYPART_ARC
(4,1),0.33691 # DEPENDENCYPART_ARC
(4,2),-1.59055 # DEPENDENCYPART_ARC
(4,3),-0.0402112 # DEPENDENCYPART_ARC
(4,5),1.44069 # DEPENDENCYPART_ARC
(4,6),0.334723 # DEPENDENCYPART_ARC
(4,7),0.331449 # DEPENDENCYPART_ARC
(4,8),-0.458311 # DEPENDENCYPART_ARC
(4,9),-0.153528 # DEPENDENCYPART_ARC
(4,10),-1.188 # DEPENDENCYPART_ARC
(4,11),-0.227704 # DEPENDENCYPART_ARC
(4,12),-0.940383 # DEPENDENCYPART_ARC
(4,13),-1.60429 # DEPENDENCYPART_ARC
(4,14),-1.63747 # DEPENDENCYPART_ARC
(4,15),-0.694433 # DEPENDENCYPART_ARC
(4,16),-1.4668 # DEPENDENCYPART_ARC
(4,17),-1.36156 # DEPENDENCYPART_ARC
(4,18),-0.285509 # DEPENDENCYPART_ARC
(4,19),-2.17245 # DEPENDENCYPART_ARC
(4,20),-1.39078 # DEPENDENCYPART_ARC
(4,21),-1.47578 # DEPENDENCYPART_ARC
(4,22),-3.1916 # DEPENDENCYPART_ARC
(4,23),-3.88866 # DEPENDENCYPART_ARC
(4,24),-0.816455 # DEPENDENCYPART_ARC
(4,25),-2.29867 # DEPENDENCYPART_ARC
(4,26),-0.446846 # DEPENDENCYPART_ARC
(4,27),-2.85735 # DEPENDENCYPART_ARC
(4,28),-3.43188 # DEPENDENCYPART_ARC
(4,29),-3.78033 # DEPENDENCYPART_ARC
(4,30),-3.27449 # DEPENDENCYPART_ARC
(4,31),-3.60161 # DEPENDENCYPART_ARC
(4,32),-3.51779 # DEPENDENCYPART_ARC
(4,33),-1.34406 # DEPENDENCYPART_ARC
(5,1),0.651262 # DEPENDENCYPART_ARC
(5,2),0.213541 # DEPENDENCYPART_ARC
(5,3),0.377313 # DEPENDENCYPART_ARC
(5,4),1.77294 # DEPENDENCYPART_ARC
(5,6),1.1053 # DEPENDENCYPART_ARC
(5,7),0.391407 # DEPENDENCYPART_ARC
(5,8),-0.220745 # DEPENDENCYPART_ARC
(5,9),-0.280238 # DEPENDENCYPART_ARC
(5,10),-0.678421 # DEPENDENCYPART_ARC
(5,11),-0.832836 # DEPENDENCYPART_ARC
(5,12),-1.68736 # DEPENDENCYPART_ARC
(5,13),-1.81482 # DEPENDENCYPART_ARC
(5,14),-0.748885 # DEPENDENCYPART_ARC
(5,15),-0.992296 # DEPENDENCYPART_ARC
(5,16),-1.76441 # DEPENDENCYPART_ARC
(5,17),-2.52733 # DEPENDENCYPART_ARC
(5,18),-0.993986 # DEPENDENCYPART_ARC
(5,19),-2.03212 # DEPENDENCYPART_ARC
(5,20),-1.7763 # DEPENDENCYPART_ARC
(5,21),-1.70045 # DEPENDENCYPART_ARC
(5,22),-2.73738 # DEPENDENCYPART_ARC
(5,23),-2.3901 # DEPENDENCYPART_ARC
(5,24),-1.94672 # DEPENDENCYPART_ARC
(5,25),-2.97639 # DEPENDENCYPART_ARC
(5,26),-1.60556 # DEPENDENCYPART_ARC
(5,27),-2.4722 # DEPENDENCYPART_ARC
(5,28),-3.19075 # DEPENDENCYPART_ARC
(5,29),-3.28237 # DEPENDENCYPART_ARC
(5,30),-2.58852 # DEPENDENCYPART_ARC
(5,31),-3.43095 # DEPENDENCYPART_ARC
(5,32),-3.61392 # DEPENDENCYPART_ARC
(5,33),0.650457 # DEPENDENCYPART_ARC
(6,1),2.51976 # DEPENDENCYPART_ARC
(6,2),0.677261 # DEPENDENCYPART_ARC
(6,3),1.2749 # DEPENDENCYPART_ARC
(6,4),4.65062 # DEPENDENCYPART_ARC
(6,5),4.49864 # DEPENDENCYPART_ARC
(6,7),1.32995 # DEPENDENCYPART_ARC
(6,8),0.353004 # DEPENDENCYPART_ARC
(6,9),0.0780201 # DEPENDENCYPART_ARC
(6,10),0.0101231 # DEPENDENCYPART_ARC
(6,11),0.649162 # DEPENDENCYPART_ARC
(6,12),-0.402821 # DEPENDENCYPART_ARC
(6,13),-0.38978 # DEPENDENCYPART_ARC
(6,14),-0.50369 # DEPENDENCYPART_ARC
(6,15),0.419444 # DEPENDENCYPART_ARC
(6,16),-0.205342 # DEPENDENCYPART_ARC
(6,17),-0.550066 # DEPENDENCYPART_ARC
(6,18),1.14112 # DEPENDENCYPART_ARC
(6,19),-1.33386 # DEPENDENCYPART_ARC
(6,20),-0.903742 # DEPENDENCYPART_ARC
(6,21),-0.78442 # DEPENDENCYPART_ARC
(6,22),-1.1407 # DEPENDENCYPART_ARC
(6,23),-1.23804 # DEPENDENCYPART_ARC
(6,24),-1.15291 # DEPENDENCYPART_ARC
(6,25),-1.15008 # DEPENDENCYPART_ARC
(6,26),1.60839 # DEPENDENCYPART_ARC
(6,27),-2.20157 # DEPENDENCYPART_ARC
(6,28),-1.68623 # DEPENDENCYPART_ARC
(6,29),-1.6448 # DEPENDENCYPART_ARC
(6,30),-2.74102 # DEPENDENCYPART_ARC
(6,31),-1.88345 # DEPENDENCYPART_ARC
(6,32),-2.06242 # DEPENDENCYPART_ARC
(6,33),-0.140738 # DEPENDENCYPART_ARC
(7,1),0.31871 # DEPENDENCYPART_ARC
(7,2),3.31452 # DEPENDENCYPART_ARC
(7,3),0.398249 # DEPENDENCYPART_ARC
(7,4),1.22982 # DEPENDENCYPART_ARC
(7,5),1.46226 # DEPENDENCYPART_ARC
(7,6),3.2591 # DEPENDENCYPART_ARC
(7,8),1.90558 # DEPENDENCYPART_ARC
(7,9),1.22256 # DEPENDENCYPART_ARC
(7,10),2.53259 # DEPENDENCYPART_ARC
(7,11),3.12131 # DEPENDENCYPART_ARC
(7,12),-0.0617499 # DEPENDENCYPART_ARC
(7,13),0.179739 # DEPENDENCYPART_ARC
(7,14),1.02111 # DEPENDENCYPART_ARC
(7,15),2.03257 # DEPENDENCYPART_ARC
(7,16),1.22597 # DEPENDENCYPART_ARC
(7,17),0.0767101 # DEPENDENCYPART_ARC
(7,18),3.05132 # DEPENDENCYPART_ARC
(7,19),2.68551 # DEPENDENCYPART_ARC
(7,20),1.66694 # DEPENDENCYPART_ARC
(7,21),-0.661743 # DEPENDENCYPART_ARC
(7,22),-1.05655 # DEPENDENCYPART_ARC
(7,23),-0.681161 # DEPENDENCYPART_ARC
(7,24),0.233057 # DEPENDENCYPART_ARC
(7,25),-1.4975 # DEPENDENCYPART_ARC
(7,26),2.00346 # DEPENDENCYPART_ARC
(7,27),0.773024 # DEPENDENCYPART_ARC
(7,28),-2.42424 # DEPENDENCYPART_ARC
(7,29),-2.39493 # DEPENDENCYPART_ARC
(7,30),-0.846718 # DEPENDENCYPART_ARC
(7,31),-2.35706 # DEPENDENCYPART_ARC
(7,32),-2.11909 # DEPENDENCYPART_ARC
(7,33),5.31187 # DEPENDENCYPART_ARC
(8,1),-0.0530402 # DEPENDENCYPART_ARC
(8,2),-1.09878 # DEPENDENCYPART_ARC
(8,3),-0.884015 # DEPENDENCYPART_ARC
(8,4),-0.979697 # DEPENDENCYPART_ARC
(8,5),0.0521942 # DEPENDENCYPART_ARC
(8,6),-0.35467 # DEPENDENCYPART_ARC
(8,7),0.258002 # DEPENDENCYPART_ARC
(8,9),4.75973 # DEPENDENCYPART_ARC
(8,10),1.38392 # DEPENDENCYPART_ARC
(8,11),0.922102 # DEPENDENCYPART_ARC
(8,12),0.935555 # DEPENDENCYPART_ARC
(8,13),2.41458 # DEPENDENCYPART_ARC
(8,14),-0.820866 # DEPENDENCYPART_ARC
(8,15),0.782885 # DEPENDENCYPART_ARC
(8,16),-0.141415 # DEPENDENCYPART_ARC
(8,17),-0.074155 # DEPENDENCYPART_ARC
(8,18),1.15323 # DEPENDENCYPART_ARC
(8,19),-0.951222 # DEPENDENCYPART_ARC
(8,20),0.394161 # DEPENDENCYPART_ARC
(8,21),-1.03123 # DEPENDENCYPART_ARC
(8,22),-0.81851 # DEPENDENCYPART_ARC
(8,23),-3.22995 # DEPENDENCYPART_ARC
(8,24),-1.08574 # DEPENDENCYPART_ARC
(8,25),-1.03125 # DEPENDENCYPART_ARC
(8,26),0.925606 # DEPENDENCYPART_ARC
(8,27),-2.05651 # DEPENDENCYPART_ARC
(8,28),-1.30412 # DEPENDENCYPART_ARC
(8,29),-1.26218 # DEPENDENCYPART_ARC
(8,30),-1.65572 # DEPENDENCYPART_ARC
(8,31),-1.3754 # DEPENDENCYPART_ARC
(8,32),-1.35161 # DEPENDENCYPART_ARC
(8,33),-1.4184 # DEPENDENCYPART_ARC
(9,1),-0.518471 # DEPENDENCYPART_ARC
(9,2),-1.72484 # DEPENDENCYPART_ARC
(9,3),-0.570729 # DEPENDENCYPART_ARC
(9,4),-0.664477 # DEPENDENCYPART_ARC
(9,5),-0.207491 # DEPENDENCYPART_ARC
(9,6),-0.337599 # DEPENDENCYPART_ARC
(9,7),-0.116809 # DEPENDENCYPART_ARC
(9,8),1.7766 # DEPENDENCYPART_ARC
(9,10),0.93567 # DEPENDENCYPART_ARC
(9,11),0.184165 # DEPENDENCYPART_ARC
(9,12),-0.766465 # DEPENDENCYPART_ARC
(9,13),-0.589557 # DEPENDENCYPART_ARC
(9,14),-0.582525 # DEPENDENCYPART_ARC
(9,15),-0.145067 # DEPENDENCYPART_ARC
(9,16),-0.900415 # DEPENDENCYPART_ARC
(9,17),-1.08785 # DEPENDENCYPART_ARC
(9,18),-0.348815 # DEPENDENCYPART_ARC
(9,19),-1.33068 # DEPENDENCYPART_ARC
(9,20),-0.895825 # DEPENDENCYPART_ARC
(9,21),-1.11901 # DEPENDENCYPART_ARC
(9,22),-1.61209 # DEPENDENCYPART_ARC
(9,23),-2.44069 # DEPENDENCYPART_ARC
(9,24),-1.2558 # DEPENDENCYPART_ARC
(9,25),-1.96384 # DEPENDENCYPART_ARC
(9,26),-0.819037 # DEPENDENCYPART_ARC
(9,27),-1.74225 # DEPENDENCYPART_ARC
(9,28),-2.31907 # DEPENDENCYPART_ARC
(9,29),-2.36362 # DEPENDENCYPART_ARC
(9,30),-1.66012 # DEPENDENCYPART_ARC
(9,31),-2.64826 # DEPENDENCYPART_ARC
(9,32),-2.67556 # DEPENDENCYPART_ARC
(9,33),-1.4706 # DEPENDENCYPART_ARC
(10,1),-0.295148 # DEPENDENCYPART_ARC
(10,2),-2.32826 # DEPENDENCYPART_ARC
(10,3),-1.00278 # DEPENDENCYPART_ARC
(10,4),-0.942255 # DEPENDENCYPART_ARC
(10,5),0.877695 # DEPENDENCYPART_ARC
(10,6),-0.21809 # DEPENDENCYPART_ARC
(10,7),-0.19338 # DEPENDENCYPART_ARC
(10,8),3.69414 # DEPENDENCYPART_ARC
(10,9),3.53173 # DEPENDENCYPART_ARC
(10,11),1.53096 # DEPENDENCYPART_ARC
(10,12),-0.0536914 # DEPENDENCYPART_ARC
(10,13),0.414754 # DEPENDENCYPART_ARC
(10,14),0.720361 # DEPENDENCYPART_ARC
(10,15),0.505595 # DEPENDENCYPART_ARC
(10,16),-0.619166 # DEPENDENCYPART_ARC
(10,17),-0.67769 # DEPENDENCYPART_ARC
(10,18),0.379429 # DEPENDENCYPART_ARC
(10,19),-1.02791 # DEPENDENCYPART_ARC
(10,20),-0.535208 # DEPENDENCYPART_ARC
(10,21),-0.757253 # DEPENDENCYPART_ARC
(10,22),-1.26955 # DEPENDENCYPART_ARC
(10,23),-1.24705 # DEPENDENCYPART_ARC
(10,24),-1.4625 # DEPENDENCYPART_ARC
(10,25),-1.63191 # DEPENDENCYPART_ARC
(10,26),-0.10721 # DEPENDENCYPART_ARC
(10,27),-1.51623 # DEPENDENCYPART_ARC
(10,28),-2.58975 # DEPENDENCYPART_ARC
(10,29),-2.37382 # DEPENDENCYPART_ARC
(10,30),-3.29124 # DEPENDENCYPART_ARC
(10,31),-2.68473 # DEPENDENCYPART_ARC
(10,32),-2.73064 # DEPENDENCYPART_ARC
(10,33),-0.12391 # DEPENDENCYPART_ARC
(11,1),-1.31115 # DEPENDENCYPART_ARC
(11,2),-1.2724 # DEPENDENCYPART_ARC
(11,3),-1.28334 # DEPENDENCYPART_ARC
(11,4),-1.32318 # DEPENDENCYPART_ARC
(11,5),-1.1599 # DEPENDENCYPART_ARC
(11,6),-1.23841 # DEPENDENCYPART_ARC
(11,7),-1.07593 # DEPENDENCYPART_ARC
(11,8),-0.26135 # DEPENDENCYPART_ARC
(11,9),-0.355326 # DEPENDENCYPART_ARC
(11,10),0.170889 # DEPENDENCYPART_ARC
(11,12),0.595658 # DEPENDENCYPART_ARC
(11,13),1.35971 # DEPENDENCYPART_ARC
(11,14),3.57509 # DEPENDENCYPART_ARC
(11,15),0.505481 # DEPENDENCYPART_ARC
(11,16),0.254745 # DEPENDENCYPART_ARC
(11,17),-0.0795848 # DEPENDENCYPART_ARC
(11,18),0.655234 # DEPENDENCYPART_ARC
(11,19),0.245539 # DEPENDENCYPART_ARC
(11,20),-0.369067 # DEPENDENCYPART_ARC
(11,21),-0.418318 # DEPENDENCYPART_ARC
(11,22),-1.46102 # DEPENDENCYPART_ARC
(11,23),-4.22687 # DEPENDENCYPART_ARC
(11,24),-1.69739 # DEPENDENCYPART_ARC
(11,25),-4.11577 # DEPENDENCYPART_ARC
(11,26),-0.243016 # DEPENDENCYPART_ARC
(11,27),-1.29484 # DEPENDENCYPART_ARC
(11,28),-7.64231 # DEPENDENCYPART_ARC
(11,29),-7.38428 # DEPENDENCYPART_ARC
(11,30),-2.37918 # DEPENDENCYPART_ARC
(11,31),-7.34734 # DEPENDENCYPART_ARC
(11,32),-6.85672 # DEPENDENCYPART_ARC
(11,33),-0.166319 # DEPENDENCYPART_ARC
(12,1),-2.93038 # DEPENDENCYPART_ARC
(12,2),-3.46921 # DEPENDENCYPART_ARC
(12,3),-2.66804 # DEPENDENCYPART_ARC
(12,4),-2.9399 # DEPENDENCYPART_ARC
(12,5),-2.71102 # DEPENDENCYPART_ARC
(12,6),-2.75154 # DEPENDENCYPART_ARC
(12,7),-2.58797 # DEPENDENCYPART_ARC
(12,8),-1.88684 # DEPENDENCYPART_ARC
(12,9),-1.43632 # DEPENDENCYPART_ARC
(12,10),-2.13832 # DEPENDENCYPART_ARC
(12,11),-0.942752 # DEPENDENCYPART_ARC
(12,13),0.552437 # DEPENDENCYPART_ARC
(12,14),-1.09783 # DEPENDENCYPART_ARC
(12,15),-1.06175 # DEPENDENCYPART_ARC
(12,16),-1.77624 # DEPENDENCYPART_ARC
(12,17),-1.30587 # DEPENDENCYPART_ARC
(12,18),-0.929693 # DEPENDENCYPART_ARC
(12,19),-2.26962 # DEPENDENCYPART_ARC
(12,20),-1.74834 # DEPENDENCYPART_ARC
(12,21),-2.0602 # DEPENDENCYPART_ARC
(12,22),-1.79177 # DEPENDENCYPART_ARC
(12,23),-2.68997 # DEPENDENCYPART_ARC
(12,24),-2.96164 # DEPENDENCYPART_ARC
(12,25),-3.14136 # DEPENDENCYPART_ARC
(12,26),-1.77751 # DEPENDENCYPART_ARC
(12,27),-3.45699 # DEPENDENCYPART_ARC
(12,28),-3.3447 # DEPENDENCYPART_ARC
(12,29),-3.38383 # DEPENDENCYPART_ARC
(12,30),-3.78545 # DEPENDENCYPART_ARC
(12,31),-3.60631 # DEPENDENCYPART_ARC
(12,32),-3.59346 # DEPENDENCYPART_ARC
(12,33),-3.14996 # DEPENDENCYPART_ARC
(13,1),-1.50251 # DEPENDENCYPART_ARC
(13,2),-2.7228 # DEPENDENCYPART_ARC
(13,3),-0.867408 # DEPENDENCYPART_ARC
(13,4),-1.54891 # DEPENDENCYPART_ARC
(13,5),-1.38676 # DEPENDENCYPART_ARC
(13,6),-1.77298 # DEPENDENCYPART_ARC
(13,7),-1.53651 # DEPENDENCYPART_ARC
(13,8),-0.154333 # DEPENDENCYPART_ARC
(13,9),-0.328166 # DEPENDENCYPART_ARC
(13,10),-0.910288 # DEPENDENCYPART_ARC
(13,11),-0.213759 # DEPENDENCYPART_ARC
(13,12),2.16389 # DEPENDENCYPART_ARC
(13,14),0.355065 # DEPENDENCYPART_ARC
(13,15),0.341775 # DEPENDENCYPART_ARC
(13,16),-0.57213 # DEPENDENCYPART_ARC
(13,17),-0.773163 # DEPENDENCYPART_ARC
(13,18),-0.862616 # DEPENDENCYPART_ARC
(13,19),-0.984803 # DEPENDENCYPART_ARC
(13,20),-0.671175 # DEPENDENCYPART_ARC
(13,21),-1.20188 # DEPENDENCYPART_ARC
(13,22),-1.48902 # DEPENDENCYPART_ARC
(13,23),-2.11725 # DEPENDENCYPART_ARC
(13,24),-0.997488 # DEPENDENCYPART_ARC
(13,25),-1.93752 # DEPENDENCYPART_ARC
(13,26),-0.831558 # DEPENDENCYPART_ARC
(13,27),-1.57685 # DEPENDENCYPART_ARC
(13,28),-2.23722 # DEPENDENCYPART_ARC
(13,29),-2.29217 # DEPENDENCYPART_ARC
(13,30),-1.53201 # DEPENDENCYPART_ARC
(13,31),-2.55388 # DEPENDENCYPART_ARC
(13,32),-2.55515 # DEPENDENCYPART_ARC
(13,33),-1.83604 # DEPENDENCYPART_ARC
(14,1),-2.84293 # DEPENDENCYPART_ARC
(14,2),-3.34505 # DEPENDENCYPART_ARC
(14,3),-0.934159 # DEPENDENCYPART_ARC
(14,4),-0.966633 # DEPENDENCYPART_ARC
(14,5),-0.356311 # DEPENDENCYPART_ARC
(14,6),-1.6025 # DEPENDENCYPART_ARC
(14,7),-0.882379 # DEPENDENCYPART_ARC
(14,8),2.11988 # DEPENDENCYPART_ARC
(14,9),0.594159 # DEPENDENCYPART_ARC
(14,10),-1.17569 # DEPENDENCYPART_ARC
(14,11),0.332167 # DEPENDENCYPART_ARC
(14,12),4.61472 # DEPENDENCYPART_ARC
(14,13),3.57146 # DEPENDENCYPART_ARC
(14,15),2.80838 # DEPENDENCYPART_ARC
(14,16),0.900415 # DEPENDENCYPART_ARC
(14,17),1.0027 # DEPENDENCYPART_ARC
(14,18),0.831222 # DEPENDENCYPART_ARC
(14,19),0.212432 # DEPENDENCYPART_ARC
(14,20),0.462239 # DEPENDENCYPART_ARC
(14,21),0.836698 # DEPENDENCYPART_ARC
(14,22),-0.132242 # DEPENDENCYPART_ARC
(14,23),-0.691763 # DEPENDENCYPART_ARC
(14,24),-0.093137 # DEPENDENCYPART_ARC
(14,25),-0.550772 # DEPENDENCYPART_ARC
(14,26),0.471143 # DEPENDENCYPART_ARC
(14,27),0.0343289 # DEPENDENCYPART_ARC
(14,28),-0.778018 # DEPENDENCYPART_ARC
(14,29),-0.736913 # DEPENDENCYPART_ARC
(14,30),-0.977931 # DEPENDENCYPART_ARC
(14,31),-0.987767 # DEPENDENCYPART_ARC
(14,32),-1.07829 # DEPENDENCYPART_ARC
(14,33),0.0938182 # DEPENDENCYPART_ARC
(15,1),-1.32162 # DEPENDENCYPART_ARC
(15,2),-1.29723 # DEPENDENCYPART_ARC
(15,3),-1.32806 # DEPENDENCYPART_ARC
(15,4),-0.916288 # DEPENDENCYPART_ARC
(15,5),-1.40661 # DEPENDENCYPART_ARC
(15,6),-0.416492 # DEPENDENCYPART_ARC
(15,7),-1.19848 # DEPENDENCYPART_ARC
(15,8),-1.12256 # DEPENDENCYPART_ARC
(15,9),-0.728686 # DEPENDENCYPART_ARC
(15,10),0.468958 # DEPENDENCYPART_ARC
(15,11),0.163049 # DEPENDENCYPART_ARC
(15,12),0.893531 # DEPENDENCYPART_ARC
(15,13),0.00782092 # DEPENDENCYPART_ARC
(15,14),0.768015 # DEPENDENCYPART_ARC
(15,16),2.94181 # DEPENDENCYPART_ARC
(15,17),1.21412 # DEPENDENCYPART_ARC
(15,18),1.36904 # DEPENDENCYPART_ARC
(15,19),1.18146 # DEPENDENCYPART_ARC
(15,20),0.856696 # DEPENDENCYPART_ARC
(15,21),0.581831 # DEPENDENCYPART_ARC
(15,22),-0.731268 # DEPENDENCYPART_ARC
(15,23),0.812616 # DEPENDENCYPART_ARC
(15,24),-0.0964337 # DEPENDENCYPART_ARC
(15,25),-0.120386 # DEPENDENCYPART_ARC
(15,26),0.399173 # DEPENDENCYPART_ARC
