# _root_ Richard Chenevix-Trench , a director at Hong Kong-based Baring International Fund Managers Ltd. , said the market probably has n't hit bottom yet but is close .
#goldHeads=2,15,2,5,2,5,8,12,12,12,12,6,12,2,0,17,19,19,15,19,19,21,21,19,24,25,15,
#predictedHeads=2,15,2,5,2,5,8,12,12,12,12,6,12,2,0,17,19,19,15,19,19,21,21,19,24,25,15,
(7,11),0.0470297 # DEPENDENCYPART_ARC
(7,12),-0.0481608 # DEPENDENCYPART_ARC
(7,13),0.202518 # DEPENDENCYPART_ARC
(7,14),1.25667 # DEPENDENCYPART_ARC
(7,15),-0.711212 # DEPENDENCYPART_ARC
(7,16),-0.425888 # DEPENDENCYPART_ARC
(7,17),-0.645298 # DEPENDENCYPART_ARC
(7,18),-1.56914 # DEPENDENCYPART_ARC
(7,19),-2.0531 # DEPENDENCYPART_ARC
(7,20),-1.70489 # DEPENDENCYPART_ARC
(7,21),-2.04202 # DEPENDENCYPART_ARC
(7,22),-3.38824 # DEPENDENCYPART_ARC
(7,23),-1.99993 # DEPENDENCYPART_ARC
(7,24),-3.33921 # DEPENDENCYPART_ARC
(7,25),-2.99575 # DEPENDENCYPART_ARC
(7,26),-2.09219 # DEPENDENCYPART_ARC
(7,27),-0.547309 # DEPENDENCYPART_ARC
(8,1),0.826822 # DEPENDENCYPART_ARC
(8,2),0.0857649 # DEPENDENCYPART_ARC
(8,3),0.631564 # DEPENDENCYPART_ARC
(8,4),1.23312 # DEPENDENCYPART_ARC
(8,5),0.698518 # DEPENDENCYPART_ARC
(8,6),1.19536 # DEPENDENCYPART_ARC
(8,7),3.69998 # DEPENDENCYPART_ARC
(8,9),1.3503 # DEPENDENCYPART_ARC
(8,10),0.891836 # DEPENDENCYPART_ARC
(8,11),0.527088 # DEPENDENCYPART_ARC
(8,12),0.322872 # DEPENDENCYPART_ARC
(8,13),0.113993 # DEPENDENCYPART_ARC
(8,14),0.762687 # DEPENDENCYPART_ARC
(8,15),-0.410586 # DEPENDENCYPART_ARC
(8,16),-1.10527 # DEPENDENCYPART_ARC
(8,17),-0.526901 # DEPENDENCYPART_ARC
(8,18),-0.658652 # DEPENDENCYPART_ARC
(8,19),-0.580031 # DEPENDENCYPART_ARC
(8,20),-0.687121 # DEPENDENCYPART_ARC
(8,21),-0.580689 # DEPENDENCYPART_ARC
(8,22),-1.1546 # DEPENDENCYPART_ARC
(8,23),-0.994028 # DEPENDENCYPART_ARC
(8,24),-0.791513 # DEPENDENCYPART_ARC
(8,25),-0.959409 # DEPENDENCYPART_ARC
(8,26),-1.3258 # DEPENDENCYPART_ARC
(8,27),0.192392 # DEPENDENCYPART_ARC
(9,1),-2.88059 # DEPENDENCYPART_ARC
(9,2),-3.12221 # DEPENDENCYPART_ARC
(9,3),-2.25098 # DEPENDENCYPART_ARC
(9,4),-0.648221 # DEPENDENCYPART_ARC
(9,5),-1.83527 # DEPENDENCYPART_ARC
(9,6),-2.07153 # DEPENDENCYPART_ARC
(9,7),0.9291 # DEPENDENCYPART_ARC
(9,8),1.36883 # DEPENDENCYPART_ARC
(9,10),0.399259 # DEPENDENCYPART_ARC
(9,11),0.310053 # DEPENDENCYPART_ARC
(9,12),-0.220557 # DEPENDENCYPART_ARC
(9,13),0.160349 # DEPENDENCYPART_ARC
(9,14),0.131133 # DEPENDENCYPART_ARC
(9,15),-1.27349 # DEPENDENCYPART_ARC
(9,16),-1.1622 # DEPENDENCYPART_ARC
(9,17),-1.43198 # DEPENDENCYPART_ARC
(9,18),-2.07235 # DEPENDENCYPART_ARC
(9,19),-2.32327 # DEPENDENCYPART_ARC
(9,20),-2.34651 # DEPENDENCYPART_ARC
(9,21),-2.74679 # DEPENDENCYPART_ARC
(9,22),-4.16255 # DEPENDENCYPART_ARC
(9,23),-2.68896 # DEPENDENCYPART_ARC
(9,24),-3.45955 # DEPENDENCYPART_ARC
(9,25),-3.48575 # DEPENDENCYPART_ARC
(9,26),-2.97362 # DEPENDENCYPART_ARC
(9,27),-1.12745 # DEPENDENCYPART_ARC
(10,1),-1.86788 # DEPENDENCYPART_ARC
(10,2),-2.61798 # DEPENDENCYPART_ARC
(10,3),-1.76256 # DEPENDENCYPART_ARC
(10,4),-1.08626 # DEPENDENCYPART_ARC
(10,5),-1.94884 # DEPENDENCYPART_ARC
(10,6),-2.20147 # DEPENDENCYPART_ARC
(10,7),1.31112 # DEPENDENCYPART_ARC
(10,8),1.53983 # DEPENDENCYPART_ARC
(10,9),2.18515 # DEPENDENCYPART_ARC
(10,11),0.998566 # DEPENDENCYPART_ARC
(10,12),0.996077 # DEPENDENCYPART_ARC
(10,13),1.2986 # DEPENDENCYPART_ARC
(10,14),1.04235 # DEPENDENCYPART_ARC
(10,15),-1.43836 # DEPENDENCYPART_ARC
(10,16),-0.967861 # DEPENDENCYPART_ARC
(10,17),-1.17666 # DEPENDENCYPART_ARC
(10,18),-1.58518 # DEPENDENCYPART_ARC
(10,19),-1.65961 # DEPENDENCYPART_ARC
(10,20),-1.73791 # DEPENDENCYPART_ARC
(10,21),-2.37743 # DEPENDENCYPART_ARC
(10,22),-3.95638 # DEPENDENCYPART_ARC
(10,23),-2.17004 # DEPENDENCYPART_ARC
(10,24),-2.97118 # DEPENDENCYPART_ARC
(10,25),-2.97001 # DEPENDENCYPART_ARC
(10,26),-2.69894 # DEPENDENCYPART_ARC
(10,27),-1.08719 # DEPENDENCYPART_ARC
(11,1),-1.12234 # DEPENDENCYPART_ARC
(11,2),-1.90219 # DEPENDENCYPART_ARC
(11,3),-1.60291 # DEPENDENCYPART_ARC
(11,4),-0.393382 # DEPENDENCYPART_ARC
(11,5),-1.99532 # DEPENDENCYPART_ARC
(11,6),-2.10056 # DEPENDENCYPART_ARC
(11,7),1.52337 # DEPENDENCYPART_ARC
(11,8),1.75879 # DEPENDENCYPART_ARC
(11,9),2.59756 # DEPENDENCYPART_ARC
(11,10),2.89931 # DEPENDENCYPART_ARC
(11,12),1.2393 # DEPENDENCYPART_ARC
(11,13),2.4552 # DEPENDENCYPART_ARC
(11,14),1.50892 # DEPENDENCYPART_ARC
(11,15),-0.849867 # DEPENDENCYPART_ARC
(11,16),-0.983723 # DEPENDENCYPART_ARC
(11,17),-0.92496 # DEPENDENCYPART_ARC
(11,18),-1.45746 # DEPENDENCYPART_ARC
(11,19),-1.1771 # DEPENDENCYPART_ARC
(11,20),-1.67011 # DEPENDENCYPART_ARC
(11,21),-1.85179 # DEPENDENCYPART_ARC
(11,22),-3.5736 # DEPENDENCYPART_ARC
(11,23),-2.15269 # DEPENDENCYPART_ARC
(11,24),-2.32858 # DEPENDENCYPART_ARC
(11,25),-2.59634 # DEPENDENCYPART_ARC
(11,26),-2.51172 # DEPENDENCYPART_ARC
(11,27),-0.481326 # DEPENDENCYPART_ARC
(12,1),-0.463196 # DEPENDENCYPART_ARC
(12,2),-0.690008 # DEPENDENCYPART_ARC
(12,3),-0.392002 # DEPENDENCYPART_ARC
(12,4),0.955369 # DEPENDENCYPART_ARC
(12,5),-0.537841 # DEPENDENCYPART_ARC
(12,6),-1.4051 # DEPENDENCYPART_ARC
(12,7),2.38242 # DEPENDENCYPART_ARC
(12,8),3.12746 # DEPENDENCYPART_ARC
(12,9),3.44739 # DEPENDENCYPART_ARC
(12,10),3.75468 # DEPENDENCYPART_ARC
(12,11),4.17332 # DEPENDENCYPART_ARC
(12,13),4.45859 # DEPENDENCYPART_ARC
(12,14),3.22831 # DEPENDENCYPART_ARC
(12,15),1.20901 # DEPENDENCYPART_ARC
(12,16),0.908029 # DEPENDENCYPART_ARC
(12,17),0.923845 # DEPENDENCYPART_ARC
(12,18),0.585369 # DEPENDENCYPART_ARC
(12,19),1.0343 # DEPENDENCYPART_ARC
(12,20),0.326166 # DEPENDENCYPART_ARC
(12,21),0.0736235 # DEPENDENCYPART_ARC
(12,22),-1.23279 # DEPENDENCYPART_ARC
(12,23),-0.0987045 # DEPENDENCYPART_ARC
(12,24),-0.464657 # DEPENDENCYPART_ARC
(12,25),-0.549121 # DEPENDENCYPART_ARC
(12,26),-0.76056 # DEPENDENCYPART_ARC
(12,27),1.15442 # DEPENDENCYPART_ARC
(13,1),-2.86583 # DEPENDENCYPART_ARC
(13,2),-3.75748 # DEPENDENCYPART_ARC
(13,3),-1.78655 # DEPENDENCYPART_ARC
(13,4),-0.290857 # DEPENDENCYPART_ARC
(13,5),-1.89294 # DEPENDENCYPART_ARC
(13,6),-2.87933 # DEPENDENCYPART_ARC
(13,7),-0.896922 # DEPENDENCYPART_ARC
(13,8),1.83955 # DEPENDENCYPART_ARC
(13,9),1.32753 # DEPENDENCYPART_ARC
(13,10),1.29158 # DEPENDENCYPART_ARC
(13,11),1.78829 # DEPENDENCYPART_ARC
(13,12),2.15501 # DEPENDENCYPART_ARC
(13,14),-0.0976916 # DEPENDENCYPART_ARC
(13,15),-1.03715 # DEPENDENCYPART_ARC
(13,16),-1.48461 # DEPENDENCYPART_ARC
(13,17),-2.03632 # DEPENDENCYPART_ARC
(13,18),-1.87685 # DEPENDENCYPART_ARC
(13,19),-1.31997 # DEPENDENCYPART_ARC
(13,20),-2.04027 # DEPENDENCYPART_ARC
(13,21),-2.03692 # DEPENDENCYPART_ARC
(13,22),-4.30406 # DEPENDENCYPART_ARC
(13,23),-2.42261 # DEPENDENCYPART_ARC
(13,24),-3.01678 # DEPENDENCYPART_ARC
(13,25),-3.13337 # DEPENDENCYPART_ARC
(13,26),-3.12994 # DEPENDENCYPART_ARC
(13,27),-1.30161 # DEPENDENCYPART_ARC
(14,1),-2.20993 # DEPENDENCYPART_ARC
(14,2),-2.28198 # DEPENDENCYPART_ARC
(14,3),-0.24461 # DEPENDENCYPART_ARC
(14,4),-1.09303 # DEPENDENCYPART_ARC
(14,5),-1.43019 # DEPENDENCYPART_ARC
(14,6),-1.19713 # DEPENDENCYPART_ARC
(14,7),-1.49609 # DEPENDENCYPART_ARC
(14,8),-1.08981 # DEPENDENCYPART_ARC
(14,9),-1.44723 # DEPENDENCYPART_ARC
(14,10),-1.25345 # DEPENDENCYPART_ARC
(14,11),-0.920279 # DEPENDENCYPART_ARC
(14,12),-1.01598 # DEPENDENCYPART_ARC
(14,13),-0.424945 # DEPENDENCYPART_ARC
(14,15),-0.305085 # DEPENDENCYPART_ARC
(14,16),-1.586 # DEPENDENCYPART_ARC
(14,17),-1.94745 # DEPENDENCYPART_ARC
(14,18),-2.00715 # DEPENDENCYPART_ARC
(14,19),-1.72426 # DEPENDENCYPART_ARC
(14,20),-2.22217 # DEPENDENCYPART_ARC
(14,21),-1.96023 # DEPENDENCYPART_ARC
(14,22),-2.91544 # DEPENDENCYPART_ARC
(14,23),-2.55152 # DEPENDENCYPART_ARC
(14,24),-2.02592 # DEPENDENCYPART_ARC
(14,25),-2.3771 # DEPENDENCYPART_ARC
(14,26),-3.15315 # DEPENDENCYPART_ARC
(14,27),-2.26044 # DEPENDENCYPART_ARC
(15,1),0.997063 # DEPENDENCYPART_ARC
(15,2),1.83065 # DEPENDENCYPART_ARC
(15,3),1.93594 # DEPENDENCYPART_ARC
(15,4),-1.37031 # DEPENDENCYPART_ARC
(15,5),1.00406 # DEPENDENCYPART_ARC
(15,6),0.618994 # DEPENDENCYPART_ARC
(15,7),0.900582 # DEPENDENCYPART_ARC
(15,8),-0.141592 # DEPENDENCYPART_ARC
(15,9),1.06537 # DEPENDENCYPART_ARC
(15,10),0.806822 # DEPENDENCYPART_ARC
(15,11),1.17288 # DEPENDENCYPART_ARC
(15,12),1.47914 # DEPENDENCYPART_ARC
(15,13),0.883502 # DEPENDENCYPART_ARC
(15,14),2.09385 # DEPENDENCYPART_ARC
(15,16),0.444089 # DEPENDENCYPART_ARC
(15,17),0.252779 # DEPENDENCYPART_ARC
(15,18),1.14453 # DEPENDENCYPART_ARC
(15,19),2.59676 # DEPENDENCYPART_ARC
(15,20),1.24421 # DEPENDENCYPART_ARC
(15,21),2.1282 # DEPENDENCYPART_ARC
(15,22),-1.0938 # DEPENDENCYPART_ARC
(15,23),0.483436 # DEPENDENCYPART_ARC
(15,24),2.11434 # DEPENDENCYPART_ARC
(15,25),1.10744 # DEPENDENCYPART_ARC
(15,26),-1.15765 # DEPENDENCYPART_ARC
(15,27),8.79979 # DEPENDENCYPART_ARC
(16,1),-3.68468 # DEPENDENCYPART_ARC
(16,2),-3.59566 # DEPENDENCYPART_ARC
(16,3),-3.15851 # DEPENDENCYPART_ARC
(16,4),-2.88553 # DEPENDENCYPART_ARC
(16,5),-3.58547 # DEPENDENCYPART_ARC
(16,6),-2.56363 # DEPENDENCYPART_ARC
(16,7),-2.89625 # DEPENDENCYPART_ARC
(16,8),-2.7083 # DEPENDENCYPART_ARC
(16,9),-2.6683 # DEPENDENCYPART_ARC
(16,10),-2.53396 # DEPENDENCYPART_ARC
(16,11),-2.37877 # DEPENDENCYPART_ARC
(16,12),-2.14726 # DEPENDENCYPART_ARC
(16,13),-1.80336 # DEPENDENCYPART_ARC
(16,14),-1.43729 # DEPENDENCYPART_ARC
(16,15),-1.04457 # DEPENDENCYPART_ARC
(16,17),-0.00340976 # DEPENDENCYPART_ARC
(16,18),-1.11663 # DEPENDENCYPART_ARC
(16,19),0.0351114 # DEPENDENCYPART_ARC
(16,20),-1.51085 # DEPENDENCYPART_ARC
(16,21),-0.862522 # DEPENDENCYPART_ARC
(16,22),-1.68488 # DEPENDENCYPART_ARC
(16,23),-1.75521 # DEPENDENCYPART_ARC
(16,24),-1.08584 # DEPENDENCYPART_ARC
(16,25),-2.0473 # DEPENDENCYPART_ARC
(16,26),-2.25877 # DEPENDENCYPART_ARC
(16,27),-1.46983 # DEPENDENCYPART_ARC
(17,1),-4.78812 # DEPENDENCYPART_ARC
(17,2),-5.32672 # DEPENDENCYPART_ARC
(17,3),-2.904 # DEPENDENCYPART_ARC
(17,4),-1.62838 # DEPENDENCYPART_ARC
(17,5),-4.47169 # DEPENDENCYPART_ARC
(17,6),-2.35426 # DEPENDENCYPART_ARC
(17,7),-0.611757 # DEPENDENCYPART_ARC
(17,8),-0.757815 # DEPENDENCYPART_ARC
(17,9),-1.48453 # DEPENDENCYPART_ARC
(17,10),-1.67502 # DEPENDENCYPART_ARC
(17,11),-1.85758 # DEPENDENCYPART_ARC
(17,12),-1.24084 # DEPENDENCYPART_ARC
(17,13),-1.69453 # DEPENDENCYPART_ARC
(17,14),-0.127125 # DEPENDENCYPART_ARC
(17,15),-0.251782 # DEPENDENCYPART_ARC
(17,16),4.80737 # DEPENDENCYPART_ARC
(17,18),0.764125 # DEPENDENCYPART_ARC
(17,19),0.974044 # DEPENDENCYPART_ARC
(17,20),-0.00882476 # DEPENDENCYPART_ARC
(17,21),-0.360232 # DEPENDENCYPART_ARC
(17,22),-1.08356 # DEPENDENCYPART_ARC
(17,23),-0.265003 # DEPENDENCYPART_ARC
(17,24),-1.07268 # DEPENDENCYPART_ARC
(17,25),-0.924898 # DEPENDENCYPART_ARC
(17,26),-0.860546 # DEPENDENCYPART_ARC
(17,27),1.5641 # DEPENDENCYPART_ARC
(18,1),-2.33694 # DEPENDENCYPART_ARC
(18,2),-2.20955 # DEPENDENCYPART_ARC
(18,3),-1.32661 # DEPENDENCYPART_ARC
(18,4),-0.57625 # DEPENDENCYPART_ARC
(18,5),-1.42979 # DEPENDENCYPART_ARC
(18,6),-1.21842 # DEPENDENCYPART_ARC
(18,7),-1.69741 # DEPENDENCYPART_ARC
(18,8),-0.506123 # DEPENDENCYPART_ARC
(18,9),-1.31776 # DEPENDENCYPART_ARC
(18,10),-1.2909 # DEPENDENCYPART_ARC
(18,11),-1.14889 # DEPENDENCYPART_ARC
(18,12),-1.00767 # DEPENDENCYPART_ARC
(18,13),-0.958093 # DEPENDENCYPART_ARC
(18,14),-0.0779481 # DEPENDENCYPART_ARC
(18,15),-0.350807 # DEPENDENCYPART_ARC
(18,16),1.0365 # DEPENDENCYPART_ARC
(18,17),0.771131 # DEPENDENCYPART_ARC
(18,19),0.693838 # DEPENDENCYPART_ARC
(18,20),0.336889 # DEPENDENCYPART_ARC
(18,21),0.117355 # DEPENDENCYPART_ARC
(18,22),-0.229754 # DEPENDENCYPART_ARC
(18,23),-0.757165 # DEPENDENCYPART_ARC
(18,24),-0.539384 # DEPENDENCYPART_ARC
(18,25),-0.495308 # DEPENDENCYPART_ARC
(18,26),-1.09181 # DEPENDENCYPART_ARC
(18,27),1.6096 # DEPENDENCYPART_ARC
(19,1),1.0694 # DEPENDENCYPART_ARC
(19,2),0.685072 # DEPENDENCYPART_ARC
(19,3),1.91407 # DEPENDENCYPART_ARC
(19,4),-0.977528 # DEPENDENCYPART_ARC
(19,5),0.848563 # DEPENDENCYPART_ARC
(19,6),-0.341815 # DEPENDENCYPART_ARC
(19,7),1.13707 # DEPENDENCYPART_ARC
(19,8),0.791128 # DEPENDENCYPART_ARC
(19,9),1.34215 # DEPENDENCYPART_ARC
(19,10),2.16213 # DEPENDENCYPART_ARC
(19,11),1.7764 # DEPENDENCYPART_ARC
(19,12),1.58012 # DEPENDENCYPART_ARC
(19,13),0.95343 # DEPENDENCYPART_ARC
(19,14),1.13155 # DEPENDENCYPART_ARC
