# _root_ MRA Staffing Systems signs up nurses for paid travel , promising annual income up to $ 50,000 and free or subsidized housing .
#goldHeads=3,3,4,0,4,4,4,9,7,4,4,13,11,13,14,15,16,13,22,19,20,18,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,4,4,13,11,16,16,11,16,11,18,19,20,20,4,
(2,6),-0.865506 # DEPENDENCYPART_ARC
(2,7),-1.35159 # DEPENDENCYPART_ARC
(2,8),-1.20014 # DEPENDENCYPART_ARC
(2,9),-1.41329 # DEPENDENCYPART_ARC
(2,10),-1.25506 # DEPENDENCYPART_ARC
(2,11),-1.60352 # DEPENDENCYPART_ARC
(2,12),-1.75644 # DEPENDENCYPART_ARC
(2,13),-2.99908 # DEPENDENCYPART_ARC
(2,14),-2.6288 # DEPENDENCYPART_ARC
(2,15),-2.04367 # DEPENDENCYPART_ARC
(2,16),-2.83308 # DEPENDENCYPART_ARC
(2,17),-2.61323 # DEPENDENCYPART_ARC
(2,18),-0.976659 # DEPENDENCYPART_ARC
(2,19),-2.56806 # DEPENDENCYPART_ARC
(2,20),-2.69314 # DEPENDENCYPART_ARC
(2,21),-2.28937 # DEPENDENCYPART_ARC
(2,22),-5.90524 # DEPENDENCYPART_ARC
(2,23),-0.516422 # DEPENDENCYPART_ARC
(3,1),4.46337 # DEPENDENCYPART_ARC
(3,2),4.84122 # DEPENDENCYPART_ARC
(3,4),1.49145 # DEPENDENCYPART_ARC
(3,5),0.618914 # DEPENDENCYPART_ARC
(3,6),0.291802 # DEPENDENCYPART_ARC
(3,7),0.134629 # DEPENDENCYPART_ARC
(3,8),-0.0441882 # DEPENDENCYPART_ARC
(3,9),-0.624157 # DEPENDENCYPART_ARC
(3,10),-0.315807 # DEPENDENCYPART_ARC
(3,11),-0.331894 # DEPENDENCYPART_ARC
(3,12),-0.646759 # DEPENDENCYPART_ARC
(3,13),-1.64061 # DEPENDENCYPART_ARC
(3,14),-1.36813 # DEPENDENCYPART_ARC
(3,15),-1.08723 # DEPENDENCYPART_ARC
(3,16),-2.00621 # DEPENDENCYPART_ARC
(3,17),-1.56164 # DEPENDENCYPART_ARC
(3,18),-0.151295 # DEPENDENCYPART_ARC
(3,19),-1.53 # DEPENDENCYPART_ARC
(3,20),-1.69758 # DEPENDENCYPART_ARC
(3,21),-1.10507 # DEPENDENCYPART_ARC
(3,22),-5.01586 # DEPENDENCYPART_ARC
(3,23),0.0323973 # DEPENDENCYPART_ARC
(4,1),2.26011 # DEPENDENCYPART_ARC
(4,2),2.00345 # DEPENDENCYPART_ARC
(4,3),3.17909 # DEPENDENCYPART_ARC
(4,5),3.22526 # DEPENDENCYPART_ARC
(4,6),2.63441 # DEPENDENCYPART_ARC
(4,7),2.88508 # DEPENDENCYPART_ARC
(4,8),1.48737 # DEPENDENCYPART_ARC
(4,9),1.32806 # DEPENDENCYPART_ARC
(4,10),2.0069 # DEPENDENCYPART_ARC
(4,11),1.52729 # DEPENDENCYPART_ARC
(4,12),-0.540233 # DEPENDENCYPART_ARC
(4,13),-0.33862 # DEPENDENCYPART_ARC
(4,14),1.16505 # DEPENDENCYPART_ARC
(4,15),0.712128 # DEPENDENCYPART_ARC
(4,16),-0.0676788 # DEPENDENCYPART_ARC
(4,17),-0.720621 # DEPENDENCYPART_ARC
(4,18),0.698031 # DEPENDENCYPART_ARC
(4,19),-1.04042 # DEPENDENCYPART_ARC
(4,20),0.0951345 # DEPENDENCYPART_ARC
(4,21),-0.188095 # DEPENDENCYPART_ARC
(4,22),-1.10956 # DEPENDENCYPART_ARC
(4,23),5.25909 # DEPENDENCYPART_ARC
(5,1),-1.01058 # DEPENDENCYPART_ARC
(5,2),-0.671608 # DEPENDENCYPART_ARC
(5,3),-0.596068 # DEPENDENCYPART_ARC
(5,4),-0.211424 # DEPENDENCYPART_ARC
(5,6),1.10866 # DEPENDENCYPART_ARC
(5,7),0.532009 # DEPENDENCYPART_ARC
(5,8),-0.310057 # DEPENDENCYPART_ARC
(5,9),-0.368195 # DEPENDENCYPART_ARC
(5,10),-0.822957 # DEPENDENCYPART_ARC
(5,11),-0.764377 # DEPENDENCYPART_ARC
(5,12),-1.34354 # DEPENDENCYPART_ARC
(5,13),-1.12152 # DEPENDENCYPART_ARC
(5,14),-0.631542 # DEPENDENCYPART_ARC
(5,15),-0.129365 # DEPENDENCYPART_ARC
(5,16),-1.92877 # DEPENDENCYPART_ARC
(5,17),-2.29272 # DEPENDENCYPART_ARC
(5,18),-1.03217 # DEPENDENCYPART_ARC
(5,19),-2.19766 # DEPENDENCYPART_ARC
(5,20),-1.31379 # DEPENDENCYPART_ARC
(5,21),-1.90735 # DEPENDENCYPART_ARC
(5,22),-2.1881 # DEPENDENCYPART_ARC
(5,23),-1.53657 # DEPENDENCYPART_ARC
(6,1),0.839612 # DEPENDENCYPART_ARC
(6,2),0.837455 # DEPENDENCYPART_ARC
(6,3),0.525784 # DEPENDENCYPART_ARC
(6,4),0.174664 # DEPENDENCYPART_ARC
(6,5),1.29407 # DEPENDENCYPART_ARC
(6,7),3.19197 # DEPENDENCYPART_ARC
(6,8),1.65341 # DEPENDENCYPART_ARC
(6,9),0.874278 # DEPENDENCYPART_ARC
(6,10),1.53236 # DEPENDENCYPART_ARC
(6,11),0.585005 # DEPENDENCYPART_ARC
(6,12),0.286835 # DEPENDENCYPART_ARC
(6,13),0.121902 # DEPENDENCYPART_ARC
(6,14),0.837894 # DEPENDENCYPART_ARC
(6,15),-0.335373 # DEPENDENCYPART_ARC
(6,16),-1.41099 # DEPENDENCYPART_ARC
(6,17),-0.589726 # DEPENDENCYPART_ARC
(6,18),0.757528 # DEPENDENCYPART_ARC
(6,19),-0.975896 # DEPENDENCYPART_ARC
(6,20),0.197488 # DEPENDENCYPART_ARC
(6,21),-0.132665 # DEPENDENCYPART_ARC
(6,22),-0.974109 # DEPENDENCYPART_ARC
(6,23),0.275813 # DEPENDENCYPART_ARC
(7,1),-1.21587 # DEPENDENCYPART_ARC
(7,2),-1.32234 # DEPENDENCYPART_ARC
(7,3),-1.1698 # DEPENDENCYPART_ARC
(7,4),-0.526839 # DEPENDENCYPART_ARC
(7,5),-0.379804 # DEPENDENCYPART_ARC
(7,6),-0.203987 # DEPENDENCYPART_ARC
(7,8),1.41761 # DEPENDENCYPART_ARC
(7,9),3.47774 # DEPENDENCYPART_ARC
(7,10),0.466713 # DEPENDENCYPART_ARC
(7,11),-0.0964369 # DEPENDENCYPART_ARC
(7,12),-0.60211 # DEPENDENCYPART_ARC
(7,13),0.318074 # DEPENDENCYPART_ARC
(7,14),-0.83035 # DEPENDENCYPART_ARC
(7,15),-0.975192 # DEPENDENCYPART_ARC
(7,16),-0.877786 # DEPENDENCYPART_ARC
(7,17),-1.4369 # DEPENDENCYPART_ARC
(7,18),-0.280714 # DEPENDENCYPART_ARC
(7,19),-1.74106 # DEPENDENCYPART_ARC
(7,20),-0.568746 # DEPENDENCYPART_ARC
(7,21),-1.68711 # DEPENDENCYPART_ARC
(7,22),-1.40649 # DEPENDENCYPART_ARC
(7,23),0.305165 # DEPENDENCYPART_ARC
(8,1),-0.837699 # DEPENDENCYPART_ARC
(8,2),-0.921834 # DEPENDENCYPART_ARC
(8,3),-0.889222 # DEPENDENCYPART_ARC
(8,4),-1.18188 # DEPENDENCYPART_ARC
(8,5),-0.63349 # DEPENDENCYPART_ARC
(8,6),-0.573511 # DEPENDENCYPART_ARC
(8,7),0.23934 # DEPENDENCYPART_ARC
(8,9),1.86 # DEPENDENCYPART_ARC
(8,10),1.05204 # DEPENDENCYPART_ARC
(8,11),0.778877 # DEPENDENCYPART_ARC
(8,12),-0.302864 # DEPENDENCYPART_ARC
(8,13),-0.187102 # DEPENDENCYPART_ARC
(8,14),0.366698 # DEPENDENCYPART_ARC
(8,15),0.414242 # DEPENDENCYPART_ARC
(8,16),-0.383145 # DEPENDENCYPART_ARC
(8,17),-1.12656 # DEPENDENCYPART_ARC
(8,18),-0.139663 # DEPENDENCYPART_ARC
(8,19),-1.42352 # DEPENDENCYPART_ARC
(8,20),0.145653 # DEPENDENCYPART_ARC
(8,21),-1.17823 # DEPENDENCYPART_ARC
(8,22),-2.08797 # DEPENDENCYPART_ARC
(8,23),0.687083 # DEPENDENCYPART_ARC
(9,1),-0.317213 # DEPENDENCYPART_ARC
(9,2),-0.353153 # DEPENDENCYPART_ARC
(9,3),-0.497424 # DEPENDENCYPART_ARC
(9,4),-0.205801 # DEPENDENCYPART_ARC
(9,5),0.28893 # DEPENDENCYPART_ARC
(9,6),0.859302 # DEPENDENCYPART_ARC
(9,7),1.07962 # DEPENDENCYPART_ARC
(9,8),3.61833 # DEPENDENCYPART_ARC
(9,10),1.20928 # DEPENDENCYPART_ARC
(9,11),0.909037 # DEPENDENCYPART_ARC
(9,12),0.704538 # DEPENDENCYPART_ARC
(9,13),0.659455 # DEPENDENCYPART_ARC
(9,14),0.552603 # DEPENDENCYPART_ARC
(9,15),0.577834 # DEPENDENCYPART_ARC
(9,16),-0.587597 # DEPENDENCYPART_ARC
(9,17),0.11344 # DEPENDENCYPART_ARC
(9,18),0.438053 # DEPENDENCYPART_ARC
(9,19),-0.430522 # DEPENDENCYPART_ARC
(9,20),-0.151553 # DEPENDENCYPART_ARC
(9,21),-0.504904 # DEPENDENCYPART_ARC
(9,22),-0.971604 # DEPENDENCYPART_ARC
(9,23),0.851421 # DEPENDENCYPART_ARC
(10,1),-2.33962 # DEPENDENCYPART_ARC
(10,2),-2.2654 # DEPENDENCYPART_ARC
(10,3),-2.1207 # DEPENDENCYPART_ARC
(10,4),-1.71152 # DEPENDENCYPART_ARC
(10,5),-1.80409 # DEPENDENCYPART_ARC
(10,6),-1.64125 # DEPENDENCYPART_ARC
(10,7),-1.1239 # DEPENDENCYPART_ARC
(10,8),-1.00388 # DEPENDENCYPART_ARC
(10,9),-0.947734 # DEPENDENCYPART_ARC
(10,11),-0.362091 # DEPENDENCYPART_ARC
(10,12),-0.947143 # DEPENDENCYPART_ARC
(10,13),-1.57291 # DEPENDENCYPART_ARC
(10,14),-1.32848 # DEPENDENCYPART_ARC
(10,15),-1.68648 # DEPENDENCYPART_ARC
(10,16),-2.29881 # DEPENDENCYPART_ARC
(10,17),-2.43115 # DEPENDENCYPART_ARC
(10,18),-1.87238 # DEPENDENCYPART_ARC
(10,19),-2.35725 # DEPENDENCYPART_ARC
(10,20),-1.97035 # DEPENDENCYPART_ARC
(10,21),-2.27382 # DEPENDENCYPART_ARC
(10,22),-2.87446 # DEPENDENCYPART_ARC
(10,23),-1.87516 # DEPENDENCYPART_ARC
(11,1),-1.01527 # DEPENDENCYPART_ARC
(11,2),-1.15889 # DEPENDENCYPART_ARC
(11,3),-1.07821 # DEPENDENCYPART_ARC
(11,4),-1.15951 # DEPENDENCYPART_ARC
(11,5),-0.868781 # DEPENDENCYPART_ARC
(11,6),-0.181648 # DEPENDENCYPART_ARC
(11,7),-0.340725 # DEPENDENCYPART_ARC
(11,8),0.0113516 # DEPENDENCYPART_ARC
(11,9),-0.48677 # DEPENDENCYPART_ARC
(11,10),0.36229 # DEPENDENCYPART_ARC
(11,12),1.77997 # DEPENDENCYPART_ARC
(11,13),3.20813 # DEPENDENCYPART_ARC
(11,14),2.51525 # DEPENDENCYPART_ARC
(11,15),1.8324 # DEPENDENCYPART_ARC
(11,16),0.842623 # DEPENDENCYPART_ARC
(11,17),0.130152 # DEPENDENCYPART_ARC
(11,18),1.60813 # DEPENDENCYPART_ARC
(11,19),0.119695 # DEPENDENCYPART_ARC
(11,20),0.942298 # DEPENDENCYPART_ARC
(11,21),0.248143 # DEPENDENCYPART_ARC
(11,22),-0.734298 # DEPENDENCYPART_ARC
(11,23),0.41403 # DEPENDENCYPART_ARC
(12,1),-1.68293 # DEPENDENCYPART_ARC
(12,2),-1.63319 # DEPENDENCYPART_ARC
(12,3),-2.03071 # DEPENDENCYPART_ARC
(12,4),-2.01364 # DEPENDENCYPART_ARC
(12,5),-1.58187 # DEPENDENCYPART_ARC
(12,6),-1.61016 # DEPENDENCYPART_ARC
(12,7),-1.22107 # DEPENDENCYPART_ARC
(12,8),-1.283 # DEPENDENCYPART_ARC
(12,9),-0.711744 # DEPENDENCYPART_ARC
(12,10),-0.198494 # DEPENDENCYPART_ARC
(12,11),0.359434 # DEPENDENCYPART_ARC
(12,13),1.67605 # DEPENDENCYPART_ARC
(12,14),0.0840293 # DEPENDENCYPART_ARC
(12,15),0.343576 # DEPENDENCYPART_ARC
(12,16),-0.839956 # DEPENDENCYPART_ARC
(12,17),-0.830979 # DEPENDENCYPART_ARC
(12,18),0.666584 # DEPENDENCYPART_ARC
(12,19),-0.82972 # DEPENDENCYPART_ARC
(12,20),-0.271819 # DEPENDENCYPART_ARC
(12,21),-0.837011 # DEPENDENCYPART_ARC
(12,22),-1.28022 # DEPENDENCYPART_ARC
(12,23),0.0926904 # DEPENDENCYPART_ARC
(13,1),-1.69135 # DEPENDENCYPART_ARC
(13,2),-1.49514 # DEPENDENCYPART_ARC
(13,3),-1.22731 # DEPENDENCYPART_ARC
(13,4),-0.769305 # DEPENDENCYPART_ARC
(13,5),-0.63884 # DEPENDENCYPART_ARC
(13,6),-0.10286 # DEPENDENCYPART_ARC
(13,7),-0.207947 # DEPENDENCYPART_ARC
(13,8),1.6971 # DEPENDENCYPART_ARC
(13,9),1.2217 # DEPENDENCYPART_ARC
(13,10),-0.00808841 # DEPENDENCYPART_ARC
(13,11),1.88606 # DEPENDENCYPART_ARC
(13,12),4.49605 # DEPENDENCYPART_ARC
(13,14),2.20948 # DEPENDENCYPART_ARC
(13,15),0.707381 # DEPENDENCYPART_ARC
(13,16),0.384301 # DEPENDENCYPART_ARC
(13,17),0.857347 # DEPENDENCYPART_ARC
(13,18),1.38259 # DEPENDENCYPART_ARC
(13,19),-0.344088 # DEPENDENCYPART_ARC
(13,20),0.678643 # DEPENDENCYPART_ARC
(13,21),0.142665 # DEPENDENCYPART_ARC
(13,22),-0.484032 # DEPENDENCYPART_ARC
(13,23),0.378254 # DEPENDENCYPART_ARC
(14,1),-1.60331 # DEPENDENCYPART_ARC
(14,2),-1.66037 # DEPENDENCYPART_ARC
(14,3),-1.63539 # DEPENDENCYPART_ARC
(14,4),-0.895682 # DEPENDENCYPART_ARC
(14,5),-0.789266 # DEPENDENCYPART_ARC
(14,6),-0.774385 # DEPENDENCYPART_ARC
(14,7),-0.136128 # DEPENDENCYPART_ARC
(14,8),-0.335042 # DEPENDENCYPART_ARC
(14,9),-0.759713 # DEPENDENCYPART_ARC
(14,10),-0.32211 # DEPENDENCYPART_ARC
(14,11),-0.265404 # DEPENDENCYPART_ARC
(14,12),0.167955 # DEPENDENCYPART_ARC
(14,13),0.697237 # DEPENDENCYPART_ARC
(14,15),2.42747 # DEPENDENCYPART_ARC
(14,16),0.997791 # DEPENDENCYPART_ARC
(14,17),0.206134 # DEPENDENCYPART_ARC
(14,18),0.0905178 # DEPENDENCYPART_ARC
(14,19),-0.282363 # DEPENDENCYPART_ARC
(14,20),-0.0359118 # DEPENDENCYPART_ARC
(14,21),-0.901462 # DEPENDENCYPART_ARC
(14,22),-0.101051 # DEPENDENCYPART_ARC
(14,23),-0.163618 # DEPENDENCYPART_ARC
(15,1),-1.91122 # DEPENDENCYPART_ARC
(15,2),-1.88556 # DEPENDENCYPART_ARC
(15,3),-1.87533 # DEPENDENCYPART_ARC
(15,4),-2.02999 # DEPENDENCYPART_ARC
(15,5),-2.17985 # DEPENDENCYPART_ARC
(15,6),-1.83918 # DEPENDENCYPART_ARC
(15,7),-1.71701 # DEPENDENCYPART_ARC
(15,8),-1.84202 # DEPENDENCYPART_ARC
(15,9),-1.46117 # DEPENDENCYPART_ARC
(15,10),-0.883295 # DEPENDENCYPART_ARC
(15,11),-1.20026 # DEPENDENCYPART_ARC
(15,12),-0.538301 # DEPENDENCYPART_ARC
(15,13),-0.686598 # DEPENDENCYPART_ARC
(15,14),0.289898 # DEPENDENCYPART_ARC
(15,16),1.9443 # DEPENDENCYPART_ARC
(15,17),0.901168 # DEPENDENCYPART_ARC
(15,18),0.53459 # DEPENDENCYPART_ARC
(15,19),-0.173974 # DEPENDENCYPART_ARC
(15,20),-0.409366 # DEPENDENCYPART_ARC
(15,21),-0.621347 # DEPENDENCYPART_ARC
(15,22),0.150453 # DEPENDENCYPART_ARC
(15,23),-0.0665445 # DEPENDENCYPART_ARC
(16,1),-2.30974 # DEPENDENCYPART_ARC
(16,2),-2.20209 # DEPENDENCYPART_ARC
(16,3),-2.0165 # DEPENDENCYPART_ARC
(16,4),-1.63296 # DEPENDENCYPART_ARC
(16,5),-0.995392 # DEPENDENCYPART_ARC
(16,6),-1.28861 # DEPENDENCYPART_ARC
(16,7),-1.44144 # DEPENDENCYPART_ARC
(16,8),-0.812567 # DEPENDENCYPART_ARC
(16,9),-0.984386 # DEPENDENCYPART_ARC
(16,10),-0.943497 # DEPENDENCYPART_ARC
(16,11),-0.439813 # DEPENDENCYPART_ARC
(16,12),0.388793 # DEPENDENCYPART_ARC
(16,13),0.715483 # DEPENDENCYPART_ARC
(16,14),3.08046 # DEPENDENCYPART_ARC
(16,15),3.49572 # DEPENDENCYPART_ARC
(16,17),4.0474 # DEPENDENCYPART_ARC
(16,18),1.25041 # DEPENDENCYPART_ARC
(16,19),1.48531 # DEPENDENCYPART_ARC
(16,20),1.23522 # DEPENDENCYPART_ARC
(16,21),1.13846 # DEPENDENCYPART_ARC
(16,22),0.37025 # DEPENDENCYPART_ARC
(16,23),0.268781 # DEPENDENCYPART_ARC
(17,1),-2.4023 # DEPENDENCYPART_ARC
(17,2),-2.30191 # DEPENDENCYPART_ARC
(17,3),-2.20028 # DEPENDENCYPART_ARC
(17,4),-2.16604 # DEPENDENCYPART_ARC
(17,5),-1.24705 # DEPENDENCYPART_ARC
(17,6),-1.91001 # DEPENDENCYPART_ARC
(17,7),-1.75281 # DEPENDENCYPART_ARC
(17,8),-1.393 # DEPENDENCYPART_ARC
(17,9),-1.85962 # DEPENDENCYPART_ARC
(17,10),-1.46197 # DEPENDENCYPART_ARC
(17,11),-1.15042 # DEPENDENCYPART_ARC
(17,12),-0.168358 # DEPENDENCYPART_ARC
(17,13),-0.79269 # DEPENDENCYPART_ARC
(17,14),0.918532 # DEPENDENCYPART_ARC
(17,15),0.913636 # DEPENDENCYPART_ARC
(17,16),0.831934 # DEPENDENCYPART_ARC
(17,18),0.744141 # DEPENDENCYPART_ARC
(17,19),0.0617154 # DEPENDENCYPART_ARC
(17,20),0.287666 # DEPENDENCYPART_ARC
(17,21),-0.393675 # DEPENDENCYPART_ARC
(17,22),-1.0068 # DEPENDENCYPART_ARC
(17,23),-0.398858 # DEPENDENCYPART_ARC
(18,1),-1.33581 # DEPENDENCYPART_ARC
(18,2),-1.29134 # DEPENDENCYPART_ARC
(18,3),-1.23669 # DEPENDENCYPART_ARC
(18,4),-1.53847 # DEPENDENCYPART_ARC
(18,5),-1.74376 # DEPENDENCYPART_ARC
(18,6),-1.23964 # DEPENDENCYPART_ARC
(18,7),-1.06118 # DEPENDENCYPART_ARC
(18,8),-1.42502 # DEPENDENCYPART_ARC
(18,9),-0.869972 # DEPENDENCYPART_ARC
(18,10),-1.45476 # DEPENDENCYPART_ARC
(18,11),-0.491015 # DEPENDENCYPART_ARC
(18,12),-0.941381 # DEPENDENCYPART_ARC
(18,13),-0.60174 # DEPENDENCYPART_ARC
(18,14),-0.383491 # DEPENDENCYPART_ARC
(18,15),-0.328711 # DEPENDENCYPART_ARC
(18,16),-0.119941 # DEPENDENCYPART_ARC
(18,17),0.19699 # DEPENDENCYPART_ARC
(18,19),1.6724 # DEPENDENCYPART_ARC
(18,20),1.06254 # DEPENDENCYPART_ARC
(18,21),1.26193 # DEPENDENCYPART_ARC
(18,22),1.46824 # DEPENDENCYPART_ARC
(18,23),-0.157438 # DEPENDENCYPART_ARC
(19,1),-2.86631 # DEPENDENCYPART_ARC
(19,2),-3.05211 # DEPENDENCYPART_ARC
(19,3),-3.46569 # DEPENDENCYPART_ARC
(19,4),-3.00437 # DEPENDENCYPART_ARC
(19,5),-2.63907 # DEPENDENCYPART_ARC
(19,6),-2.73756 # DEPENDENCYPART_ARC
(19,7),-2.71135 # DEPENDENCYPART_ARC
(19,8),-2.529 # DEPENDENCYPART_ARC
(19,9),-1.99725 # DEPENDENCYPART_ARC
(19,10),-2.23421 # DEPENDENCYPART_ARC
(19,11),-2.18017 # DEPENDENCYPART_ARC
(19,12),-1.50765 # DEPENDENCYPART_ARC
(19,13),-1.52985 # DEPENDENCYPART_ARC
(19,14),-0.891983 # DEPENDENCYPART_ARC
(19,15),-0.823049 # DEPENDENCYPART_ARC
(19,16),0.0903299 # DEPENDENCYPART_ARC
(19,17),0.129729 # DEPENDENCYPART_ARC
(19,18),0.485208 # DEPENDENCYPART_ARC
(19,20),2.98242 # DEPENDENCYPART_ARC
(19,21),1.60445 # DEPENDENCYPART_ARC
(19,22),0.889354 # DEPENDENCYPART_ARC
(19,23),0.616594 # DEPENDENCYPART_ARC
(20,1),-2.21373 # DEPENDENCYPART_ARC
(20,2),-2.09241 # DEPENDENCYPART_ARC
(20,3),-2.0391 # DEPENDENCYPART_ARC
(20,4),-2.1105 # DEPENDENCYPART_ARC
(20,5),-2.29074 # DEPENDENCYPART_ARC
(20,6),-1.97966 # DEPENDENCYPART_ARC
(20,7),-1.57456 # DEPENDENCYPART_ARC
(20,8),-1.9062 # DEPENDENCYPART_ARC
(20,9),-1.97532 # DEPENDENCYPART_ARC
(20,10),-1.90231 # DEPENDENCYPART_ARC
(20,11),-1.11195 # DEPENDENCYPART_ARC
(20,12),-1.49394 # DEPENDENCYPART_ARC
(20,13),-1.50125 # DEPENDENCYPART_ARC
(20,14),-0.807362 # DEPENDENCYPART_ARC
(20,15),-1.21032 # DEPENDENCYPART_ARC
(20,16),-0.678836 # DEPENDENCYPART_ARC
(20,17),-0.613784 # DEPENDENCYPART_ARC
(20,18),-0.574935 # DEPENDENCYPART_ARC
(20,19),0.0216133 # DEPENDENCYPART_ARC
(20,21),4.06153 # DEPENDENCYPART_ARC
(20,22),2.62502 # DEPENDENCYPART_ARC
(20,23),0.840907 # DEPENDENCYPART_ARC
(21,1),-1.2358 # DEPENDENCYPART_ARC
(21,2),-1.36781 # DEPENDENCYPART_ARC
(21,3),-1.20579 # DEPENDENCYPART_ARC
(21,4),-1.87755 # DEPENDENCYPART_ARC
(21,5),-1.92673 # DEPENDENCYPART_ARC
(21,6),-1.27182 # DEPENDENCYPART_ARC
(21,7),-1.4347 # DEPENDENCYPART_ARC
(21,8),-1.71581 # DEPENDENCYPART_ARC
(21,9),-1.40791 # DEPENDENCYPART_ARC
(21,10),-1.14911 # DEPENDENCYPART_ARC
(21,11),-0.628141 # DEPENDENCYPART_ARC
(21,12),-0.912869 # DEPENDENCYPART_ARC
(21,13),-0.874497 # DEPENDENCYPART_ARC
(21,14),-0.441791 # DEPENDENCYPART_ARC
(21,15),-0.679665 # DEPENDENCYPART_ARC
(21,16),-0.896892 # DEPENDENCYPART_ARC
(21,17),-0.680463 # DEPENDENCYPART_ARC
(21,18),-0.835771 # DEPENDENCYPART_ARC
(21,19),-0.156318 # DEPENDENCYPART_ARC
(21,20),0.364188 # DEPENDENCYPART_ARC
(21,22),2.32564 # DEPENDENCYPART_ARC
(21,23),0.825777 # DEPENDENCYPART_ARC
(22,1),-5.0984 # DEPENDENCYPART_ARC
(22,2),-4.85721 # DEPENDENCYPART_ARC
(22,3),-5.06624 # DEPENDENCYPART_ARC
(22,4),-2.30245 # DEPENDENCYPART_ARC
(22,5),-2.47678 # DEPENDENCYPART_ARC
(22,6),-2.59241 # DEPENDENCYPART_ARC
(22,7),-2.47058 # DEPENDENCYPART_ARC
(22,8),-0.817352 # DEPENDENCYPART_ARC
(22,9),-2.21791 # DEPENDENCYPART_ARC
(22,10),-2.41109 # DEPENDENCYPART_ARC
(22,11),-1.60448 # DEPENDENCYPART_ARC
(22,12),0.0505867 # DEPENDENCYPART_ARC
(22,13),-1.94926 # DEPENDENCYPART_ARC
(22,14),-1.06995 # DEPENDENCYPART_ARC
(22,15),-1.44068 # DEPENDENCYPART_ARC
(22,16),-0.279254 # DEPENDENCYPART_ARC
(22,17),0.593012 # DEPENDENCYPART_ARC
(22,18),-0.760605 # DEPENDENCYPART_ARC
(22,19),1.99469 # DEPENDENCYPART_ARC
(22,20),0.974177 # DEPENDENCYPART_ARC
(22,21),3.11552 # DEPENDENCYPART_ARC
(22,23),0.880495 # DEPENDENCYPART_ARC
(23,1),-2.83134 # DEPENDENCYPART_ARC
(23,2),-3.01511 # DEPENDENCYPART_ARC
(23,3),-2.90971 # DEPENDENCYPART_ARC
(23,4),-2.44024 # DEPENDENCYPART_ARC
