# _root_ Paris , which has been the center of speculation fever in recent weeks , also was hard hit .
#goldHeads=16,1,4,1,4,7,5,7,10,8,5,13,11,1,16,0,18,16,16,
#predictedHeads=16,1,4,1,4,7,5,7,10,8,7,13,11,1,16,0,16,16,16,
(3,5),-0.621333 # DEPENDENCYPART_ARC
(3,6),-1.57693 # DEPENDENCYPART_ARC
(3,7),-0.947895 # DEPENDENCYPART_ARC
(3,8),-1.32814 # DEPENDENCYPART_ARC
(3,9),-1.51409 # DEPENDENCYPART_ARC
(3,10),-1.59008 # DEPENDENCYPART_ARC
(3,11),-1.98391 # DEPENDENCYPART_ARC
(3,12),-2.27579 # DEPENDENCYPART_ARC
(3,13),-2.43683 # DEPENDENCYPART_ARC
(3,14),-1.73552 # DEPENDENCYPART_ARC
(3,15),-2.66946 # DEPENDENCYPART_ARC
(3,16),-2.83525 # DEPENDENCYPART_ARC
(3,17),-2.84662 # DEPENDENCYPART_ARC
(3,18),-2.68008 # DEPENDENCYPART_ARC
(3,19),-2.17965 # DEPENDENCYPART_ARC
(4,1),0.423702 # DEPENDENCYPART_ARC
(4,2),0.744374 # DEPENDENCYPART_ARC
(4,3),3.53592 # DEPENDENCYPART_ARC
(4,5),4.39141 # DEPENDENCYPART_ARC
(4,6),-0.224305 # DEPENDENCYPART_ARC
(4,7),0.834793 # DEPENDENCYPART_ARC
(4,8),-0.38779 # DEPENDENCYPART_ARC
(4,9),-0.820742 # DEPENDENCYPART_ARC
(4,10),-0.677733 # DEPENDENCYPART_ARC
(4,11),0.448439 # DEPENDENCYPART_ARC
(4,12),-1.44167 # DEPENDENCYPART_ARC
(4,13),-0.196899 # DEPENDENCYPART_ARC
(4,14),0.502291 # DEPENDENCYPART_ARC
(4,15),-0.285612 # DEPENDENCYPART_ARC
(4,16),0.359205 # DEPENDENCYPART_ARC
(4,17),-1.12138 # DEPENDENCYPART_ARC
(4,18),-0.786857 # DEPENDENCYPART_ARC
(4,19),2.59435 # DEPENDENCYPART_ARC
(5,1),-0.0491966 # DEPENDENCYPART_ARC
(5,2),0.406657 # DEPENDENCYPART_ARC
(5,3),1.15683 # DEPENDENCYPART_ARC
(5,4),1.06404 # DEPENDENCYPART_ARC
(5,6),1.45123 # DEPENDENCYPART_ARC
(5,7),2.93231 # DEPENDENCYPART_ARC
(5,8),1.45719 # DEPENDENCYPART_ARC
(5,9),1.34583 # DEPENDENCYPART_ARC
(5,10),2.22834 # DEPENDENCYPART_ARC
(5,11),1.82461 # DEPENDENCYPART_ARC
(5,12),0.679216 # DEPENDENCYPART_ARC
(5,13),1.10679 # DEPENDENCYPART_ARC
(5,14),1.88382 # DEPENDENCYPART_ARC
(5,15),0.570933 # DEPENDENCYPART_ARC
(5,16),-0.372562 # DEPENDENCYPART_ARC
(5,17),0.0729331 # DEPENDENCYPART_ARC
(5,18),-0.0294708 # DEPENDENCYPART_ARC
(5,19),1.93925 # DEPENDENCYPART_ARC
(6,1),-2.08374 # DEPENDENCYPART_ARC
(6,2),-1.61167 # DEPENDENCYPART_ARC
(6,3),-0.500783 # DEPENDENCYPART_ARC
(6,4),-1.46476 # DEPENDENCYPART_ARC
(6,5),-0.605387 # DEPENDENCYPART_ARC
(6,7),0.146617 # DEPENDENCYPART_ARC
(6,8),-0.507069 # DEPENDENCYPART_ARC
(6,9),-0.791851 # DEPENDENCYPART_ARC
(6,10),-1.03729 # DEPENDENCYPART_ARC
(6,11),-1.83673 # DEPENDENCYPART_ARC
(6,12),-1.63948 # DEPENDENCYPART_ARC
(6,13),-1.7664 # DEPENDENCYPART_ARC
(6,14),-1.02042 # DEPENDENCYPART_ARC
(6,15),-1.63424 # DEPENDENCYPART_ARC
(6,16),-2.10935 # DEPENDENCYPART_ARC
(6,17),-2.07025 # DEPENDENCYPART_ARC
(6,18),-2.16648 # DEPENDENCYPART_ARC
(6,19),-1.19299 # DEPENDENCYPART_ARC
(7,1),-3.37746 # DEPENDENCYPART_ARC
(7,2),-1.05508 # DEPENDENCYPART_ARC
(7,3),-0.602778 # DEPENDENCYPART_ARC
(7,4),-0.82767 # DEPENDENCYPART_ARC
(7,5),0.236154 # DEPENDENCYPART_ARC
(7,6),3.7795 # DEPENDENCYPART_ARC
(7,8),3.63738 # DEPENDENCYPART_ARC
(7,9),1.24405 # DEPENDENCYPART_ARC
(7,10),1.21827 # DEPENDENCYPART_ARC
(7,11),2.57068 # DEPENDENCYPART_ARC
(7,12),0.344898 # DEPENDENCYPART_ARC
(7,13),0.568103 # DEPENDENCYPART_ARC
(7,14),1.20523 # DEPENDENCYPART_ARC
(7,15),0.321358 # DEPENDENCYPART_ARC
(7,16),0.825006 # DEPENDENCYPART_ARC
(7,17),0.11769 # DEPENDENCYPART_ARC
(7,18),-0.0191168 # DEPENDENCYPART_ARC
(7,19),1.75203 # DEPENDENCYPART_ARC
(8,1),-1.13224 # DEPENDENCYPART_ARC
(8,2),-1.16379 # DEPENDENCYPART_ARC
(8,3),0.4254 # DEPENDENCYPART_ARC
(8,4),-0.794906 # DEPENDENCYPART_ARC
(8,5),-0.417321 # DEPENDENCYPART_ARC
(8,6),-0.199274 # DEPENDENCYPART_ARC
(8,7),0.65713 # DEPENDENCYPART_ARC
(8,9),2.35097 # DEPENDENCYPART_ARC
(8,10),3.24969 # DEPENDENCYPART_ARC
(8,11),0.447995 # DEPENDENCYPART_ARC
(8,12),-0.594308 # DEPENDENCYPART_ARC
(8,13),0.715512 # DEPENDENCYPART_ARC
(8,14),0.352762 # DEPENDENCYPART_ARC
(8,15),-0.615539 # DEPENDENCYPART_ARC
(8,16),-1.38341 # DEPENDENCYPART_ARC
(8,17),-0.947264 # DEPENDENCYPART_ARC
(8,18),-0.484593 # DEPENDENCYPART_ARC
(8,19),0.365722 # DEPENDENCYPART_ARC
(9,1),-5.3422 # DEPENDENCYPART_ARC
(9,2),-2.69953 # DEPENDENCYPART_ARC
(9,3),-2.44269 # DEPENDENCYPART_ARC
(9,4),-2.48783 # DEPENDENCYPART_ARC
(9,5),-2.15029 # DEPENDENCYPART_ARC
(9,6),0.166467 # DEPENDENCYPART_ARC
(9,7),-1.03336 # DEPENDENCYPART_ARC
(9,8),0.330128 # DEPENDENCYPART_ARC
(9,10),1.8874 # DEPENDENCYPART_ARC
(9,11),0.55859 # DEPENDENCYPART_ARC
(9,12),-0.152926 # DEPENDENCYPART_ARC
(9,13),0.0334452 # DEPENDENCYPART_ARC
(9,14),-0.331003 # DEPENDENCYPART_ARC
(9,15),-0.89622 # DEPENDENCYPART_ARC
(9,16),-0.617796 # DEPENDENCYPART_ARC
(9,17),-1.09701 # DEPENDENCYPART_ARC
(9,18),-1.0036 # DEPENDENCYPART_ARC
(9,19),-0.286579 # DEPENDENCYPART_ARC
(10,1),-3.46039 # DEPENDENCYPART_ARC
(10,2),-1.51834 # DEPENDENCYPART_ARC
(10,3),-0.617254 # DEPENDENCYPART_ARC
(10,4),-0.967863 # DEPENDENCYPART_ARC
(10,5),-0.221356 # DEPENDENCYPART_ARC
(10,6),2.29076 # DEPENDENCYPART_ARC
(10,7),0.945192 # DEPENDENCYPART_ARC
(10,8),0.522991 # DEPENDENCYPART_ARC
(10,9),4.4095 # DEPENDENCYPART_ARC
(10,11),2.24218 # DEPENDENCYPART_ARC
(10,12),0.649426 # DEPENDENCYPART_ARC
(10,13),1.18032 # DEPENDENCYPART_ARC
(10,14),1.00444 # DEPENDENCYPART_ARC
(10,15),0.0559743 # DEPENDENCYPART_ARC
(10,16),0.465297 # DEPENDENCYPART_ARC
(10,17),-0.0388159 # DEPENDENCYPART_ARC
(10,18),-0.406598 # DEPENDENCYPART_ARC
(10,19),1.06968 # DEPENDENCYPART_ARC
(11,1),-1.94671 # DEPENDENCYPART_ARC
(11,2),-1.41835 # DEPENDENCYPART_ARC
(11,3),-0.158606 # DEPENDENCYPART_ARC
(11,4),-1.32891 # DEPENDENCYPART_ARC
(11,5),-0.906028 # DEPENDENCYPART_ARC
(11,6),-0.661027 # DEPENDENCYPART_ARC
(11,7),-0.705028 # DEPENDENCYPART_ARC
(11,8),-0.0399777 # DEPENDENCYPART_ARC
(11,9),-0.665664 # DEPENDENCYPART_ARC
(11,10),-0.156871 # DEPENDENCYPART_ARC
(11,12),1.27789 # DEPENDENCYPART_ARC
(11,13),4.05383 # DEPENDENCYPART_ARC
(11,14),0.668936 # DEPENDENCYPART_ARC
(11,15),-0.292848 # DEPENDENCYPART_ARC
(11,16),-1.17289 # DEPENDENCYPART_ARC
(11,17),-0.67039 # DEPENDENCYPART_ARC
(11,18),-0.57961 # DEPENDENCYPART_ARC
(11,19),-0.420055 # DEPENDENCYPART_ARC
(12,1),-3.65462 # DEPENDENCYPART_ARC
(12,2),-2.6621 # DEPENDENCYPART_ARC
(12,3),-1.83252 # DEPENDENCYPART_ARC
(12,4),-2.97011 # DEPENDENCYPART_ARC
(12,5),-2.73079 # DEPENDENCYPART_ARC
(12,6),-1.39411 # DEPENDENCYPART_ARC
(12,7),-1.48804 # DEPENDENCYPART_ARC
(12,8),-1.80218 # DEPENDENCYPART_ARC
(12,9),-1.17822 # DEPENDENCYPART_ARC
(12,10),-1.1081 # DEPENDENCYPART_ARC
(12,11),-0.53848 # DEPENDENCYPART_ARC
(12,13),0.803783 # DEPENDENCYPART_ARC
(12,14),-0.468071 # DEPENDENCYPART_ARC
(12,15),-0.905047 # DEPENDENCYPART_ARC
(12,16),-0.927646 # DEPENDENCYPART_ARC
(12,17),-1.27917 # DEPENDENCYPART_ARC
(12,18),-1.19608 # DEPENDENCYPART_ARC
(12,19),-0.585901 # DEPENDENCYPART_ARC
(13,1),-3.26741 # DEPENDENCYPART_ARC
(13,2),-1.50127 # DEPENDENCYPART_ARC
(13,3),-1.40307 # DEPENDENCYPART_ARC
(13,4),-1.17905 # DEPENDENCYPART_ARC
(13,5),-1.18242 # DEPENDENCYPART_ARC
(13,6),-1.11362 # DEPENDENCYPART_ARC
(13,7),-0.721753 # DEPENDENCYPART_ARC
(13,8),-0.480214 # DEPENDENCYPART_ARC
(13,9),2.22568 # DEPENDENCYPART_ARC
(13,10),-0.094779 # DEPENDENCYPART_ARC
(13,11),0.164415 # DEPENDENCYPART_ARC
(13,12),4.04451 # DEPENDENCYPART_ARC
(13,14),0.868508 # DEPENDENCYPART_ARC
(13,15),0.197455 # DEPENDENCYPART_ARC
(13,16),0.859791 # DEPENDENCYPART_ARC
(13,17),-0.360884 # DEPENDENCYPART_ARC
(13,18),-0.439073 # DEPENDENCYPART_ARC
(13,19),0.0442093 # DEPENDENCYPART_ARC
(14,1),-2.42728 # DEPENDENCYPART_ARC
(14,2),-0.245317 # DEPENDENCYPART_ARC
(14,3),-1.3932 # DEPENDENCYPART_ARC
(14,4),-1.73257 # DEPENDENCYPART_ARC
(14,5),-0.857551 # DEPENDENCYPART_ARC
(14,6),-1.13805 # DEPENDENCYPART_ARC
(14,7),-1.08121 # DEPENDENCYPART_ARC
(14,8),-1.14613 # DEPENDENCYPART_ARC
(14,9),-1.09127 # DEPENDENCYPART_ARC
(14,10),-0.990591 # DEPENDENCYPART_ARC
(14,11),-0.767986 # DEPENDENCYPART_ARC
(14,12),-0.896677 # DEPENDENCYPART_ARC
(14,13),-0.822804 # DEPENDENCYPART_ARC
(14,15),-0.527452 # DEPENDENCYPART_ARC
(14,16),-0.44113 # DEPENDENCYPART_ARC
(14,17),-1.31763 # DEPENDENCYPART_ARC
(14,18),-1.45097 # DEPENDENCYPART_ARC
(14,19),-1.40114 # DEPENDENCYPART_ARC
(15,1),-2.87609 # DEPENDENCYPART_ARC
(15,2),-2.35425 # DEPENDENCYPART_ARC
(15,3),-2.23933 # DEPENDENCYPART_ARC
(15,4),-2.60745 # DEPENDENCYPART_ARC
(15,5),-2.09377 # DEPENDENCYPART_ARC
(15,6),-1.05177 # DEPENDENCYPART_ARC
(15,7),-2.31459 # DEPENDENCYPART_ARC
(15,8),-1.5624 # DEPENDENCYPART_ARC
(15,9),-2.18733 # DEPENDENCYPART_ARC
(15,10),-2.17358 # DEPENDENCYPART_ARC
(15,11),-1.38858 # DEPENDENCYPART_ARC
(15,12),-0.613945 # DEPENDENCYPART_ARC
(15,13),-0.88976 # DEPENDENCYPART_ARC
(15,14),-0.110223 # DEPENDENCYPART_ARC
(15,16),0.149267 # DEPENDENCYPART_ARC
(15,17),-1.03475 # DEPENDENCYPART_ARC
(15,18),-1.25526 # DEPENDENCYPART_ARC
(15,19),-0.885067 # DEPENDENCYPART_ARC
(16,1),1.34411 # DEPENDENCYPART_ARC
(16,2),0.0837664 # DEPENDENCYPART_ARC
(16,3),1.46815 # DEPENDENCYPART_ARC
(16,4),-0.524131 # DEPENDENCYPART_ARC
(16,5),0.487433 # DEPENDENCYPART_ARC
(16,6),-0.620986 # DEPENDENCYPART_ARC
(16,7),1.71998 # DEPENDENCYPART_ARC
(16,8),-0.299973 # DEPENDENCYPART_ARC
(16,9),1.50077 # DEPENDENCYPART_ARC
(16,10),1.2227 # DEPENDENCYPART_ARC
(16,11),0.61351 # DEPENDENCYPART_ARC
(16,12),0.816058 # DEPENDENCYPART_ARC
(16,13),0.0109223 # DEPENDENCYPART_ARC
(16,14),2.2406 # DEPENDENCYPART_ARC
(16,15),3.14999 # DEPENDENCYPART_ARC
(16,17),3.18381 # DEPENDENCYPART_ARC
(16,18),3.41656 # DEPENDENCYPART_ARC
(16,19),4.30993 # DEPENDENCYPART_ARC
(17,1),-2.97822 # DEPENDENCYPART_ARC
(17,2),-2.38756 # DEPENDENCYPART_ARC
(17,3),-2.4391 # DEPENDENCYPART_ARC
(17,4),-2.65564 # DEPENDENCYPART_ARC
(17,5),-2.18667 # DEPENDENCYPART_ARC
(17,6),-1.41377 # DEPENDENCYPART_ARC
(17,7),-2.3738 # DEPENDENCYPART_ARC
(17,8),-1.76357 # DEPENDENCYPART_ARC
(17,9),-2.35843 # DEPENDENCYPART_ARC
(17,10),-2.34691 # DEPENDENCYPART_ARC
(17,11),-1.4998 # DEPENDENCYPART_ARC
(17,12),-1.02502 # DEPENDENCYPART_ARC
(17,13),-1.26242 # DEPENDENCYPART_ARC
(17,14),-0.888846 # DEPENDENCYPART_ARC
(17,15),-0.144147 # DEPENDENCYPART_ARC
(17,16),-0.297757 # DEPENDENCYPART_ARC
(17,18),0.52767 # DEPENDENCYPART_ARC
(17,19),-0.856568 # DEPENDENCYPART_ARC
(18,1),-0.778053 # DEPENDENCYPART_ARC
(18,2),-1.32179 # DEPENDENCYPART_ARC
(18,3),-0.101371 # DEPENDENCYPART_ARC
(18,4),-0.52132 # DEPENDENCYPART_ARC
(18,5),-0.717674 # DEPENDENCYPART_ARC
(18,6),-0.404213 # DEPENDENCYPART_ARC
(18,7),0.0257552 # DEPENDENCYPART_ARC
(18,8),-0.257606 # DEPENDENCYPART_ARC
(18,9),0.163642 # DEPENDENCYPART_ARC
(18,10),0.00862176 # DEPENDENCYPART_ARC
(18,11),0.315441 # DEPENDENCYPART_ARC
(18,12),0.449276 # DEPENDENCYPART_ARC
(18,13),-0.0475458 # DEPENDENCYPART_ARC
(18,14),0.203826 # DEPENDENCYPART_ARC
(18,15),0.859103 # DEPENDENCYPART_ARC
(18,16),0.340904 # DEPENDENCYPART_ARC
(18,17),2.68951 # DEPENDENCYPART_ARC
(18,19),0.776883 # DEPENDENCYPART_ARC
(19,1),-2.4622 # DEPENDENCYPART_ARC
(19,2),-1.13155 # DEPENDENCYPART_ARC
(19,3),-1.6538 # DEPENDENCYPART_ARC
(19,4),-2.31409 # DEPENDENCYPART_ARC
(19,5),-1.7568 # DEPENDENCYPART_ARC
(19,6),-1.68195 # DEPENDENCYPART_ARC
(19,7),-1.72677 # DEPENDENCYPART_ARC
(19,8),-1.88785 # DEPENDENCYPART_ARC
(19,9),-1.51575 # DEPENDENCYPART_ARC
(19,10),-1.57109 # DEPENDENCYPART_ARC
(19,11),-1.36065 # DEPENDENCYPART_ARC
(19,12),-1.51179 # DEPENDENCYPART_ARC
(19,13),-1.58795 # DEPENDENCYPART_ARC
(19,14),-0.699185 # DEPENDENCYPART_ARC
(19,15),-1.30181 # DEPENDENCYPART_ARC
(19,16),-0.788976 # DEPENDENCYPART_ARC
(19,17),-1.11391 # DEPENDENCYPART_ARC
(19,18),-0.316292 # DEPENDENCYPART_ARC
