# _root_ Hertz Equipment is a major supplier of rental equipment in the U.S. , France , Spain and the U.K .
#goldHeads=2,3,0,6,6,3,6,9,7,3,12,10,12,12,14,14,16,19,17,3,
#predictedHeads=2,3,0,6,6,3,6,9,7,9,12,10,12,12,14,14,16,19,17,3,
(3,18),-1.53116 # DEPENDENCYPART_ARC
(3,19),-2.0555 # DEPENDENCYPART_ARC
(3,20),4.66819 # DEPENDENCYPART_ARC
(4,1),-1.35725 # DEPENDENCYPART_ARC
(4,2),-1.31089 # DEPENDENCYPART_ARC
(4,3),-0.728097 # DEPENDENCYPART_ARC
(4,5),0.68763 # DEPENDENCYPART_ARC
(4,6),0.272218 # DEPENDENCYPART_ARC
(4,7),0.39487 # DEPENDENCYPART_ARC
(4,8),-0.50162 # DEPENDENCYPART_ARC
(4,9),-0.551314 # DEPENDENCYPART_ARC
(4,10),-1.00332 # DEPENDENCYPART_ARC
(4,11),-1.38782 # DEPENDENCYPART_ARC
(4,12),-1.25517 # DEPENDENCYPART_ARC
(4,13),-0.658136 # DEPENDENCYPART_ARC
(4,14),-1.04726 # DEPENDENCYPART_ARC
(4,15),-0.649404 # DEPENDENCYPART_ARC
(4,16),-1.32866 # DEPENDENCYPART_ARC
(4,17),-1.71311 # DEPENDENCYPART_ARC
(4,18),-2.37956 # DEPENDENCYPART_ARC
(4,19),-1.65549 # DEPENDENCYPART_ARC
(4,20),-1.15855 # DEPENDENCYPART_ARC
(5,1),-0.195125 # DEPENDENCYPART_ARC
(5,2),-0.633538 # DEPENDENCYPART_ARC
(5,3),-0.691639 # DEPENDENCYPART_ARC
(5,4),1.87119 # DEPENDENCYPART_ARC
(5,6),1.32383 # DEPENDENCYPART_ARC
(5,7),0.993914 # DEPENDENCYPART_ARC
(5,8),-0.247578 # DEPENDENCYPART_ARC
(5,9),-0.100636 # DEPENDENCYPART_ARC
(5,10),-0.676986 # DEPENDENCYPART_ARC
(5,11),-1.46337 # DEPENDENCYPART_ARC
(5,12),-1.12686 # DEPENDENCYPART_ARC
(5,13),-0.502208 # DEPENDENCYPART_ARC
(5,14),-1.18165 # DEPENDENCYPART_ARC
(5,15),-0.567081 # DEPENDENCYPART_ARC
(5,16),-1.34075 # DEPENDENCYPART_ARC
(5,17),-0.925116 # DEPENDENCYPART_ARC
(5,18),-2.29854 # DEPENDENCYPART_ARC
(5,19),-1.82487 # DEPENDENCYPART_ARC
(5,20),-0.808297 # DEPENDENCYPART_ARC
(6,1),-0.141752 # DEPENDENCYPART_ARC
(6,2),0.112203 # DEPENDENCYPART_ARC
(6,3),-0.002347 # DEPENDENCYPART_ARC
(6,4),4.83509 # DEPENDENCYPART_ARC
(6,5),4.61146 # DEPENDENCYPART_ARC
(6,7),3.56731 # DEPENDENCYPART_ARC
(6,8),0.980853 # DEPENDENCYPART_ARC
(6,9),1.43346 # DEPENDENCYPART_ARC
(6,10),1.69662 # DEPENDENCYPART_ARC
(6,11),-0.00489829 # DEPENDENCYPART_ARC
(6,12),0.304826 # DEPENDENCYPART_ARC
(6,13),1.3597 # DEPENDENCYPART_ARC
(6,14),0.591278 # DEPENDENCYPART_ARC
(6,15),1.23728 # DEPENDENCYPART_ARC
(6,16),-0.169573 # DEPENDENCYPART_ARC
(6,17),0.803882 # DEPENDENCYPART_ARC
(6,18),-0.934 # DEPENDENCYPART_ARC
(6,19),-0.619021 # DEPENDENCYPART_ARC
(6,20),0.606439 # DEPENDENCYPART_ARC
(7,1),-0.879748 # DEPENDENCYPART_ARC
(7,2),-1.01976 # DEPENDENCYPART_ARC
(7,3),-0.827597 # DEPENDENCYPART_ARC
(7,4),-0.332392 # DEPENDENCYPART_ARC
(7,5),-0.688258 # DEPENDENCYPART_ARC
(7,6),0.220733 # DEPENDENCYPART_ARC
(7,8),1.52836 # DEPENDENCYPART_ARC
(7,9),4.02363 # DEPENDENCYPART_ARC
(7,10),0.913462 # DEPENDENCYPART_ARC
(7,11),-1.2277 # DEPENDENCYPART_ARC
(7,12),0.386646 # DEPENDENCYPART_ARC
(7,13),0.367913 # DEPENDENCYPART_ARC
(7,14),-1.02207 # DEPENDENCYPART_ARC
(7,15),0.175104 # DEPENDENCYPART_ARC
(7,16),-2.73365 # DEPENDENCYPART_ARC
(7,17),-0.588672 # DEPENDENCYPART_ARC
(7,18),-2.83449 # DEPENDENCYPART_ARC
(7,19),-4.40678 # DEPENDENCYPART_ARC
(7,20),-1.02921 # DEPENDENCYPART_ARC
(8,1),-1.01913 # DEPENDENCYPART_ARC
(8,2),-1.54429 # DEPENDENCYPART_ARC
(8,3),-1.41087 # DEPENDENCYPART_ARC
(8,4),0.797728 # DEPENDENCYPART_ARC
(8,5),0.539169 # DEPENDENCYPART_ARC
(8,6),-0.161791 # DEPENDENCYPART_ARC
(8,7),0.602148 # DEPENDENCYPART_ARC
(8,9),1.11656 # DEPENDENCYPART_ARC
(8,10),-0.479239 # DEPENDENCYPART_ARC
(8,11),-1.35107 # DEPENDENCYPART_ARC
(8,12),-0.675164 # DEPENDENCYPART_ARC
(8,13),-0.400229 # DEPENDENCYPART_ARC
(8,14),-1.11053 # DEPENDENCYPART_ARC
(8,15),-0.264746 # DEPENDENCYPART_ARC
(8,16),-1.3192 # DEPENDENCYPART_ARC
(8,17),-1.06661 # DEPENDENCYPART_ARC
(8,18),-2.3235 # DEPENDENCYPART_ARC
(8,19),-1.87835 # DEPENDENCYPART_ARC
(8,20),-1.03789 # DEPENDENCYPART_ARC
(9,1),-1.73361 # DEPENDENCYPART_ARC
(9,2),-1.48956 # DEPENDENCYPART_ARC
(9,3),-1.00504 # DEPENDENCYPART_ARC
(9,4),3.02914 # DEPENDENCYPART_ARC
(9,5),2.22022 # DEPENDENCYPART_ARC
(9,6),0.692959 # DEPENDENCYPART_ARC
(9,7),0.756349 # DEPENDENCYPART_ARC
(9,8),3.95658 # DEPENDENCYPART_ARC
(9,10),1.83434 # DEPENDENCYPART_ARC
(9,11),-0.00812418 # DEPENDENCYPART_ARC
(9,12),0.548598 # DEPENDENCYPART_ARC
(9,13),0.93138 # DEPENDENCYPART_ARC
(9,14),0.543023 # DEPENDENCYPART_ARC
(9,15),0.983883 # DEPENDENCYPART_ARC
(9,16),-0.542627 # DEPENDENCYPART_ARC
(9,17),0.643451 # DEPENDENCYPART_ARC
(9,18),-1.01432 # DEPENDENCYPART_ARC
(9,19),-0.951994 # DEPENDENCYPART_ARC
(9,20),-0.117616 # DEPENDENCYPART_ARC
(10,1),-1.48293 # DEPENDENCYPART_ARC
(10,2),-1.54434 # DEPENDENCYPART_ARC
(10,3),-1.12185 # DEPENDENCYPART_ARC
(10,4),-0.659919 # DEPENDENCYPART_ARC
(10,5),-1.02963 # DEPENDENCYPART_ARC
(10,6),-0.888825 # DEPENDENCYPART_ARC
(10,7),0.0754418 # DEPENDENCYPART_ARC
(10,8),-0.538453 # DEPENDENCYPART_ARC
(10,9),-0.224088 # DEPENDENCYPART_ARC
(10,11),0.556902 # DEPENDENCYPART_ARC
(10,12),3.52191 # DEPENDENCYPART_ARC
(10,13),0.734065 # DEPENDENCYPART_ARC
(10,14),1.33458 # DEPENDENCYPART_ARC
(10,15),0.187578 # DEPENDENCYPART_ARC
(10,16),-1.23875 # DEPENDENCYPART_ARC
(10,17),0.0233296 # DEPENDENCYPART_ARC
(10,18),-2.00211 # DEPENDENCYPART_ARC
(10,19),-2.63809 # DEPENDENCYPART_ARC
(10,20),-0.0806606 # DEPENDENCYPART_ARC
(11,1),-3.68087 # DEPENDENCYPART_ARC
(11,2),-3.58181 # DEPENDENCYPART_ARC
(11,3),-3.53184 # DEPENDENCYPART_ARC
(11,4),-2.73782 # DEPENDENCYPART_ARC
(11,5),-3.12049 # DEPENDENCYPART_ARC
(11,6),-3.26605 # DEPENDENCYPART_ARC
(11,7),-2.56357 # DEPENDENCYPART_ARC
(11,8),-2.30765 # DEPENDENCYPART_ARC
(11,9),-2.68608 # DEPENDENCYPART_ARC
(11,10),-1.54067 # DEPENDENCYPART_ARC
(11,12),-0.563236 # DEPENDENCYPART_ARC
(11,13),-0.992168 # DEPENDENCYPART_ARC
(11,14),-0.95636 # DEPENDENCYPART_ARC
(11,15),-1.00296 # DEPENDENCYPART_ARC
(11,16),-1.39512 # DEPENDENCYPART_ARC
(11,17),-1.57116 # DEPENDENCYPART_ARC
(11,18),-2.29908 # DEPENDENCYPART_ARC
(11,19),-2.29176 # DEPENDENCYPART_ARC
(11,20),-1.94129 # DEPENDENCYPART_ARC
(12,1),-3.46323 # DEPENDENCYPART_ARC
(12,2),-3.47976 # DEPENDENCYPART_ARC
(12,3),-2.22155 # DEPENDENCYPART_ARC
(12,4),-0.678418 # DEPENDENCYPART_ARC
(12,5),-1.12125 # DEPENDENCYPART_ARC
(12,6),-2.75629 # DEPENDENCYPART_ARC
(12,7),-0.977277 # DEPENDENCYPART_ARC
(12,8),0.295543 # DEPENDENCYPART_ARC
(12,9),-1.11376 # DEPENDENCYPART_ARC
(12,10),0.171532 # DEPENDENCYPART_ARC
(12,11),3.92835 # DEPENDENCYPART_ARC
(12,13),2.0406 # DEPENDENCYPART_ARC
(12,14),2.66924 # DEPENDENCYPART_ARC
(12,15),1.2294 # DEPENDENCYPART_ARC
(12,16),2.00934 # DEPENDENCYPART_ARC
(12,17),0.781643 # DEPENDENCYPART_ARC
(12,18),0.403007 # DEPENDENCYPART_ARC
(12,19),-0.424527 # DEPENDENCYPART_ARC
(12,20),0.258477 # DEPENDENCYPART_ARC
(13,1),-2.89907 # DEPENDENCYPART_ARC
(13,2),-2.83029 # DEPENDENCYPART_ARC
(13,3),-2.2671 # DEPENDENCYPART_ARC
(13,4),-1.76196 # DEPENDENCYPART_ARC
(13,5),-2.13137 # DEPENDENCYPART_ARC
(13,6),-1.58834 # DEPENDENCYPART_ARC
(13,7),-1.66794 # DEPENDENCYPART_ARC
(13,8),-1.85469 # DEPENDENCYPART_ARC
(13,9),-1.50831 # DEPENDENCYPART_ARC
(13,10),-1.26296 # DEPENDENCYPART_ARC
(13,11),-0.837566 # DEPENDENCYPART_ARC
(13,12),-1.17395 # DEPENDENCYPART_ARC
(13,14),-0.362071 # DEPENDENCYPART_ARC
(13,15),0.197263 # DEPENDENCYPART_ARC
(13,16),-1.2128 # DEPENDENCYPART_ARC
(13,17),-1.59003 # DEPENDENCYPART_ARC
(13,18),-2.05619 # DEPENDENCYPART_ARC
(13,19),-2.09547 # DEPENDENCYPART_ARC
(13,20),-1.47438 # DEPENDENCYPART_ARC
(14,1),-4.75197 # DEPENDENCYPART_ARC
(14,2),-5.12076 # DEPENDENCYPART_ARC
(14,3),-3.18505 # DEPENDENCYPART_ARC
(14,4),-0.97279 # DEPENDENCYPART_ARC
(14,5),-1.5585 # DEPENDENCYPART_ARC
(14,6),-3.54273 # DEPENDENCYPART_ARC
(14,7),-1.66592 # DEPENDENCYPART_ARC
(14,8),-0.952561 # DEPENDENCYPART_ARC
(14,9),-2.2032 # DEPENDENCYPART_ARC
(14,10),-0.933585 # DEPENDENCYPART_ARC
(14,11),1.60231 # DEPENDENCYPART_ARC
(14,12),2.1125 # DEPENDENCYPART_ARC
(14,13),1.70922 # DEPENDENCYPART_ARC
(14,15),3.92444 # DEPENDENCYPART_ARC
(14,16),2.91896 # DEPENDENCYPART_ARC
(14,17),1.74646 # DEPENDENCYPART_ARC
(14,18),0.204199 # DEPENDENCYPART_ARC
(14,19),0.0105341 # DEPENDENCYPART_ARC
(14,20),0.762078 # DEPENDENCYPART_ARC
(15,1),-3.0097 # DEPENDENCYPART_ARC
(15,2),-2.88593 # DEPENDENCYPART_ARC
(15,3),-2.35502 # DEPENDENCYPART_ARC
(15,4),-2.04851 # DEPENDENCYPART_ARC
(15,5),-2.18875 # DEPENDENCYPART_ARC
(15,6),-1.62792 # DEPENDENCYPART_ARC
(15,7),-1.84363 # DEPENDENCYPART_ARC
(15,8),-1.86801 # DEPENDENCYPART_ARC
(15,9),-1.48071 # DEPENDENCYPART_ARC
(15,10),-1.73266 # DEPENDENCYPART_ARC
(15,11),-1.04501 # DEPENDENCYPART_ARC
(15,12),-1.66166 # DEPENDENCYPART_ARC
(15,13),-0.244654 # DEPENDENCYPART_ARC
(15,14),-1.01841 # DEPENDENCYPART_ARC
(15,16),-0.138896 # DEPENDENCYPART_ARC
(15,17),-0.964169 # DEPENDENCYPART_ARC
(15,18),-1.42347 # DEPENDENCYPART_ARC
(15,19),-1.28823 # DEPENDENCYPART_ARC
(15,20),-1.39151 # DEPENDENCYPART_ARC
(16,1),-5.51452 # DEPENDENCYPART_ARC
(16,2),-5.89357 # DEPENDENCYPART_ARC
(16,3),-3.00462 # DEPENDENCYPART_ARC
(16,4),-1.68409 # DEPENDENCYPART_ARC
(16,5),-2.20212 # DEPENDENCYPART_ARC
(16,6),-3.365 # DEPENDENCYPART_ARC
(16,7),-1.54194 # DEPENDENCYPART_ARC
(16,8),-0.926107 # DEPENDENCYPART_ARC
(16,9),-2.84334 # DEPENDENCYPART_ARC
(16,10),-1.39112 # DEPENDENCYPART_ARC
(16,11),1.30596 # DEPENDENCYPART_ARC
(16,12),-0.464344 # DEPENDENCYPART_ARC
(16,13),-0.32119 # DEPENDENCYPART_ARC
(16,14),0.493382 # DEPENDENCYPART_ARC
(16,15),0.834978 # DEPENDENCYPART_ARC
(16,17),3.29675 # DEPENDENCYPART_ARC
(16,18),0.715052 # DEPENDENCYPART_ARC
(16,19),0.596317 # DEPENDENCYPART_ARC
(16,20),0.294469 # DEPENDENCYPART_ARC
(17,1),-1.63978 # DEPENDENCYPART_ARC
(17,2),-1.70251 # DEPENDENCYPART_ARC
(17,3),-1.60168 # DEPENDENCYPART_ARC
(17,4),-1.70762 # DEPENDENCYPART_ARC
(17,5),-1.82144 # DEPENDENCYPART_ARC
(17,6),-1.5821 # DEPENDENCYPART_ARC
(17,7),-1.09325 # DEPENDENCYPART_ARC
(17,8),-1.39994 # DEPENDENCYPART_ARC
(17,9),-1.05845 # DEPENDENCYPART_ARC
(17,10),-0.932377 # DEPENDENCYPART_ARC
(17,11),-0.691319 # DEPENDENCYPART_ARC
(17,12),-0.424296 # DEPENDENCYPART_ARC
(17,13),-0.886449 # DEPENDENCYPART_ARC
(17,14),0.462223 # DEPENDENCYPART_ARC
(17,15),-0.628697 # DEPENDENCYPART_ARC
(17,16),0.716735 # DEPENDENCYPART_ARC
(17,18),1.34021 # DEPENDENCYPART_ARC
(17,19),2.64335 # DEPENDENCYPART_ARC
(17,20),0.908226 # DEPENDENCYPART_ARC
(18,1),-4.54395 # DEPENDENCYPART_ARC
(18,2),-4.43761 # DEPENDENCYPART_ARC
(18,3),-4.26883 # DEPENDENCYPART_ARC
(18,4),-3.76603 # DEPENDENCYPART_ARC
(18,5),-3.97756 # DEPENDENCYPART_ARC
(18,6),-4.36637 # DEPENDENCYPART_ARC
(18,7),-3.58453 # DEPENDENCYPART_ARC
(18,8),-3.57062 # DEPENDENCYPART_ARC
(18,9),-3.88668 # DEPENDENCYPART_ARC
(18,10),-3.49252 # DEPENDENCYPART_ARC
(18,11),-2.5767 # DEPENDENCYPART_ARC
(18,12),-3.18631 # DEPENDENCYPART_ARC
(18,13),-2.82005 # DEPENDENCYPART_ARC
(18,14),-2.80829 # DEPENDENCYPART_ARC
(18,15),-2.24464 # DEPENDENCYPART_ARC
(18,16),-2.33024 # DEPENDENCYPART_ARC
(18,17),-1.67868 # DEPENDENCYPART_ARC
(18,19),-0.328392 # DEPENDENCYPART_ARC
(18,20),-1.18661 # DEPENDENCYPART_ARC
(19,1),-5.90656 # DEPENDENCYPART_ARC
(19,2),-6.80734 # DEPENDENCYPART_ARC
(19,3),-2.73877 # DEPENDENCYPART_ARC
(19,4),-1.97025 # DEPENDENCYPART_ARC
(19,5),-2.4421 # DEPENDENCYPART_ARC
(19,6),-4.15443 # DEPENDENCYPART_ARC
(19,7),-1.79263 # DEPENDENCYPART_ARC
(19,8),-1.70313 # DEPENDENCYPART_ARC
(19,9),-3.22088 # DEPENDENCYPART_ARC
(19,10),-1.31252 # DEPENDENCYPART_ARC
(19,11),-0.0781765 # DEPENDENCYPART_ARC
(19,12),-2.44887 # DEPENDENCYPART_ARC
(19,13),-0.789371 # DEPENDENCYPART_ARC
(19,14),-0.729858 # DEPENDENCYPART_ARC
(19,15),0.201784 # DEPENDENCYPART_ARC
(19,16),0.163194 # DEPENDENCYPART_ARC
(19,17),0.54298 # DEPENDENCYPART_ARC
(19,18),4.16164 # DEPENDENCYPART_ARC
(19,20),0.912756 # DEPENDENCYPART_ARC
(20,1),-2.20751 # DEPENDENCYPART_ARC
(20,2),-2.44888 # DEPENDENCYPART_ARC
(20,3),-1.91187 # DEPENDENCYPART_ARC
(20,4),-2.285 # DEPENDENCYPART_ARC
(20,5),-2.32731 # DEPENDENCYPART_ARC
(20,6),-1.96057 # DEPENDENCYPART_ARC
(20,7),-1.86523 # DEPENDENCYPART_ARC
(20,8),-2.00838 # DEPENDENCYPART_ARC
(20,9),-1.7238 # DEPENDENCYPART_ARC
(20,10),-1.71969 # DEPENDENCYPART_ARC
(20,11),-1.12982 # DEPENDENCYPART_ARC
(20,12),-1.56313 # DEPENDENCYPART_ARC
(20,13),-0.747871 # DEPENDENCYPART_ARC
(20,14),-1.46996 # DEPENDENCYPART_ARC
(20,15),-0.753725 # DEPENDENCYPART_ARC
(20,16),-1.53506 # DEPENDENCYPART_ARC
(20,17),-0.844453 # DEPENDENCYPART_ARC
(20,18),-0.664435 # DEPENDENCYPART_ARC
(20,19),-0.943848 # DEPENDENCYPART_ARC
