# _root_ Consider Gap Inc. , whose latest ad campaign features black-and-white shots of Hollywood stars , artists and other well-known personalities modeling the retailer 's jeans and T-shirts .
#goldHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,19,20,17,14,23,25,23,21,25,26,1,
#predictedHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,2,14,16,20,20,17,20,23,25,23,21,25,26,9,
(1,22),-1.12143 # DEPENDENCYPART_ARC
(1,23),-2.64292 # DEPENDENCYPART_ARC
(1,24),-2.03973 # DEPENDENCYPART_ARC
(1,25),-3.08409 # DEPENDENCYPART_ARC
(1,26),-1.52412 # DEPENDENCYPART_ARC
(1,27),-4.10244 # DEPENDENCYPART_ARC
(1,28),2.87053 # DEPENDENCYPART_ARC
(2,1),1.90984 # DEPENDENCYPART_ARC
(2,3),5.34629 # DEPENDENCYPART_ARC
(2,4),3.06381 # DEPENDENCYPART_ARC
(2,5),1.18416 # DEPENDENCYPART_ARC
(2,6),1.3063 # DEPENDENCYPART_ARC
(2,7),1.78623 # DEPENDENCYPART_ARC
(2,8),1.63697 # DEPENDENCYPART_ARC
(2,9),2.09474 # DEPENDENCYPART_ARC
(2,10),0.858145 # DEPENDENCYPART_ARC
(2,11),0.844129 # DEPENDENCYPART_ARC
(2,12),1.27332 # DEPENDENCYPART_ARC
(2,13),-0.306359 # DEPENDENCYPART_ARC
(2,14),0.24424 # DEPENDENCYPART_ARC
(2,15),2.83614 # DEPENDENCYPART_ARC
(2,16),-0.105217 # DEPENDENCYPART_ARC
(2,17),0.322715 # DEPENDENCYPART_ARC
(2,18),-0.0685246 # DEPENDENCYPART_ARC
(2,19),0.0295433 # DEPENDENCYPART_ARC
(2,20),-0.259648 # DEPENDENCYPART_ARC
(2,21),-0.29611 # DEPENDENCYPART_ARC
(2,22),-0.382768 # DEPENDENCYPART_ARC
(2,23),-1.83835 # DEPENDENCYPART_ARC
(2,24),-1.60106 # DEPENDENCYPART_ARC
(2,25),-1.14987 # DEPENDENCYPART_ARC
(2,26),-1.41512 # DEPENDENCYPART_ARC
(2,27),-1.50281 # DEPENDENCYPART_ARC
(2,28),1.55339 # DEPENDENCYPART_ARC
(3,1),-0.0780669 # DEPENDENCYPART_ARC
(3,2),2.74282 # DEPENDENCYPART_ARC
(3,4),1.60944 # DEPENDENCYPART_ARC
(3,5),-0.419761 # DEPENDENCYPART_ARC
(3,6),-0.231495 # DEPENDENCYPART_ARC
(3,7),-0.283024 # DEPENDENCYPART_ARC
(3,8),-0.513468 # DEPENDENCYPART_ARC
(3,9),0.325021 # DEPENDENCYPART_ARC
(3,10),-0.88847 # DEPENDENCYPART_ARC
(3,11),-0.915572 # DEPENDENCYPART_ARC
(3,12),-0.601433 # DEPENDENCYPART_ARC
(3,13),-2.63174 # DEPENDENCYPART_ARC
(3,14),-1.32664 # DEPENDENCYPART_ARC
(3,15),0.122282 # DEPENDENCYPART_ARC
(3,16),-1.73889 # DEPENDENCYPART_ARC
(3,17),-1.48137 # DEPENDENCYPART_ARC
(3,18),-1.85365 # DEPENDENCYPART_ARC
(3,19),-1.64564 # DEPENDENCYPART_ARC
(3,20),-2.03583 # DEPENDENCYPART_ARC
(3,21),-1.87697 # DEPENDENCYPART_ARC
(3,22),-2.39801 # DEPENDENCYPART_ARC
(3,23),-4.48976 # DEPENDENCYPART_ARC
(3,24),-2.59208 # DEPENDENCYPART_ARC
(3,25),-2.84409 # DEPENDENCYPART_ARC
(3,26),-2.90583 # DEPENDENCYPART_ARC
(3,27),-3.4113 # DEPENDENCYPART_ARC
(3,28),-0.414603 # DEPENDENCYPART_ARC
(4,1),-0.557677 # DEPENDENCYPART_ARC
(4,2),-0.925317 # DEPENDENCYPART_ARC
(4,3),-0.372022 # DEPENDENCYPART_ARC
(4,5),0.0313362 # DEPENDENCYPART_ARC
(4,6),-0.641314 # DEPENDENCYPART_ARC
(4,7),-1.00224 # DEPENDENCYPART_ARC
(4,8),-1.26885 # DEPENDENCYPART_ARC
(4,9),-0.862737 # DEPENDENCYPART_ARC
(4,10),-1.56186 # DEPENDENCYPART_ARC
(4,11),-1.82049 # DEPENDENCYPART_ARC
(4,12),-1.3071 # DEPENDENCYPART_ARC
(4,13),-1.82939 # DEPENDENCYPART_ARC
(4,14),-2.11277 # DEPENDENCYPART_ARC
(4,15),-0.533149 # DEPENDENCYPART_ARC
(4,16),-2.38479 # DEPENDENCYPART_ARC
(4,17),-1.85602 # DEPENDENCYPART_ARC
(4,18),-2.49896 # DEPENDENCYPART_ARC
(4,19),-2.56587 # DEPENDENCYPART_ARC
(4,20),-2.77972 # DEPENDENCYPART_ARC
(4,21),-2.17147 # DEPENDENCYPART_ARC
(4,22),-2.82683 # DEPENDENCYPART_ARC
(4,23),-3.30212 # DEPENDENCYPART_ARC
(4,24),-2.88556 # DEPENDENCYPART_ARC
(4,25),-3.2541 # DEPENDENCYPART_ARC
(4,26),-2.93757 # DEPENDENCYPART_ARC
(4,27),-3.51095 # DEPENDENCYPART_ARC
(4,28),-2.42869 # DEPENDENCYPART_ARC
(5,1),-0.718327 # DEPENDENCYPART_ARC
(5,2),-0.14264 # DEPENDENCYPART_ARC
(5,3),-0.035785 # DEPENDENCYPART_ARC
(5,4),0.855872 # DEPENDENCYPART_ARC
(5,6),0.724809 # DEPENDENCYPART_ARC
(5,7),0.49812 # DEPENDENCYPART_ARC
(5,8),0.0530043 # DEPENDENCYPART_ARC
(5,9),0.0145001 # DEPENDENCYPART_ARC
(5,10),-0.664798 # DEPENDENCYPART_ARC
(5,11),-0.951602 # DEPENDENCYPART_ARC
(5,12),-0.489582 # DEPENDENCYPART_ARC
(5,13),-1.11004 # DEPENDENCYPART_ARC
(5,14),-1.28096 # DEPENDENCYPART_ARC
(5,15),-0.462507 # DEPENDENCYPART_ARC
(5,16),-1.53201 # DEPENDENCYPART_ARC
(5,17),-0.826411 # DEPENDENCYPART_ARC
(5,18),-1.72365 # DEPENDENCYPART_ARC
(5,19),-1.84298 # DEPENDENCYPART_ARC
(5,20),-1.88715 # DEPENDENCYPART_ARC
(5,21),-1.43308 # DEPENDENCYPART_ARC
(5,22),-2.17907 # DEPENDENCYPART_ARC
(5,23),-1.88314 # DEPENDENCYPART_ARC
(5,24),-2.25158 # DEPENDENCYPART_ARC
(5,25),-2.44148 # DEPENDENCYPART_ARC
(5,26),-1.81804 # DEPENDENCYPART_ARC
(5,27),-2.59418 # DEPENDENCYPART_ARC
(5,28),-1.44114 # DEPENDENCYPART_ARC
(6,1),-1.34698 # DEPENDENCYPART_ARC
(6,2),-0.942525 # DEPENDENCYPART_ARC
(6,3),-0.601304 # DEPENDENCYPART_ARC
(6,4),-0.398348 # DEPENDENCYPART_ARC
(6,5),0.738604 # DEPENDENCYPART_ARC
(6,7),1.08487 # DEPENDENCYPART_ARC
(6,8),0.437037 # DEPENDENCYPART_ARC
(6,9),0.171335 # DEPENDENCYPART_ARC
(6,10),-0.401326 # DEPENDENCYPART_ARC
(6,11),-0.979418 # DEPENDENCYPART_ARC
(6,12),-0.0856385 # DEPENDENCYPART_ARC
(6,13),-1.10593 # DEPENDENCYPART_ARC
(6,14),-1.55949 # DEPENDENCYPART_ARC
(6,15),-0.533442 # DEPENDENCYPART_ARC
(6,16),-1.73664 # DEPENDENCYPART_ARC
(6,17),-1.17095 # DEPENDENCYPART_ARC
(6,18),-1.54593 # DEPENDENCYPART_ARC
(6,19),-1.62277 # DEPENDENCYPART_ARC
(6,20),-2.23849 # DEPENDENCYPART_ARC
(6,21),-0.992044 # DEPENDENCYPART_ARC
(6,22),-2.19963 # DEPENDENCYPART_ARC
(6,23),-1.47709 # DEPENDENCYPART_ARC
(6,24),-2.22709 # DEPENDENCYPART_ARC
(6,25),-2.74255 # DEPENDENCYPART_ARC
(6,26),-2.76699 # DEPENDENCYPART_ARC
(6,27),-2.83647 # DEPENDENCYPART_ARC
(6,28),-1.62975 # DEPENDENCYPART_ARC
(7,1),-1.80268 # DEPENDENCYPART_ARC
(7,2),0.0786409 # DEPENDENCYPART_ARC
(7,3),-0.464711 # DEPENDENCYPART_ARC
(7,4),-0.368208 # DEPENDENCYPART_ARC
(7,5),1.56482 # DEPENDENCYPART_ARC
(7,6),1.82393 # DEPENDENCYPART_ARC
(7,8),0.998855 # DEPENDENCYPART_ARC
(7,9),0.240403 # DEPENDENCYPART_ARC
(7,10),-0.323138 # DEPENDENCYPART_ARC
(7,11),-0.948813 # DEPENDENCYPART_ARC
(7,12),0.0620221 # DEPENDENCYPART_ARC
(7,13),-1.48078 # DEPENDENCYPART_ARC
(7,14),-1.15699 # DEPENDENCYPART_ARC
(7,15),-0.981218 # DEPENDENCYPART_ARC
(7,16),-1.21436 # DEPENDENCYPART_ARC
(7,17),-0.976531 # DEPENDENCYPART_ARC
(7,18),-1.90823 # DEPENDENCYPART_ARC
(7,19),-1.88547 # DEPENDENCYPART_ARC
(7,20),-2.04993 # DEPENDENCYPART_ARC
(7,21),-1.02765 # DEPENDENCYPART_ARC
(7,22),-2.37345 # DEPENDENCYPART_ARC
(7,23),-2.68423 # DEPENDENCYPART_ARC
(7,24),-2.26371 # DEPENDENCYPART_ARC
(7,25),-2.18484 # DEPENDENCYPART_ARC
(7,26),-1.8453 # DEPENDENCYPART_ARC
(7,27),-2.87212 # DEPENDENCYPART_ARC
(7,28),-0.469895 # DEPENDENCYPART_ARC
(8,1),-0.117454 # DEPENDENCYPART_ARC
(8,2),1.79718 # DEPENDENCYPART_ARC
(8,3),1.41542 # DEPENDENCYPART_ARC
(8,4),1.11406 # DEPENDENCYPART_ARC
(8,5),3.05375 # DEPENDENCYPART_ARC
(8,6),3.23056 # DEPENDENCYPART_ARC
(8,7),4.3139 # DEPENDENCYPART_ARC
(8,9),1.78456 # DEPENDENCYPART_ARC
(8,10),1.34785 # DEPENDENCYPART_ARC
(8,11),1.01372 # DEPENDENCYPART_ARC
(8,12),2.0329 # DEPENDENCYPART_ARC
(8,13),0.126297 # DEPENDENCYPART_ARC
(8,14),0.493901 # DEPENDENCYPART_ARC
(8,15),1.38549 # DEPENDENCYPART_ARC
(8,16),0.400676 # DEPENDENCYPART_ARC
(8,17),0.752604 # DEPENDENCYPART_ARC
(8,18),-0.241149 # DEPENDENCYPART_ARC
(8,19),-0.508639 # DEPENDENCYPART_ARC
(8,20),-0.349004 # DEPENDENCYPART_ARC
(8,21),0.495224 # DEPENDENCYPART_ARC
(8,22),-1.1476 # DEPENDENCYPART_ARC
(8,23),-0.923463 # DEPENDENCYPART_ARC
(8,24),-0.426227 # DEPENDENCYPART_ARC
(8,25),-0.509278 # DEPENDENCYPART_ARC
(8,26),-0.407906 # DEPENDENCYPART_ARC
(8,27),-1.32975 # DEPENDENCYPART_ARC
(8,28),0.980767 # DEPENDENCYPART_ARC
(9,1),-0.207296 # DEPENDENCYPART_ARC
(9,2),1.73916 # DEPENDENCYPART_ARC
(9,3),0.377601 # DEPENDENCYPART_ARC
(9,4),1.87667 # DEPENDENCYPART_ARC
(9,5),1.50223 # DEPENDENCYPART_ARC
(9,6),1.54147 # DEPENDENCYPART_ARC
(9,7),1.68477 # DEPENDENCYPART_ARC
(9,8),3.32882 # DEPENDENCYPART_ARC
(9,10),2.07263 # DEPENDENCYPART_ARC
(9,11),2.98389 # DEPENDENCYPART_ARC
(9,12),1.64393 # DEPENDENCYPART_ARC
(9,13),0.838335 # DEPENDENCYPART_ARC
(9,14),1.088 # DEPENDENCYPART_ARC
(9,15),1.46254 # DEPENDENCYPART_ARC
(9,16),-0.152982 # DEPENDENCYPART_ARC
(9,17),0.923586 # DEPENDENCYPART_ARC
(9,18),-0.448772 # DEPENDENCYPART_ARC
(9,19),-0.506329 # DEPENDENCYPART_ARC
(9,20),-0.397458 # DEPENDENCYPART_ARC
(9,21),0.949202 # DEPENDENCYPART_ARC
(9,22),-1.57893 # DEPENDENCYPART_ARC
(9,23),-0.288381 # DEPENDENCYPART_ARC
(9,24),-1.03383 # DEPENDENCYPART_ARC
(9,25),-1.53654 # DEPENDENCYPART_ARC
(9,26),0.582238 # DEPENDENCYPART_ARC
(9,27),-1.69596 # DEPENDENCYPART_ARC
(9,28),6.09151 # DEPENDENCYPART_ARC
(10,1),-1.81661 # DEPENDENCYPART_ARC
(10,2),-1.07334 # DEPENDENCYPART_ARC
(10,3),-1.73366 # DEPENDENCYPART_ARC
(10,4),-1.26616 # DEPENDENCYPART_ARC
(10,5),-0.581309 # DEPENDENCYPART_ARC
(10,6),-0.353888 # DEPENDENCYPART_ARC
(10,7),-0.204183 # DEPENDENCYPART_ARC
(10,8),-0.165817 # DEPENDENCYPART_ARC
(10,9),-0.0906826 # DEPENDENCYPART_ARC
(10,11),0.924594 # DEPENDENCYPART_ARC
(10,12),0.0829285 # DEPENDENCYPART_ARC
(10,13),-0.322818 # DEPENDENCYPART_ARC
(10,14),0.00742409 # DEPENDENCYPART_ARC
(10,15),0.0186238 # DEPENDENCYPART_ARC
(10,16),-0.634738 # DEPENDENCYPART_ARC
(10,17),-0.269545 # DEPENDENCYPART_ARC
(10,18),-1.24219 # DEPENDENCYPART_ARC
(10,19),-1.4196 # DEPENDENCYPART_ARC
(10,20),-1.31328 # DEPENDENCYPART_ARC
(10,21),-0.973966 # DEPENDENCYPART_ARC
(10,22),-2.32431 # DEPENDENCYPART_ARC
(10,23),-1.65521 # DEPENDENCYPART_ARC
(10,24),-1.47939 # DEPENDENCYPART_ARC
(10,25),-1.38781 # DEPENDENCYPART_ARC
(10,26),-2.55448 # DEPENDENCYPART_ARC
(10,27),-2.02053 # DEPENDENCYPART_ARC
(10,28),-0.283691 # DEPENDENCYPART_ARC
(11,1),-1.08544 # DEPENDENCYPART_ARC
(11,2),0.591256 # DEPENDENCYPART_ARC
(11,3),-0.730875 # DEPENDENCYPART_ARC
(11,4),-0.419643 # DEPENDENCYPART_ARC
(11,5),1.16525 # DEPENDENCYPART_ARC
(11,6),1.56345 # DEPENDENCYPART_ARC
(11,7),1.88641 # DEPENDENCYPART_ARC
(11,8),0.478136 # DEPENDENCYPART_ARC
(11,9),0.422314 # DEPENDENCYPART_ARC
(11,10),4.21135 # DEPENDENCYPART_ARC
(11,12),3.56411 # DEPENDENCYPART_ARC
(11,13),0.827233 # DEPENDENCYPART_ARC
(11,14),1.37889 # DEPENDENCYPART_ARC
(11,15),1.76902 # DEPENDENCYPART_ARC
(11,16),1.0922 # DEPENDENCYPART_ARC
(11,17),1.72646 # DEPENDENCYPART_ARC
(11,18),1.08635 # DEPENDENCYPART_ARC
(11,19),0.877194 # DEPENDENCYPART_ARC
(11,20),-0.0639491 # DEPENDENCYPART_ARC
(11,21),1.49115 # DEPENDENCYPART_ARC
(11,22),-0.160956 # DEPENDENCYPART_ARC
(11,23),0.0830655 # DEPENDENCYPART_ARC
(11,24),-0.433189 # DEPENDENCYPART_ARC
(11,25),-0.729607 # DEPENDENCYPART_ARC
(11,26),1.1147 # DEPENDENCYPART_ARC
(11,27),-1.67983 # DEPENDENCYPART_ARC
(11,28),0.489613 # DEPENDENCYPART_ARC
(12,1),-2.18666 # DEPENDENCYPART_ARC
(12,2),-1.67768 # DEPENDENCYPART_ARC
(12,3),-1.83108 # DEPENDENCYPART_ARC
(12,4),-1.8702 # DEPENDENCYPART_ARC
(12,5),-1.1363 # DEPENDENCYPART_ARC
(12,6),-1.59668 # DEPENDENCYPART_ARC
(12,7),-1.15534 # DEPENDENCYPART_ARC
(12,8),-1.19075 # DEPENDENCYPART_ARC
(12,9),-0.891117 # DEPENDENCYPART_ARC
(12,10),-0.66385 # DEPENDENCYPART_ARC
(12,11),-0.229031 # DEPENDENCYPART_ARC
(12,13),2.61787 # DEPENDENCYPART_ARC
(12,14),3.75793 # DEPENDENCYPART_ARC
(12,15),0.589676 # DEPENDENCYPART_ARC
(12,16),-0.294526 # DEPENDENCYPART_ARC
(12,17),-1.07488 # DEPENDENCYPART_ARC
(12,18),-1.68413 # DEPENDENCYPART_ARC
(12,19),-1.43927 # DEPENDENCYPART_ARC
(12,20),-2.24215 # DEPENDENCYPART_ARC
(12,21),-0.454524 # DEPENDENCYPART_ARC
(12,22),-3.08137 # DEPENDENCYPART_ARC
(12,23),-4.99671 # DEPENDENCYPART_ARC
(12,24),-1.80794 # DEPENDENCYPART_ARC
(12,25),-4.32462 # DEPENDENCYPART_ARC
(12,26),-2.02077 # DEPENDENCYPART_ARC
(12,27),-6.59378 # DEPENDENCYPART_ARC
(12,28),-0.37343 # DEPENDENCYPART_ARC
(13,1),-4.0534 # DEPENDENCYPART_ARC
(13,2),-3.61283 # DEPENDENCYPART_ARC
(13,3),-3.84838 # DEPENDENCYPART_ARC
(13,4),-2.9413 # DEPENDENCYPART_ARC
(13,5),-2.75068 # DEPENDENCYPART_ARC
(13,6),-3.0968 # DEPENDENCYPART_ARC
(13,7),-1.99267 # DEPENDENCYPART_ARC
(13,8),-2.133 # DEPENDENCYPART_ARC
(13,9),-2.56465 # DEPENDENCYPART_ARC
(13,10),-0.868409 # DEPENDENCYPART_ARC
(13,11),-1.49291 # DEPENDENCYPART_ARC
(13,12),-0.189933 # DEPENDENCYPART_ARC
(13,14),0.198254 # DEPENDENCYPART_ARC
(13,15),-0.108842 # DEPENDENCYPART_ARC
(13,16),-0.81066 # DEPENDENCYPART_ARC
(13,17),-1.46925 # DEPENDENCYPART_ARC
(13,18),-0.803091 # DEPENDENCYPART_ARC
(13,19),-0.918836 # DEPENDENCYPART_ARC
(13,20),-1.51496 # DEPENDENCYPART_ARC
(13,21),-1.42391 # DEPENDENCYPART_ARC
(13,22),-1.5624 # DEPENDENCYPART_ARC
(13,23),-1.71963 # DEPENDENCYPART_ARC
(13,24),-1.37424 # DEPENDENCYPART_ARC
(13,25),-2.39425 # DEPENDENCYPART_ARC
(13,26),-2.818 # DEPENDENCYPART_ARC
(13,27),-2.80104 # DEPENDENCYPART_ARC
(13,28),-1.25867 # DEPENDENCYPART_ARC
(14,1),-1.52198 # DEPENDENCYPART_ARC
(14,2),0.0207632 # DEPENDENCYPART_ARC
(14,3),-1.51284 # DEPENDENCYPART_ARC
(14,4),-0.747868 # DEPENDENCYPART_ARC
(14,5),0.824482 # DEPENDENCYPART_ARC
(14,6),0.490525 # DEPENDENCYPART_ARC
(14,7),0.310872 # DEPENDENCYPART_ARC
(14,8),-0.950303 # DEPENDENCYPART_ARC
(14,9),-0.261077 # DEPENDENCYPART_ARC
(14,10),1.11764 # DEPENDENCYPART_ARC
(14,11),0.19885 # DEPENDENCYPART_ARC
(14,12),0.951053 # DEPENDENCYPART_ARC
(14,13),4.39378 # DEPENDENCYPART_ARC
(14,15),2.71401 # DEPENDENCYPART_ARC
(14,16),2.44607 # DEPENDENCYPART_ARC
(14,17),1.13942 # DEPENDENCYPART_ARC
(14,18),0.648624 # DEPENDENCYPART_ARC
(14,19),0.320151 # DEPENDENCYPART_ARC
(14,20),0.348435 # DEPENDENCYPART_ARC
(14,21),0.82388 # DEPENDENCYPART_ARC
(14,22),-0.122117 # DEPENDENCYPART_ARC
(14,23),-0.0512078 # DEPENDENCYPART_ARC
(14,24),-0.0637502 # DEPENDENCYPART_ARC
(14,25),0.0453398 # DEPENDENCYPART_ARC
(14,26),0.423531 # DEPENDENCYPART_ARC
(14,27),-1.44091 # DEPENDENCYPART_ARC
(14,28),0.846662 # DEPENDENCYPART_ARC
(15,1),-2.8057 # DEPENDENCYPART_ARC
(15,2),-2.96544 # DEPENDENCYPART_ARC
(15,3),-2.96976 # DEPENDENCYPART_ARC
(15,4),-0.884778 # DEPENDENCYPART_ARC
(15,5),-1.93517 # DEPENDENCYPART_ARC
(15,6),-2.10476 # DEPENDENCYPART_ARC
(15,7),-1.89677 # DEPENDENCYPART_ARC
(15,8),-1.85365 # DEPENDENCYPART_ARC
(15,9),-1.86871 # DEPENDENCYPART_ARC
(15,10),-1.91831 # DEPENDENCYPART_ARC
(15,11),-2.06589 # DEPENDENCYPART_ARC
(15,12),-1.27913 # DEPENDENCYPART_ARC
(15,13),-1.74117 # DEPENDENCYPART_ARC
(15,14),-1.30943 # DEPENDENCYPART_ARC
(15,16),-0.725787 # DEPENDENCYPART_ARC
(15,17),-1.29003 # DEPENDENCYPART_ARC
(15,18),-1.59451 # DEPENDENCYPART_ARC
(15,19),-1.86112 # DEPENDENCYPART_ARC
(15,20),-2.13316 # DEPENDENCYPART_ARC
(15,21),-1.80465 # DEPENDENCYPART_ARC
(15,22),-2.31925 # DEPENDENCYPART_ARC
(15,23),-2.85087 # DEPENDENCYPART_ARC
(15,24),-2.52121 # DEPENDENCYPART_ARC
(15,25),-2.9252 # DEPENDENCYPART_ARC
(15,26),-2.347 # DEPENDENCYPART_ARC
(15,27),-3.16219 # DEPENDENCYPART_ARC
(15,28),-2.07902 # DEPENDENCYPART_ARC
(16,1),-2.28759 # DEPENDENCYPART_ARC
(16,2),-1.34981 # DEPENDENCYPART_ARC
(16,3),-2.36292 # DEPENDENCYPART_ARC
(16,4),-1.43259 # DEPENDENCYPART_ARC
(16,5),-0.050814 # DEPENDENCYPART_ARC
(16,6),-0.0570869 # DEPENDENCYPART_ARC
(16,7),-0.488793 # DEPENDENCYPART_ARC
(16,8),-1.66012 # DEPENDENCYPART_ARC
(16,9),-1.03857 # DEPENDENCYPART_ARC
(16,10),-0.297603 # DEPENDENCYPART_ARC
(16,11),-0.821458 # DEPENDENCYPART_ARC
(16,12),0.139005 # DEPENDENCYPART_ARC
(16,13),1.76511 # DEPENDENCYPART_ARC
(16,14),1.0507 # DEPENDENCYPART_ARC
(16,15),0.636387 # DEPENDENCYPART_ARC
(16,17),3.99437 # DEPENDENCYPART_ARC
(16,18),1.33974 # DEPENDENCYPART_ARC
(16,19),1.00805 # DEPENDENCYPART_ARC
(16,20),1.16556 # DEPENDENCYPART_ARC
(16,21),1.88187 # DEPENDENCYPART_ARC
(16,22),0.431288 # DEPENDENCYPART_ARC
(16,23),0.466606 # DEPENDENCYPART_ARC
(16,24),0.560603 # DEPENDENCYPART_ARC
(16,25),0.342761 # DEPENDENCYPART_ARC
(16,26),2.47333 # DEPENDENCYPART_ARC
(16,27),-0.608977 # DEPENDENCYPART_ARC
(16,28),1.04666 # DEPENDENCYPART_ARC
(17,1),-1.74519 # DEPENDENCYPART_ARC
(17,2),-1.02637 # DEPENDENCYPART_ARC
(17,3),-0.993263 # DEPENDENCYPART_ARC
(17,4),-1.56955 # DEPENDENCYPART_ARC
(17,5),-0.936481 # DEPENDENCYPART_ARC
(17,6),-1.17347 # DEPENDENCYPART_ARC
(17,7),-0.678611 # DEPENDENCYPART_ARC
(17,8),-0.515685 # DEPENDENCYPART_ARC
(17,9),-0.635365 # DEPENDENCYPART_ARC
(17,10),-0.773722 # DEPENDENCYPART_ARC
(17,11),-0.234849 # DEPENDENCYPART_ARC
(17,12),-0.42229 # DEPENDENCYPART_ARC
(17,13),0.36693 # DEPENDENCYPART_ARC
(17,14),0.30914 # DEPENDENCYPART_ARC
(17,15),-0.237918 # DEPENDENCYPART_ARC
(17,16),1.0566 # DEPENDENCYPART_ARC
(17,18),1.46699 # DEPENDENCYPART_ARC
(17,19),1.68777 # DEPENDENCYPART_ARC
(17,20),3.35102 # DEPENDENCYPART_ARC
(17,21),1.43062 # DEPENDENCYPART_ARC
(17,22),-0.713528 # DEPENDENCYPART_ARC
(17,23),0.438481 # DEPENDENCYPART_ARC
(17,24),-0.891846 # DEPENDENCYPART_ARC
(17,25),0.885534 # DEPENDENCYPART_ARC
(17,26),0.305889 # DEPENDENCYPART_ARC
(17,27),0.49894 # DEPENDENCYPART_ARC
(17,28),-0.645996 # DEPENDENCYPART_ARC
(18,1),-3.58048 # DEPENDENCYPART_ARC
(18,2),-3.27171 # DEPENDENCYPART_ARC
(18,3),-4.02115 # DEPENDENCYPART_ARC
(18,4),-3.06336 # DEPENDENCYPART_ARC
(18,5),-2.55385 # DEPENDENCYPART_ARC
(18,6),-2.95629 # DEPENDENCYPART_ARC
(18,7),-2.66725 # DEPENDENCYPART_ARC
(18,8),-2.51626 # DEPENDENCYPART_ARC
(18,9),-2.89501 # DEPENDENCYPART_ARC
(18,10),-1.79952 # DEPENDENCYPART_ARC
(18,11),-2.42392 # DEPENDENCYPART_ARC
(18,12),-2.01177 # DEPENDENCYPART_ARC
(18,13),-1.64139 # DEPENDENCYPART_ARC
(18,14),-1.85233 # DEPENDENCYPART_ARC
(18,15),-1.43373 # DEPENDENCYPART_ARC
(18,16),-1.04055 # DEPENDENCYPART_ARC
(18,17),-0.262546 # DEPENDENCYPART_ARC
(18,19),1.83756 # DEPENDENCYPART_ARC
(18,20),1.06463 # DEPENDENCYPART_ARC
(18,21),0.328465 # DEPENDENCYPART_ARC
(18,22),-0.688272 # DEPENDENCYPART_ARC
