# _root_ Dollar : 141.85 yen , off 0.25 ; 1.8685 marks , off 0.0055 .
#goldHeads=0,1,4,1,4,4,6,4,10,4,10,10,12,1,
#predictedHeads=0,1,4,1,4,4,6,4,10,4,10,10,12,1,
(5,13),-2.30217 # DEPENDENCYPART_ARC
(5,14),-1.31157 # DEPENDENCYPART_ARC
(6,1),-0.801073 # DEPENDENCYPART_ARC
(6,2),0.138784 # DEPENDENCYPART_ARC
(6,3),0.0981428 # DEPENDENCYPART_ARC
(6,4),-0.355458 # DEPENDENCYPART_ARC
(6,5),0.703763 # DEPENDENCYPART_ARC
(6,7),2.60272 # DEPENDENCYPART_ARC
(6,8),0.285683 # DEPENDENCYPART_ARC
(6,9),-0.451058 # DEPENDENCYPART_ARC
(6,10),0.974022 # DEPENDENCYPART_ARC
(6,11),-0.0241855 # DEPENDENCYPART_ARC
(6,12),-0.0277214 # DEPENDENCYPART_ARC
(6,13),-0.758538 # DEPENDENCYPART_ARC
(6,14),-0.326477 # DEPENDENCYPART_ARC
(7,1),-1.92381 # DEPENDENCYPART_ARC
(7,2),-0.961489 # DEPENDENCYPART_ARC
(7,3),-0.0526302 # DEPENDENCYPART_ARC
(7,4),-0.620126 # DEPENDENCYPART_ARC
(7,5),-0.286926 # DEPENDENCYPART_ARC
(7,6),0.303472 # DEPENDENCYPART_ARC
(7,8),0.586177 # DEPENDENCYPART_ARC
(7,9),0.0606567 # DEPENDENCYPART_ARC
(7,10),-0.55888 # DEPENDENCYPART_ARC
(7,11),-0.520579 # DEPENDENCYPART_ARC
(7,12),-1.10232 # DEPENDENCYPART_ARC
(7,13),-1.17461 # DEPENDENCYPART_ARC
(7,14),-0.418155 # DEPENDENCYPART_ARC
(8,1),-2.10975 # DEPENDENCYPART_ARC
(8,2),-0.935547 # DEPENDENCYPART_ARC
(8,3),-1.47418 # DEPENDENCYPART_ARC
(8,4),-1.70727 # DEPENDENCYPART_ARC
(8,5),-0.108527 # DEPENDENCYPART_ARC
(8,6),-0.449294 # DEPENDENCYPART_ARC
(8,7),-0.272193 # DEPENDENCYPART_ARC
(8,9),-0.262605 # DEPENDENCYPART_ARC
(8,10),-0.857446 # DEPENDENCYPART_ARC
(8,11),-0.45623 # DEPENDENCYPART_ARC
(8,12),-1.32831 # DEPENDENCYPART_ARC
(8,13),-1.69665 # DEPENDENCYPART_ARC
(8,14),-0.453054 # DEPENDENCYPART_ARC
(9,1),-2.30484 # DEPENDENCYPART_ARC
(9,2),-1.58958 # DEPENDENCYPART_ARC
(9,3),-0.421753 # DEPENDENCYPART_ARC
(9,4),-1.27446 # DEPENDENCYPART_ARC
(9,5),-0.839393 # DEPENDENCYPART_ARC
(9,6),0.140487 # DEPENDENCYPART_ARC
(9,7),1.37405 # DEPENDENCYPART_ARC
(9,8),0.498481 # DEPENDENCYPART_ARC
(9,10),0.61552 # DEPENDENCYPART_ARC
(9,11),-0.0128485 # DEPENDENCYPART_ARC
(9,12),-0.236362 # DEPENDENCYPART_ARC
(9,13),-0.677885 # DEPENDENCYPART_ARC
(9,14),-0.579417 # DEPENDENCYPART_ARC
(10,1),-1.59691 # DEPENDENCYPART_ARC
(10,2),-0.886137 # DEPENDENCYPART_ARC
(10,3),-0.778376 # DEPENDENCYPART_ARC
(10,4),-0.976828 # DEPENDENCYPART_ARC
(10,5),-0.905772 # DEPENDENCYPART_ARC
(10,6),0.00471832 # DEPENDENCYPART_ARC
(10,7),1.46182 # DEPENDENCYPART_ARC
(10,8),0.490963 # DEPENDENCYPART_ARC
(10,9),3.70963 # DEPENDENCYPART_ARC
(10,11),2.18083 # DEPENDENCYPART_ARC
(10,12),0.807473 # DEPENDENCYPART_ARC
(10,13),0.390284 # DEPENDENCYPART_ARC
(10,14),0.713137 # DEPENDENCYPART_ARC
(11,1),-1.76918 # DEPENDENCYPART_ARC
(11,2),-1.79862 # DEPENDENCYPART_ARC
(11,3),-2.14034 # DEPENDENCYPART_ARC
(11,4),-2.38127 # DEPENDENCYPART_ARC
(11,5),-0.408915 # DEPENDENCYPART_ARC
(11,6),-1.77526 # DEPENDENCYPART_ARC
(11,7),-1.58551 # DEPENDENCYPART_ARC
(11,8),-0.958539 # DEPENDENCYPART_ARC
(11,9),-1.34835 # DEPENDENCYPART_ARC
(11,10),-1.22074 # DEPENDENCYPART_ARC
(11,12),-0.440551 # DEPENDENCYPART_ARC
(11,13),-0.781541 # DEPENDENCYPART_ARC
(11,14),-0.839379 # DEPENDENCYPART_ARC
(12,1),-1.85276 # DEPENDENCYPART_ARC
(12,2),-0.512849 # DEPENDENCYPART_ARC
(12,3),-0.834839 # DEPENDENCYPART_ARC
(12,4),-1.2386 # DEPENDENCYPART_ARC
(12,5),-0.789794 # DEPENDENCYPART_ARC
(12,6),-0.46489 # DEPENDENCYPART_ARC
(12,7),-0.466223 # DEPENDENCYPART_ARC
(12,8),0.137565 # DEPENDENCYPART_ARC
(12,9),0.129951 # DEPENDENCYPART_ARC
(12,10),-0.343237 # DEPENDENCYPART_ARC
(12,11),0.735571 # DEPENDENCYPART_ARC
(12,13),2.7245 # DEPENDENCYPART_ARC
(12,14),0.535504 # DEPENDENCYPART_ARC
(13,1),-2.95407 # DEPENDENCYPART_ARC
(13,2),-2.02199 # DEPENDENCYPART_ARC
(13,3),-1.24994 # DEPENDENCYPART_ARC
(13,4),-2.00765 # DEPENDENCYPART_ARC
(13,5),-1.56802 # DEPENDENCYPART_ARC
(13,6),-1.68775 # DEPENDENCYPART_ARC
(13,7),-0.581296 # DEPENDENCYPART_ARC
(13,8),-1.05668 # DEPENDENCYPART_ARC
(13,9),-0.241732 # DEPENDENCYPART_ARC
(13,10),-0.670777 # DEPENDENCYPART_ARC
(13,11),-0.244553 # DEPENDENCYPART_ARC
(13,12),0.37503 # DEPENDENCYPART_ARC
(13,14),0.118633 # DEPENDENCYPART_ARC
(14,1),-2.35847 # DEPENDENCYPART_ARC
(14,2),-0.402977 # DEPENDENCYPART_ARC
(14,3),-1.98267 # DEPENDENCYPART_ARC
(14,4),-0.966236 # DEPENDENCYPART_ARC
(14,5),-0.914789 # DEPENDENCYPART_ARC
(14,6),-1.32891 # DEPENDENCYPART_ARC
(14,7),-1.6037 # DEPENDENCYPART_ARC
(14,8),0.1617 # DEPENDENCYPART_ARC
(14,9),-1.57433 # DEPENDENCYPART_ARC
(14,10),-1.11849 # DEPENDENCYPART_ARC
(14,11),-0.00686184 # DEPENDENCYPART_ARC
(14,12),-1.1615 # DEPENDENCYPART_ARC
(14,13),-0.899734 # DEPENDENCYPART_ARC
