# _root_ For the moment , at least , euphoria has replaced anxiety on Wall Street .
#goldHeads=9,3,1,9,9,5,9,9,0,9,10,10,14,12,9,
#predictedHeads=9,3,1,9,9,5,9,9,0,9,10,11,14,12,9,
(3,7),0.578666 # DEPENDENCYPART_ARC
(3,8),-0.0107231 # DEPENDENCYPART_ARC
(3,9),-0.239531 # DEPENDENCYPART_ARC
(3,10),-0.342644 # DEPENDENCYPART_ARC
(3,11),-1.15917 # DEPENDENCYPART_ARC
(3,12),-0.459149 # DEPENDENCYPART_ARC
(3,13),-1.32571 # DEPENDENCYPART_ARC
(3,14),-1.54945 # DEPENDENCYPART_ARC
(3,15),-0.688714 # DEPENDENCYPART_ARC
(4,1),-1.07825 # DEPENDENCYPART_ARC
(4,2),-0.655769 # DEPENDENCYPART_ARC
(4,3),-1.12202 # DEPENDENCYPART_ARC
(4,5),-0.172491 # DEPENDENCYPART_ARC
(4,6),-0.58231 # DEPENDENCYPART_ARC
(4,7),0.825828 # DEPENDENCYPART_ARC
(4,8),-1.18385 # DEPENDENCYPART_ARC
(4,9),-0.830723 # DEPENDENCYPART_ARC
(4,10),-1.25343 # DEPENDENCYPART_ARC
(4,11),-1.79297 # DEPENDENCYPART_ARC
(4,12),-1.142 # DEPENDENCYPART_ARC
(4,13),-1.7495 # DEPENDENCYPART_ARC
(4,14),-1.88062 # DEPENDENCYPART_ARC
(4,15),-1.12462 # DEPENDENCYPART_ARC
(5,1),-1.24525 # DEPENDENCYPART_ARC
(5,2),-0.571601 # DEPENDENCYPART_ARC
(5,3),-1.38364 # DEPENDENCYPART_ARC
(5,4),0.167881 # DEPENDENCYPART_ARC
(5,6),3.75947 # DEPENDENCYPART_ARC
(5,7),0.899527 # DEPENDENCYPART_ARC
(5,8),0.251239 # DEPENDENCYPART_ARC
(5,9),-0.0542733 # DEPENDENCYPART_ARC
(5,10),-0.433703 # DEPENDENCYPART_ARC
(5,11),-1.59079 # DEPENDENCYPART_ARC
(5,12),-0.440923 # DEPENDENCYPART_ARC
(5,13),-3.238 # DEPENDENCYPART_ARC
(5,14),-2.99207 # DEPENDENCYPART_ARC
(5,15),-0.877093 # DEPENDENCYPART_ARC
(6,1),-1.13368 # DEPENDENCYPART_ARC
(6,2),0.643914 # DEPENDENCYPART_ARC
(6,3),-0.723317 # DEPENDENCYPART_ARC
(6,4),-0.218578 # DEPENDENCYPART_ARC
(6,5),0.419578 # DEPENDENCYPART_ARC
(6,7),0.254727 # DEPENDENCYPART_ARC
(6,8),0.0536217 # DEPENDENCYPART_ARC
(6,9),-0.000577453 # DEPENDENCYPART_ARC
(6,10),-0.718016 # DEPENDENCYPART_ARC
(6,11),-0.78712 # DEPENDENCYPART_ARC
(6,12),-1.1228 # DEPENDENCYPART_ARC
(6,13),-1.36758 # DEPENDENCYPART_ARC
(6,14),-1.51468 # DEPENDENCYPART_ARC
(6,15),-0.972391 # DEPENDENCYPART_ARC
(7,1),-1.1264 # DEPENDENCYPART_ARC
(7,2),-0.872191 # DEPENDENCYPART_ARC
(7,3),-1.01931 # DEPENDENCYPART_ARC
(7,4),0.320537 # DEPENDENCYPART_ARC
(7,5),-0.744019 # DEPENDENCYPART_ARC
(7,6),0.0103854 # DEPENDENCYPART_ARC
(7,8),-0.608561 # DEPENDENCYPART_ARC
(7,9),-0.722461 # DEPENDENCYPART_ARC
(7,10),-1.39645 # DEPENDENCYPART_ARC
(7,11),-1.94566 # DEPENDENCYPART_ARC
(7,12),-1.60263 # DEPENDENCYPART_ARC
(7,13),-2.09965 # DEPENDENCYPART_ARC
(7,14),-2.24351 # DEPENDENCYPART_ARC
(7,15),-1.7234 # DEPENDENCYPART_ARC
(8,1),-0.309277 # DEPENDENCYPART_ARC
(8,2),1.26483 # DEPENDENCYPART_ARC
(8,3),-0.595699 # DEPENDENCYPART_ARC
(8,4),0.646543 # DEPENDENCYPART_ARC
(8,5),1.65617 # DEPENDENCYPART_ARC
(8,6),1.61239 # DEPENDENCYPART_ARC
(8,7),1.58737 # DEPENDENCYPART_ARC
(8,9),0.853918 # DEPENDENCYPART_ARC
(8,10),0.63113 # DEPENDENCYPART_ARC
(8,11),0.178413 # DEPENDENCYPART_ARC
(8,12),1.61693 # DEPENDENCYPART_ARC
(8,13),-0.59838 # DEPENDENCYPART_ARC
(8,14),-0.8585 # DEPENDENCYPART_ARC
(8,15),0.0514371 # DEPENDENCYPART_ARC
(9,1),3.05159 # DEPENDENCYPART_ARC
(9,2),-0.278337 # DEPENDENCYPART_ARC
(9,3),1.16817 # DEPENDENCYPART_ARC
(9,4),1.9171 # DEPENDENCYPART_ARC
(9,5),2.74128 # DEPENDENCYPART_ARC
(9,6),1.46188 # DEPENDENCYPART_ARC
(9,7),3.25209 # DEPENDENCYPART_ARC
(9,8),3.97964 # DEPENDENCYPART_ARC
(9,10),4.31223 # DEPENDENCYPART_ARC
(9,11),1.14923 # DEPENDENCYPART_ARC
(9,12),1.18017 # DEPENDENCYPART_ARC
(9,13),-0.472911 # DEPENDENCYPART_ARC
(9,14),-0.308232 # DEPENDENCYPART_ARC
(9,15),3.51247 # DEPENDENCYPART_ARC
(10,1),-1.00459 # DEPENDENCYPART_ARC
(10,2),-0.315627 # DEPENDENCYPART_ARC
(10,3),-1.04507 # DEPENDENCYPART_ARC
(10,4),-0.600029 # DEPENDENCYPART_ARC
(10,5),-0.134757 # DEPENDENCYPART_ARC
(10,6),0.142691 # DEPENDENCYPART_ARC
(10,7),0.645844 # DEPENDENCYPART_ARC
(10,8),0.277324 # DEPENDENCYPART_ARC
(10,9),0.520627 # DEPENDENCYPART_ARC
(10,11),2.42468 # DEPENDENCYPART_ARC
(10,12),2.23319 # DEPENDENCYPART_ARC
(10,13),0.409536 # DEPENDENCYPART_ARC
(10,14),0.739473 # DEPENDENCYPART_ARC
(10,15),0.443267 # DEPENDENCYPART_ARC
(11,1),-0.832138 # DEPENDENCYPART_ARC
(11,2),1.00385 # DEPENDENCYPART_ARC
(11,3),-1.34259 # DEPENDENCYPART_ARC
(11,4),-0.136082 # DEPENDENCYPART_ARC
(11,5),0.797093 # DEPENDENCYPART_ARC
(11,6),0.800724 # DEPENDENCYPART_ARC
(11,7),0.439186 # DEPENDENCYPART_ARC
(11,8),1.39679 # DEPENDENCYPART_ARC
(11,9),0.383887 # DEPENDENCYPART_ARC
(11,10),3.0708 # DEPENDENCYPART_ARC
(11,12),2.94256 # DEPENDENCYPART_ARC
(11,13),0.372845 # DEPENDENCYPART_ARC
(11,14),0.588158 # DEPENDENCYPART_ARC
(11,15),0.576408 # DEPENDENCYPART_ARC
(12,1),-2.16965 # DEPENDENCYPART_ARC
(12,2),-1.34461 # DEPENDENCYPART_ARC
(12,3),-2.07145 # DEPENDENCYPART_ARC
(12,4),-1.36492 # DEPENDENCYPART_ARC
(12,5),-0.0723698 # DEPENDENCYPART_ARC
(12,6),-1.19092 # DEPENDENCYPART_ARC
(12,7),-1.06903 # DEPENDENCYPART_ARC
(12,8),-0.65841 # DEPENDENCYPART_ARC
(12,9),-0.502276 # DEPENDENCYPART_ARC
(12,10),-0.338733 # DEPENDENCYPART_ARC
(12,11),0.52821 # DEPENDENCYPART_ARC
(12,13),2.61118 # DEPENDENCYPART_ARC
(12,14),3.21161 # DEPENDENCYPART_ARC
(12,15),-0.0787186 # DEPENDENCYPART_ARC
(13,1),-3.83276 # DEPENDENCYPART_ARC
(13,2),-4.23764 # DEPENDENCYPART_ARC
(13,3),-5.36834 # DEPENDENCYPART_ARC
(13,4),-4.22279 # DEPENDENCYPART_ARC
(13,5),-3.45167 # DEPENDENCYPART_ARC
(13,6),-3.10839 # DEPENDENCYPART_ARC
(13,7),-3.32014 # DEPENDENCYPART_ARC
(13,8),-1.99319 # DEPENDENCYPART_ARC
(13,9),-2.44272 # DEPENDENCYPART_ARC
(13,10),-1.60138 # DEPENDENCYPART_ARC
(13,11),-1.56293 # DEPENDENCYPART_ARC
(13,12),-0.674332 # DEPENDENCYPART_ARC
(13,14),1.69454 # DEPENDENCYPART_ARC
(13,15),-0.960536 # DEPENDENCYPART_ARC
(14,1),-2.13595 # DEPENDENCYPART_ARC
(14,2),-2.08445 # DEPENDENCYPART_ARC
(14,3),-4.47998 # DEPENDENCYPART_ARC
(14,4),-2.69888 # DEPENDENCYPART_ARC
(14,5),-1.80175 # DEPENDENCYPART_ARC
(14,6),-1.53109 # DEPENDENCYPART_ARC
(14,7),-1.61932 # DEPENDENCYPART_ARC
(14,8),-0.829484 # DEPENDENCYPART_ARC
(14,9),-1.08573 # DEPENDENCYPART_ARC
(14,10),0.0867574 # DEPENDENCYPART_ARC
(14,11),-0.0715732 # DEPENDENCYPART_ARC
(14,12),0.480693 # DEPENDENCYPART_ARC
(14,13),4.81523 # DEPENDENCYPART_ARC
(14,15),0.19258 # DEPENDENCYPART_ARC
(15,1),-2.73016 # DEPENDENCYPART_ARC
(15,2),-1.77834 # DEPENDENCYPART_ARC
(15,3),-1.90473 # DEPENDENCYPART_ARC
(15,4),-0.934343 # DEPENDENCYPART_ARC
(15,5),-1.73779 # DEPENDENCYPART_ARC
(15,6),-1.45893 # DEPENDENCYPART_ARC
(15,7),-0.815398 # DEPENDENCYPART_ARC
(15,8),-1.2841 # DEPENDENCYPART_ARC
(15,9),-0.70428 # DEPENDENCYPART_ARC
(15,10),-1.34794 # DEPENDENCYPART_ARC
(15,11),-1.29986 # DEPENDENCYPART_ARC
(15,12),-0.85805 # DEPENDENCYPART_ARC
(15,13),-1.40827 # DEPENDENCYPART_ARC
(15,14),-1.32418 # DEPENDENCYPART_ARC
