# _root_ That should stop a lot of account-churning , and produce a stock market driven only by professional concern , careful thought and good sense .
#goldHeads=2,0,2,5,3,5,6,3,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
#predictedHeads=2,0,2,5,3,5,6,2,3,9,13,13,10,13,14,14,18,16,18,21,18,21,24,22,2,
(11,15),-0.88554 # DEPENDENCYPART_ARC
(11,16),-1.12988 # DEPENDENCYPART_ARC
(11,17),-1.29297 # DEPENDENCYPART_ARC
(11,18),-1.26885 # DEPENDENCYPART_ARC
(11,19),-0.85887 # DEPENDENCYPART_ARC
(11,20),-1.59526 # DEPENDENCYPART_ARC
(11,21),-1.42066 # DEPENDENCYPART_ARC
(11,22),-1.38422 # DEPENDENCYPART_ARC
(11,23),-2.1807 # DEPENDENCYPART_ARC
(11,24),-2.07489 # DEPENDENCYPART_ARC
(11,25),-1.44771 # DEPENDENCYPART_ARC
(12,1),-6.65101 # DEPENDENCYPART_ARC
(12,2),-3.03548 # DEPENDENCYPART_ARC
(12,3),-2.90163 # DEPENDENCYPART_ARC
(12,4),-2.07438 # DEPENDENCYPART_ARC
(12,5),-3.80169 # DEPENDENCYPART_ARC
(12,6),-1.62244 # DEPENDENCYPART_ARC
(12,7),-1.99175 # DEPENDENCYPART_ARC
(12,8),-1.1383 # DEPENDENCYPART_ARC
(12,9),-1.15602 # DEPENDENCYPART_ARC
(12,10),-0.641473 # DEPENDENCYPART_ARC
(12,11),2.87375 # DEPENDENCYPART_ARC
(12,13),0.39953 # DEPENDENCYPART_ARC
(12,14),0.426482 # DEPENDENCYPART_ARC
(12,15),-0.856062 # DEPENDENCYPART_ARC
(12,16),-0.762977 # DEPENDENCYPART_ARC
(12,17),-1.24614 # DEPENDENCYPART_ARC
(12,18),-1.26437 # DEPENDENCYPART_ARC
(12,19),0.0957526 # DEPENDENCYPART_ARC
(12,20),-1.41883 # DEPENDENCYPART_ARC
(12,21),-1.29289 # DEPENDENCYPART_ARC
(12,22),-0.920537 # DEPENDENCYPART_ARC
(12,23),-2.07608 # DEPENDENCYPART_ARC
(12,24),-2.25867 # DEPENDENCYPART_ARC
(12,25),-1.00747 # DEPENDENCYPART_ARC
(13,1),-3.87034 # DEPENDENCYPART_ARC
(13,2),-1.5621 # DEPENDENCYPART_ARC
(13,3),-1.07267 # DEPENDENCYPART_ARC
(13,4),0.698381 # DEPENDENCYPART_ARC
(13,5),-1.3398 # DEPENDENCYPART_ARC
(13,6),-0.792776 # DEPENDENCYPART_ARC
(13,7),-0.217603 # DEPENDENCYPART_ARC
(13,8),-0.141012 # DEPENDENCYPART_ARC
(13,9),-0.106533 # DEPENDENCYPART_ARC
(13,10),0.69222 # DEPENDENCYPART_ARC
(13,11),4.45578 # DEPENDENCYPART_ARC
(13,12),4.51942 # DEPENDENCYPART_ARC
(13,14),1.65235 # DEPENDENCYPART_ARC
(13,15),-0.0888789 # DEPENDENCYPART_ARC
(13,16),0.10361 # DEPENDENCYPART_ARC
(13,17),-0.234328 # DEPENDENCYPART_ARC
(13,18),-0.0216449 # DEPENDENCYPART_ARC
(13,19),0.716377 # DEPENDENCYPART_ARC
(13,20),-0.284865 # DEPENDENCYPART_ARC
(13,21),-0.337928 # DEPENDENCYPART_ARC
(13,22),0.393043 # DEPENDENCYPART_ARC
(13,23),-0.775639 # DEPENDENCYPART_ARC
(13,24),-1.35422 # DEPENDENCYPART_ARC
(13,25),-0.0762852 # DEPENDENCYPART_ARC
(14,1),-0.465011 # DEPENDENCYPART_ARC
(14,2),-0.302601 # DEPENDENCYPART_ARC
(14,3),-0.809348 # DEPENDENCYPART_ARC
(14,4),0.0451579 # DEPENDENCYPART_ARC
(14,5),0.434499 # DEPENDENCYPART_ARC
(14,6),0.260979 # DEPENDENCYPART_ARC
(14,7),0.0869713 # DEPENDENCYPART_ARC
(14,8),0.693446 # DEPENDENCYPART_ARC
(14,9),-0.479272 # DEPENDENCYPART_ARC
(14,10),0.0972046 # DEPENDENCYPART_ARC
(14,11),1.2864 # DEPENDENCYPART_ARC
(14,12),1.48709 # DEPENDENCYPART_ARC
(14,13),1.6323 # DEPENDENCYPART_ARC
(14,15),2.40431 # DEPENDENCYPART_ARC
(14,16),3.76776 # DEPENDENCYPART_ARC
(14,17),0.867255 # DEPENDENCYPART_ARC
(14,18),1.91775 # DEPENDENCYPART_ARC
(14,19),1.3861 # DEPENDENCYPART_ARC
(14,20),0.403511 # DEPENDENCYPART_ARC
(14,21),0.329273 # DEPENDENCYPART_ARC
(14,22),1.72913 # DEPENDENCYPART_ARC
(14,23),-0.174502 # DEPENDENCYPART_ARC
(14,24),0.196057 # DEPENDENCYPART_ARC
(14,25),2.34005 # DEPENDENCYPART_ARC
(15,1),-1.60291 # DEPENDENCYPART_ARC
(15,2),-2.07186 # DEPENDENCYPART_ARC
(15,3),-1.96409 # DEPENDENCYPART_ARC
(15,4),-0.897698 # DEPENDENCYPART_ARC
(15,5),-1.3871 # DEPENDENCYPART_ARC
(15,6),-1.03002 # DEPENDENCYPART_ARC
(15,7),-1.66021 # DEPENDENCYPART_ARC
(15,8),-0.682594 # DEPENDENCYPART_ARC
(15,9),-1.232 # DEPENDENCYPART_ARC
(15,10),-1.20593 # DEPENDENCYPART_ARC
(15,11),0.170075 # DEPENDENCYPART_ARC
(15,12),-0.446078 # DEPENDENCYPART_ARC
(15,13),-0.797991 # DEPENDENCYPART_ARC
(15,14),0.487139 # DEPENDENCYPART_ARC
(15,16),1.60993 # DEPENDENCYPART_ARC
(15,17),1.29139 # DEPENDENCYPART_ARC
(15,18),0.159955 # DEPENDENCYPART_ARC
(15,19),0.237474 # DEPENDENCYPART_ARC
(15,20),0.0979105 # DEPENDENCYPART_ARC
(15,21),-1.46457 # DEPENDENCYPART_ARC
(15,22),0.0330434 # DEPENDENCYPART_ARC
(15,23),-0.838674 # DEPENDENCYPART_ARC
(15,24),-1.86489 # DEPENDENCYPART_ARC
(15,25),-0.0189524 # DEPENDENCYPART_ARC
(16,1),-1.85511 # DEPENDENCYPART_ARC
(16,2),-2.20118 # DEPENDENCYPART_ARC
(16,3),-1.53216 # DEPENDENCYPART_ARC
(16,4),-1.58289 # DEPENDENCYPART_ARC
(16,5),-1.70334 # DEPENDENCYPART_ARC
(16,6),-0.827026 # DEPENDENCYPART_ARC
(16,7),-1.65234 # DEPENDENCYPART_ARC
(16,8),-0.245487 # DEPENDENCYPART_ARC
(16,9),-0.29328 # DEPENDENCYPART_ARC
(16,10),-0.511545 # DEPENDENCYPART_ARC
(16,11),-0.232419 # DEPENDENCYPART_ARC
(16,12),-0.397346 # DEPENDENCYPART_ARC
(16,13),-0.325635 # DEPENDENCYPART_ARC
(16,14),0.112455 # DEPENDENCYPART_ARC
(16,15),2.37317 # DEPENDENCYPART_ARC
(16,17),1.76481 # DEPENDENCYPART_ARC
(16,18),4.33024 # DEPENDENCYPART_ARC
(16,19),1.55135 # DEPENDENCYPART_ARC
(16,20),-0.107998 # DEPENDENCYPART_ARC
(16,21),1.25664 # DEPENDENCYPART_ARC
(16,22),1.00151 # DEPENDENCYPART_ARC
(16,23),-1.08151 # DEPENDENCYPART_ARC
(16,24),0.0628662 # DEPENDENCYPART_ARC
(16,25),0.312874 # DEPENDENCYPART_ARC
(17,1),-2.94807 # DEPENDENCYPART_ARC
(17,2),-3.07975 # DEPENDENCYPART_ARC
(17,3),-2.54047 # DEPENDENCYPART_ARC
(17,4),-1.27514 # DEPENDENCYPART_ARC
(17,5),-1.88847 # DEPENDENCYPART_ARC
(17,6),-2.02434 # DEPENDENCYPART_ARC
(17,7),-1.84323 # DEPENDENCYPART_ARC
(17,8),-1.64349 # DEPENDENCYPART_ARC
(17,9),-2.2345 # DEPENDENCYPART_ARC
(17,10),-1.63643 # DEPENDENCYPART_ARC
(17,11),-0.3837 # DEPENDENCYPART_ARC
(17,12),-0.899605 # DEPENDENCYPART_ARC
(17,13),-0.714882 # DEPENDENCYPART_ARC
(17,14),-0.939314 # DEPENDENCYPART_ARC
(17,15),0.0636663 # DEPENDENCYPART_ARC
(17,16),0.839165 # DEPENDENCYPART_ARC
(17,18),0.799949 # DEPENDENCYPART_ARC
(17,19),-0.568533 # DEPENDENCYPART_ARC
(17,20),-0.549778 # DEPENDENCYPART_ARC
(17,21),-0.406922 # DEPENDENCYPART_ARC
(17,22),-0.683318 # DEPENDENCYPART_ARC
(17,23),-1.47926 # DEPENDENCYPART_ARC
(17,24),-1.37633 # DEPENDENCYPART_ARC
(17,25),-1.38432 # DEPENDENCYPART_ARC
(18,1),-6.80379 # DEPENDENCYPART_ARC
(18,2),-2.58877 # DEPENDENCYPART_ARC
(18,3),-2.4203 # DEPENDENCYPART_ARC
(18,4),-2.13811 # DEPENDENCYPART_ARC
(18,5),-3.76975 # DEPENDENCYPART_ARC
(18,6),-1.88186 # DEPENDENCYPART_ARC
(18,7),-2.04129 # DEPENDENCYPART_ARC
(18,8),-1.53883 # DEPENDENCYPART_ARC
(18,9),-1.31352 # DEPENDENCYPART_ARC
(18,10),-1.1157 # DEPENDENCYPART_ARC
(18,11),1.62464 # DEPENDENCYPART_ARC
(18,12),0.673159 # DEPENDENCYPART_ARC
(18,13),-0.528486 # DEPENDENCYPART_ARC
(18,14),0.307656 # DEPENDENCYPART_ARC
(18,15),1.7017 # DEPENDENCYPART_ARC
(18,16),1.01314 # DEPENDENCYPART_ARC
(18,17),4.26668 # DEPENDENCYPART_ARC
(18,19),2.15491 # DEPENDENCYPART_ARC
(18,20),1.14859 # DEPENDENCYPART_ARC
(18,21),1.79292 # DEPENDENCYPART_ARC
(18,22),0.78524 # DEPENDENCYPART_ARC
(18,23),0.164178 # DEPENDENCYPART_ARC
(18,24),0.194683 # DEPENDENCYPART_ARC
(18,25),0.0642264 # DEPENDENCYPART_ARC
(19,1),-3.08755 # DEPENDENCYPART_ARC
(19,2),-3.45527 # DEPENDENCYPART_ARC
(19,3),-3.13841 # DEPENDENCYPART_ARC
(19,4),-2.80274 # DEPENDENCYPART_ARC
(19,5),-2.67687 # DEPENDENCYPART_ARC
(19,6),-2.69767 # DEPENDENCYPART_ARC
(19,7),-2.46585 # DEPENDENCYPART_ARC
(19,8),-0.890658 # DEPENDENCYPART_ARC
(19,9),-2.76906 # DEPENDENCYPART_ARC
(19,10),-2.40881 # DEPENDENCYPART_ARC
(19,11),-1.89307 # DEPENDENCYPART_ARC
(19,12),-2.08497 # DEPENDENCYPART_ARC
(19,13),-1.96849 # DEPENDENCYPART_ARC
(19,14),-1.83035 # DEPENDENCYPART_ARC
(19,15),-2.23524 # DEPENDENCYPART_ARC
(19,16),-1.46128 # DEPENDENCYPART_ARC
(19,17),-1.65478 # DEPENDENCYPART_ARC
(19,18),-1.41017 # DEPENDENCYPART_ARC
(19,20),-0.116826 # DEPENDENCYPART_ARC
(19,21),-0.843814 # DEPENDENCYPART_ARC
(19,22),-0.989772 # DEPENDENCYPART_ARC
(19,23),-1.37529 # DEPENDENCYPART_ARC
(19,24),-1.75602 # DEPENDENCYPART_ARC
(19,25),-1.10455 # DEPENDENCYPART_ARC
(20,1),-2.9512 # DEPENDENCYPART_ARC
(20,2),-3.01315 # DEPENDENCYPART_ARC
(20,3),-2.48431 # DEPENDENCYPART_ARC
(20,4),-0.931517 # DEPENDENCYPART_ARC
(20,5),-1.69764 # DEPENDENCYPART_ARC
(20,6),-2.20796 # DEPENDENCYPART_ARC
(20,7),-1.84766 # DEPENDENCYPART_ARC
(20,8),-1.79876 # DEPENDENCYPART_ARC
(20,9),-2.29185 # DEPENDENCYPART_ARC
(20,10),-1.62485 # DEPENDENCYPART_ARC
(20,11),-0.0747389 # DEPENDENCYPART_ARC
(20,12),-1.09248 # DEPENDENCYPART_ARC
(20,13),-0.95102 # DEPENDENCYPART_ARC
(20,14),-1.39656 # DEPENDENCYPART_ARC
(20,15),-1.04575 # DEPENDENCYPART_ARC
(20,16),-0.569402 # DEPENDENCYPART_ARC
(20,17),0.723524 # DEPENDENCYPART_ARC
(20,18),-0.16419 # DEPENDENCYPART_ARC
(20,19),0.627191 # DEPENDENCYPART_ARC
(20,21),1.81717 # DEPENDENCYPART_ARC
(20,22),1.74537 # DEPENDENCYPART_ARC
(20,23),0.318987 # DEPENDENCYPART_ARC
(20,24),-0.0744467 # DEPENDENCYPART_ARC
(20,25),-0.44646 # DEPENDENCYPART_ARC
(21,1),-7.219 # DEPENDENCYPART_ARC
(21,2),-1.88956 # DEPENDENCYPART_ARC
(21,3),-2.65691 # DEPENDENCYPART_ARC
(21,4),-1.49339 # DEPENDENCYPART_ARC
(21,5),-3.61892 # DEPENDENCYPART_ARC
(21,6),-2.35931 # DEPENDENCYPART_ARC
