# _root_ `` All the things that we set up to slow down the process , to let people know that the market was in an extreme position , worked extremely well . ''
#goldHeads=28,4,4,28,7,7,4,7,7,9,10,13,10,9,9,15,16,16,18,21,22,19,22,26,26,23,28,0,28,29,28,28,
#predictedHeads=22,4,4,7,10,7,0,7,7,9,10,13,10,10,10,15,16,16,18,21,22,19,22,26,26,23,22,19,28,28,22,28,
(4,31),1.7573 # DEPENDENCYPART_ARC
(4,32),-1.05353 # DEPENDENCYPART_ARC
(5,1),0.0795257 # DEPENDENCYPART_ARC
(5,2),0.099352 # DEPENDENCYPART_ARC
(5,3),-0.203764 # DEPENDENCYPART_ARC
(5,4),0.0262002 # DEPENDENCYPART_ARC
(5,6),0.515805 # DEPENDENCYPART_ARC
(5,7),2.52826 # DEPENDENCYPART_ARC
(5,8),-0.571635 # DEPENDENCYPART_ARC
(5,9),-0.501618 # DEPENDENCYPART_ARC
(5,10),0.672712 # DEPENDENCYPART_ARC
(5,11),-1.22008 # DEPENDENCYPART_ARC
(5,12),-3.18311 # DEPENDENCYPART_ARC
(5,13),-4.14107 # DEPENDENCYPART_ARC
(5,14),1.27865 # DEPENDENCYPART_ARC
(5,15),-2.53739 # DEPENDENCYPART_ARC
(5,16),0.255468 # DEPENDENCYPART_ARC
(5,17),-6.87282 # DEPENDENCYPART_ARC
(5,18),-0.102696 # DEPENDENCYPART_ARC
(5,19),-1.3184 # DEPENDENCYPART_ARC
(5,20),-4.38466 # DEPENDENCYPART_ARC
(5,21),-8.02449 # DEPENDENCYPART_ARC
(5,22),0.783468 # DEPENDENCYPART_ARC
(5,23),-3.1317 # DEPENDENCYPART_ARC
(5,24),-4.55524 # DEPENDENCYPART_ARC
(5,25),-3.76088 # DEPENDENCYPART_ARC
(5,26),-11.1243 # DEPENDENCYPART_ARC
(5,27),0.753373 # DEPENDENCYPART_ARC
(5,28),-1.50632 # DEPENDENCYPART_ARC
(5,29),-3.52292 # DEPENDENCYPART_ARC
(5,30),-4.11352 # DEPENDENCYPART_ARC
(5,31),2.69038 # DEPENDENCYPART_ARC
(5,32),-0.434869 # DEPENDENCYPART_ARC
(6,1),-1.46446 # DEPENDENCYPART_ARC
(6,2),-0.493348 # DEPENDENCYPART_ARC
(6,3),-0.0375785 # DEPENDENCYPART_ARC
(6,4),-0.96468 # DEPENDENCYPART_ARC
(6,5),0.276034 # DEPENDENCYPART_ARC
(6,7),1.58378 # DEPENDENCYPART_ARC
(6,8),0.360192 # DEPENDENCYPART_ARC
(6,9),1.08195 # DEPENDENCYPART_ARC
(6,10),-0.490665 # DEPENDENCYPART_ARC
(6,11),-0.344063 # DEPENDENCYPART_ARC
(6,12),0.216889 # DEPENDENCYPART_ARC
(6,13),-0.260172 # DEPENDENCYPART_ARC
(6,14),0.299639 # DEPENDENCYPART_ARC
(6,15),0.305324 # DEPENDENCYPART_ARC
(6,16),-1.2699 # DEPENDENCYPART_ARC
(6,17),-0.727363 # DEPENDENCYPART_ARC
(6,18),-1.46964 # DEPENDENCYPART_ARC
(6,19),-0.735034 # DEPENDENCYPART_ARC
(6,20),-0.78419 # DEPENDENCYPART_ARC
(6,21),-0.943897 # DEPENDENCYPART_ARC
(6,22),-1.19336 # DEPENDENCYPART_ARC
(6,23),-1.13249 # DEPENDENCYPART_ARC
(6,24),-1.23376 # DEPENDENCYPART_ARC
(6,25),-2.15367 # DEPENDENCYPART_ARC
(6,26),-1.30363 # DEPENDENCYPART_ARC
(6,27),-1.1524 # DEPENDENCYPART_ARC
(6,28),-1.67761 # DEPENDENCYPART_ARC
(6,29),-1.92908 # DEPENDENCYPART_ARC
(6,30),-2.10623 # DEPENDENCYPART_ARC
(6,31),-1.18874 # DEPENDENCYPART_ARC
(6,32),-1.45643 # DEPENDENCYPART_ARC
(7,1),0.50139 # DEPENDENCYPART_ARC
(7,2),0.0137385 # DEPENDENCYPART_ARC
(7,3),-0.432908 # DEPENDENCYPART_ARC
(7,4),0.736766 # DEPENDENCYPART_ARC
(7,5),1.40473 # DEPENDENCYPART_ARC
(7,6),3.03514 # DEPENDENCYPART_ARC
(7,8),3.47622 # DEPENDENCYPART_ARC
(7,9),2.93273 # DEPENDENCYPART_ARC
(7,10),1.17019 # DEPENDENCYPART_ARC
(7,11),1.52472 # DEPENDENCYPART_ARC
(7,12),-0.336205 # DEPENDENCYPART_ARC
(7,13),1.22771 # DEPENDENCYPART_ARC
(7,14),1.64592 # DEPENDENCYPART_ARC
(7,15),0.631535 # DEPENDENCYPART_ARC
(7,16),-0.450496 # DEPENDENCYPART_ARC
(7,17),-0.251039 # DEPENDENCYPART_ARC
(7,18),-0.42967 # DEPENDENCYPART_ARC
(7,19),-1.76107 # DEPENDENCYPART_ARC
(7,20),-1.50416 # DEPENDENCYPART_ARC
(7,21),-1.68931 # DEPENDENCYPART_ARC
(7,22),-0.288488 # DEPENDENCYPART_ARC
(7,23),-0.976853 # DEPENDENCYPART_ARC
(7,24),-1.52915 # DEPENDENCYPART_ARC
(7,25),-2.41927 # DEPENDENCYPART_ARC
(7,26),-1.96628 # DEPENDENCYPART_ARC
(7,27),0.209135 # DEPENDENCYPART_ARC
(7,28),-0.90273 # DEPENDENCYPART_ARC
(7,29),-1.96776 # DEPENDENCYPART_ARC
(7,30),-1.35021 # DEPENDENCYPART_ARC
(7,31),2.41424 # DEPENDENCYPART_ARC
(7,32),2.31472 # DEPENDENCYPART_ARC
(8,1),-1.01413 # DEPENDENCYPART_ARC
(8,2),-0.56693 # DEPENDENCYPART_ARC
(8,3),-0.271545 # DEPENDENCYPART_ARC
(8,4),-0.870875 # DEPENDENCYPART_ARC
(8,5),0.547608 # DEPENDENCYPART_ARC
(8,6),-0.137666 # DEPENDENCYPART_ARC
(8,7),0.0909114 # DEPENDENCYPART_ARC
(8,9),0.922197 # DEPENDENCYPART_ARC
(8,10),0.0566737 # DEPENDENCYPART_ARC
(8,11),-0.47886 # DEPENDENCYPART_ARC
(8,12),-1.33429 # DEPENDENCYPART_ARC
(8,13),-0.53345 # DEPENDENCYPART_ARC
(8,14),-0.672969 # DEPENDENCYPART_ARC
(8,15),-0.271432 # DEPENDENCYPART_ARC
(8,16),-1.28108 # DEPENDENCYPART_ARC
(8,17),-1.02207 # DEPENDENCYPART_ARC
(8,18),-1.45622 # DEPENDENCYPART_ARC
(8,19),-0.906237 # DEPENDENCYPART_ARC
(8,20),-2.20098 # DEPENDENCYPART_ARC
(8,21),-2.00466 # DEPENDENCYPART_ARC
(8,22),-1.76765 # DEPENDENCYPART_ARC
(8,23),-1.55187 # DEPENDENCYPART_ARC
(8,24),-2.56949 # DEPENDENCYPART_ARC
(8,25),-2.62691 # DEPENDENCYPART_ARC
(8,26),-2.58091 # DEPENDENCYPART_ARC
(8,27),-2.27165 # DEPENDENCYPART_ARC
(8,28),-2.40982 # DEPENDENCYPART_ARC
(8,29),-2.95435 # DEPENDENCYPART_ARC
(8,30),-3.06352 # DEPENDENCYPART_ARC
(8,31),-1.88002 # DEPENDENCYPART_ARC
(8,32),-1.93654 # DEPENDENCYPART_ARC
(9,1),-0.98897 # DEPENDENCYPART_ARC
(9,2),-0.456989 # DEPENDENCYPART_ARC
(9,3),-0.412026 # DEPENDENCYPART_ARC
(9,4),-0.418945 # DEPENDENCYPART_ARC
(9,5),0.276903 # DEPENDENCYPART_ARC
(9,6),0.324671 # DEPENDENCYPART_ARC
(9,7),-0.0443611 # DEPENDENCYPART_ARC
(9,8),0.495615 # DEPENDENCYPART_ARC
(9,10),3.57163 # DEPENDENCYPART_ARC
(9,11),1.25964 # DEPENDENCYPART_ARC
(9,12),-0.881975 # DEPENDENCYPART_ARC
(9,13),0.192996 # DEPENDENCYPART_ARC
(9,14),1.46504 # DEPENDENCYPART_ARC
(9,15),0.865288 # DEPENDENCYPART_ARC
(9,16),0.322503 # DEPENDENCYPART_ARC
(9,17),-2.35035 # DEPENDENCYPART_ARC
(9,18),-1.07514 # DEPENDENCYPART_ARC
(9,19),-0.45415 # DEPENDENCYPART_ARC
(9,20),-2.16487 # DEPENDENCYPART_ARC
(9,21),-4.90414 # DEPENDENCYPART_ARC
(9,22),-1.23498 # DEPENDENCYPART_ARC
(9,23),-0.422988 # DEPENDENCYPART_ARC
(9,24),-1.95588 # DEPENDENCYPART_ARC
(9,25),-2.39799 # DEPENDENCYPART_ARC
(9,26),-7.03272 # DEPENDENCYPART_ARC
(9,27),0.615901 # DEPENDENCYPART_ARC
(9,28),-2.04052 # DEPENDENCYPART_ARC
(9,29),-0.954484 # DEPENDENCYPART_ARC
(9,30),-1.08566 # DEPENDENCYPART_ARC
(9,31),0.949194 # DEPENDENCYPART_ARC
(9,32),-0.404856 # DEPENDENCYPART_ARC
(10,1),0.150373 # DEPENDENCYPART_ARC
(10,2),-0.320052 # DEPENDENCYPART_ARC
(10,3),-0.177482 # DEPENDENCYPART_ARC
(10,4),0.0617508 # DEPENDENCYPART_ARC
(10,5),1.57273 # DEPENDENCYPART_ARC
(10,6),0.469498 # DEPENDENCYPART_ARC
(10,7),0.15592 # DEPENDENCYPART_ARC
(10,8),0.705513 # DEPENDENCYPART_ARC
(10,9),1.54167 # DEPENDENCYPART_ARC
(10,11),3.73627 # DEPENDENCYPART_ARC
(10,12),0.699684 # DEPENDENCYPART_ARC
(10,13),3.32981 # DEPENDENCYPART_ARC
(10,14),1.87737 # DEPENDENCYPART_ARC
(10,15),2.1296 # DEPENDENCYPART_ARC
(10,16),0.883692 # DEPENDENCYPART_ARC
(10,17),0.681113 # DEPENDENCYPART_ARC
(10,18),1.08123 # DEPENDENCYPART_ARC
(10,19),-0.079254 # DEPENDENCYPART_ARC
(10,20),-0.874833 # DEPENDENCYPART_ARC
(10,21),-0.435009 # DEPENDENCYPART_ARC
(10,22),-0.0311487 # DEPENDENCYPART_ARC
(10,23),-0.343751 # DEPENDENCYPART_ARC
(10,24),-1.07979 # DEPENDENCYPART_ARC
(10,25),-1.64943 # DEPENDENCYPART_ARC
(10,26),-1.79535 # DEPENDENCYPART_ARC
(10,27),1.3197 # DEPENDENCYPART_ARC
(10,28),-1.16845 # DEPENDENCYPART_ARC
(10,29),-0.843462 # DEPENDENCYPART_ARC
(10,30),-1.3597 # DEPENDENCYPART_ARC
(10,31),1.88997 # DEPENDENCYPART_ARC
(10,32),0.544147 # DEPENDENCYPART_ARC
(11,1),-0.943456 # DEPENDENCYPART_ARC
(11,2),-0.575572 # DEPENDENCYPART_ARC
(11,3),-0.377362 # DEPENDENCYPART_ARC
(11,4),-1.03984 # DEPENDENCYPART_ARC
(11,5),0.271209 # DEPENDENCYPART_ARC
(11,6),-0.958306 # DEPENDENCYPART_ARC
(11,7),-0.680884 # DEPENDENCYPART_ARC
(11,8),-0.116633 # DEPENDENCYPART_ARC
(11,9),0.0788396 # DEPENDENCYPART_ARC
(11,10),0.699744 # DEPENDENCYPART_ARC
(11,12),0.307146 # DEPENDENCYPART_ARC
(11,13),0.706648 # DEPENDENCYPART_ARC
(11,14),0.494739 # DEPENDENCYPART_ARC
(11,15),0.726533 # DEPENDENCYPART_ARC
(11,16),-0.219229 # DEPENDENCYPART_ARC
(11,17),0.0836596 # DEPENDENCYPART_ARC
(11,18),-0.533223 # DEPENDENCYPART_ARC
(11,19),-0.0894953 # DEPENDENCYPART_ARC
(11,20),-1.27698 # DEPENDENCYPART_ARC
(11,21),-1.06946 # DEPENDENCYPART_ARC
(11,22),-0.718392 # DEPENDENCYPART_ARC
(11,23),-0.565908 # DEPENDENCYPART_ARC
(11,24),-1.75035 # DEPENDENCYPART_ARC
(11,25),-1.48994 # DEPENDENCYPART_ARC
(11,26),-1.55326 # DEPENDENCYPART_ARC
(11,27),-0.535107 # DEPENDENCYPART_ARC
(11,28),-1.42288 # DEPENDENCYPART_ARC
(11,29),-1.49654 # DEPENDENCYPART_ARC
(11,30),-1.55484 # DEPENDENCYPART_ARC
(11,31),-1.98118 # DEPENDENCYPART_ARC
(11,32),-0.953968 # DEPENDENCYPART_ARC
(12,1),-3.22364 # DEPENDENCYPART_ARC
(12,2),-2.18153 # DEPENDENCYPART_ARC
(12,3),-2.11499 # DEPENDENCYPART_ARC
(12,4),-2.74103 # DEPENDENCYPART_ARC
(12,5),-2.05647 # DEPENDENCYPART_ARC
(12,6),-2.16925 # DEPENDENCYPART_ARC
(12,7),-2.28416 # DEPENDENCYPART_ARC
(12,8),-1.88098 # DEPENDENCYPART_ARC
(12,9),-1.65642 # DEPENDENCYPART_ARC
(12,10),-1.09138 # DEPENDENCYPART_ARC
(12,11),-0.507834 # DEPENDENCYPART_ARC
(12,13),-0.422905 # DEPENDENCYPART_ARC
(12,14),-1.57929 # DEPENDENCYPART_ARC
(12,15),-1.47948 # DEPENDENCYPART_ARC
(12,16),-1.84888 # DEPENDENCYPART_ARC
(12,17),-2.00317 # DEPENDENCYPART_ARC
(12,18),-2.31116 # DEPENDENCYPART_ARC
(12,19),-2.57103 # DEPENDENCYPART_ARC
(12,20),-2.96681 # DEPENDENCYPART_ARC
(12,21),-2.29045 # DEPENDENCYPART_ARC
(12,22),-2.54005 # DEPENDENCYPART_ARC
(12,23),-3.25467 # DEPENDENCYPART_ARC
(12,24),-3.61336 # DEPENDENCYPART_ARC
(12,25),-3.29922 # DEPENDENCYPART_ARC
(12,26),-3.08054 # DEPENDENCYPART_ARC
(12,27),-2.58549 # DEPENDENCYPART_ARC
(12,28),-4.04992 # DEPENDENCYPART_ARC
(12,29),-3.30858 # DEPENDENCYPART_ARC
(12,30),-3.3737 # DEPENDENCYPART_ARC
(12,31),-1.94942 # DEPENDENCYPART_ARC
(12,32),-2.14722 # DEPENDENCYPART_ARC
(13,1),-2.07071 # DEPENDENCYPART_ARC
(13,2),-2.91094 # DEPENDENCYPART_ARC
(13,3),-1.88788 # DEPENDENCYPART_ARC
(13,4),-1.44199 # DEPENDENCYPART_ARC
(13,5),0.16518 # DEPENDENCYPART_ARC
(13,6),-0.601405 # DEPENDENCYPART_ARC
(13,7),-0.35589 # DEPENDENCYPART_ARC
(13,8),-0.205901 # DEPENDENCYPART_ARC
(13,9),-0.428373 # DEPENDENCYPART_ARC
(13,10),0.276031 # DEPENDENCYPART_ARC
(13,11),0.766458 # DEPENDENCYPART_ARC
(13,12),4.94846 # DEPENDENCYPART_ARC
(13,14),0.824516 # DEPENDENCYPART_ARC
(13,15),0.646016 # DEPENDENCYPART_ARC
(13,16),0.00762263 # DEPENDENCYPART_ARC
(13,17),-0.278387 # DEPENDENCYPART_ARC
(13,18),-0.2522 # DEPENDENCYPART_ARC
(13,19),-1.19175 # DEPENDENCYPART_ARC
(13,20),-0.808344 # DEPENDENCYPART_ARC
(13,21),-0.747175 # DEPENDENCYPART_ARC
(13,22),-0.614783 # DEPENDENCYPART_ARC
(13,23),-1.54019 # DEPENDENCYPART_ARC
(13,24),-1.18392 # DEPENDENCYPART_ARC
(13,25),-1.70908 # DEPENDENCYPART_ARC
(13,26),-0.175814 # DEPENDENCYPART_ARC
(13,27),0.631043 # DEPENDENCYPART_ARC
(13,28),-1.79918 # DEPENDENCYPART_ARC
(13,29),-2.03291 # DEPENDENCYPART_ARC
(13,30),-1.10497 # DEPENDENCYPART_ARC
(13,31),0.840075 # DEPENDENCYPART_ARC
(13,32),-1.45185 # DEPENDENCYPART_ARC
(14,1),-2.02281 # DEPENDENCYPART_ARC
(14,2),-2.08762 # DEPENDENCYPART_ARC
(14,3),-1.9487 # DEPENDENCYPART_ARC
(14,4),-2.01064 # DEPENDENCYPART_ARC
(14,5),-1.80875 # DEPENDENCYPART_ARC
(14,6),-2.07877 # DEPENDENCYPART_ARC
(14,7),-1.45948 # DEPENDENCYPART_ARC
(14,8),-1.63759 # DEPENDENCYPART_ARC
(14,9),-1.49022 # DEPENDENCYPART_ARC
(14,10),-1.49149 # DEPENDENCYPART_ARC
(14,11),-1.10377 # DEPENDENCYPART_ARC
(14,12),-0.610233 # DEPENDENCYPART_ARC
(14,13),-0.966159 # DEPENDENCYPART_ARC
(14,15),-0.223478 # DEPENDENCYPART_ARC
(14,16),-0.160332 # DEPENDENCYPART_ARC
(14,17),-1.03308 # DEPENDENCYPART_ARC
(14,18),-0.889605 # DEPENDENCYPART_ARC
(14,19),-1.20448 # DEPENDENCYPART_ARC
(14,20),-1.60417 # DEPENDENCYPART_ARC
(14,21),-1.99509 # DEPENDENCYPART_ARC
(14,22),-1.38184 # DEPENDENCYPART_ARC
(14,23),-1.60848 # DEPENDENCYPART_ARC
(14,24),-2.0099 # DEPENDENCYPART_ARC
(14,25),-2.30204 # DEPENDENCYPART_ARC
(14,26),-2.66165 # DEPENDENCYPART_ARC
(14,27),-0.514822 # DEPENDENCYPART_ARC
(14,28),-1.96876 # DEPENDENCYPART_ARC
(14,29),-2.46114 # DEPENDENCYPART_ARC
(14,30),-2.60709 # DEPENDENCYPART_ARC
(14,31),-1.99534 # DEPENDENCYPART_ARC
(14,32),-1.92381 # DEPENDENCYPART_ARC
(15,1),-1.18194 # DEPENDENCYPART_ARC
(15,2),-0.917946 # DEPENDENCYPART_ARC
(15,3),-0.904179 # DEPENDENCYPART_ARC
(15,4),-1.0368 # DEPENDENCYPART_ARC
(15,5),0.0403367 # DEPENDENCYPART_ARC
(15,6),-0.336813 # DEPENDENCYPART_ARC
(15,7),-0.395562 # DEPENDENCYPART_ARC
(15,8),-0.728965 # DEPENDENCYPART_ARC
(15,9),0.413981 # DEPENDENCYPART_ARC
(15,10),-0.0724109 # DEPENDENCYPART_ARC
(15,11),-0.179021 # DEPENDENCYPART_ARC
(15,12),0.882285 # DEPENDENCYPART_ARC
(15,13),0.133072 # DEPENDENCYPART_ARC
(15,14),0.860992 # DEPENDENCYPART_ARC
(15,16),3.67473 # DEPENDENCYPART_ARC
(15,17),1.8706 # DEPENDENCYPART_ARC
(15,18),0.962003 # DEPENDENCYPART_ARC
(15,19),0.256263 # DEPENDENCYPART_ARC
(15,20),-1.23714 # DEPENDENCYPART_ARC
(15,21),-2.0711 # DEPENDENCYPART_ARC
(15,22),-0.280256 # DEPENDENCYPART_ARC
(15,23),0.161003 # DEPENDENCYPART_ARC
(15,24),-1.11725 # DEPENDENCYPART_ARC
(15,25),-1.3123 # DEPENDENCYPART_ARC
(15,26),-4.22764 # DEPENDENCYPART_ARC
(15,27),1.18089 # DEPENDENCYPART_ARC
(15,28),-1.11054 # DEPENDENCYPART_ARC
(15,29),-0.488014 # DEPENDENCYPART_ARC
(15,30),-0.608406 # DEPENDENCYPART_ARC
(15,31),0.833297 # DEPENDENCYPART_ARC
(15,32),-0.129685 # DEPENDENCYPART_ARC
(16,1),-1.23693 # DEPENDENCYPART_ARC
(16,2),-1.55759 # DEPENDENCYPART_ARC
(16,3),-1.39636 # DEPENDENCYPART_ARC
(16,4),-1.30894 # DEPENDENCYPART_ARC
(16,5),0.528012 # DEPENDENCYPART_ARC
(16,6),-0.868247 # DEPENDENCYPART_ARC
(16,7),-1.05426 # DEPENDENCYPART_ARC
(16,8),-0.736735 # DEPENDENCYPART_ARC
(16,9),-0.367197 # DEPENDENCYPART_ARC
(16,10),-0.190922 # DEPENDENCYPART_ARC
(16,11),-0.288266 # DEPENDENCYPART_ARC
