# _root_ At Shearson Lehman , executives created potential new commercials Friday night and throughout the weekend , then had to regroup yesterday afternoon .
#goldHeads=6,3,1,6,6,0,9,9,6,11,6,11,12,15,13,6,18,6,18,19,22,20,6,
#predictedHeads=6,3,1,6,6,0,9,9,6,11,6,6,12,15,13,18,18,12,18,19,22,20,6,
(5,20),-0.749922 # DEPENDENCYPART_ARC
(5,21),-1.05874 # DEPENDENCYPART_ARC
(5,22),-1.68877 # DEPENDENCYPART_ARC
(5,23),0.59303 # DEPENDENCYPART_ARC
(6,1),2.14013 # DEPENDENCYPART_ARC
(6,2),1.18082 # DEPENDENCYPART_ARC
(6,3),1.18803 # DEPENDENCYPART_ARC
(6,4),3.18697 # DEPENDENCYPART_ARC
(6,5),3.56674 # DEPENDENCYPART_ARC
(6,7),2.0281 # DEPENDENCYPART_ARC
(6,8),0.478207 # DEPENDENCYPART_ARC
(6,9),2.37971 # DEPENDENCYPART_ARC
(6,10),2.16251 # DEPENDENCYPART_ARC
(6,11),2.11708 # DEPENDENCYPART_ARC
(6,12),1.3704 # DEPENDENCYPART_ARC
(6,13),1.81537 # DEPENDENCYPART_ARC
(6,14),-0.866562 # DEPENDENCYPART_ARC
(6,15),0.293664 # DEPENDENCYPART_ARC
(6,16),0.656588 # DEPENDENCYPART_ARC
(6,17),1.12683 # DEPENDENCYPART_ARC
(6,18),0.0167562 # DEPENDENCYPART_ARC
(6,19),0.353022 # DEPENDENCYPART_ARC
(6,20),-0.64987 # DEPENDENCYPART_ARC
(6,21),0.38682 # DEPENDENCYPART_ARC
(6,22),-1.36398 # DEPENDENCYPART_ARC
(6,23),5.214 # DEPENDENCYPART_ARC
(7,1),-0.990224 # DEPENDENCYPART_ARC
(7,2),-0.119982 # DEPENDENCYPART_ARC
(7,3),-0.788655 # DEPENDENCYPART_ARC
(7,4),-0.259016 # DEPENDENCYPART_ARC
(7,5),-0.0743563 # DEPENDENCYPART_ARC
(7,6),-0.0991921 # DEPENDENCYPART_ARC
(7,8),1.57668 # DEPENDENCYPART_ARC
(7,9),1.01709 # DEPENDENCYPART_ARC
(7,10),0.359765 # DEPENDENCYPART_ARC
(7,11),0.338715 # DEPENDENCYPART_ARC
(7,12),-0.24664 # DEPENDENCYPART_ARC
(7,13),-0.299362 # DEPENDENCYPART_ARC
(7,14),-1.17849 # DEPENDENCYPART_ARC
(7,15),-0.83076 # DEPENDENCYPART_ARC
(7,16),-0.158856 # DEPENDENCYPART_ARC
(7,17),-0.848357 # DEPENDENCYPART_ARC
(7,18),-0.508251 # DEPENDENCYPART_ARC
(7,19),0.0307809 # DEPENDENCYPART_ARC
(7,20),-1.41557 # DEPENDENCYPART_ARC
(7,21),-1.37645 # DEPENDENCYPART_ARC
(7,22),-1.42101 # DEPENDENCYPART_ARC
(7,23),-0.124653 # DEPENDENCYPART_ARC
(8,1),-1.49035 # DEPENDENCYPART_ARC
(8,2),-0.835238 # DEPENDENCYPART_ARC
(8,3),-1.34921 # DEPENDENCYPART_ARC
(8,4),-0.787422 # DEPENDENCYPART_ARC
(8,5),-0.591906 # DEPENDENCYPART_ARC
(8,6),-0.998585 # DEPENDENCYPART_ARC
(8,7),1.96193 # DEPENDENCYPART_ARC
(8,9),0.856569 # DEPENDENCYPART_ARC
(8,10),-0.0634221 # DEPENDENCYPART_ARC
(8,11),0.0722683 # DEPENDENCYPART_ARC
(8,12),-0.403368 # DEPENDENCYPART_ARC
(8,13),-1.1917 # DEPENDENCYPART_ARC
(8,14),-1.69182 # DEPENDENCYPART_ARC
(8,15),-1.17957 # DEPENDENCYPART_ARC
(8,16),-0.597726 # DEPENDENCYPART_ARC
(8,17),-1.36426 # DEPENDENCYPART_ARC
(8,18),-1.07173 # DEPENDENCYPART_ARC
(8,19),-1.19399 # DEPENDENCYPART_ARC
(8,20),-1.99143 # DEPENDENCYPART_ARC
(8,21),-1.74134 # DEPENDENCYPART_ARC
(8,22),-2.05307 # DEPENDENCYPART_ARC
(8,23),-0.639596 # DEPENDENCYPART_ARC
(9,1),-0.719991 # DEPENDENCYPART_ARC
(9,2),0.5145 # DEPENDENCYPART_ARC
(9,3),-0.895009 # DEPENDENCYPART_ARC
(9,4),0.11 # DEPENDENCYPART_ARC
(9,5),0.50325 # DEPENDENCYPART_ARC
(9,6),0.452703 # DEPENDENCYPART_ARC
(9,7),3.73068 # DEPENDENCYPART_ARC
(9,8),4.26803 # DEPENDENCYPART_ARC
(9,10),1.38929 # DEPENDENCYPART_ARC
(9,11),1.49671 # DEPENDENCYPART_ARC
(9,12),0.807835 # DEPENDENCYPART_ARC
(9,13),0.838099 # DEPENDENCYPART_ARC
(9,14),-0.22221 # DEPENDENCYPART_ARC
(9,15),0.522672 # DEPENDENCYPART_ARC
(9,16),1.14379 # DEPENDENCYPART_ARC
(9,17),0.337591 # DEPENDENCYPART_ARC
(9,18),0.957894 # DEPENDENCYPART_ARC
(9,19),-0.0220023 # DEPENDENCYPART_ARC
(9,20),-0.147555 # DEPENDENCYPART_ARC
(9,21),-0.0676612 # DEPENDENCYPART_ARC
(9,22),-0.63525 # DEPENDENCYPART_ARC
(9,23),0.796817 # DEPENDENCYPART_ARC
(10,1),-4.09504 # DEPENDENCYPART_ARC
(10,2),-3.74759 # DEPENDENCYPART_ARC
(10,3),-4.11417 # DEPENDENCYPART_ARC
(10,4),-1.63403 # DEPENDENCYPART_ARC
(10,5),-2.40357 # DEPENDENCYPART_ARC
(10,6),-2.77063 # DEPENDENCYPART_ARC
(10,7),-0.148003 # DEPENDENCYPART_ARC
(10,8),0.150102 # DEPENDENCYPART_ARC
(10,9),-0.421132 # DEPENDENCYPART_ARC
(10,11),0.509234 # DEPENDENCYPART_ARC
(10,12),-0.280995 # DEPENDENCYPART_ARC
(10,13),-0.617651 # DEPENDENCYPART_ARC
(10,14),-0.136778 # DEPENDENCYPART_ARC
(10,15),-1.88062 # DEPENDENCYPART_ARC
(10,16),-1.19014 # DEPENDENCYPART_ARC
(10,17),-1.66384 # DEPENDENCYPART_ARC
(10,18),-1.38011 # DEPENDENCYPART_ARC
(10,19),-1.49039 # DEPENDENCYPART_ARC
(10,20),-2.22813 # DEPENDENCYPART_ARC
(10,21),-4.46649 # DEPENDENCYPART_ARC
(10,22),-4.57813 # DEPENDENCYPART_ARC
(10,23),-0.856157 # DEPENDENCYPART_ARC
(11,1),-1.43658 # DEPENDENCYPART_ARC
(11,2),0.108976 # DEPENDENCYPART_ARC
(11,3),-1.19617 # DEPENDENCYPART_ARC
(11,4),-0.307277 # DEPENDENCYPART_ARC
(11,5),-0.167544 # DEPENDENCYPART_ARC
(11,6),-0.0252789 # DEPENDENCYPART_ARC
(11,7),2.43494 # DEPENDENCYPART_ARC
(11,8),2.66738 # DEPENDENCYPART_ARC
(11,9),1.89185 # DEPENDENCYPART_ARC
(11,10),3.90931 # DEPENDENCYPART_ARC
(11,12),1.00355 # DEPENDENCYPART_ARC
(11,13),-0.0617566 # DEPENDENCYPART_ARC
(11,14),-0.469771 # DEPENDENCYPART_ARC
(11,15),-0.421539 # DEPENDENCYPART_ARC
(11,16),0.262431 # DEPENDENCYPART_ARC
(11,17),-0.470642 # DEPENDENCYPART_ARC
(11,18),-0.0264893 # DEPENDENCYPART_ARC
(11,19),-0.351491 # DEPENDENCYPART_ARC
(11,20),-0.831613 # DEPENDENCYPART_ARC
(11,21),-0.848757 # DEPENDENCYPART_ARC
(11,22),-1.70643 # DEPENDENCYPART_ARC
(11,23),0.423853 # DEPENDENCYPART_ARC
(12,1),-1.56274 # DEPENDENCYPART_ARC
(12,2),-0.925371 # DEPENDENCYPART_ARC
(12,3),-0.871807 # DEPENDENCYPART_ARC
(12,4),-1.50645 # DEPENDENCYPART_ARC
(12,5),-0.919329 # DEPENDENCYPART_ARC
(12,6),-0.234996 # DEPENDENCYPART_ARC
(12,7),-0.819481 # DEPENDENCYPART_ARC
(12,8),-0.668709 # DEPENDENCYPART_ARC
(12,9),-0.205849 # DEPENDENCYPART_ARC
(12,10),-0.0339406 # DEPENDENCYPART_ARC
(12,11),0.280395 # DEPENDENCYPART_ARC
(12,13),3.13593 # DEPENDENCYPART_ARC
(12,14),0.373673 # DEPENDENCYPART_ARC
(12,15),1.04348 # DEPENDENCYPART_ARC
(12,16),0.938804 # DEPENDENCYPART_ARC
(12,17),0.118452 # DEPENDENCYPART_ARC
(12,18),1.81743 # DEPENDENCYPART_ARC
(12,19),1.07515 # DEPENDENCYPART_ARC
(12,20),0.355993 # DEPENDENCYPART_ARC
(12,21),-2.54571 # DEPENDENCYPART_ARC
(12,22),-1.54362 # DEPENDENCYPART_ARC
(12,23),0.842413 # DEPENDENCYPART_ARC
(13,1),-2.63114 # DEPENDENCYPART_ARC
(13,2),-2.26085 # DEPENDENCYPART_ARC
(13,3),-2.19872 # DEPENDENCYPART_ARC
(13,4),-1.92207 # DEPENDENCYPART_ARC
(13,5),-1.42982 # DEPENDENCYPART_ARC
(13,6),-1.81686 # DEPENDENCYPART_ARC
(13,7),-1.36779 # DEPENDENCYPART_ARC
(13,8),-1.21607 # DEPENDENCYPART_ARC
(13,9),-1.39841 # DEPENDENCYPART_ARC
(13,10),-1.0834 # DEPENDENCYPART_ARC
(13,11),-1.01671 # DEPENDENCYPART_ARC
(13,12),0.273838 # DEPENDENCYPART_ARC
(13,14),0.680984 # DEPENDENCYPART_ARC
(13,15),3.42749 # DEPENDENCYPART_ARC
(13,16),1.19092 # DEPENDENCYPART_ARC
(13,17),1.10832 # DEPENDENCYPART_ARC
(13,18),1.64745 # DEPENDENCYPART_ARC
(13,19),-0.310168 # DEPENDENCYPART_ARC
(13,20),0.289866 # DEPENDENCYPART_ARC
(13,21),-3.2651 # DEPENDENCYPART_ARC
(13,22),-1.16499 # DEPENDENCYPART_ARC
(13,23),0.804127 # DEPENDENCYPART_ARC
(14,1),-2.71141 # DEPENDENCYPART_ARC
(14,2),-2.95244 # DEPENDENCYPART_ARC
(14,3),-2.86204 # DEPENDENCYPART_ARC
(14,4),-2.45749 # DEPENDENCYPART_ARC
(14,5),-2.58552 # DEPENDENCYPART_ARC
(14,6),-2.31555 # DEPENDENCYPART_ARC
(14,7),-2.16275 # DEPENDENCYPART_ARC
(14,8),-2.02147 # DEPENDENCYPART_ARC
(14,9),-2.05447 # DEPENDENCYPART_ARC
(14,10),-1.73334 # DEPENDENCYPART_ARC
(14,11),-1.58219 # DEPENDENCYPART_ARC
(14,12),-1.26131 # DEPENDENCYPART_ARC
(14,13),-0.000537867 # DEPENDENCYPART_ARC
(14,15),-0.364859 # DEPENDENCYPART_ARC
(14,16),-1.95282 # DEPENDENCYPART_ARC
(14,17),-1.94651 # DEPENDENCYPART_ARC
(14,18),-2.07594 # DEPENDENCYPART_ARC
(14,19),-2.4992 # DEPENDENCYPART_ARC
(14,20),-2.66531 # DEPENDENCYPART_ARC
(14,21),-2.44988 # DEPENDENCYPART_ARC
(14,22),-2.60087 # DEPENDENCYPART_ARC
(14,23),-2.5115 # DEPENDENCYPART_ARC
(15,1),-3.34947 # DEPENDENCYPART_ARC
(15,2),-3.45546 # DEPENDENCYPART_ARC
(15,3),-4.67347 # DEPENDENCYPART_ARC
(15,4),-2.39384 # DEPENDENCYPART_ARC
(15,5),-2.33119 # DEPENDENCYPART_ARC
(15,6),-1.64023 # DEPENDENCYPART_ARC
(15,7),-1.04429 # DEPENDENCYPART_ARC
(15,8),-1.10489 # DEPENDENCYPART_ARC
(15,9),-1.63959 # DEPENDENCYPART_ARC
(15,10),-0.410097 # DEPENDENCYPART_ARC
(15,11),-1.64433 # DEPENDENCYPART_ARC
(15,12),-0.178255 # DEPENDENCYPART_ARC
(15,13),0.693623 # DEPENDENCYPART_ARC
(15,14),4.75183 # DEPENDENCYPART_ARC
(15,16),0.870265 # DEPENDENCYPART_ARC
(15,17),-0.122905 # DEPENDENCYPART_ARC
(15,18),0.658651 # DEPENDENCYPART_ARC
(15,19),-0.542825 # DEPENDENCYPART_ARC
(15,20),-0.377322 # DEPENDENCYPART_ARC
(15,21),-0.288464 # DEPENDENCYPART_ARC
(15,22),-0.526177 # DEPENDENCYPART_ARC
(15,23),0.127607 # DEPENDENCYPART_ARC
(16,1),-2.59065 # DEPENDENCYPART_ARC
(16,2),-2.89829 # DEPENDENCYPART_ARC
(16,3),-2.81496 # DEPENDENCYPART_ARC
(16,4),-0.566724 # DEPENDENCYPART_ARC
(16,5),-2.02032 # DEPENDENCYPART_ARC
(16,6),-1.85034 # DEPENDENCYPART_ARC
(16,7),-2.05876 # DEPENDENCYPART_ARC
(16,8),-1.96938 # DEPENDENCYPART_ARC
(16,9),-1.75857 # DEPENDENCYPART_ARC
(16,10),-1.89212 # DEPENDENCYPART_ARC
(16,11),-1.69247 # DEPENDENCYPART_ARC
(16,12),-1.79924 # DEPENDENCYPART_ARC
(16,13),-1.06648 # DEPENDENCYPART_ARC
(16,14),-0.675573 # DEPENDENCYPART_ARC
(16,15),-1.04822 # DEPENDENCYPART_ARC
(16,17),-0.0677488 # DEPENDENCYPART_ARC
(16,18),0.0165354 # DEPENDENCYPART_ARC
(16,19),-0.724799 # DEPENDENCYPART_ARC
(16,20),-0.68977 # DEPENDENCYPART_ARC
(16,21),-1.33184 # DEPENDENCYPART_ARC
(16,22),-1.61844 # DEPENDENCYPART_ARC
(16,23),-0.934914 # DEPENDENCYPART_ARC
(17,1),-2.48271 # DEPENDENCYPART_ARC
(17,2),-2.91512 # DEPENDENCYPART_ARC
(17,3),-2.80698 # DEPENDENCYPART_ARC
(17,4),-1.88723 # DEPENDENCYPART_ARC
(17,5),-2.53227 # DEPENDENCYPART_ARC
(17,6),-2.34831 # DEPENDENCYPART_ARC
(17,7),-1.24879 # DEPENDENCYPART_ARC
(17,8),-1.28521 # DEPENDENCYPART_ARC
(17,9),-2.00279 # DEPENDENCYPART_ARC
(17,10),-1.90954 # DEPENDENCYPART_ARC
(17,11),-1.9669 # DEPENDENCYPART_ARC
(17,12),-1.93586 # DEPENDENCYPART_ARC
(17,13),-1.14518 # DEPENDENCYPART_ARC
(17,14),-0.176922 # DEPENDENCYPART_ARC
(17,15),-1.08192 # DEPENDENCYPART_ARC
(17,16),0.0312594 # DEPENDENCYPART_ARC
(17,18),1.37179 # DEPENDENCYPART_ARC
(17,19),0.373864 # DEPENDENCYPART_ARC
(17,20),0.168239 # DEPENDENCYPART_ARC
(17,21),-0.233113 # DEPENDENCYPART_ARC
(17,22),-0.469289 # DEPENDENCYPART_ARC
(17,23),-0.479401 # DEPENDENCYPART_ARC
(18,1),0.424614 # DEPENDENCYPART_ARC
(18,2),0.49684 # DEPENDENCYPART_ARC
(18,3),-0.293448 # DEPENDENCYPART_ARC
(18,4),0.324287 # DEPENDENCYPART_ARC
(18,5),-0.222668 # DEPENDENCYPART_ARC
(18,6),-1.1514 # DEPENDENCYPART_ARC
(18,7),-0.30894 # DEPENDENCYPART_ARC
(18,8),-0.615308 # DEPENDENCYPART_ARC
(18,9),-0.0425473 # DEPENDENCYPART_ARC
(18,10),0.544976 # DEPENDENCYPART_ARC
(18,11),0.293917 # DEPENDENCYPART_ARC
(18,12),0.154993 # DEPENDENCYPART_ARC
(18,13),1.37785 # DEPENDENCYPART_ARC
(18,14),-0.219705 # DEPENDENCYPART_ARC
(18,15),0.729011 # DEPENDENCYPART_ARC
(18,16),1.4961 # DEPENDENCYPART_ARC
(18,17),2.2703 # DEPENDENCYPART_ARC
(18,19),3.67531 # DEPENDENCYPART_ARC
(18,20),1.84846 # DEPENDENCYPART_ARC
(18,21),2.64227 # DEPENDENCYPART_ARC
(18,22),1.51974 # DEPENDENCYPART_ARC
(18,23),3.60767 # DEPENDENCYPART_ARC
(19,1),-2.42708 # DEPENDENCYPART_ARC
(19,2),-1.28447 # DEPENDENCYPART_ARC
(19,3),-1.65226 # DEPENDENCYPART_ARC
(19,4),-1.72779 # DEPENDENCYPART_ARC
(19,5),-1.60113 # DEPENDENCYPART_ARC
(19,6),-1.73067 # DEPENDENCYPART_ARC
(19,7),-1.94318 # DEPENDENCYPART_ARC
(19,8),-1.81061 # DEPENDENCYPART_ARC
(19,9),-0.683233 # DEPENDENCYPART_ARC
(19,10),-1.01506 # DEPENDENCYPART_ARC
(19,11),-1.24872 # DEPENDENCYPART_ARC
(19,12),-1.05884 # DEPENDENCYPART_ARC
(19,13),-0.24884 # DEPENDENCYPART_ARC
(19,14),-0.363863 # DEPENDENCYPART_ARC
(19,15),-0.763439 # DEPENDENCYPART_ARC
(19,16),0.0158712 # DEPENDENCYPART_ARC
(19,17),0.0955865 # DEPENDENCYPART_ARC
(19,18),0.820281 # DEPENDENCYPART_ARC
(19,20),3.81663 # DEPENDENCYPART_ARC
(19,21),0.500254 # DEPENDENCYPART_ARC
(19,22),0.98749 # DEPENDENCYPART_ARC
(19,23),0.548588 # DEPENDENCYPART_ARC
(20,1),-0.846429 # DEPENDENCYPART_ARC
(20,2),-0.854982 # DEPENDENCYPART_ARC
(20,3),-1.13534 # DEPENDENCYPART_ARC
(20,4),0.0139167 # DEPENDENCYPART_ARC
(20,5),-0.332831 # DEPENDENCYPART_ARC
(20,6),-0.933494 # DEPENDENCYPART_ARC
(20,7),-0.333446 # DEPENDENCYPART_ARC
(20,8),-0.317766 # DEPENDENCYPART_ARC
(20,9),-0.0375206 # DEPENDENCYPART_ARC
(20,10),-0.162998 # DEPENDENCYPART_ARC
(20,11),-0.211159 # DEPENDENCYPART_ARC
(20,12),-0.568451 # DEPENDENCYPART_ARC
(20,13),0.614397 # DEPENDENCYPART_ARC
(20,14),0.367185 # DEPENDENCYPART_ARC
(20,15),0.00764489 # DEPENDENCYPART_ARC
(20,16),0.640545 # DEPENDENCYPART_ARC
(20,17),1.12067 # DEPENDENCYPART_ARC
(20,18),0.515475 # DEPENDENCYPART_ARC
(20,19),1.96356 # DEPENDENCYPART_ARC
(20,21),2.72108 # DEPENDENCYPART_ARC
(20,22),3.06522 # DEPENDENCYPART_ARC
(20,23),0.181783 # DEPENDENCYPART_ARC
(21,1),-5.49261 # DEPENDENCYPART_ARC
(21,2),-10.3741 # DEPENDENCYPART_ARC
(21,3),-11.4368 # DEPENDENCYPART_ARC
(21,4),-5.95839 # DEPENDENCYPART_ARC
(21,5),-6.78463 # DEPENDENCYPART_ARC
(21,6),-5.23502 # DEPENDENCYPART_ARC
(21,7),-6.04819 # DEPENDENCYPART_ARC
(21,8),-6.08587 # DEPENDENCYPART_ARC
(21,9),-6.07894 # DEPENDENCYPART_ARC
(21,10),-8.16356 # DEPENDENCYPART_ARC
(21,11),-8.48209 # DEPENDENCYPART_ARC
(21,12),-4.20288 # DEPENDENCYPART_ARC
(21,13),-2.72681 # DEPENDENCYPART_ARC
(21,14),-3.44508 # DEPENDENCYPART_ARC
(21,15),-6.47465 # DEPENDENCYPART_ARC
(21,16),-3.46079 # DEPENDENCYPART_ARC
(21,17),-3.28354 # DEPENDENCYPART_ARC
(21,18),-3.32176 # DEPENDENCYPART_ARC
(21,19),-2.77766 # DEPENDENCYPART_ARC
(21,20),-1.12514 # DEPENDENCYPART_ARC
(21,22),0.738392 # DEPENDENCYPART_ARC
(21,23),-0.803148 # DEPENDENCYPART_ARC
(22,1),-4.06712 # DEPENDENCYPART_ARC
(22,2),-5.82571 # DEPENDENCYPART_ARC
(22,3),-7.01325 # DEPENDENCYPART_ARC
(22,4),-2.74726 # DEPENDENCYPART_ARC
(22,5),-2.72967 # DEPENDENCYPART_ARC
(22,6),-2.04378 # DEPENDENCYPART_ARC
(22,7),-2.24012 # DEPENDENCYPART_ARC
(22,8),-2.11066 # DEPENDENCYPART_ARC
(22,9),-1.9083 # DEPENDENCYPART_ARC
(22,10),-3.51836 # DEPENDENCYPART_ARC
(22,11),-4.31122 # DEPENDENCYPART_ARC
(22,12),-1.10069 # DEPENDENCYPART_ARC
(22,13),-0.581585 # DEPENDENCYPART_ARC
(22,14),0.766899 # DEPENDENCYPART_ARC
(22,15),-1.45693 # DEPENDENCYPART_ARC
(22,16),-0.839126 # DEPENDENCYPART_ARC
(22,17),-0.473561 # DEPENDENCYPART_ARC
(22,18),-0.362296 # DEPENDENCYPART_ARC
(22,19),-0.599982 # DEPENDENCYPART_ARC
(22,20),0.830337 # DEPENDENCYPART_ARC
(22,21),4.07761 # DEPENDENCYPART_ARC
(22,23),0.308797 # DEPENDENCYPART_ARC
(23,1),-3.27846 # DEPENDENCYPART_ARC
(23,2),-2.80573 # DEPENDENCYPART_ARC
(23,3),-2.78922 # DEPENDENCYPART_ARC
(23,4),-1.65622 # DEPENDENCYPART_ARC
