# _root_ The setback , in which Treasury bond prices plummeted , reflected a rebound in the stock market and profit-taking .
#goldHeads=2,11,2,9,4,8,8,9,2,2,0,13,11,13,17,17,14,13,18,11,
#predictedHeads=2,11,2,11,4,8,8,9,0,9,9,13,11,13,17,17,14,17,18,11,
(3,7),-1.29278 # DEPENDENCYPART_ARC
(3,8),-1.40089 # DEPENDENCYPART_ARC
(3,9),-1.06742 # DEPENDENCYPART_ARC
(3,10),-0.0570592 # DEPENDENCYPART_ARC
(3,11),-1.33011 # DEPENDENCYPART_ARC
(3,12),-1.85687 # DEPENDENCYPART_ARC
(3,13),-2.29819 # DEPENDENCYPART_ARC
(3,14),-1.66111 # DEPENDENCYPART_ARC
(3,15),-2.25449 # DEPENDENCYPART_ARC
(3,16),-2.57184 # DEPENDENCYPART_ARC
(3,17),-2.70065 # DEPENDENCYPART_ARC
(3,18),-2.15252 # DEPENDENCYPART_ARC
(3,19),-2.89496 # DEPENDENCYPART_ARC
(3,20),-2.089 # DEPENDENCYPART_ARC
(4,1),-0.20999 # DEPENDENCYPART_ARC
(4,2),-1.11749 # DEPENDENCYPART_ARC
(4,3),0.50356 # DEPENDENCYPART_ARC
(4,5),4.06419 # DEPENDENCYPART_ARC
(4,6),0.41999 # DEPENDENCYPART_ARC
(4,7),0.266926 # DEPENDENCYPART_ARC
(4,8),0.243407 # DEPENDENCYPART_ARC
(4,9),0.216299 # DEPENDENCYPART_ARC
(4,10),0.587057 # DEPENDENCYPART_ARC
(4,11),-1.73974 # DEPENDENCYPART_ARC
(4,12),-2.63977 # DEPENDENCYPART_ARC
(4,13),-5.25167 # DEPENDENCYPART_ARC
(4,14),-1.02864 # DEPENDENCYPART_ARC
(4,15),-3.27104 # DEPENDENCYPART_ARC
(4,16),-8.51219 # DEPENDENCYPART_ARC
(4,17),-5.93094 # DEPENDENCYPART_ARC
(4,18),-1.02724 # DEPENDENCYPART_ARC
(4,19),-9.21217 # DEPENDENCYPART_ARC
(4,20),0.613378 # DEPENDENCYPART_ARC
(5,1),-1.17862 # DEPENDENCYPART_ARC
(5,2),-1.69551 # DEPENDENCYPART_ARC
(5,3),-1.36807 # DEPENDENCYPART_ARC
(5,4),-0.495739 # DEPENDENCYPART_ARC
(5,6),0.204631 # DEPENDENCYPART_ARC
(5,7),0.0532901 # DEPENDENCYPART_ARC
(5,8),-0.832698 # DEPENDENCYPART_ARC
(5,9),-0.884461 # DEPENDENCYPART_ARC
(5,10),-0.861388 # DEPENDENCYPART_ARC
(5,11),-1.36592 # DEPENDENCYPART_ARC
(5,12),-1.89155 # DEPENDENCYPART_ARC
(5,13),-1.444 # DEPENDENCYPART_ARC
(5,14),-1.6716 # DEPENDENCYPART_ARC
(5,15),-2.20412 # DEPENDENCYPART_ARC
(5,16),-1.78464 # DEPENDENCYPART_ARC
(5,17),-1.95452 # DEPENDENCYPART_ARC
(5,18),-1.89021 # DEPENDENCYPART_ARC
(5,19),-2.10689 # DEPENDENCYPART_ARC
(5,20),-1.69863 # DEPENDENCYPART_ARC
(6,1),-0.790624 # DEPENDENCYPART_ARC
(6,2),-2.84896 # DEPENDENCYPART_ARC
(6,3),-1.7348 # DEPENDENCYPART_ARC
(6,4),-1.07426 # DEPENDENCYPART_ARC
(6,5),-0.1394 # DEPENDENCYPART_ARC
(6,7),0.748847 # DEPENDENCYPART_ARC
(6,8),-0.465069 # DEPENDENCYPART_ARC
(6,9),-0.35588 # DEPENDENCYPART_ARC
(6,10),-0.0749878 # DEPENDENCYPART_ARC
(6,11),-1.48865 # DEPENDENCYPART_ARC
(6,12),-1.5502 # DEPENDENCYPART_ARC
(6,13),-3.00488 # DEPENDENCYPART_ARC
(6,14),-2.79846 # DEPENDENCYPART_ARC
(6,15),-1.64465 # DEPENDENCYPART_ARC
(6,16),-3.58283 # DEPENDENCYPART_ARC
(6,17),-3.90101 # DEPENDENCYPART_ARC
(6,18),-1.26756 # DEPENDENCYPART_ARC
(6,19),-5.52681 # DEPENDENCYPART_ARC
(6,20),-1.65806 # DEPENDENCYPART_ARC
(7,1),0.466495 # DEPENDENCYPART_ARC
(7,2),-1.53108 # DEPENDENCYPART_ARC
(7,3),-0.788726 # DEPENDENCYPART_ARC
(7,4),0.366766 # DEPENDENCYPART_ARC
(7,5),1.09757 # DEPENDENCYPART_ARC
(7,6),2.33695 # DEPENDENCYPART_ARC
(7,8),1.41147 # DEPENDENCYPART_ARC
(7,9),1.19655 # DEPENDENCYPART_ARC
(7,10),0.673685 # DEPENDENCYPART_ARC
(7,11),0.00461721 # DEPENDENCYPART_ARC
(7,12),-0.66435 # DEPENDENCYPART_ARC
(7,13),-1.04377 # DEPENDENCYPART_ARC
(7,14),-1.93011 # DEPENDENCYPART_ARC
(7,15),-0.986748 # DEPENDENCYPART_ARC
(7,16),-1.71524 # DEPENDENCYPART_ARC
(7,17),-1.34423 # DEPENDENCYPART_ARC
(7,18),-0.780341 # DEPENDENCYPART_ARC
(7,19),-2.44051 # DEPENDENCYPART_ARC
(7,20),1.3579 # DEPENDENCYPART_ARC
(8,1),1.23647 # DEPENDENCYPART_ARC
(8,2),-0.53956 # DEPENDENCYPART_ARC
(8,3),0.210034 # DEPENDENCYPART_ARC
(8,4),0.812896 # DEPENDENCYPART_ARC
(8,5),1.81019 # DEPENDENCYPART_ARC
(8,6),4.29928 # DEPENDENCYPART_ARC
(8,7),4.59945 # DEPENDENCYPART_ARC
(8,9),0.799583 # DEPENDENCYPART_ARC
(8,10),-0.000418277 # DEPENDENCYPART_ARC
(8,11),-0.624449 # DEPENDENCYPART_ARC
(8,12),-0.920203 # DEPENDENCYPART_ARC
(8,13),-1.20226 # DEPENDENCYPART_ARC
(8,14),-0.777571 # DEPENDENCYPART_ARC
(8,15),-1.35439 # DEPENDENCYPART_ARC
(8,16),-1.51486 # DEPENDENCYPART_ARC
(8,17),-1.17916 # DEPENDENCYPART_ARC
(8,18),-0.511803 # DEPENDENCYPART_ARC
(8,19),-2.15686 # DEPENDENCYPART_ARC
(8,20),0.0103031 # DEPENDENCYPART_ARC
(9,1),-0.530014 # DEPENDENCYPART_ARC
(9,2),0.70706 # DEPENDENCYPART_ARC
(9,3),1.05108 # DEPENDENCYPART_ARC
(9,4),1.87151 # DEPENDENCYPART_ARC
(9,5),1.26457 # DEPENDENCYPART_ARC
(9,6),1.46372 # DEPENDENCYPART_ARC
(9,7),1.2149 # DEPENDENCYPART_ARC
(9,8),2.85168 # DEPENDENCYPART_ARC
(9,10),3.04781 # DEPENDENCYPART_ARC
(9,11),3.06809 # DEPENDENCYPART_ARC
(9,12),-0.117825 # DEPENDENCYPART_ARC
(9,13),0.447353 # DEPENDENCYPART_ARC
(9,14),0.64278 # DEPENDENCYPART_ARC
(9,15),-0.824645 # DEPENDENCYPART_ARC
(9,16),-1.14194 # DEPENDENCYPART_ARC
(9,17),-1.06759 # DEPENDENCYPART_ARC
(9,18),0.325036 # DEPENDENCYPART_ARC
(9,19),-1.46846 # DEPENDENCYPART_ARC
(9,20),2.60337 # DEPENDENCYPART_ARC
(10,1),-1.62568 # DEPENDENCYPART_ARC
(10,2),-1.81161 # DEPENDENCYPART_ARC
(10,3),-0.579697 # DEPENDENCYPART_ARC
(10,4),-1.56865 # DEPENDENCYPART_ARC
(10,5),-1.15221 # DEPENDENCYPART_ARC
(10,6),-1.77874 # DEPENDENCYPART_ARC
(10,7),-1.22151 # DEPENDENCYPART_ARC
(10,8),-1.64721 # DEPENDENCYPART_ARC
(10,9),-0.634276 # DEPENDENCYPART_ARC
(10,11),-0.222747 # DEPENDENCYPART_ARC
(10,12),-1.50973 # DEPENDENCYPART_ARC
(10,13),-1.91992 # DEPENDENCYPART_ARC
(10,14),-1.72334 # DEPENDENCYPART_ARC
(10,15),-2.28792 # DEPENDENCYPART_ARC
(10,16),-2.64176 # DEPENDENCYPART_ARC
(10,17),-2.74319 # DEPENDENCYPART_ARC
(10,18),-2.16164 # DEPENDENCYPART_ARC
(10,19),-2.97819 # DEPENDENCYPART_ARC
(10,20),-2.24192 # DEPENDENCYPART_ARC
(11,1),-0.841585 # DEPENDENCYPART_ARC
(11,2),1.17513 # DEPENDENCYPART_ARC
(11,3),1.34852 # DEPENDENCYPART_ARC
(11,4),2.60206 # DEPENDENCYPART_ARC
(11,5),0.991336 # DEPENDENCYPART_ARC
(11,6),0.578854 # DEPENDENCYPART_ARC
(11,7),0.891756 # DEPENDENCYPART_ARC
(11,8),1.27855 # DEPENDENCYPART_ARC
(11,9),0.252896 # DEPENDENCYPART_ARC
(11,10),1.79257 # DEPENDENCYPART_ARC
(11,12),1.16759 # DEPENDENCYPART_ARC
(11,13),2.75223 # DEPENDENCYPART_ARC
(11,14),1.66305 # DEPENDENCYPART_ARC
(11,15),-0.410562 # DEPENDENCYPART_ARC
(11,16),0.690824 # DEPENDENCYPART_ARC
(11,17),1.0218 # DEPENDENCYPART_ARC
(11,18),0.761188 # DEPENDENCYPART_ARC
(11,19),0.0666475 # DEPENDENCYPART_ARC
(11,20),5.07667 # DEPENDENCYPART_ARC
(12,1),-1.49872 # DEPENDENCYPART_ARC
(12,2),-2.37197 # DEPENDENCYPART_ARC
(12,3),-1.87614 # DEPENDENCYPART_ARC
(12,4),-1.21766 # DEPENDENCYPART_ARC
(12,5),-0.883543 # DEPENDENCYPART_ARC
(12,6),-1.63294 # DEPENDENCYPART_ARC
(12,7),-1.59557 # DEPENDENCYPART_ARC
(12,8),-1.29427 # DEPENDENCYPART_ARC
(12,9),-0.948589 # DEPENDENCYPART_ARC
(12,10),-0.532581 # DEPENDENCYPART_ARC
(12,11),-0.114922 # DEPENDENCYPART_ARC
(12,13),0.645862 # DEPENDENCYPART_ARC
(12,14),-0.322969 # DEPENDENCYPART_ARC
(12,15),-1.09442 # DEPENDENCYPART_ARC
(12,16),-0.473682 # DEPENDENCYPART_ARC
(12,17),-0.436348 # DEPENDENCYPART_ARC
(12,18),-0.295934 # DEPENDENCYPART_ARC
(12,19),-1.04708 # DEPENDENCYPART_ARC
(12,20),-0.930253 # DEPENDENCYPART_ARC
(13,1),-2.69977 # DEPENDENCYPART_ARC
(13,2),-5.12896 # DEPENDENCYPART_ARC
(13,3),-1.59106 # DEPENDENCYPART_ARC
(13,4),-0.378405 # DEPENDENCYPART_ARC
(13,5),-0.968903 # DEPENDENCYPART_ARC
(13,6),-2.73901 # DEPENDENCYPART_ARC
(13,7),-2.31958 # DEPENDENCYPART_ARC
(13,8),-1.47575 # DEPENDENCYPART_ARC
(13,9),-0.669969 # DEPENDENCYPART_ARC
(13,10),-0.00746516 # DEPENDENCYPART_ARC
(13,11),0.0489806 # DEPENDENCYPART_ARC
(13,12),4.14885 # DEPENDENCYPART_ARC
(13,14),2.78342 # DEPENDENCYPART_ARC
(13,15),0.534151 # DEPENDENCYPART_ARC
(13,16),1.02548 # DEPENDENCYPART_ARC
(13,17),0.873234 # DEPENDENCYPART_ARC
(13,18),1.96142 # DEPENDENCYPART_ARC
(13,19),0.135662 # DEPENDENCYPART_ARC
(13,20),0.86805 # DEPENDENCYPART_ARC
(14,1),-1.89801 # DEPENDENCYPART_ARC
(14,2),-2.81613 # DEPENDENCYPART_ARC
(14,3),-1.65116 # DEPENDENCYPART_ARC
(14,4),-1.58666 # DEPENDENCYPART_ARC
(14,5),-0.427597 # DEPENDENCYPART_ARC
(14,6),-1.53746 # DEPENDENCYPART_ARC
(14,7),-1.93095 # DEPENDENCYPART_ARC
(14,8),-1.23503 # DEPENDENCYPART_ARC
(14,9),-1.18922 # DEPENDENCYPART_ARC
(14,10),-0.434592 # DEPENDENCYPART_ARC
(14,11),-0.622309 # DEPENDENCYPART_ARC
(14,12),0.0306778 # DEPENDENCYPART_ARC
(14,13),0.27768 # DEPENDENCYPART_ARC
(14,15),0.594824 # DEPENDENCYPART_ARC
(14,16),2.27686 # DEPENDENCYPART_ARC
(14,17),3.96666 # DEPENDENCYPART_ARC
(14,18),0.57357 # DEPENDENCYPART_ARC
(14,19),0.874431 # DEPENDENCYPART_ARC
(14,20),0.101672 # DEPENDENCYPART_ARC
(15,1),-3.98239 # DEPENDENCYPART_ARC
(15,2),-4.58611 # DEPENDENCYPART_ARC
(15,3),-3.86401 # DEPENDENCYPART_ARC
(15,4),-3.76466 # DEPENDENCYPART_ARC
(15,5),-2.92344 # DEPENDENCYPART_ARC
(15,6),-3.68811 # DEPENDENCYPART_ARC
(15,7),-3.92189 # DEPENDENCYPART_ARC
(15,8),-3.56646 # DEPENDENCYPART_ARC
(15,9),-3.22824 # DEPENDENCYPART_ARC
(15,10),-2.93679 # DEPENDENCYPART_ARC
(15,11),-3.00605 # DEPENDENCYPART_ARC
(15,12),-1.90299 # DEPENDENCYPART_ARC
(15,13),-2.80458 # DEPENDENCYPART_ARC
(15,14),-1.52528 # DEPENDENCYPART_ARC
(15,16),0.184989 # DEPENDENCYPART_ARC
(15,17),-0.391285 # DEPENDENCYPART_ARC
(15,18),-0.968282 # DEPENDENCYPART_ARC
(15,19),-1.43358 # DEPENDENCYPART_ARC
(15,20),-2.17192 # DEPENDENCYPART_ARC
(16,1),-7.05494 # DEPENDENCYPART_ARC
(16,2),-7.82432 # DEPENDENCYPART_ARC
(16,3),-3.54607 # DEPENDENCYPART_ARC
(16,4),-2.19293 # DEPENDENCYPART_ARC
(16,5),-3.19515 # DEPENDENCYPART_ARC
(16,6),-6.22465 # DEPENDENCYPART_ARC
(16,7),-5.28656 # DEPENDENCYPART_ARC
(16,8),-4.16434 # DEPENDENCYPART_ARC
(16,9),-2.69266 # DEPENDENCYPART_ARC
(16,10),-2.55693 # DEPENDENCYPART_ARC
(16,11),-2.44042 # DEPENDENCYPART_ARC
(16,12),-0.980857 # DEPENDENCYPART_ARC
(16,13),-2.45297 # DEPENDENCYPART_ARC
(16,14),-0.666807 # DEPENDENCYPART_ARC
(16,15),2.81239 # DEPENDENCYPART_ARC
(16,17),0.493394 # DEPENDENCYPART_ARC
(16,18),0.589849 # DEPENDENCYPART_ARC
(16,19),-1.14978 # DEPENDENCYPART_ARC
(16,20),-1.06592 # DEPENDENCYPART_ARC
(17,1),-2.6745 # DEPENDENCYPART_ARC
(17,2),-4.86065 # DEPENDENCYPART_ARC
(17,3),-2.18349 # DEPENDENCYPART_ARC
(17,4),-0.863991 # DEPENDENCYPART_ARC
(17,5),-0.551535 # DEPENDENCYPART_ARC
(17,6),-4.07838 # DEPENDENCYPART_ARC
(17,7),-2.53697 # DEPENDENCYPART_ARC
(17,8),-1.48975 # DEPENDENCYPART_ARC
(17,9),-0.843513 # DEPENDENCYPART_ARC
(17,10),-0.992256 # DEPENDENCYPART_ARC
(17,11),-0.652665 # DEPENDENCYPART_ARC
(17,12),1.94132 # DEPENDENCYPART_ARC
(17,13),0.0530456 # DEPENDENCYPART_ARC
(17,14),0.526198 # DEPENDENCYPART_ARC
(17,15),5.28708 # DEPENDENCYPART_ARC
(17,16),4.97921 # DEPENDENCYPART_ARC
(17,18),3.09758 # DEPENDENCYPART_ARC
(17,19),0.30901 # DEPENDENCYPART_ARC
(17,20),0.519823 # DEPENDENCYPART_ARC
(18,1),-2.33202 # DEPENDENCYPART_ARC
(18,2),-2.00259 # DEPENDENCYPART_ARC
(18,3),-2.3763 # DEPENDENCYPART_ARC
(18,4),-1.785 # DEPENDENCYPART_ARC
(18,5),-1.47542 # DEPENDENCYPART_ARC
(18,6),-1.62914 # DEPENDENCYPART_ARC
(18,7),-1.60285 # DEPENDENCYPART_ARC
(18,8),-1.48981 # DEPENDENCYPART_ARC
(18,9),-0.798996 # DEPENDENCYPART_ARC
(18,10),-1.65359 # DEPENDENCYPART_ARC
(18,11),-0.577448 # DEPENDENCYPART_ARC
(18,12),-0.867689 # DEPENDENCYPART_ARC
(18,13),-0.902438 # DEPENDENCYPART_ARC
(18,14),-0.606569 # DEPENDENCYPART_ARC
(18,15),-0.181275 # DEPENDENCYPART_ARC
(18,16),-0.417898 # DEPENDENCYPART_ARC
(18,17),0.671624 # DEPENDENCYPART_ARC
(18,19),3.30953 # DEPENDENCYPART_ARC
(18,20),0.17098 # DEPENDENCYPART_ARC
(19,1),-6.44933 # DEPENDENCYPART_ARC
(19,2),-6.52808 # DEPENDENCYPART_ARC
(19,3),-3.30653 # DEPENDENCYPART_ARC
(19,4),-1.89234 # DEPENDENCYPART_ARC
(19,5),-2.39422 # DEPENDENCYPART_ARC
(19,6),-6.39604 # DEPENDENCYPART_ARC
(19,7),-4.55794 # DEPENDENCYPART_ARC
(19,8),-3.46223 # DEPENDENCYPART_ARC
(19,9),-2.13346 # DEPENDENCYPART_ARC
(19,10),-2.31441 # DEPENDENCYPART_ARC
(19,11),-2.06611 # DEPENDENCYPART_ARC
(19,12),-0.972908 # DEPENDENCYPART_ARC
(19,13),-2.50398 # DEPENDENCYPART_ARC
(19,14),-1.03512 # DEPENDENCYPART_ARC
(19,15),1.3303 # DEPENDENCYPART_ARC
(19,16),1.26539 # DEPENDENCYPART_ARC
(19,17),-0.119635 # DEPENDENCYPART_ARC
(19,18),0.543846 # DEPENDENCYPART_ARC
(19,20),0.0721681 # DEPENDENCYPART_ARC
(20,1),-2.24877 # DEPENDENCYPART_ARC
(20,2),-1.99509 # DEPENDENCYPART_ARC
(20,3),-1.13742 # DEPENDENCYPART_ARC
(20,4),-2.73182 # DEPENDENCYPART_ARC
(20,5),-1.48508 # DEPENDENCYPART_ARC
(20,6),-1.90174 # DEPENDENCYPART_ARC
(20,7),-1.49831 # DEPENDENCYPART_ARC
(20,8),-2.13712 # DEPENDENCYPART_ARC
(20,9),-0.874609 # DEPENDENCYPART_ARC
(20,10),-0.451101 # DEPENDENCYPART_ARC
(20,11),-0.754093 # DEPENDENCYPART_ARC
(20,12),-1.1535 # DEPENDENCYPART_ARC
(20,13),-1.24126 # DEPENDENCYPART_ARC
(20,14),-1.46355 # DEPENDENCYPART_ARC
(20,15),-0.901454 # DEPENDENCYPART_ARC
(20,16),-1.35059 # DEPENDENCYPART_ARC
(20,17),-1.00683 # DEPENDENCYPART_ARC
(20,18),-0.93776 # DEPENDENCYPART_ARC
(20,19),-1.39355 # DEPENDENCYPART_ARC
