# _root_ Yes , the broader exchanges got caught up in the spiral , but they rode the tiger up all year .
#goldHeads=6,6,5,5,6,0,6,7,7,11,9,6,6,15,13,17,15,15,20,15,6,
#predictedHeads=6,6,5,5,6,0,6,7,7,11,9,6,6,15,13,17,15,15,20,18,6,
(2,21),-2.38378 # DEPENDENCYPART_ARC
(3,1),-0.769886 # DEPENDENCYPART_ARC
(3,2),-0.38484 # DEPENDENCYPART_ARC
(3,4),-0.201706 # DEPENDENCYPART_ARC
(3,5),-0.24983 # DEPENDENCYPART_ARC
(3,6),0.0592003 # DEPENDENCYPART_ARC
(3,7),-0.621271 # DEPENDENCYPART_ARC
(3,8),-0.870259 # DEPENDENCYPART_ARC
(3,9),-1.06179 # DEPENDENCYPART_ARC
(3,10),-1.86485 # DEPENDENCYPART_ARC
(3,11),-1.42003 # DEPENDENCYPART_ARC
(3,12),-0.632212 # DEPENDENCYPART_ARC
(3,13),-0.926909 # DEPENDENCYPART_ARC
(3,14),-1.74098 # DEPENDENCYPART_ARC
(3,15),-2.30473 # DEPENDENCYPART_ARC
(3,16),-2.72983 # DEPENDENCYPART_ARC
(3,17),-2.14334 # DEPENDENCYPART_ARC
(3,18),-2.16889 # DEPENDENCYPART_ARC
(3,19),-3.06167 # DEPENDENCYPART_ARC
(3,20),-2.55351 # DEPENDENCYPART_ARC
(3,21),-1.0901 # DEPENDENCYPART_ARC
(4,1),0.0800496 # DEPENDENCYPART_ARC
(4,2),0.369096 # DEPENDENCYPART_ARC
(4,3),2.63108 # DEPENDENCYPART_ARC
(4,5),0.312693 # DEPENDENCYPART_ARC
(4,6),0.534729 # DEPENDENCYPART_ARC
(4,7),-0.0377477 # DEPENDENCYPART_ARC
(4,8),-0.019934 # DEPENDENCYPART_ARC
(4,9),-0.472044 # DEPENDENCYPART_ARC
(4,10),-1.09526 # DEPENDENCYPART_ARC
(4,11),-1.10682 # DEPENDENCYPART_ARC
(4,12),0.0220245 # DEPENDENCYPART_ARC
(4,13),0.0168127 # DEPENDENCYPART_ARC
(4,14),-1.16404 # DEPENDENCYPART_ARC
(4,15),-0.906058 # DEPENDENCYPART_ARC
(4,16),-1.77744 # DEPENDENCYPART_ARC
(4,17),-1.57629 # DEPENDENCYPART_ARC
(4,18),-1.47672 # DEPENDENCYPART_ARC
(4,19),-2.03108 # DEPENDENCYPART_ARC
(4,20),-1.61513 # DEPENDENCYPART_ARC
(4,21),0.0570276 # DEPENDENCYPART_ARC
(5,1),0.486809 # DEPENDENCYPART_ARC
(5,2),0.849342 # DEPENDENCYPART_ARC
(5,3),3.86718 # DEPENDENCYPART_ARC
(5,4),2.93599 # DEPENDENCYPART_ARC
(5,6),1.21318 # DEPENDENCYPART_ARC
(5,7),0.99186 # DEPENDENCYPART_ARC
(5,8),0.30691 # DEPENDENCYPART_ARC
(5,9),0.747565 # DEPENDENCYPART_ARC
(5,10),-0.544773 # DEPENDENCYPART_ARC
(5,11),-0.115085 # DEPENDENCYPART_ARC
(5,12),0.276194 # DEPENDENCYPART_ARC
(5,13),-0.322254 # DEPENDENCYPART_ARC
(5,14),-0.813598 # DEPENDENCYPART_ARC
(5,15),-0.656624 # DEPENDENCYPART_ARC
(5,16),-0.92558 # DEPENDENCYPART_ARC
(5,17),-1.43158 # DEPENDENCYPART_ARC
(5,18),-0.752364 # DEPENDENCYPART_ARC
(5,19),-0.856006 # DEPENDENCYPART_ARC
(5,20),-1.58987 # DEPENDENCYPART_ARC
(5,21),0.668351 # DEPENDENCYPART_ARC
(6,1),1.44226 # DEPENDENCYPART_ARC
(6,2),2.57542 # DEPENDENCYPART_ARC
(6,3),1.26235 # DEPENDENCYPART_ARC
(6,4),1.43171 # DEPENDENCYPART_ARC
(6,5),2.76992 # DEPENDENCYPART_ARC
(6,7),3.76568 # DEPENDENCYPART_ARC
(6,8),1.8809 # DEPENDENCYPART_ARC
(6,9),1.71327 # DEPENDENCYPART_ARC
(6,10),-0.615928 # DEPENDENCYPART_ARC
(6,11),-0.00371181 # DEPENDENCYPART_ARC
(6,12),2.95384 # DEPENDENCYPART_ARC
(6,13),3.33631 # DEPENDENCYPART_ARC
(6,14),-0.690812 # DEPENDENCYPART_ARC
(6,15),0.569781 # DEPENDENCYPART_ARC
(6,16),-1.178 # DEPENDENCYPART_ARC
(6,17),-1.9262 # DEPENDENCYPART_ARC
(6,18),-1.03864 # DEPENDENCYPART_ARC
(6,19),-0.728716 # DEPENDENCYPART_ARC
(6,20),-2.11983 # DEPENDENCYPART_ARC
(6,21),4.27999 # DEPENDENCYPART_ARC
(7,1),-0.132384 # DEPENDENCYPART_ARC
(7,2),0.540939 # DEPENDENCYPART_ARC
(7,3),0.703075 # DEPENDENCYPART_ARC
(7,4),0.625489 # DEPENDENCYPART_ARC
(7,5),0.458326 # DEPENDENCYPART_ARC
(7,6),0.6431 # DEPENDENCYPART_ARC
(7,8),3.68222 # DEPENDENCYPART_ARC
(7,9),3.32942 # DEPENDENCYPART_ARC
(7,10),0.518024 # DEPENDENCYPART_ARC
(7,11),1.66467 # DEPENDENCYPART_ARC
(7,12),1.38546 # DEPENDENCYPART_ARC
(7,13),0.871826 # DEPENDENCYPART_ARC
(7,14),0.636709 # DEPENDENCYPART_ARC
(7,15),0.979663 # DEPENDENCYPART_ARC
(7,16),-0.170982 # DEPENDENCYPART_ARC
(7,17),-0.398448 # DEPENDENCYPART_ARC
(7,18),0.842851 # DEPENDENCYPART_ARC
(7,19),-0.328712 # DEPENDENCYPART_ARC
(7,20),0.633235 # DEPENDENCYPART_ARC
(7,21),2.13724 # DEPENDENCYPART_ARC
(8,1),-0.479431 # DEPENDENCYPART_ARC
(8,2),-0.446932 # DEPENDENCYPART_ARC
(8,3),0.230887 # DEPENDENCYPART_ARC
(8,4),-0.252439 # DEPENDENCYPART_ARC
(8,5),-0.0437151 # DEPENDENCYPART_ARC
(8,6),-0.120422 # DEPENDENCYPART_ARC
(8,7),0.741504 # DEPENDENCYPART_ARC
(8,9),0.571776 # DEPENDENCYPART_ARC
(8,10),-0.392632 # DEPENDENCYPART_ARC
(8,11),0.113871 # DEPENDENCYPART_ARC
(8,12),-0.359937 # DEPENDENCYPART_ARC
(8,13),0.114594 # DEPENDENCYPART_ARC
(8,14),-0.645618 # DEPENDENCYPART_ARC
(8,15),-0.564617 # DEPENDENCYPART_ARC
(8,16),-1.35847 # DEPENDENCYPART_ARC
(8,17),-1.22832 # DEPENDENCYPART_ARC
(8,18),-1.47681 # DEPENDENCYPART_ARC
(8,19),-1.72135 # DEPENDENCYPART_ARC
(8,20),-2.04155 # DEPENDENCYPART_ARC
(8,21),-0.644888 # DEPENDENCYPART_ARC
(9,1),-1.12849 # DEPENDENCYPART_ARC
(9,2),-1.20176 # DEPENDENCYPART_ARC
(9,3),-0.753619 # DEPENDENCYPART_ARC
(9,4),-1.238 # DEPENDENCYPART_ARC
(9,5),-0.921673 # DEPENDENCYPART_ARC
(9,6),-0.545736 # DEPENDENCYPART_ARC
(9,7),-0.606781 # DEPENDENCYPART_ARC
(9,8),0.197478 # DEPENDENCYPART_ARC
(9,10),0.735972 # DEPENDENCYPART_ARC
(9,11),4.19559 # DEPENDENCYPART_ARC
(9,12),1.2389 # DEPENDENCYPART_ARC
(9,13),0.517911 # DEPENDENCYPART_ARC
(9,14),-0.466899 # DEPENDENCYPART_ARC
(9,15),-0.78945 # DEPENDENCYPART_ARC
(9,16),-1.65799 # DEPENDENCYPART_ARC
(9,17),-1.69119 # DEPENDENCYPART_ARC
(9,18),-1.11978 # DEPENDENCYPART_ARC
(9,19),-1.50873 # DEPENDENCYPART_ARC
(9,20),-2.72159 # DEPENDENCYPART_ARC
(9,21),1.05168 # DEPENDENCYPART_ARC
(10,1),-2.8606 # DEPENDENCYPART_ARC
(10,2),-3.05105 # DEPENDENCYPART_ARC
(10,3),-2.35118 # DEPENDENCYPART_ARC
(10,4),-2.57042 # DEPENDENCYPART_ARC
(10,5),-2.79371 # DEPENDENCYPART_ARC
(10,6),-2.55509 # DEPENDENCYPART_ARC
(10,7),-2.18069 # DEPENDENCYPART_ARC
(10,8),-1.73273 # DEPENDENCYPART_ARC
(10,9),-0.783508 # DEPENDENCYPART_ARC
(10,11),-0.338822 # DEPENDENCYPART_ARC
(10,12),-2.11805 # DEPENDENCYPART_ARC
(10,13),-1.641 # DEPENDENCYPART_ARC
(10,14),-2.40727 # DEPENDENCYPART_ARC
(10,15),-2.29528 # DEPENDENCYPART_ARC
(10,16),-3.13616 # DEPENDENCYPART_ARC
(10,17),-2.26857 # DEPENDENCYPART_ARC
(10,18),-2.72662 # DEPENDENCYPART_ARC
(10,19),-3.49376 # DEPENDENCYPART_ARC
(10,20),-2.71476 # DEPENDENCYPART_ARC
(10,21),-2.5353 # DEPENDENCYPART_ARC
(11,1),-1.12526 # DEPENDENCYPART_ARC
(11,2),-1.24732 # DEPENDENCYPART_ARC
(11,3),-1.8702 # DEPENDENCYPART_ARC
(11,4),-0.839922 # DEPENDENCYPART_ARC
(11,5),-1.43404 # DEPENDENCYPART_ARC
(11,6),-1.04498 # DEPENDENCYPART_ARC
(11,7),-0.619909 # DEPENDENCYPART_ARC
(11,8),-0.310677 # DEPENDENCYPART_ARC
(11,9),0.735535 # DEPENDENCYPART_ARC
(11,10),4.76517 # DEPENDENCYPART_ARC
(11,12),1.16624 # DEPENDENCYPART_ARC
(11,13),0.454245 # DEPENDENCYPART_ARC
(11,14),0.0351475 # DEPENDENCYPART_ARC
(11,15),0.495453 # DEPENDENCYPART_ARC
(11,16),-0.583344 # DEPENDENCYPART_ARC
(11,17),-0.991997 # DEPENDENCYPART_ARC
(11,18),0.0770882 # DEPENDENCYPART_ARC
(11,19),-0.621406 # DEPENDENCYPART_ARC
(11,20),-0.586557 # DEPENDENCYPART_ARC
(11,21),0.330834 # DEPENDENCYPART_ARC
(12,1),-1.77552 # DEPENDENCYPART_ARC
(12,2),-0.213869 # DEPENDENCYPART_ARC
(12,3),-1.43153 # DEPENDENCYPART_ARC
(12,4),-1.92413 # DEPENDENCYPART_ARC
(12,5),-1.62293 # DEPENDENCYPART_ARC
(12,6),-1.30369 # DEPENDENCYPART_ARC
(12,7),-1.1189 # DEPENDENCYPART_ARC
(12,8),-1.33571 # DEPENDENCYPART_ARC
(12,9),-0.953969 # DEPENDENCYPART_ARC
(12,10),-0.507135 # DEPENDENCYPART_ARC
(12,11),-0.856656 # DEPENDENCYPART_ARC
(12,13),0.254474 # DEPENDENCYPART_ARC
(12,14),-0.542751 # DEPENDENCYPART_ARC
(12,15),-0.365933 # DEPENDENCYPART_ARC
(12,16),-1.21068 # DEPENDENCYPART_ARC
(12,17),-1.37436 # DEPENDENCYPART_ARC
(12,18),-1.33645 # DEPENDENCYPART_ARC
(12,19),-1.46496 # DEPENDENCYPART_ARC
(12,20),-2.00643 # DEPENDENCYPART_ARC
(12,21),-1.21658 # DEPENDENCYPART_ARC
(13,1),-1.8226 # DEPENDENCYPART_ARC
(13,2),-2.26222 # DEPENDENCYPART_ARC
(13,3),-1.50214 # DEPENDENCYPART_ARC
(13,4),-1.89975 # DEPENDENCYPART_ARC
(13,5),-1.49965 # DEPENDENCYPART_ARC
(13,6),-0.599309 # DEPENDENCYPART_ARC
(13,7),-1.40689 # DEPENDENCYPART_ARC
(13,8),-1.34406 # DEPENDENCYPART_ARC
(13,9),-0.850431 # DEPENDENCYPART_ARC
(13,10),-0.364433 # DEPENDENCYPART_ARC
(13,11),-0.65392 # DEPENDENCYPART_ARC
(13,12),-0.567984 # DEPENDENCYPART_ARC
(13,14),0.917158 # DEPENDENCYPART_ARC
(13,15),3.95262 # DEPENDENCYPART_ARC
(13,16),-0.821678 # DEPENDENCYPART_ARC
(13,17),-1.09871 # DEPENDENCYPART_ARC
(13,18),-0.564001 # DEPENDENCYPART_ARC
(13,19),-1.18914 # DEPENDENCYPART_ARC
(13,20),-2.37872 # DEPENDENCYPART_ARC
(13,21),0.418959 # DEPENDENCYPART_ARC
(14,1),-2.77945 # DEPENDENCYPART_ARC
(14,2),-2.29205 # DEPENDENCYPART_ARC
(14,3),-2.4512 # DEPENDENCYPART_ARC
(14,4),-3.13968 # DEPENDENCYPART_ARC
(14,5),-3.00767 # DEPENDENCYPART_ARC
(14,6),-2.29969 # DEPENDENCYPART_ARC
(14,7),-2.48949 # DEPENDENCYPART_ARC
(14,8),-2.45267 # DEPENDENCYPART_ARC
(14,9),-2.04064 # DEPENDENCYPART_ARC
(14,10),-1.10052 # DEPENDENCYPART_ARC
(14,11),-2.01649 # DEPENDENCYPART_ARC
(14,12),-0.628246 # DEPENDENCYPART_ARC
(14,13),-0.519387 # DEPENDENCYPART_ARC
(14,15),0.990646 # DEPENDENCYPART_ARC
(14,16),0.372458 # DEPENDENCYPART_ARC
(14,17),0.188583 # DEPENDENCYPART_ARC
(14,18),-0.315676 # DEPENDENCYPART_ARC
(14,19),-0.0831859 # DEPENDENCYPART_ARC
(14,20),-0.439568 # DEPENDENCYPART_ARC
(14,21),-0.18279 # DEPENDENCYPART_ARC
(15,1),0.0999221 # DEPENDENCYPART_ARC
(15,2),-0.00228254 # DEPENDENCYPART_ARC
(15,3),-1.23992 # DEPENDENCYPART_ARC
(15,4),-0.933534 # DEPENDENCYPART_ARC
(15,5),-0.73814 # DEPENDENCYPART_ARC
(15,6),-0.153155 # DEPENDENCYPART_ARC
(15,7),-0.211633 # DEPENDENCYPART_ARC
(15,8),-0.749661 # DEPENDENCYPART_ARC
(15,9),0.754708 # DEPENDENCYPART_ARC
(15,10),-0.460632 # DEPENDENCYPART_ARC
(15,11),0.164829 # DEPENDENCYPART_ARC
(15,12),0.0981163 # DEPENDENCYPART_ARC
(15,13),0.95547 # DEPENDENCYPART_ARC
(15,14),3.49857 # DEPENDENCYPART_ARC
(15,16),0.692653 # DEPENDENCYPART_ARC
(15,17),2.47317 # DEPENDENCYPART_ARC
(15,18),1.91272 # DEPENDENCYPART_ARC
(15,19),0.314608 # DEPENDENCYPART_ARC
(15,20),1.73427 # DEPENDENCYPART_ARC
(15,21),3.8041 # DEPENDENCYPART_ARC
(16,1),-2.93111 # DEPENDENCYPART_ARC
(16,2),-3.0507 # DEPENDENCYPART_ARC
(16,3),-2.61808 # DEPENDENCYPART_ARC
(16,4),-2.72648 # DEPENDENCYPART_ARC
(16,5),-3.02478 # DEPENDENCYPART_ARC
(16,6),-2.6313 # DEPENDENCYPART_ARC
(16,7),-2.60167 # DEPENDENCYPART_ARC
(16,8),-2.49658 # DEPENDENCYPART_ARC
(16,9),-2.06256 # DEPENDENCYPART_ARC
(16,10),-1.53389 # DEPENDENCYPART_ARC
(16,11),-2.29343 # DEPENDENCYPART_ARC
(16,12),-1.65631 # DEPENDENCYPART_ARC
(16,13),-1.98949 # DEPENDENCYPART_ARC
(16,14),-0.446162 # DEPENDENCYPART_ARC
(16,15),-0.778296 # DEPENDENCYPART_ARC
(16,17),0.0252009 # DEPENDENCYPART_ARC
(16,18),-1.0556 # DEPENDENCYPART_ARC
(16,19),-1.83505 # DEPENDENCYPART_ARC
(16,20),-1.30128 # DEPENDENCYPART_ARC
(16,21),-1.81884 # DEPENDENCYPART_ARC
(17,1),-1.89974 # DEPENDENCYPART_ARC
(17,2),-2.12717 # DEPENDENCYPART_ARC
(17,3),-5.16143 # DEPENDENCYPART_ARC
(17,4),-1.98147 # DEPENDENCYPART_ARC
(17,5),-2.78653 # DEPENDENCYPART_ARC
(17,6),-1.79992 # DEPENDENCYPART_ARC
(17,7),-2.07679 # DEPENDENCYPART_ARC
(17,8),-1.83754 # DEPENDENCYPART_ARC
(17,9),-0.22996 # DEPENDENCYPART_ARC
(17,10),-0.311326 # DEPENDENCYPART_ARC
(17,11),-2.29211 # DEPENDENCYPART_ARC
(17,12),-0.565245 # DEPENDENCYPART_ARC
(17,13),-0.729789 # DEPENDENCYPART_ARC
(17,14),0.321333 # DEPENDENCYPART_ARC
(17,15),0.0950675 # DEPENDENCYPART_ARC
(17,16),4.55152 # DEPENDENCYPART_ARC
(17,18),1.67069 # DEPENDENCYPART_ARC
(17,19),0.416516 # DEPENDENCYPART_ARC
(17,20),1.1994 # DEPENDENCYPART_ARC
(17,21),0.520954 # DEPENDENCYPART_ARC
(18,1),-1.53783 # DEPENDENCYPART_ARC
(18,2),-1.18724 # DEPENDENCYPART_ARC
(18,3),-1.01848 # DEPENDENCYPART_ARC
(18,4),-1.53015 # DEPENDENCYPART_ARC
(18,5),-1.59981 # DEPENDENCYPART_ARC
(18,6),-1.44718 # DEPENDENCYPART_ARC
(18,7),-1.10898 # DEPENDENCYPART_ARC
(18,8),-0.640908 # DEPENDENCYPART_ARC
(18,9),-0.999791 # DEPENDENCYPART_ARC
(18,10),-0.0536591 # DEPENDENCYPART_ARC
(18,11),-0.752366 # DEPENDENCYPART_ARC
(18,12),-0.101451 # DEPENDENCYPART_ARC
(18,13),-0.669061 # DEPENDENCYPART_ARC
(18,14),-0.629869 # DEPENDENCYPART_ARC
(18,15),-0.259569 # DEPENDENCYPART_ARC
(18,16),1.18403 # DEPENDENCYPART_ARC
(18,17),1.16293 # DEPENDENCYPART_ARC
(18,19),1.77168 # DEPENDENCYPART_ARC
(18,20),1.7552 # DEPENDENCYPART_ARC
(18,21),0.0670143 # DEPENDENCYPART_ARC
(19,1),-3.11534 # DEPENDENCYPART_ARC
(19,2),-3.25084 # DEPENDENCYPART_ARC
(19,3),-2.95409 # DEPENDENCYPART_ARC
(19,4),-2.93226 # DEPENDENCYPART_ARC
(19,5),-3.2829 # DEPENDENCYPART_ARC
(19,6),-2.85681 # DEPENDENCYPART_ARC
(19,7),-2.8068 # DEPENDENCYPART_ARC
(19,8),-2.75605 # DEPENDENCYPART_ARC
(19,9),-2.10616 # DEPENDENCYPART_ARC
(19,10),-1.89917 # DEPENDENCYPART_ARC
(19,11),-2.79849 # DEPENDENCYPART_ARC
(19,12),-2.20446 # DEPENDENCYPART_ARC
(19,13),-2.6496 # DEPENDENCYPART_ARC
(19,14),-1.19614 # DEPENDENCYPART_ARC
(19,15),-1.8616 # DEPENDENCYPART_ARC
(19,16),-0.702449 # DEPENDENCYPART_ARC
(19,17),-1.64437 # DEPENDENCYPART_ARC
(19,18),-0.0446409 # DEPENDENCYPART_ARC
(19,20),-0.0722255 # DEPENDENCYPART_ARC
(19,21),-1.54411 # DEPENDENCYPART_ARC
(20,1),-2.10858 # DEPENDENCYPART_ARC
(20,2),-2.33724 # DEPENDENCYPART_ARC
(20,3),-6.64389 # DEPENDENCYPART_ARC
(20,4),-2.73156 # DEPENDENCYPART_ARC
(20,5),-3.56137 # DEPENDENCYPART_ARC
(20,6),-2.03085 # DEPENDENCYPART_ARC
(20,7),-2.83872 # DEPENDENCYPART_ARC
(20,8),-2.54293 # DEPENDENCYPART_ARC
(20,9),-0.183628 # DEPENDENCYPART_ARC
(20,10),-1.64441 # DEPENDENCYPART_ARC
(20,11),-3.5652 # DEPENDENCYPART_ARC
(20,12),-1.45723 # DEPENDENCYPART_ARC
(20,13),-1.07849 # DEPENDENCYPART_ARC
(20,14),-1.04685 # DEPENDENCYPART_ARC
(20,15),-0.832206 # DEPENDENCYPART_ARC
(20,16),1.70343 # DEPENDENCYPART_ARC
(20,17),-0.0749192 # DEPENDENCYPART_ARC
(20,18),1.56754 # DEPENDENCYPART_ARC
(20,19),3.39868 # DEPENDENCYPART_ARC
(20,21),0.615447 # DEPENDENCYPART_ARC
(21,1),-2.73164 # DEPENDENCYPART_ARC
(21,2),-0.687574 # DEPENDENCYPART_ARC
(21,3),-2.28054 # DEPENDENCYPART_ARC
(21,4),-1.46026 # DEPENDENCYPART_ARC
(21,5),-2.30668 # DEPENDENCYPART_ARC
(21,6),-1.34591 # DEPENDENCYPART_ARC
(21,7),-1.87623 # DEPENDENCYPART_ARC
(21,8),-1.91162 # DEPENDENCYPART_ARC
(21,9),-2.47634 # DEPENDENCYPART_ARC
(21,10),-1.61924 # DEPENDENCYPART_ARC
(21,11),-1.62628 # DEPENDENCYPART_ARC
(21,12),-0.528791 # DEPENDENCYPART_ARC
(21,13),-1.27251 # DEPENDENCYPART_ARC
(21,14),-0.737414 # DEPENDENCYPART_ARC
(21,15),-0.659577 # DEPENDENCYPART_ARC
(21,16),-1.05623 # DEPENDENCYPART_ARC
(21,17),-1.26668 # DEPENDENCYPART_ARC
(21,18),-0.944157 # DEPENDENCYPART_ARC
(21,19),-0.830258 # DEPENDENCYPART_ARC
(21,20),-1.93825 # DEPENDENCYPART_ARC
