# _root_ In New York Stock Exchange composite trading yesterday , Knight-Ridder closed at $ 51.75 , down 37.5 cents .
#goldHeads=11,7,7,7,7,7,1,11,11,11,0,11,12,13,11,11,18,16,11,
#predictedHeads=11,7,7,7,7,7,1,11,11,11,0,11,12,13,11,11,18,16,11,
(3,12),-3.38613 # DEPENDENCYPART_ARC
(3,13),-2.86229 # DEPENDENCYPART_ARC
(3,14),-2.70089 # DEPENDENCYPART_ARC
(3,15),-1.89333 # DEPENDENCYPART_ARC
(3,16),-2.32177 # DEPENDENCYPART_ARC
(3,17),-3.82504 # DEPENDENCYPART_ARC
(3,18),-3.33793 # DEPENDENCYPART_ARC
(3,19),-1.00562 # DEPENDENCYPART_ARC
(4,1),-2.40584 # DEPENDENCYPART_ARC
(4,2),2.40205 # DEPENDENCYPART_ARC
(4,3),1.71302 # DEPENDENCYPART_ARC
(4,5),0.191934 # DEPENDENCYPART_ARC
(4,6),-0.881077 # DEPENDENCYPART_ARC
(4,7),-0.716735 # DEPENDENCYPART_ARC
(4,8),-0.484824 # DEPENDENCYPART_ARC
(4,9),0.434682 # DEPENDENCYPART_ARC
(4,10),-0.776983 # DEPENDENCYPART_ARC
(4,11),-1.5921 # DEPENDENCYPART_ARC
(4,12),-3.36263 # DEPENDENCYPART_ARC
(4,13),-2.73527 # DEPENDENCYPART_ARC
(4,14),-2.32626 # DEPENDENCYPART_ARC
(4,15),-0.933991 # DEPENDENCYPART_ARC
(4,16),-2.57735 # DEPENDENCYPART_ARC
(4,17),-3.49481 # DEPENDENCYPART_ARC
(4,18),-3.11374 # DEPENDENCYPART_ARC
(4,19),-0.754746 # DEPENDENCYPART_ARC
(5,1),-1.34551 # DEPENDENCYPART_ARC
(5,2),3.5397 # DEPENDENCYPART_ARC
(5,3),2.93982 # DEPENDENCYPART_ARC
(5,4),2.78898 # DEPENDENCYPART_ARC
(5,6),0.498478 # DEPENDENCYPART_ARC
(5,7),0.722036 # DEPENDENCYPART_ARC
(5,8),0.222133 # DEPENDENCYPART_ARC
(5,9),0.441146 # DEPENDENCYPART_ARC
(5,10),-0.645298 # DEPENDENCYPART_ARC
(5,11),-0.712397 # DEPENDENCYPART_ARC
(5,12),-2.06765 # DEPENDENCYPART_ARC
(5,13),-2.06403 # DEPENDENCYPART_ARC
(5,14),-1.48593 # DEPENDENCYPART_ARC
(5,15),-0.814306 # DEPENDENCYPART_ARC
(5,16),-1.53828 # DEPENDENCYPART_ARC
(5,17),-2.69019 # DEPENDENCYPART_ARC
(5,18),-2.51066 # DEPENDENCYPART_ARC
(5,19),-0.412813 # DEPENDENCYPART_ARC
(6,1),-1.04803 # DEPENDENCYPART_ARC
(6,2),1.98137 # DEPENDENCYPART_ARC
(6,3),1.15474 # DEPENDENCYPART_ARC
(6,4),1.28178 # DEPENDENCYPART_ARC
(6,5),1.17497 # DEPENDENCYPART_ARC
(6,7),1.24172 # DEPENDENCYPART_ARC
(6,8),-0.0818601 # DEPENDENCYPART_ARC
(6,9),-0.0545696 # DEPENDENCYPART_ARC
(6,10),-0.535449 # DEPENDENCYPART_ARC
(6,11),-0.57013 # DEPENDENCYPART_ARC
(6,12),-1.35306 # DEPENDENCYPART_ARC
(6,13),-1.73499 # DEPENDENCYPART_ARC
(6,14),-2.14399 # DEPENDENCYPART_ARC
(6,15),-0.666977 # DEPENDENCYPART_ARC
(6,16),-1.25617 # DEPENDENCYPART_ARC
(6,17),-2.04906 # DEPENDENCYPART_ARC
(6,18),-1.37158 # DEPENDENCYPART_ARC
(6,19),-0.228773 # DEPENDENCYPART_ARC
(7,1),-0.896651 # DEPENDENCYPART_ARC
(7,2),4.86927 # DEPENDENCYPART_ARC
(7,3),4.29053 # DEPENDENCYPART_ARC
(7,4),4.07586 # DEPENDENCYPART_ARC
(7,5),3.28218 # DEPENDENCYPART_ARC
(7,6),3.48404 # DEPENDENCYPART_ARC
(7,8),0.422477 # DEPENDENCYPART_ARC
(7,9),-0.0916813 # DEPENDENCYPART_ARC
(7,10),-0.67653 # DEPENDENCYPART_ARC
(7,11),-0.226265 # DEPENDENCYPART_ARC
(7,12),-1.41265 # DEPENDENCYPART_ARC
(7,13),-1.9877 # DEPENDENCYPART_ARC
(7,14),-0.923701 # DEPENDENCYPART_ARC
(7,15),-0.819879 # DEPENDENCYPART_ARC
(7,16),-0.792967 # DEPENDENCYPART_ARC
(7,17),-1.60087 # DEPENDENCYPART_ARC
(7,18),-2.27048 # DEPENDENCYPART_ARC
(7,19),-0.782674 # DEPENDENCYPART_ARC
(8,1),-1.58939 # DEPENDENCYPART_ARC
(8,2),0.311904 # DEPENDENCYPART_ARC
(8,3),0.366254 # DEPENDENCYPART_ARC
(8,4),0.596048 # DEPENDENCYPART_ARC
(8,5),0.398185 # DEPENDENCYPART_ARC
(8,6),1.7235 # DEPENDENCYPART_ARC
(8,7),0.989392 # DEPENDENCYPART_ARC
(8,9),1.1981 # DEPENDENCYPART_ARC
(8,10),0.0938654 # DEPENDENCYPART_ARC
(8,11),0.281088 # DEPENDENCYPART_ARC
(8,12),-1.53759 # DEPENDENCYPART_ARC
(8,13),-0.958176 # DEPENDENCYPART_ARC
(8,14),-0.0877924 # DEPENDENCYPART_ARC
(8,15),0.412702 # DEPENDENCYPART_ARC
(8,16),-0.598472 # DEPENDENCYPART_ARC
(8,17),-0.594934 # DEPENDENCYPART_ARC
(8,18),-0.948288 # DEPENDENCYPART_ARC
(8,19),0.819256 # DEPENDENCYPART_ARC
(9,1),-2.23836 # DEPENDENCYPART_ARC
(9,2),-2.34048 # DEPENDENCYPART_ARC
(9,3),-2.22246 # DEPENDENCYPART_ARC
(9,4),-2.31487 # DEPENDENCYPART_ARC
(9,5),-2.08336 # DEPENDENCYPART_ARC
(9,6),-1.41998 # DEPENDENCYPART_ARC
(9,7),-1.82972 # DEPENDENCYPART_ARC
(9,8),-0.712618 # DEPENDENCYPART_ARC
(9,10),0.04319 # DEPENDENCYPART_ARC
(9,11),-0.340196 # DEPENDENCYPART_ARC
(9,12),-0.961137 # DEPENDENCYPART_ARC
(9,13),-1.59019 # DEPENDENCYPART_ARC
(9,14),-1.75951 # DEPENDENCYPART_ARC
(9,15),0.046239 # DEPENDENCYPART_ARC
(9,16),-1.82184 # DEPENDENCYPART_ARC
(9,17),-2.39563 # DEPENDENCYPART_ARC
(9,18),-2.28114 # DEPENDENCYPART_ARC
(9,19),-1.51176 # DEPENDENCYPART_ARC
(10,1),-3.33031 # DEPENDENCYPART_ARC
(10,2),0.331165 # DEPENDENCYPART_ARC
(10,3),-0.143591 # DEPENDENCYPART_ARC
(10,4),-0.278629 # DEPENDENCYPART_ARC
(10,5),-0.349897 # DEPENDENCYPART_ARC
(10,6),0.263321 # DEPENDENCYPART_ARC
(10,7),0.303041 # DEPENDENCYPART_ARC
(10,8),-1.07731 # DEPENDENCYPART_ARC
(10,9),1.43683 # DEPENDENCYPART_ARC
(10,11),0.521006 # DEPENDENCYPART_ARC
(10,12),0.145797 # DEPENDENCYPART_ARC
(10,13),-0.72885 # DEPENDENCYPART_ARC
(10,14),0.174827 # DEPENDENCYPART_ARC
(10,15),-0.270359 # DEPENDENCYPART_ARC
(10,16),-0.762213 # DEPENDENCYPART_ARC
(10,17),-1.30575 # DEPENDENCYPART_ARC
(10,18),-1.68244 # DEPENDENCYPART_ARC
(10,19),0.347988 # DEPENDENCYPART_ARC
(11,1),3.34775 # DEPENDENCYPART_ARC
(11,2),1.55412 # DEPENDENCYPART_ARC
(11,3),1.46118 # DEPENDENCYPART_ARC
(11,4),2.17944 # DEPENDENCYPART_ARC
(11,5),1.59406 # DEPENDENCYPART_ARC
(11,6),0.376857 # DEPENDENCYPART_ARC
(11,7),0.837355 # DEPENDENCYPART_ARC
(11,8),2.6721 # DEPENDENCYPART_ARC
(11,9),4.38395 # DEPENDENCYPART_ARC
(11,10),3.82107 # DEPENDENCYPART_ARC
(11,12),4.41451 # DEPENDENCYPART_ARC
(11,13),1.12552 # DEPENDENCYPART_ARC
(11,14),0.707675 # DEPENDENCYPART_ARC
(11,15),3.00942 # DEPENDENCYPART_ARC
(11,16),3.05188 # DEPENDENCYPART_ARC
(11,17),-0.574664 # DEPENDENCYPART_ARC
(11,18),-0.650585 # DEPENDENCYPART_ARC
(11,19),4.97086 # DEPENDENCYPART_ARC
(12,1),-1.62026 # DEPENDENCYPART_ARC
(12,2),-1.58506 # DEPENDENCYPART_ARC
(12,3),-1.70151 # DEPENDENCYPART_ARC
(12,4),-1.7003 # DEPENDENCYPART_ARC
(12,5),-1.58913 # DEPENDENCYPART_ARC
(12,6),-1.1349 # DEPENDENCYPART_ARC
(12,7),-1.65495 # DEPENDENCYPART_ARC
(12,8),-1.68288 # DEPENDENCYPART_ARC
(12,9),-0.181384 # DEPENDENCYPART_ARC
(12,10),-0.740876 # DEPENDENCYPART_ARC
(12,11),-0.148552 # DEPENDENCYPART_ARC
(12,13),3.56926 # DEPENDENCYPART_ARC
(12,14),2.0961 # DEPENDENCYPART_ARC
(12,15),1.29952 # DEPENDENCYPART_ARC
(12,16),0.292245 # DEPENDENCYPART_ARC
(12,17),0.0700346 # DEPENDENCYPART_ARC
(12,18),0.0089893 # DEPENDENCYPART_ARC
(12,19),-0.153105 # DEPENDENCYPART_ARC
(13,1),-3.59961 # DEPENDENCYPART_ARC
(13,2),-2.59238 # DEPENDENCYPART_ARC
(13,3),-2.24917 # DEPENDENCYPART_ARC
(13,4),-2.14896 # DEPENDENCYPART_ARC
(13,5),-2.03245 # DEPENDENCYPART_ARC
(13,6),-1.14391 # DEPENDENCYPART_ARC
(13,7),-1.36635 # DEPENDENCYPART_ARC
(13,8),-1.10139 # DEPENDENCYPART_ARC
(13,9),-0.896158 # DEPENDENCYPART_ARC
(13,10),-0.715921 # DEPENDENCYPART_ARC
(13,11),-0.126669 # DEPENDENCYPART_ARC
(13,12),2.02588 # DEPENDENCYPART_ARC
(13,14),4.34554 # DEPENDENCYPART_ARC
(13,15),1.70786 # DEPENDENCYPART_ARC
(13,16),1.44818 # DEPENDENCYPART_ARC
(13,17),1.02266 # DEPENDENCYPART_ARC
(13,18),-0.413198 # DEPENDENCYPART_ARC
(13,19),0.0381251 # DEPENDENCYPART_ARC
(14,1),-3.0732 # DEPENDENCYPART_ARC
(14,2),-1.85839 # DEPENDENCYPART_ARC
(14,3),-1.98716 # DEPENDENCYPART_ARC
(14,4),-1.66633 # DEPENDENCYPART_ARC
(14,5),-1.56036 # DEPENDENCYPART_ARC
(14,6),-0.854021 # DEPENDENCYPART_ARC
(14,7),-1.77574 # DEPENDENCYPART_ARC
(14,8),-1.64526 # DEPENDENCYPART_ARC
(14,9),-0.912407 # DEPENDENCYPART_ARC
(14,10),-0.474766 # DEPENDENCYPART_ARC
(14,11),-0.509391 # DEPENDENCYPART_ARC
(14,12),0.80685 # DEPENDENCYPART_ARC
(14,13),0.781567 # DEPENDENCYPART_ARC
(14,15),0.434009 # DEPENDENCYPART_ARC
(14,16),0.166297 # DEPENDENCYPART_ARC
(14,17),0.186934 # DEPENDENCYPART_ARC
(14,18),-0.77979 # DEPENDENCYPART_ARC
(14,19),-0.627151 # DEPENDENCYPART_ARC
(15,1),-2.49501 # DEPENDENCYPART_ARC
(15,2),-2.68514 # DEPENDENCYPART_ARC
(15,3),-2.63318 # DEPENDENCYPART_ARC
(15,4),-2.52971 # DEPENDENCYPART_ARC
(15,5),-2.31832 # DEPENDENCYPART_ARC
(15,6),-2.00408 # DEPENDENCYPART_ARC
(15,7),-1.77184 # DEPENDENCYPART_ARC
(15,8),-1.25688 # DEPENDENCYPART_ARC
(15,9),-0.437631 # DEPENDENCYPART_ARC
(15,10),-1.92986 # DEPENDENCYPART_ARC
(15,11),-1.36716 # DEPENDENCYPART_ARC
(15,12),-0.972824 # DEPENDENCYPART_ARC
(15,13),-0.795135 # DEPENDENCYPART_ARC
(15,14),-0.495141 # DEPENDENCYPART_ARC
(15,16),-0.139169 # DEPENDENCYPART_ARC
(15,17),-0.518607 # DEPENDENCYPART_ARC
(15,18),-0.897704 # DEPENDENCYPART_ARC
(15,19),-0.837609 # DEPENDENCYPART_ARC
(16,1),-2.14403 # DEPENDENCYPART_ARC
(16,2),-2.10388 # DEPENDENCYPART_ARC
(16,3),-2.00273 # DEPENDENCYPART_ARC
(16,4),-1.93745 # DEPENDENCYPART_ARC
(16,5),-1.81122 # DEPENDENCYPART_ARC
(16,6),-0.737929 # DEPENDENCYPART_ARC
(16,7),-1.25048 # DEPENDENCYPART_ARC
(16,8),-1.26215 # DEPENDENCYPART_ARC
(16,9),-1.06182 # DEPENDENCYPART_ARC
(16,10),-1.02374 # DEPENDENCYPART_ARC
(16,11),-1.09879 # DEPENDENCYPART_ARC
(16,12),0.214701 # DEPENDENCYPART_ARC
(16,13),0.217651 # DEPENDENCYPART_ARC
(16,14),0.0469884 # DEPENDENCYPART_ARC
(16,15),0.458382 # DEPENDENCYPART_ARC
(16,17),2.18542 # DEPENDENCYPART_ARC
(16,18),3.10397 # DEPENDENCYPART_ARC
(16,19),-0.14197 # DEPENDENCYPART_ARC
(17,1),-3.89208 # DEPENDENCYPART_ARC
(17,2),-2.93541 # DEPENDENCYPART_ARC
(17,3),-3.11046 # DEPENDENCYPART_ARC
(17,4),-2.93268 # DEPENDENCYPART_ARC
(17,5),-2.84254 # DEPENDENCYPART_ARC
(17,6),-2.1112 # DEPENDENCYPART_ARC
(17,7),-2.9006 # DEPENDENCYPART_ARC
(17,8),-2.82343 # DEPENDENCYPART_ARC
(17,9),-2.16007 # DEPENDENCYPART_ARC
(17,10),-1.93556 # DEPENDENCYPART_ARC
(17,11),-1.84812 # DEPENDENCYPART_ARC
(17,12),-0.77733 # DEPENDENCYPART_ARC
(17,13),-1.31483 # DEPENDENCYPART_ARC
(17,14),-0.22068 # DEPENDENCYPART_ARC
(17,15),-0.346914 # DEPENDENCYPART_ARC
(17,16),0.0363484 # DEPENDENCYPART_ARC
(17,18),0.246828 # DEPENDENCYPART_ARC
(17,19),-0.963785 # DEPENDENCYPART_ARC
(18,1),-1.7078 # DEPENDENCYPART_ARC
(18,2),-1.30325 # DEPENDENCYPART_ARC
(18,3),-2.3011 # DEPENDENCYPART_ARC
(18,4),-2.54445 # DEPENDENCYPART_ARC
(18,5),-2.72434 # DEPENDENCYPART_ARC
(18,6),-0.657723 # DEPENDENCYPART_ARC
(18,7),-1.68187 # DEPENDENCYPART_ARC
(18,8),-2.61875 # DEPENDENCYPART_ARC
(18,9),-0.578861 # DEPENDENCYPART_ARC
(18,10),-2.23335 # DEPENDENCYPART_ARC
(18,11),-0.397976 # DEPENDENCYPART_ARC
(18,12),0.336565 # DEPENDENCYPART_ARC
(18,13),1.11289 # DEPENDENCYPART_ARC
(18,14),1.49715 # DEPENDENCYPART_ARC
(18,15),0.819238 # DEPENDENCYPART_ARC
(18,16),1.03852 # DEPENDENCYPART_ARC
(18,17),4.19704 # DEPENDENCYPART_ARC
(18,19),0.61403 # DEPENDENCYPART_ARC
(19,1),-3.09959 # DEPENDENCYPART_ARC
(19,2),-2.64255 # DEPENDENCYPART_ARC
(19,3),-2.62625 # DEPENDENCYPART_ARC
(19,4),-2.5928 # DEPENDENCYPART_ARC
(19,5),-2.64371 # DEPENDENCYPART_ARC
(19,6),-2.66039 # DEPENDENCYPART_ARC
(19,7),-2.5592 # DEPENDENCYPART_ARC
(19,8),-2.5934 # DEPENDENCYPART_ARC
(19,9),-1.46879 # DEPENDENCYPART_ARC
(19,10),-2.3081 # DEPENDENCYPART_ARC
(19,11),-1.70337 # DEPENDENCYPART_ARC
(19,12),-1.78595 # DEPENDENCYPART_ARC
(19,13),-1.99833 # DEPENDENCYPART_ARC
(19,14),-2.1882 # DEPENDENCYPART_ARC
(19,15),-0.840332 # DEPENDENCYPART_ARC
(19,16),-1.37401 # DEPENDENCYPART_ARC
(19,17),-2.00734 # DEPENDENCYPART_ARC
(19,18),-2.0066 # DEPENDENCYPART_ARC
