# _root_ Nobuto Yasuda , a director at Yamaichi Investment Trust & Management Co. , called yesterday 's session `` a good scenario '' for Japan .
#goldHeads=2,14,2,5,2,5,9,9,6,9,10,11,2,0,17,15,14,21,21,21,14,21,21,23,14,
#predictedHeads=2,14,2,5,2,5,9,9,6,9,10,11,2,0,17,15,14,21,21,21,14,21,14,23,14,
(1,11),-1.95328 # DEPENDENCYPART_ARC
(1,12),-0.900105 # DEPENDENCYPART_ARC
(1,13),1.90434 # DEPENDENCYPART_ARC
(1,14),-0.543511 # DEPENDENCYPART_ARC
(1,15),-2.30054 # DEPENDENCYPART_ARC
(1,16),-2.8389 # DEPENDENCYPART_ARC
(1,17),-2.54722 # DEPENDENCYPART_ARC
(1,18),-0.450942 # DEPENDENCYPART_ARC
(1,19),-1.24687 # DEPENDENCYPART_ARC
(1,20),-1.97374 # DEPENDENCYPART_ARC
(1,21),-2.81737 # DEPENDENCYPART_ARC
(1,22),0.110955 # DEPENDENCYPART_ARC
(1,23),-2.80376 # DEPENDENCYPART_ARC
(1,24),-3.07866 # DEPENDENCYPART_ARC
(1,25),-0.47927 # DEPENDENCYPART_ARC
(2,1),4.41597 # DEPENDENCYPART_ARC
(2,3),3.72353 # DEPENDENCYPART_ARC
(2,4),0.943898 # DEPENDENCYPART_ARC
(2,5),2.80297 # DEPENDENCYPART_ARC
(2,6),0.650658 # DEPENDENCYPART_ARC
(2,7),0.290836 # DEPENDENCYPART_ARC
(2,8),0.487671 # DEPENDENCYPART_ARC
(2,9),1.50713 # DEPENDENCYPART_ARC
(2,10),1.7256 # DEPENDENCYPART_ARC
(2,11),-1.09945 # DEPENDENCYPART_ARC
(2,12),1.06029 # DEPENDENCYPART_ARC
(2,13),3.86717 # DEPENDENCYPART_ARC
(2,14),0.578578 # DEPENDENCYPART_ARC
(2,15),-1.1538 # DEPENDENCYPART_ARC
(2,16),-1.19333 # DEPENDENCYPART_ARC
(2,17),-1.11288 # DEPENDENCYPART_ARC
(2,18),0.454447 # DEPENDENCYPART_ARC
(2,19),-0.189413 # DEPENDENCYPART_ARC
(2,20),-0.941141 # DEPENDENCYPART_ARC
(2,21),-1.41809 # DEPENDENCYPART_ARC
(2,22),1.01403 # DEPENDENCYPART_ARC
(2,23),-1.49822 # DEPENDENCYPART_ARC
(2,24),-1.90307 # DEPENDENCYPART_ARC
(2,25),0.150285 # DEPENDENCYPART_ARC
(3,1),-1.78286 # DEPENDENCYPART_ARC
(3,2),-1.22214 # DEPENDENCYPART_ARC
(3,4),-0.413738 # DEPENDENCYPART_ARC
(3,5),-1.22026 # DEPENDENCYPART_ARC
(3,6),-0.920925 # DEPENDENCYPART_ARC
(3,7),-1.22378 # DEPENDENCYPART_ARC
(3,8),-1.42405 # DEPENDENCYPART_ARC
(3,9),-1.84834 # DEPENDENCYPART_ARC
(3,10),-1.39672 # DEPENDENCYPART_ARC
(3,11),-2.10132 # DEPENDENCYPART_ARC
(3,12),-2.20999 # DEPENDENCYPART_ARC
(3,13),-0.780053 # DEPENDENCYPART_ARC
(3,14),-1.85679 # DEPENDENCYPART_ARC
(3,15),-2.76985 # DEPENDENCYPART_ARC
(3,16),-2.50171 # DEPENDENCYPART_ARC
(3,17),-2.95096 # DEPENDENCYPART_ARC
(3,18),-1.55321 # DEPENDENCYPART_ARC
(3,19),-2.88782 # DEPENDENCYPART_ARC
(3,20),-3.09808 # DEPENDENCYPART_ARC
(3,21),-3.5508 # DEPENDENCYPART_ARC
(3,22),-2.22998 # DEPENDENCYPART_ARC
(3,23),-2.58353 # DEPENDENCYPART_ARC
(3,24),-3.46783 # DEPENDENCYPART_ARC
(3,25),-2.6409 # DEPENDENCYPART_ARC
(4,1),-1.27239 # DEPENDENCYPART_ARC
(4,2),-1.23174 # DEPENDENCYPART_ARC
(4,3),-0.321952 # DEPENDENCYPART_ARC
(4,5),0.335563 # DEPENDENCYPART_ARC
(4,6),-0.864561 # DEPENDENCYPART_ARC
(4,7),-0.688345 # DEPENDENCYPART_ARC
(4,8),-0.808906 # DEPENDENCYPART_ARC
(4,9),-0.86548 # DEPENDENCYPART_ARC
(4,10),-0.792502 # DEPENDENCYPART_ARC
(4,11),-1.25424 # DEPENDENCYPART_ARC
(4,12),-1.17012 # DEPENDENCYPART_ARC
(4,13),6.72256e-05 # DEPENDENCYPART_ARC
(4,14),-1.84325 # DEPENDENCYPART_ARC
(4,15),-1.75804 # DEPENDENCYPART_ARC
(4,16),-2.63064 # DEPENDENCYPART_ARC
(4,17),-1.98072 # DEPENDENCYPART_ARC
(4,18),-2.17948 # DEPENDENCYPART_ARC
(4,19),-3.04052 # DEPENDENCYPART_ARC
(4,20),-2.64394 # DEPENDENCYPART_ARC
(4,21),-2.44312 # DEPENDENCYPART_ARC
(4,22),-2.53192 # DEPENDENCYPART_ARC
(4,23),-2.34437 # DEPENDENCYPART_ARC
(4,24),-2.46616 # DEPENDENCYPART_ARC
(4,25),-2.4519 # DEPENDENCYPART_ARC
(5,1),-0.508576 # DEPENDENCYPART_ARC
(5,2),-0.83502 # DEPENDENCYPART_ARC
(5,3),0.313547 # DEPENDENCYPART_ARC
(5,4),4.08677 # DEPENDENCYPART_ARC
(5,6),3.20435 # DEPENDENCYPART_ARC
(5,7),0.785035 # DEPENDENCYPART_ARC
(5,8),1.00512 # DEPENDENCYPART_ARC
(5,9),0.891846 # DEPENDENCYPART_ARC
(5,10),1.38704 # DEPENDENCYPART_ARC
(5,11),0.229311 # DEPENDENCYPART_ARC
(5,12),0.808221 # DEPENDENCYPART_ARC
(5,13),1.95968 # DEPENDENCYPART_ARC
(5,14),1.98101 # DEPENDENCYPART_ARC
(5,15),0.00826614 # DEPENDENCYPART_ARC
(5,16),-0.144322 # DEPENDENCYPART_ARC
(5,17),-0.717793 # DEPENDENCYPART_ARC
(5,18),0.00665 # DEPENDENCYPART_ARC
(5,19),-0.850134 # DEPENDENCYPART_ARC
(5,20),-0.220778 # DEPENDENCYPART_ARC
(5,21),-0.698823 # DEPENDENCYPART_ARC
(5,22),0.692 # DEPENDENCYPART_ARC
(5,23),-0.794108 # DEPENDENCYPART_ARC
(5,24),-1.19225 # DEPENDENCYPART_ARC
(5,25),0.46365 # DEPENDENCYPART_ARC
(6,1),-1.20153 # DEPENDENCYPART_ARC
(6,2),-1.22119 # DEPENDENCYPART_ARC
(6,3),-0.0956755 # DEPENDENCYPART_ARC
(6,4),0.028691 # DEPENDENCYPART_ARC
(6,5),0.515154 # DEPENDENCYPART_ARC
(6,7),2.67981 # DEPENDENCYPART_ARC
(6,8),2.73267 # DEPENDENCYPART_ARC
(6,9),3.2844 # DEPENDENCYPART_ARC
(6,10),0.336279 # DEPENDENCYPART_ARC
(6,11),1.33911 # DEPENDENCYPART_ARC
(6,12),0.0341238 # DEPENDENCYPART_ARC
(6,13),0.656971 # DEPENDENCYPART_ARC
(6,14),0.312455 # DEPENDENCYPART_ARC
(6,15),-3.11463 # DEPENDENCYPART_ARC
(6,16),-1.72737 # DEPENDENCYPART_ARC
(6,17),-0.172507 # DEPENDENCYPART_ARC
(6,18),-0.704052 # DEPENDENCYPART_ARC
(6,19),-3.19922 # DEPENDENCYPART_ARC
(6,20),-1.83433 # DEPENDENCYPART_ARC
(6,21),-1.70728 # DEPENDENCYPART_ARC
(6,22),-0.606712 # DEPENDENCYPART_ARC
(6,23),-2.21474 # DEPENDENCYPART_ARC
(6,24),-2.76336 # DEPENDENCYPART_ARC
(6,25),-1.35562 # DEPENDENCYPART_ARC
(7,1),-3.73529 # DEPENDENCYPART_ARC
(7,2),-3.49123 # DEPENDENCYPART_ARC
(7,3),-2.82572 # DEPENDENCYPART_ARC
(7,4),-1.74061 # DEPENDENCYPART_ARC
(7,5),-2.58154 # DEPENDENCYPART_ARC
(7,6),-1.5673 # DEPENDENCYPART_ARC
(7,8),1.11576 # DEPENDENCYPART_ARC
(7,9),0.950026 # DEPENDENCYPART_ARC
(7,10),1.02508 # DEPENDENCYPART_ARC
(7,11),-1.39189 # DEPENDENCYPART_ARC
(7,12),0.430628 # DEPENDENCYPART_ARC
(7,13),0.35757 # DEPENDENCYPART_ARC
(7,14),-1.23909 # DEPENDENCYPART_ARC
(7,15),-2.17696 # DEPENDENCYPART_ARC
(7,16),-2.2133 # DEPENDENCYPART_ARC
(7,17),-2.47672 # DEPENDENCYPART_ARC
(7,18),-1.18252 # DEPENDENCYPART_ARC
(7,19),-1.83841 # DEPENDENCYPART_ARC
(7,20),-2.16761 # DEPENDENCYPART_ARC
(7,21),-3.21495 # DEPENDENCYPART_ARC
(7,22),-0.882226 # DEPENDENCYPART_ARC
(7,23),-2.4407 # DEPENDENCYPART_ARC
(7,24),-3.18421 # DEPENDENCYPART_ARC
(7,25),-1.85776 # DEPENDENCYPART_ARC
(8,1),-2.23489 # DEPENDENCYPART_ARC
(8,2),-2.88884 # DEPENDENCYPART_ARC
(8,3),-1.61324 # DEPENDENCYPART_ARC
(8,4),-1.01297 # DEPENDENCYPART_ARC
(8,5),-1.9411 # DEPENDENCYPART_ARC
(8,6),-1.49384 # DEPENDENCYPART_ARC
(8,7),3.18233 # DEPENDENCYPART_ARC
(8,9),1.62121 # DEPENDENCYPART_ARC
(8,10),2.56189 # DEPENDENCYPART_ARC
(8,11),-1.03591 # DEPENDENCYPART_ARC
(8,12),1.10868 # DEPENDENCYPART_ARC
(8,13),0.724933 # DEPENDENCYPART_ARC
(8,14),-0.925274 # DEPENDENCYPART_ARC
(8,15),-1.82357 # DEPENDENCYPART_ARC
(8,16),-1.72152 # DEPENDENCYPART_ARC
(8,17),-1.96903 # DEPENDENCYPART_ARC
(8,18),-1.22691 # DEPENDENCYPART_ARC
(8,19),-1.6968 # DEPENDENCYPART_ARC
(8,20),-2.21254 # DEPENDENCYPART_ARC
(8,21),-2.75323 # DEPENDENCYPART_ARC
(8,22),-0.671011 # DEPENDENCYPART_ARC
(8,23),-2.5786 # DEPENDENCYPART_ARC
(8,24),-3.06118 # DEPENDENCYPART_ARC
(8,25),-0.470544 # DEPENDENCYPART_ARC
(9,1),0.976745 # DEPENDENCYPART_ARC
(9,2),-0.497515 # DEPENDENCYPART_ARC
(9,3),-0.00325365 # DEPENDENCYPART_ARC
(9,4),2.29747 # DEPENDENCYPART_ARC
(9,5),0.93271 # DEPENDENCYPART_ARC
(9,6),0.656701 # DEPENDENCYPART_ARC
(9,7),5.40979 # DEPENDENCYPART_ARC
(9,8),4.9564 # DEPENDENCYPART_ARC
(9,10),5.13864 # DEPENDENCYPART_ARC
(9,11),1.4464 # DEPENDENCYPART_ARC
(9,12),3.62774 # DEPENDENCYPART_ARC
(9,13),3.11909 # DEPENDENCYPART_ARC
(9,14),1.50812 # DEPENDENCYPART_ARC
(9,15),0.827192 # DEPENDENCYPART_ARC
(9,16),1.19648 # DEPENDENCYPART_ARC
(9,17),0.594092 # DEPENDENCYPART_ARC
(9,18),1.06127 # DEPENDENCYPART_ARC
(9,19),0.950109 # DEPENDENCYPART_ARC
(9,20),0.482148 # DEPENDENCYPART_ARC
(9,21),-0.0549461 # DEPENDENCYPART_ARC
(9,22),1.6629 # DEPENDENCYPART_ARC
(9,23),0.46454 # DEPENDENCYPART_ARC
(9,24),-0.187214 # DEPENDENCYPART_ARC
(9,25),1.13662 # DEPENDENCYPART_ARC
(10,1),-1.33544 # DEPENDENCYPART_ARC
(10,2),-1.26937 # DEPENDENCYPART_ARC
(10,3),-1.58096 # DEPENDENCYPART_ARC
(10,4),-0.908364 # DEPENDENCYPART_ARC
(10,5),-1.32589 # DEPENDENCYPART_ARC
(10,6),-1.02912 # DEPENDENCYPART_ARC
(10,7),-0.215804 # DEPENDENCYPART_ARC
(10,8),-0.501878 # DEPENDENCYPART_ARC
(10,9),0.174505 # DEPENDENCYPART_ARC
(10,11),3.30635 # DEPENDENCYPART_ARC
(10,12),2.782 # DEPENDENCYPART_ARC
(10,13),1.05329 # DEPENDENCYPART_ARC
(10,14),-0.242024 # DEPENDENCYPART_ARC
(10,15),0.13641 # DEPENDENCYPART_ARC
(10,16),-1.28174 # DEPENDENCYPART_ARC
(10,17),-1.11498 # DEPENDENCYPART_ARC
(10,18),-0.439879 # DEPENDENCYPART_ARC
(10,19),-1.316 # DEPENDENCYPART_ARC
(10,20),-1.06455 # DEPENDENCYPART_ARC
(10,21),-1.27923 # DEPENDENCYPART_ARC
(10,22),-0.367462 # DEPENDENCYPART_ARC
(10,23),-1.27139 # DEPENDENCYPART_ARC
(10,24),-2.69252 # DEPENDENCYPART_ARC
(10,25),-0.556947 # DEPENDENCYPART_ARC
(11,1),-3.23214 # DEPENDENCYPART_ARC
(11,2),-3.4514 # DEPENDENCYPART_ARC
(11,3),-2.15933 # DEPENDENCYPART_ARC
(11,4),-1.25248 # DEPENDENCYPART_ARC
(11,5),-2.16435 # DEPENDENCYPART_ARC
(11,6),-2.05524 # DEPENDENCYPART_ARC
(11,7),0.720647 # DEPENDENCYPART_ARC
(11,8),0.421995 # DEPENDENCYPART_ARC
(11,9),0.186515 # DEPENDENCYPART_ARC
(11,10),0.695159 # DEPENDENCYPART_ARC
(11,12),4.88052 # DEPENDENCYPART_ARC
(11,13),1.93265 # DEPENDENCYPART_ARC
(11,14),0.656164 # DEPENDENCYPART_ARC
(11,15),0.0118862 # DEPENDENCYPART_ARC
(11,16),0.737216 # DEPENDENCYPART_ARC
(11,17),-0.251441 # DEPENDENCYPART_ARC
(11,18),0.317193 # DEPENDENCYPART_ARC
(11,19),-0.0840069 # DEPENDENCYPART_ARC
(11,20),0.000228794 # DEPENDENCYPART_ARC
(11,21),-0.614978 # DEPENDENCYPART_ARC
(11,22),0.760017 # DEPENDENCYPART_ARC
(11,23),-0.947723 # DEPENDENCYPART_ARC
(11,24),-1.13445 # DEPENDENCYPART_ARC
(11,25),0.658963 # DEPENDENCYPART_ARC
(12,1),-2.82861 # DEPENDENCYPART_ARC
(12,2),-3.51209 # DEPENDENCYPART_ARC
(12,3),-2.75695 # DEPENDENCYPART_ARC
(12,4),-1.52716 # DEPENDENCYPART_ARC
(12,5),-3.11346 # DEPENDENCYPART_ARC
(12,6),-3.21272 # DEPENDENCYPART_ARC
(12,7),1.15002 # DEPENDENCYPART_ARC
(12,8),0.027824 # DEPENDENCYPART_ARC
(12,9),-1.16929 # DEPENDENCYPART_ARC
(12,10),-0.459462 # DEPENDENCYPART_ARC
(12,11),2.33846 # DEPENDENCYPART_ARC
(12,13),-0.155202 # DEPENDENCYPART_ARC
(12,14),-1.39063 # DEPENDENCYPART_ARC
(12,15),-2.20063 # DEPENDENCYPART_ARC
(12,16),-0.48359 # DEPENDENCYPART_ARC
(12,17),-2.45739 # DEPENDENCYPART_ARC
(12,18),-1.93196 # DEPENDENCYPART_ARC
(12,19),-2.32225 # DEPENDENCYPART_ARC
(12,20),-2.5428 # DEPENDENCYPART_ARC
(12,21),-3.00049 # DEPENDENCYPART_ARC
(12,22),-1.48316 # DEPENDENCYPART_ARC
(12,23),-3.14875 # DEPENDENCYPART_ARC
(12,24),-3.11072 # DEPENDENCYPART_ARC
(12,25),-2.44676 # DEPENDENCYPART_ARC
(13,1),-2.5811 # DEPENDENCYPART_ARC
(13,2),-2.6205 # DEPENDENCYPART_ARC
(13,3),-0.793507 # DEPENDENCYPART_ARC
(13,4),-1.44837 # DEPENDENCYPART_ARC
(13,5),-1.8922 # DEPENDENCYPART_ARC
(13,6),-1.47201 # DEPENDENCYPART_ARC
(13,7),-1.7968 # DEPENDENCYPART_ARC
(13,8),-1.92695 # DEPENDENCYPART_ARC
(13,9),-1.69544 # DEPENDENCYPART_ARC
(13,10),-1.31645 # DEPENDENCYPART_ARC
(13,11),-1.42532 # DEPENDENCYPART_ARC
(13,12),-0.866935 # DEPENDENCYPART_ARC
(13,14),0.230976 # DEPENDENCYPART_ARC
(13,15),-0.901322 # DEPENDENCYPART_ARC
(13,16),-1.18412 # DEPENDENCYPART_ARC
(13,17),-1.56209 # DEPENDENCYPART_ARC
(13,18),-1.00189 # DEPENDENCYPART_ARC
(13,19),-1.78825 # DEPENDENCYPART_ARC
(13,20),-1.96933 # DEPENDENCYPART_ARC
(13,21),-2.41456 # DEPENDENCYPART_ARC
(13,22),-1.34206 # DEPENDENCYPART_ARC
(13,23),-1.70767 # DEPENDENCYPART_ARC
(13,24),-2.37794 # DEPENDENCYPART_ARC
(13,25),-1.67888 # DEPENDENCYPART_ARC
(14,1),1.84157 # DEPENDENCYPART_ARC
(14,2),1.81858 # DEPENDENCYPART_ARC
(14,3),1.5345 # DEPENDENCYPART_ARC
(14,4),0.16908 # DEPENDENCYPART_ARC
(14,5),1.92382 # DEPENDENCYPART_ARC
(14,6),0.627552 # DEPENDENCYPART_ARC
(14,7),1.30437 # DEPENDENCYPART_ARC
(14,8),1.60139 # DEPENDENCYPART_ARC
(14,9),1.46807 # DEPENDENCYPART_ARC
(14,10),0.830887 # DEPENDENCYPART_ARC
(14,11),1.58242 # DEPENDENCYPART_ARC
(14,12),1.39008 # DEPENDENCYPART_ARC
(14,13),1.67385 # DEPENDENCYPART_ARC
(14,15),3.60237 # DEPENDENCYPART_ARC
(14,16),1.87834 # DEPENDENCYPART_ARC
(14,17),2.36847 # DEPENDENCYPART_ARC
(14,18),0.914367 # DEPENDENCYPART_ARC
(14,19),-0.16609 # DEPENDENCYPART_ARC
(14,20),1.13308 # DEPENDENCYPART_ARC
(14,21),1.30703 # DEPENDENCYPART_ARC
(14,22),1.4923 # DEPENDENCYPART_ARC
(14,23),2.40799 # DEPENDENCYPART_ARC
(14,24),0.204986 # DEPENDENCYPART_ARC
(14,25),4.19196 # DEPENDENCYPART_ARC
(15,1),-7.23252 # DEPENDENCYPART_ARC
(15,2),-7.79024 # DEPENDENCYPART_ARC
(15,3),-4.95677 # DEPENDENCYPART_ARC
(15,4),-3.01064 # DEPENDENCYPART_ARC
(15,5),-6.12254 # DEPENDENCYPART_ARC
(15,6),-3.61443 # DEPENDENCYPART_ARC
(15,7),-3.28197 # DEPENDENCYPART_ARC
(15,8),-3.56875 # DEPENDENCYPART_ARC
(15,9),-4.37794 # DEPENDENCYPART_ARC
(15,10),-2.97602 # DEPENDENCYPART_ARC
(15,11),-2.07161 # DEPENDENCYPART_ARC
(15,12),-2.51263 # DEPENDENCYPART_ARC
(15,13),-1.80743 # DEPENDENCYPART_ARC
(15,14),-1.22318 # DEPENDENCYPART_ARC
(15,16),3.73385 # DEPENDENCYPART_ARC
(15,17),-0.126543 # DEPENDENCYPART_ARC
(15,18),-0.293133 # DEPENDENCYPART_ARC
(15,19),-1.13748 # DEPENDENCYPART_ARC
(15,20),-0.670008 # DEPENDENCYPART_ARC
(15,21),-0.839022 # DEPENDENCYPART_ARC
(15,22),0.415323 # DEPENDENCYPART_ARC
(15,23),-1.22434 # DEPENDENCYPART_ARC
(15,24),-1.93466 # DEPENDENCYPART_ARC
(15,25),-0.650289 # DEPENDENCYPART_ARC
(16,1),-1.64432 # DEPENDENCYPART_ARC
(16,2),-1.66612 # DEPENDENCYPART_ARC
(16,3),-2.81608 # DEPENDENCYPART_ARC
(16,4),-1.84066 # DEPENDENCYPART_ARC
(16,5),-2.97275 # DEPENDENCYPART_ARC
(16,6),-2.06261 # DEPENDENCYPART_ARC
(16,7),-0.925628 # DEPENDENCYPART_ARC
(16,8),-0.98233 # DEPENDENCYPART_ARC
(16,9),-0.971647 # DEPENDENCYPART_ARC
(16,10),-1.66072 # DEPENDENCYPART_ARC
(16,11),-0.654753 # DEPENDENCYPART_ARC
(16,12),-0.557286 # DEPENDENCYPART_ARC
(16,13),-0.213229 # DEPENDENCYPART_ARC
(16,14),-0.469089 # DEPENDENCYPART_ARC
(16,15),0.0370438 # DEPENDENCYPART_ARC
(16,17),-0.217734 # DEPENDENCYPART_ARC
(16,18),-1.14447 # DEPENDENCYPART_ARC
(16,19),-1.25486 # DEPENDENCYPART_ARC
(16,20),-1.36368 # DEPENDENCYPART_ARC
(16,21),-1.657 # DEPENDENCYPART_ARC
(16,22),-1.28567 # DEPENDENCYPART_ARC
(16,23),-1.2374 # DEPENDENCYPART_ARC
(16,24),-2.47183 # DEPENDENCYPART_ARC
(16,25),-1.23727 # DEPENDENCYPART_ARC
(17,1),-3.26672 # DEPENDENCYPART_ARC
(17,2),-3.7497 # DEPENDENCYPART_ARC
(17,3),-2.1326 # DEPENDENCYPART_ARC
(17,4),-0.845435 # DEPENDENCYPART_ARC
(17,5),-2.45599 # DEPENDENCYPART_ARC
(17,6),-1.85785 # DEPENDENCYPART_ARC
(17,7),0.285959 # DEPENDENCYPART_ARC
(17,8),-0.134166 # DEPENDENCYPART_ARC
(17,9),-0.338373 # DEPENDENCYPART_ARC
(17,10),-0.620085 # DEPENDENCYPART_ARC
(17,11),0.469926 # DEPENDENCYPART_ARC
(17,12),0.414726 # DEPENDENCYPART_ARC
(17,13),0.576194 # DEPENDENCYPART_ARC
(17,14),0.157312 # DEPENDENCYPART_ARC
(17,15),4.61427 # DEPENDENCYPART_ARC
(17,16),1.59699 # DEPENDENCYPART_ARC
(17,18),1.31548 # DEPENDENCYPART_ARC
(17,19),0.370317 # DEPENDENCYPART_ARC
(17,20),0.327443 # DEPENDENCYPART_ARC
(17,21),0.569173 # DEPENDENCYPART_ARC
(17,22),1.50182 # DEPENDENCYPART_ARC
(17,23),1.07502 # DEPENDENCYPART_ARC
(17,24),0.280821 # DEPENDENCYPART_ARC
(17,25),0.335622 # DEPENDENCYPART_ARC
(18,1),-3.1355 # DEPENDENCYPART_ARC
(18,2),-3.05614 # DEPENDENCYPART_ARC
(18,3),-2.65239 # DEPENDENCYPART_ARC
(18,4),-2.66857 # DEPENDENCYPART_ARC
(18,5),-2.74955 # DEPENDENCYPART_ARC
(18,6),-2.33431 # DEPENDENCYPART_ARC
(18,7),-2.52227 # DEPENDENCYPART_ARC
(18,8),-2.27204 # DEPENDENCYPART_ARC
(18,9),-2.18539 # DEPENDENCYPART_ARC
(18,10),-2.31526 # DEPENDENCYPART_ARC
(18,11),-1.93528 # DEPENDENCYPART_ARC
(18,12),-1.81003 # DEPENDENCYPART_ARC
(18,13),-1.50482 # DEPENDENCYPART_ARC
(18,14),-1.60395 # DEPENDENCYPART_ARC
(18,15),-1.06335 # DEPENDENCYPART_ARC
(18,16),-0.985444 # DEPENDENCYPART_ARC
(18,17),-0.441039 # DEPENDENCYPART_ARC
(18,19),-0.844926 # DEPENDENCYPART_ARC
(18,20),-0.50983 # DEPENDENCYPART_ARC
(18,21),-1.33188 # DEPENDENCYPART_ARC
(18,22),-0.245539 # DEPENDENCYPART_ARC
(18,23),-1.68226 # DEPENDENCYPART_ARC
(18,24),-1.89796 # DEPENDENCYPART_ARC
(18,25),-1.18939 # DEPENDENCYPART_ARC
(19,1),-2.51216 # DEPENDENCYPART_ARC
(19,2),-2.52808 # DEPENDENCYPART_ARC
(19,3),-2.78134 # DEPENDENCYPART_ARC
(19,4),-1.81549 # DEPENDENCYPART_ARC
(19,5),-3.14001 # DEPENDENCYPART_ARC
(19,6),-1.89116 # DEPENDENCYPART_ARC
(19,7),-2.12351 # DEPENDENCYPART_ARC
(19,8),-2.12761 # DEPENDENCYPART_ARC
(19,9),-1.96089 # DEPENDENCYPART_ARC
(19,10),-2.54716 # DEPENDENCYPART_ARC
(19,11),-1.88402 # DEPENDENCYPART_ARC
(19,12),-1.84056 # DEPENDENCYPART_ARC
(19,13),-1.66097 # DEPENDENCYPART_ARC
(19,14),-1.70006 # DEPENDENCYPART_ARC
(19,15),-1.51177 # DEPENDENCYPART_ARC
(19,16),-0.945577 # DEPENDENCYPART_ARC
(19,17),-1.17486 # DEPENDENCYPART_ARC
(19,18),-0.232839 # DEPENDENCYPART_ARC
(19,20),0.677237 # DEPENDENCYPART_ARC
(19,21),0.192773 # DEPENDENCYPART_ARC
(19,22),-0.14973 # DEPENDENCYPART_ARC
(19,23),-0.361791 # DEPENDENCYPART_ARC
(19,24),-0.673182 # DEPENDENCYPART_ARC
(19,25),-0.745308 # DEPENDENCYPART_ARC
(20,1),-2.44242 # DEPENDENCYPART_ARC
(20,2),-3.09507 # DEPENDENCYPART_ARC
(20,3),-1.96167 # DEPENDENCYPART_ARC
(20,4),-1.04143 # DEPENDENCYPART_ARC
(20,5),-2.51354 # DEPENDENCYPART_ARC
(20,6),-2.49367 # DEPENDENCYPART_ARC
(20,7),-1.45159 # DEPENDENCYPART_ARC
(20,8),-1.94402 # DEPENDENCYPART_ARC
(20,9),-2.40638 # DEPENDENCYPART_ARC
(20,10),-2.31682 # DEPENDENCYPART_ARC
(20,11),-1.30398 # DEPENDENCYPART_ARC
(20,12),-2.06876 # DEPENDENCYPART_ARC
(20,13),-1.41699 # DEPENDENCYPART_ARC
(20,14),-1.85759 # DEPENDENCYPART_ARC
(20,15),-0.939606 # DEPENDENCYPART_ARC
(20,16),-0.831148 # DEPENDENCYPART_ARC
(20,17),-0.460012 # DEPENDENCYPART_ARC
(20,18),0.645861 # DEPENDENCYPART_ARC
(20,19),1.42298 # DEPENDENCYPART_ARC
(20,21),1.40677 # DEPENDENCYPART_ARC
(20,22),0.639219 # DEPENDENCYPART_ARC
(20,23),0.595245 # DEPENDENCYPART_ARC
(20,24),-0.597947 # DEPENDENCYPART_ARC
(20,25),0.120421 # DEPENDENCYPART_ARC
(21,1),-4.41706 # DEPENDENCYPART_ARC
(21,2),-5.24383 # DEPENDENCYPART_ARC
(21,3),-2.35752 # DEPENDENCYPART_ARC
(21,4),-0.987262 # DEPENDENCYPART_ARC
(21,5),-3.35545 # DEPENDENCYPART_ARC
