# _root_ By 10:25 , the Dow had turned up for the day , prompting cheers on trading desks and exchange floors .
#goldHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
#predictedHeads=6,1,6,5,6,0,6,7,7,11,9,7,7,13,13,17,15,17,20,18,6,
(10,1),-2.75341 # DEPENDENCYPART_ARC
(10,2),-2.67898 # DEPENDENCYPART_ARC
(10,3),-2.86897 # DEPENDENCYPART_ARC
(10,4),-2.19877 # DEPENDENCYPART_ARC
(10,5),-2.67237 # DEPENDENCYPART_ARC
(10,6),-2.5177 # DEPENDENCYPART_ARC
(10,7),-2.14331 # DEPENDENCYPART_ARC
(10,8),-1.33584 # DEPENDENCYPART_ARC
(10,9),-0.541381 # DEPENDENCYPART_ARC
(10,11),-0.373824 # DEPENDENCYPART_ARC
(10,12),-2.05157 # DEPENDENCYPART_ARC
(10,13),-1.9545 # DEPENDENCYPART_ARC
(10,14),-2.14808 # DEPENDENCYPART_ARC
(10,15),-2.73085 # DEPENDENCYPART_ARC
(10,16),-2.28871 # DEPENDENCYPART_ARC
(10,17),-2.69459 # DEPENDENCYPART_ARC
(10,18),-2.05876 # DEPENDENCYPART_ARC
(10,19),-2.52282 # DEPENDENCYPART_ARC
(10,20),-3.07466 # DEPENDENCYPART_ARC
(10,21),-1.98015 # DEPENDENCYPART_ARC
(11,1),-0.920113 # DEPENDENCYPART_ARC
(11,2),-3.22163 # DEPENDENCYPART_ARC
(11,3),-1.59426 # DEPENDENCYPART_ARC
(11,4),-2.02691 # DEPENDENCYPART_ARC
(11,5),-3.10433 # DEPENDENCYPART_ARC
(11,6),-0.875421 # DEPENDENCYPART_ARC
(11,7),-0.915885 # DEPENDENCYPART_ARC
(11,8),0.57805 # DEPENDENCYPART_ARC
(11,9),1.41667 # DEPENDENCYPART_ARC
(11,10),5.08865 # DEPENDENCYPART_ARC
(11,12),0.630806 # DEPENDENCYPART_ARC
(11,13),0.225557 # DEPENDENCYPART_ARC
(11,14),-0.029282 # DEPENDENCYPART_ARC
(11,15),-0.375355 # DEPENDENCYPART_ARC
(11,16),-0.408882 # DEPENDENCYPART_ARC
(11,17),0.141156 # DEPENDENCYPART_ARC
(11,18),0.240326 # DEPENDENCYPART_ARC
(11,19),-0.970331 # DEPENDENCYPART_ARC
(11,20),-0.58535 # DEPENDENCYPART_ARC
(11,21),-0.00686626 # DEPENDENCYPART_ARC
(12,1),-2.27848 # DEPENDENCYPART_ARC
(12,2),-2.37547 # DEPENDENCYPART_ARC
(12,3),-0.665379 # DEPENDENCYPART_ARC
(12,4),-1.6935 # DEPENDENCYPART_ARC
(12,5),-2.22159 # DEPENDENCYPART_ARC
(12,6),-1.61994 # DEPENDENCYPART_ARC
(12,7),-1.34416 # DEPENDENCYPART_ARC
(12,8),-1.59733 # DEPENDENCYPART_ARC
(12,9),-1.2494 # DEPENDENCYPART_ARC
(12,10),-0.858493 # DEPENDENCYPART_ARC
(12,11),-1.20748 # DEPENDENCYPART_ARC
(12,13),-0.23955 # DEPENDENCYPART_ARC
(12,14),-0.927359 # DEPENDENCYPART_ARC
(12,15),-1.06893 # DEPENDENCYPART_ARC
(12,16),-1.41184 # DEPENDENCYPART_ARC
(12,17),-1.73259 # DEPENDENCYPART_ARC
(12,18),-1.55556 # DEPENDENCYPART_ARC
(12,19),-2.16858 # DEPENDENCYPART_ARC
(12,20),-2.30893 # DEPENDENCYPART_ARC
(12,21),-1.55835 # DEPENDENCYPART_ARC
(13,1),-1.94938 # DEPENDENCYPART_ARC
(13,2),-1.36783 # DEPENDENCYPART_ARC
(13,3),-1.25713 # DEPENDENCYPART_ARC
(13,4),-0.564026 # DEPENDENCYPART_ARC
(13,5),-0.659839 # DEPENDENCYPART_ARC
(13,6),-0.823338 # DEPENDENCYPART_ARC
(13,7),-0.614673 # DEPENDENCYPART_ARC
(13,8),-0.60736 # DEPENDENCYPART_ARC
(13,9),-0.456297 # DEPENDENCYPART_ARC
(13,10),0.918163 # DEPENDENCYPART_ARC
(13,11),-0.31876 # DEPENDENCYPART_ARC
(13,12),0.42002 # DEPENDENCYPART_ARC
(13,14),3.29728 # DEPENDENCYPART_ARC
(13,15),2.47004 # DEPENDENCYPART_ARC
(13,16),1.59307 # DEPENDENCYPART_ARC
(13,17),1.10219 # DEPENDENCYPART_ARC
(13,18),1.08361 # DEPENDENCYPART_ARC
(13,19),0.126824 # DEPENDENCYPART_ARC
(13,20),-0.0707206 # DEPENDENCYPART_ARC
(13,21),0.688649 # DEPENDENCYPART_ARC
(14,1),-1.15154 # DEPENDENCYPART_ARC
(14,2),-2.79205 # DEPENDENCYPART_ARC
(14,3),-1.33584 # DEPENDENCYPART_ARC
(14,4),-2.60152 # DEPENDENCYPART_ARC
(14,5),-3.33096 # DEPENDENCYPART_ARC
(14,6),-1.33358 # DEPENDENCYPART_ARC
(14,7),-1.25145 # DEPENDENCYPART_ARC
(14,8),-0.360358 # DEPENDENCYPART_ARC
(14,9),-0.325616 # DEPENDENCYPART_ARC
(14,10),2.44724 # DEPENDENCYPART_ARC
(14,11),-0.030732 # DEPENDENCYPART_ARC
(14,12),0.235578 # DEPENDENCYPART_ARC
(14,13),1.75057 # DEPENDENCYPART_ARC
(14,15),2.18309 # DEPENDENCYPART_ARC
(14,16),1.20169 # DEPENDENCYPART_ARC
(14,17),1.13442 # DEPENDENCYPART_ARC
(14,18),2.15799 # DEPENDENCYPART_ARC
(14,19),0.405482 # DEPENDENCYPART_ARC
(14,20),-0.216302 # DEPENDENCYPART_ARC
(14,21),0.945524 # DEPENDENCYPART_ARC
(15,1),-2.35086 # DEPENDENCYPART_ARC
(15,2),-2.04209 # DEPENDENCYPART_ARC
(15,3),-2.32683 # DEPENDENCYPART_ARC
(15,4),-1.85043 # DEPENDENCYPART_ARC
(15,5),-1.61228 # DEPENDENCYPART_ARC
(15,6),-1.20961 # DEPENDENCYPART_ARC
(15,7),-1.01249 # DEPENDENCYPART_ARC
(15,8),-0.596072 # DEPENDENCYPART_ARC
(15,9),-0.787762 # DEPENDENCYPART_ARC
(15,10),-0.794832 # DEPENDENCYPART_ARC
(15,11),-0.89443 # DEPENDENCYPART_ARC
(15,12),-0.757671 # DEPENDENCYPART_ARC
(15,13),-0.802072 # DEPENDENCYPART_ARC
(15,14),0.0351541 # DEPENDENCYPART_ARC
(15,16),3.01519 # DEPENDENCYPART_ARC
(15,17),2.80908 # DEPENDENCYPART_ARC
(15,18),0.829802 # DEPENDENCYPART_ARC
(15,19),-0.167707 # DEPENDENCYPART_ARC
(15,20),0.579183 # DEPENDENCYPART_ARC
(15,21),0.53812 # DEPENDENCYPART_ARC
(16,1),-3.306 # DEPENDENCYPART_ARC
(16,2),-2.71578 # DEPENDENCYPART_ARC
(16,3),-2.59086 # DEPENDENCYPART_ARC
(16,4),-2.39859 # DEPENDENCYPART_ARC
(16,5),-2.48013 # DEPENDENCYPART_ARC
(16,6),-1.90972 # DEPENDENCYPART_ARC
(16,7),-1.96204 # DEPENDENCYPART_ARC
(16,8),-1.96908 # DEPENDENCYPART_ARC
(16,9),-1.92578 # DEPENDENCYPART_ARC
(16,10),-1.01859 # DEPENDENCYPART_ARC
(16,11),-1.3788 # DEPENDENCYPART_ARC
(16,12),-1.33833 # DEPENDENCYPART_ARC
(16,13),-0.772859 # DEPENDENCYPART_ARC
(16,14),-0.313705 # DEPENDENCYPART_ARC
(16,15),-0.353897 # DEPENDENCYPART_ARC
(16,17),3.00779 # DEPENDENCYPART_ARC
(16,18),1.03669 # DEPENDENCYPART_ARC
(16,19),0.55365 # DEPENDENCYPART_ARC
(16,20),0.864337 # DEPENDENCYPART_ARC
(16,21),-0.504295 # DEPENDENCYPART_ARC
(17,1),-1.23437 # DEPENDENCYPART_ARC
(17,2),-2.79788 # DEPENDENCYPART_ARC
(17,3),-1.58795 # DEPENDENCYPART_ARC
(17,4),-3.80193 # DEPENDENCYPART_ARC
(17,5),-4.04797 # DEPENDENCYPART_ARC
(17,6),-1.11136 # DEPENDENCYPART_ARC
(17,7),-1.13545 # DEPENDENCYPART_ARC
(17,8),-0.470633 # DEPENDENCYPART_ARC
(17,9),-0.712154 # DEPENDENCYPART_ARC
(17,10),0.737192 # DEPENDENCYPART_ARC
(17,11),-1.43078 # DEPENDENCYPART_ARC
(17,12),-0.595452 # DEPENDENCYPART_ARC
(17,13),0.55997 # DEPENDENCYPART_ARC
(17,14),0.680628 # DEPENDENCYPART_ARC
(17,15),0.838283 # DEPENDENCYPART_ARC
(17,16),3.31124 # DEPENDENCYPART_ARC
(17,18),3.6719 # DEPENDENCYPART_ARC
(17,19),0.948519 # DEPENDENCYPART_ARC
(17,20),0.560572 # DEPENDENCYPART_ARC
(17,21),0.570686 # DEPENDENCYPART_ARC
(18,1),-2.41471 # DEPENDENCYPART_ARC
(18,2),-2.76832 # DEPENDENCYPART_ARC
(18,3),-2.64136 # DEPENDENCYPART_ARC
(18,4),-2.29608 # DEPENDENCYPART_ARC
(18,5),-1.5531 # DEPENDENCYPART_ARC
(18,6),-1.13107 # DEPENDENCYPART_ARC
(18,7),-2.04462 # DEPENDENCYPART_ARC
(18,8),-1.53043 # DEPENDENCYPART_ARC
(18,9),-1.4714 # DEPENDENCYPART_ARC
(18,10),-1.42874 # DEPENDENCYPART_ARC
(18,11),-0.923149 # DEPENDENCYPART_ARC
(18,12),-1.69403 # DEPENDENCYPART_ARC
(18,13),-0.453971 # DEPENDENCYPART_ARC
(18,14),-0.979479 # DEPENDENCYPART_ARC
(18,15),-0.611269 # DEPENDENCYPART_ARC
(18,16),-0.0098857 # DEPENDENCYPART_ARC
(18,17),-0.0556596 # DEPENDENCYPART_ARC
(18,19),2.33907 # DEPENDENCYPART_ARC
(18,20),3.47698 # DEPENDENCYPART_ARC
(18,21),0.369811 # DEPENDENCYPART_ARC
(19,1),-5.09474 # DEPENDENCYPART_ARC
(19,2),-7.21824 # DEPENDENCYPART_ARC
(19,3),-6.07657 # DEPENDENCYPART_ARC
(19,4),-7.97977 # DEPENDENCYPART_ARC
(19,5),-8.51401 # DEPENDENCYPART_ARC
(19,6),-4.08022 # DEPENDENCYPART_ARC
(19,7),-4.76846 # DEPENDENCYPART_ARC
(19,8),-4.40682 # DEPENDENCYPART_ARC
(19,9),-3.4851 # DEPENDENCYPART_ARC
(19,10),-3.19987 # DEPENDENCYPART_ARC
(19,11),-4.70707 # DEPENDENCYPART_ARC
(19,12),-4.46979 # DEPENDENCYPART_ARC
(19,13),-3.4168 # DEPENDENCYPART_ARC
(19,14),-2.83959 # DEPENDENCYPART_ARC
(19,15),-2.36466 # DEPENDENCYPART_ARC
(19,16),-1.6875 # DEPENDENCYPART_ARC
(19,17),-1.55772 # DEPENDENCYPART_ARC
(19,18),-1.11327 # DEPENDENCYPART_ARC
(19,20),1.59126 # DEPENDENCYPART_ARC
(19,21),-0.720119 # DEPENDENCYPART_ARC
(20,1),-1.44623 # DEPENDENCYPART_ARC
(20,2),-3.57578 # DEPENDENCYPART_ARC
(20,3),-1.86833 # DEPENDENCYPART_ARC
(20,4),-4.87119 # DEPENDENCYPART_ARC
(20,5),-4.83264 # DEPENDENCYPART_ARC
(20,6),-1.30187 # DEPENDENCYPART_ARC
(20,7),-1.38813 # DEPENDENCYPART_ARC
(20,8),-0.951503 # DEPENDENCYPART_ARC
(20,9),-1.19887 # DEPENDENCYPART_ARC
(20,10),-0.157593 # DEPENDENCYPART_ARC
(20,11),-1.54564 # DEPENDENCYPART_ARC
(20,12),-1.49139 # DEPENDENCYPART_ARC
(20,13),-0.465564 # DEPENDENCYPART_ARC
(20,14),-0.603235 # DEPENDENCYPART_ARC
(20,15),-0.0416259 # DEPENDENCYPART_ARC
(20,16),1.39187 # DEPENDENCYPART_ARC
(20,17),0.974123 # DEPENDENCYPART_ARC
(20,18),0.759308 # DEPENDENCYPART_ARC
(20,19),4.13268 # DEPENDENCYPART_ARC
(20,21),-0.313511 # DEPENDENCYPART_ARC
(21,1),-3.13036 # DEPENDENCYPART_ARC
(21,2),-3.00627 # DEPENDENCYPART_ARC
(21,3),-0.804246 # DEPENDENCYPART_ARC
(21,4),-2.23256 # DEPENDENCYPART_ARC
(21,5),-2.63047 # DEPENDENCYPART_ARC
(21,6),-1.64332 # DEPENDENCYPART_ARC
(21,7),-1.93678 # DEPENDENCYPART_ARC
(21,8),-2.05262 # DEPENDENCYPART_ARC
(21,9),-2.27236 # DEPENDENCYPART_ARC
(21,10),-1.64313 # DEPENDENCYPART_ARC
(21,11),-1.6571 # DEPENDENCYPART_ARC
(21,12),-0.39128 # DEPENDENCYPART_ARC
(21,13),-0.901991 # DEPENDENCYPART_ARC
(21,14),-1.50564 # DEPENDENCYPART_ARC
(21,15),-1.2908 # DEPENDENCYPART_ARC
(21,16),-1.09074 # DEPENDENCYPART_ARC
(21,17),-1.70485 # DEPENDENCYPART_ARC
(21,18),-1.13732 # DEPENDENCYPART_ARC
(21,19),-1.71295 # DEPENDENCYPART_ARC
(21,20),-1.54789 # DEPENDENCYPART_ARC
