# _root_ Gitano , which makes budget-priced apparel sold mainly through mass merchandisers like K mart and Wal-Mart , said the Regatta acquisition will enhance its strategy to expand into department stores .
#goldHeads=18,1,4,1,6,4,6,7,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
#predictedHeads=18,1,4,1,6,4,6,9,7,11,9,11,14,12,14,15,1,0,21,21,22,18,22,25,23,25,26,27,30,28,18,
(2,8),-1.94588 # DEPENDENCYPART_ARC
(2,9),-1.66787 # DEPENDENCYPART_ARC
(2,10),-2.58403 # DEPENDENCYPART_ARC
(2,11),-2.57922 # DEPENDENCYPART_ARC
(2,12),-1.90037 # DEPENDENCYPART_ARC
(2,13),-2.6144 # DEPENDENCYPART_ARC
(2,14),-2.77801 # DEPENDENCYPART_ARC
(2,15),-2.42087 # DEPENDENCYPART_ARC
(2,16),-2.98459 # DEPENDENCYPART_ARC
(2,17),-1.28757 # DEPENDENCYPART_ARC
(2,18),-2.57846 # DEPENDENCYPART_ARC
(2,19),-3.25843 # DEPENDENCYPART_ARC
(2,20),-3.40209 # DEPENDENCYPART_ARC
(2,21),-3.73826 # DEPENDENCYPART_ARC
(2,22),-3.09499 # DEPENDENCYPART_ARC
(2,23),-3.04894 # DEPENDENCYPART_ARC
(2,24),-3.86479 # DEPENDENCYPART_ARC
(2,25),-4.08698 # DEPENDENCYPART_ARC
(2,26),-3.84573 # DEPENDENCYPART_ARC
(2,27),-3.47115 # DEPENDENCYPART_ARC
(2,28),-3.51538 # DEPENDENCYPART_ARC
(2,29),-4.5573 # DEPENDENCYPART_ARC
(2,30),-4.53678 # DEPENDENCYPART_ARC
(2,31),-3.57835 # DEPENDENCYPART_ARC
(3,1),-0.574301 # DEPENDENCYPART_ARC
(3,2),0.24574 # DEPENDENCYPART_ARC
(3,4),0.389315 # DEPENDENCYPART_ARC
(3,5),-0.612382 # DEPENDENCYPART_ARC
(3,6),-0.632346 # DEPENDENCYPART_ARC
(3,7),-1.3039 # DEPENDENCYPART_ARC
(3,8),-1.68886 # DEPENDENCYPART_ARC
(3,9),-1.55591 # DEPENDENCYPART_ARC
(3,10),-1.52435 # DEPENDENCYPART_ARC
(3,11),-2.15282 # DEPENDENCYPART_ARC
(3,12),-1.83186 # DEPENDENCYPART_ARC
(3,13),-2.32772 # DEPENDENCYPART_ARC
(3,14),-2.51892 # DEPENDENCYPART_ARC
(3,15),-2.06708 # DEPENDENCYPART_ARC
(3,16),-2.73059 # DEPENDENCYPART_ARC
(3,17),-1.97522 # DEPENDENCYPART_ARC
(3,18),-2.98094 # DEPENDENCYPART_ARC
(3,19),-3.14633 # DEPENDENCYPART_ARC
(3,20),-3.13508 # DEPENDENCYPART_ARC
(3,21),-2.71418 # DEPENDENCYPART_ARC
(3,22),-3.8214 # DEPENDENCYPART_ARC
(3,23),-3.52043 # DEPENDENCYPART_ARC
(3,24),-3.70214 # DEPENDENCYPART_ARC
(3,25),-3.05996 # DEPENDENCYPART_ARC
(3,26),-3.52302 # DEPENDENCYPART_ARC
(3,27),-3.9573 # DEPENDENCYPART_ARC
(3,28),-3.7404 # DEPENDENCYPART_ARC
(3,29),-3.58714 # DEPENDENCYPART_ARC
(3,30),-4.22972 # DEPENDENCYPART_ARC
(3,31),-3.22057 # DEPENDENCYPART_ARC
(4,1),0.382007 # DEPENDENCYPART_ARC
(4,2),1.32893 # DEPENDENCYPART_ARC
(4,3),4.10759 # DEPENDENCYPART_ARC
(4,5),1.97487 # DEPENDENCYPART_ARC
(4,6),2.96452 # DEPENDENCYPART_ARC
(4,7),1.52988 # DEPENDENCYPART_ARC
(4,8),0.761677 # DEPENDENCYPART_ARC
(4,9),1.94815 # DEPENDENCYPART_ARC
(4,10),0.373209 # DEPENDENCYPART_ARC
(4,11),1.10411 # DEPENDENCYPART_ARC
(4,12),0.551039 # DEPENDENCYPART_ARC
(4,13),-1.1183 # DEPENDENCYPART_ARC
(4,14),-0.627259 # DEPENDENCYPART_ARC
(4,15),1.02519 # DEPENDENCYPART_ARC
(4,16),-1.16668 # DEPENDENCYPART_ARC
(4,17),0.559508 # DEPENDENCYPART_ARC
(4,18),0.437897 # DEPENDENCYPART_ARC
(4,19),-1.54309 # DEPENDENCYPART_ARC
(4,20),-2.00485 # DEPENDENCYPART_ARC
(4,21),-0.787131 # DEPENDENCYPART_ARC
(4,22),0.130592 # DEPENDENCYPART_ARC
(4,23),0.0986861 # DEPENDENCYPART_ARC
(4,24),-1.88782 # DEPENDENCYPART_ARC
(4,25),-1.93787 # DEPENDENCYPART_ARC
(4,26),-1.88908 # DEPENDENCYPART_ARC
(4,27),-0.365105 # DEPENDENCYPART_ARC
(4,28),-1.26254 # DEPENDENCYPART_ARC
(4,29),-3.60974 # DEPENDENCYPART_ARC
(4,30),-2.21497 # DEPENDENCYPART_ARC
(4,31),2.64411 # DEPENDENCYPART_ARC
(5,1),-0.528194 # DEPENDENCYPART_ARC
(5,2),-0.14692 # DEPENDENCYPART_ARC
(5,3),0.904002 # DEPENDENCYPART_ARC
(5,4),0.0140051 # DEPENDENCYPART_ARC
(5,6),1.06061 # DEPENDENCYPART_ARC
(5,7),-0.02807 # DEPENDENCYPART_ARC
(5,8),-0.812726 # DEPENDENCYPART_ARC
(5,9),-1.12738 # DEPENDENCYPART_ARC
(5,10),-1.11631 # DEPENDENCYPART_ARC
(5,11),-0.745286 # DEPENDENCYPART_ARC
(5,12),-1.6513 # DEPENDENCYPART_ARC
(5,13),-1.79888 # DEPENDENCYPART_ARC
(5,14),-1.85618 # DEPENDENCYPART_ARC
(5,15),-0.974301 # DEPENDENCYPART_ARC
(5,16),-2.01722 # DEPENDENCYPART_ARC
(5,17),-0.767093 # DEPENDENCYPART_ARC
(5,18),-1.58512 # DEPENDENCYPART_ARC
(5,19),-2.8577 # DEPENDENCYPART_ARC
(5,20),-2.28623 # DEPENDENCYPART_ARC
(5,21),-2.26207 # DEPENDENCYPART_ARC
(5,22),-1.94874 # DEPENDENCYPART_ARC
(5,23),-2.75487 # DEPENDENCYPART_ARC
(5,24),-3.13781 # DEPENDENCYPART_ARC
(5,25),-2.46886 # DEPENDENCYPART_ARC
(5,26),-2.66429 # DEPENDENCYPART_ARC
(5,27),-3.10986 # DEPENDENCYPART_ARC
(5,28),-2.37116 # DEPENDENCYPART_ARC
(5,29),-3.0862 # DEPENDENCYPART_ARC
(5,30),-2.76597 # DEPENDENCYPART_ARC
(5,31),-1.00061 # DEPENDENCYPART_ARC
(6,1),-0.063382 # DEPENDENCYPART_ARC
(6,2),0.592327 # DEPENDENCYPART_ARC
(6,3),0.949124 # DEPENDENCYPART_ARC
(6,4),0.80117 # DEPENDENCYPART_ARC
(6,5),3.93214 # DEPENDENCYPART_ARC
(6,7),2.00814 # DEPENDENCYPART_ARC
(6,8),0.72665 # DEPENDENCYPART_ARC
(6,9),0.804371 # DEPENDENCYPART_ARC
(6,10),0.33661 # DEPENDENCYPART_ARC
(6,11),0.399066 # DEPENDENCYPART_ARC
(6,12),1.26826 # DEPENDENCYPART_ARC
(6,13),-0.505936 # DEPENDENCYPART_ARC
(6,14),-0.399979 # DEPENDENCYPART_ARC
(6,15),0.998692 # DEPENDENCYPART_ARC
(6,16),-0.536222 # DEPENDENCYPART_ARC
(6,17),1.80017 # DEPENDENCYPART_ARC
(6,18),1.00206 # DEPENDENCYPART_ARC
(6,19),-1.0867 # DEPENDENCYPART_ARC
(6,20),-1.56364 # DEPENDENCYPART_ARC
(6,21),-1.29661 # DEPENDENCYPART_ARC
(6,22),-0.580504 # DEPENDENCYPART_ARC
(6,23),-0.640138 # DEPENDENCYPART_ARC
(6,24),-2.11745 # DEPENDENCYPART_ARC
(6,25),-2.08316 # DEPENDENCYPART_ARC
(6,26),-1.67874 # DEPENDENCYPART_ARC
(6,27),-0.934584 # DEPENDENCYPART_ARC
(6,28),-2.27587 # DEPENDENCYPART_ARC
(6,29),-2.96829 # DEPENDENCYPART_ARC
(6,30),-2.24974 # DEPENDENCYPART_ARC
(6,31),1.25738 # DEPENDENCYPART_ARC
(7,1),0.770357 # DEPENDENCYPART_ARC
(7,2),0.739272 # DEPENDENCYPART_ARC
(7,3),1.7298 # DEPENDENCYPART_ARC
(7,4),0.924236 # DEPENDENCYPART_ARC
(7,5),0.92261 # DEPENDENCYPART_ARC
(7,6),1.50242 # DEPENDENCYPART_ARC
(7,8),2.22359 # DEPENDENCYPART_ARC
(7,9),2.1663 # DEPENDENCYPART_ARC
(7,10),0.833206 # DEPENDENCYPART_ARC
(7,11),0.7272 # DEPENDENCYPART_ARC
(7,12),0.989739 # DEPENDENCYPART_ARC
(7,13),-0.348665 # DEPENDENCYPART_ARC
(7,14),-0.190971 # DEPENDENCYPART_ARC
(7,15),0.933505 # DEPENDENCYPART_ARC
(7,16),-0.277256 # DEPENDENCYPART_ARC
(7,17),0.638479 # DEPENDENCYPART_ARC
(7,18),-0.0665229 # DEPENDENCYPART_ARC
(7,19),-1.38209 # DEPENDENCYPART_ARC
(7,20),-1.37161 # DEPENDENCYPART_ARC
(7,21),-1.59304 # DEPENDENCYPART_ARC
(7,22),-0.133196 # DEPENDENCYPART_ARC
(7,23),-0.908551 # DEPENDENCYPART_ARC
(7,24),-1.79236 # DEPENDENCYPART_ARC
(7,25),-1.23274 # DEPENDENCYPART_ARC
(7,26),0.412593 # DEPENDENCYPART_ARC
(7,27),-1.35368 # DEPENDENCYPART_ARC
(7,28),-1.48996 # DEPENDENCYPART_ARC
(7,29),-3.1279 # DEPENDENCYPART_ARC
(7,30),-3.47336 # DEPENDENCYPART_ARC
(7,31),1.51513 # DEPENDENCYPART_ARC
(8,1),-1.20528 # DEPENDENCYPART_ARC
(8,2),-0.746908 # DEPENDENCYPART_ARC
(8,3),-0.526204 # DEPENDENCYPART_ARC
(8,4),-0.994331 # DEPENDENCYPART_ARC
(8,5),0.179733 # DEPENDENCYPART_ARC
(8,6),-0.425059 # DEPENDENCYPART_ARC
(8,7),0.699643 # DEPENDENCYPART_ARC
(8,9),0.937879 # DEPENDENCYPART_ARC
(8,10),0.608113 # DEPENDENCYPART_ARC
(8,11),-0.143488 # DEPENDENCYPART_ARC
(8,12),-0.534561 # DEPENDENCYPART_ARC
(8,13),-0.571536 # DEPENDENCYPART_ARC
(8,14),-0.841752 # DEPENDENCYPART_ARC
(8,15),0.03367 # DEPENDENCYPART_ARC
(8,16),-1.16157 # DEPENDENCYPART_ARC
(8,17),0.0347576 # DEPENDENCYPART_ARC
(8,18),-1.00381 # DEPENDENCYPART_ARC
(8,19),-1.32828 # DEPENDENCYPART_ARC
(8,20),-1.71826 # DEPENDENCYPART_ARC
(8,21),-1.91606 # DEPENDENCYPART_ARC
(8,22),-1.44122 # DEPENDENCYPART_ARC
(8,23),-1.33635 # DEPENDENCYPART_ARC
(8,24),-2.07785 # DEPENDENCYPART_ARC
(8,25),-2.47732 # DEPENDENCYPART_ARC
(8,26),-3.59298 # DEPENDENCYPART_ARC
(8,27),-1.73461 # DEPENDENCYPART_ARC
(8,28),-2.01517 # DEPENDENCYPART_ARC
(8,29),-2.96143 # DEPENDENCYPART_ARC
(8,30),-2.99779 # DEPENDENCYPART_ARC
(8,31),-0.490337 # DEPENDENCYPART_ARC
(9,1),-0.476127 # DEPENDENCYPART_ARC
(9,2),0.0431594 # DEPENDENCYPART_ARC
(9,3),1.17907 # DEPENDENCYPART_ARC
(9,4),-0.000780754 # DEPENDENCYPART_ARC
(9,5),0.348925 # DEPENDENCYPART_ARC
(9,6),0.328768 # DEPENDENCYPART_ARC
(9,7),0.663509 # DEPENDENCYPART_ARC
(9,8),3.22776 # DEPENDENCYPART_ARC
(9,10),2.41413 # DEPENDENCYPART_ARC
(9,11),2.97794 # DEPENDENCYPART_ARC
(9,12),0.632615 # DEPENDENCYPART_ARC
(9,13),0.305622 # DEPENDENCYPART_ARC
(9,14),1.04096 # DEPENDENCYPART_ARC
(9,15),1.01478 # DEPENDENCYPART_ARC
(9,16),-0.556533 # DEPENDENCYPART_ARC
(9,17),0.654513 # DEPENDENCYPART_ARC
(9,18),0.622073 # DEPENDENCYPART_ARC
(9,19),-2.36042 # DEPENDENCYPART_ARC
(9,20),-3.26913 # DEPENDENCYPART_ARC
(9,21),-2.82778 # DEPENDENCYPART_ARC
(9,22),-0.963486 # DEPENDENCYPART_ARC
(9,23),-0.865732 # DEPENDENCYPART_ARC
(9,24),-1.72773 # DEPENDENCYPART_ARC
(9,25),-4.54015 # DEPENDENCYPART_ARC
(9,26),-3.7325 # DEPENDENCYPART_ARC
(9,27),-1.38933 # DEPENDENCYPART_ARC
(9,28),-1.25791 # DEPENDENCYPART_ARC
(9,29),-7.26019 # DEPENDENCYPART_ARC
(9,30),-7.25167 # DEPENDENCYPART_ARC
(9,31),1.3262 # DEPENDENCYPART_ARC
(10,1),-4.54455 # DEPENDENCYPART_ARC
(10,2),-3.02246 # DEPENDENCYPART_ARC
(10,3),-2.67736 # DEPENDENCYPART_ARC
(10,4),-2.94192 # DEPENDENCYPART_ARC
(10,5),-1.36105 # DEPENDENCYPART_ARC
(10,6),-2.31569 # DEPENDENCYPART_ARC
(10,7),-1.68422 # DEPENDENCYPART_ARC
(10,8),-0.627397 # DEPENDENCYPART_ARC
(10,9),0.181436 # DEPENDENCYPART_ARC
(10,11),1.8444 # DEPENDENCYPART_ARC
(10,12),0.202554 # DEPENDENCYPART_ARC
(10,13),-0.799097 # DEPENDENCYPART_ARC
(10,14),-1.15768 # DEPENDENCYPART_ARC
(10,15),-0.12839 # DEPENDENCYPART_ARC
(10,16),-1.50364 # DEPENDENCYPART_ARC
(10,17),0.136775 # DEPENDENCYPART_ARC
(10,18),-0.0359885 # DEPENDENCYPART_ARC
(10,19),-1.82745 # DEPENDENCYPART_ARC
(10,20),-2.0614 # DEPENDENCYPART_ARC
(10,21),-1.81022 # DEPENDENCYPART_ARC
(10,22),-1.33371 # DEPENDENCYPART_ARC
(10,23),-1.47751 # DEPENDENCYPART_ARC
(10,24),-2.80298 # DEPENDENCYPART_ARC
(10,25),-2.70126 # DEPENDENCYPART_ARC
(10,26),-2.28931 # DEPENDENCYPART_ARC
(10,27),-1.67968 # DEPENDENCYPART_ARC
(10,28),-2.78756 # DEPENDENCYPART_ARC
(10,29),-3.36425 # DEPENDENCYPART_ARC
(10,30),-2.01485 # DEPENDENCYPART_ARC
(10,31),-0.176983 # DEPENDENCYPART_ARC
(11,1),-2.09445 # DEPENDENCYPART_ARC
(11,2),-0.709728 # DEPENDENCYPART_ARC
(11,3),-0.97857 # DEPENDENCYPART_ARC
(11,4),-0.859038 # DEPENDENCYPART_ARC
(11,5),0.997698 # DEPENDENCYPART_ARC
(11,6),0.461305 # DEPENDENCYPART_ARC
(11,7),0.329423 # DEPENDENCYPART_ARC
(11,8),0.417399 # DEPENDENCYPART_ARC
(11,9),0.972179 # DEPENDENCYPART_ARC
(11,10),4.82589 # DEPENDENCYPART_ARC
(11,12),2.87551 # DEPENDENCYPART_ARC
(11,13),0.381586 # DEPENDENCYPART_ARC
(11,14),0.915359 # DEPENDENCYPART_ARC
(11,15),1.5856 # DEPENDENCYPART_ARC
(11,16),0.307634 # DEPENDENCYPART_ARC
(11,17),1.71954 # DEPENDENCYPART_ARC
(11,18),1.02219 # DEPENDENCYPART_ARC
(11,19),-0.664972 # DEPENDENCYPART_ARC
(11,20),-0.466676 # DEPENDENCYPART_ARC
(11,21),-0.320206 # DEPENDENCYPART_ARC
(11,22),-0.556497 # DEPENDENCYPART_ARC
(11,23),-0.59252 # DEPENDENCYPART_ARC
(11,24),-1.2745 # DEPENDENCYPART_ARC
(11,25),-0.87974 # DEPENDENCYPART_ARC
(11,26),-0.543478 # DEPENDENCYPART_ARC
(11,27),-0.796419 # DEPENDENCYPART_ARC
(11,28),-0.804654 # DEPENDENCYPART_ARC
(11,29),-1.196 # DEPENDENCYPART_ARC
(11,30),-1.73018 # DEPENDENCYPART_ARC
(11,31),0.302831 # DEPENDENCYPART_ARC
(12,1),-1.45706 # DEPENDENCYPART_ARC
(12,2),-1.21643 # DEPENDENCYPART_ARC
(12,3),0.628697 # DEPENDENCYPART_ARC
(12,4),-0.674751 # DEPENDENCYPART_ARC
(12,5),-0.260041 # DEPENDENCYPART_ARC
(12,6),-0.625109 # DEPENDENCYPART_ARC
(12,7),-0.151091 # DEPENDENCYPART_ARC
(12,8),0.650546 # DEPENDENCYPART_ARC
(12,9),0.466509 # DEPENDENCYPART_ARC
(12,10),0.255999 # DEPENDENCYPART_ARC
(12,11),0.69737 # DEPENDENCYPART_ARC
(12,13),2.72099 # DEPENDENCYPART_ARC
(12,14),3.07497 # DEPENDENCYPART_ARC
(12,15),1.2564 # DEPENDENCYPART_ARC
(12,16),1.20539 # DEPENDENCYPART_ARC
(12,17),0.758522 # DEPENDENCYPART_ARC
(12,18),1.36833 # DEPENDENCYPART_ARC
(12,19),-1.34545 # DEPENDENCYPART_ARC
(12,20),-1.7196 # DEPENDENCYPART_ARC
(12,21),-0.415455 # DEPENDENCYPART_ARC
(12,22),-0.879657 # DEPENDENCYPART_ARC
(12,23),-0.634977 # DEPENDENCYPART_ARC
(12,24),-1.43158 # DEPENDENCYPART_ARC
(12,25),-2.41827 # DEPENDENCYPART_ARC
(12,26),-2.97237 # DEPENDENCYPART_ARC
(12,27),-1.21465 # DEPENDENCYPART_ARC
(12,28),-1.18567 # DEPENDENCYPART_ARC
(12,29),-4.98474 # DEPENDENCYPART_ARC
(12,30),-5.25579 # DEPENDENCYPART_ARC
(12,31),1.31222 # DEPENDENCYPART_ARC
(13,1),-5.34736 # DEPENDENCYPART_ARC
(13,2),-3.4144 # DEPENDENCYPART_ARC
(13,3),-3.28321 # DEPENDENCYPART_ARC
(13,4),-3.5062 # DEPENDENCYPART_ARC
(13,5),-2.44392 # DEPENDENCYPART_ARC
(13,6),-3.34107 # DEPENDENCYPART_ARC
(13,7),-2.88102 # DEPENDENCYPART_ARC
(13,8),-2.15236 # DEPENDENCYPART_ARC
(13,9),-1.84268 # DEPENDENCYPART_ARC
(13,10),-0.451141 # DEPENDENCYPART_ARC
(13,11),-1.19043 # DEPENDENCYPART_ARC
(13,12),-0.37789 # DEPENDENCYPART_ARC
(13,14),2.5522 # DEPENDENCYPART_ARC
(13,15),2.59528 # DEPENDENCYPART_ARC
(13,16),0.00706288 # DEPENDENCYPART_ARC
(13,17),0.956963 # DEPENDENCYPART_ARC
(13,18),-0.655289 # DEPENDENCYPART_ARC
(13,19),-0.580149 # DEPENDENCYPART_ARC
(13,20),-2.08213 # DEPENDENCYPART_ARC
(13,21),-1.37087 # DEPENDENCYPART_ARC
(13,22),-1.48133 # DEPENDENCYPART_ARC
(13,23),-1.87006 # DEPENDENCYPART_ARC
(13,24),-2.04017 # DEPENDENCYPART_ARC
(13,25),-3.23262 # DEPENDENCYPART_ARC
(13,26),-1.83705 # DEPENDENCYPART_ARC
(13,27),-2.27161 # DEPENDENCYPART_ARC
(13,28),-2.73218 # DEPENDENCYPART_ARC
(13,29),-4.18999 # DEPENDENCYPART_ARC
(13,30),-2.28709 # DEPENDENCYPART_ARC
(13,31),-1.04804 # DEPENDENCYPART_ARC
(14,1),-3.79344 # DEPENDENCYPART_ARC
(14,2),-1.62523 # DEPENDENCYPART_ARC
(14,3),-2.01629 # DEPENDENCYPART_ARC
(14,4),-1.77676 # DEPENDENCYPART_ARC
(14,5),-0.0843965 # DEPENDENCYPART_ARC
(14,6),-1.30497 # DEPENDENCYPART_ARC
(14,7),-0.969363 # DEPENDENCYPART_ARC
(14,8),-1.10708 # DEPENDENCYPART_ARC
(14,9),-0.414303 # DEPENDENCYPART_ARC
(14,10),2.12281 # DEPENDENCYPART_ARC
(14,11),0.657616 # DEPENDENCYPART_ARC
(14,12),0.531911 # DEPENDENCYPART_ARC
(14,13),5.2781 # DEPENDENCYPART_ARC
(14,15),4.0827 # DEPENDENCYPART_ARC
(14,16),0.985107 # DEPENDENCYPART_ARC
(14,17),2.63575 # DEPENDENCYPART_ARC
(14,18),0.72442 # DEPENDENCYPART_ARC
(14,19),0.38591 # DEPENDENCYPART_ARC
(14,20),-0.926503 # DEPENDENCYPART_ARC
(14,21),0.170669 # DEPENDENCYPART_ARC
(14,22),-0.0254995 # DEPENDENCYPART_ARC
(14,23),-0.647564 # DEPENDENCYPART_ARC
(14,24),-0.750372 # DEPENDENCYPART_ARC
(14,25),-1.51547 # DEPENDENCYPART_ARC
(14,26),-0.57146 # DEPENDENCYPART_ARC
(14,27),-1.00036 # DEPENDENCYPART_ARC
(14,28),-1.2256 # DEPENDENCYPART_ARC
(14,29),-2.86294 # DEPENDENCYPART_ARC
(14,30),-0.722721 # DEPENDENCYPART_ARC
(14,31),0.225744 # DEPENDENCYPART_ARC
(15,1),-1.20342 # DEPENDENCYPART_ARC
(15,2),-2.11374 # DEPENDENCYPART_ARC
(15,3),-1.4116 # DEPENDENCYPART_ARC
(15,4),-1.44765 # DEPENDENCYPART_ARC
(15,5),-1.62903 # DEPENDENCYPART_ARC
(15,6),-1.48337 # DEPENDENCYPART_ARC
(15,7),-1.48739 # DEPENDENCYPART_ARC
(15,8),-1.71873 # DEPENDENCYPART_ARC
(15,9),-0.810738 # DEPENDENCYPART_ARC
(15,10),-0.857812 # DEPENDENCYPART_ARC
(15,11),-0.653324 # DEPENDENCYPART_ARC
(15,12),-0.464545 # DEPENDENCYPART_ARC
(15,13),0.221073 # DEPENDENCYPART_ARC
(15,14),0.685758 # DEPENDENCYPART_ARC
(15,16),3.36164 # DEPENDENCYPART_ARC
(15,17),0.80621 # DEPENDENCYPART_ARC
(15,18),1.27913 # DEPENDENCYPART_ARC
(15,19),-1.11571 # DEPENDENCYPART_ARC
(15,20),-0.797776 # DEPENDENCYPART_ARC
(15,21),0.342921 # DEPENDENCYPART_ARC
(15,22),-0.238557 # DEPENDENCYPART_ARC
(15,23),-1.2004 # DEPENDENCYPART_ARC
(15,24),-1.88523 # DEPENDENCYPART_ARC
(15,25),-1.71777 # DEPENDENCYPART_ARC
(15,26),-0.714623 # DEPENDENCYPART_ARC
(15,27),-2.06298 # DEPENDENCYPART_ARC
(15,28),-1.74514 # DEPENDENCYPART_ARC
(15,29),-4.10841 # DEPENDENCYPART_ARC
(15,30),-3.23539 # DEPENDENCYPART_ARC
(15,31),-0.000798262 # DEPENDENCYPART_ARC
(16,1),-6.01613 # DEPENDENCYPART_ARC
(16,2),-3.46915 # DEPENDENCYPART_ARC
(16,3),-3.76009 # DEPENDENCYPART_ARC
(16,4),-3.94507 # DEPENDENCYPART_ARC
(16,5),-2.57258 # DEPENDENCYPART_ARC
(16,6),-3.21585 # DEPENDENCYPART_ARC
(16,7),-2.48088 # DEPENDENCYPART_ARC
(16,8),-2.62089 # DEPENDENCYPART_ARC
(16,9),-2.52681 # DEPENDENCYPART_ARC
(16,10),-1.31551 # DEPENDENCYPART_ARC
(16,11),-1.8039 # DEPENDENCYPART_ARC
(16,12),-1.80365 # DEPENDENCYPART_ARC
(16,13),0.559189 # DEPENDENCYPART_ARC
(16,14),-0.426556 # DEPENDENCYPART_ARC
(16,15),-0.233576 # DEPENDENCYPART_ARC
(16,17),1.064 # DEPENDENCYPART_ARC
(16,18),-0.509558 # DEPENDENCYPART_ARC
(16,19),-0.918119 # DEPENDENCYPART_ARC
(16,20),-1.02639 # DEPENDENCYPART_ARC
(16,21),-1.11416 # DEPENDENCYPART_ARC
(16,22),-1.14319 # DEPENDENCYPART_ARC
(16,23),-1.95959 # DEPENDENCYPART_ARC
(16,24),-2.0918 # DEPENDENCYPART_ARC
(16,25),-2.42862 # DEPENDENCYPART_ARC
(16,26),-1.86771 # DEPENDENCYPART_ARC
(16,27),-2.33968 # DEPENDENCYPART_ARC
