# _root_ It 's that last set of numbers , as much as anything else , that gives the Giants hope in the Series games to come .
#goldHeads=5,5,5,5,0,5,6,9,5,9,9,11,12,9,16,5,18,16,16,19,23,23,20,23,24,5,
#predictedHeads=2,3,5,5,0,5,6,5,10,7,10,11,12,16,16,10,19,19,16,16,23,23,20,23,24,16,
(1,26),-1.48113 # DEPENDENCYPART_ARC
(2,1),0.943702 # DEPENDENCYPART_ARC
(2,3),0.158463 # DEPENDENCYPART_ARC
(2,4),-0.179545 # DEPENDENCYPART_ARC
(2,5),-0.818205 # DEPENDENCYPART_ARC
(2,6),-0.879627 # DEPENDENCYPART_ARC
(2,7),-1.59055 # DEPENDENCYPART_ARC
(2,8),-0.458979 # DEPENDENCYPART_ARC
(2,9),-1.19319 # DEPENDENCYPART_ARC
(2,10),-1.7926 # DEPENDENCYPART_ARC
(2,11),-1.32395 # DEPENDENCYPART_ARC
(2,12),-1.93496 # DEPENDENCYPART_ARC
(2,13),-1.43878 # DEPENDENCYPART_ARC
(2,14),-1.31074 # DEPENDENCYPART_ARC
(2,15),-1.84512 # DEPENDENCYPART_ARC
(2,16),-1.93957 # DEPENDENCYPART_ARC
(2,17),-2.03617 # DEPENDENCYPART_ARC
(2,18),-2.99123 # DEPENDENCYPART_ARC
(2,19),-2.52979 # DEPENDENCYPART_ARC
(2,20),-2.03273 # DEPENDENCYPART_ARC
(2,21),-2.30513 # DEPENDENCYPART_ARC
(2,22),-3.46075 # DEPENDENCYPART_ARC
(2,23),-4.00981 # DEPENDENCYPART_ARC
(2,24),-3.32816 # DEPENDENCYPART_ARC
(2,25),-2.63813 # DEPENDENCYPART_ARC
(2,26),-2.38454 # DEPENDENCYPART_ARC
(3,1),0.820173 # DEPENDENCYPART_ARC
(3,2),0.785457 # DEPENDENCYPART_ARC
(3,4),0.709358 # DEPENDENCYPART_ARC
(3,5),-0.697197 # DEPENDENCYPART_ARC
(3,6),0.669203 # DEPENDENCYPART_ARC
(3,7),-1.21711 # DEPENDENCYPART_ARC
(3,8),0.34197 # DEPENDENCYPART_ARC
(3,9),-0.316899 # DEPENDENCYPART_ARC
(3,10),-0.266392 # DEPENDENCYPART_ARC
(3,11),-0.181449 # DEPENDENCYPART_ARC
(3,12),-1.42273 # DEPENDENCYPART_ARC
(3,13),-0.954762 # DEPENDENCYPART_ARC
(3,14),0.164673 # DEPENDENCYPART_ARC
(3,15),-1.25533 # DEPENDENCYPART_ARC
(3,16),1.15055 # DEPENDENCYPART_ARC
(3,17),-2.66227 # DEPENDENCYPART_ARC
(3,18),-2.86616 # DEPENDENCYPART_ARC
(3,19),-1.97145 # DEPENDENCYPART_ARC
(3,20),-1.29787 # DEPENDENCYPART_ARC
(3,21),-3.07512 # DEPENDENCYPART_ARC
(3,22),-3.62024 # DEPENDENCYPART_ARC
(3,23),-3.17932 # DEPENDENCYPART_ARC
(3,24),-3.25471 # DEPENDENCYPART_ARC
(3,25),-1.15149 # DEPENDENCYPART_ARC
(3,26),0.564419 # DEPENDENCYPART_ARC
(4,1),-1.42838 # DEPENDENCYPART_ARC
(4,2),-0.653193 # DEPENDENCYPART_ARC
(4,3),0.623353 # DEPENDENCYPART_ARC
(4,5),1.02026 # DEPENDENCYPART_ARC
(4,6),0.544666 # DEPENDENCYPART_ARC
(4,7),-0.121203 # DEPENDENCYPART_ARC
(4,8),-0.394992 # DEPENDENCYPART_ARC
(4,9),-0.709392 # DEPENDENCYPART_ARC
(4,10),-1.01864 # DEPENDENCYPART_ARC
(4,11),-0.65036 # DEPENDENCYPART_ARC
(4,12),-1.47257 # DEPENDENCYPART_ARC
(4,13),-1.31602 # DEPENDENCYPART_ARC
(4,14),-0.617007 # DEPENDENCYPART_ARC
(4,15),-1.40611 # DEPENDENCYPART_ARC
(4,16),-0.955966 # DEPENDENCYPART_ARC
(4,17),-2.57511 # DEPENDENCYPART_ARC
(4,18),-2.33471 # DEPENDENCYPART_ARC
(4,19),-2.17521 # DEPENDENCYPART_ARC
(4,20),-2.76987 # DEPENDENCYPART_ARC
(4,21),-3.15709 # DEPENDENCYPART_ARC
(4,22),-2.76672 # DEPENDENCYPART_ARC
(4,23),-1.85646 # DEPENDENCYPART_ARC
(4,24),-1.49759 # DEPENDENCYPART_ARC
(4,25),-2.7447 # DEPENDENCYPART_ARC
(4,26),0.419316 # DEPENDENCYPART_ARC
(5,1),-0.441833 # DEPENDENCYPART_ARC
(5,2),-0.0167508 # DEPENDENCYPART_ARC
(5,3),1.72532 # DEPENDENCYPART_ARC
(5,4),4.22782 # DEPENDENCYPART_ARC
(5,6),3.64981 # DEPENDENCYPART_ARC
(5,7),1.95915 # DEPENDENCYPART_ARC
(5,8),1.58681 # DEPENDENCYPART_ARC
(5,9),1.44335 # DEPENDENCYPART_ARC
(5,10),0.274484 # DEPENDENCYPART_ARC
(5,11),0.748824 # DEPENDENCYPART_ARC
(5,12),0.342137 # DEPENDENCYPART_ARC
(5,13),1.62354 # DEPENDENCYPART_ARC
(5,14),0.604839 # DEPENDENCYPART_ARC
(5,15),-0.534032 # DEPENDENCYPART_ARC
(5,16),0.854262 # DEPENDENCYPART_ARC
(5,17),-0.858763 # DEPENDENCYPART_ARC
(5,18),-1.25924 # DEPENDENCYPART_ARC
(5,19),-0.30719 # DEPENDENCYPART_ARC
(5,20),-1.28867 # DEPENDENCYPART_ARC
(5,21),-1.16829 # DEPENDENCYPART_ARC
(5,22),-1.48022 # DEPENDENCYPART_ARC
(5,23),-0.910644 # DEPENDENCYPART_ARC
(5,24),-2.68041 # DEPENDENCYPART_ARC
(5,25),-1.46421 # DEPENDENCYPART_ARC
(5,26),0.523327 # DEPENDENCYPART_ARC
(6,1),-1.11366 # DEPENDENCYPART_ARC
(6,2),-0.72377 # DEPENDENCYPART_ARC
(6,3),-0.645001 # DEPENDENCYPART_ARC
(6,4),-0.93555 # DEPENDENCYPART_ARC
(6,5),-0.310712 # DEPENDENCYPART_ARC
(6,7),4.42975 # DEPENDENCYPART_ARC
(6,8),0.942965 # DEPENDENCYPART_ARC
(6,9),0.172101 # DEPENDENCYPART_ARC
(6,10),-0.183592 # DEPENDENCYPART_ARC
(6,11),-0.746514 # DEPENDENCYPART_ARC
(6,12),-1.16915 # DEPENDENCYPART_ARC
(6,13),-0.375882 # DEPENDENCYPART_ARC
(6,14),-0.475966 # DEPENDENCYPART_ARC
(6,15),-1.97764 # DEPENDENCYPART_ARC
(6,16),-2.05367 # DEPENDENCYPART_ARC
(6,17),-3.33433 # DEPENDENCYPART_ARC
(6,18),-5.61289 # DEPENDENCYPART_ARC
(6,19),-3.92192 # DEPENDENCYPART_ARC
(6,20),-2.12205 # DEPENDENCYPART_ARC
(6,21),-3.94078 # DEPENDENCYPART_ARC
(6,22),-6.29914 # DEPENDENCYPART_ARC
(6,23),-7.79019 # DEPENDENCYPART_ARC
(6,24),-5.34975 # DEPENDENCYPART_ARC
(6,25),-2.29236 # DEPENDENCYPART_ARC
(6,26),-2.03092 # DEPENDENCYPART_ARC
(7,1),-1.3944 # DEPENDENCYPART_ARC
(7,2),-0.527638 # DEPENDENCYPART_ARC
(7,3),-0.53249 # DEPENDENCYPART_ARC
(7,4),0.425994 # DEPENDENCYPART_ARC
(7,5),0.345626 # DEPENDENCYPART_ARC
(7,6),1.27247 # DEPENDENCYPART_ARC
(7,8),1.24506 # DEPENDENCYPART_ARC
(7,9),1.35584 # DEPENDENCYPART_ARC
(7,10),0.964677 # DEPENDENCYPART_ARC
(7,11),1.81589 # DEPENDENCYPART_ARC
(7,12),0.131405 # DEPENDENCYPART_ARC
(7,13),0.0857099 # DEPENDENCYPART_ARC
(7,14),1.43122 # DEPENDENCYPART_ARC
(7,15),-1.60898 # DEPENDENCYPART_ARC
(7,16),-0.164386 # DEPENDENCYPART_ARC
(7,17),-0.625432 # DEPENDENCYPART_ARC
(7,18),-0.592733 # DEPENDENCYPART_ARC
(7,19),-0.798504 # DEPENDENCYPART_ARC
(7,20),-1.40959 # DEPENDENCYPART_ARC
(7,21),-1.29698 # DEPENDENCYPART_ARC
(7,22),-0.571862 # DEPENDENCYPART_ARC
(7,23),-0.71407 # DEPENDENCYPART_ARC
(7,24),-1.21442 # DEPENDENCYPART_ARC
(7,25),-1.30811 # DEPENDENCYPART_ARC
(7,26),1.95372 # DEPENDENCYPART_ARC
(8,1),-1.8208 # DEPENDENCYPART_ARC
(8,2),-1.5225 # DEPENDENCYPART_ARC
(8,3),-1.07367 # DEPENDENCYPART_ARC
(8,4),-1.29143 # DEPENDENCYPART_ARC
(8,5),-0.952723 # DEPENDENCYPART_ARC
(8,6),-0.950625 # DEPENDENCYPART_ARC
(8,7),-0.944468 # DEPENDENCYPART_ARC
(8,9),-0.541534 # DEPENDENCYPART_ARC
(8,10),-0.899429 # DEPENDENCYPART_ARC
(8,11),-0.919176 # DEPENDENCYPART_ARC
(8,12),-1.72862 # DEPENDENCYPART_ARC
(8,13),-1.69293 # DEPENDENCYPART_ARC
(8,14),0.0369162 # DEPENDENCYPART_ARC
(8,15),-2.51547 # DEPENDENCYPART_ARC
(8,16),-1.67504 # DEPENDENCYPART_ARC
(8,17),-2.23809 # DEPENDENCYPART_ARC
(8,18),-2.34322 # DEPENDENCYPART_ARC
(8,19),-2.79837 # DEPENDENCYPART_ARC
(8,20),-1.88343 # DEPENDENCYPART_ARC
(8,21),-2.70054 # DEPENDENCYPART_ARC
(8,22),-2.81748 # DEPENDENCYPART_ARC
(8,23),-3.1061 # DEPENDENCYPART_ARC
(8,24),-2.76482 # DEPENDENCYPART_ARC
(8,25),-2.6022 # DEPENDENCYPART_ARC
(8,26),-2.39632 # DEPENDENCYPART_ARC
(9,1),-2.15457 # DEPENDENCYPART_ARC
(9,2),-1.64621 # DEPENDENCYPART_ARC
(9,3),-0.921678 # DEPENDENCYPART_ARC
(9,4),-0.851324 # DEPENDENCYPART_ARC
(9,5),-1.59578 # DEPENDENCYPART_ARC
(9,6),-0.78942 # DEPENDENCYPART_ARC
(9,7),-1.17106 # DEPENDENCYPART_ARC
(9,8),0.407343 # DEPENDENCYPART_ARC
(9,10),0.879724 # DEPENDENCYPART_ARC
(9,11),1.64371 # DEPENDENCYPART_ARC
(9,12),0.840549 # DEPENDENCYPART_ARC
(9,13),-0.122121 # DEPENDENCYPART_ARC
(9,14),0.533316 # DEPENDENCYPART_ARC
(9,15),-0.589744 # DEPENDENCYPART_ARC
(9,16),0.208484 # DEPENDENCYPART_ARC
(9,17),-0.808834 # DEPENDENCYPART_ARC
(9,18),-0.858766 # DEPENDENCYPART_ARC
(9,19),-0.838754 # DEPENDENCYPART_ARC
(9,20),-1.22403 # DEPENDENCYPART_ARC
(9,21),-1.24165 # DEPENDENCYPART_ARC
(9,22),-0.744194 # DEPENDENCYPART_ARC
(9,23),-0.656345 # DEPENDENCYPART_ARC
(9,24),-2.73391 # DEPENDENCYPART_ARC
(9,25),-0.112309 # DEPENDENCYPART_ARC
(9,26),-0.272595 # DEPENDENCYPART_ARC
(10,1),-1.22092 # DEPENDENCYPART_ARC
(10,2),-0.577947 # DEPENDENCYPART_ARC
(10,3),0.659452 # DEPENDENCYPART_ARC
(10,4),0.548815 # DEPENDENCYPART_ARC
(10,5),-0.141444 # DEPENDENCYPART_ARC
(10,6),0.724168 # DEPENDENCYPART_ARC
(10,7),0.33753 # DEPENDENCYPART_ARC
(10,8),1.23025 # DEPENDENCYPART_ARC
(10,9),2.99944 # DEPENDENCYPART_ARC
(10,11),3.53867 # DEPENDENCYPART_ARC
(10,12),1.50075 # DEPENDENCYPART_ARC
(10,13),1.44931 # DEPENDENCYPART_ARC
(10,14),1.72272 # DEPENDENCYPART_ARC
(10,15),0.627929 # DEPENDENCYPART_ARC
(10,16),1.79189 # DEPENDENCYPART_ARC
(10,17),-0.204098 # DEPENDENCYPART_ARC
(10,18),0.0459595 # DEPENDENCYPART_ARC
(10,19),-0.11702 # DEPENDENCYPART_ARC
(10,20),-0.166154 # DEPENDENCYPART_ARC
(10,21),-0.917456 # DEPENDENCYPART_ARC
(10,22),-0.371913 # DEPENDENCYPART_ARC
(10,23),0.0380101 # DEPENDENCYPART_ARC
(10,24),0.859275 # DEPENDENCYPART_ARC
(10,25),-0.49938 # DEPENDENCYPART_ARC
(10,26),1.28113 # DEPENDENCYPART_ARC
(11,1),-1.22544 # DEPENDENCYPART_ARC
(11,2),-0.929125 # DEPENDENCYPART_ARC
(11,3),-1.10973 # DEPENDENCYPART_ARC
(11,4),-0.735723 # DEPENDENCYPART_ARC
(11,5),-1.71493 # DEPENDENCYPART_ARC
(11,6),-0.922534 # DEPENDENCYPART_ARC
(11,7),-0.672402 # DEPENDENCYPART_ARC
(11,8),0.136503 # DEPENDENCYPART_ARC
(11,9),0.378957 # DEPENDENCYPART_ARC
(11,10),0.400093 # DEPENDENCYPART_ARC
(11,12),2.60326 # DEPENDENCYPART_ARC
(11,13),0.755463 # DEPENDENCYPART_ARC
(11,14),0.663348 # DEPENDENCYPART_ARC
(11,15),-0.798517 # DEPENDENCYPART_ARC
(11,16),0.944991 # DEPENDENCYPART_ARC
(11,17),-1.9924 # DEPENDENCYPART_ARC
(11,18),-2.17401 # DEPENDENCYPART_ARC
(11,19),-2.14493 # DEPENDENCYPART_ARC
(11,20),-1.03478 # DEPENDENCYPART_ARC
(11,21),-2.57953 # DEPENDENCYPART_ARC
(11,22),-3.14554 # DEPENDENCYPART_ARC
(11,23),-5.04822 # DEPENDENCYPART_ARC
(11,24),-3.0392 # DEPENDENCYPART_ARC
(11,25),0.00354055 # DEPENDENCYPART_ARC
(11,26),-0.430806 # DEPENDENCYPART_ARC
(12,1),-2.18656 # DEPENDENCYPART_ARC
(12,2),-1.29042 # DEPENDENCYPART_ARC
(12,3),-2.54491 # DEPENDENCYPART_ARC
(12,4),-0.675026 # DEPENDENCYPART_ARC
(12,5),-2.75955 # DEPENDENCYPART_ARC
(12,6),-1.44375 # DEPENDENCYPART_ARC
(12,7),-1.09469 # DEPENDENCYPART_ARC
(12,8),-0.653598 # DEPENDENCYPART_ARC
(12,9),0.311683 # DEPENDENCYPART_ARC
(12,10),0.177594 # DEPENDENCYPART_ARC
(12,11),1.41547 # DEPENDENCYPART_ARC
(12,13),3.50582 # DEPENDENCYPART_ARC
(12,14),1.38201 # DEPENDENCYPART_ARC
(12,15),0.120752 # DEPENDENCYPART_ARC
(12,16),1.47599 # DEPENDENCYPART_ARC
(12,17),0.0286029 # DEPENDENCYPART_ARC
(12,18),-0.0118685 # DEPENDENCYPART_ARC
(12,19),0.627232 # DEPENDENCYPART_ARC
(12,20),0.23333 # DEPENDENCYPART_ARC
(12,21),-0.221071 # DEPENDENCYPART_ARC
(12,22),-0.30201 # DEPENDENCYPART_ARC
(12,23),-0.405324 # DEPENDENCYPART_ARC
(12,24),0.0322633 # DEPENDENCYPART_ARC
(12,25),-0.126052 # DEPENDENCYPART_ARC
(12,26),1.37591 # DEPENDENCYPART_ARC
(13,1),-1.8365 # DEPENDENCYPART_ARC
(13,2),-1.32849 # DEPENDENCYPART_ARC
(13,3),-0.347275 # DEPENDENCYPART_ARC
(13,4),-0.101431 # DEPENDENCYPART_ARC
(13,5),-1.49531 # DEPENDENCYPART_ARC
(13,6),-0.460566 # DEPENDENCYPART_ARC
(13,7),-0.748506 # DEPENDENCYPART_ARC
(13,8),-0.212772 # DEPENDENCYPART_ARC
(13,9),0.421971 # DEPENDENCYPART_ARC
(13,10),0.555067 # DEPENDENCYPART_ARC
(13,11),0.981504 # DEPENDENCYPART_ARC
(13,12),0.887381 # DEPENDENCYPART_ARC
(13,14),0.771888 # DEPENDENCYPART_ARC
(13,15),0.274612 # DEPENDENCYPART_ARC
(13,16),0.124457 # DEPENDENCYPART_ARC
(13,17),-0.76669 # DEPENDENCYPART_ARC
(13,18),-0.710434 # DEPENDENCYPART_ARC
(13,19),-1.24928 # DEPENDENCYPART_ARC
(13,20),-0.805627 # DEPENDENCYPART_ARC
(13,21),-1.33557 # DEPENDENCYPART_ARC
(13,22),-1.51257 # DEPENDENCYPART_ARC
(13,23),-1.80966 # DEPENDENCYPART_ARC
(13,24),-1.50194 # DEPENDENCYPART_ARC
(13,25),-1.27666 # DEPENDENCYPART_ARC
(13,26),-0.222348 # DEPENDENCYPART_ARC
(14,1),-2.66163 # DEPENDENCYPART_ARC
(14,2),-2.43054 # DEPENDENCYPART_ARC
(14,3),-2.08794 # DEPENDENCYPART_ARC
(14,4),-2.20909 # DEPENDENCYPART_ARC
(14,5),-1.87789 # DEPENDENCYPART_ARC
(14,6),-1.83888 # DEPENDENCYPART_ARC
(14,7),-1.98181 # DEPENDENCYPART_ARC
(14,8),-0.519965 # DEPENDENCYPART_ARC
(14,9),-2.20729 # DEPENDENCYPART_ARC
(14,10),-1.52962 # DEPENDENCYPART_ARC
(14,11),-1.11167 # DEPENDENCYPART_ARC
(14,12),-1.62981 # DEPENDENCYPART_ARC
(14,13),-0.843681 # DEPENDENCYPART_ARC
(14,15),-0.752841 # DEPENDENCYPART_ARC
(14,16),-0.575944 # DEPENDENCYPART_ARC
(14,17),-1.54569 # DEPENDENCYPART_ARC
(14,18),-1.3859 # DEPENDENCYPART_ARC
(14,19),-2.10269 # DEPENDENCYPART_ARC
(14,20),-1.59899 # DEPENDENCYPART_ARC
(14,21),-2.08771 # DEPENDENCYPART_ARC
(14,22),-2.24148 # DEPENDENCYPART_ARC
(14,23),-2.53043 # DEPENDENCYPART_ARC
(14,24),-2.13807 # DEPENDENCYPART_ARC
(14,25),-2.05242 # DEPENDENCYPART_ARC
(14,26),-1.81838 # DEPENDENCYPART_ARC
(15,1),-2.70462 # DEPENDENCYPART_ARC
(15,2),-2.50771 # DEPENDENCYPART_ARC
(15,3),-2.07664 # DEPENDENCYPART_ARC
(15,4),-1.97089 # DEPENDENCYPART_ARC
(15,5),-2.47171 # DEPENDENCYPART_ARC
(15,6),-1.52393 # DEPENDENCYPART_ARC
(15,7),-2.26976 # DEPENDENCYPART_ARC
(15,8),-1.08728 # DEPENDENCYPART_ARC
(15,9),-1.686 # DEPENDENCYPART_ARC
(15,10),-1.16771 # DEPENDENCYPART_ARC
(15,11),-1.01249 # DEPENDENCYPART_ARC
(15,12),-1.1872 # DEPENDENCYPART_ARC
(15,13),-0.535872 # DEPENDENCYPART_ARC
(15,14),0.20888 # DEPENDENCYPART_ARC
(15,16),0.834641 # DEPENDENCYPART_ARC
(15,17),-1.37039 # DEPENDENCYPART_ARC
(15,18),-1.76783 # DEPENDENCYPART_ARC
(15,19),-1.60125 # DEPENDENCYPART_ARC
(15,20),-1.28979 # DEPENDENCYPART_ARC
(15,21),-2.30057 # DEPENDENCYPART_ARC
(15,22),-3.14935 # DEPENDENCYPART_ARC
(15,23),-3.01768 # DEPENDENCYPART_ARC
(15,24),-2.02212 # DEPENDENCYPART_ARC
(15,25),-1.02333 # DEPENDENCYPART_ARC
(15,26),-0.962701 # DEPENDENCYPART_ARC
(16,1),-1.42703 # DEPENDENCYPART_ARC
(16,2),-1.39401 # DEPENDENCYPART_ARC
(16,3),-1.35086 # DEPENDENCYPART_ARC
(16,4),-0.34858 # DEPENDENCYPART_ARC
(16,5),-0.544866 # DEPENDENCYPART_ARC
(16,6),-0.450395 # DEPENDENCYPART_ARC
(16,7),-0.965267 # DEPENDENCYPART_ARC
(16,8),1.42805 # DEPENDENCYPART_ARC
(16,9),0.0923731 # DEPENDENCYPART_ARC
(16,10),0.393405 # DEPENDENCYPART_ARC
(16,11),0.396869 # DEPENDENCYPART_ARC
(16,12),0.726966 # DEPENDENCYPART_ARC
(16,13),0.160886 # DEPENDENCYPART_ARC
(16,14),2.24403 # DEPENDENCYPART_ARC
(16,15),4.70531 # DEPENDENCYPART_ARC
(16,17),1.62796 # DEPENDENCYPART_ARC
(16,18),2.46113 # DEPENDENCYPART_ARC
(16,19),4.17739 # DEPENDENCYPART_ARC
(16,20),2.33717 # DEPENDENCYPART_ARC
(16,21),-0.0623225 # DEPENDENCYPART_ARC
(16,22),0.935544 # DEPENDENCYPART_ARC
(16,23),1.15075 # DEPENDENCYPART_ARC
(16,24),0.945342 # DEPENDENCYPART_ARC
(16,25),0.314823 # DEPENDENCYPART_ARC
(16,26),2.28784 # DEPENDENCYPART_ARC
(17,1),-3.39953 # DEPENDENCYPART_ARC
(17,2),-3.53799 # DEPENDENCYPART_ARC
(17,3),-3.29473 # DEPENDENCYPART_ARC
(17,4),-3.31849 # DEPENDENCYPART_ARC
(17,5),-3.70731 # DEPENDENCYPART_ARC
(17,6),-2.91565 # DEPENDENCYPART_ARC
(17,7),-3.11624 # DEPENDENCYPART_ARC
(17,8),-2.80095 # DEPENDENCYPART_ARC
(17,9),-3.03295 # DEPENDENCYPART_ARC
(17,10),-2.58434 # DEPENDENCYPART_ARC
(17,11),-2.33267 # DEPENDENCYPART_ARC
(17,12),-2.53728 # DEPENDENCYPART_ARC
(17,13),-2.10972 # DEPENDENCYPART_ARC
(17,14),-1.59906 # DEPENDENCYPART_ARC
(17,15),-0.62936 # DEPENDENCYPART_ARC
(17,16),-1.1051 # DEPENDENCYPART_ARC
(17,18),-0.588493 # DEPENDENCYPART_ARC
(17,19),-0.527045 # DEPENDENCYPART_ARC
(17,20),-1.171 # DEPENDENCYPART_ARC
(17,21),-2.03434 # DEPENDENCYPART_ARC
(17,22),-1.79817 # DEPENDENCYPART_ARC
(17,23),-1.65912 # DEPENDENCYPART_ARC
(17,24),-1.55005 # DEPENDENCYPART_ARC
(17,25),-2.06071 # DEPENDENCYPART_ARC
(17,26),-1.39494 # DEPENDENCYPART_ARC
(18,1),-3.63109 # DEPENDENCYPART_ARC
(18,2),-3.63523 # DEPENDENCYPART_ARC
(18,3),-5.67534 # DEPENDENCYPART_ARC
(18,4),-4.02212 # DEPENDENCYPART_ARC
(18,5),-5.34032 # DEPENDENCYPART_ARC
(18,6),-2.39217 # DEPENDENCYPART_ARC
(18,7),-3.67719 # DEPENDENCYPART_ARC
(18,8),-1.88152 # DEPENDENCYPART_ARC
(18,9),-2.3677 # DEPENDENCYPART_ARC
(18,10),-3.10632 # DEPENDENCYPART_ARC
(18,11),-2.03062 # DEPENDENCYPART_ARC
(18,12),-2.22831 # DEPENDENCYPART_ARC
(18,13),-1.58239 # DEPENDENCYPART_ARC
(18,14),-1.04965 # DEPENDENCYPART_ARC
(18,15),-1.23537 # DEPENDENCYPART_ARC
(18,16),-0.390187 # DEPENDENCYPART_ARC
(18,17),2.31002 # DEPENDENCYPART_ARC
(18,19),0.874511 # DEPENDENCYPART_ARC
(18,20),0.188156 # DEPENDENCYPART_ARC
(18,21),-0.405106 # DEPENDENCYPART_ARC
(18,22),-1.09574 # DEPENDENCYPART_ARC
(18,23),-0.872464 # DEPENDENCYPART_ARC
(18,24),-0.514497 # DEPENDENCYPART_ARC
(18,25),-1.57731 # DEPENDENCYPART_ARC
(18,26),-0.430505 # DEPENDENCYPART_ARC
(19,1),-1.85376 # DEPENDENCYPART_ARC
(19,2),-1.38066 # DEPENDENCYPART_ARC
(19,3),-4.7913 # DEPENDENCYPART_ARC
(19,4),-1.63221 # DEPENDENCYPART_ARC
(19,5),-3.90889 # DEPENDENCYPART_ARC
(19,6),-0.946475 # DEPENDENCYPART_ARC
(19,7),-1.59356 # DEPENDENCYPART_ARC
(19,8),-0.720903 # DEPENDENCYPART_ARC
(19,9),-1.76747 # DEPENDENCYPART_ARC
(19,10),-1.71134 # DEPENDENCYPART_ARC
(19,11),-0.292743 # DEPENDENCYPART_ARC
(19,12),-0.963116 # DEPENDENCYPART_ARC
(19,13),-1.72041 # DEPENDENCYPART_ARC
(19,14),-0.354631 # DEPENDENCYPART_ARC
(19,15),0.155745 # DEPENDENCYPART_ARC
(19,16),-0.0708149 # DEPENDENCYPART_ARC
(19,17),3.97426 # DEPENDENCYPART_ARC
(19,18),4.07841 # DEPENDENCYPART_ARC
(19,20),1.97694 # DEPENDENCYPART_ARC
(19,21),0.0877922 # DEPENDENCYPART_ARC
(19,22),0.674348 # DEPENDENCYPART_ARC
(19,23),0.215764 # DEPENDENCYPART_ARC
(19,24),1.11583 # DEPENDENCYPART_ARC
(19,25),0.133893 # DEPENDENCYPART_ARC
(19,26),1.18754 # DEPENDENCYPART_ARC
(20,1),-2.53885 # DEPENDENCYPART_ARC
(20,2),-2.1243 # DEPENDENCYPART_ARC
(20,3),-2.1044 # DEPENDENCYPART_ARC
(20,4),-2.37493 # DEPENDENCYPART_ARC
(20,5),-2.91902 # DEPENDENCYPART_ARC
(20,6),-2.45698 # DEPENDENCYPART_ARC
(20,7),-1.7149 # DEPENDENCYPART_ARC
(20,8),-1.79862 # DEPENDENCYPART_ARC
(20,9),-1.80017 # DEPENDENCYPART_ARC
