# _root_ The comparable lead times for the Commerce index , whose components include the stock market , are far shorter -- 10 months before recessions and only three months before recoveries .
#goldHeads=4,4,4,17,4,8,8,5,8,11,12,8,15,15,12,8,0,19,17,17,22,17,22,23,22,28,28,25,28,29,17,
#predictedHeads=4,4,4,8,17,8,8,5,8,11,12,0,15,15,12,17,12,19,17,17,22,17,22,23,24,28,26,25,24,29,17,
(3,26),-2.94394 # DEPENDENCYPART_ARC
(3,27),-2.32698 # DEPENDENCYPART_ARC
(3,28),-2.5165 # DEPENDENCYPART_ARC
(3,29),-4.45026 # DEPENDENCYPART_ARC
(3,30),-2.99782 # DEPENDENCYPART_ARC
(3,31),1.59789 # DEPENDENCYPART_ARC
(4,1),4.15007 # DEPENDENCYPART_ARC
(4,2),4.06959 # DEPENDENCYPART_ARC
(4,3),4.86485 # DEPENDENCYPART_ARC
(4,5),2.40526 # DEPENDENCYPART_ARC
(4,6),0.0427367 # DEPENDENCYPART_ARC
(4,7),0.517567 # DEPENDENCYPART_ARC
(4,8),0.525601 # DEPENDENCYPART_ARC
(4,9),1.0369 # DEPENDENCYPART_ARC
(4,10),-0.250244 # DEPENDENCYPART_ARC
(4,11),-0.0980666 # DEPENDENCYPART_ARC
(4,12),0.876542 # DEPENDENCYPART_ARC
(4,13),-0.393328 # DEPENDENCYPART_ARC
(4,14),-0.44321 # DEPENDENCYPART_ARC
(4,15),-0.361125 # DEPENDENCYPART_ARC
(4,16),0.487692 # DEPENDENCYPART_ARC
(4,17),-1.0023 # DEPENDENCYPART_ARC
(4,18),-0.613167 # DEPENDENCYPART_ARC
(4,19),-0.192832 # DEPENDENCYPART_ARC
(4,20),-0.238273 # DEPENDENCYPART_ARC
(4,21),-1.09523 # DEPENDENCYPART_ARC
(4,22),-1.1623 # DEPENDENCYPART_ARC
(4,23),-1.50122 # DEPENDENCYPART_ARC
(4,24),-1.34724 # DEPENDENCYPART_ARC
(4,25),-2.27152 # DEPENDENCYPART_ARC
(4,26),-1.40596 # DEPENDENCYPART_ARC
(4,27),-1.50124 # DEPENDENCYPART_ARC
(4,28),-2.21795 # DEPENDENCYPART_ARC
(4,29),-2.30824 # DEPENDENCYPART_ARC
(4,30),-2.89362 # DEPENDENCYPART_ARC
(4,31),0.549767 # DEPENDENCYPART_ARC
(5,1),-0.253624 # DEPENDENCYPART_ARC
(5,2),-0.590581 # DEPENDENCYPART_ARC
(5,3),-1.20616 # DEPENDENCYPART_ARC
(5,4),-0.0130479 # DEPENDENCYPART_ARC
(5,6),0.0473607 # DEPENDENCYPART_ARC
(5,7),1.37164 # DEPENDENCYPART_ARC
(5,8),3.36476 # DEPENDENCYPART_ARC
(5,9),0.126082 # DEPENDENCYPART_ARC
(5,10),-0.446646 # DEPENDENCYPART_ARC
(5,11),0.610941 # DEPENDENCYPART_ARC
(5,12),-0.898653 # DEPENDENCYPART_ARC
(5,13),-2.44423 # DEPENDENCYPART_ARC
(5,14),-3.74127 # DEPENDENCYPART_ARC
(5,15),-2.11523 # DEPENDENCYPART_ARC
(5,16),-0.540949 # DEPENDENCYPART_ARC
(5,17),-4.19707 # DEPENDENCYPART_ARC
(5,18),-1.2241 # DEPENDENCYPART_ARC
(5,19),-1.37845 # DEPENDENCYPART_ARC
(5,20),-0.0232067 # DEPENDENCYPART_ARC
(5,21),-3.57839 # DEPENDENCYPART_ARC
(5,22),-5.57044 # DEPENDENCYPART_ARC
(5,23),-0.756659 # DEPENDENCYPART_ARC
(5,24),-7.80195 # DEPENDENCYPART_ARC
(5,25),-1.08571 # DEPENDENCYPART_ARC
(5,26),-2.07189 # DEPENDENCYPART_ARC
(5,27),-4.7686 # DEPENDENCYPART_ARC
(5,28),-8.06151 # DEPENDENCYPART_ARC
(5,29),-1.89773 # DEPENDENCYPART_ARC
(5,30),-10.4497 # DEPENDENCYPART_ARC
(5,31),-0.17057 # DEPENDENCYPART_ARC
(6,1),-1.99867 # DEPENDENCYPART_ARC
(6,2),-2.3478 # DEPENDENCYPART_ARC
(6,3),-2.35667 # DEPENDENCYPART_ARC
(6,4),-2.16929 # DEPENDENCYPART_ARC
(6,5),-0.995177 # DEPENDENCYPART_ARC
(6,7),-0.34871 # DEPENDENCYPART_ARC
(6,8),-0.0996829 # DEPENDENCYPART_ARC
(6,9),-0.685872 # DEPENDENCYPART_ARC
(6,10),-1.21014 # DEPENDENCYPART_ARC
(6,11),-1.22477 # DEPENDENCYPART_ARC
(6,12),-0.980603 # DEPENDENCYPART_ARC
(6,13),-2.06231 # DEPENDENCYPART_ARC
(6,14),-1.23801 # DEPENDENCYPART_ARC
(6,15),-1.32154 # DEPENDENCYPART_ARC
(6,16),-1.22226 # DEPENDENCYPART_ARC
(6,17),-2.34229 # DEPENDENCYPART_ARC
(6,18),-2.04067 # DEPENDENCYPART_ARC
(6,19),-2.69701 # DEPENDENCYPART_ARC
(6,20),-1.82296 # DEPENDENCYPART_ARC
(6,21),-2.29035 # DEPENDENCYPART_ARC
(6,22),-2.36559 # DEPENDENCYPART_ARC
(6,23),-3.24419 # DEPENDENCYPART_ARC
(6,24),-2.62423 # DEPENDENCYPART_ARC
(6,25),-2.72712 # DEPENDENCYPART_ARC
(6,26),-2.86553 # DEPENDENCYPART_ARC
(6,27),-3.2917 # DEPENDENCYPART_ARC
(6,28),-2.85561 # DEPENDENCYPART_ARC
(6,29),-4.21729 # DEPENDENCYPART_ARC
(6,30),-3.11051 # DEPENDENCYPART_ARC
(6,31),-1.2303 # DEPENDENCYPART_ARC
(7,1),-1.97728 # DEPENDENCYPART_ARC
(7,2),-1.14145 # DEPENDENCYPART_ARC
(7,3),-1.38787 # DEPENDENCYPART_ARC
(7,4),-1.78087 # DEPENDENCYPART_ARC
(7,5),-0.578315 # DEPENDENCYPART_ARC
(7,6),1.88438 # DEPENDENCYPART_ARC
(7,8),0.537707 # DEPENDENCYPART_ARC
(7,9),0.165062 # DEPENDENCYPART_ARC
(7,10),-1.21791 # DEPENDENCYPART_ARC
(7,11),-1.09694 # DEPENDENCYPART_ARC
(7,12),-0.405425 # DEPENDENCYPART_ARC
(7,13),-1.09107 # DEPENDENCYPART_ARC
(7,14),-1.64985 # DEPENDENCYPART_ARC
(7,15),-1.57356 # DEPENDENCYPART_ARC
(7,16),-0.161053 # DEPENDENCYPART_ARC
(7,17),-0.770391 # DEPENDENCYPART_ARC
(7,18),-2.38003 # DEPENDENCYPART_ARC
(7,19),-2.27854 # DEPENDENCYPART_ARC
(7,20),-0.976894 # DEPENDENCYPART_ARC
(7,21),-2.89252 # DEPENDENCYPART_ARC
(7,22),-2.44274 # DEPENDENCYPART_ARC
(7,23),-2.88163 # DEPENDENCYPART_ARC
(7,24),-2.69043 # DEPENDENCYPART_ARC
(7,25),-2.51059 # DEPENDENCYPART_ARC
(7,26),-2.8858 # DEPENDENCYPART_ARC
(7,27),-3.83993 # DEPENDENCYPART_ARC
(7,28),-3.34115 # DEPENDENCYPART_ARC
(7,29),-3.45886 # DEPENDENCYPART_ARC
(7,30),-3.7448 # DEPENDENCYPART_ARC
(7,31),0.58073 # DEPENDENCYPART_ARC
(8,1),0.990769 # DEPENDENCYPART_ARC
(8,2),0.916478 # DEPENDENCYPART_ARC
(8,3),0.502856 # DEPENDENCYPART_ARC
(8,4),1.0568 # DEPENDENCYPART_ARC
(8,5),1.03155 # DEPENDENCYPART_ARC
(8,6),5.25837 # DEPENDENCYPART_ARC
(8,7),4.89511 # DEPENDENCYPART_ARC
(8,9),2.82097 # DEPENDENCYPART_ARC
(8,10),0.491022 # DEPENDENCYPART_ARC
(8,11),0.575214 # DEPENDENCYPART_ARC
(8,12),1.34615 # DEPENDENCYPART_ARC
(8,13),-0.127729 # DEPENDENCYPART_ARC
(8,14),0.487055 # DEPENDENCYPART_ARC
(8,15),1.12756 # DEPENDENCYPART_ARC
(8,16),1.65112 # DEPENDENCYPART_ARC
(8,17),0.148479 # DEPENDENCYPART_ARC
(8,18),-0.295749 # DEPENDENCYPART_ARC
(8,19),0.0590622 # DEPENDENCYPART_ARC
(8,20),1.11753 # DEPENDENCYPART_ARC
(8,21),-0.61996 # DEPENDENCYPART_ARC
(8,22),-0.76878 # DEPENDENCYPART_ARC
(8,23),-1.578 # DEPENDENCYPART_ARC
(8,24),-0.223293 # DEPENDENCYPART_ARC
(8,25),-0.463173 # DEPENDENCYPART_ARC
(8,26),-1.36761 # DEPENDENCYPART_ARC
(8,27),-0.999547 # DEPENDENCYPART_ARC
(8,28),-1.36211 # DEPENDENCYPART_ARC
(8,29),-2.85727 # DEPENDENCYPART_ARC
(8,30),-1.70301 # DEPENDENCYPART_ARC
(8,31),2.11766 # DEPENDENCYPART_ARC
(9,1),-0.828276 # DEPENDENCYPART_ARC
(9,2),-1.14237 # DEPENDENCYPART_ARC
(9,3),-0.879879 # DEPENDENCYPART_ARC
(9,4),-1.00898 # DEPENDENCYPART_ARC
(9,5),-0.736455 # DEPENDENCYPART_ARC
(9,6),0.0245326 # DEPENDENCYPART_ARC
(9,7),-0.838509 # DEPENDENCYPART_ARC
(9,8),-0.281687 # DEPENDENCYPART_ARC
(9,10),0.318307 # DEPENDENCYPART_ARC
(9,11),-0.227791 # DEPENDENCYPART_ARC
(9,12),-0.323142 # DEPENDENCYPART_ARC
(9,13),-1.02196 # DEPENDENCYPART_ARC
(9,14),-1.18355 # DEPENDENCYPART_ARC
(9,15),-1.46021 # DEPENDENCYPART_ARC
(9,16),0.511835 # DEPENDENCYPART_ARC
(9,17),-1.24846 # DEPENDENCYPART_ARC
(9,18),-1.42232 # DEPENDENCYPART_ARC
(9,19),-1.54864 # DEPENDENCYPART_ARC
(9,20),-0.563382 # DEPENDENCYPART_ARC
(9,21),-2.22344 # DEPENDENCYPART_ARC
(9,22),-2.18677 # DEPENDENCYPART_ARC
(9,23),-1.44849 # DEPENDENCYPART_ARC
(9,24),-2.35583 # DEPENDENCYPART_ARC
(9,25),-1.9094 # DEPENDENCYPART_ARC
(9,26),-2.26888 # DEPENDENCYPART_ARC
(9,27),-2.82675 # DEPENDENCYPART_ARC
(9,28),-2.82425 # DEPENDENCYPART_ARC
(9,29),-1.89894 # DEPENDENCYPART_ARC
(9,30),-2.90331 # DEPENDENCYPART_ARC
(9,31),-1.91698 # DEPENDENCYPART_ARC
(10,1),-1.09315 # DEPENDENCYPART_ARC
(10,2),-1.31625 # DEPENDENCYPART_ARC
(10,3),-1.34213 # DEPENDENCYPART_ARC
(10,4),-1.15417 # DEPENDENCYPART_ARC
(10,5),-0.834373 # DEPENDENCYPART_ARC
(10,6),-0.272513 # DEPENDENCYPART_ARC
(10,7),-0.361955 # DEPENDENCYPART_ARC
(10,8),-0.406118 # DEPENDENCYPART_ARC
(10,9),0.636556 # DEPENDENCYPART_ARC
(10,11),0.479706 # DEPENDENCYPART_ARC
(10,12),0.44453 # DEPENDENCYPART_ARC
(10,13),-0.854858 # DEPENDENCYPART_ARC
(10,14),-0.521113 # DEPENDENCYPART_ARC
(10,15),-0.692655 # DEPENDENCYPART_ARC
(10,16),-0.343211 # DEPENDENCYPART_ARC
(10,17),-0.777269 # DEPENDENCYPART_ARC
(10,18),-1.31761 # DEPENDENCYPART_ARC
(10,19),-1.45044 # DEPENDENCYPART_ARC
(10,20),-0.642042 # DEPENDENCYPART_ARC
(10,21),-1.89924 # DEPENDENCYPART_ARC
(10,22),-1.95866 # DEPENDENCYPART_ARC
(10,23),-1.45029 # DEPENDENCYPART_ARC
(10,24),-2.21327 # DEPENDENCYPART_ARC
(10,25),-1.39129 # DEPENDENCYPART_ARC
(10,26),-2.13156 # DEPENDENCYPART_ARC
(10,27),-2.51539 # DEPENDENCYPART_ARC
(10,28),-2.56198 # DEPENDENCYPART_ARC
(10,29),-2.08777 # DEPENDENCYPART_ARC
(10,30),-2.72761 # DEPENDENCYPART_ARC
(10,31),-1.48779 # DEPENDENCYPART_ARC
(11,1),-0.55891 # DEPENDENCYPART_ARC
(11,2),-1.02606 # DEPENDENCYPART_ARC
(11,3),-0.965777 # DEPENDENCYPART_ARC
(11,4),-1.15436 # DEPENDENCYPART_ARC
(11,5),-0.907315 # DEPENDENCYPART_ARC
(11,6),1.91539 # DEPENDENCYPART_ARC
(11,7),1.32221 # DEPENDENCYPART_ARC
(11,8),-0.166425 # DEPENDENCYPART_ARC
(11,9),0.647515 # DEPENDENCYPART_ARC
(11,10),3.5014 # DEPENDENCYPART_ARC
(11,12),0.291954 # DEPENDENCYPART_ARC
(11,13),-0.535405 # DEPENDENCYPART_ARC
(11,14),-0.264279 # DEPENDENCYPART_ARC
(11,15),-0.419654 # DEPENDENCYPART_ARC
(11,16),-0.0304107 # DEPENDENCYPART_ARC
(11,17),-1.72816 # DEPENDENCYPART_ARC
(11,18),-1.00645 # DEPENDENCYPART_ARC
(11,19),-0.627898 # DEPENDENCYPART_ARC
(11,20),-0.645202 # DEPENDENCYPART_ARC
(11,21),-1.39612 # DEPENDENCYPART_ARC
(11,22),-1.17292 # DEPENDENCYPART_ARC
(11,23),-0.857831 # DEPENDENCYPART_ARC
(11,24),-1.49164 # DEPENDENCYPART_ARC
(11,25),-2.03521 # DEPENDENCYPART_ARC
(11,26),-1.65895 # DEPENDENCYPART_ARC
(11,27),-1.91879 # DEPENDENCYPART_ARC
(11,28),-2.25374 # DEPENDENCYPART_ARC
(11,29),-1.46059 # DEPENDENCYPART_ARC
(11,30),-2.81783 # DEPENDENCYPART_ARC
(11,31),1.1683 # DEPENDENCYPART_ARC
(12,1),-0.829034 # DEPENDENCYPART_ARC
(12,2),-0.190279 # DEPENDENCYPART_ARC
(12,3),-0.643218 # DEPENDENCYPART_ARC
(12,4),0.302212 # DEPENDENCYPART_ARC
(12,5),0.0863513 # DEPENDENCYPART_ARC
(12,6),-0.248012 # DEPENDENCYPART_ARC
(12,7),0.399699 # DEPENDENCYPART_ARC
(12,8),-0.0258991 # DEPENDENCYPART_ARC
(12,9),1.39855 # DEPENDENCYPART_ARC
(12,10),1.29087 # DEPENDENCYPART_ARC
(12,11),3.31041 # DEPENDENCYPART_ARC
(12,13),1.24749 # DEPENDENCYPART_ARC
(12,14),1.95869 # DEPENDENCYPART_ARC
(12,15),2.12914 # DEPENDENCYPART_ARC
(12,16),1.27422 # DEPENDENCYPART_ARC
(12,17),1.38626 # DEPENDENCYPART_ARC
(12,18),0.274513 # DEPENDENCYPART_ARC
(12,19),-0.161055 # DEPENDENCYPART_ARC
(12,20),1.19791 # DEPENDENCYPART_ARC
(12,21),-0.889705 # DEPENDENCYPART_ARC
(12,22),1.04002 # DEPENDENCYPART_ARC
(12,23),0.255323 # DEPENDENCYPART_ARC
(12,24),-0.423525 # DEPENDENCYPART_ARC
(12,25),-1.79599 # DEPENDENCYPART_ARC
(12,26),-0.725772 # DEPENDENCYPART_ARC
(12,27),-1.40205 # DEPENDENCYPART_ARC
(12,28),0.206639 # DEPENDENCYPART_ARC
(12,29),0.0469653 # DEPENDENCYPART_ARC
(12,30),-1.53571 # DEPENDENCYPART_ARC
(12,31),6.43772 # DEPENDENCYPART_ARC
(13,1),-3.08898 # DEPENDENCYPART_ARC
(13,2),-3.3259 # DEPENDENCYPART_ARC
(13,3),-3.50411 # DEPENDENCYPART_ARC
(13,4),-3.2358 # DEPENDENCYPART_ARC
(13,5),-2.60342 # DEPENDENCYPART_ARC
(13,6),-2.14061 # DEPENDENCYPART_ARC
(13,7),-2.72333 # DEPENDENCYPART_ARC
(13,8),-2.75901 # DEPENDENCYPART_ARC
(13,9),-2.12502 # DEPENDENCYPART_ARC
(13,10),-1.48619 # DEPENDENCYPART_ARC
(13,11),-1.94305 # DEPENDENCYPART_ARC
(13,12),-1.3892 # DEPENDENCYPART_ARC
(13,14),0.506619 # DEPENDENCYPART_ARC
(13,15),-0.0462525 # DEPENDENCYPART_ARC
(13,16),-0.526226 # DEPENDENCYPART_ARC
(13,17),-0.657069 # DEPENDENCYPART_ARC
(13,18),-0.900397 # DEPENDENCYPART_ARC
(13,19),-1.63675 # DEPENDENCYPART_ARC
(13,20),-0.783371 # DEPENDENCYPART_ARC
(13,21),-1.06078 # DEPENDENCYPART_ARC
(13,22),-1.36809 # DEPENDENCYPART_ARC
(13,23),-1.89611 # DEPENDENCYPART_ARC
(13,24),-1.78199 # DEPENDENCYPART_ARC
(13,25),-1.42654 # DEPENDENCYPART_ARC
(13,26),-1.93271 # DEPENDENCYPART_ARC
(13,27),-2.20982 # DEPENDENCYPART_ARC
(13,28),-1.96453 # DEPENDENCYPART_ARC
(13,29),-2.86085 # DEPENDENCYPART_ARC
(13,30),-2.24226 # DEPENDENCYPART_ARC
(13,31),-0.660498 # DEPENDENCYPART_ARC
(14,1),-5.151 # DEPENDENCYPART_ARC
(14,2),-3.94229 # DEPENDENCYPART_ARC
(14,3),-5.12632 # DEPENDENCYPART_ARC
(14,4),-2.72263 # DEPENDENCYPART_ARC
(14,5),-1.96193 # DEPENDENCYPART_ARC
(14,6),-1.85393 # DEPENDENCYPART_ARC
(14,7),-2.51005 # DEPENDENCYPART_ARC
(14,8),-3.41148 # DEPENDENCYPART_ARC
(14,9),-1.29296 # DEPENDENCYPART_ARC
(14,10),0.185495 # DEPENDENCYPART_ARC
(14,11),-1.48878 # DEPENDENCYPART_ARC
(14,12),-1.51855 # DEPENDENCYPART_ARC
(14,13),2.72295 # DEPENDENCYPART_ARC
(14,15),0.319588 # DEPENDENCYPART_ARC
(14,16),-0.335091 # DEPENDENCYPART_ARC
(14,17),-0.291076 # DEPENDENCYPART_ARC
(14,18),-1.42414 # DEPENDENCYPART_ARC
(14,19),-1.13314 # DEPENDENCYPART_ARC
(14,20),-0.07817 # DEPENDENCYPART_ARC
(14,21),-1.28058 # DEPENDENCYPART_ARC
(14,22),-1.43052 # DEPENDENCYPART_ARC
(14,23),-1.90362 # DEPENDENCYPART_ARC
(14,24),-1.44306 # DEPENDENCYPART_ARC
(14,25),-1.60085 # DEPENDENCYPART_ARC
(14,26),-2.33746 # DEPENDENCYPART_ARC
(14,27),-1.77515 # DEPENDENCYPART_ARC
(14,28),-2.17453 # DEPENDENCYPART_ARC
(14,29),-2.88622 # DEPENDENCYPART_ARC
(14,30),-2.30828 # DEPENDENCYPART_ARC
(14,31),1.15772 # DEPENDENCYPART_ARC
(15,1),-1.4453 # DEPENDENCYPART_ARC
(15,2),-0.902034 # DEPENDENCYPART_ARC
(15,3),-2.10518 # DEPENDENCYPART_ARC
(15,4),-0.378783 # DEPENDENCYPART_ARC
(15,5),-0.574296 # DEPENDENCYPART_ARC
(15,6),1.91807 # DEPENDENCYPART_ARC
(15,7),0.173793 # DEPENDENCYPART_ARC
(15,8),-0.788379 # DEPENDENCYPART_ARC
(15,9),-0.135641 # DEPENDENCYPART_ARC
(15,10),2.28621 # DEPENDENCYPART_ARC
(15,11),1.09118 # DEPENDENCYPART_ARC
(15,12),0.338566 # DEPENDENCYPART_ARC
(15,13),5.01627 # DEPENDENCYPART_ARC
(15,14),4.95085 # DEPENDENCYPART_ARC
(15,16),0.900308 # DEPENDENCYPART_ARC
(15,17),0.350972 # DEPENDENCYPART_ARC
(15,18),-0.620559 # DEPENDENCYPART_ARC
(15,19),-0.435575 # DEPENDENCYPART_ARC
(15,20),0.486032 # DEPENDENCYPART_ARC
(15,21),-0.730593 # DEPENDENCYPART_ARC
(15,22),-0.700785 # DEPENDENCYPART_ARC
(15,23),-1.19392 # DEPENDENCYPART_ARC
(15,24),-0.432374 # DEPENDENCYPART_ARC
(15,25),-1.02153 # DEPENDENCYPART_ARC
(15,26),-1.76581 # DEPENDENCYPART_ARC
(15,27),-1.1263 # DEPENDENCYPART_ARC
(15,28),-1.54135 # DEPENDENCYPART_ARC
(15,29),-2.76062 # DEPENDENCYPART_ARC
(15,30),-1.94753 # DEPENDENCYPART_ARC
(15,31),1.63385 # DEPENDENCYPART_ARC
(16,1),-2.16316 # DEPENDENCYPART_ARC
(16,2),-2.39908 # DEPENDENCYPART_ARC
(16,3),-1.81006 # DEPENDENCYPART_ARC
(16,4),-1.8852 # DEPENDENCYPART_ARC
(16,5),-1.85183 # DEPENDENCYPART_ARC
(16,6),-1.43839 # DEPENDENCYPART_ARC
(16,7),-2.01566 # DEPENDENCYPART_ARC
(16,8),-1.51171 # DEPENDENCYPART_ARC
(16,9),0.145821 # DEPENDENCYPART_ARC
(16,10),-0.990447 # DEPENDENCYPART_ARC
(16,11),-1.52612 # DEPENDENCYPART_ARC
(16,12),-1.73131 # DEPENDENCYPART_ARC
(16,13),-0.39182 # DEPENDENCYPART_ARC
(16,14),-1.32975 # DEPENDENCYPART_ARC
(16,15),-0.680828 # DEPENDENCYPART_ARC
(16,17),-0.507349 # DEPENDENCYPART_ARC
(16,18),-1.66145 # DEPENDENCYPART_ARC
(16,19),-1.76782 # DEPENDENCYPART_ARC
(16,20),-1.46452 # DEPENDENCYPART_ARC
(16,21),-2.43597 # DEPENDENCYPART_ARC
(16,22),-2.64943 # DEPENDENCYPART_ARC
(16,23),-2.10666 # DEPENDENCYPART_ARC
(16,24),-2.88637 # DEPENDENCYPART_ARC
(16,25),-2.45839 # DEPENDENCYPART_ARC
(16,26),-2.78227 # DEPENDENCYPART_ARC
(16,27),-3.33033 # DEPENDENCYPART_ARC
