# _root_ Dataproducts , which had been seeking a buyer for several months , announced a restructuring plan in September and took itself off the auction block .
#goldHeads=13,1,4,1,4,5,8,6,6,11,9,1,0,16,16,13,13,17,13,19,20,20,25,25,22,13,
#predictedHeads=13,1,4,1,4,5,8,6,8,11,9,1,0,16,16,13,16,17,13,19,20,20,25,25,22,13,
(5,20),-0.329161 # DEPENDENCYPART_ARC
(5,21),-0.548934 # DEPENDENCYPART_ARC
(5,22),-0.757595 # DEPENDENCYPART_ARC
(5,23),-1.70478 # DEPENDENCYPART_ARC
(5,24),-3.09316 # DEPENDENCYPART_ARC
(5,25),-2.78685 # DEPENDENCYPART_ARC
(5,26),0.946907 # DEPENDENCYPART_ARC
(6,1),-0.145553 # DEPENDENCYPART_ARC
(6,2),0.113814 # DEPENDENCYPART_ARC
(6,3),1.51109 # DEPENDENCYPART_ARC
(6,4),-0.0430623 # DEPENDENCYPART_ARC
(6,5),1.26937 # DEPENDENCYPART_ARC
(6,7),1.51377 # DEPENDENCYPART_ARC
(6,8),3.39353 # DEPENDENCYPART_ARC
(6,9),2.0171 # DEPENDENCYPART_ARC
(6,10),0.846849 # DEPENDENCYPART_ARC
(6,11),1.41841 # DEPENDENCYPART_ARC
(6,12),1.72557 # DEPENDENCYPART_ARC
(6,13),0.796676 # DEPENDENCYPART_ARC
(6,14),-0.269467 # DEPENDENCYPART_ARC
(6,15),-1.05162 # DEPENDENCYPART_ARC
(6,16),0.31302 # DEPENDENCYPART_ARC
(6,17),0.537243 # DEPENDENCYPART_ARC
(6,18),-1.00204 # DEPENDENCYPART_ARC
(6,19),-0.126253 # DEPENDENCYPART_ARC
(6,20),0.243864 # DEPENDENCYPART_ARC
(6,21),-0.185801 # DEPENDENCYPART_ARC
(6,22),0.19745 # DEPENDENCYPART_ARC
(6,23),-1.53968 # DEPENDENCYPART_ARC
(6,24),-3.93395 # DEPENDENCYPART_ARC
(6,25),-3.20904 # DEPENDENCYPART_ARC
(6,26),1.15961 # DEPENDENCYPART_ARC
(7,1),-2.00518 # DEPENDENCYPART_ARC
(7,2),-1.58462 # DEPENDENCYPART_ARC
(7,3),-0.563529 # DEPENDENCYPART_ARC
(7,4),-1.28188 # DEPENDENCYPART_ARC
(7,5),-1.00313 # DEPENDENCYPART_ARC
(7,6),-0.19561 # DEPENDENCYPART_ARC
(7,8),0.799361 # DEPENDENCYPART_ARC
(7,9),-0.0636434 # DEPENDENCYPART_ARC
(7,10),-0.434254 # DEPENDENCYPART_ARC
(7,11),-0.539993 # DEPENDENCYPART_ARC
(7,12),-0.295733 # DEPENDENCYPART_ARC
(7,13),-0.627843 # DEPENDENCYPART_ARC
(7,14),-1.61177 # DEPENDENCYPART_ARC
(7,15),-0.946654 # DEPENDENCYPART_ARC
(7,16),-1.08568 # DEPENDENCYPART_ARC
(7,17),-1.53215 # DEPENDENCYPART_ARC
(7,18),-1.8102 # DEPENDENCYPART_ARC
(7,19),-1.4941 # DEPENDENCYPART_ARC
(7,20),-2.40619 # DEPENDENCYPART_ARC
(7,21),-1.73628 # DEPENDENCYPART_ARC
(7,22),-2.06853 # DEPENDENCYPART_ARC
(7,23),-2.77052 # DEPENDENCYPART_ARC
(7,24),-1.99342 # DEPENDENCYPART_ARC
(7,25),-2.15834 # DEPENDENCYPART_ARC
(7,26),-1.09286 # DEPENDENCYPART_ARC
(8,1),-3.55108 # DEPENDENCYPART_ARC
(8,2),-1.60686 # DEPENDENCYPART_ARC
(8,3),-0.314597 # DEPENDENCYPART_ARC
(8,4),-0.570053 # DEPENDENCYPART_ARC
(8,5),0.241406 # DEPENDENCYPART_ARC
(8,6),0.498536 # DEPENDENCYPART_ARC
(8,7),4.79354 # DEPENDENCYPART_ARC
(8,9),3.06424 # DEPENDENCYPART_ARC
(8,10),0.730356 # DEPENDENCYPART_ARC
(8,11),1.11122 # DEPENDENCYPART_ARC
(8,12),1.6014 # DEPENDENCYPART_ARC
(8,13),0.924231 # DEPENDENCYPART_ARC
(8,14),0.0992937 # DEPENDENCYPART_ARC
(8,15),0.00165698 # DEPENDENCYPART_ARC
(8,16),0.202297 # DEPENDENCYPART_ARC
(8,17),0.170347 # DEPENDENCYPART_ARC
(8,18),-0.97858 # DEPENDENCYPART_ARC
(8,19),-0.293534 # DEPENDENCYPART_ARC
(8,20),-0.662358 # DEPENDENCYPART_ARC
(8,21),0.459926 # DEPENDENCYPART_ARC
(8,22),-1.57307 # DEPENDENCYPART_ARC
(8,23),-1.07262 # DEPENDENCYPART_ARC
(8,24),-1.79402 # DEPENDENCYPART_ARC
(8,25),-1.80544 # DEPENDENCYPART_ARC
(8,26),1.23181 # DEPENDENCYPART_ARC
(9,1),-1.56005 # DEPENDENCYPART_ARC
(9,2),-1.00885 # DEPENDENCYPART_ARC
(9,3),0.393384 # DEPENDENCYPART_ARC
(9,4),-0.907479 # DEPENDENCYPART_ARC
(9,5),-0.655031 # DEPENDENCYPART_ARC
(9,6),-0.780308 # DEPENDENCYPART_ARC
(9,7),0.368045 # DEPENDENCYPART_ARC
(9,8),0.0274975 # DEPENDENCYPART_ARC
(9,10),1.78344 # DEPENDENCYPART_ARC
(9,11),4.45433 # DEPENDENCYPART_ARC
(9,12),1.06708 # DEPENDENCYPART_ARC
(9,13),0.0699508 # DEPENDENCYPART_ARC
(9,14),-1.29203 # DEPENDENCYPART_ARC
(9,15),-2.8954 # DEPENDENCYPART_ARC
(9,16),-0.659956 # DEPENDENCYPART_ARC
(9,17),-0.0870006 # DEPENDENCYPART_ARC
(9,18),-2.11772 # DEPENDENCYPART_ARC
(9,19),-0.249898 # DEPENDENCYPART_ARC
(9,20),-1.58291 # DEPENDENCYPART_ARC
(9,21),-1.41731 # DEPENDENCYPART_ARC
(9,22),-0.282716 # DEPENDENCYPART_ARC
(9,23),-3.08812 # DEPENDENCYPART_ARC
(9,24),-6.59847 # DEPENDENCYPART_ARC
(9,25),-5.47216 # DEPENDENCYPART_ARC
(9,26),0.718153 # DEPENDENCYPART_ARC
(10,1),-2.71147 # DEPENDENCYPART_ARC
(10,2),-2.26894 # DEPENDENCYPART_ARC
(10,3),-1.42331 # DEPENDENCYPART_ARC
(10,4),-2.60201 # DEPENDENCYPART_ARC
(10,5),-2.15063 # DEPENDENCYPART_ARC
(10,6),-1.79252 # DEPENDENCYPART_ARC
(10,7),-0.0847283 # DEPENDENCYPART_ARC
(10,8),-0.78319 # DEPENDENCYPART_ARC
(10,9),-0.174997 # DEPENDENCYPART_ARC
(10,11),1.22553 # DEPENDENCYPART_ARC
(10,12),0.510511 # DEPENDENCYPART_ARC
(10,13),-0.384878 # DEPENDENCYPART_ARC
(10,14),-1.03537 # DEPENDENCYPART_ARC
(10,15),-0.692809 # DEPENDENCYPART_ARC
(10,16),-1.22937 # DEPENDENCYPART_ARC
(10,17),-1.83753 # DEPENDENCYPART_ARC
(10,18),-1.41497 # DEPENDENCYPART_ARC
(10,19),-1.02566 # DEPENDENCYPART_ARC
(10,20),-0.918286 # DEPENDENCYPART_ARC
(10,21),-1.33807 # DEPENDENCYPART_ARC
(10,22),-2.12582 # DEPENDENCYPART_ARC
(10,23),-2.52957 # DEPENDENCYPART_ARC
(10,24),-2.06907 # DEPENDENCYPART_ARC
(10,25),-2.29144 # DEPENDENCYPART_ARC
(10,26),-0.48455 # DEPENDENCYPART_ARC
(11,1),-3.17864 # DEPENDENCYPART_ARC
(11,2),-1.72431 # DEPENDENCYPART_ARC
(11,3),-1.28188 # DEPENDENCYPART_ARC
(11,4),-1.23141 # DEPENDENCYPART_ARC
(11,5),-0.696783 # DEPENDENCYPART_ARC
(11,6),-0.536648 # DEPENDENCYPART_ARC
(11,7),1.09944 # DEPENDENCYPART_ARC
(11,8),-0.0775918 # DEPENDENCYPART_ARC
(11,9),-0.0364842 # DEPENDENCYPART_ARC
(11,10),4.2513 # DEPENDENCYPART_ARC
(11,12),0.504061 # DEPENDENCYPART_ARC
(11,13),0.409974 # DEPENDENCYPART_ARC
(11,14),-0.340149 # DEPENDENCYPART_ARC
(11,15),-0.596922 # DEPENDENCYPART_ARC
(11,16),-1.08412 # DEPENDENCYPART_ARC
(11,17),-0.814374 # DEPENDENCYPART_ARC
(11,18),-0.810438 # DEPENDENCYPART_ARC
(11,19),-1.65014 # DEPENDENCYPART_ARC
(11,20),-0.755049 # DEPENDENCYPART_ARC
(11,21),-1.65346 # DEPENDENCYPART_ARC
(11,22),-2.04159 # DEPENDENCYPART_ARC
(11,23),-1.88745 # DEPENDENCYPART_ARC
(11,24),-2.4788 # DEPENDENCYPART_ARC
(11,25),-2.22643 # DEPENDENCYPART_ARC
(11,26),-0.655316 # DEPENDENCYPART_ARC
(12,1),-2.42515 # DEPENDENCYPART_ARC
(12,2),-0.27815 # DEPENDENCYPART_ARC
(12,3),-1.31608 # DEPENDENCYPART_ARC
(12,4),-1.41718 # DEPENDENCYPART_ARC
(12,5),-1.10435 # DEPENDENCYPART_ARC
(12,6),-0.886072 # DEPENDENCYPART_ARC
(12,7),-1.02397 # DEPENDENCYPART_ARC
(12,8),-1.11118 # DEPENDENCYPART_ARC
(12,9),-0.87244 # DEPENDENCYPART_ARC
(12,10),-1.06884 # DEPENDENCYPART_ARC
(12,11),-0.949894 # DEPENDENCYPART_ARC
(12,13),-0.074106 # DEPENDENCYPART_ARC
(12,14),-1.361 # DEPENDENCYPART_ARC
(12,15),-1.705 # DEPENDENCYPART_ARC
(12,16),-2.01914 # DEPENDENCYPART_ARC
(12,17),-1.6765 # DEPENDENCYPART_ARC
(12,18),-2.1384 # DEPENDENCYPART_ARC
(12,19),-1.85963 # DEPENDENCYPART_ARC
(12,20),-1.88417 # DEPENDENCYPART_ARC
(12,21),-2.3358 # DEPENDENCYPART_ARC
(12,22),-2.01762 # DEPENDENCYPART_ARC
(12,23),-2.70897 # DEPENDENCYPART_ARC
(12,24),-3.1096 # DEPENDENCYPART_ARC
(12,25),-3.18781 # DEPENDENCYPART_ARC
(12,26),-2.2964 # DEPENDENCYPART_ARC
(13,1),1.61175 # DEPENDENCYPART_ARC
(13,2),0.762537 # DEPENDENCYPART_ARC
(13,3),1.25052 # DEPENDENCYPART_ARC
(13,4),-0.659044 # DEPENDENCYPART_ARC
(13,5),0.237351 # DEPENDENCYPART_ARC
(13,6),1.37818 # DEPENDENCYPART_ARC
(13,7),0.36712 # DEPENDENCYPART_ARC
(13,8),1.05937 # DEPENDENCYPART_ARC
(13,9),0.469426 # DEPENDENCYPART_ARC
(13,10),1.34167 # DEPENDENCYPART_ARC
(13,11),0.87202 # DEPENDENCYPART_ARC
(13,12),1.99076 # DEPENDENCYPART_ARC
(13,14),1.34272 # DEPENDENCYPART_ARC
(13,15),2.56623 # DEPENDENCYPART_ARC
(13,16),2.70296 # DEPENDENCYPART_ARC
(13,17),2.04775 # DEPENDENCYPART_ARC
(13,18),0.86639 # DEPENDENCYPART_ARC
(13,19),3.68441 # DEPENDENCYPART_ARC
(13,20),0.361434 # DEPENDENCYPART_ARC
(13,21),0.724017 # DEPENDENCYPART_ARC
(13,22),0.837101 # DEPENDENCYPART_ARC
(13,23),-0.944362 # DEPENDENCYPART_ARC
(13,24),-0.12592 # DEPENDENCYPART_ARC
(13,25),0.441142 # DEPENDENCYPART_ARC
(13,26),6.98626 # DEPENDENCYPART_ARC
(14,1),-2.69691 # DEPENDENCYPART_ARC
(14,2),-2.3214 # DEPENDENCYPART_ARC
(14,3),-1.53396 # DEPENDENCYPART_ARC
(14,4),-2.11087 # DEPENDENCYPART_ARC
(14,5),-2.10647 # DEPENDENCYPART_ARC
(14,6),-1.87451 # DEPENDENCYPART_ARC
(14,7),-1.23322 # DEPENDENCYPART_ARC
(14,8),-2.03951 # DEPENDENCYPART_ARC
(14,9),-0.800679 # DEPENDENCYPART_ARC
(14,10),-1.15832 # DEPENDENCYPART_ARC
(14,11),-1.08953 # DEPENDENCYPART_ARC
(14,12),-0.673536 # DEPENDENCYPART_ARC
(14,13),-0.255877 # DEPENDENCYPART_ARC
(14,15),0.994115 # DEPENDENCYPART_ARC
(14,16),0.330642 # DEPENDENCYPART_ARC
(14,17),-0.312464 # DEPENDENCYPART_ARC
(14,18),-0.434679 # DEPENDENCYPART_ARC
(14,19),-0.170735 # DEPENDENCYPART_ARC
(14,20),-0.0592414 # DEPENDENCYPART_ARC
(14,21),-0.798374 # DEPENDENCYPART_ARC
(14,22),-0.893431 # DEPENDENCYPART_ARC
(14,23),-1.62544 # DEPENDENCYPART_ARC
(14,24),-1.0968 # DEPENDENCYPART_ARC
(14,25),-1.3486 # DEPENDENCYPART_ARC
(14,26),-0.766554 # DEPENDENCYPART_ARC
(15,1),-8.68857 # DEPENDENCYPART_ARC
(15,2),-3.13755 # DEPENDENCYPART_ARC
(15,3),-3.2957 # DEPENDENCYPART_ARC
(15,4),-2.99149 # DEPENDENCYPART_ARC
(15,5),-3.3312 # DEPENDENCYPART_ARC
(15,6),-2.42191 # DEPENDENCYPART_ARC
(15,7),-1.72874 # DEPENDENCYPART_ARC
(15,8),-3.94659 # DEPENDENCYPART_ARC
(15,9),-1.46633 # DEPENDENCYPART_ARC
(15,10),-1.24355 # DEPENDENCYPART_ARC
(15,11),-2.06414 # DEPENDENCYPART_ARC
(15,12),-0.879689 # DEPENDENCYPART_ARC
(15,13),-0.975924 # DEPENDENCYPART_ARC
(15,14),3.03524 # DEPENDENCYPART_ARC
(15,16),1.26643 # DEPENDENCYPART_ARC
(15,17),-0.00518975 # DEPENDENCYPART_ARC
(15,18),-0.356393 # DEPENDENCYPART_ARC
(15,19),-0.396416 # DEPENDENCYPART_ARC
(15,20),-0.0566852 # DEPENDENCYPART_ARC
(15,21),0.102713 # DEPENDENCYPART_ARC
(15,22),-1.36515 # DEPENDENCYPART_ARC
(15,23),-1.23314 # DEPENDENCYPART_ARC
(15,24),-1.74749 # DEPENDENCYPART_ARC
(15,25),-1.76514 # DEPENDENCYPART_ARC
(15,26),0.383247 # DEPENDENCYPART_ARC
(16,1),-7.1211 # DEPENDENCYPART_ARC
(16,2),-1.82296 # DEPENDENCYPART_ARC
(16,3),-1.2106 # DEPENDENCYPART_ARC
(16,4),-1.3926 # DEPENDENCYPART_ARC
(16,5),-1.32045 # DEPENDENCYPART_ARC
(16,6),-0.484187 # DEPENDENCYPART_ARC
(16,7),1.01228 # DEPENDENCYPART_ARC
(16,8),-1.3738 # DEPENDENCYPART_ARC
(16,9),-0.265473 # DEPENDENCYPART_ARC
(16,10),0.516322 # DEPENDENCYPART_ARC
(16,11),0.336375 # DEPENDENCYPART_ARC
(16,12),0.347213 # DEPENDENCYPART_ARC
(16,13),0.413304 # DEPENDENCYPART_ARC
(16,14),4.53651 # DEPENDENCYPART_ARC
(16,15),4.56828 # DEPENDENCYPART_ARC
(16,17),2.2425 # DEPENDENCYPART_ARC
(16,18),0.265213 # DEPENDENCYPART_ARC
(16,19),0.838474 # DEPENDENCYPART_ARC
(16,20),0.985795 # DEPENDENCYPART_ARC
(16,21),0.88819 # DEPENDENCYPART_ARC
(16,22),-0.185294 # DEPENDENCYPART_ARC
(16,23),-0.831859 # DEPENDENCYPART_ARC
(16,24),-0.706648 # DEPENDENCYPART_ARC
(16,25),-1.12184 # DEPENDENCYPART_ARC
(16,26),1.73861 # DEPENDENCYPART_ARC
(17,1),-2.93298 # DEPENDENCYPART_ARC
(17,2),-2.43414 # DEPENDENCYPART_ARC
(17,3),-1.07484 # DEPENDENCYPART_ARC
(17,4),-1.98794 # DEPENDENCYPART_ARC
(17,5),-1.7383 # DEPENDENCYPART_ARC
(17,6),-2.32127 # DEPENDENCYPART_ARC
(17,7),-1.33696 # DEPENDENCYPART_ARC
(17,8),-1.64476 # DEPENDENCYPART_ARC
(17,9),-1.33021 # DEPENDENCYPART_ARC
(17,10),-1.13312 # DEPENDENCYPART_ARC
(17,11),-0.949761 # DEPENDENCYPART_ARC
(17,12),-0.948871 # DEPENDENCYPART_ARC
(17,13),-1.18314 # DEPENDENCYPART_ARC
(17,14),-0.0661299 # DEPENDENCYPART_ARC
(17,15),-0.468841 # DEPENDENCYPART_ARC
(17,16),-0.223283 # DEPENDENCYPART_ARC
(17,18),3.525 # DEPENDENCYPART_ARC
(17,19),0.818555 # DEPENDENCYPART_ARC
(17,20),1.06495 # DEPENDENCYPART_ARC
(17,21),0.0364316 # DEPENDENCYPART_ARC
(17,22),-0.0947817 # DEPENDENCYPART_ARC
(17,23),-1.60676 # DEPENDENCYPART_ARC
(17,24),-2.33228 # DEPENDENCYPART_ARC
(17,25),-1.1569 # DEPENDENCYPART_ARC
(17,26),0.847574 # DEPENDENCYPART_ARC
(18,1),-9.022 # DEPENDENCYPART_ARC
(18,2),-3.88234 # DEPENDENCYPART_ARC
(18,3),-3.60389 # DEPENDENCYPART_ARC
(18,4),-3.89868 # DEPENDENCYPART_ARC
(18,5),-3.44302 # DEPENDENCYPART_ARC
(18,6),-3.04475 # DEPENDENCYPART_ARC
(18,7),-3.32626 # DEPENDENCYPART_ARC
(18,8),-3.95647 # DEPENDENCYPART_ARC
(18,9),-2.17419 # DEPENDENCYPART_ARC
(18,10),-1.86558 # DEPENDENCYPART_ARC
(18,11),-2.48673 # DEPENDENCYPART_ARC
(18,12),-2.88389 # DEPENDENCYPART_ARC
(18,13),-1.95746 # DEPENDENCYPART_ARC
(18,14),-0.313766 # DEPENDENCYPART_ARC
(18,15),0.142478 # DEPENDENCYPART_ARC
(18,16),-0.908081 # DEPENDENCYPART_ARC
(18,17),0.0578602 # DEPENDENCYPART_ARC
(18,19),0.696594 # DEPENDENCYPART_ARC
(18,20),0.479108 # DEPENDENCYPART_ARC
(18,21),0.132727 # DEPENDENCYPART_ARC
(18,22),-0.1663 # DEPENDENCYPART_ARC
(18,23),-0.669157 # DEPENDENCYPART_ARC
(18,24),-2.28844 # DEPENDENCYPART_ARC
(18,25),-1.70871 # DEPENDENCYPART_ARC
(18,26),-0.648793 # DEPENDENCYPART_ARC
(19,1),-2.02495 # DEPENDENCYPART_ARC
(19,2),-2.5048 # DEPENDENCYPART_ARC
(19,3),-1.78334 # DEPENDENCYPART_ARC
(19,4),-1.32669 # DEPENDENCYPART_ARC
(19,5),-2.05075 # DEPENDENCYPART_ARC
(19,6),-1.20449 # DEPENDENCYPART_ARC
(19,7),-1.75814 # DEPENDENCYPART_ARC
(19,8),-1.73862 # DEPENDENCYPART_ARC
(19,9),-1.18351 # DEPENDENCYPART_ARC
(19,10),-1.50259 # DEPENDENCYPART_ARC
(19,11),-1.28287 # DEPENDENCYPART_ARC
(19,12),-1.48626 # DEPENDENCYPART_ARC
(19,13),-0.492211 # DEPENDENCYPART_ARC
(19,14),-0.696324 # DEPENDENCYPART_ARC
(19,15),-0.655984 # DEPENDENCYPART_ARC
(19,16),-0.219589 # DEPENDENCYPART_ARC
(19,17),-0.433339 # DEPENDENCYPART_ARC
(19,18),0.492477 # DEPENDENCYPART_ARC
(19,20),3.09114 # DEPENDENCYPART_ARC
(19,21),0.482577 # DEPENDENCYPART_ARC
(19,22),0.187829 # DEPENDENCYPART_ARC
(19,23),-1.35414 # DEPENDENCYPART_ARC
(19,24),-1.24941 # DEPENDENCYPART_ARC
(19,25),-1.32542 # DEPENDENCYPART_ARC
(19,26),0.025172 # DEPENDENCYPART_ARC
(20,1),-1.21801 # DEPENDENCYPART_ARC
(20,2),-2.48201 # DEPENDENCYPART_ARC
(20,3),-0.825344 # DEPENDENCYPART_ARC
(20,4),-1.74588 # DEPENDENCYPART_ARC
(20,5),-1.22762 # DEPENDENCYPART_ARC
(20,6),-0.470704 # DEPENDENCYPART_ARC
(20,7),-1.74345 # DEPENDENCYPART_ARC
(20,8),-1.02337 # DEPENDENCYPART_ARC
(20,9),-1.72513 # DEPENDENCYPART_ARC
