# _root_ Revenue was $ 444.9 million , including net interest , down slightly from $ 450.7 million .
#goldHeads=2,0,2,3,3,3,3,9,7,3,2,11,11,13,14,14,2,
#predictedHeads=2,0,2,3,3,2,2,9,7,2,2,11,11,13,14,14,2,
(2,5),1.37241 # DEPENDENCYPART_ARC
(2,6),2.98305 # DEPENDENCYPART_ARC
(2,7),2.28382 # DEPENDENCYPART_ARC
(2,8),0.784557 # DEPENDENCYPART_ARC
(2,9),1.28326 # DEPENDENCYPART_ARC
(2,10),2.27477 # DEPENDENCYPART_ARC
(2,11),2.36029 # DEPENDENCYPART_ARC
(2,12),0.634557 # DEPENDENCYPART_ARC
(2,13),-0.142119 # DEPENDENCYPART_ARC
(2,14),-0.928067 # DEPENDENCYPART_ARC
(2,15),-0.86635 # DEPENDENCYPART_ARC
(2,16),-0.611111 # DEPENDENCYPART_ARC
(2,17),5.20568 # DEPENDENCYPART_ARC
(3,1),0.553139 # DEPENDENCYPART_ARC
(3,2),0.858305 # DEPENDENCYPART_ARC
(3,4),4.24889 # DEPENDENCYPART_ARC
(3,5),3.83495 # DEPENDENCYPART_ARC
(3,6),2.3942 # DEPENDENCYPART_ARC
(3,7),2.25013 # DEPENDENCYPART_ARC
(3,8),1.63303 # DEPENDENCYPART_ARC
(3,9),0.806115 # DEPENDENCYPART_ARC
(3,10),1.74847 # DEPENDENCYPART_ARC
(3,11),0.82107 # DEPENDENCYPART_ARC
(3,12),-0.00552171 # DEPENDENCYPART_ARC
(3,13),-0.394773 # DEPENDENCYPART_ARC
(3,14),-2.23229 # DEPENDENCYPART_ARC
(3,15),-1.4211 # DEPENDENCYPART_ARC
(3,16),-1.68245 # DEPENDENCYPART_ARC
(3,17),0.182251 # DEPENDENCYPART_ARC
(4,1),-1.97018 # DEPENDENCYPART_ARC
(4,2),-1.50998 # DEPENDENCYPART_ARC
(4,3),-0.665423 # DEPENDENCYPART_ARC
(4,5),1.56822 # DEPENDENCYPART_ARC
(4,6),-0.419118 # DEPENDENCYPART_ARC
(4,7),-0.455342 # DEPENDENCYPART_ARC
(4,8),-0.766574 # DEPENDENCYPART_ARC
(4,9),-1.11293 # DEPENDENCYPART_ARC
(4,10),-0.165582 # DEPENDENCYPART_ARC
(4,11),-0.722011 # DEPENDENCYPART_ARC
(4,12),-1.12394 # DEPENDENCYPART_ARC
(4,13),-1.72372 # DEPENDENCYPART_ARC
(4,14),-1.63696 # DEPENDENCYPART_ARC
(4,15),-1.30428 # DEPENDENCYPART_ARC
(4,16),-1.04401 # DEPENDENCYPART_ARC
(4,17),-0.688736 # DEPENDENCYPART_ARC
(5,1),-0.877902 # DEPENDENCYPART_ARC
(5,2),-0.424513 # DEPENDENCYPART_ARC
(5,3),0.362531 # DEPENDENCYPART_ARC
(5,4),1.83173 # DEPENDENCYPART_ARC
(5,6),0.680098 # DEPENDENCYPART_ARC
(5,7),0.157633 # DEPENDENCYPART_ARC
(5,8),-0.251145 # DEPENDENCYPART_ARC
(5,9),-0.071006 # DEPENDENCYPART_ARC
(5,10),0.0976865 # DEPENDENCYPART_ARC
(5,11),-0.40477 # DEPENDENCYPART_ARC
(5,12),-0.963306 # DEPENDENCYPART_ARC
(5,13),-1.572 # DEPENDENCYPART_ARC
(5,14),-1.23089 # DEPENDENCYPART_ARC
(5,15),-1.25953 # DEPENDENCYPART_ARC
(5,16),-1.35331 # DEPENDENCYPART_ARC
(5,17),-0.520618 # DEPENDENCYPART_ARC
(6,1),-1.52142 # DEPENDENCYPART_ARC
(6,2),-1.42908 # DEPENDENCYPART_ARC
(6,3),-0.726081 # DEPENDENCYPART_ARC
(6,4),-1.12547 # DEPENDENCYPART_ARC
(6,5),-0.442763 # DEPENDENCYPART_ARC
(6,7),-0.293785 # DEPENDENCYPART_ARC
(6,8),-0.944336 # DEPENDENCYPART_ARC
(6,9),-1.52482 # DEPENDENCYPART_ARC
(6,10),-0.0613927 # DEPENDENCYPART_ARC
(6,11),-1.8017 # DEPENDENCYPART_ARC
(6,12),-1.83094 # DEPENDENCYPART_ARC
(6,13),-1.38244 # DEPENDENCYPART_ARC
(6,14),-2.53759 # DEPENDENCYPART_ARC
(6,15),-2.63769 # DEPENDENCYPART_ARC
(6,16),-2.73514 # DEPENDENCYPART_ARC
(6,17),-1.57869 # DEPENDENCYPART_ARC
(7,1),-1.09017 # DEPENDENCYPART_ARC
(7,2),-0.854273 # DEPENDENCYPART_ARC
(7,3),0.22894 # DEPENDENCYPART_ARC
(7,4),0.0990308 # DEPENDENCYPART_ARC
(7,5),0.0171619 # DEPENDENCYPART_ARC
(7,6),0.547259 # DEPENDENCYPART_ARC
(7,8),1.23903 # DEPENDENCYPART_ARC
(7,9),3.02746 # DEPENDENCYPART_ARC
(7,10),0.981218 # DEPENDENCYPART_ARC
(7,11),0.839793 # DEPENDENCYPART_ARC
(7,12),0.131208 # DEPENDENCYPART_ARC
(7,13),-0.00784053 # DEPENDENCYPART_ARC
(7,14),-0.122631 # DEPENDENCYPART_ARC
(7,15),-0.463488 # DEPENDENCYPART_ARC
(7,16),-0.230528 # DEPENDENCYPART_ARC
(7,17),0.912051 # DEPENDENCYPART_ARC
(8,1),-2.44901 # DEPENDENCYPART_ARC
(8,2),-2.64733 # DEPENDENCYPART_ARC
(8,3),-0.713343 # DEPENDENCYPART_ARC
(8,4),-0.807624 # DEPENDENCYPART_ARC
(8,5),-0.899316 # DEPENDENCYPART_ARC
(8,6),-0.803046 # DEPENDENCYPART_ARC
(8,7),-0.29077 # DEPENDENCYPART_ARC
(8,9),1.97863 # DEPENDENCYPART_ARC
(8,10),0.450608 # DEPENDENCYPART_ARC
(8,11),0.276782 # DEPENDENCYPART_ARC
(8,12),0.0639738 # DEPENDENCYPART_ARC
(8,13),-0.0399882 # DEPENDENCYPART_ARC
(8,14),-0.618878 # DEPENDENCYPART_ARC
(8,15),-0.744399 # DEPENDENCYPART_ARC
(8,16),-0.634998 # DEPENDENCYPART_ARC
(8,17),0.459128 # DEPENDENCYPART_ARC
(9,1),-0.988736 # DEPENDENCYPART_ARC
(9,2),-0.500656 # DEPENDENCYPART_ARC
(9,3),0.687461 # DEPENDENCYPART_ARC
(9,4),0.720073 # DEPENDENCYPART_ARC
(9,5),0.137482 # DEPENDENCYPART_ARC
(9,6),0.68355 # DEPENDENCYPART_ARC
(9,7),1.28739 # DEPENDENCYPART_ARC
(9,8),4.11109 # DEPENDENCYPART_ARC
(9,10),1.84765 # DEPENDENCYPART_ARC
(9,11),0.712847 # DEPENDENCYPART_ARC
(9,12),0.852783 # DEPENDENCYPART_ARC
(9,13),0.440815 # DEPENDENCYPART_ARC
(9,14),0.255278 # DEPENDENCYPART_ARC
(9,15),0.689249 # DEPENDENCYPART_ARC
(9,16),0.0787594 # DEPENDENCYPART_ARC
(9,17),0.410094 # DEPENDENCYPART_ARC
(10,1),-1.57402 # DEPENDENCYPART_ARC
(10,2),-1.73562 # DEPENDENCYPART_ARC
(10,3),-1.5749 # DEPENDENCYPART_ARC
(10,4),-1.65701 # DEPENDENCYPART_ARC
(10,5),-1.63954 # DEPENDENCYPART_ARC
(10,6),-0.172996 # DEPENDENCYPART_ARC
(10,7),-0.867448 # DEPENDENCYPART_ARC
(10,8),-1.21556 # DEPENDENCYPART_ARC
(10,9),-0.983468 # DEPENDENCYPART_ARC
(10,11),-0.0854178 # DEPENDENCYPART_ARC
(10,12),-0.651885 # DEPENDENCYPART_ARC
(10,13),-0.40748 # DEPENDENCYPART_ARC
(10,14),-1.22736 # DEPENDENCYPART_ARC
(10,15),-1.39668 # DEPENDENCYPART_ARC
(10,16),-1.77869 # DEPENDENCYPART_ARC
(10,17),-0.83636 # DEPENDENCYPART_ARC
(11,1),-1.27863 # DEPENDENCYPART_ARC
(11,2),-1.40643 # DEPENDENCYPART_ARC
(11,3),-0.792651 # DEPENDENCYPART_ARC
(11,4),-1.0271 # DEPENDENCYPART_ARC
(11,5),-0.957291 # DEPENDENCYPART_ARC
(11,6),-0.636771 # DEPENDENCYPART_ARC
(11,7),-0.927101 # DEPENDENCYPART_ARC
(11,8),0.183598 # DEPENDENCYPART_ARC
(11,9),-0.187473 # DEPENDENCYPART_ARC
(11,10),0.640413 # DEPENDENCYPART_ARC
(11,12),2.82978 # DEPENDENCYPART_ARC
(11,13),4.10475 # DEPENDENCYPART_ARC
(11,14),2.04587 # DEPENDENCYPART_ARC
(11,15),0.282866 # DEPENDENCYPART_ARC
(11,16),0.384219 # DEPENDENCYPART_ARC
(11,17),0.398373 # DEPENDENCYPART_ARC
(12,1),-2.67519 # DEPENDENCYPART_ARC
(12,2),-2.00005 # DEPENDENCYPART_ARC
(12,3),-1.19504 # DEPENDENCYPART_ARC
(12,4),-1.74531 # DEPENDENCYPART_ARC
(12,5),-1.66733 # DEPENDENCYPART_ARC
(12,6),-1.38427 # DEPENDENCYPART_ARC
(12,7),-1.72617 # DEPENDENCYPART_ARC
(12,8),-0.822833 # DEPENDENCYPART_ARC
(12,9),-1.24897 # DEPENDENCYPART_ARC
(12,10),-0.660016 # DEPENDENCYPART_ARC
(12,11),0.154812 # DEPENDENCYPART_ARC
(12,13),2.06865 # DEPENDENCYPART_ARC
(12,14),0.486936 # DEPENDENCYPART_ARC
(12,15),1.28968 # DEPENDENCYPART_ARC
(12,16),1.44176 # DEPENDENCYPART_ARC
(12,17),-0.385489 # DEPENDENCYPART_ARC
(13,1),-2.56202 # DEPENDENCYPART_ARC
(13,2),-1.42828 # DEPENDENCYPART_ARC
(13,3),-1.30381 # DEPENDENCYPART_ARC
(13,4),-0.994061 # DEPENDENCYPART_ARC
(13,5),-1.04905 # DEPENDENCYPART_ARC
(13,6),-0.888394 # DEPENDENCYPART_ARC
(13,7),-1.00445 # DEPENDENCYPART_ARC
(13,8),-0.650979 # DEPENDENCYPART_ARC
(13,9),-1.3523 # DEPENDENCYPART_ARC
(13,10),0.141719 # DEPENDENCYPART_ARC
(13,11),0.568826 # DEPENDENCYPART_ARC
(13,12),0.726481 # DEPENDENCYPART_ARC
(13,14),3.21818 # DEPENDENCYPART_ARC
(13,15),1.34033 # DEPENDENCYPART_ARC
(13,16),1.4272 # DEPENDENCYPART_ARC
(13,17),0.452288 # DEPENDENCYPART_ARC
(14,1),-2.71929 # DEPENDENCYPART_ARC
(14,2),-2.25546 # DEPENDENCYPART_ARC
(14,3),-1.5209 # DEPENDENCYPART_ARC
(14,4),-1.85259 # DEPENDENCYPART_ARC
(14,5),-1.79685 # DEPENDENCYPART_ARC
(14,6),-1.70678 # DEPENDENCYPART_ARC
(14,7),-1.74226 # DEPENDENCYPART_ARC
(14,8),-1.11927 # DEPENDENCYPART_ARC
(14,9),-1.13093 # DEPENDENCYPART_ARC
(14,10),-0.810161 # DEPENDENCYPART_ARC
(14,11),-0.0975771 # DEPENDENCYPART_ARC
(14,12),1.07143 # DEPENDENCYPART_ARC
(14,13),1.96782 # DEPENDENCYPART_ARC
(14,15),4.50482 # DEPENDENCYPART_ARC
(14,16),3.66705 # DEPENDENCYPART_ARC
(14,17),0.22172 # DEPENDENCYPART_ARC
(15,1),-4.30849 # DEPENDENCYPART_ARC
(15,2),-3.5944 # DEPENDENCYPART_ARC
(15,3),-3.85508 # DEPENDENCYPART_ARC
(15,4),-2.75115 # DEPENDENCYPART_ARC
(15,5),-3.07013 # DEPENDENCYPART_ARC
(15,6),-2.82383 # DEPENDENCYPART_ARC
(15,7),-2.9088 # DEPENDENCYPART_ARC
(15,8),-2.31291 # DEPENDENCYPART_ARC
(15,9),-3.1185 # DEPENDENCYPART_ARC
(15,10),-2.12359 # DEPENDENCYPART_ARC
(15,11),-1.96733 # DEPENDENCYPART_ARC
(15,12),-1.32109 # DEPENDENCYPART_ARC
(15,13),-1.20361 # DEPENDENCYPART_ARC
(15,14),-0.735999 # DEPENDENCYPART_ARC
(15,16),1.45327 # DEPENDENCYPART_ARC
(15,17),-0.741281 # DEPENDENCYPART_ARC
(16,1),-2.95638 # DEPENDENCYPART_ARC
(16,2),-2.16567 # DEPENDENCYPART_ARC
(16,3),-2.05716 # DEPENDENCYPART_ARC
(16,4),-1.1685 # DEPENDENCYPART_ARC
(16,5),-2.10962 # DEPENDENCYPART_ARC
(16,6),-1.11393 # DEPENDENCYPART_ARC
(16,7),-1.26993 # DEPENDENCYPART_ARC
(16,8),-0.722332 # DEPENDENCYPART_ARC
(16,9),-1.79875 # DEPENDENCYPART_ARC
(16,10),-0.842625 # DEPENDENCYPART_ARC
(16,11),-0.600731 # DEPENDENCYPART_ARC
(16,12),0.179729 # DEPENDENCYPART_ARC
(16,13),0.0398978 # DEPENDENCYPART_ARC
(16,14),0.404776 # DEPENDENCYPART_ARC
(16,15),2.23555 # DEPENDENCYPART_ARC
(16,17),-0.767022 # DEPENDENCYPART_ARC
(17,1),-2.4939 # DEPENDENCYPART_ARC
(17,2),-1.66205 # DEPENDENCYPART_ARC
(17,3),-2.60509 # DEPENDENCYPART_ARC
(17,4),-2.20866 # DEPENDENCYPART_ARC
(17,5),-2.15301 # DEPENDENCYPART_ARC
(17,6),-0.555858 # DEPENDENCYPART_ARC
(17,7),-1.09473 # DEPENDENCYPART_ARC
(17,8),-1.62945 # DEPENDENCYPART_ARC
(17,9),-1.42058 # DEPENDENCYPART_ARC
(17,10),-0.468538 # DEPENDENCYPART_ARC
(17,11),-1.35046 # DEPENDENCYPART_ARC
(17,12),-1.35129 # DEPENDENCYPART_ARC
(17,13),-1.10355 # DEPENDENCYPART_ARC
(17,14),-0.935652 # DEPENDENCYPART_ARC
(17,15),-1.40989 # DEPENDENCYPART_ARC
(17,16),-0.870428 # DEPENDENCYPART_ARC
