# _root_ Security Pacific 's loan-loss provision was down 22 % , or $ 30.4 million , because it added to its foreign-debt reserve the year before .
#goldHeads=2,5,2,5,6,0,6,9,7,9,9,11,12,12,9,6,18,16,18,22,22,19,24,25,18,6,
#predictedHeads=2,5,2,5,6,0,6,9,7,6,9,11,12,12,9,6,18,16,18,22,22,19,24,25,22,6,
(4,14),-1.45894 # DEPENDENCYPART_ARC
(4,15),-1.02916 # DEPENDENCYPART_ARC
(4,16),-2.11624 # DEPENDENCYPART_ARC
(4,17),-1.67264 # DEPENDENCYPART_ARC
(4,18),-1.58782 # DEPENDENCYPART_ARC
(4,19),-1.81528 # DEPENDENCYPART_ARC
(4,20),-2.6505 # DEPENDENCYPART_ARC
(4,21),-1.91073 # DEPENDENCYPART_ARC
(4,22),-2.19194 # DEPENDENCYPART_ARC
(4,23),-3.19326 # DEPENDENCYPART_ARC
(4,24),-2.50459 # DEPENDENCYPART_ARC
(4,25),-3.03812 # DEPENDENCYPART_ARC
(4,26),-0.566412 # DEPENDENCYPART_ARC
(5,1),3.02614 # DEPENDENCYPART_ARC
(5,2),4.29854 # DEPENDENCYPART_ARC
(5,3),2.49545 # DEPENDENCYPART_ARC
(5,4),4.44932 # DEPENDENCYPART_ARC
(5,6),1.26209 # DEPENDENCYPART_ARC
(5,7),0.413162 # DEPENDENCYPART_ARC
(5,8),0.512866 # DEPENDENCYPART_ARC
(5,9),-0.392219 # DEPENDENCYPART_ARC
(5,10),0.426388 # DEPENDENCYPART_ARC
(5,11),0.15328 # DEPENDENCYPART_ARC
(5,12),-0.439558 # DEPENDENCYPART_ARC
(5,13),-0.166295 # DEPENDENCYPART_ARC
(5,14),-0.66023 # DEPENDENCYPART_ARC
(5,15),0.823789 # DEPENDENCYPART_ARC
(5,16),-1.34332 # DEPENDENCYPART_ARC
(5,17),-1.00322 # DEPENDENCYPART_ARC
(5,18),-1.39885 # DEPENDENCYPART_ARC
(5,19),-1.44546 # DEPENDENCYPART_ARC
(5,20),-2.11954 # DEPENDENCYPART_ARC
(5,21),-1.45365 # DEPENDENCYPART_ARC
(5,22),-1.90381 # DEPENDENCYPART_ARC
(5,23),-1.62474 # DEPENDENCYPART_ARC
(5,24),-3.11257 # DEPENDENCYPART_ARC
(5,25),-1.63044 # DEPENDENCYPART_ARC
(5,26),0.670992 # DEPENDENCYPART_ARC
(6,1),1.22406 # DEPENDENCYPART_ARC
(6,2),1.29911 # DEPENDENCYPART_ARC
(6,3),0.49538 # DEPENDENCYPART_ARC
(6,4),1.08118 # DEPENDENCYPART_ARC
(6,5),2.61134 # DEPENDENCYPART_ARC
(6,7),2.56467 # DEPENDENCYPART_ARC
(6,8),0.596348 # DEPENDENCYPART_ARC
(6,9),1.52566 # DEPENDENCYPART_ARC
(6,10),2.18489 # DEPENDENCYPART_ARC
(6,11),0.289429 # DEPENDENCYPART_ARC
(6,12),-0.384836 # DEPENDENCYPART_ARC
(6,13),-0.893813 # DEPENDENCYPART_ARC
(6,14),-0.721655 # DEPENDENCYPART_ARC
(6,15),1.51393 # DEPENDENCYPART_ARC
(6,16),2.69803 # DEPENDENCYPART_ARC
(6,17),-0.530232 # DEPENDENCYPART_ARC
(6,18),-0.207028 # DEPENDENCYPART_ARC
(6,19),-0.0389784 # DEPENDENCYPART_ARC
(6,20),-1.66551 # DEPENDENCYPART_ARC
(6,21),-0.677847 # DEPENDENCYPART_ARC
(6,22),-2.05384 # DEPENDENCYPART_ARC
(6,23),-2.05687 # DEPENDENCYPART_ARC
(6,24),-2.16466 # DEPENDENCYPART_ARC
(6,25),-1.35074 # DEPENDENCYPART_ARC
(6,26),4.76738 # DEPENDENCYPART_ARC
(7,1),-1.22957 # DEPENDENCYPART_ARC
(7,2),-1.23837 # DEPENDENCYPART_ARC
(7,3),-0.734121 # DEPENDENCYPART_ARC
(7,4),0.12393 # DEPENDENCYPART_ARC
(7,5),-0.223053 # DEPENDENCYPART_ARC
(7,6),0.259417 # DEPENDENCYPART_ARC
(7,8),2.45296 # DEPENDENCYPART_ARC
(7,9),2.828 # DEPENDENCYPART_ARC
(7,10),1.38586 # DEPENDENCYPART_ARC
(7,11),0.749632 # DEPENDENCYPART_ARC
(7,12),1.05498 # DEPENDENCYPART_ARC
(7,13),-0.877288 # DEPENDENCYPART_ARC
(7,14),-0.621466 # DEPENDENCYPART_ARC
(7,15),1.05311 # DEPENDENCYPART_ARC
(7,16),-0.425069 # DEPENDENCYPART_ARC
(7,17),-0.450719 # DEPENDENCYPART_ARC
(7,18),-0.74214 # DEPENDENCYPART_ARC
(7,19),-0.278671 # DEPENDENCYPART_ARC
(7,20),-1.11315 # DEPENDENCYPART_ARC
(7,21),-0.524416 # DEPENDENCYPART_ARC
(7,22),-1.39991 # DEPENDENCYPART_ARC
(7,23),-1.2722 # DEPENDENCYPART_ARC
(7,24),-1.96346 # DEPENDENCYPART_ARC
(7,25),-1.60328 # DEPENDENCYPART_ARC
(7,26),1.17247 # DEPENDENCYPART_ARC
(8,1),-1.49662 # DEPENDENCYPART_ARC
(8,2),-1.32976 # DEPENDENCYPART_ARC
(8,3),-1.57006 # DEPENDENCYPART_ARC
(8,4),-0.562869 # DEPENDENCYPART_ARC
(8,5),-1.02832 # DEPENDENCYPART_ARC
(8,6),-0.584855 # DEPENDENCYPART_ARC
(8,7),0.590792 # DEPENDENCYPART_ARC
(8,9),1.12928 # DEPENDENCYPART_ARC
(8,10),0.448467 # DEPENDENCYPART_ARC
(8,11),0.459252 # DEPENDENCYPART_ARC
(8,12),-0.0818599 # DEPENDENCYPART_ARC
(8,13),-0.677438 # DEPENDENCYPART_ARC
(8,14),-0.565844 # DEPENDENCYPART_ARC
(8,15),0.15081 # DEPENDENCYPART_ARC
(8,16),-0.866022 # DEPENDENCYPART_ARC
(8,17),-1.17674 # DEPENDENCYPART_ARC
(8,18),-0.749063 # DEPENDENCYPART_ARC
(8,19),-1.13473 # DEPENDENCYPART_ARC
(8,20),-1.7863 # DEPENDENCYPART_ARC
(8,21),-1.48402 # DEPENDENCYPART_ARC
(8,22),-1.89221 # DEPENDENCYPART_ARC
(8,23),-2.01181 # DEPENDENCYPART_ARC
(8,24),-1.86851 # DEPENDENCYPART_ARC
(8,25),-1.55519 # DEPENDENCYPART_ARC
(8,26),-0.524955 # DEPENDENCYPART_ARC
(9,1),-1.01808 # DEPENDENCYPART_ARC
(9,2),-0.50764 # DEPENDENCYPART_ARC
(9,3),-0.538348 # DEPENDENCYPART_ARC
(9,4),1.23805 # DEPENDENCYPART_ARC
(9,5),-0.398623 # DEPENDENCYPART_ARC
(9,6),-0.0984813 # DEPENDENCYPART_ARC
(9,7),1.54038 # DEPENDENCYPART_ARC
(9,8),3.7326 # DEPENDENCYPART_ARC
(9,10),1.7637 # DEPENDENCYPART_ARC
(9,11),1.87438 # DEPENDENCYPART_ARC
(9,12),-0.171708 # DEPENDENCYPART_ARC
(9,13),0.186603 # DEPENDENCYPART_ARC
(9,14),-0.391748 # DEPENDENCYPART_ARC
(9,15),1.74628 # DEPENDENCYPART_ARC
(9,16),-0.62201 # DEPENDENCYPART_ARC
(9,17),-0.782321 # DEPENDENCYPART_ARC
(9,18),-1.07527 # DEPENDENCYPART_ARC
(9,19),-1.63077 # DEPENDENCYPART_ARC
(9,20),-1.94992 # DEPENDENCYPART_ARC
(9,21),-1.20081 # DEPENDENCYPART_ARC
(9,22),-0.94882 # DEPENDENCYPART_ARC
(9,23),-1.48776 # DEPENDENCYPART_ARC
(9,24),-1.9798 # DEPENDENCYPART_ARC
(9,25),-1.99469 # DEPENDENCYPART_ARC
(9,26),0.917674 # DEPENDENCYPART_ARC
(10,1),-2.45702 # DEPENDENCYPART_ARC
(10,2),-2.38279 # DEPENDENCYPART_ARC
(10,3),-2.01681 # DEPENDENCYPART_ARC
(10,4),-1.8719 # DEPENDENCYPART_ARC
(10,5),-2.04659 # DEPENDENCYPART_ARC
(10,6),-1.79561 # DEPENDENCYPART_ARC
(10,7),-1.69896 # DEPENDENCYPART_ARC
(10,8),-1.38393 # DEPENDENCYPART_ARC
(10,9),-0.84996 # DEPENDENCYPART_ARC
(10,11),-0.0442226 # DEPENDENCYPART_ARC
(10,12),-0.636927 # DEPENDENCYPART_ARC
(10,13),-0.960847 # DEPENDENCYPART_ARC
(10,14),-1.22745 # DEPENDENCYPART_ARC
(10,15),0.595094 # DEPENDENCYPART_ARC
(10,16),-0.855325 # DEPENDENCYPART_ARC
(10,17),-1.45625 # DEPENDENCYPART_ARC
(10,18),-1.18702 # DEPENDENCYPART_ARC
(10,19),-1.48031 # DEPENDENCYPART_ARC
(10,20),-2.10604 # DEPENDENCYPART_ARC
(10,21),-2.09144 # DEPENDENCYPART_ARC
(10,22),-2.29179 # DEPENDENCYPART_ARC
(10,23),-2.18538 # DEPENDENCYPART_ARC
(10,24),-2.52737 # DEPENDENCYPART_ARC
(10,25),-2.27009 # DEPENDENCYPART_ARC
(10,26),-1.65352 # DEPENDENCYPART_ARC
(11,1),-1.28888 # DEPENDENCYPART_ARC
(11,2),-1.30639 # DEPENDENCYPART_ARC
(11,3),-1.59678 # DEPENDENCYPART_ARC
(11,4),-1.38505 # DEPENDENCYPART_ARC
(11,5),-1.31763 # DEPENDENCYPART_ARC
(11,6),-0.74609 # DEPENDENCYPART_ARC
(11,7),-1.173 # DEPENDENCYPART_ARC
(11,8),-0.635071 # DEPENDENCYPART_ARC
(11,9),-0.486473 # DEPENDENCYPART_ARC
(11,10),-0.376167 # DEPENDENCYPART_ARC
(11,12),2.97409 # DEPENDENCYPART_ARC
(11,13),1.42941 # DEPENDENCYPART_ARC
(11,14),0.794063 # DEPENDENCYPART_ARC
(11,15),0.516514 # DEPENDENCYPART_ARC
(11,16),0.079287 # DEPENDENCYPART_ARC
(11,17),-0.441806 # DEPENDENCYPART_ARC
(11,18),0.44426 # DEPENDENCYPART_ARC
(11,19),0.827691 # DEPENDENCYPART_ARC
(11,20),-1.14238 # DEPENDENCYPART_ARC
(11,21),-1.33528 # DEPENDENCYPART_ARC
(11,22),-1.5659 # DEPENDENCYPART_ARC
(11,23),-1.8087 # DEPENDENCYPART_ARC
(11,24),-3.61589 # DEPENDENCYPART_ARC
(11,25),-1.63944 # DEPENDENCYPART_ARC
(11,26),-0.272464 # DEPENDENCYPART_ARC
(12,1),-2.44316 # DEPENDENCYPART_ARC
(12,2),-2.05501 # DEPENDENCYPART_ARC
(12,3),-1.76413 # DEPENDENCYPART_ARC
(12,4),-1.4175 # DEPENDENCYPART_ARC
(12,5),-1.46586 # DEPENDENCYPART_ARC
(12,6),-1.38295 # DEPENDENCYPART_ARC
(12,7),-0.825129 # DEPENDENCYPART_ARC
(12,8),-0.528753 # DEPENDENCYPART_ARC
(12,9),-0.527248 # DEPENDENCYPART_ARC
(12,10),0.223875 # DEPENDENCYPART_ARC
(12,11),0.899099 # DEPENDENCYPART_ARC
(12,13),4.9183 # DEPENDENCYPART_ARC
(12,14),3.52106 # DEPENDENCYPART_ARC
(12,15),1.48586 # DEPENDENCYPART_ARC
(12,16),0.24506 # DEPENDENCYPART_ARC
(12,17),0.35215 # DEPENDENCYPART_ARC
(12,18),1.12179 # DEPENDENCYPART_ARC
(12,19),0.315754 # DEPENDENCYPART_ARC
(12,20),-0.432671 # DEPENDENCYPART_ARC
(12,21),0.444366 # DEPENDENCYPART_ARC
(12,22),-0.762829 # DEPENDENCYPART_ARC
(12,23),-0.643562 # DEPENDENCYPART_ARC
(12,24),-0.802939 # DEPENDENCYPART_ARC
(12,25),-0.665913 # DEPENDENCYPART_ARC
(12,26),-0.290386 # DEPENDENCYPART_ARC
(13,1),-3.47363 # DEPENDENCYPART_ARC
(13,2),-3.33526 # DEPENDENCYPART_ARC
(13,3),-3.34007 # DEPENDENCYPART_ARC
(13,4),-2.47782 # DEPENDENCYPART_ARC
(13,5),-3.34109 # DEPENDENCYPART_ARC
(13,6),-2.83396 # DEPENDENCYPART_ARC
(13,7),-2.21656 # DEPENDENCYPART_ARC
(13,8),-1.59973 # DEPENDENCYPART_ARC
(13,9),-2.42671 # DEPENDENCYPART_ARC
(13,10),-1.17642 # DEPENDENCYPART_ARC
(13,11),-1.02918 # DEPENDENCYPART_ARC
(13,12),-0.679634 # DEPENDENCYPART_ARC
(13,14),1.93493 # DEPENDENCYPART_ARC
(13,15),-0.291607 # DEPENDENCYPART_ARC
(13,16),-0.53021 # DEPENDENCYPART_ARC
(13,17),-0.92236 # DEPENDENCYPART_ARC
(13,18),-0.416611 # DEPENDENCYPART_ARC
(13,19),-0.550125 # DEPENDENCYPART_ARC
(13,20),-1.31341 # DEPENDENCYPART_ARC
(13,21),-0.948996 # DEPENDENCYPART_ARC
(13,22),-1.12485 # DEPENDENCYPART_ARC
(13,23),-1.5046 # DEPENDENCYPART_ARC
(13,24),-1.26864 # DEPENDENCYPART_ARC
(13,25),-1.25551 # DEPENDENCYPART_ARC
(13,26),-0.449301 # DEPENDENCYPART_ARC
(14,1),-1.7867 # DEPENDENCYPART_ARC
(14,2),-1.66162 # DEPENDENCYPART_ARC
(14,3),-1.9096 # DEPENDENCYPART_ARC
(14,4),-0.732198 # DEPENDENCYPART_ARC
(14,5),-1.83401 # DEPENDENCYPART_ARC
(14,6),-1.25098 # DEPENDENCYPART_ARC
(14,7),-0.459515 # DEPENDENCYPART_ARC
(14,8),-0.161788 # DEPENDENCYPART_ARC
(14,9),-1.04731 # DEPENDENCYPART_ARC
(14,10),0.310579 # DEPENDENCYPART_ARC
(14,11),-0.12811 # DEPENDENCYPART_ARC
(14,12),0.584635 # DEPENDENCYPART_ARC
(14,13),2.05413 # DEPENDENCYPART_ARC
(14,15),0.318638 # DEPENDENCYPART_ARC
(14,16),-0.81693 # DEPENDENCYPART_ARC
(14,17),-0.997438 # DEPENDENCYPART_ARC
(14,18),-0.554793 # DEPENDENCYPART_ARC
(14,19),-1.25138 # DEPENDENCYPART_ARC
(14,20),-1.54086 # DEPENDENCYPART_ARC
(14,21),-1.05047 # DEPENDENCYPART_ARC
(14,22),-0.580247 # DEPENDENCYPART_ARC
(14,23),-1.73434 # DEPENDENCYPART_ARC
(14,24),-1.01482 # DEPENDENCYPART_ARC
(14,25),-1.55123 # DEPENDENCYPART_ARC
(14,26),-0.779338 # DEPENDENCYPART_ARC
(15,1),-2.81859 # DEPENDENCYPART_ARC
(15,2),-2.67528 # DEPENDENCYPART_ARC
(15,3),-2.27819 # DEPENDENCYPART_ARC
(15,4),-2.23473 # DEPENDENCYPART_ARC
(15,5),-1.93139 # DEPENDENCYPART_ARC
(15,6),-1.79634 # DEPENDENCYPART_ARC
(15,7),-2.37237 # DEPENDENCYPART_ARC
(15,8),-1.78262 # DEPENDENCYPART_ARC
(15,9),-1.11701 # DEPENDENCYPART_ARC
(15,10),-0.494048 # DEPENDENCYPART_ARC
(15,11),-1.70039 # DEPENDENCYPART_ARC
(15,12),-0.732463 # DEPENDENCYPART_ARC
(15,13),-1.13533 # DEPENDENCYPART_ARC
(15,14),-0.459594 # DEPENDENCYPART_ARC
(15,16),-0.944937 # DEPENDENCYPART_ARC
(15,17),-1.57547 # DEPENDENCYPART_ARC
(15,18),-1.3851 # DEPENDENCYPART_ARC
(15,19),-1.98886 # DEPENDENCYPART_ARC
(15,20),-2.60553 # DEPENDENCYPART_ARC
(15,21),-2.49334 # DEPENDENCYPART_ARC
(15,22),-2.8184 # DEPENDENCYPART_ARC
(15,23),-2.68474 # DEPENDENCYPART_ARC
(15,24),-3.10331 # DEPENDENCYPART_ARC
(15,25),-2.74845 # DEPENDENCYPART_ARC
(15,26),-2.1356 # DEPENDENCYPART_ARC
(16,1),-2.50346 # DEPENDENCYPART_ARC
(16,2),-2.59375 # DEPENDENCYPART_ARC
(16,3),-1.63874 # DEPENDENCYPART_ARC
(16,4),-1.75903 # DEPENDENCYPART_ARC
(16,5),-2.6592 # DEPENDENCYPART_ARC
(16,6),-1.54676 # DEPENDENCYPART_ARC
(16,7),-1.17707 # DEPENDENCYPART_ARC
(16,8),-1.07385 # DEPENDENCYPART_ARC
(16,9),-2.06564 # DEPENDENCYPART_ARC
(16,10),-0.682084 # DEPENDENCYPART_ARC
(16,11),-1.0933 # DEPENDENCYPART_ARC
(16,12),-0.501342 # DEPENDENCYPART_ARC
(16,13),-0.122325 # DEPENDENCYPART_ARC
(16,14),-0.367172 # DEPENDENCYPART_ARC
(16,15),0.671347 # DEPENDENCYPART_ARC
(16,17),0.768264 # DEPENDENCYPART_ARC
(16,18),4.18155 # DEPENDENCYPART_ARC
(16,19),0.453018 # DEPENDENCYPART_ARC
(16,20),-0.845132 # DEPENDENCYPART_ARC
(16,21),-0.710249 # DEPENDENCYPART_ARC
(16,22),-2.19431 # DEPENDENCYPART_ARC
(16,23),-2.2311 # DEPENDENCYPART_ARC
(16,24),-4.77573 # DEPENDENCYPART_ARC
(16,25),-1.13172 # DEPENDENCYPART_ARC
(16,26),1.51578 # DEPENDENCYPART_ARC
(17,1),-3.04778 # DEPENDENCYPART_ARC
(17,2),-2.99219 # DEPENDENCYPART_ARC
(17,3),-2.71223 # DEPENDENCYPART_ARC
(17,4),-2.46175 # DEPENDENCYPART_ARC
(17,5),-2.99344 # DEPENDENCYPART_ARC
(17,6),-1.78615 # DEPENDENCYPART_ARC
(17,7),-2.59922 # DEPENDENCYPART_ARC
(17,8),-2.01922 # DEPENDENCYPART_ARC
(17,9),-2.44573 # DEPENDENCYPART_ARC
(17,10),-0.941081 # DEPENDENCYPART_ARC
(17,11),-1.83189 # DEPENDENCYPART_ARC
(17,12),-1.18278 # DEPENDENCYPART_ARC
(17,13),-1.1452 # DEPENDENCYPART_ARC
(17,14),-0.801291 # DEPENDENCYPART_ARC
(17,15),0.121972 # DEPENDENCYPART_ARC
(17,16),0.290979 # DEPENDENCYPART_ARC
(17,18),-1.11566 # DEPENDENCYPART_ARC
(17,19),-1.37085 # DEPENDENCYPART_ARC
(17,20),-3.01001 # DEPENDENCYPART_ARC
(17,21),-3.12239 # DEPENDENCYPART_ARC
(17,22),-2.7013 # DEPENDENCYPART_ARC
(17,23),-2.64717 # DEPENDENCYPART_ARC
(17,24),-2.69171 # DEPENDENCYPART_ARC
(17,25),-3.0917 # DEPENDENCYPART_ARC
(17,26),-2.73174 # DEPENDENCYPART_ARC
(18,1),-1.45716 # DEPENDENCYPART_ARC
(18,2),-1.63547 # DEPENDENCYPART_ARC
(18,3),-2.10343 # DEPENDENCYPART_ARC
(18,4),-1.93976 # DEPENDENCYPART_ARC
(18,5),-2.51804 # DEPENDENCYPART_ARC
(18,6),-0.18999 # DEPENDENCYPART_ARC
(18,7),-0.977885 # DEPENDENCYPART_ARC
(18,8),-1.48656 # DEPENDENCYPART_ARC
(18,9),-2.1065 # DEPENDENCYPART_ARC
(18,10),-1.38825 # DEPENDENCYPART_ARC
(18,11),-1.37353 # DEPENDENCYPART_ARC
(18,12),-0.870794 # DEPENDENCYPART_ARC
(18,13),-0.764965 # DEPENDENCYPART_ARC
(18,14),-0.87175 # DEPENDENCYPART_ARC
(18,15),1.32459 # DEPENDENCYPART_ARC
(18,16),0.659218 # DEPENDENCYPART_ARC
(18,17),3.33099 # DEPENDENCYPART_ARC
(18,19),3.55363 # DEPENDENCYPART_ARC
(18,20),-0.0136357 # DEPENDENCYPART_ARC
(18,21),-0.0217274 # DEPENDENCYPART_ARC
(18,22),0.92739 # DEPENDENCYPART_ARC
(18,23),-0.72299 # DEPENDENCYPART_ARC
(18,24),0.562693 # DEPENDENCYPART_ARC
(18,25),0.709806 # DEPENDENCYPART_ARC
(18,26),2.75616 # DEPENDENCYPART_ARC
(19,1),-1.76524 # DEPENDENCYPART_ARC
(19,2),-1.93237 # DEPENDENCYPART_ARC
(19,3),-1.76374 # DEPENDENCYPART_ARC
(19,4),-1.76675 # DEPENDENCYPART_ARC
(19,5),-2.60198 # DEPENDENCYPART_ARC
(19,6),-1.74392 # DEPENDENCYPART_ARC
(19,7),-2.45277 # DEPENDENCYPART_ARC
(19,8),-1.65479 # DEPENDENCYPART_ARC
(19,9),-1.68374 # DEPENDENCYPART_ARC
(19,10),-0.572346 # DEPENDENCYPART_ARC
(19,11),-1.16389 # DEPENDENCYPART_ARC
(19,12),-1.07413 # DEPENDENCYPART_ARC
(19,13),-0.772375 # DEPENDENCYPART_ARC
(19,14),-0.61231 # DEPENDENCYPART_ARC
(19,15),0.00730093 # DEPENDENCYPART_ARC
(19,16),0.203783 # DEPENDENCYPART_ARC
(19,17),0.43569 # DEPENDENCYPART_ARC
(19,18),0.768345 # DEPENDENCYPART_ARC
(19,20),1.12453 # DEPENDENCYPART_ARC
(19,21),1.46726 # DEPENDENCYPART_ARC
(19,22),2.86182 # DEPENDENCYPART_ARC
(19,23),-0.524912 # DEPENDENCYPART_ARC
(19,24),0.861275 # DEPENDENCYPART_ARC
(19,25),0.696677 # DEPENDENCYPART_ARC
(19,26),0.327011 # DEPENDENCYPART_ARC
(20,1),-3.3339 # DEPENDENCYPART_ARC
(20,2),-3.19614 # DEPENDENCYPART_ARC
(20,3),-3.24782 # DEPENDENCYPART_ARC
(20,4),-2.9511 # DEPENDENCYPART_ARC
(20,5),-3.14919 # DEPENDENCYPART_ARC
(20,6),-2.85672 # DEPENDENCYPART_ARC
(20,7),-3.04076 # DEPENDENCYPART_ARC
(20,8),-2.61109 # DEPENDENCYPART_ARC
