# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,25,20,25,18,11,
(1,7),-2.40637 # DEPENDENCYPART_ARC
(1,8),-2.93921 # DEPENDENCYPART_ARC
(1,9),-2.14205 # DEPENDENCYPART_ARC
(1,10),-1.35555 # DEPENDENCYPART_ARC
(1,11),-2.83202 # DEPENDENCYPART_ARC
(1,12),-3.28948 # DEPENDENCYPART_ARC
(1,13),-3.43642 # DEPENDENCYPART_ARC
(1,14),-2.6223 # DEPENDENCYPART_ARC
(1,15),-3.89442 # DEPENDENCYPART_ARC
(1,16),-3.55395 # DEPENDENCYPART_ARC
(1,17),-3.49607 # DEPENDENCYPART_ARC
(1,18),-3.7629 # DEPENDENCYPART_ARC
(1,19),-4.30727 # DEPENDENCYPART_ARC
(1,20),-4.13862 # DEPENDENCYPART_ARC
(1,21),-3.99882 # DEPENDENCYPART_ARC
(1,22),-4.28095 # DEPENDENCYPART_ARC
(1,23),-4.40542 # DEPENDENCYPART_ARC
(1,24),-4.54181 # DEPENDENCYPART_ARC
(1,25),-4.16848 # DEPENDENCYPART_ARC
(1,26),-3.43735 # DEPENDENCYPART_ARC
(2,1),-0.138056 # DEPENDENCYPART_ARC
(2,3),2.34268 # DEPENDENCYPART_ARC
(2,4),1.20517 # DEPENDENCYPART_ARC
(2,5),1.08826 # DEPENDENCYPART_ARC
(2,6),0.52658 # DEPENDENCYPART_ARC
(2,7),-0.0888828 # DEPENDENCYPART_ARC
(2,8),0.456777 # DEPENDENCYPART_ARC
(2,9),1.18803 # DEPENDENCYPART_ARC
(2,10),0.415585 # DEPENDENCYPART_ARC
(2,11),0.177935 # DEPENDENCYPART_ARC
(2,12),-0.0453759 # DEPENDENCYPART_ARC
(2,13),-0.192861 # DEPENDENCYPART_ARC
(2,14),0.592248 # DEPENDENCYPART_ARC
(2,15),-0.431947 # DEPENDENCYPART_ARC
(2,16),-0.529208 # DEPENDENCYPART_ARC
(2,17),-0.392861 # DEPENDENCYPART_ARC
(2,18),-0.884699 # DEPENDENCYPART_ARC
(2,19),-0.824124 # DEPENDENCYPART_ARC
(2,20),-0.808982 # DEPENDENCYPART_ARC
(2,21),-1.39725 # DEPENDENCYPART_ARC
(2,22),-0.943598 # DEPENDENCYPART_ARC
(2,23),-2.01038 # DEPENDENCYPART_ARC
(2,24),-1.17933 # DEPENDENCYPART_ARC
(2,25),-0.999173 # DEPENDENCYPART_ARC
(2,26),-0.789507 # DEPENDENCYPART_ARC
(3,1),-0.305341 # DEPENDENCYPART_ARC
(3,2),2.24386 # DEPENDENCYPART_ARC
(3,4),1.45566 # DEPENDENCYPART_ARC
(3,5),-0.314215 # DEPENDENCYPART_ARC
(3,6),-0.967848 # DEPENDENCYPART_ARC
(3,7),-0.440655 # DEPENDENCYPART_ARC
(3,8),-0.568335 # DEPENDENCYPART_ARC
(3,9),-0.340281 # DEPENDENCYPART_ARC
(3,10),-0.438605 # DEPENDENCYPART_ARC
(3,11),-0.904474 # DEPENDENCYPART_ARC
(3,12),-1.43578 # DEPENDENCYPART_ARC
(3,13),-1.44158 # DEPENDENCYPART_ARC
(3,14),-0.873412 # DEPENDENCYPART_ARC
(3,15),-2.27645 # DEPENDENCYPART_ARC
(3,16),-1.56887 # DEPENDENCYPART_ARC
(3,17),-1.65856 # DEPENDENCYPART_ARC
(3,18),-1.61991 # DEPENDENCYPART_ARC
(3,19),-2.61479 # DEPENDENCYPART_ARC
(3,20),-2.48852 # DEPENDENCYPART_ARC
(3,21),-2.97098 # DEPENDENCYPART_ARC
(3,22),-2.57141 # DEPENDENCYPART_ARC
(3,23),-2.92145 # DEPENDENCYPART_ARC
(3,24),-2.75862 # DEPENDENCYPART_ARC
(3,25),-2.22987 # DEPENDENCYPART_ARC
(3,26),-2.15403 # DEPENDENCYPART_ARC
(4,1),2.14657 # DEPENDENCYPART_ARC
(4,2),2.49494 # DEPENDENCYPART_ARC
(4,3),2.5532 # DEPENDENCYPART_ARC
(4,5),4.63777 # DEPENDENCYPART_ARC
(4,6),0.43051 # DEPENDENCYPART_ARC
(4,7),0.707756 # DEPENDENCYPART_ARC
(4,8),1.65212 # DEPENDENCYPART_ARC
(4,9),1.84796 # DEPENDENCYPART_ARC
(4,10),1.32417 # DEPENDENCYPART_ARC
(4,11),0.408757 # DEPENDENCYPART_ARC
(4,12),-0.564893 # DEPENDENCYPART_ARC
(4,13),-0.166599 # DEPENDENCYPART_ARC
(4,14),-0.248196 # DEPENDENCYPART_ARC
(4,15),-0.86355 # DEPENDENCYPART_ARC
(4,16),-0.90492 # DEPENDENCYPART_ARC
(4,17),-0.909608 # DEPENDENCYPART_ARC
(4,18),0.368118 # DEPENDENCYPART_ARC
(4,19),-1.4524 # DEPENDENCYPART_ARC
(4,20),-1.9221 # DEPENDENCYPART_ARC
(4,21),0.709702 # DEPENDENCYPART_ARC
(4,22),-2.61135 # DEPENDENCYPART_ARC
(4,23),-1.1893 # DEPENDENCYPART_ARC
(4,24),-2.09125 # DEPENDENCYPART_ARC
(4,25),-2.31407 # DEPENDENCYPART_ARC
(4,26),2.96868 # DEPENDENCYPART_ARC
(5,1),-0.200634 # DEPENDENCYPART_ARC
(5,2),-0.669382 # DEPENDENCYPART_ARC
(5,3),0.694188 # DEPENDENCYPART_ARC
(5,4),0.166761 # DEPENDENCYPART_ARC
(5,6),0.344884 # DEPENDENCYPART_ARC
(5,7),1.55227 # DEPENDENCYPART_ARC
(5,8),3.78171 # DEPENDENCYPART_ARC
(5,9),0.484469 # DEPENDENCYPART_ARC
(5,10),0.0850953 # DEPENDENCYPART_ARC
(5,11),-0.382058 # DEPENDENCYPART_ARC
(5,12),-1.80524 # DEPENDENCYPART_ARC
(5,13),-0.927011 # DEPENDENCYPART_ARC
(5,14),0.0361761 # DEPENDENCYPART_ARC
(5,15),-1.90624 # DEPENDENCYPART_ARC
(5,16),-3.65867 # DEPENDENCYPART_ARC
(5,17),-2.79776 # DEPENDENCYPART_ARC
(5,18),-1.46709 # DEPENDENCYPART_ARC
(5,19),-3.1403 # DEPENDENCYPART_ARC
(5,20),-4.96875 # DEPENDENCYPART_ARC
(5,21),-2.22047 # DEPENDENCYPART_ARC
(5,22),-7.98035 # DEPENDENCYPART_ARC
(5,23),-2.10554 # DEPENDENCYPART_ARC
(5,24),-7.42791 # DEPENDENCYPART_ARC
(5,25),-5.63727 # DEPENDENCYPART_ARC
(5,26),-0.9911 # DEPENDENCYPART_ARC
(6,1),-2.86088 # DEPENDENCYPART_ARC
(6,2),-1.96156 # DEPENDENCYPART_ARC
(6,3),-1.39718 # DEPENDENCYPART_ARC
(6,4),-2.13812 # DEPENDENCYPART_ARC
(6,5),-1.2858 # DEPENDENCYPART_ARC
(6,7),-0.203214 # DEPENDENCYPART_ARC
(6,8),-0.868188 # DEPENDENCYPART_ARC
(6,9),-1.514 # DEPENDENCYPART_ARC
(6,10),-1.58712 # DEPENDENCYPART_ARC
(6,11),-1.57854 # DEPENDENCYPART_ARC
(6,12),-2.32255 # DEPENDENCYPART_ARC
(6,13),-2.32503 # DEPENDENCYPART_ARC
(6,14),-1.81932 # DEPENDENCYPART_ARC
(6,15),-2.88137 # DEPENDENCYPART_ARC
(6,16),-2.1027 # DEPENDENCYPART_ARC
(6,17),-2.45018 # DEPENDENCYPART_ARC
(6,18),-2.53115 # DEPENDENCYPART_ARC
(6,19),-3.5238 # DEPENDENCYPART_ARC
(6,20),-3.43992 # DEPENDENCYPART_ARC
(6,21),-3.55978 # DEPENDENCYPART_ARC
(6,22),-3.44171 # DEPENDENCYPART_ARC
(6,23),-3.80642 # DEPENDENCYPART_ARC
(6,24),-3.62523 # DEPENDENCYPART_ARC
(6,25),-3.28342 # DEPENDENCYPART_ARC
(6,26),-3.59996 # DEPENDENCYPART_ARC
(7,1),-1.34243 # DEPENDENCYPART_ARC
(7,2),-1.46381 # DEPENDENCYPART_ARC
(7,3),-0.519036 # DEPENDENCYPART_ARC
(7,4),-1.22871 # DEPENDENCYPART_ARC
(7,5),-0.0484733 # DEPENDENCYPART_ARC
(7,6),1.90988 # DEPENDENCYPART_ARC
(7,8),0.799493 # DEPENDENCYPART_ARC
(7,9),-0.241007 # DEPENDENCYPART_ARC
(7,10),0.0632321 # DEPENDENCYPART_ARC
(7,11),-0.526157 # DEPENDENCYPART_ARC
(7,12),-0.766561 # DEPENDENCYPART_ARC
(7,13),-1.28466 # DEPENDENCYPART_ARC
(7,14),-0.76964 # DEPENDENCYPART_ARC
(7,15),-1.79331 # DEPENDENCYPART_ARC
(7,16),-1.49874 # DEPENDENCYPART_ARC
(7,17),-1.78455 # DEPENDENCYPART_ARC
(7,18),-2.12358 # DEPENDENCYPART_ARC
(7,19),-2.53865 # DEPENDENCYPART_ARC
(7,20),-2.12895 # DEPENDENCYPART_ARC
(7,21),-3.11888 # DEPENDENCYPART_ARC
(7,22),-2.29885 # DEPENDENCYPART_ARC
(7,23),-1.92132 # DEPENDENCYPART_ARC
(7,24),-2.25273 # DEPENDENCYPART_ARC
(7,25),-2.50162 # DEPENDENCYPART_ARC
(7,26),-1.97143 # DEPENDENCYPART_ARC
(8,1),-0.328882 # DEPENDENCYPART_ARC
(8,2),-0.217801 # DEPENDENCYPART_ARC
(8,3),0.316655 # DEPENDENCYPART_ARC
(8,4),0.246782 # DEPENDENCYPART_ARC
(8,5),1.09175 # DEPENDENCYPART_ARC
(8,6),5.06892 # DEPENDENCYPART_ARC
(8,7),4.7953 # DEPENDENCYPART_ARC
(8,9),1.22802 # DEPENDENCYPART_ARC
(8,10),1.67815 # DEPENDENCYPART_ARC
(8,11),0.753701 # DEPENDENCYPART_ARC
(8,12),0.0466709 # DEPENDENCYPART_ARC
(8,13),0.793919 # DEPENDENCYPART_ARC
(8,14),0.331228 # DEPENDENCYPART_ARC
(8,15),-0.522617 # DEPENDENCYPART_ARC
(8,16),-0.0849855 # DEPENDENCYPART_ARC
(8,17),-0.615206 # DEPENDENCYPART_ARC
(8,18),-0.409851 # DEPENDENCYPART_ARC
(8,19),-1.00411 # DEPENDENCYPART_ARC
(8,20),-1.19021 # DEPENDENCYPART_ARC
(8,21),-1.57948 # DEPENDENCYPART_ARC
(8,22),-1.49867 # DEPENDENCYPART_ARC
(8,23),-2.34438 # DEPENDENCYPART_ARC
(8,24),-1.39188 # DEPENDENCYPART_ARC
(8,25),-1.73581 # DEPENDENCYPART_ARC
(8,26),-0.349665 # DEPENDENCYPART_ARC
(9,1),-1.59278 # DEPENDENCYPART_ARC
(9,2),-1.94052 # DEPENDENCYPART_ARC
(9,3),-1.2064 # DEPENDENCYPART_ARC
(9,4),-1.7121 # DEPENDENCYPART_ARC
(9,5),-1.41941 # DEPENDENCYPART_ARC
(9,6),-0.60343 # DEPENDENCYPART_ARC
(9,7),-1.21395 # DEPENDENCYPART_ARC
(9,8),-1.04429 # DEPENDENCYPART_ARC
(9,10),0.32872 # DEPENDENCYPART_ARC
(9,11),-0.1561 # DEPENDENCYPART_ARC
(9,12),-0.717913 # DEPENDENCYPART_ARC
(9,13),-1.01395 # DEPENDENCYPART_ARC
(9,14),0.300998 # DEPENDENCYPART_ARC
(9,15),-1.51164 # DEPENDENCYPART_ARC
(9,16),-1.97032 # DEPENDENCYPART_ARC
(9,17),-2.17126 # DEPENDENCYPART_ARC
(9,18),-1.37212 # DEPENDENCYPART_ARC
(9,19),-1.99751 # DEPENDENCYPART_ARC
(9,20),-2.17254 # DEPENDENCYPART_ARC
(9,21),-1.78942 # DEPENDENCYPART_ARC
(9,22),-2.38935 # DEPENDENCYPART_ARC
(9,23),-2.4072 # DEPENDENCYPART_ARC
(9,24),-2.5877 # DEPENDENCYPART_ARC
(9,25),-2.93124 # DEPENDENCYPART_ARC
(9,26),-2.04328 # DEPENDENCYPART_ARC
(10,1),-0.00581137 # DEPENDENCYPART_ARC
(10,2),-1.70728 # DEPENDENCYPART_ARC
(10,3),-0.785635 # DEPENDENCYPART_ARC
(10,4),-1.25803 # DEPENDENCYPART_ARC
(10,5),-1.08223 # DEPENDENCYPART_ARC
(10,6),0.106091 # DEPENDENCYPART_ARC
(10,7),-0.753298 # DEPENDENCYPART_ARC
(10,8),-1.05444 # DEPENDENCYPART_ARC
(10,9),0.657708 # DEPENDENCYPART_ARC
(10,11),0.108293 # DEPENDENCYPART_ARC
(10,12),-0.931661 # DEPENDENCYPART_ARC
(10,13),-1.29694 # DEPENDENCYPART_ARC
(10,14),-1.06658 # DEPENDENCYPART_ARC
(10,15),-2.07909 # DEPENDENCYPART_ARC
(10,16),-1.87955 # DEPENDENCYPART_ARC
(10,17),-1.99379 # DEPENDENCYPART_ARC
(10,18),-1.83436 # DEPENDENCYPART_ARC
(10,19),-2.40779 # DEPENDENCYPART_ARC
(10,20),-2.57247 # DEPENDENCYPART_ARC
(10,21),-1.94229 # DEPENDENCYPART_ARC
(10,22),-2.86087 # DEPENDENCYPART_ARC
(10,23),-2.7077 # DEPENDENCYPART_ARC
(10,24),-3.06898 # DEPENDENCYPART_ARC
(10,25),-2.76035 # DEPENDENCYPART_ARC
(10,26),-1.95964 # DEPENDENCYPART_ARC
(11,1),4.05193 # DEPENDENCYPART_ARC
(11,2),-0.077226 # DEPENDENCYPART_ARC
(11,3),-0.069573 # DEPENDENCYPART_ARC
(11,4),0.80207 # DEPENDENCYPART_ARC
(11,5),0.0603641 # DEPENDENCYPART_ARC
(11,6),-0.37095 # DEPENDENCYPART_ARC
(11,7),0.0933781 # DEPENDENCYPART_ARC
(11,8),0.18523 # DEPENDENCYPART_ARC
(11,9),3.5427 # DEPENDENCYPART_ARC
(11,10),3.9074 # DEPENDENCYPART_ARC
(11,12),1.26539 # DEPENDENCYPART_ARC
(11,13),2.64133 # DEPENDENCYPART_ARC
(11,14),1.32732 # DEPENDENCYPART_ARC
(11,15),-0.651139 # DEPENDENCYPART_ARC
(11,16),-0.198558 # DEPENDENCYPART_ARC
(11,17),-0.44769 # DEPENDENCYPART_ARC
(11,18),0.305179 # DEPENDENCYPART_ARC
(11,19),-1.45926 # DEPENDENCYPART_ARC
(11,20),-0.981655 # DEPENDENCYPART_ARC
(11,21),-0.182582 # DEPENDENCYPART_ARC
(11,22),-2.00384 # DEPENDENCYPART_ARC
(11,23),-1.0819 # DEPENDENCYPART_ARC
(11,24),-1.34382 # DEPENDENCYPART_ARC
(11,25),-1.27536 # DEPENDENCYPART_ARC
(11,26),8.07248 # DEPENDENCYPART_ARC
(12,1),-2.41757 # DEPENDENCYPART_ARC
(12,2),-2.75733 # DEPENDENCYPART_ARC
(12,3),-3.15885 # DEPENDENCYPART_ARC
(12,4),-3.07137 # DEPENDENCYPART_ARC
(12,5),-2.42559 # DEPENDENCYPART_ARC
(12,6),-0.912505 # DEPENDENCYPART_ARC
(12,7),-0.820668 # DEPENDENCYPART_ARC
(12,8),-2.32403 # DEPENDENCYPART_ARC
(12,9),-1.51421 # DEPENDENCYPART_ARC
(12,10),-0.750476 # DEPENDENCYPART_ARC
(12,11),-0.413623 # DEPENDENCYPART_ARC
(12,13),1.92111 # DEPENDENCYPART_ARC
(12,14),1.37282 # DEPENDENCYPART_ARC
(12,15),-0.235503 # DEPENDENCYPART_ARC
(12,16),0.432333 # DEPENDENCYPART_ARC
(12,17),0.951006 # DEPENDENCYPART_ARC
(12,18),-1.2692 # DEPENDENCYPART_ARC
(12,19),-0.504491 # DEPENDENCYPART_ARC
(12,20),-1.64446 # DEPENDENCYPART_ARC
(12,21),-0.9569 # DEPENDENCYPART_ARC
(12,22),-2.52589 # DEPENDENCYPART_ARC
(12,23),-0.863737 # DEPENDENCYPART_ARC
(12,24),-2.08274 # DEPENDENCYPART_ARC
(12,25),-1.22272 # DEPENDENCYPART_ARC
(12,26),-0.2661 # DEPENDENCYPART_ARC
(13,1),-0.868199 # DEPENDENCYPART_ARC
(13,2),-1.69209 # DEPENDENCYPART_ARC
(13,3),-1.46499 # DEPENDENCYPART_ARC
(13,4),-1.70695 # DEPENDENCYPART_ARC
(13,5),-1.20235 # DEPENDENCYPART_ARC
(13,6),1.21742 # DEPENDENCYPART_ARC
(13,7),0.570771 # DEPENDENCYPART_ARC
(13,8),-1.56081 # DEPENDENCYPART_ARC
(13,9),-0.535828 # DEPENDENCYPART_ARC
(13,10),0.0971352 # DEPENDENCYPART_ARC
(13,11),0.256065 # DEPENDENCYPART_ARC
(13,12),4.84067 # DEPENDENCYPART_ARC
(13,14),3.55064 # DEPENDENCYPART_ARC
(13,15),0.806342 # DEPENDENCYPART_ARC
(13,16),1.63376 # DEPENDENCYPART_ARC
(13,17),2.77917 # DEPENDENCYPART_ARC
(13,18),0.506943 # DEPENDENCYPART_ARC
(13,19),0.49452 # DEPENDENCYPART_ARC
(13,20),-0.413953 # DEPENDENCYPART_ARC
(13,21),0.00750146 # DEPENDENCYPART_ARC
(13,22),-1.10955 # DEPENDENCYPART_ARC
(13,23),0.726012 # DEPENDENCYPART_ARC
(13,24),-0.835708 # DEPENDENCYPART_ARC
(13,25),0.102647 # DEPENDENCYPART_ARC
(13,26),0.912153 # DEPENDENCYPART_ARC
(14,1),-2.17614 # DEPENDENCYPART_ARC
(14,2),-2.6508 # DEPENDENCYPART_ARC
(14,3),-2.14224 # DEPENDENCYPART_ARC
(14,4),-2.03149 # DEPENDENCYPART_ARC
(14,5),-2.05508 # DEPENDENCYPART_ARC
(14,6),-1.61629 # DEPENDENCYPART_ARC
(14,7),-1.92152 # DEPENDENCYPART_ARC
(14,8),-1.78619 # DEPENDENCYPART_ARC
(14,9),-0.660735 # DEPENDENCYPART_ARC
(14,10),-1.55599 # DEPENDENCYPART_ARC
(14,11),-1.29487 # DEPENDENCYPART_ARC
(14,12),-1.66867 # DEPENDENCYPART_ARC
(14,13),-1.11538 # DEPENDENCYPART_ARC
(14,15),-0.421709 # DEPENDENCYPART_ARC
(14,16),-1.1084 # DEPENDENCYPART_ARC
(14,17),-1.5798 # DEPENDENCYPART_ARC
(14,18),-1.16164 # DEPENDENCYPART_ARC
(14,19),-1.84967 # DEPENDENCYPART_ARC
(14,20),-1.84098 # DEPENDENCYPART_ARC
(14,21),-1.52983 # DEPENDENCYPART_ARC
(14,22),-2.10186 # DEPENDENCYPART_ARC
(14,23),-2.15383 # DEPENDENCYPART_ARC
(14,24),-2.28639 # DEPENDENCYPART_ARC
(14,25),-2.76192 # DEPENDENCYPART_ARC
(14,26),-1.80438 # DEPENDENCYPART_ARC
(15,1),-2.92967 # DEPENDENCYPART_ARC
(15,2),-2.2076 # DEPENDENCYPART_ARC
(15,3),-2.0034 # DEPENDENCYPART_ARC
(15,4),-2.33936 # DEPENDENCYPART_ARC
(15,5),-2.13055 # DEPENDENCYPART_ARC
(15,6),-1.44638 # DEPENDENCYPART_ARC
(15,7),-2.01913 # DEPENDENCYPART_ARC
(15,8),-2.33954 # DEPENDENCYPART_ARC
(15,9),-1.72295 # DEPENDENCYPART_ARC
(15,10),-1.73223 # DEPENDENCYPART_ARC
(15,11),-1.5133 # DEPENDENCYPART_ARC
(15,12),-1.09688 # DEPENDENCYPART_ARC
(15,13),-0.97581 # DEPENDENCYPART_ARC
(15,14),-0.0725393 # DEPENDENCYPART_ARC
(15,16),0.833036 # DEPENDENCYPART_ARC
(15,17),0.202755 # DEPENDENCYPART_ARC
(15,18),-0.182902 # DEPENDENCYPART_ARC
(15,19),-1.23568 # DEPENDENCYPART_ARC
(15,20),-0.885841 # DEPENDENCYPART_ARC
(15,21),-1.10027 # DEPENDENCYPART_ARC
(15,22),-1.21913 # DEPENDENCYPART_ARC
(15,23),-1.51108 # DEPENDENCYPART_ARC
(15,24),-1.38343 # DEPENDENCYPART_ARC
(15,25),-1.23535 # DEPENDENCYPART_ARC
(15,26),-1.22877 # DEPENDENCYPART_ARC
(16,1),-2.72862 # DEPENDENCYPART_ARC
(16,2),-3.42793 # DEPENDENCYPART_ARC
(16,3),-4.72314 # DEPENDENCYPART_ARC
(16,4),-3.12696 # DEPENDENCYPART_ARC
(16,5),-2.08433 # DEPENDENCYPART_ARC
(16,6),-1.13956 # DEPENDENCYPART_ARC
(16,7),-1.80834 # DEPENDENCYPART_ARC
(16,8),-4.03118 # DEPENDENCYPART_ARC
(16,9),-1.44946 # DEPENDENCYPART_ARC
(16,10),-1.87942 # DEPENDENCYPART_ARC
(16,11),-1.99853 # DEPENDENCYPART_ARC
(16,12),-0.95544 # DEPENDENCYPART_ARC
(16,13),-1.62217 # DEPENDENCYPART_ARC
(16,14),-0.0848829 # DEPENDENCYPART_ARC
(16,15),2.70503 # DEPENDENCYPART_ARC
(16,17),1.50423 # DEPENDENCYPART_ARC
(16,18),1.33142 # DEPENDENCYPART_ARC
(16,19),-0.403239 # DEPENDENCYPART_ARC
(16,20),-0.184674 # DEPENDENCYPART_ARC
(16,21),0.64816 # DEPENDENCYPART_ARC
(16,22),-0.756586 # DEPENDENCYPART_ARC
(16,23),-0.470856 # DEPENDENCYPART_ARC
(16,24),-0.879377 # DEPENDENCYPART_ARC
(16,25),-0.926859 # DEPENDENCYPART_ARC
(16,26),0.0780792 # DEPENDENCYPART_ARC
(17,1),-0.759303 # DEPENDENCYPART_ARC
(17,2),-1.81653 # DEPENDENCYPART_ARC
(17,3),-2.84534 # DEPENDENCYPART_ARC
(17,4),-1.73876 # DEPENDENCYPART_ARC
(17,5),-0.897895 # DEPENDENCYPART_ARC
(17,6),0.383635 # DEPENDENCYPART_ARC
(17,7),0.820454 # DEPENDENCYPART_ARC
(17,8),-1.90788 # DEPENDENCYPART_ARC
(17,9),-0.412541 # DEPENDENCYPART_ARC
(17,10),-0.0147321 # DEPENDENCYPART_ARC
(17,11),-0.780093 # DEPENDENCYPART_ARC
(17,12),0.683005 # DEPENDENCYPART_ARC
(17,13),-0.671924 # DEPENDENCYPART_ARC
(17,14),0.360305 # DEPENDENCYPART_ARC
(17,15),4.2164 # DEPENDENCYPART_ARC
(17,16),4.4267 # DEPENDENCYPART_ARC
(17,18),2.78881 # DEPENDENCYPART_ARC
(17,19),0.138445 # DEPENDENCYPART_ARC
(17,20),0.800436 # DEPENDENCYPART_ARC
(17,21),0.698565 # DEPENDENCYPART_ARC
(17,22),0.407392 # DEPENDENCYPART_ARC
(17,23),0.366077 # DEPENDENCYPART_ARC
(17,24),0.396062 # DEPENDENCYPART_ARC
(17,25),-0.10283 # DEPENDENCYPART_ARC
(17,26),0.950528 # DEPENDENCYPART_ARC
(18,1),-1.29312 # DEPENDENCYPART_ARC
(18,2),-2.56629 # DEPENDENCYPART_ARC
(18,3),-1.3378 # DEPENDENCYPART_ARC
(18,4),-2.08113 # DEPENDENCYPART_ARC
(18,5),-1.31315 # DEPENDENCYPART_ARC
(18,6),-1.44056 # DEPENDENCYPART_ARC
(18,7),-1.86887 # DEPENDENCYPART_ARC
(18,8),-2.85762 # DEPENDENCYPART_ARC
(18,9),-1.08135 # DEPENDENCYPART_ARC
(18,10),-1.39022 # DEPENDENCYPART_ARC
(18,11),-1.16638 # DEPENDENCYPART_ARC
(18,12),-0.997247 # DEPENDENCYPART_ARC
(18,13),-1.1915 # DEPENDENCYPART_ARC
(18,14),-0.365269 # DEPENDENCYPART_ARC
(18,15),0.312148 # DEPENDENCYPART_ARC
(18,16),-0.382364 # DEPENDENCYPART_ARC
(18,17),-0.134 # DEPENDENCYPART_ARC
(18,19),0.27314 # DEPENDENCYPART_ARC
(18,20),2.14895 # DEPENDENCYPART_ARC
(18,21),-0.10053 # DEPENDENCYPART_ARC
(18,22),-0.0532739 # DEPENDENCYPART_ARC
(18,23),-0.629536 # DEPENDENCYPART_ARC
(18,24),0.199676 # DEPENDENCYPART_ARC
(18,25),3.07256 # DEPENDENCYPART_ARC
(18,26),-1.59285 # DEPENDENCYPART_ARC
(19,1),-4.68875 # DEPENDENCYPART_ARC
(19,2),-4.0093 # DEPENDENCYPART_ARC
(19,3),-3.97786 # DEPENDENCYPART_ARC
(19,4),-4.16491 # DEPENDENCYPART_ARC
(19,5),-4.22067 # DEPENDENCYPART_ARC
(19,6),-3.53772 # DEPENDENCYPART_ARC
(19,7),-3.93967 # DEPENDENCYPART_ARC
(19,8),-4.30195 # DEPENDENCYPART_ARC
(19,9),-3.57556 # DEPENDENCYPART_ARC
(19,10),-3.79992 # DEPENDENCYPART_ARC
(19,11),-3.42914 # DEPENDENCYPART_ARC
(19,12),-3.36052 # DEPENDENCYPART_ARC
(19,13),-3.22662 # DEPENDENCYPART_ARC
(19,14),-2.87301 # DEPENDENCYPART_ARC
(19,15),-2.08933 # DEPENDENCYPART_ARC
(19,16),-2.68026 # DEPENDENCYPART_ARC
(19,17),-2.72302 # DEPENDENCYPART_ARC
(19,18),-1.52084 # DEPENDENCYPART_ARC
(19,20),-0.819406 # DEPENDENCYPART_ARC
(19,21),-0.899382 # DEPENDENCYPART_ARC
(19,22),-1.37095 # DEPENDENCYPART_ARC
(19,23),-1.86263 # DEPENDENCYPART_ARC
(19,24),-1.7516 # DEPENDENCYPART_ARC
(19,25),-1.59392 # DEPENDENCYPART_ARC
(19,26),-2.11381 # DEPENDENCYPART_ARC
(20,1),-2.12764 # DEPENDENCYPART_ARC
(20,2),-2.63522 # DEPENDENCYPART_ARC
(20,3),-4.42875 # DEPENDENCYPART_ARC
(20,4),-3.20105 # DEPENDENCYPART_ARC
(20,5),-2.63457 # DEPENDENCYPART_ARC
(20,6),-2.42934 # DEPENDENCYPART_ARC
(20,7),-2.06307 # DEPENDENCYPART_ARC
