# _root_ Fidelity , for example , prepared ads several months ago in case of a market plunge .
#goldHeads=6,6,6,3,6,0,6,9,10,6,6,11,12,16,16,13,6,
#predictedHeads=6,1,6,3,7,0,6,9,10,6,6,11,12,16,16,13,6,
(2,14),-2.42059 # DEPENDENCYPART_ARC
(2,15),-2.76826 # DEPENDENCYPART_ARC
(2,16),-2.8884 # DEPENDENCYPART_ARC
(2,17),-1.89766 # DEPENDENCYPART_ARC
(3,1),-0.706923 # DEPENDENCYPART_ARC
(3,2),0.863388 # DEPENDENCYPART_ARC
(3,4),4.13189 # DEPENDENCYPART_ARC
(3,5),0.95192 # DEPENDENCYPART_ARC
(3,6),0.371624 # DEPENDENCYPART_ARC
(3,7),-0.182077 # DEPENDENCYPART_ARC
(3,8),-0.60748 # DEPENDENCYPART_ARC
(3,9),-1.41502 # DEPENDENCYPART_ARC
(3,10),0.430846 # DEPENDENCYPART_ARC
(3,11),-0.384853 # DEPENDENCYPART_ARC
(3,12),-2.65214 # DEPENDENCYPART_ARC
(3,13),-0.165182 # DEPENDENCYPART_ARC
(3,14),-2.97185 # DEPENDENCYPART_ARC
(3,15),-5.74351 # DEPENDENCYPART_ARC
(3,16),-4.426 # DEPENDENCYPART_ARC
(3,17),-0.595178 # DEPENDENCYPART_ARC
(4,1),-0.942681 # DEPENDENCYPART_ARC
(4,2),-0.371264 # DEPENDENCYPART_ARC
(4,3),0.434296 # DEPENDENCYPART_ARC
(4,5),0.367389 # DEPENDENCYPART_ARC
(4,6),0.334666 # DEPENDENCYPART_ARC
(4,7),-0.330983 # DEPENDENCYPART_ARC
(4,8),-0.364726 # DEPENDENCYPART_ARC
(4,9),-0.336127 # DEPENDENCYPART_ARC
(4,10),-0.398762 # DEPENDENCYPART_ARC
(4,11),-0.932229 # DEPENDENCYPART_ARC
(4,12),-1.00591 # DEPENDENCYPART_ARC
(4,13),-1.03548 # DEPENDENCYPART_ARC
(4,14),-1.14278 # DEPENDENCYPART_ARC
(4,15),-0.911216 # DEPENDENCYPART_ARC
(4,16),-1.36833 # DEPENDENCYPART_ARC
(4,17),-0.560074 # DEPENDENCYPART_ARC
(5,1),-2.06255 # DEPENDENCYPART_ARC
(5,2),-0.337561 # DEPENDENCYPART_ARC
(5,3),-1.37638 # DEPENDENCYPART_ARC
(5,4),-1.14912 # DEPENDENCYPART_ARC
(5,6),-0.792054 # DEPENDENCYPART_ARC
(5,7),-1.47069 # DEPENDENCYPART_ARC
(5,8),-1.8462 # DEPENDENCYPART_ARC
(5,9),-2.15572 # DEPENDENCYPART_ARC
(5,10),-2.29908 # DEPENDENCYPART_ARC
(5,11),-2.14697 # DEPENDENCYPART_ARC
(5,12),-2.87572 # DEPENDENCYPART_ARC
(5,13),-2.19379 # DEPENDENCYPART_ARC
(5,14),-2.74906 # DEPENDENCYPART_ARC
(5,15),-3.1878 # DEPENDENCYPART_ARC
(5,16),-3.27015 # DEPENDENCYPART_ARC
(5,17),-2.38257 # DEPENDENCYPART_ARC
(6,1),0.256316 # DEPENDENCYPART_ARC
(6,2),0.421477 # DEPENDENCYPART_ARC
(6,3),0.717903 # DEPENDENCYPART_ARC
(6,4),0.69089 # DEPENDENCYPART_ARC
(6,5),0.956964 # DEPENDENCYPART_ARC
(6,7),2.65082 # DEPENDENCYPART_ARC
(6,8),1.45538 # DEPENDENCYPART_ARC
(6,9),1.46567 # DEPENDENCYPART_ARC
(6,10),2.00067 # DEPENDENCYPART_ARC
(6,11),1.62232 # DEPENDENCYPART_ARC
(6,12),0.123888 # DEPENDENCYPART_ARC
(6,13),0.335284 # DEPENDENCYPART_ARC
(6,14),-0.423355 # DEPENDENCYPART_ARC
(6,15),-0.436327 # DEPENDENCYPART_ARC
(6,16),-0.374779 # DEPENDENCYPART_ARC
(6,17),2.40342 # DEPENDENCYPART_ARC
(7,1),-0.802717 # DEPENDENCYPART_ARC
(7,2),0.568845 # DEPENDENCYPART_ARC
(7,3),0.481842 # DEPENDENCYPART_ARC
(7,4),1.56401 # DEPENDENCYPART_ARC
(7,5),1.63457 # DEPENDENCYPART_ARC
(7,6),3.14769 # DEPENDENCYPART_ARC
(7,8),1.6143 # DEPENDENCYPART_ARC
(7,9),1.16303 # DEPENDENCYPART_ARC
(7,10),0.71198 # DEPENDENCYPART_ARC
(7,11),0.78327 # DEPENDENCYPART_ARC
(7,12),0.35996 # DEPENDENCYPART_ARC
(7,13),0.302591 # DEPENDENCYPART_ARC
(7,14),-0.307491 # DEPENDENCYPART_ARC
(7,15),0.111921 # DEPENDENCYPART_ARC
(7,16),-0.509568 # DEPENDENCYPART_ARC
(7,17),0.938671 # DEPENDENCYPART_ARC
(8,1),-1.49891 # DEPENDENCYPART_ARC
(8,2),-0.952602 # DEPENDENCYPART_ARC
(8,3),-1.01912 # DEPENDENCYPART_ARC
(8,4),-0.545053 # DEPENDENCYPART_ARC
(8,5),-0.375128 # DEPENDENCYPART_ARC
(8,6),-0.244202 # DEPENDENCYPART_ARC
(8,7),0.687238 # DEPENDENCYPART_ARC
(8,9),1.46913 # DEPENDENCYPART_ARC
(8,10),-0.0272698 # DEPENDENCYPART_ARC
(8,11),0.268816 # DEPENDENCYPART_ARC
(8,12),-0.0448313 # DEPENDENCYPART_ARC
(8,13),0.151098 # DEPENDENCYPART_ARC
(8,14),-0.9335 # DEPENDENCYPART_ARC
(8,15),-0.556071 # DEPENDENCYPART_ARC
(8,16),-1.02192 # DEPENDENCYPART_ARC
(8,17),0.471419 # DEPENDENCYPART_ARC
(9,1),-2.13562 # DEPENDENCYPART_ARC
(9,2),-0.89032 # DEPENDENCYPART_ARC
(9,3),-0.892954 # DEPENDENCYPART_ARC
(9,4),0.0200954 # DEPENDENCYPART_ARC
(9,5),-0.232152 # DEPENDENCYPART_ARC
(9,6),0.87053 # DEPENDENCYPART_ARC
(9,7),1.57021 # DEPENDENCYPART_ARC
(9,8),3.42794 # DEPENDENCYPART_ARC
(9,10),0.756526 # DEPENDENCYPART_ARC
(9,11),0.964244 # DEPENDENCYPART_ARC
(9,12),0.119209 # DEPENDENCYPART_ARC
(9,13),0.854917 # DEPENDENCYPART_ARC
(9,14),-0.557123 # DEPENDENCYPART_ARC
(9,15),-0.221695 # DEPENDENCYPART_ARC
(9,16),-0.726366 # DEPENDENCYPART_ARC
(9,17),0.373318 # DEPENDENCYPART_ARC
(10,1),-0.261282 # DEPENDENCYPART_ARC
(10,2),-0.175713 # DEPENDENCYPART_ARC
(10,3),0.246265 # DEPENDENCYPART_ARC
(10,4),0.277087 # DEPENDENCYPART_ARC
(10,5),0.422176 # DEPENDENCYPART_ARC
(10,6),0.439445 # DEPENDENCYPART_ARC
(10,7),1.48971 # DEPENDENCYPART_ARC
(10,8),1.41342 # DEPENDENCYPART_ARC
(10,9),3.32929 # DEPENDENCYPART_ARC
(10,11),0.600326 # DEPENDENCYPART_ARC
(10,12),0.682808 # DEPENDENCYPART_ARC
(10,13),-0.531597 # DEPENDENCYPART_ARC
(10,14),0.351082 # DEPENDENCYPART_ARC
(10,15),-0.250753 # DEPENDENCYPART_ARC
(10,16),-0.748848 # DEPENDENCYPART_ARC
(10,17),-1.06353 # DEPENDENCYPART_ARC
(11,1),-1.96328 # DEPENDENCYPART_ARC
(11,2),-1.21185 # DEPENDENCYPART_ARC
(11,3),-0.931347 # DEPENDENCYPART_ARC
(11,4),-2.19676 # DEPENDENCYPART_ARC
(11,5),-0.999943 # DEPENDENCYPART_ARC
(11,6),-1.15358 # DEPENDENCYPART_ARC
(11,7),-0.508292 # DEPENDENCYPART_ARC
(11,8),-0.263811 # DEPENDENCYPART_ARC
(11,9),-0.287291 # DEPENDENCYPART_ARC
(11,10),0.974165 # DEPENDENCYPART_ARC
(11,12),4.29139 # DEPENDENCYPART_ARC
(11,13),1.09865 # DEPENDENCYPART_ARC
(11,14),-0.607473 # DEPENDENCYPART_ARC
(11,15),-0.122891 # DEPENDENCYPART_ARC
(11,16),0.328097 # DEPENDENCYPART_ARC
(11,17),0.586641 # DEPENDENCYPART_ARC
(12,1),-4.81162 # DEPENDENCYPART_ARC
(12,2),-1.96825 # DEPENDENCYPART_ARC
(12,3),-2.19827 # DEPENDENCYPART_ARC
(12,4),-2.03775 # DEPENDENCYPART_ARC
(12,5),-1.43467 # DEPENDENCYPART_ARC
(12,6),-1.37846 # DEPENDENCYPART_ARC
(12,7),-0.613129 # DEPENDENCYPART_ARC
(12,8),-0.0410854 # DEPENDENCYPART_ARC
(12,9),-0.0592601 # DEPENDENCYPART_ARC
(12,10),0.06047 # DEPENDENCYPART_ARC
(12,11),0.541244 # DEPENDENCYPART_ARC
(12,13),3.01225 # DEPENDENCYPART_ARC
(12,14),-0.102437 # DEPENDENCYPART_ARC
(12,15),0.26975 # DEPENDENCYPART_ARC
(12,16),-0.00378768 # DEPENDENCYPART_ARC
(12,17),-0.17023 # DEPENDENCYPART_ARC
(13,1),-2.12681 # DEPENDENCYPART_ARC
(13,2),-2.07852 # DEPENDENCYPART_ARC
(13,3),-1.43023 # DEPENDENCYPART_ARC
(13,4),-2.15622 # DEPENDENCYPART_ARC
(13,5),-1.8249 # DEPENDENCYPART_ARC
(13,6),-1.11389 # DEPENDENCYPART_ARC
(13,7),-1.16346 # DEPENDENCYPART_ARC
(13,8),-0.905239 # DEPENDENCYPART_ARC
(13,9),-0.981248 # DEPENDENCYPART_ARC
(13,10),-0.199148 # DEPENDENCYPART_ARC
(13,11),0.0258946 # DEPENDENCYPART_ARC
(13,12),0.386757 # DEPENDENCYPART_ARC
(13,14),0.886348 # DEPENDENCYPART_ARC
(13,15),2.33995 # DEPENDENCYPART_ARC
(13,16),3.59192 # DEPENDENCYPART_ARC
(13,17),-0.770113 # DEPENDENCYPART_ARC
(14,1),-3.16986 # DEPENDENCYPART_ARC
(14,2),-2.78552 # DEPENDENCYPART_ARC
(14,3),-2.03594 # DEPENDENCYPART_ARC
(14,4),-2.99958 # DEPENDENCYPART_ARC
(14,5),-2.50339 # DEPENDENCYPART_ARC
(14,6),-2.49809 # DEPENDENCYPART_ARC
(14,7),-2.42111 # DEPENDENCYPART_ARC
(14,8),-2.10267 # DEPENDENCYPART_ARC
(14,9),-2.12415 # DEPENDENCYPART_ARC
(14,10),-1.87871 # DEPENDENCYPART_ARC
(14,11),-0.726927 # DEPENDENCYPART_ARC
(14,12),-1.67743 # DEPENDENCYPART_ARC
(14,13),0.115381 # DEPENDENCYPART_ARC
(14,15),0.824768 # DEPENDENCYPART_ARC
(14,16),-0.132184 # DEPENDENCYPART_ARC
(14,17),-1.39074 # DEPENDENCYPART_ARC
(15,1),-7.29777 # DEPENDENCYPART_ARC
(15,2),-3.02903 # DEPENDENCYPART_ARC
(15,3),-3.27107 # DEPENDENCYPART_ARC
(15,4),-4.56247 # DEPENDENCYPART_ARC
(15,5),-2.61474 # DEPENDENCYPART_ARC
(15,6),-3.26077 # DEPENDENCYPART_ARC
(15,7),-2.82062 # DEPENDENCYPART_ARC
(15,8),-3.45474 # DEPENDENCYPART_ARC
(15,9),-2.83261 # DEPENDENCYPART_ARC
(15,10),-3.01355 # DEPENDENCYPART_ARC
(15,11),-1.11318 # DEPENDENCYPART_ARC
(15,12),-2.04732 # DEPENDENCYPART_ARC
(15,13),-0.607217 # DEPENDENCYPART_ARC
(15,14),2.93936 # DEPENDENCYPART_ARC
(15,16),0.683852 # DEPENDENCYPART_ARC
(15,17),-1.02041 # DEPENDENCYPART_ARC
(16,1),-4.3031 # DEPENDENCYPART_ARC
(16,2),-1.07685 # DEPENDENCYPART_ARC
(16,3),-1.48848 # DEPENDENCYPART_ARC
(16,4),-1.72158 # DEPENDENCYPART_ARC
(16,5),-0.626088 # DEPENDENCYPART_ARC
(16,6),-0.562658 # DEPENDENCYPART_ARC
(16,7),-0.0560657 # DEPENDENCYPART_ARC
(16,8),-0.925638 # DEPENDENCYPART_ARC
(16,9),-0.143649 # DEPENDENCYPART_ARC
(16,10),-1.69834 # DEPENDENCYPART_ARC
(16,11),0.451014 # DEPENDENCYPART_ARC
(16,12),0.474267 # DEPENDENCYPART_ARC
(16,13),0.895109 # DEPENDENCYPART_ARC
(16,14),4.69476 # DEPENDENCYPART_ARC
(16,15),4.49595 # DEPENDENCYPART_ARC
(16,17),0.765592 # DEPENDENCYPART_ARC
(17,1),-2.34069 # DEPENDENCYPART_ARC
(17,2),-0.878846 # DEPENDENCYPART_ARC
(17,3),-2.82859 # DEPENDENCYPART_ARC
(17,4),-1.65742 # DEPENDENCYPART_ARC
(17,5),-0.526362 # DEPENDENCYPART_ARC
(17,6),-1.49115 # DEPENDENCYPART_ARC
(17,7),-1.62724 # DEPENDENCYPART_ARC
(17,8),-1.83025 # DEPENDENCYPART_ARC
(17,9),-1.52637 # DEPENDENCYPART_ARC
(17,10),-1.45213 # DEPENDENCYPART_ARC
(17,11),-1.69062 # DEPENDENCYPART_ARC
(17,12),-1.34611 # DEPENDENCYPART_ARC
(17,13),-1.54696 # DEPENDENCYPART_ARC
(17,14),-0.535564 # DEPENDENCYPART_ARC
(17,15),-1.93916 # DEPENDENCYPART_ARC
(17,16),-1.84551 # DEPENDENCYPART_ARC
