# _root_ The new expiration date is the date on which DIG 's financing commitments , which total about $ 240 million , are to expire .
#goldHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
#predictedHeads=4,4,4,5,0,7,5,24,8,13,10,13,8,7,16,13,18,16,18,18,13,7,22,23,5,
(2,6),-1.28412 # DEPENDENCYPART_ARC
(2,7),-0.934532 # DEPENDENCYPART_ARC
(2,8),-1.10368 # DEPENDENCYPART_ARC
(2,9),-1.99836 # DEPENDENCYPART_ARC
(2,10),-1.7956 # DEPENDENCYPART_ARC
(2,11),-1.2375 # DEPENDENCYPART_ARC
(2,12),-1.43533 # DEPENDENCYPART_ARC
(2,13),-1.47957 # DEPENDENCYPART_ARC
(2,14),-0.998762 # DEPENDENCYPART_ARC
(2,15),-2.55696 # DEPENDENCYPART_ARC
(2,16),-1.22674 # DEPENDENCYPART_ARC
(2,17),-1.81054 # DEPENDENCYPART_ARC
(2,18),-2.58764 # DEPENDENCYPART_ARC
(2,19),-3.41269 # DEPENDENCYPART_ARC
(2,20),-3.20328 # DEPENDENCYPART_ARC
(2,21),-1.63821 # DEPENDENCYPART_ARC
(2,22),-1.87805 # DEPENDENCYPART_ARC
(2,23),-2.73291 # DEPENDENCYPART_ARC
(2,24),-2.98563 # DEPENDENCYPART_ARC
(2,25),-1.09555 # DEPENDENCYPART_ARC
(3,1),2.27436 # DEPENDENCYPART_ARC
(3,2),2.21096 # DEPENDENCYPART_ARC
(3,4),1.69145 # DEPENDENCYPART_ARC
(3,5),0.614145 # DEPENDENCYPART_ARC
(3,6),-0.263399 # DEPENDENCYPART_ARC
(3,7),0.0604763 # DEPENDENCYPART_ARC
(3,8),-0.553753 # DEPENDENCYPART_ARC
(3,9),-1.15988 # DEPENDENCYPART_ARC
(3,10),-1.07232 # DEPENDENCYPART_ARC
(3,11),-0.649685 # DEPENDENCYPART_ARC
(3,12),-0.229787 # DEPENDENCYPART_ARC
(3,13),-1.01343 # DEPENDENCYPART_ARC
(3,14),0.813109 # DEPENDENCYPART_ARC
(3,15),-1.78762 # DEPENDENCYPART_ARC
(3,16),0.543788 # DEPENDENCYPART_ARC
(3,17),-1.54587 # DEPENDENCYPART_ARC
(3,18),-1.73839 # DEPENDENCYPART_ARC
(3,19),-0.943534 # DEPENDENCYPART_ARC
(3,20),-1.40258 # DEPENDENCYPART_ARC
(3,21),1.19621 # DEPENDENCYPART_ARC
(3,22),-0.776793 # DEPENDENCYPART_ARC
(3,23),-2.7673 # DEPENDENCYPART_ARC
(3,24),-2.06164 # DEPENDENCYPART_ARC
(3,25),0.828009 # DEPENDENCYPART_ARC
(4,1),4.50954 # DEPENDENCYPART_ARC
(4,2),4.34026 # DEPENDENCYPART_ARC
(4,3),4.05122 # DEPENDENCYPART_ARC
(4,5),0.28774 # DEPENDENCYPART_ARC
(4,6),-0.760986 # DEPENDENCYPART_ARC
(4,7),0.0287036 # DEPENDENCYPART_ARC
(4,8),-0.593691 # DEPENDENCYPART_ARC
(4,9),-1.39594 # DEPENDENCYPART_ARC
(4,10),-1.12552 # DEPENDENCYPART_ARC
(4,11),-0.664577 # DEPENDENCYPART_ARC
(4,12),-0.425734 # DEPENDENCYPART_ARC
(4,13),-1.12251 # DEPENDENCYPART_ARC
(4,14),1.34608 # DEPENDENCYPART_ARC
(4,15),-1.84158 # DEPENDENCYPART_ARC
(4,16),0.295393 # DEPENDENCYPART_ARC
(4,17),-1.81242 # DEPENDENCYPART_ARC
(4,18),-2.25555 # DEPENDENCYPART_ARC
(4,19),-1.29586 # DEPENDENCYPART_ARC
(4,20),-1.66365 # DEPENDENCYPART_ARC
(4,21),1.4203 # DEPENDENCYPART_ARC
(4,22),-1.03203 # DEPENDENCYPART_ARC
(4,23),-2.71224 # DEPENDENCYPART_ARC
(4,24),-2.15198 # DEPENDENCYPART_ARC
(4,25),0.7878 # DEPENDENCYPART_ARC
(5,1),-0.260172 # DEPENDENCYPART_ARC
(5,2),0.817469 # DEPENDENCYPART_ARC
(5,3),0.855033 # DEPENDENCYPART_ARC
(5,4),2.29725 # DEPENDENCYPART_ARC
(5,6),1.30428 # DEPENDENCYPART_ARC
(5,7),3.09825 # DEPENDENCYPART_ARC
(5,8),1.2663 # DEPENDENCYPART_ARC
(5,9),-0.297331 # DEPENDENCYPART_ARC
(5,10),0.504979 # DEPENDENCYPART_ARC
(5,11),0.137518 # DEPENDENCYPART_ARC
(5,12),1.10878 # DEPENDENCYPART_ARC
(5,13),0.00011959 # DEPENDENCYPART_ARC
(5,14),0.919122 # DEPENDENCYPART_ARC
(5,15),-1.10772 # DEPENDENCYPART_ARC
(5,16),0.732529 # DEPENDENCYPART_ARC
(5,17),-1.40563 # DEPENDENCYPART_ARC
(5,18),-0.451725 # DEPENDENCYPART_ARC
(5,19),-0.624813 # DEPENDENCYPART_ARC
(5,20),-0.276014 # DEPENDENCYPART_ARC
(5,21),0.533386 # DEPENDENCYPART_ARC
(5,22),0.437771 # DEPENDENCYPART_ARC
(5,23),-2.42391 # DEPENDENCYPART_ARC
(5,24),-1.39683 # DEPENDENCYPART_ARC
(5,25),6.15499 # DEPENDENCYPART_ARC
(6,1),-1.8106 # DEPENDENCYPART_ARC
(6,2),-2.13189 # DEPENDENCYPART_ARC
(6,3),-2.14089 # DEPENDENCYPART_ARC
(6,4),-2.1574 # DEPENDENCYPART_ARC
(6,5),-1.27844 # DEPENDENCYPART_ARC
(6,7),-0.06584 # DEPENDENCYPART_ARC
(6,8),-1.25624 # DEPENDENCYPART_ARC
(6,9),-1.92324 # DEPENDENCYPART_ARC
(6,10),-1.6002 # DEPENDENCYPART_ARC
(6,11),-1.97206 # DEPENDENCYPART_ARC
(6,12),-1.48212 # DEPENDENCYPART_ARC
(6,13),-1.86367 # DEPENDENCYPART_ARC
(6,14),-0.585493 # DEPENDENCYPART_ARC
(6,15),-2.7421 # DEPENDENCYPART_ARC
(6,16),-0.940275 # DEPENDENCYPART_ARC
(6,17),-2.4552 # DEPENDENCYPART_ARC
(6,18),-3.4976 # DEPENDENCYPART_ARC
(6,19),-2.60821 # DEPENDENCYPART_ARC
(6,20),-2.56668 # DEPENDENCYPART_ARC
(6,21),-1.23393 # DEPENDENCYPART_ARC
(6,22),-2.35283 # DEPENDENCYPART_ARC
(6,23),-2.62277 # DEPENDENCYPART_ARC
(6,24),-3.39295 # DEPENDENCYPART_ARC
(6,25),-2.2068 # DEPENDENCYPART_ARC
(7,1),0.522325 # DEPENDENCYPART_ARC
(7,2),1.32196 # DEPENDENCYPART_ARC
(7,3),0.692237 # DEPENDENCYPART_ARC
(7,4),-0.0310134 # DEPENDENCYPART_ARC
(7,5),0.246011 # DEPENDENCYPART_ARC
(7,6),4.84641 # DEPENDENCYPART_ARC
(7,8),1.0054 # DEPENDENCYPART_ARC
(7,9),0.655238 # DEPENDENCYPART_ARC
(7,10),0.654622 # DEPENDENCYPART_ARC
(7,11),1.43601 # DEPENDENCYPART_ARC
(7,12),1.09782 # DEPENDENCYPART_ARC
(7,13),0.438118 # DEPENDENCYPART_ARC
(7,14),3.1731 # DEPENDENCYPART_ARC
(7,15),-0.359327 # DEPENDENCYPART_ARC
(7,16),2.34072 # DEPENDENCYPART_ARC
(7,17),-0.380872 # DEPENDENCYPART_ARC
(7,18),-0.483372 # DEPENDENCYPART_ARC
(7,19),0.109128 # DEPENDENCYPART_ARC
(7,20),-0.343484 # DEPENDENCYPART_ARC
(7,21),3.05796 # DEPENDENCYPART_ARC
(7,22),0.955361 # DEPENDENCYPART_ARC
(7,23),-0.777049 # DEPENDENCYPART_ARC
(7,24),-0.769738 # DEPENDENCYPART_ARC
(7,25),1.6879 # DEPENDENCYPART_ARC
(8,1),-1.13248 # DEPENDENCYPART_ARC
(8,2),-1.04328 # DEPENDENCYPART_ARC
(8,3),-1.56081 # DEPENDENCYPART_ARC
(8,4),-1.41528 # DEPENDENCYPART_ARC
(8,5),-0.634259 # DEPENDENCYPART_ARC
(8,6),-0.0618661 # DEPENDENCYPART_ARC
(8,7),0.093315 # DEPENDENCYPART_ARC
(8,9),4.01002 # DEPENDENCYPART_ARC
(8,10),0.636827 # DEPENDENCYPART_ARC
(8,11),-0.433562 # DEPENDENCYPART_ARC
(8,12),0.508686 # DEPENDENCYPART_ARC
(8,13),1.95857 # DEPENDENCYPART_ARC
(8,14),0.0560151 # DEPENDENCYPART_ARC
(8,15),-0.77645 # DEPENDENCYPART_ARC
(8,16),-0.584749 # DEPENDENCYPART_ARC
(8,17),-0.903642 # DEPENDENCYPART_ARC
(8,18),-2.25115 # DEPENDENCYPART_ARC
(8,19),-2.10866 # DEPENDENCYPART_ARC
(8,20),-1.60223 # DEPENDENCYPART_ARC
(8,21),-0.396623 # DEPENDENCYPART_ARC
(8,22),-2.20816 # DEPENDENCYPART_ARC
(8,23),-4.02525 # DEPENDENCYPART_ARC
(8,24),-1.75003 # DEPENDENCYPART_ARC
(8,25),-1.16255 # DEPENDENCYPART_ARC
(9,1),-1.93502 # DEPENDENCYPART_ARC
(9,2),-2.29996 # DEPENDENCYPART_ARC
(9,3),-2.5336 # DEPENDENCYPART_ARC
(9,4),-2.30133 # DEPENDENCYPART_ARC
(9,5),-2.11996 # DEPENDENCYPART_ARC
(9,6),-0.85986 # DEPENDENCYPART_ARC
(9,7),-1.74478 # DEPENDENCYPART_ARC
(9,8),-0.520882 # DEPENDENCYPART_ARC
(9,10),0.426015 # DEPENDENCYPART_ARC
(9,11),-0.0112661 # DEPENDENCYPART_ARC
(9,12),-0.536794 # DEPENDENCYPART_ARC
(9,13),-0.887932 # DEPENDENCYPART_ARC
(9,14),-0.640005 # DEPENDENCYPART_ARC
(9,15),-1.95216 # DEPENDENCYPART_ARC
(9,16),-0.982287 # DEPENDENCYPART_ARC
(9,17),-1.61416 # DEPENDENCYPART_ARC
(9,18),-2.05047 # DEPENDENCYPART_ARC
(9,19),-2.07934 # DEPENDENCYPART_ARC
(9,20),-2.2269 # DEPENDENCYPART_ARC
(9,21),-1.34193 # DEPENDENCYPART_ARC
(9,22),-1.72549 # DEPENDENCYPART_ARC
(9,23),-2.04755 # DEPENDENCYPART_ARC
(9,24),-2.3463 # DEPENDENCYPART_ARC
(9,25),-1.58477 # DEPENDENCYPART_ARC
(10,1),-1.33041 # DEPENDENCYPART_ARC
(10,2),-1.58888 # DEPENDENCYPART_ARC
(10,3),-1.6715 # DEPENDENCYPART_ARC
(10,4),-2.51226 # DEPENDENCYPART_ARC
(10,5),-2.00512 # DEPENDENCYPART_ARC
(10,6),0.555289 # DEPENDENCYPART_ARC
(10,7),-1.30616 # DEPENDENCYPART_ARC
(10,8),-0.503431 # DEPENDENCYPART_ARC
(10,9),0.376715 # DEPENDENCYPART_ARC
(10,11),4.00294 # DEPENDENCYPART_ARC
(10,12),0.53638 # DEPENDENCYPART_ARC
(10,13),0.0564999 # DEPENDENCYPART_ARC
(10,14),0.593984 # DEPENDENCYPART_ARC
(10,15),-1.69339 # DEPENDENCYPART_ARC
(10,16),0.101168 # DEPENDENCYPART_ARC
(10,17),-0.806087 # DEPENDENCYPART_ARC
(10,18),-1.31739 # DEPENDENCYPART_ARC
(10,19),-0.534762 # DEPENDENCYPART_ARC
(10,20),-0.863084 # DEPENDENCYPART_ARC
(10,21),0.874621 # DEPENDENCYPART_ARC
(10,22),-0.650712 # DEPENDENCYPART_ARC
(10,23),-1.43495 # DEPENDENCYPART_ARC
(10,24),-1.88571 # DEPENDENCYPART_ARC
(10,25),-0.416493 # DEPENDENCYPART_ARC
(11,1),-0.664965 # DEPENDENCYPART_ARC
(11,2),-1.10725 # DEPENDENCYPART_ARC
(11,3),-1.88697 # DEPENDENCYPART_ARC
(11,4),-1.68182 # DEPENDENCYPART_ARC
(11,5),-0.926873 # DEPENDENCYPART_ARC
(11,6),0.231295 # DEPENDENCYPART_ARC
(11,7),-0.914475 # DEPENDENCYPART_ARC
(11,8),-0.124908 # DEPENDENCYPART_ARC
(11,9),0.65775 # DEPENDENCYPART_ARC
(11,10),1.15988 # DEPENDENCYPART_ARC
(11,12),0.247009 # DEPENDENCYPART_ARC
(11,13),-0.771547 # DEPENDENCYPART_ARC
(11,14),-0.607908 # DEPENDENCYPART_ARC
(11,15),-1.98511 # DEPENDENCYPART_ARC
(11,16),-0.938396 # DEPENDENCYPART_ARC
(11,17),-1.65236 # DEPENDENCYPART_ARC
(11,18),-2.30883 # DEPENDENCYPART_ARC
(11,19),-2.24399 # DEPENDENCYPART_ARC
(11,20),-2.31371 # DEPENDENCYPART_ARC
(11,21),-1.09589 # DEPENDENCYPART_ARC
(11,22),-1.53195 # DEPENDENCYPART_ARC
(11,23),-1.89285 # DEPENDENCYPART_ARC
(11,24),-2.14609 # DEPENDENCYPART_ARC
(11,25),-1.94315 # DEPENDENCYPART_ARC
(12,1),-0.173149 # DEPENDENCYPART_ARC
(12,2),-0.714069 # DEPENDENCYPART_ARC
(12,3),-0.0793759 # DEPENDENCYPART_ARC
(12,4),-0.165196 # DEPENDENCYPART_ARC
(12,5),-0.40956 # DEPENDENCYPART_ARC
(12,6),0.753442 # DEPENDENCYPART_ARC
(12,7),0.788422 # DEPENDENCYPART_ARC
(12,8),1.37729 # DEPENDENCYPART_ARC
(12,9),2.11157 # DEPENDENCYPART_ARC
(12,10),1.60799 # DEPENDENCYPART_ARC
(12,11),1.75881 # DEPENDENCYPART_ARC
(12,13),1.79499 # DEPENDENCYPART_ARC
(12,14),0.344622 # DEPENDENCYPART_ARC
(12,15),-1.2243 # DEPENDENCYPART_ARC
(12,16),-0.0671565 # DEPENDENCYPART_ARC
(12,17),-0.740025 # DEPENDENCYPART_ARC
(12,18),-0.72397 # DEPENDENCYPART_ARC
(12,19),-1.49938 # DEPENDENCYPART_ARC
(12,20),-1.48567 # DEPENDENCYPART_ARC
(12,21),-0.135784 # DEPENDENCYPART_ARC
(12,22),-1.21414 # DEPENDENCYPART_ARC
(12,23),-1.0251 # DEPENDENCYPART_ARC
(12,24),-1.67425 # DEPENDENCYPART_ARC
(12,25),-0.538299 # DEPENDENCYPART_ARC
(13,1),-1.59605 # DEPENDENCYPART_ARC
(13,2),-0.104318 # DEPENDENCYPART_ARC
(13,3),0.678174 # DEPENDENCYPART_ARC
(13,4),-0.647069 # DEPENDENCYPART_ARC
(13,5),-0.180368 # DEPENDENCYPART_ARC
(13,6),0.31462 # DEPENDENCYPART_ARC
(13,7),0.264651 # DEPENDENCYPART_ARC
(13,8),0.757763 # DEPENDENCYPART_ARC
(13,9),1.48171 # DEPENDENCYPART_ARC
(13,10),3.95547 # DEPENDENCYPART_ARC
(13,11),1.76038 # DEPENDENCYPART_ARC
(13,12),4.29128 # DEPENDENCYPART_ARC
(13,14),2.65725 # DEPENDENCYPART_ARC
(13,15),-0.0486496 # DEPENDENCYPART_ARC
(13,16),3.21865 # DEPENDENCYPART_ARC
(13,17),0.589826 # DEPENDENCYPART_ARC
(13,18),0.539441 # DEPENDENCYPART_ARC
(13,19),0.131147 # DEPENDENCYPART_ARC
(13,20),0.200058 # DEPENDENCYPART_ARC
(13,21),3.0774 # DEPENDENCYPART_ARC
(13,22),0.748797 # DEPENDENCYPART_ARC
(13,23),0.706703 # DEPENDENCYPART_ARC
(13,24),0.060209 # DEPENDENCYPART_ARC
(13,25),0.678876 # DEPENDENCYPART_ARC
(14,1),-2.36383 # DEPENDENCYPART_ARC
(14,2),-2.61124 # DEPENDENCYPART_ARC
(14,3),-2.30393 # DEPENDENCYPART_ARC
(14,4),-2.14182 # DEPENDENCYPART_ARC
(14,5),-2.20281 # DEPENDENCYPART_ARC
(14,6),-1.69495 # DEPENDENCYPART_ARC
(14,7),-1.93639 # DEPENDENCYPART_ARC
(14,8),-1.65685 # DEPENDENCYPART_ARC
(14,9),-1.31086 # DEPENDENCYPART_ARC
(14,10),-1.93738 # DEPENDENCYPART_ARC
(14,11),-1.34712 # DEPENDENCYPART_ARC
(14,12),-1.13713 # DEPENDENCYPART_ARC
(14,13),-1.27241 # DEPENDENCYPART_ARC
(14,15),-0.997388 # DEPENDENCYPART_ARC
(14,16),-0.74571 # DEPENDENCYPART_ARC
(14,17),-1.53222 # DEPENDENCYPART_ARC
(14,18),-1.93761 # DEPENDENCYPART_ARC
(14,19),-2.10321 # DEPENDENCYPART_ARC
(14,20),-2.48522 # DEPENDENCYPART_ARC
(14,21),-0.0530929 # DEPENDENCYPART_ARC
(14,22),-2.0924 # DEPENDENCYPART_ARC
(14,23),-2.22587 # DEPENDENCYPART_ARC
(14,24),-2.17765 # DEPENDENCYPART_ARC
(14,25),-1.72002 # DEPENDENCYPART_ARC
(15,1),-1.89501 # DEPENDENCYPART_ARC
(15,2),-2.10563 # DEPENDENCYPART_ARC
(15,3),-2.45423 # DEPENDENCYPART_ARC
(15,4),-2.3629 # DEPENDENCYPART_ARC
(15,5),-1.92728 # DEPENDENCYPART_ARC
(15,6),-1.10227 # DEPENDENCYPART_ARC
(15,7),-1.90433 # DEPENDENCYPART_ARC
(15,8),-1.22235 # DEPENDENCYPART_ARC
(15,9),-0.96326 # DEPENDENCYPART_ARC
(15,10),-1.30475 # DEPENDENCYPART_ARC
(15,11),-1.11536 # DEPENDENCYPART_ARC
(15,12),-0.713571 # DEPENDENCYPART_ARC
(15,13),-0.797005 # DEPENDENCYPART_ARC
(15,14),0.211798 # DEPENDENCYPART_ARC
(15,16),0.60819 # DEPENDENCYPART_ARC
(15,17),-0.843286 # DEPENDENCYPART_ARC
(15,18),-1.14293 # DEPENDENCYPART_ARC
(15,19),-1.32971 # DEPENDENCYPART_ARC
(15,20),-1.50125 # DEPENDENCYPART_ARC
(15,21),-0.922842 # DEPENDENCYPART_ARC
(15,22),-1.34708 # DEPENDENCYPART_ARC
(15,23),-1.60534 # DEPENDENCYPART_ARC
(15,24),-2.02781 # DEPENDENCYPART_ARC
(15,25),-1.47473 # DEPENDENCYPART_ARC
(16,1),-1.69579 # DEPENDENCYPART_ARC
(16,2),-1.40995 # DEPENDENCYPART_ARC
(16,3),-2.06009 # DEPENDENCYPART_ARC
(16,4),-2.25088 # DEPENDENCYPART_ARC
(16,5),-1.5924 # DEPENDENCYPART_ARC
(16,6),-0.922569 # DEPENDENCYPART_ARC
(16,7),-0.814437 # DEPENDENCYPART_ARC
(16,8),-0.455519 # DEPENDENCYPART_ARC
(16,9),0.124744 # DEPENDENCYPART_ARC
(16,10),-0.213591 # DEPENDENCYPART_ARC
(16,11),-0.655931 # DEPENDENCYPART_ARC
(16,12),-0.342332 # DEPENDENCYPART_ARC
(16,13),0.163077 # DEPENDENCYPART_ARC
(16,14),0.460657 # DEPENDENCYPART_ARC
(16,15),3.60288 # DEPENDENCYPART_ARC
(16,17),2.63437 # DEPENDENCYPART_ARC
(16,18),1.85119 # DEPENDENCYPART_ARC
(16,19),0.618276 # DEPENDENCYPART_ARC
(16,20),0.607143 # DEPENDENCYPART_ARC
(16,21),1.67544 # DEPENDENCYPART_ARC
(16,22),1.14131 # DEPENDENCYPART_ARC
(16,23),1.04962 # DEPENDENCYPART_ARC
(16,24),0.213765 # DEPENDENCYPART_ARC
(16,25),1.82603 # DEPENDENCYPART_ARC
(17,1),-1.61797 # DEPENDENCYPART_ARC
(17,2),-1.67301 # DEPENDENCYPART_ARC
(17,3),-2.82588 # DEPENDENCYPART_ARC
(17,4),-2.7457 # DEPENDENCYPART_ARC
(17,5),-2.22644 # DEPENDENCYPART_ARC
(17,6),-1.0095 # DEPENDENCYPART_ARC
(17,7),-1.8173 # DEPENDENCYPART_ARC
(17,8),-1.18143 # DEPENDENCYPART_ARC
(17,9),-1.217 # DEPENDENCYPART_ARC
(17,10),-1.52355 # DEPENDENCYPART_ARC
(17,11),-1.26974 # DEPENDENCYPART_ARC
(17,12),-1.48587 # DEPENDENCYPART_ARC
(17,13),-1.32085 # DEPENDENCYPART_ARC
(17,14),-0.411452 # DEPENDENCYPART_ARC
(17,15),0.202541 # DEPENDENCYPART_ARC
(17,16),-0.0779859 # DEPENDENCYPART_ARC
(17,18),1.08701 # DEPENDENCYPART_ARC
(17,19),3.13521 # DEPENDENCYPART_ARC
(17,20),1.98964 # DEPENDENCYPART_ARC
(17,21),0.884032 # DEPENDENCYPART_ARC
(17,22),0.298991 # DEPENDENCYPART_ARC
(17,23),0.587893 # DEPENDENCYPART_ARC
(17,24),-0.0974197 # DEPENDENCYPART_ARC
(17,25),0.537539 # DEPENDENCYPART_ARC
(18,1),-1.17136 # DEPENDENCYPART_ARC
(18,2),-2.04291 # DEPENDENCYPART_ARC
(18,3),-2.01707 # DEPENDENCYPART_ARC
(18,4),-2.08901 # DEPENDENCYPART_ARC
(18,5),-1.59883 # DEPENDENCYPART_ARC
(18,6),-0.391444 # DEPENDENCYPART_ARC
(18,7),-1.41457 # DEPENDENCYPART_ARC
(18,8),-0.443326 # DEPENDENCYPART_ARC
(18,9),-0.342278 # DEPENDENCYPART_ARC
(18,10),-1.13126 # DEPENDENCYPART_ARC
(18,11),-0.805855 # DEPENDENCYPART_ARC
(18,12),-0.537521 # DEPENDENCYPART_ARC
(18,13),-0.295029 # DEPENDENCYPART_ARC
(18,14),0.231858 # DEPENDENCYPART_ARC
(18,15),1.10928 # DEPENDENCYPART_ARC
(18,16),0.871155 # DEPENDENCYPART_ARC
(18,17),4.37285 # DEPENDENCYPART_ARC
(18,19),5.18216 # DEPENDENCYPART_ARC
(18,20),4.40088 # DEPENDENCYPART_ARC
(18,21),2.0536 # DEPENDENCYPART_ARC
(18,22),1.76908 # DEPENDENCYPART_ARC
(18,23),0.633625 # DEPENDENCYPART_ARC
(18,24),0.684508 # DEPENDENCYPART_ARC
(18,25),0.254314 # DEPENDENCYPART_ARC
(19,1),-3.18462 # DEPENDENCYPART_ARC
(19,2),-3.3813 # DEPENDENCYPART_ARC
(19,3),-4.37988 # DEPENDENCYPART_ARC
(19,4),-4.26107 # DEPENDENCYPART_ARC
(19,5),-3.90265 # DEPENDENCYPART_ARC
(19,6),-2.91527 # DEPENDENCYPART_ARC
(19,7),-3.9313 # DEPENDENCYPART_ARC
(19,8),-3.11281 # DEPENDENCYPART_ARC
(19,9),-2.64263 # DEPENDENCYPART_ARC
(19,10),-2.86526 # DEPENDENCYPART_ARC
(19,11),-3.16679 # DEPENDENCYPART_ARC
(19,12),-2.75259 # DEPENDENCYPART_ARC
(19,13),-2.67383 # DEPENDENCYPART_ARC
(19,14),-2.04188 # DEPENDENCYPART_ARC
(19,15),-1.52361 # DEPENDENCYPART_ARC
(19,16),-2.11071 # DEPENDENCYPART_ARC
(19,17),-0.198985 # DEPENDENCYPART_ARC
(19,18),-0.734615 # DEPENDENCYPART_ARC
(19,20),1.79258 # DEPENDENCYPART_ARC
(19,21),-0.0402112 # DEPENDENCYPART_ARC
(19,22),-0.00413882 # DEPENDENCYPART_ARC
(19,23),-0.7412 # DEPENDENCYPART_ARC
(19,24),-0.917096 # DEPENDENCYPART_ARC
(19,25),-0.326998 # DEPENDENCYPART_ARC
(20,1),-1.48938 # DEPENDENCYPART_ARC
(20,2),-1.59566 # DEPENDENCYPART_ARC
(20,3),-2.87933 # DEPENDENCYPART_ARC
(20,4),-2.72664 # DEPENDENCYPART_ARC
(20,5),-2.23914 # DEPENDENCYPART_ARC
(20,6),-1.33485 # DEPENDENCYPART_ARC
(20,7),-2.39445 # DEPENDENCYPART_ARC
(20,8),-1.44561 # DEPENDENCYPART_ARC
(20,9),-1.1382 # DEPENDENCYPART_ARC
(20,10),-1.16929 # DEPENDENCYPART_ARC
(20,11),-1.61855 # DEPENDENCYPART_ARC
(20,12),-1.09056 # DEPENDENCYPART_ARC
(20,13),-1.09288 # DEPENDENCYPART_ARC
(20,14),-0.607956 # DEPENDENCYPART_ARC
(20,15),0.00205471 # DEPENDENCYPART_ARC
(20,16),-0.697429 # DEPENDENCYPART_ARC
(20,17),1.50896 # DEPENDENCYPART_ARC
(20,18),0.516704 # DEPENDENCYPART_ARC
(20,19),2.00614 # DEPENDENCYPART_ARC
(20,21),0.252085 # DEPENDENCYPART_ARC
(20,22),0.253354 # DEPENDENCYPART_ARC
(20,23),-0.7923 # DEPENDENCYPART_ARC
(20,24),-0.954411 # DEPENDENCYPART_ARC
(20,25),-0.964482 # DEPENDENCYPART_ARC
(21,1),-2.64942 # DEPENDENCYPART_ARC
(21,2),-2.82408 # DEPENDENCYPART_ARC
(21,3),-2.3255 # DEPENDENCYPART_ARC
(21,4),-2.3034 # DEPENDENCYPART_ARC
(21,5),-2.40058 # DEPENDENCYPART_ARC
(21,6),-2.09762 # DEPENDENCYPART_ARC
