# _root_ While Mayor Norman found the market 's performance Monday reassuring , he says , he remains uneasy .
#goldHeads=16,3,4,1,6,8,6,4,10,4,13,13,0,13,16,13,16,16,
#predictedHeads=16,3,4,1,6,8,6,4,4,9,13,13,0,13,16,13,16,4,
(2,18),-2.082 # DEPENDENCYPART_ARC
(3,1),0.133158 # DEPENDENCYPART_ARC
(3,2),5.00162 # DEPENDENCYPART_ARC
(3,4),0.0476193 # DEPENDENCYPART_ARC
(3,5),-0.433566 # DEPENDENCYPART_ARC
(3,6),-0.838303 # DEPENDENCYPART_ARC
(3,7),0.397632 # DEPENDENCYPART_ARC
(3,8),-1.13702 # DEPENDENCYPART_ARC
(3,9),-2.055 # DEPENDENCYPART_ARC
(3,10),-1.10694 # DEPENDENCYPART_ARC
(3,11),0.0805227 # DEPENDENCYPART_ARC
(3,12),-1.53186 # DEPENDENCYPART_ARC
(3,13),-1.12956 # DEPENDENCYPART_ARC
(3,14),-0.478611 # DEPENDENCYPART_ARC
(3,15),-1.98788 # DEPENDENCYPART_ARC
(3,16),-2.32114 # DEPENDENCYPART_ARC
(3,17),-2.37512 # DEPENDENCYPART_ARC
(3,18),-0.878402 # DEPENDENCYPART_ARC
(4,1),2.86785 # DEPENDENCYPART_ARC
(4,2),1.72232 # DEPENDENCYPART_ARC
(4,3),2.87911 # DEPENDENCYPART_ARC
(4,5),1.28798 # DEPENDENCYPART_ARC
(4,6),2.16439 # DEPENDENCYPART_ARC
(4,7),0.804767 # DEPENDENCYPART_ARC
(4,8),2.40513 # DEPENDENCYPART_ARC
(4,9),2.58105 # DEPENDENCYPART_ARC
(4,10),1.45104 # DEPENDENCYPART_ARC
(4,11),0.356026 # DEPENDENCYPART_ARC
(4,12),0.0296946 # DEPENDENCYPART_ARC
(4,13),1.03691 # DEPENDENCYPART_ARC
(4,14),-0.10857 # DEPENDENCYPART_ARC
(4,15),-0.378252 # DEPENDENCYPART_ARC
(4,16),0.192518 # DEPENDENCYPART_ARC
(4,17),0.372753 # DEPENDENCYPART_ARC
(4,18),4.31907 # DEPENDENCYPART_ARC
(5,1),-1.80002 # DEPENDENCYPART_ARC
(5,2),-1.73861 # DEPENDENCYPART_ARC
(5,3),-1.61754 # DEPENDENCYPART_ARC
(5,4),-0.992896 # DEPENDENCYPART_ARC
(5,6),0.128452 # DEPENDENCYPART_ARC
(5,7),-0.669491 # DEPENDENCYPART_ARC
(5,8),-0.763384 # DEPENDENCYPART_ARC
(5,9),-1.43234 # DEPENDENCYPART_ARC
(5,10),-1.41848 # DEPENDENCYPART_ARC
(5,11),-0.923872 # DEPENDENCYPART_ARC
(5,12),-1.62336 # DEPENDENCYPART_ARC
(5,13),-1.34079 # DEPENDENCYPART_ARC
(5,14),-1.18021 # DEPENDENCYPART_ARC
(5,15),-1.93593 # DEPENDENCYPART_ARC
(5,16),-2.29022 # DEPENDENCYPART_ARC
(5,17),-2.59961 # DEPENDENCYPART_ARC
(5,18),-1.87547 # DEPENDENCYPART_ARC
(6,1),-0.916904 # DEPENDENCYPART_ARC
(6,2),0.412822 # DEPENDENCYPART_ARC
(6,3),-0.315961 # DEPENDENCYPART_ARC
(6,4),-0.156664 # DEPENDENCYPART_ARC
(6,5),5.28997 # DEPENDENCYPART_ARC
(6,7),4.15399 # DEPENDENCYPART_ARC
(6,8),0.10866 # DEPENDENCYPART_ARC
(6,9),0.220723 # DEPENDENCYPART_ARC
(6,10),0.365158 # DEPENDENCYPART_ARC
(6,11),-0.394 # DEPENDENCYPART_ARC
(6,12),-0.820235 # DEPENDENCYPART_ARC
(6,13),0.131261 # DEPENDENCYPART_ARC
(6,14),-0.918581 # DEPENDENCYPART_ARC
(6,15),-1.09654 # DEPENDENCYPART_ARC
(6,16),-1.50551 # DEPENDENCYPART_ARC
(6,17),-1.30654 # DEPENDENCYPART_ARC
(6,18),-0.563528 # DEPENDENCYPART_ARC
(7,1),-1.21822 # DEPENDENCYPART_ARC
(7,2),0.239505 # DEPENDENCYPART_ARC
(7,3),-0.0969111 # DEPENDENCYPART_ARC
(7,4),-0.292246 # DEPENDENCYPART_ARC
(7,5),1.41373 # DEPENDENCYPART_ARC
(7,6),0.384568 # DEPENDENCYPART_ARC
(7,8),-0.651047 # DEPENDENCYPART_ARC
(7,9),-1.30234 # DEPENDENCYPART_ARC
(7,10),-1.4454 # DEPENDENCYPART_ARC
(7,11),-1.74655 # DEPENDENCYPART_ARC
(7,12),-2.06974 # DEPENDENCYPART_ARC
(7,13),-1.90793 # DEPENDENCYPART_ARC
(7,14),-1.80707 # DEPENDENCYPART_ARC
(7,15),-2.33677 # DEPENDENCYPART_ARC
(7,16),-2.09351 # DEPENDENCYPART_ARC
(7,17),-2.89328 # DEPENDENCYPART_ARC
(7,18),-2.63768 # DEPENDENCYPART_ARC
(8,1),-0.708265 # DEPENDENCYPART_ARC
(8,2),-0.408317 # DEPENDENCYPART_ARC
(8,3),-0.613697 # DEPENDENCYPART_ARC
(8,4),-0.490508 # DEPENDENCYPART_ARC
(8,5),2.09079 # DEPENDENCYPART_ARC
(8,6),3.854 # DEPENDENCYPART_ARC
(8,7),1.40479 # DEPENDENCYPART_ARC
(8,9),1.81136 # DEPENDENCYPART_ARC
(8,10),1.12964 # DEPENDENCYPART_ARC
(8,11),0.671934 # DEPENDENCYPART_ARC
(8,12),-0.178392 # DEPENDENCYPART_ARC
(8,13),0.390121 # DEPENDENCYPART_ARC
(8,14),-0.0667523 # DEPENDENCYPART_ARC
(8,15),-0.355257 # DEPENDENCYPART_ARC
(8,16),-1.32656 # DEPENDENCYPART_ARC
(8,17),-0.709143 # DEPENDENCYPART_ARC
(8,18),0.42734 # DEPENDENCYPART_ARC
(9,1),-1.93076 # DEPENDENCYPART_ARC
(9,2),-0.0655593 # DEPENDENCYPART_ARC
(9,3),-1.27372 # DEPENDENCYPART_ARC
(9,4),-1.20939 # DEPENDENCYPART_ARC
(9,5),1.39726 # DEPENDENCYPART_ARC
(9,6),1.30999 # DEPENDENCYPART_ARC
(9,7),0.22556 # DEPENDENCYPART_ARC
(9,8),1.58908 # DEPENDENCYPART_ARC
(9,10),1.50609 # DEPENDENCYPART_ARC
(9,11),0.305394 # DEPENDENCYPART_ARC
(9,12),0.18972 # DEPENDENCYPART_ARC
(9,13),0.575656 # DEPENDENCYPART_ARC
(9,14),-0.590421 # DEPENDENCYPART_ARC
(9,15),-0.407006 # DEPENDENCYPART_ARC
(9,16),-0.218253 # DEPENDENCYPART_ARC
(9,17),-0.662661 # DEPENDENCYPART_ARC
(9,18),0.846245 # DEPENDENCYPART_ARC
(10,1),0.0509488 # DEPENDENCYPART_ARC
(10,2),1.28208 # DEPENDENCYPART_ARC
(10,3),0.89363 # DEPENDENCYPART_ARC
(10,4),0.416869 # DEPENDENCYPART_ARC
(10,5),1.54043 # DEPENDENCYPART_ARC
(10,6),1.45885 # DEPENDENCYPART_ARC
(10,7),1.52265 # DEPENDENCYPART_ARC
(10,8),1.41156 # DEPENDENCYPART_ARC
(10,9),2.19573 # DEPENDENCYPART_ARC
(10,11),2.16854 # DEPENDENCYPART_ARC
(10,12),1.59736 # DEPENDENCYPART_ARC
(10,13),1.29033 # DEPENDENCYPART_ARC
(10,14),0.95267 # DEPENDENCYPART_ARC
(10,15),0.668636 # DEPENDENCYPART_ARC
(10,16),0.806664 # DEPENDENCYPART_ARC
(10,17),0.183349 # DEPENDENCYPART_ARC
(10,18),0.277953 # DEPENDENCYPART_ARC
(11,1),-2.02941 # DEPENDENCYPART_ARC
(11,2),-2.30956 # DEPENDENCYPART_ARC
(11,3),-2.23904 # DEPENDENCYPART_ARC
(11,4),-1.69629 # DEPENDENCYPART_ARC
(11,5),-1.26668 # DEPENDENCYPART_ARC
(11,6),-1.72599 # DEPENDENCYPART_ARC
(11,7),-1.54874 # DEPENDENCYPART_ARC
(11,8),-1.10587 # DEPENDENCYPART_ARC
(11,9),-1.55762 # DEPENDENCYPART_ARC
(11,10),-0.322013 # DEPENDENCYPART_ARC
(11,12),-0.0376484 # DEPENDENCYPART_ARC
(11,13),-0.0937397 # DEPENDENCYPART_ARC
(11,14),1.22152 # DEPENDENCYPART_ARC
(11,15),-1.24933 # DEPENDENCYPART_ARC
(11,16),-0.868456 # DEPENDENCYPART_ARC
(11,17),-1.55091 # DEPENDENCYPART_ARC
(11,18),-0.883767 # DEPENDENCYPART_ARC
(12,1),-1.83015 # DEPENDENCYPART_ARC
(12,2),-1.95443 # DEPENDENCYPART_ARC
(12,3),-1.89266 # DEPENDENCYPART_ARC
(12,4),-1.47104 # DEPENDENCYPART_ARC
(12,5),-0.801879 # DEPENDENCYPART_ARC
(12,6),-1.91884 # DEPENDENCYPART_ARC
(12,7),-1.33135 # DEPENDENCYPART_ARC
(12,8),-1.40772 # DEPENDENCYPART_ARC
(12,9),-0.76953 # DEPENDENCYPART_ARC
(12,10),-0.437389 # DEPENDENCYPART_ARC
(12,11),1.52823 # DEPENDENCYPART_ARC
(12,13),2.08247 # DEPENDENCYPART_ARC
(12,14),1.12311 # DEPENDENCYPART_ARC
(12,15),0.163417 # DEPENDENCYPART_ARC
(12,16),0.341683 # DEPENDENCYPART_ARC
(12,17),-0.868526 # DEPENDENCYPART_ARC
(12,18),-0.024571 # DEPENDENCYPART_ARC
(13,1),2.22345 # DEPENDENCYPART_ARC
(13,2),0.68347 # DEPENDENCYPART_ARC
(13,3),0.575074 # DEPENDENCYPART_ARC
(13,4),1.27519 # DEPENDENCYPART_ARC
(13,5),-0.767924 # DEPENDENCYPART_ARC
(13,6),-0.199921 # DEPENDENCYPART_ARC
(13,7),0.0936284 # DEPENDENCYPART_ARC
(13,8),-0.0770899 # DEPENDENCYPART_ARC
(13,9),0.68752 # DEPENDENCYPART_ARC
(13,10),0.83344 # DEPENDENCYPART_ARC
(13,11),3.52231 # DEPENDENCYPART_ARC
(13,12),3.67927 # DEPENDENCYPART_ARC
(13,14),3.43576 # DEPENDENCYPART_ARC
(13,15),0.0781612 # DEPENDENCYPART_ARC
(13,16),1.68919 # DEPENDENCYPART_ARC
(13,17),0.589831 # DEPENDENCYPART_ARC
(13,18),2.51266 # DEPENDENCYPART_ARC
(14,1),-2.56565 # DEPENDENCYPART_ARC
(14,2),-2.96842 # DEPENDENCYPART_ARC
(14,3),-2.88381 # DEPENDENCYPART_ARC
(14,4),-2.27537 # DEPENDENCYPART_ARC
(14,5),-1.89939 # DEPENDENCYPART_ARC
(14,6),-2.14656 # DEPENDENCYPART_ARC
(14,7),-2.13294 # DEPENDENCYPART_ARC
(14,8),-1.81588 # DEPENDENCYPART_ARC
(14,9),-2.28396 # DEPENDENCYPART_ARC
(14,10),-1.63479 # DEPENDENCYPART_ARC
(14,11),-0.381863 # DEPENDENCYPART_ARC
(14,12),-1.16437 # DEPENDENCYPART_ARC
(14,13),-0.942256 # DEPENDENCYPART_ARC
(14,15),-0.329304 # DEPENDENCYPART_ARC
(14,16),-0.385395 # DEPENDENCYPART_ARC
(14,17),-1.17099 # DEPENDENCYPART_ARC
(14,18),-1.11558 # DEPENDENCYPART_ARC
(15,1),-2.24322 # DEPENDENCYPART_ARC
(15,2),-2.45381 # DEPENDENCYPART_ARC
(15,3),-2.40788 # DEPENDENCYPART_ARC
(15,4),-1.73901 # DEPENDENCYPART_ARC
(15,5),-1.18763 # DEPENDENCYPART_ARC
(15,6),-2.37508 # DEPENDENCYPART_ARC
(15,7),-1.8415 # DEPENDENCYPART_ARC
(15,8),-2.11814 # DEPENDENCYPART_ARC
(15,9),-1.53459 # DEPENDENCYPART_ARC
(15,10),-1.33184 # DEPENDENCYPART_ARC
(15,11),0.188593 # DEPENDENCYPART_ARC
(15,12),-0.814575 # DEPENDENCYPART_ARC
(15,13),-0.741033 # DEPENDENCYPART_ARC
(15,14),1.43898 # DEPENDENCYPART_ARC
(15,16),1.48529 # DEPENDENCYPART_ARC
(15,17),-0.00960325 # DEPENDENCYPART_ARC
(15,18),0.183335 # DEPENDENCYPART_ARC
(16,1),3.95821 # DEPENDENCYPART_ARC
(16,2),-0.0593285 # DEPENDENCYPART_ARC
(16,3),-0.105253 # DEPENDENCYPART_ARC
(16,4),0.393111 # DEPENDENCYPART_ARC
(16,5),-0.603372 # DEPENDENCYPART_ARC
(16,6),0.362376 # DEPENDENCYPART_ARC
(16,7),0.0718023 # DEPENDENCYPART_ARC
(16,8),0.239865 # DEPENDENCYPART_ARC
(16,9),0.611149 # DEPENDENCYPART_ARC
(16,10),0.581877 # DEPENDENCYPART_ARC
(16,11),2.25874 # DEPENDENCYPART_ARC
(16,12),2.14866 # DEPENDENCYPART_ARC
(16,13),1.52423 # DEPENDENCYPART_ARC
(16,14),3.00751 # DEPENDENCYPART_ARC
(16,15),4.61699 # DEPENDENCYPART_ARC
(16,17),3.14881 # DEPENDENCYPART_ARC
(16,18),3.04319 # DEPENDENCYPART_ARC
(17,1),-1.83586 # DEPENDENCYPART_ARC
(17,2),-1.45838 # DEPENDENCYPART_ARC
(17,3),-2.13125 # DEPENDENCYPART_ARC
(17,4),-1.98846 # DEPENDENCYPART_ARC
(17,5),-0.790455 # DEPENDENCYPART_ARC
(17,6),-1.25263 # DEPENDENCYPART_ARC
(17,7),-1.16598 # DEPENDENCYPART_ARC
(17,8),-1.37145 # DEPENDENCYPART_ARC
(17,9),-0.819677 # DEPENDENCYPART_ARC
(17,10),-0.910528 # DEPENDENCYPART_ARC
(17,11),-0.523653 # DEPENDENCYPART_ARC
(17,12),-0.71702 # DEPENDENCYPART_ARC
(17,13),-0.437531 # DEPENDENCYPART_ARC
(17,14),0.388921 # DEPENDENCYPART_ARC
(17,15),0.641719 # DEPENDENCYPART_ARC
(17,16),0.747877 # DEPENDENCYPART_ARC
(17,18),0.177294 # DEPENDENCYPART_ARC
(18,1),-2.65896 # DEPENDENCYPART_ARC
(18,2),-2.26056 # DEPENDENCYPART_ARC
(18,3),-2.30501 # DEPENDENCYPART_ARC
(18,4),-1.71047 # DEPENDENCYPART_ARC
(18,5),-1.82224 # DEPENDENCYPART_ARC
(18,6),-2.2814 # DEPENDENCYPART_ARC
(18,7),-1.89745 # DEPENDENCYPART_ARC
(18,8),-1.90863 # DEPENDENCYPART_ARC
(18,9),-1.78634 # DEPENDENCYPART_ARC
(18,10),-1.3063 # DEPENDENCYPART_ARC
(18,11),-0.280743 # DEPENDENCYPART_ARC
(18,12),-1.18249 # DEPENDENCYPART_ARC
(18,13),-1.14441 # DEPENDENCYPART_ARC
(18,14),-0.27084 # DEPENDENCYPART_ARC
(18,15),-0.770852 # DEPENDENCYPART_ARC
(18,16),-1.06451 # DEPENDENCYPART_ARC
(18,17),-1.08924 # DEPENDENCYPART_ARC
