# _root_ `` In the U.S. market , the recognition of the Manpower name is infinitely stronger than Blue Arrow , '' Mr. Fromstein said .
#goldHeads=13,13,5,5,2,13,8,13,8,12,12,9,23,15,13,15,18,16,13,13,22,23,0,23,
#predictedHeads=23,13,5,5,2,13,8,13,8,12,12,9,23,15,13,15,18,16,23,23,22,23,0,23,
(8,22),-0.399875 # DEPENDENCYPART_ARC
(8,23),0.608135 # DEPENDENCYPART_ARC
(8,24),1.78678 # DEPENDENCYPART_ARC
(9,1),-1.28446 # DEPENDENCYPART_ARC
(9,2),-1.75634 # DEPENDENCYPART_ARC
(9,3),-1.31491 # DEPENDENCYPART_ARC
(9,4),-1.08658 # DEPENDENCYPART_ARC
(9,5),-1.54969 # DEPENDENCYPART_ARC
(9,6),-0.797073 # DEPENDENCYPART_ARC
(9,7),-0.395568 # DEPENDENCYPART_ARC
(9,8),0.378567 # DEPENDENCYPART_ARC
(9,10),0.790595 # DEPENDENCYPART_ARC
(9,11),2.02734 # DEPENDENCYPART_ARC
(9,12),4.67841 # DEPENDENCYPART_ARC
(9,13),0.95116 # DEPENDENCYPART_ARC
(9,14),-0.0796855 # DEPENDENCYPART_ARC
(9,15),0.0419525 # DEPENDENCYPART_ARC
(9,16),0.487674 # DEPENDENCYPART_ARC
(9,17),-0.762389 # DEPENDENCYPART_ARC
(9,18),0.745862 # DEPENDENCYPART_ARC
(9,19),0.194901 # DEPENDENCYPART_ARC
(9,20),0.0925733 # DEPENDENCYPART_ARC
(9,21),-2.55858 # DEPENDENCYPART_ARC
(9,22),-0.765678 # DEPENDENCYPART_ARC
(9,23),-1.80954 # DEPENDENCYPART_ARC
(9,24),-0.316945 # DEPENDENCYPART_ARC
(10,1),-3.18334 # DEPENDENCYPART_ARC
(10,2),-2.83142 # DEPENDENCYPART_ARC
(10,3),-2.02436 # DEPENDENCYPART_ARC
(10,4),-2.59616 # DEPENDENCYPART_ARC
(10,5),-2.64357 # DEPENDENCYPART_ARC
(10,6),-2.02757 # DEPENDENCYPART_ARC
(10,7),-1.0687 # DEPENDENCYPART_ARC
(10,8),-2.0837 # DEPENDENCYPART_ARC
(10,9),-0.870535 # DEPENDENCYPART_ARC
(10,11),-0.608687 # DEPENDENCYPART_ARC
(10,12),-0.379053 # DEPENDENCYPART_ARC
(10,13),-0.366868 # DEPENDENCYPART_ARC
(10,14),-1.36176 # DEPENDENCYPART_ARC
(10,15),-1.79468 # DEPENDENCYPART_ARC
(10,16),-0.982324 # DEPENDENCYPART_ARC
(10,17),-2.11597 # DEPENDENCYPART_ARC
(10,18),-2.09466 # DEPENDENCYPART_ARC
(10,19),-1.40675 # DEPENDENCYPART_ARC
(10,20),-1.58688 # DEPENDENCYPART_ARC
(10,21),-2.59647 # DEPENDENCYPART_ARC
(10,22),-2.66038 # DEPENDENCYPART_ARC
(10,23),-2.63088 # DEPENDENCYPART_ARC
(10,24),-2.48239 # DEPENDENCYPART_ARC
(11,1),-2.14083 # DEPENDENCYPART_ARC
(11,2),-2.36979 # DEPENDENCYPART_ARC
(11,3),-2.1563 # DEPENDENCYPART_ARC
(11,4),-2.80713 # DEPENDENCYPART_ARC
(11,5),-3.38863 # DEPENDENCYPART_ARC
(11,6),-1.7939 # DEPENDENCYPART_ARC
(11,7),-0.420838 # DEPENDENCYPART_ARC
(11,8),-1.56471 # DEPENDENCYPART_ARC
(11,9),-0.372966 # DEPENDENCYPART_ARC
(11,10),2.39026 # DEPENDENCYPART_ARC
(11,12),0.589398 # DEPENDENCYPART_ARC
(11,13),0.272468 # DEPENDENCYPART_ARC
(11,14),-0.811608 # DEPENDENCYPART_ARC
(11,15),-1.11188 # DEPENDENCYPART_ARC
(11,16),-0.52428 # DEPENDENCYPART_ARC
(11,17),-2.04978 # DEPENDENCYPART_ARC
(11,18),-1.4767 # DEPENDENCYPART_ARC
(11,19),-0.647711 # DEPENDENCYPART_ARC
(11,20),-0.340653 # DEPENDENCYPART_ARC
(11,21),-2.48684 # DEPENDENCYPART_ARC
(11,22),-2.06671 # DEPENDENCYPART_ARC
(11,23),-1.37413 # DEPENDENCYPART_ARC
(11,24),-0.756961 # DEPENDENCYPART_ARC
(12,1),-1.78436 # DEPENDENCYPART_ARC
(12,2),-0.277899 # DEPENDENCYPART_ARC
(12,3),0.0358751 # DEPENDENCYPART_ARC
(12,4),-1.44704 # DEPENDENCYPART_ARC
(12,5),-2.74413 # DEPENDENCYPART_ARC
(12,6),-0.779305 # DEPENDENCYPART_ARC
(12,7),0.987 # DEPENDENCYPART_ARC
(12,8),-0.250057 # DEPENDENCYPART_ARC
(12,9),0.804632 # DEPENDENCYPART_ARC
(12,10),4.64048 # DEPENDENCYPART_ARC
(12,11),4.50286 # DEPENDENCYPART_ARC
(12,13),0.503307 # DEPENDENCYPART_ARC
(12,14),-0.264302 # DEPENDENCYPART_ARC
(12,15),-0.347231 # DEPENDENCYPART_ARC
(12,16),-0.191271 # DEPENDENCYPART_ARC
(12,17),-0.870478 # DEPENDENCYPART_ARC
(12,18),-0.502419 # DEPENDENCYPART_ARC
(12,19),-0.269065 # DEPENDENCYPART_ARC
(12,20),0.333122 # DEPENDENCYPART_ARC
(12,21),-1.24764 # DEPENDENCYPART_ARC
(12,22),-1.11219 # DEPENDENCYPART_ARC
(12,23),-0.877465 # DEPENDENCYPART_ARC
(12,24),0.44466 # DEPENDENCYPART_ARC
(13,1),1.70649 # DEPENDENCYPART_ARC
(13,2),1.75563 # DEPENDENCYPART_ARC
(13,3),-1.15691 # DEPENDENCYPART_ARC
(13,4),0.279529 # DEPENDENCYPART_ARC
(13,5),0.128961 # DEPENDENCYPART_ARC
(13,6),2.80956 # DEPENDENCYPART_ARC
(13,7),-0.386965 # DEPENDENCYPART_ARC
(13,8),2.08261 # DEPENDENCYPART_ARC
(13,9),-0.201698 # DEPENDENCYPART_ARC
(13,10),0.135366 # DEPENDENCYPART_ARC
(13,11),1.21558 # DEPENDENCYPART_ARC
(13,12),2.56467 # DEPENDENCYPART_ARC
(13,14),2.1828 # DEPENDENCYPART_ARC
(13,15),2.12976 # DEPENDENCYPART_ARC
(13,16),1.06321 # DEPENDENCYPART_ARC
(13,17),0.297503 # DEPENDENCYPART_ARC
(13,18),0.712411 # DEPENDENCYPART_ARC
(13,19),1.64833 # DEPENDENCYPART_ARC
(13,20),1.36135 # DEPENDENCYPART_ARC
(13,21),-0.847156 # DEPENDENCYPART_ARC
(13,22),-0.703748 # DEPENDENCYPART_ARC
(13,23),1.04958 # DEPENDENCYPART_ARC
(13,24),2.87688 # DEPENDENCYPART_ARC
(14,1),-2.11305 # DEPENDENCYPART_ARC
(14,2),-2.17693 # DEPENDENCYPART_ARC
(14,3),-1.10486 # DEPENDENCYPART_ARC
(14,4),-2.01686 # DEPENDENCYPART_ARC
(14,5),-2.16496 # DEPENDENCYPART_ARC
(14,6),-1.32393 # DEPENDENCYPART_ARC
(14,7),-0.54776 # DEPENDENCYPART_ARC
(14,8),-1.40899 # DEPENDENCYPART_ARC
(14,9),-1.23977 # DEPENDENCYPART_ARC
(14,10),-0.148657 # DEPENDENCYPART_ARC
(14,11),-0.980546 # DEPENDENCYPART_ARC
(14,12),-0.86045 # DEPENDENCYPART_ARC
(14,13),-0.239715 # DEPENDENCYPART_ARC
(14,15),1.0811 # DEPENDENCYPART_ARC
(14,16),2.11622 # DEPENDENCYPART_ARC
(14,17),0.546376 # DEPENDENCYPART_ARC
(14,18),0.430362 # DEPENDENCYPART_ARC
(14,19),0.863693 # DEPENDENCYPART_ARC
(14,20),0.352098 # DEPENDENCYPART_ARC
(14,21),-0.562507 # DEPENDENCYPART_ARC
(14,22),-0.688096 # DEPENDENCYPART_ARC
(14,23),0.0785136 # DEPENDENCYPART_ARC
(14,24),-0.167706 # DEPENDENCYPART_ARC
(15,1),-1.38578 # DEPENDENCYPART_ARC
(15,2),-1.0731 # DEPENDENCYPART_ARC
(15,3),-0.679895 # DEPENDENCYPART_ARC
(15,4),-1.05507 # DEPENDENCYPART_ARC
(15,5),-1.23247 # DEPENDENCYPART_ARC
(15,6),-0.501152 # DEPENDENCYPART_ARC
(15,7),0.147667 # DEPENDENCYPART_ARC
(15,8),-0.770603 # DEPENDENCYPART_ARC
(15,9),-0.0966409 # DEPENDENCYPART_ARC
(15,10),0.693139 # DEPENDENCYPART_ARC
(15,11),-0.0630819 # DEPENDENCYPART_ARC
(15,12),0.459585 # DEPENDENCYPART_ARC
(15,13),0.270423 # DEPENDENCYPART_ARC
(15,14),3.39364 # DEPENDENCYPART_ARC
(15,16),3.45115 # DEPENDENCYPART_ARC
(15,17),0.89475 # DEPENDENCYPART_ARC
(15,18),0.673908 # DEPENDENCYPART_ARC
(15,19),0.93023 # DEPENDENCYPART_ARC
(15,20),0.98151 # DEPENDENCYPART_ARC
(15,21),-0.122421 # DEPENDENCYPART_ARC
(15,22),-0.292922 # DEPENDENCYPART_ARC
(15,23),0.0829621 # DEPENDENCYPART_ARC
(15,24),0.79887 # DEPENDENCYPART_ARC
(16,1),-1.01703 # DEPENDENCYPART_ARC
(16,2),-1.60944 # DEPENDENCYPART_ARC
(16,3),-1.62769 # DEPENDENCYPART_ARC
(16,4),-1.91156 # DEPENDENCYPART_ARC
(16,5),-2.08437 # DEPENDENCYPART_ARC
(16,6),-1.1913 # DEPENDENCYPART_ARC
(16,7),-0.637361 # DEPENDENCYPART_ARC
(16,8),-0.738823 # DEPENDENCYPART_ARC
(16,9),-0.579145 # DEPENDENCYPART_ARC
(16,10),-0.33544 # DEPENDENCYPART_ARC
(16,11),-0.83208 # DEPENDENCYPART_ARC
(16,12),-0.61834 # DEPENDENCYPART_ARC
(16,13),-0.231535 # DEPENDENCYPART_ARC
(16,14),0.571534 # DEPENDENCYPART_ARC
(16,15),0.436006 # DEPENDENCYPART_ARC
(16,17),2.43542 # DEPENDENCYPART_ARC
(16,18),2.62235 # DEPENDENCYPART_ARC
(16,19),1.03342 # DEPENDENCYPART_ARC
(16,20),0.887038 # DEPENDENCYPART_ARC
(16,21),0.127667 # DEPENDENCYPART_ARC
(16,22),0.316835 # DEPENDENCYPART_ARC
(16,23),1.91756 # DEPENDENCYPART_ARC
(16,24),0.536723 # DEPENDENCYPART_ARC
(17,1),-3.04444 # DEPENDENCYPART_ARC
(17,2),-3.60594 # DEPENDENCYPART_ARC
(17,3),-4.12936 # DEPENDENCYPART_ARC
(17,4),-5.14198 # DEPENDENCYPART_ARC
(17,5),-4.9411 # DEPENDENCYPART_ARC
(17,6),-4.1119 # DEPENDENCYPART_ARC
(17,7),-2.63126 # DEPENDENCYPART_ARC
(17,8),-3.82971 # DEPENDENCYPART_ARC
(17,9),-2.32135 # DEPENDENCYPART_ARC
(17,10),-1.2069 # DEPENDENCYPART_ARC
(17,11),-1.49081 # DEPENDENCYPART_ARC
(17,12),-1.31317 # DEPENDENCYPART_ARC
(17,13),-1.79874 # DEPENDENCYPART_ARC
(17,14),-0.86176 # DEPENDENCYPART_ARC
(17,15),-0.29199 # DEPENDENCYPART_ARC
(17,16),-0.0424314 # DEPENDENCYPART_ARC
(17,18),2.25789 # DEPENDENCYPART_ARC
(17,19),0.839321 # DEPENDENCYPART_ARC
(17,20),0.525683 # DEPENDENCYPART_ARC
(17,21),-0.25049 # DEPENDENCYPART_ARC
(17,22),0.643021 # DEPENDENCYPART_ARC
(17,23),-0.553756 # DEPENDENCYPART_ARC
(17,24),-0.828877 # DEPENDENCYPART_ARC
(18,1),-1.45965 # DEPENDENCYPART_ARC
(18,2),-2.33673 # DEPENDENCYPART_ARC
(18,3),-1.76995 # DEPENDENCYPART_ARC
(18,4),-2.82205 # DEPENDENCYPART_ARC
(18,5),-3.69791 # DEPENDENCYPART_ARC
(18,6),-2.58483 # DEPENDENCYPART_ARC
(18,7),-1.57451 # DEPENDENCYPART_ARC
(18,8),-2.63919 # DEPENDENCYPART_ARC
(18,9),-1.00692 # DEPENDENCYPART_ARC
(18,10),1.09013 # DEPENDENCYPART_ARC
(18,11),0.75881 # DEPENDENCYPART_ARC
(18,12),-0.397407 # DEPENDENCYPART_ARC
(18,13),-0.790703 # DEPENDENCYPART_ARC
(18,14),0.341725 # DEPENDENCYPART_ARC
(18,15),0.50047 # DEPENDENCYPART_ARC
(18,16),0.729302 # DEPENDENCYPART_ARC
(18,17),5.38619 # DEPENDENCYPART_ARC
(18,19),1.65158 # DEPENDENCYPART_ARC
(18,20),1.38948 # DEPENDENCYPART_ARC
(18,21),0.315577 # DEPENDENCYPART_ARC
(18,22),0.637308 # DEPENDENCYPART_ARC
(18,23),0.516722 # DEPENDENCYPART_ARC
(18,24),-0.147371 # DEPENDENCYPART_ARC
(19,1),-2.37692 # DEPENDENCYPART_ARC
(19,2),-2.63624 # DEPENDENCYPART_ARC
(19,3),-2.34266 # DEPENDENCYPART_ARC
(19,4),-2.89022 # DEPENDENCYPART_ARC
(19,5),-2.12667 # DEPENDENCYPART_ARC
(19,6),-0.481018 # DEPENDENCYPART_ARC
(19,7),-1.91341 # DEPENDENCYPART_ARC
(19,8),-2.08583 # DEPENDENCYPART_ARC
(19,9),-1.75281 # DEPENDENCYPART_ARC
(19,10),-1.42246 # DEPENDENCYPART_ARC
(19,11),-2.06665 # DEPENDENCYPART_ARC
(19,12),-1.70272 # DEPENDENCYPART_ARC
(19,13),-1.43422 # DEPENDENCYPART_ARC
(19,14),-1.89529 # DEPENDENCYPART_ARC
(19,15),-1.21707 # DEPENDENCYPART_ARC
(19,16),-0.8403 # DEPENDENCYPART_ARC
(19,17),-1.39356 # DEPENDENCYPART_ARC
(19,18),-0.915609 # DEPENDENCYPART_ARC
(19,20),0.118232 # DEPENDENCYPART_ARC
(19,21),-0.63207 # DEPENDENCYPART_ARC
(19,22),-0.889699 # DEPENDENCYPART_ARC
(19,23),-0.948186 # DEPENDENCYPART_ARC
(19,24),-1.22994 # DEPENDENCYPART_ARC
(20,1),-0.783539 # DEPENDENCYPART_ARC
(20,2),-3.09479 # DEPENDENCYPART_ARC
(20,3),-2.46253 # DEPENDENCYPART_ARC
(20,4),-3.14802 # DEPENDENCYPART_ARC
(20,5),-3.319 # DEPENDENCYPART_ARC
(20,6),-2.23921 # DEPENDENCYPART_ARC
(20,7),-2.02251 # DEPENDENCYPART_ARC
(20,8),-2.99903 # DEPENDENCYPART_ARC
(20,9),-2.22394 # DEPENDENCYPART_ARC
(20,10),-1.40324 # DEPENDENCYPART_ARC
(20,11),-2.30155 # DEPENDENCYPART_ARC
(20,12),-2.46794 # DEPENDENCYPART_ARC
(20,13),-1.6913 # DEPENDENCYPART_ARC
(20,14),-2.14909 # DEPENDENCYPART_ARC
(20,15),-1.5931 # DEPENDENCYPART_ARC
(20,16),-1.31348 # DEPENDENCYPART_ARC
(20,17),-1.2831 # DEPENDENCYPART_ARC
(20,18),-1.26236 # DEPENDENCYPART_ARC
(20,19),0.0646554 # DEPENDENCYPART_ARC
(20,21),-0.193399 # DEPENDENCYPART_ARC
(20,22),-0.746064 # DEPENDENCYPART_ARC
(20,23),-0.750141 # DEPENDENCYPART_ARC
(20,24),-1.0074 # DEPENDENCYPART_ARC
(21,1),-2.68023 # DEPENDENCYPART_ARC
(21,2),-4.00855 # DEPENDENCYPART_ARC
(21,3),-4.30344 # DEPENDENCYPART_ARC
(21,4),-5.79334 # DEPENDENCYPART_ARC
(21,5),-5.09468 # DEPENDENCYPART_ARC
(21,6),-4.30309 # DEPENDENCYPART_ARC
(21,7),-3.68452 # DEPENDENCYPART_ARC
(21,8),-4.50386 # DEPENDENCYPART_ARC
(21,9),-2.9678 # DEPENDENCYPART_ARC
(21,10),-2.09224 # DEPENDENCYPART_ARC
(21,11),-2.17539 # DEPENDENCYPART_ARC
(21,12),-2.46591 # DEPENDENCYPART_ARC
(21,13),-2.86047 # DEPENDENCYPART_ARC
(21,14),-2.19521 # DEPENDENCYPART_ARC
(21,15),-2.15072 # DEPENDENCYPART_ARC
(21,16),-1.82745 # DEPENDENCYPART_ARC
(21,17),0.893463 # DEPENDENCYPART_ARC
(21,18),0.128069 # DEPENDENCYPART_ARC
(21,19),0.234324 # DEPENDENCYPART_ARC
(21,20),0.165249 # DEPENDENCYPART_ARC
(21,22),1.37794 # DEPENDENCYPART_ARC
(21,23),-1.0765 # DEPENDENCYPART_ARC
(21,24),-1.3264 # DEPENDENCYPART_ARC
(22,1),-2.2495 # DEPENDENCYPART_ARC
(22,2),-3.62541 # DEPENDENCYPART_ARC
(22,3),-3.12535 # DEPENDENCYPART_ARC
