# _root_ The 3,000 hours of work will save the state $ 55,000 .
#goldHeads=3,3,6,3,4,0,6,9,7,7,10,6,
#predictedHeads=3,3,6,3,4,0,6,9,7,7,10,6,
(5,2),0.183422 # DEPENDENCYPART_ARC
(5,3),0.580257 # DEPENDENCYPART_ARC
(5,4),0.889147 # DEPENDENCYPART_ARC
(5,6),-0.0390792 # DEPENDENCYPART_ARC
(5,7),-0.03192 # DEPENDENCYPART_ARC
(5,8),-0.843139 # DEPENDENCYPART_ARC
(5,9),-0.696625 # DEPENDENCYPART_ARC
(5,10),-0.942743 # DEPENDENCYPART_ARC
(5,11),-0.203989 # DEPENDENCYPART_ARC
(5,12),-0.921947 # DEPENDENCYPART_ARC
(6,1),-0.286139 # DEPENDENCYPART_ARC
(6,2),0.750173 # DEPENDENCYPART_ARC
(6,3),1.61369 # DEPENDENCYPART_ARC
(6,4),0.154706 # DEPENDENCYPART_ARC
(6,5),2.26361 # DEPENDENCYPART_ARC
(6,7),4.14378 # DEPENDENCYPART_ARC
(6,8),0.24955 # DEPENDENCYPART_ARC
(6,9),0.532676 # DEPENDENCYPART_ARC
(6,10),-0.455938 # DEPENDENCYPART_ARC
(6,11),-0.666023 # DEPENDENCYPART_ARC
(6,12),3.30768 # DEPENDENCYPART_ARC
(7,1),0.0115305 # DEPENDENCYPART_ARC
(7,2),0.0615425 # DEPENDENCYPART_ARC
(7,3),0.431211 # DEPENDENCYPART_ARC
(7,4),0.633557 # DEPENDENCYPART_ARC
(7,5),0.679112 # DEPENDENCYPART_ARC
(7,6),0.996352 # DEPENDENCYPART_ARC
(7,8),1.28551 # DEPENDENCYPART_ARC
(7,9),2.93989 # DEPENDENCYPART_ARC
(7,10),2.07557 # DEPENDENCYPART_ARC
(7,11),0.940781 # DEPENDENCYPART_ARC
(7,12),0.626 # DEPENDENCYPART_ARC
(8,1),-1.95417 # DEPENDENCYPART_ARC
(8,2),-2.12359 # DEPENDENCYPART_ARC
(8,3),-2.32489 # DEPENDENCYPART_ARC
(8,4),-1.51365 # DEPENDENCYPART_ARC
(8,5),-1.80339 # DEPENDENCYPART_ARC
(8,6),-1.46542 # DEPENDENCYPART_ARC
(8,7),-0.256877 # DEPENDENCYPART_ARC
(8,9),0.440924 # DEPENDENCYPART_ARC
(8,10),-1.36755 # DEPENDENCYPART_ARC
(8,11),-0.705777 # DEPENDENCYPART_ARC
(8,12),-1.37055 # DEPENDENCYPART_ARC
(9,1),-2.30726 # DEPENDENCYPART_ARC
(9,2),-2.31683 # DEPENDENCYPART_ARC
(9,3),-1.98902 # DEPENDENCYPART_ARC
(9,4),-0.829303 # DEPENDENCYPART_ARC
(9,5),-0.843734 # DEPENDENCYPART_ARC
(9,6),-1.04042 # DEPENDENCYPART_ARC
(9,7),-0.297023 # DEPENDENCYPART_ARC
(9,8),3.64095 # DEPENDENCYPART_ARC
(9,10),1.38199 # DEPENDENCYPART_ARC
(9,11),1.96688 # DEPENDENCYPART_ARC
(9,12),0.433029 # DEPENDENCYPART_ARC
(10,1),0.170934 # DEPENDENCYPART_ARC
(10,2),-0.825474 # DEPENDENCYPART_ARC
(10,3),-0.730176 # DEPENDENCYPART_ARC
(10,4),0.152288 # DEPENDENCYPART_ARC
(10,5),0.352408 # DEPENDENCYPART_ARC
(10,6),-0.263682 # DEPENDENCYPART_ARC
(10,7),0.473325 # DEPENDENCYPART_ARC
(10,8),2.77679 # DEPENDENCYPART_ARC
(10,9),1.6241 # DEPENDENCYPART_ARC
(10,11),4.00059 # DEPENDENCYPART_ARC
(10,12),0.294916 # DEPENDENCYPART_ARC
(11,1),-0.675976 # DEPENDENCYPART_ARC
(11,2),-1.61164 # DEPENDENCYPART_ARC
(11,3),-1.72405 # DEPENDENCYPART_ARC
(11,4),-1.26296 # DEPENDENCYPART_ARC
(11,5),-1.76871 # DEPENDENCYPART_ARC
(11,6),-1.29724 # DEPENDENCYPART_ARC
(11,7),-0.639267 # DEPENDENCYPART_ARC
(11,8),0.866931 # DEPENDENCYPART_ARC
(11,9),-0.428651 # DEPENDENCYPART_ARC
(11,10),0.581915 # DEPENDENCYPART_ARC
(11,12),-0.490148 # DEPENDENCYPART_ARC
(12,1),-1.52188 # DEPENDENCYPART_ARC
(12,2),-2.01821 # DEPENDENCYPART_ARC
(12,3),-1.38675 # DEPENDENCYPART_ARC
(12,4),-1.76401 # DEPENDENCYPART_ARC
(12,5),-1.38749 # DEPENDENCYPART_ARC
(12,6),-0.801444 # DEPENDENCYPART_ARC
(12,7),-1.53437 # DEPENDENCYPART_ARC
(12,8),-0.754387 # DEPENDENCYPART_ARC
(12,9),-1.29526 # DEPENDENCYPART_ARC
(12,10),-1.22437 # DEPENDENCYPART_ARC
(12,11),-0.967755 # DEPENDENCYPART_ARC
