# _root_ Slated for market by the end of the year , the paper `` could have been introduced a long time ago but the market was n't there then , '' says an Agfa spokesman .
#goldHeads=14,1,2,1,6,4,6,9,7,1,12,14,14,31,14,15,16,20,20,21,17,14,24,25,22,25,25,25,14,14,0,34,34,31,31,
#predictedHeads=14,1,2,1,6,4,6,9,7,14,12,14,14,31,14,15,16,20,20,17,17,14,24,25,22,25,25,25,31,31,0,34,34,31,31,
(1,4),2.48105 # DEPENDENCYPART_ARC
(1,5),-0.660271 # DEPENDENCYPART_ARC
(1,6),-0.18266 # DEPENDENCYPART_ARC
(1,7),-0.154 # DEPENDENCYPART_ARC
(1,8),-0.950745 # DEPENDENCYPART_ARC
(1,9),0.480419 # DEPENDENCYPART_ARC
(1,10),0.215369 # DEPENDENCYPART_ARC
(1,11),-1.07514 # DEPENDENCYPART_ARC
(1,12),-1.96177 # DEPENDENCYPART_ARC
(1,13),-0.380782 # DEPENDENCYPART_ARC
(1,14),-1.02193 # DEPENDENCYPART_ARC
(1,15),-1.20591 # DEPENDENCYPART_ARC
(1,16),-1.05514 # DEPENDENCYPART_ARC
(1,17),-0.935191 # DEPENDENCYPART_ARC
(1,18),-1.56859 # DEPENDENCYPART_ARC
(1,19),-2.2276 # DEPENDENCYPART_ARC
(1,20),-1.74499 # DEPENDENCYPART_ARC
(1,21),-1.37124 # DEPENDENCYPART_ARC
(1,22),-0.532993 # DEPENDENCYPART_ARC
(1,23),-2.44855 # DEPENDENCYPART_ARC
(1,24),-3.57504 # DEPENDENCYPART_ARC
(1,25),-1.34657 # DEPENDENCYPART_ARC
(1,26),-2.56221 # DEPENDENCYPART_ARC
(1,27),-2.68604 # DEPENDENCYPART_ARC
(1,28),-1.63302 # DEPENDENCYPART_ARC
(1,29),-1.41423 # DEPENDENCYPART_ARC
(1,30),-0.505924 # DEPENDENCYPART_ARC
(1,31),-3.05197 # DEPENDENCYPART_ARC
(1,32),-3.11566 # DEPENDENCYPART_ARC
(1,33),-4.25341 # DEPENDENCYPART_ARC
(1,34),-5.15434 # DEPENDENCYPART_ARC
(1,35),1.94481 # DEPENDENCYPART_ARC
(2,1),0.356322 # DEPENDENCYPART_ARC
(2,3),3.39053 # DEPENDENCYPART_ARC
(2,4),0.267932 # DEPENDENCYPART_ARC
(2,5),-1.53359 # DEPENDENCYPART_ARC
(2,6),-0.189081 # DEPENDENCYPART_ARC
(2,7),-0.433285 # DEPENDENCYPART_ARC
(2,8),-2.31525 # DEPENDENCYPART_ARC
(2,9),-2.70145 # DEPENDENCYPART_ARC
(2,10),0.0956608 # DEPENDENCYPART_ARC
(2,11),-3.00861 # DEPENDENCYPART_ARC
(2,12),-5.93865 # DEPENDENCYPART_ARC
(2,13),-1.25512 # DEPENDENCYPART_ARC
(2,14),-2.75544 # DEPENDENCYPART_ARC
(2,15),-3.01041 # DEPENDENCYPART_ARC
(2,16),-2.11952 # DEPENDENCYPART_ARC
(2,17),-1.55103 # DEPENDENCYPART_ARC
(2,18),-3.81319 # DEPENDENCYPART_ARC
(2,19),-3.04646 # DEPENDENCYPART_ARC
(2,20),-7.17015 # DEPENDENCYPART_ARC
(2,21),-2.07531 # DEPENDENCYPART_ARC
(2,22),-0.557643 # DEPENDENCYPART_ARC
(2,23),-4.97008 # DEPENDENCYPART_ARC
(2,24),-9.65208 # DEPENDENCYPART_ARC
(2,25),-5.82824 # DEPENDENCYPART_ARC
(2,26),-3.28157 # DEPENDENCYPART_ARC
(2,27),-3.53455 # DEPENDENCYPART_ARC
(2,28),-3.44738 # DEPENDENCYPART_ARC
(2,29),-1.40068 # DEPENDENCYPART_ARC
(2,30),-0.845722 # DEPENDENCYPART_ARC
(2,31),-8.14469 # DEPENDENCYPART_ARC
(2,32),-5.64818 # DEPENDENCYPART_ARC
(2,33),-11.6887 # DEPENDENCYPART_ARC
(2,34),-14.8926 # DEPENDENCYPART_ARC
(2,35),-1.19719 # DEPENDENCYPART_ARC
(3,1),0.243031 # DEPENDENCYPART_ARC
(3,2),0.443348 # DEPENDENCYPART_ARC
(3,4),1.77536 # DEPENDENCYPART_ARC
(3,5),-0.361371 # DEPENDENCYPART_ARC
(3,6),0.307079 # DEPENDENCYPART_ARC
(3,7),0.234608 # DEPENDENCYPART_ARC
(3,8),-0.827462 # DEPENDENCYPART_ARC
(3,9),0.197126 # DEPENDENCYPART_ARC
(3,10),0.498961 # DEPENDENCYPART_ARC
(3,11),-0.900691 # DEPENDENCYPART_ARC
(3,12),-0.843281 # DEPENDENCYPART_ARC
(3,13),-0.510613 # DEPENDENCYPART_ARC
(3,14),-0.357878 # DEPENDENCYPART_ARC
(3,15),-0.794222 # DEPENDENCYPART_ARC
(3,16),-1.25076 # DEPENDENCYPART_ARC
(3,17),-1.59744 # DEPENDENCYPART_ARC
(3,18),-1.46561 # DEPENDENCYPART_ARC
(3,19),-2.04566 # DEPENDENCYPART_ARC
(3,20),-1.2356 # DEPENDENCYPART_ARC
(3,21),-1.07522 # DEPENDENCYPART_ARC
(3,22),-0.30616 # DEPENDENCYPART_ARC
(3,23),-2.02177 # DEPENDENCYPART_ARC
(3,24),-0.881097 # DEPENDENCYPART_ARC
(3,25),-1.22521 # DEPENDENCYPART_ARC
(3,26),-2.35485 # DEPENDENCYPART_ARC
(3,27),-2.17581 # DEPENDENCYPART_ARC
(3,28),-2.5429 # DEPENDENCYPART_ARC
(3,29),-1.70248 # DEPENDENCYPART_ARC
(3,30),-0.660648 # DEPENDENCYPART_ARC
(3,31),-1.83456 # DEPENDENCYPART_ARC
(3,32),-2.88426 # DEPENDENCYPART_ARC
(3,33),-4.22833 # DEPENDENCYPART_ARC
(3,34),-3.99727 # DEPENDENCYPART_ARC
(3,35),-0.127958 # DEPENDENCYPART_ARC
(4,1),-0.376022 # DEPENDENCYPART_ARC
(4,2),0.541486 # DEPENDENCYPART_ARC
(4,3),0.312005 # DEPENDENCYPART_ARC
(4,5),0.22673 # DEPENDENCYPART_ARC
(4,6),4.11692 # DEPENDENCYPART_ARC
(4,7),0.588419 # DEPENDENCYPART_ARC
(4,8),-1.47029 # DEPENDENCYPART_ARC
(4,9),0.341998 # DEPENDENCYPART_ARC
(4,10),0.361101 # DEPENDENCYPART_ARC
(4,11),-2.30833 # DEPENDENCYPART_ARC
(4,12),-2.74098 # DEPENDENCYPART_ARC
(4,13),-1.11054 # DEPENDENCYPART_ARC
(4,14),-2.20297 # DEPENDENCYPART_ARC
(4,15),-2.09179 # DEPENDENCYPART_ARC
(4,16),-1.16746 # DEPENDENCYPART_ARC
(4,17),-0.700315 # DEPENDENCYPART_ARC
(4,18),-3.18021 # DEPENDENCYPART_ARC
(4,19),-2.38456 # DEPENDENCYPART_ARC
(4,20),-4.38722 # DEPENDENCYPART_ARC
(4,21),-1.1509 # DEPENDENCYPART_ARC
(4,22),-0.436987 # DEPENDENCYPART_ARC
(4,23),-4.08271 # DEPENDENCYPART_ARC
(4,24),-5.39324 # DEPENDENCYPART_ARC
(4,25),-4.72798 # DEPENDENCYPART_ARC
(4,26),-2.49255 # DEPENDENCYPART_ARC
(4,27),-2.63983 # DEPENDENCYPART_ARC
(4,28),-2.68717 # DEPENDENCYPART_ARC
(4,29),-1.32033 # DEPENDENCYPART_ARC
(4,30),-2.28476 # DEPENDENCYPART_ARC
(4,31),-6.8857 # DEPENDENCYPART_ARC
(4,32),-5.0366 # DEPENDENCYPART_ARC
(4,33),-9.13938 # DEPENDENCYPART_ARC
(4,34),-10.8718 # DEPENDENCYPART_ARC
(4,35),-2.12033 # DEPENDENCYPART_ARC
(5,1),-2.52102 # DEPENDENCYPART_ARC
(5,2),-1.62508 # DEPENDENCYPART_ARC
(5,3),-2.33526 # DEPENDENCYPART_ARC
(5,4),-0.979057 # DEPENDENCYPART_ARC
(5,6),0.0757617 # DEPENDENCYPART_ARC
(5,7),-0.784468 # DEPENDENCYPART_ARC
(5,8),-2.18878 # DEPENDENCYPART_ARC
(5,9),-1.29974 # DEPENDENCYPART_ARC
(5,10),-1.86673 # DEPENDENCYPART_ARC
(5,11),-2.59673 # DEPENDENCYPART_ARC
(5,12),-1.6871 # DEPENDENCYPART_ARC
(5,13),-2.15641 # DEPENDENCYPART_ARC
(5,14),-2.53203 # DEPENDENCYPART_ARC
(5,15),-2.77575 # DEPENDENCYPART_ARC
(5,16),-2.43695 # DEPENDENCYPART_ARC
(5,17),-2.60216 # DEPENDENCYPART_ARC
(5,18),-3.56852 # DEPENDENCYPART_ARC
(5,19),-3.28048 # DEPENDENCYPART_ARC
(5,20),-2.90309 # DEPENDENCYPART_ARC
(5,21),-3.1063 # DEPENDENCYPART_ARC
(5,22),-2.5851 # DEPENDENCYPART_ARC
(5,23),-4.11555 # DEPENDENCYPART_ARC
(5,24),-3.07843 # DEPENDENCYPART_ARC
(5,25),-4.92948 # DEPENDENCYPART_ARC
(5,26),-3.82141 # DEPENDENCYPART_ARC
(5,27),-3.98895 # DEPENDENCYPART_ARC
(5,28),-4.06106 # DEPENDENCYPART_ARC
(5,29),-4.19344 # DEPENDENCYPART_ARC
(5,30),-2.85795 # DEPENDENCYPART_ARC
(5,31),-6.39448 # DEPENDENCYPART_ARC
(5,32),-5.12428 # DEPENDENCYPART_ARC
(5,33),-5.0313 # DEPENDENCYPART_ARC
(5,34),-4.39114 # DEPENDENCYPART_ARC
(5,35),-2.67568 # DEPENDENCYPART_ARC
(6,1),-1.24348 # DEPENDENCYPART_ARC
(6,2),-0.137047 # DEPENDENCYPART_ARC
(6,3),-0.600978 # DEPENDENCYPART_ARC
(6,4),0.629126 # DEPENDENCYPART_ARC
(6,5),4.27431 # DEPENDENCYPART_ARC
(6,7),3.22834 # DEPENDENCYPART_ARC
(6,8),0.185585 # DEPENDENCYPART_ARC
(6,9),1.28695 # DEPENDENCYPART_ARC
(6,10),0.803397 # DEPENDENCYPART_ARC
(6,11),-0.272203 # DEPENDENCYPART_ARC
(6,12),0.225801 # DEPENDENCYPART_ARC
(6,13),0.309764 # DEPENDENCYPART_ARC
(6,14),0.384635 # DEPENDENCYPART_ARC
(6,15),0.058759 # DEPENDENCYPART_ARC
(6,16),-0.215111 # DEPENDENCYPART_ARC
(6,17),-0.588375 # DEPENDENCYPART_ARC
(6,18),-0.853623 # DEPENDENCYPART_ARC
(6,19),-1.47792 # DEPENDENCYPART_ARC
(6,20),-0.398568 # DEPENDENCYPART_ARC
(6,21),-0.58292 # DEPENDENCYPART_ARC
(6,22),0.175112 # DEPENDENCYPART_ARC
(6,23),-1.31323 # DEPENDENCYPART_ARC
(6,24),-0.74091 # DEPENDENCYPART_ARC
(6,25),-1.31504 # DEPENDENCYPART_ARC
(6,26),-1.76364 # DEPENDENCYPART_ARC
(6,27),-1.7788 # DEPENDENCYPART_ARC
(6,28),-2.15383 # DEPENDENCYPART_ARC
(6,29),-1.47271 # DEPENDENCYPART_ARC
(6,30),0.38377 # DEPENDENCYPART_ARC
(6,31),-2.06326 # DEPENDENCYPART_ARC
(6,32),-2.37709 # DEPENDENCYPART_ARC
(6,33),-2.9606 # DEPENDENCYPART_ARC
(6,34),-2.67967 # DEPENDENCYPART_ARC
(6,35),0.422157 # DEPENDENCYPART_ARC
(7,1),-1.34432 # DEPENDENCYPART_ARC
(7,2),-1.0161 # DEPENDENCYPART_ARC
(7,3),-0.834053 # DEPENDENCYPART_ARC
(7,4),-0.565103 # DEPENDENCYPART_ARC
(7,5),-0.622537 # DEPENDENCYPART_ARC
(7,6),0.207211 # DEPENDENCYPART_ARC
(7,8),0.560487 # DEPENDENCYPART_ARC
(7,9),3.83946 # DEPENDENCYPART_ARC
(7,10),0.398116 # DEPENDENCYPART_ARC
(7,11),-1.42727 # DEPENDENCYPART_ARC
(7,12),-0.112013 # DEPENDENCYPART_ARC
(7,13),-0.718709 # DEPENDENCYPART_ARC
(7,14),-0.99775 # DEPENDENCYPART_ARC
(7,15),-1.25195 # DEPENDENCYPART_ARC
(7,16),-0.554925 # DEPENDENCYPART_ARC
(7,17),-0.292952 # DEPENDENCYPART_ARC
(7,18),-2.40641 # DEPENDENCYPART_ARC
(7,19),-1.47575 # DEPENDENCYPART_ARC
(7,20),-2.31436 # DEPENDENCYPART_ARC
(7,21),-0.853361 # DEPENDENCYPART_ARC
(7,22),-1.22608 # DEPENDENCYPART_ARC
(7,23),-3.47136 # DEPENDENCYPART_ARC
(7,24),-2.46387 # DEPENDENCYPART_ARC
(7,25),-3.02986 # DEPENDENCYPART_ARC
(7,26),-2.41177 # DEPENDENCYPART_ARC
(7,27),-2.50337 # DEPENDENCYPART_ARC
(7,28),-2.2543 # DEPENDENCYPART_ARC
(7,29),-2.07281 # DEPENDENCYPART_ARC
(7,30),-1.86937 # DEPENDENCYPART_ARC
(7,31),-5.99409 # DEPENDENCYPART_ARC
(7,32),-4.41666 # DEPENDENCYPART_ARC
(7,33),-9.48489 # DEPENDENCYPART_ARC
(7,34),-9.18404 # DEPENDENCYPART_ARC
(7,35),0.373595 # DEPENDENCYPART_ARC
(8,1),-2.44055 # DEPENDENCYPART_ARC
(8,2),-1.76038 # DEPENDENCYPART_ARC
(8,3),-2.38144 # DEPENDENCYPART_ARC
(8,4),-1.6495 # DEPENDENCYPART_ARC
(8,5),-0.797182 # DEPENDENCYPART_ARC
(8,6),-1.81185 # DEPENDENCYPART_ARC
(8,7),-0.465342 # DEPENDENCYPART_ARC
(8,9),-0.5688 # DEPENDENCYPART_ARC
(8,10),-2.22854 # DEPENDENCYPART_ARC
(8,11),-2.89466 # DEPENDENCYPART_ARC
(8,12),-1.87938 # DEPENDENCYPART_ARC
(8,13),-2.68868 # DEPENDENCYPART_ARC
(8,14),-2.71933 # DEPENDENCYPART_ARC
(8,15),-2.96485 # DEPENDENCYPART_ARC
(8,16),-2.74671 # DEPENDENCYPART_ARC
(8,17),-2.82627 # DEPENDENCYPART_ARC
(8,18),-3.72941 # DEPENDENCYPART_ARC
(8,19),-3.61717 # DEPENDENCYPART_ARC
(8,20),-3.36861 # DEPENDENCYPART_ARC
(8,21),-3.53191 # DEPENDENCYPART_ARC
(8,22),-2.95937 # DEPENDENCYPART_ARC
(8,23),-4.47549 # DEPENDENCYPART_ARC
(8,24),-3.46055 # DEPENDENCYPART_ARC
(8,25),-4.88958 # DEPENDENCYPART_ARC
(8,26),-4.20124 # DEPENDENCYPART_ARC
(8,27),-4.31649 # DEPENDENCYPART_ARC
(8,28),-4.34566 # DEPENDENCYPART_ARC
(8,29),-4.52075 # DEPENDENCYPART_ARC
(8,30),-3.3585 # DEPENDENCYPART_ARC
(8,31),-6.13124 # DEPENDENCYPART_ARC
(8,32),-5.46083 # DEPENDENCYPART_ARC
(8,33),-5.36316 # DEPENDENCYPART_ARC
(8,34),-4.8808 # DEPENDENCYPART_ARC
(8,35),-3.29051 # DEPENDENCYPART_ARC
(9,1),-2.91095 # DEPENDENCYPART_ARC
(9,2),-0.606311 # DEPENDENCYPART_ARC
(9,3),-4.14664 # DEPENDENCYPART_ARC
(9,4),-0.0466498 # DEPENDENCYPART_ARC
(9,5),0.677755 # DEPENDENCYPART_ARC
(9,6),-1.14294 # DEPENDENCYPART_ARC
(9,7),0.644132 # DEPENDENCYPART_ARC
(9,8),4.92453 # DEPENDENCYPART_ARC
(9,10),0.74977 # DEPENDENCYPART_ARC
(9,11),-0.0184517 # DEPENDENCYPART_ARC
(9,12),0.055867 # DEPENDENCYPART_ARC
(9,13),0.372756 # DEPENDENCYPART_ARC
(9,14),-0.0490543 # DEPENDENCYPART_ARC
(9,15),0.174272 # DEPENDENCYPART_ARC
(9,16),-0.0798935 # DEPENDENCYPART_ARC
(9,17),-0.332968 # DEPENDENCYPART_ARC
(9,18),-0.694655 # DEPENDENCYPART_ARC
(9,19),-0.685936 # DEPENDENCYPART_ARC
(9,20),-0.84792 # DEPENDENCYPART_ARC
(9,21),-0.284252 # DEPENDENCYPART_ARC
(9,22),-0.627403 # DEPENDENCYPART_ARC
(9,23),-1.36622 # DEPENDENCYPART_ARC
(9,24),-1.54404 # DEPENDENCYPART_ARC
(9,25),-0.79918 # DEPENDENCYPART_ARC
(9,26),-1.60814 # DEPENDENCYPART_ARC
(9,27),-1.4067 # DEPENDENCYPART_ARC
(9,28),-1.40381 # DEPENDENCYPART_ARC
(9,29),-0.788183 # DEPENDENCYPART_ARC
(9,30),0.826836 # DEPENDENCYPART_ARC
(9,31),-1.77581 # DEPENDENCYPART_ARC
(9,32),-2.35515 # DEPENDENCYPART_ARC
(9,33),-3.06642 # DEPENDENCYPART_ARC
(9,34),-3.1853 # DEPENDENCYPART_ARC
(9,35),0.875417 # DEPENDENCYPART_ARC
(10,1),-1.37563 # DEPENDENCYPART_ARC
(10,2),-2.23566 # DEPENDENCYPART_ARC
(10,3),-1.91426 # DEPENDENCYPART_ARC
(10,4),-1.9144 # DEPENDENCYPART_ARC
(10,5),-1.62825 # DEPENDENCYPART_ARC
(10,6),-1.91343 # DEPENDENCYPART_ARC
(10,7),-1.46952 # DEPENDENCYPART_ARC
(10,8),-1.07063 # DEPENDENCYPART_ARC
(10,9),-1.5146 # DEPENDENCYPART_ARC
(10,11),-0.0859837 # DEPENDENCYPART_ARC
(10,12),-0.762626 # DEPENDENCYPART_ARC
(10,13),-0.304439 # DEPENDENCYPART_ARC
(10,14),-0.996416 # DEPENDENCYPART_ARC
(10,15),-1.00651 # DEPENDENCYPART_ARC
(10,16),-1.39057 # DEPENDENCYPART_ARC
(10,17),-1.50788 # DEPENDENCYPART_ARC
(10,18),-1.78937 # DEPENDENCYPART_ARC
(10,19),-1.96935 # DEPENDENCYPART_ARC
(10,20),-2.48254 # DEPENDENCYPART_ARC
(10,21),-2.00274 # DEPENDENCYPART_ARC
(10,22),-1.61034 # DEPENDENCYPART_ARC
(10,23),-2.33486 # DEPENDENCYPART_ARC
(10,24),-2.9244 # DEPENDENCYPART_ARC
(10,25),-1.96703 # DEPENDENCYPART_ARC
(10,26),-2.51274 # DEPENDENCYPART_ARC
(10,27),-2.62347 # DEPENDENCYPART_ARC
(10,28),-2.71803 # DEPENDENCYPART_ARC
(10,29),-0.360148 # DEPENDENCYPART_ARC
(10,30),-2.03433 # DEPENDENCYPART_ARC
(10,31),-2.51935 # DEPENDENCYPART_ARC
(10,32),-3.20557 # DEPENDENCYPART_ARC
(10,33),-3.38724 # DEPENDENCYPART_ARC
(10,34),-4.03111 # DEPENDENCYPART_ARC
(10,35),-2.81318 # DEPENDENCYPART_ARC
(11,1),-2.65899 # DEPENDENCYPART_ARC
(11,2),-2.16317 # DEPENDENCYPART_ARC
(11,3),-2.8294 # DEPENDENCYPART_ARC
(11,4),-2.00999 # DEPENDENCYPART_ARC
(11,5),-1.52227 # DEPENDENCYPART_ARC
(11,6),-2.26373 # DEPENDENCYPART_ARC
(11,7),-1.56468 # DEPENDENCYPART_ARC
(11,8),-0.659367 # DEPENDENCYPART_ARC
(11,9),-1.68812 # DEPENDENCYPART_ARC
(11,10),-0.508575 # DEPENDENCYPART_ARC
(11,12),-0.238495 # DEPENDENCYPART_ARC
(11,13),-1.30712 # DEPENDENCYPART_ARC
(11,14),-0.844594 # DEPENDENCYPART_ARC
(11,15),-1.57837 # DEPENDENCYPART_ARC
(11,16),-1.70772 # DEPENDENCYPART_ARC
(11,17),-1.75569 # DEPENDENCYPART_ARC
(11,18),-2.66207 # DEPENDENCYPART_ARC
(11,19),-2.55495 # DEPENDENCYPART_ARC
(11,20),-2.32731 # DEPENDENCYPART_ARC
(11,21),-2.23605 # DEPENDENCYPART_ARC
(11,22),-1.60849 # DEPENDENCYPART_ARC
(11,23),-3.46334 # DEPENDENCYPART_ARC
(11,24),-2.76246 # DEPENDENCYPART_ARC
(11,25),-3.10671 # DEPENDENCYPART_ARC
(11,26),-3.10736 # DEPENDENCYPART_ARC
(11,27),-3.22483 # DEPENDENCYPART_ARC
(11,28),-3.30441 # DEPENDENCYPART_ARC
(11,29),-3.25977 # DEPENDENCYPART_ARC
(11,30),-2.3272 # DEPENDENCYPART_ARC
(11,31),-4.22236 # DEPENDENCYPART_ARC
(11,32),-4.34421 # DEPENDENCYPART_ARC
(11,33),-4.30922 # DEPENDENCYPART_ARC
(11,34),-3.93183 # DEPENDENCYPART_ARC
(11,35),-2.25524 # DEPENDENCYPART_ARC
(12,1),-3.34949 # DEPENDENCYPART_ARC
(12,2),-0.646313 # DEPENDENCYPART_ARC
(12,3),-4.5369 # DEPENDENCYPART_ARC
(12,4),-0.58449 # DEPENDENCYPART_ARC
(12,5),-1.55296 # DEPENDENCYPART_ARC
(12,6),-2.17908 # DEPENDENCYPART_ARC
(12,7),-0.355642 # DEPENDENCYPART_ARC
(12,8),1.36381 # DEPENDENCYPART_ARC
(12,9),-0.825213 # DEPENDENCYPART_ARC
(12,10),0.537161 # DEPENDENCYPART_ARC
(12,11),3.68642 # DEPENDENCYPART_ARC
(12,13),1.51214 # DEPENDENCYPART_ARC
(12,14),1.51586 # DEPENDENCYPART_ARC
(12,15),1.10701 # DEPENDENCYPART_ARC
(12,16),1.20779 # DEPENDENCYPART_ARC
(12,17),0.962297 # DEPENDENCYPART_ARC
(12,18),0.0856763 # DEPENDENCYPART_ARC
(12,19),-0.296758 # DEPENDENCYPART_ARC
(12,20),0.31998 # DEPENDENCYPART_ARC
(12,21),0.182728 # DEPENDENCYPART_ARC
(12,22),0.789258 # DEPENDENCYPART_ARC
(12,23),-0.645018 # DEPENDENCYPART_ARC
(12,24),-0.3066 # DEPENDENCYPART_ARC
(12,25),-0.14209 # DEPENDENCYPART_ARC
(12,26),-1.14546 # DEPENDENCYPART_ARC
(12,27),-0.897065 # DEPENDENCYPART_ARC
(12,28),-0.910613 # DEPENDENCYPART_ARC
(12,29),0.488176 # DEPENDENCYPART_ARC
(12,30),0.970308 # DEPENDENCYPART_ARC
(12,31),-1.10829 # DEPENDENCYPART_ARC
(12,32),-1.48526 # DEPENDENCYPART_ARC
(12,33),-1.9248 # DEPENDENCYPART_ARC
(12,34),-1.73431 # DEPENDENCYPART_ARC
(12,35),0.944159 # DEPENDENCYPART_ARC
(13,1),-2.03594 # DEPENDENCYPART_ARC
(13,2),-1.95125 # DEPENDENCYPART_ARC
(13,3),-1.94313 # DEPENDENCYPART_ARC
(13,4),-1.69735 # DEPENDENCYPART_ARC
(13,5),-1.36792 # DEPENDENCYPART_ARC
(13,6),-1.62239 # DEPENDENCYPART_ARC
(13,7),-1.28978 # DEPENDENCYPART_ARC
(13,8),-0.918328 # DEPENDENCYPART_ARC
(13,9),-1.05534 # DEPENDENCYPART_ARC
(13,10),-0.572035 # DEPENDENCYPART_ARC
(13,11),-0.167782 # DEPENDENCYPART_ARC
(13,12),-0.0854379 # DEPENDENCYPART_ARC
(13,14),-0.570062 # DEPENDENCYPART_ARC
(13,15),-1.15584 # DEPENDENCYPART_ARC
(13,16),-1.4608 # DEPENDENCYPART_ARC
(13,17),-1.72741 # DEPENDENCYPART_ARC
(13,18),-2.55721 # DEPENDENCYPART_ARC
(13,19),-1.87714 # DEPENDENCYPART_ARC
(13,20),-2.33891 # DEPENDENCYPART_ARC
(13,21),-2.13421 # DEPENDENCYPART_ARC
(13,22),-2.51961 # DEPENDENCYPART_ARC
(13,23),-2.92862 # DEPENDENCYPART_ARC
(13,24),-2.54999 # DEPENDENCYPART_ARC
(13,25),-2.53677 # DEPENDENCYPART_ARC
(13,26),-2.62856 # DEPENDENCYPART_ARC
(13,27),-2.74788 # DEPENDENCYPART_ARC
(13,28),-2.81195 # DEPENDENCYPART_ARC
(13,29),-2.4403 # DEPENDENCYPART_ARC
(13,30),-0.650087 # DEPENDENCYPART_ARC
(13,31),-3.1404 # DEPENDENCYPART_ARC
(13,32),-3.92119 # DEPENDENCYPART_ARC
(13,33),-3.71997 # DEPENDENCYPART_ARC
(13,34),-2.93436 # DEPENDENCYPART_ARC
(13,35),-2.69697 # DEPENDENCYPART_ARC
(14,1),0.844818 # DEPENDENCYPART_ARC
(14,2),1.25678 # DEPENDENCYPART_ARC
(14,3),1.49595 # DEPENDENCYPART_ARC
(14,4),1.70273 # DEPENDENCYPART_ARC
(14,5),0.31553 # DEPENDENCYPART_ARC
(14,6),1.15846 # DEPENDENCYPART_ARC
(14,7),1.2508 # DEPENDENCYPART_ARC
(14,8),0.590175 # DEPENDENCYPART_ARC
(14,9),0.855777 # DEPENDENCYPART_ARC
(14,10),3.09082 # DEPENDENCYPART_ARC
(14,11),1.21228 # DEPENDENCYPART_ARC
(14,12),2.07496 # DEPENDENCYPART_ARC
(14,13),3.22301 # DEPENDENCYPART_ARC
(14,15),4.46239 # DEPENDENCYPART_ARC
(14,16),2.03413 # DEPENDENCYPART_ARC
(14,17),1.52155 # DEPENDENCYPART_ARC
(14,18),0.141142 # DEPENDENCYPART_ARC
(14,19),0.0910687 # DEPENDENCYPART_ARC
(14,20),0.571 # DEPENDENCYPART_ARC
(14,21),0.29911 # DEPENDENCYPART_ARC
(14,22),2.15867 # DEPENDENCYPART_ARC
(14,23),-0.441829 # DEPENDENCYPART_ARC
(14,24),-0.00995003 # DEPENDENCYPART_ARC
(14,25),0.659567 # DEPENDENCYPART_ARC
(14,26),0.308107 # DEPENDENCYPART_ARC
(14,27),-0.211854 # DEPENDENCYPART_ARC
(14,28),0.328295 # DEPENDENCYPART_ARC
(14,29),2.12684 # DEPENDENCYPART_ARC
