# _root_ In savings activity , Mr. Sandler said consumer deposits have enjoyed a steady increase throughout 1989 , and topped $ 11 billion at quarter 's end for the first time in the company 's history .
#goldHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
#predictedHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
(3,13),-0.399789 # DEPENDENCYPART_ARC
(3,14),-0.0367405 # DEPENDENCYPART_ARC
(3,15),-1.25658 # DEPENDENCYPART_ARC
(3,16),-1.13187 # DEPENDENCYPART_ARC
(3,17),0.117956 # DEPENDENCYPART_ARC
(3,18),-1.23142 # DEPENDENCYPART_ARC
(3,19),-1.29924 # DEPENDENCYPART_ARC
(3,20),-1.8852 # DEPENDENCYPART_ARC
(3,21),-1.50587 # DEPENDENCYPART_ARC
(3,22),-2.05839 # DEPENDENCYPART_ARC
(3,23),-2.94802 # DEPENDENCYPART_ARC
(3,24),-2.83652 # DEPENDENCYPART_ARC
(3,25),-3.06493 # DEPENDENCYPART_ARC
(3,26),-2.75387 # DEPENDENCYPART_ARC
(3,27),-3.30862 # DEPENDENCYPART_ARC
(3,28),-2.39464 # DEPENDENCYPART_ARC
(3,29),-2.14065 # DEPENDENCYPART_ARC
(3,30),-2.75565 # DEPENDENCYPART_ARC
(3,31),-4.30577 # DEPENDENCYPART_ARC
(3,32),-2.78355 # DEPENDENCYPART_ARC
(3,33),-4.29653 # DEPENDENCYPART_ARC
(3,34),-5.38959 # DEPENDENCYPART_ARC
(3,35),-4.68593 # DEPENDENCYPART_ARC
(3,36),0.368557 # DEPENDENCYPART_ARC
(4,1),-1.06622 # DEPENDENCYPART_ARC
(4,2),-1.32933 # DEPENDENCYPART_ARC
(4,3),-0.55005 # DEPENDENCYPART_ARC
(4,5),0.15534 # DEPENDENCYPART_ARC
(4,6),-0.554204 # DEPENDENCYPART_ARC
(4,7),-0.631167 # DEPENDENCYPART_ARC
(4,8),-1.40003 # DEPENDENCYPART_ARC
(4,9),-1.50813 # DEPENDENCYPART_ARC
(4,10),-1.35461 # DEPENDENCYPART_ARC
(4,11),-1.60072 # DEPENDENCYPART_ARC
(4,12),-1.88892 # DEPENDENCYPART_ARC
(4,13),-2.06219 # DEPENDENCYPART_ARC
(4,14),-2.4956 # DEPENDENCYPART_ARC
(4,15),-1.72773 # DEPENDENCYPART_ARC
(4,16),-2.70315 # DEPENDENCYPART_ARC
(4,17),-0.682758 # DEPENDENCYPART_ARC
(4,18),-2.25167 # DEPENDENCYPART_ARC
(4,19),-2.06876 # DEPENDENCYPART_ARC
(4,20),-2.9857 # DEPENDENCYPART_ARC
(4,21),-3.15701 # DEPENDENCYPART_ARC
(4,22),-3.31271 # DEPENDENCYPART_ARC
(4,23),-2.494 # DEPENDENCYPART_ARC
(4,24),-3.37812 # DEPENDENCYPART_ARC
(4,25),-3.07629 # DEPENDENCYPART_ARC
(4,26),-3.61629 # DEPENDENCYPART_ARC
(4,27),-2.8487 # DEPENDENCYPART_ARC
(4,28),-3.52784 # DEPENDENCYPART_ARC
(4,29),-3.71433 # DEPENDENCYPART_ARC
(4,30),-4.25713 # DEPENDENCYPART_ARC
(4,31),-3.32462 # DEPENDENCYPART_ARC
(4,32),-3.94313 # DEPENDENCYPART_ARC
(4,33),-4.4899 # DEPENDENCYPART_ARC
(4,34),-4.00511 # DEPENDENCYPART_ARC
(4,35),-4.64695 # DEPENDENCYPART_ARC
(4,36),-3.7003 # DEPENDENCYPART_ARC
(5,1),-2.49117 # DEPENDENCYPART_ARC
(5,2),-0.304457 # DEPENDENCYPART_ARC
(5,3),-2.26152 # DEPENDENCYPART_ARC
(5,4),-1.04709 # DEPENDENCYPART_ARC
(5,6),1.64298 # DEPENDENCYPART_ARC
(5,7),-1.15384 # DEPENDENCYPART_ARC
(5,8),-1.96934 # DEPENDENCYPART_ARC
(5,9),-1.94563 # DEPENDENCYPART_ARC
(5,10),-1.61912 # DEPENDENCYPART_ARC
(5,11),-2.10331 # DEPENDENCYPART_ARC
(5,12),-2.03801 # DEPENDENCYPART_ARC
(5,13),-2.19649 # DEPENDENCYPART_ARC
(5,14),-3.30614 # DEPENDENCYPART_ARC
(5,15),-3.11851 # DEPENDENCYPART_ARC
(5,16),-2.73784 # DEPENDENCYPART_ARC
(5,17),-1.93958 # DEPENDENCYPART_ARC
(5,18),-2.50682 # DEPENDENCYPART_ARC
(5,19),-2.96977 # DEPENDENCYPART_ARC
(5,20),-4.01918 # DEPENDENCYPART_ARC
(5,21),-3.94593 # DEPENDENCYPART_ARC
(5,22),-4.33391 # DEPENDENCYPART_ARC
(5,23),-4.16273 # DEPENDENCYPART_ARC
(5,24),-7.44441 # DEPENDENCYPART_ARC
(5,25),-3.33683 # DEPENDENCYPART_ARC
(5,26),-7.64383 # DEPENDENCYPART_ARC
(5,27),-4.24951 # DEPENDENCYPART_ARC
(5,28),-3.90305 # DEPENDENCYPART_ARC
(5,29),-3.93092 # DEPENDENCYPART_ARC
(5,30),-8.57536 # DEPENDENCYPART_ARC
(5,31),-4.39266 # DEPENDENCYPART_ARC
(5,32),-4.59237 # DEPENDENCYPART_ARC
(5,33),-9.40316 # DEPENDENCYPART_ARC
(5,34),-4.8366 # DEPENDENCYPART_ARC
(5,35),-9.76275 # DEPENDENCYPART_ARC
(5,36),-2.648 # DEPENDENCYPART_ARC
(6,1),-1.30529 # DEPENDENCYPART_ARC
(6,2),1.65711 # DEPENDENCYPART_ARC
(6,3),-0.928327 # DEPENDENCYPART_ARC
(6,4),1.30768 # DEPENDENCYPART_ARC
(6,5),5.34346 # DEPENDENCYPART_ARC
(6,7),0.739242 # DEPENDENCYPART_ARC
(6,8),-0.154365 # DEPENDENCYPART_ARC
(6,9),-0.347701 # DEPENDENCYPART_ARC
(6,10),-0.0546949 # DEPENDENCYPART_ARC
(6,11),-0.646004 # DEPENDENCYPART_ARC
(6,12),-0.831937 # DEPENDENCYPART_ARC
(6,13),-0.99116 # DEPENDENCYPART_ARC
(6,14),-1.7581 # DEPENDENCYPART_ARC
(6,15),-1.55443 # DEPENDENCYPART_ARC
(6,16),-1.36099 # DEPENDENCYPART_ARC
(6,17),-0.246104 # DEPENDENCYPART_ARC
(6,18),-1.19331 # DEPENDENCYPART_ARC
(6,19),-1.64673 # DEPENDENCYPART_ARC
(6,20),-2.59753 # DEPENDENCYPART_ARC
(6,21),-2.61827 # DEPENDENCYPART_ARC
(6,22),-3.13554 # DEPENDENCYPART_ARC
(6,23),-2.4854 # DEPENDENCYPART_ARC
(6,24),-5.97718 # DEPENDENCYPART_ARC
(6,25),-1.58401 # DEPENDENCYPART_ARC
(6,26),-6.06047 # DEPENDENCYPART_ARC
(6,27),-2.53751 # DEPENDENCYPART_ARC
(6,28),-2.69516 # DEPENDENCYPART_ARC
(6,29),-2.76123 # DEPENDENCYPART_ARC
(6,30),-7.01525 # DEPENDENCYPART_ARC
(6,31),-2.70727 # DEPENDENCYPART_ARC
(6,32),-3.37099 # DEPENDENCYPART_ARC
(6,33),-8.16801 # DEPENDENCYPART_ARC
(6,34),-3.0468 # DEPENDENCYPART_ARC
(6,35),-8.16935 # DEPENDENCYPART_ARC
(6,36),-0.678194 # DEPENDENCYPART_ARC
(7,1),3.41004 # DEPENDENCYPART_ARC
(7,2),0.887146 # DEPENDENCYPART_ARC
(7,3),0.820292 # DEPENDENCYPART_ARC
(7,4),4.44769 # DEPENDENCYPART_ARC
(7,5),1.76483 # DEPENDENCYPART_ARC
(7,6),2.92666 # DEPENDENCYPART_ARC
(7,8),0.706531 # DEPENDENCYPART_ARC
(7,9),0.520612 # DEPENDENCYPART_ARC
(7,10),2.71951 # DEPENDENCYPART_ARC
(7,11),0.70125 # DEPENDENCYPART_ARC
(7,12),-0.851706 # DEPENDENCYPART_ARC
(7,13),-1.24359 # DEPENDENCYPART_ARC
(7,14),-0.766655 # DEPENDENCYPART_ARC
(7,15),0.754878 # DEPENDENCYPART_ARC
(7,16),-0.929167 # DEPENDENCYPART_ARC
(7,17),1.69971 # DEPENDENCYPART_ARC
(7,18),2.55888 # DEPENDENCYPART_ARC
(7,19),1.49705 # DEPENDENCYPART_ARC
(7,20),-2.30865 # DEPENDENCYPART_ARC
(7,21),-1.77296 # DEPENDENCYPART_ARC
(7,22),-1.4482 # DEPENDENCYPART_ARC
(7,23),-2.38827 # DEPENDENCYPART_ARC
(7,24),-2.65979 # DEPENDENCYPART_ARC
(7,25),-1.79497 # DEPENDENCYPART_ARC
(7,26),-1.27916 # DEPENDENCYPART_ARC
(7,27),-2.33313 # DEPENDENCYPART_ARC
(7,28),-3.00313 # DEPENDENCYPART_ARC
(7,29),-3.00604 # DEPENDENCYPART_ARC
(7,30),-1.84554 # DEPENDENCYPART_ARC
(7,31),-2.84499 # DEPENDENCYPART_ARC
(7,32),-3.4252 # DEPENDENCYPART_ARC
(7,33),-3.7765 # DEPENDENCYPART_ARC
(7,34),-2.91621 # DEPENDENCYPART_ARC
(7,35),-3.62958 # DEPENDENCYPART_ARC
(7,36),9.41801 # DEPENDENCYPART_ARC
(8,1),-2.03389 # DEPENDENCYPART_ARC
(8,2),-1.38851 # DEPENDENCYPART_ARC
(8,3),-2.47183 # DEPENDENCYPART_ARC
(8,4),-1.42658 # DEPENDENCYPART_ARC
(8,5),0.144007 # DEPENDENCYPART_ARC
(8,6),-0.543216 # DEPENDENCYPART_ARC
(8,7),-0.214967 # DEPENDENCYPART_ARC
(8,9),1.64496 # DEPENDENCYPART_ARC
(8,10),1.46701 # DEPENDENCYPART_ARC
(8,11),0.508305 # DEPENDENCYPART_ARC
(8,12),-0.371764 # DEPENDENCYPART_ARC
(8,13),-0.340781 # DEPENDENCYPART_ARC
(8,14),0.018249 # DEPENDENCYPART_ARC
(8,15),-0.520474 # DEPENDENCYPART_ARC
(8,16),-0.614749 # DEPENDENCYPART_ARC
(8,17),0.259988 # DEPENDENCYPART_ARC
(8,18),-0.151663 # DEPENDENCYPART_ARC
(8,19),-0.624018 # DEPENDENCYPART_ARC
(8,20),-1.40464 # DEPENDENCYPART_ARC
(8,21),-1.11889 # DEPENDENCYPART_ARC
(8,22),-1.72076 # DEPENDENCYPART_ARC
(8,23),-1.95594 # DEPENDENCYPART_ARC
(8,24),-2.09099 # DEPENDENCYPART_ARC
(8,25),-1.87841 # DEPENDENCYPART_ARC
(8,26),-2.08582 # DEPENDENCYPART_ARC
(8,27),-2.34281 # DEPENDENCYPART_ARC
(8,28),-1.89407 # DEPENDENCYPART_ARC
(8,29),-2.04217 # DEPENDENCYPART_ARC
(8,30),-2.52779 # DEPENDENCYPART_ARC
(8,31),-3.69836 # DEPENDENCYPART_ARC
(8,32),-2.38911 # DEPENDENCYPART_ARC
(8,33),-3.52366 # DEPENDENCYPART_ARC
(8,34),-4.29844 # DEPENDENCYPART_ARC
(8,35),-3.44608 # DEPENDENCYPART_ARC
(8,36),-0.14978 # DEPENDENCYPART_ARC
(9,1),-1.38607 # DEPENDENCYPART_ARC
(9,2),1.43732 # DEPENDENCYPART_ARC
(9,3),-1.02912 # DEPENDENCYPART_ARC
(9,4),0.493934 # DEPENDENCYPART_ARC
(9,5),1.56127 # DEPENDENCYPART_ARC
(9,6),1.02125 # DEPENDENCYPART_ARC
(9,7),0.257896 # DEPENDENCYPART_ARC
(9,8),4.80361 # DEPENDENCYPART_ARC
(9,10),0.746153 # DEPENDENCYPART_ARC
(9,11),0.577581 # DEPENDENCYPART_ARC
(9,12),-0.152618 # DEPENDENCYPART_ARC
(9,13),-0.402409 # DEPENDENCYPART_ARC
(9,14),-0.0870678 # DEPENDENCYPART_ARC
(9,15),0.144634 # DEPENDENCYPART_ARC
(9,16),-0.478543 # DEPENDENCYPART_ARC
(9,17),0.255314 # DEPENDENCYPART_ARC
(9,18),-0.417477 # DEPENDENCYPART_ARC
(9,19),-0.671227 # DEPENDENCYPART_ARC
(9,20),-2.06721 # DEPENDENCYPART_ARC
(9,21),-1.40208 # DEPENDENCYPART_ARC
(9,22),-1.30695 # DEPENDENCYPART_ARC
(9,23),-1.16801 # DEPENDENCYPART_ARC
(9,24),-1.70897 # DEPENDENCYPART_ARC
(9,25),-1.3537 # DEPENDENCYPART_ARC
(9,26),-1.91197 # DEPENDENCYPART_ARC
(9,27),-1.33117 # DEPENDENCYPART_ARC
(9,28),-2.13928 # DEPENDENCYPART_ARC
(9,29),-2.63332 # DEPENDENCYPART_ARC
(9,30),-2.84808 # DEPENDENCYPART_ARC
(9,31),-2.53538 # DEPENDENCYPART_ARC
(9,32),-2.52704 # DEPENDENCYPART_ARC
(9,33),-3.54364 # DEPENDENCYPART_ARC
(9,34),-2.83291 # DEPENDENCYPART_ARC
(9,35),-3.27607 # DEPENDENCYPART_ARC
(9,36),0.632627 # DEPENDENCYPART_ARC
(10,1),2.27625 # DEPENDENCYPART_ARC
(10,2),0.4073 # DEPENDENCYPART_ARC
(10,3),-0.119919 # DEPENDENCYPART_ARC
(10,4),2.44702 # DEPENDENCYPART_ARC
(10,5),0.566192 # DEPENDENCYPART_ARC
(10,6),0.528262 # DEPENDENCYPART_ARC
(10,7),0.356681 # DEPENDENCYPART_ARC
(10,8),0.905293 # DEPENDENCYPART_ARC
(10,9),3.0721 # DEPENDENCYPART_ARC
(10,11),4.55593 # DEPENDENCYPART_ARC
(10,12),0.214377 # DEPENDENCYPART_ARC
(10,13),-0.111437 # DEPENDENCYPART_ARC
(10,14),0.823009 # DEPENDENCYPART_ARC
(10,15),0.574662 # DEPENDENCYPART_ARC
(10,16),-0.558478 # DEPENDENCYPART_ARC
(10,17),2.64843 # DEPENDENCYPART_ARC
(10,18),2.77245 # DEPENDENCYPART_ARC
(10,19),0.788378 # DEPENDENCYPART_ARC
(10,20),-0.751398 # DEPENDENCYPART_ARC
(10,21),-1.0134 # DEPENDENCYPART_ARC
(10,22),-1.08358 # DEPENDENCYPART_ARC
(10,23),-0.3401 # DEPENDENCYPART_ARC
(10,24),-1.90159 # DEPENDENCYPART_ARC
(10,25),-0.954578 # DEPENDENCYPART_ARC
(10,26),-1.91335 # DEPENDENCYPART_ARC
(10,27),-0.291592 # DEPENDENCYPART_ARC
(10,28),-2.91125 # DEPENDENCYPART_ARC
(10,29),-2.06449 # DEPENDENCYPART_ARC
(10,30),-2.02392 # DEPENDENCYPART_ARC
(10,31),-1.58966 # DEPENDENCYPART_ARC
(10,32),-3.31595 # DEPENDENCYPART_ARC
(10,33),-3.77733 # DEPENDENCYPART_ARC
(10,34),-1.65421 # DEPENDENCYPART_ARC
(10,35),-3.0363 # DEPENDENCYPART_ARC
(10,36),5.71321 # DEPENDENCYPART_ARC
(11,1),-0.687667 # DEPENDENCYPART_ARC
(11,2),-0.445272 # DEPENDENCYPART_ARC
(11,3),-0.88824 # DEPENDENCYPART_ARC
(11,4),0.102965 # DEPENDENCYPART_ARC
(11,5),-0.256613 # DEPENDENCYPART_ARC
(11,6),-0.493244 # DEPENDENCYPART_ARC
(11,7),-0.284903 # DEPENDENCYPART_ARC
(11,8),0.475672 # DEPENDENCYPART_ARC
(11,9),0.152068 # DEPENDENCYPART_ARC
(11,10),0.748171 # DEPENDENCYPART_ARC
(11,12),1.49626 # DEPENDENCYPART_ARC
(11,13),1.76973 # DEPENDENCYPART_ARC
(11,14),2.88549 # DEPENDENCYPART_ARC
(11,15),2.71849 # DEPENDENCYPART_ARC
(11,16),0.927197 # DEPENDENCYPART_ARC
(11,17),2.55036 # DEPENDENCYPART_ARC
(11,18),2.47561 # DEPENDENCYPART_ARC
(11,19),1.01253 # DEPENDENCYPART_ARC
(11,20),0.223149 # DEPENDENCYPART_ARC
(11,21),0.170534 # DEPENDENCYPART_ARC
(11,22),0.282353 # DEPENDENCYPART_ARC
(11,23),0.423719 # DEPENDENCYPART_ARC
(11,24),-0.379865 # DEPENDENCYPART_ARC
(11,25),-0.62942 # DEPENDENCYPART_ARC
(11,26),0.144953 # DEPENDENCYPART_ARC
(11,27),0.868814 # DEPENDENCYPART_ARC
(11,28),-1.04047 # DEPENDENCYPART_ARC
(11,29),-0.454519 # DEPENDENCYPART_ARC
(11,30),0.334123 # DEPENDENCYPART_ARC
(11,31),-0.0519444 # DEPENDENCYPART_ARC
(11,32),-1.30215 # DEPENDENCYPART_ARC
(11,33),-2.23179 # DEPENDENCYPART_ARC
(11,34),-1.77844 # DEPENDENCYPART_ARC
(11,35),-1.85028 # DEPENDENCYPART_ARC
(11,36),2.96024 # DEPENDENCYPART_ARC
(12,1),-1.98081 # DEPENDENCYPART_ARC
(12,2),-2.25043 # DEPENDENCYPART_ARC
(12,3),-2.18768 # DEPENDENCYPART_ARC
(12,4),-1.71566 # DEPENDENCYPART_ARC
(12,5),-1.60189 # DEPENDENCYPART_ARC
(12,6),-1.55951 # DEPENDENCYPART_ARC
(12,7),-1.4445 # DEPENDENCYPART_ARC
(12,8),-1.23917 # DEPENDENCYPART_ARC
(12,9),-0.867459 # DEPENDENCYPART_ARC
(12,10),-0.877143 # DEPENDENCYPART_ARC
(12,11),0.0699043 # DEPENDENCYPART_ARC
(12,13),0.936461 # DEPENDENCYPART_ARC
(12,14),0.429545 # DEPENDENCYPART_ARC
(12,15),0.129225 # DEPENDENCYPART_ARC
(12,16),0.276019 # DEPENDENCYPART_ARC
(12,17),-0.152585 # DEPENDENCYPART_ARC
(12,18),-0.293885 # DEPENDENCYPART_ARC
(12,19),-0.258078 # DEPENDENCYPART_ARC
(12,20),-1.75425 # DEPENDENCYPART_ARC
(12,21),-0.731734 # DEPENDENCYPART_ARC
(12,22),-0.875531 # DEPENDENCYPART_ARC
(12,23),-1.1166 # DEPENDENCYPART_ARC
(12,24),-1.43015 # DEPENDENCYPART_ARC
(12,25),-1.84329 # DEPENDENCYPART_ARC
(12,26),-1.63132 # DEPENDENCYPART_ARC
(12,27),-0.992421 # DEPENDENCYPART_ARC
(12,28),-2.36908 # DEPENDENCYPART_ARC
(12,29),-2.05374 # DEPENDENCYPART_ARC
(12,30),-2.16199 # DEPENDENCYPART_ARC
(12,31),-2.43717 # DEPENDENCYPART_ARC
(12,32),-2.77312 # DEPENDENCYPART_ARC
(12,33),-2.39324 # DEPENDENCYPART_ARC
(12,34),-2.87574 # DEPENDENCYPART_ARC
(12,35),-2.57305 # DEPENDENCYPART_ARC
(12,36),-1.17264 # DEPENDENCYPART_ARC
(13,1),-2.45727 # DEPENDENCYPART_ARC
(13,2),-1.82917 # DEPENDENCYPART_ARC
(13,3),-1.77456 # DEPENDENCYPART_ARC
(13,4),-1.34408 # DEPENDENCYPART_ARC
(13,5),-1.03704 # DEPENDENCYPART_ARC
(13,6),-1.58723 # DEPENDENCYPART_ARC
(13,7),-1.59973 # DEPENDENCYPART_ARC
(13,8),-0.719185 # DEPENDENCYPART_ARC
(13,9),-0.664356 # DEPENDENCYPART_ARC
(13,10),-0.934819 # DEPENDENCYPART_ARC
(13,11),-0.119751 # DEPENDENCYPART_ARC
(13,12),1.8693 # DEPENDENCYPART_ARC
(13,14),1.2162 # DEPENDENCYPART_ARC
(13,15),-0.0740267 # DEPENDENCYPART_ARC
(13,16),-0.354449 # DEPENDENCYPART_ARC
(13,17),0.0832975 # DEPENDENCYPART_ARC
(13,18),-0.23165 # DEPENDENCYPART_ARC
(13,19),-0.358355 # DEPENDENCYPART_ARC
(13,20),-1.419 # DEPENDENCYPART_ARC
(13,21),-1.49876 # DEPENDENCYPART_ARC
(13,22),-1.36903 # DEPENDENCYPART_ARC
(13,23),-1.26627 # DEPENDENCYPART_ARC
(13,24),-1.68828 # DEPENDENCYPART_ARC
(13,25),-1.11007 # DEPENDENCYPART_ARC
(13,26),-1.78597 # DEPENDENCYPART_ARC
(13,27),-1.84356 # DEPENDENCYPART_ARC
(13,28),-2.65162 # DEPENDENCYPART_ARC
(13,29),-1.75516 # DEPENDENCYPART_ARC
(13,30),-2.05544 # DEPENDENCYPART_ARC
(13,31),-1.959 # DEPENDENCYPART_ARC
(13,32),-3.13669 # DEPENDENCYPART_ARC
(13,33),-2.94655 # DEPENDENCYPART_ARC
(13,34),-2.08545 # DEPENDENCYPART_ARC
(13,35),-3.07422 # DEPENDENCYPART_ARC
(13,36),-0.326562 # DEPENDENCYPART_ARC
(14,1),-1.55996 # DEPENDENCYPART_ARC
(14,2),-0.55234 # DEPENDENCYPART_ARC
(14,3),-3.2296 # DEPENDENCYPART_ARC
(14,4),-1.4125 # DEPENDENCYPART_ARC
(14,5),-1.19026 # DEPENDENCYPART_ARC
(14,6),-2.28354 # DEPENDENCYPART_ARC
(14,7),-0.887768 # DEPENDENCYPART_ARC
(14,8),0.357999 # DEPENDENCYPART_ARC
(14,9),-0.0852766 # DEPENDENCYPART_ARC
(14,10),-0.505333 # DEPENDENCYPART_ARC
(14,11),0.855657 # DEPENDENCYPART_ARC
(14,12),5.01809 # DEPENDENCYPART_ARC
(14,13),4.69084 # DEPENDENCYPART_ARC
