# _root_ Brokers said that as the news spread that Wall Street was moving up , traders who had called to place sell orders changed their line in mid-conversation , ordering buys instead .
#goldHeads=2,0,2,23,6,7,4,6,10,11,8,11,12,23,23,17,15,17,18,19,22,20,3,25,23,23,26,23,23,29,29,2,
#predictedHeads=2,0,2,7,6,7,3,7,10,11,8,11,12,23,12,17,15,17,18,19,22,20,20,25,23,23,26,23,23,29,29,2,
(1,17),-0.658578 # DEPENDENCYPART_ARC
(1,18),-1.38845 # DEPENDENCYPART_ARC
(1,19),-1.73278 # DEPENDENCYPART_ARC
(1,20),-1.13404 # DEPENDENCYPART_ARC
(1,21),-2.0729 # DEPENDENCYPART_ARC
(1,22),-2.41921 # DEPENDENCYPART_ARC
(1,23),-2.70963 # DEPENDENCYPART_ARC
(1,24),-2.55592 # DEPENDENCYPART_ARC
(1,25),-2.94825 # DEPENDENCYPART_ARC
(1,26),-3.80292 # DEPENDENCYPART_ARC
(1,27),-3.05179 # DEPENDENCYPART_ARC
(1,28),-2.078 # DEPENDENCYPART_ARC
(1,29),-2.69489 # DEPENDENCYPART_ARC
(1,30),-4.01575 # DEPENDENCYPART_ARC
(1,31),-1.43341 # DEPENDENCYPART_ARC
(1,32),-0.100717 # DEPENDENCYPART_ARC
(2,1),2.64105 # DEPENDENCYPART_ARC
(2,3),3.3774 # DEPENDENCYPART_ARC
(2,4),0.344633 # DEPENDENCYPART_ARC
(2,5),-1.26046 # DEPENDENCYPART_ARC
(2,6),-1.64654 # DEPENDENCYPART_ARC
(2,7),1.29026 # DEPENDENCYPART_ARC
(2,8),2.21066 # DEPENDENCYPART_ARC
(2,9),-2.71683 # DEPENDENCYPART_ARC
(2,10),-2.383 # DEPENDENCYPART_ARC
(2,11),0.788955 # DEPENDENCYPART_ARC
(2,12),-0.115837 # DEPENDENCYPART_ARC
(2,13),-0.908118 # DEPENDENCYPART_ARC
(2,14),1.41989 # DEPENDENCYPART_ARC
(2,15),-3.78152 # DEPENDENCYPART_ARC
(2,16),-2.06536 # DEPENDENCYPART_ARC
(2,17),-1.09028 # DEPENDENCYPART_ARC
(2,18),-0.924278 # DEPENDENCYPART_ARC
(2,19),-5.25807 # DEPENDENCYPART_ARC
(2,20),-1.2472 # DEPENDENCYPART_ARC
(2,21),-4.33785 # DEPENDENCYPART_ARC
(2,22),-4.85584 # DEPENDENCYPART_ARC
(2,23),-1.30138 # DEPENDENCYPART_ARC
(2,24),-3.17391 # DEPENDENCYPART_ARC
(2,25),-5.01383 # DEPENDENCYPART_ARC
(2,26),-4.85456 # DEPENDENCYPART_ARC
(2,27),-5.2628 # DEPENDENCYPART_ARC
(2,28),-0.32481 # DEPENDENCYPART_ARC
(2,29),-1.1283 # DEPENDENCYPART_ARC
(2,30),-6.97438 # DEPENDENCYPART_ARC
(2,31),-3.85361 # DEPENDENCYPART_ARC
(2,32),7.90535 # DEPENDENCYPART_ARC
(3,1),-0.321716 # DEPENDENCYPART_ARC
(3,2),0.344776 # DEPENDENCYPART_ARC
(3,4),-0.134062 # DEPENDENCYPART_ARC
(3,5),-1.52434 # DEPENDENCYPART_ARC
(3,6),-1.30166 # DEPENDENCYPART_ARC
(3,7),2.80383 # DEPENDENCYPART_ARC
(3,8),0.59399 # DEPENDENCYPART_ARC
(3,9),-4.23362 # DEPENDENCYPART_ARC
(3,10),-4.053 # DEPENDENCYPART_ARC
(3,11),1.64674 # DEPENDENCYPART_ARC
(3,12),-1.3151 # DEPENDENCYPART_ARC
(3,13),-1.52231 # DEPENDENCYPART_ARC
(3,14),1.35566 # DEPENDENCYPART_ARC
(3,15),-6.66478 # DEPENDENCYPART_ARC
(3,16),-2.05149 # DEPENDENCYPART_ARC
(3,17),-0.518737 # DEPENDENCYPART_ARC
(3,18),-0.158409 # DEPENDENCYPART_ARC
(3,19),-4.09006 # DEPENDENCYPART_ARC
(3,20),-0.266389 # DEPENDENCYPART_ARC
(3,21),-7.90076 # DEPENDENCYPART_ARC
(3,22),-9.26877 # DEPENDENCYPART_ARC
(3,23),-0.513587 # DEPENDENCYPART_ARC
(3,24),-3.13228 # DEPENDENCYPART_ARC
(3,25),-9.30591 # DEPENDENCYPART_ARC
(3,26),-2.99116 # DEPENDENCYPART_ARC
(3,27),-10.7182 # DEPENDENCYPART_ARC
(3,28),0.744409 # DEPENDENCYPART_ARC
(3,29),-3.90738 # DEPENDENCYPART_ARC
(3,30),-15.4116 # DEPENDENCYPART_ARC
(3,31),-2.99946 # DEPENDENCYPART_ARC
(3,32),4.2267 # DEPENDENCYPART_ARC
(4,1),-0.382791 # DEPENDENCYPART_ARC
(4,2),-0.163786 # DEPENDENCYPART_ARC
(4,3),0.935481 # DEPENDENCYPART_ARC
(4,5),0.922843 # DEPENDENCYPART_ARC
(4,6),2.97412 # DEPENDENCYPART_ARC
(4,7),3.55957 # DEPENDENCYPART_ARC
(4,8),0.958821 # DEPENDENCYPART_ARC
(4,9),-0.402335 # DEPENDENCYPART_ARC
(4,10),0.176985 # DEPENDENCYPART_ARC
(4,11),1.62625 # DEPENDENCYPART_ARC
(4,12),0.110193 # DEPENDENCYPART_ARC
(4,13),-0.110403 # DEPENDENCYPART_ARC
(4,14),0.921347 # DEPENDENCYPART_ARC
(4,15),-3.4543 # DEPENDENCYPART_ARC
(4,16),-0.701287 # DEPENDENCYPART_ARC
(4,17),-2.43188 # DEPENDENCYPART_ARC
(4,18),0.720579 # DEPENDENCYPART_ARC
(4,19),-3.24436 # DEPENDENCYPART_ARC
(4,20),-0.0551314 # DEPENDENCYPART_ARC
(4,21),-5.69919 # DEPENDENCYPART_ARC
(4,22),-5.07894 # DEPENDENCYPART_ARC
(4,23),-1.5084 # DEPENDENCYPART_ARC
(4,24),-1.53408 # DEPENDENCYPART_ARC
(4,25),-7.58224 # DEPENDENCYPART_ARC
(4,26),-3.25661 # DEPENDENCYPART_ARC
(4,27),-8.98659 # DEPENDENCYPART_ARC
(4,28),-1.22225 # DEPENDENCYPART_ARC
(4,29),-3.82286 # DEPENDENCYPART_ARC
(4,30),-10.9023 # DEPENDENCYPART_ARC
(4,31),-1.79818 # DEPENDENCYPART_ARC
(4,32),2.08593 # DEPENDENCYPART_ARC
(5,1),-1.99917 # DEPENDENCYPART_ARC
(5,2),-1.63966 # DEPENDENCYPART_ARC
(5,3),-0.89045 # DEPENDENCYPART_ARC
(5,4),-0.147591 # DEPENDENCYPART_ARC
(5,6),0.147732 # DEPENDENCYPART_ARC
(5,7),-0.53501 # DEPENDENCYPART_ARC
(5,8),-1.50365 # DEPENDENCYPART_ARC
(5,9),-2.00133 # DEPENDENCYPART_ARC
(5,10),-2.08789 # DEPENDENCYPART_ARC
(5,11),-2.12289 # DEPENDENCYPART_ARC
(5,12),-1.90329 # DEPENDENCYPART_ARC
(5,13),-2.3113 # DEPENDENCYPART_ARC
(5,14),-1.83262 # DEPENDENCYPART_ARC
(5,15),-2.41524 # DEPENDENCYPART_ARC
(5,16),-3.80272 # DEPENDENCYPART_ARC
(5,17),-3.62693 # DEPENDENCYPART_ARC
(5,18),-2.92368 # DEPENDENCYPART_ARC
(5,19),-3.18087 # DEPENDENCYPART_ARC
(5,20),-3.45546 # DEPENDENCYPART_ARC
(5,21),-2.98021 # DEPENDENCYPART_ARC
(5,22),-3.34908 # DEPENDENCYPART_ARC
(5,23),-4.02964 # DEPENDENCYPART_ARC
(5,24),-4.10981 # DEPENDENCYPART_ARC
(5,25),-3.58637 # DEPENDENCYPART_ARC
(5,26),-5.12345 # DEPENDENCYPART_ARC
(5,27),-3.74518 # DEPENDENCYPART_ARC
(5,28),-3.3965 # DEPENDENCYPART_ARC
(5,29),-4.18148 # DEPENDENCYPART_ARC
(5,30),-4.08216 # DEPENDENCYPART_ARC
(5,31),-4.40244 # DEPENDENCYPART_ARC
(5,32),-2.58856 # DEPENDENCYPART_ARC
(6,1),-1.49746 # DEPENDENCYPART_ARC
(6,2),-1.04836 # DEPENDENCYPART_ARC
(6,3),0.599563 # DEPENDENCYPART_ARC
(6,4),0.737218 # DEPENDENCYPART_ARC
(6,5),4.34838 # DEPENDENCYPART_ARC
(6,7),1.49445 # DEPENDENCYPART_ARC
(6,8),1.28596 # DEPENDENCYPART_ARC
(6,9),-0.124718 # DEPENDENCYPART_ARC
(6,10),-0.34999 # DEPENDENCYPART_ARC
(6,11),0.0296383 # DEPENDENCYPART_ARC
(6,12),0.127215 # DEPENDENCYPART_ARC
(6,13),-0.196264 # DEPENDENCYPART_ARC
(6,14),-0.551103 # DEPENDENCYPART_ARC
(6,15),-0.707216 # DEPENDENCYPART_ARC
(6,16),-1.91764 # DEPENDENCYPART_ARC
(6,17),-0.485436 # DEPENDENCYPART_ARC
(6,18),-0.47306 # DEPENDENCYPART_ARC
(6,19),-0.936711 # DEPENDENCYPART_ARC
(6,20),-1.03567 # DEPENDENCYPART_ARC
(6,21),-2.56472 # DEPENDENCYPART_ARC
(6,22),-1.89661 # DEPENDENCYPART_ARC
(6,23),-2.1858 # DEPENDENCYPART_ARC
(6,24),-2.49605 # DEPENDENCYPART_ARC
(6,25),-3.5382 # DEPENDENCYPART_ARC
(6,26),-4.26815 # DEPENDENCYPART_ARC
(6,27),-4.04965 # DEPENDENCYPART_ARC
(6,28),-1.15199 # DEPENDENCYPART_ARC
(6,29),-2.44386 # DEPENDENCYPART_ARC
(6,30),-3.33917 # DEPENDENCYPART_ARC
(6,31),-2.9334 # DEPENDENCYPART_ARC
(6,32),1.88625 # DEPENDENCYPART_ARC
(7,1),1.40056 # DEPENDENCYPART_ARC
(7,2),-0.256671 # DEPENDENCYPART_ARC
(7,3),1.07117 # DEPENDENCYPART_ARC
(7,4),1.70432 # DEPENDENCYPART_ARC
(7,5),0.916677 # DEPENDENCYPART_ARC
(7,6),3.18509 # DEPENDENCYPART_ARC
(7,8),3.05682 # DEPENDENCYPART_ARC
(7,9),0.437398 # DEPENDENCYPART_ARC
(7,10),0.587371 # DEPENDENCYPART_ARC
(7,11),0.562212 # DEPENDENCYPART_ARC
(7,12),0.671422 # DEPENDENCYPART_ARC
(7,13),0.38521 # DEPENDENCYPART_ARC
(7,14),0.658034 # DEPENDENCYPART_ARC
(7,15),-0.897465 # DEPENDENCYPART_ARC
(7,16),-1.3916 # DEPENDENCYPART_ARC
(7,17),-0.765356 # DEPENDENCYPART_ARC
(7,18),-0.817799 # DEPENDENCYPART_ARC
(7,19),-1.3056 # DEPENDENCYPART_ARC
(7,20),-0.701933 # DEPENDENCYPART_ARC
(7,21),-2.34969 # DEPENDENCYPART_ARC
(7,22),-1.77162 # DEPENDENCYPART_ARC
(7,23),-1.02974 # DEPENDENCYPART_ARC
(7,24),-2.40247 # DEPENDENCYPART_ARC
(7,25),-3.26749 # DEPENDENCYPART_ARC
(7,26),-3.23531 # DEPENDENCYPART_ARC
(7,27),-3.81937 # DEPENDENCYPART_ARC
(7,28),0.134105 # DEPENDENCYPART_ARC
(7,29),-0.63917 # DEPENDENCYPART_ARC
(7,30),-3.84754 # DEPENDENCYPART_ARC
(7,31),-2.96499 # DEPENDENCYPART_ARC
(7,32),4.70366 # DEPENDENCYPART_ARC
(8,1),-1.48668 # DEPENDENCYPART_ARC
(8,2),-1.36404 # DEPENDENCYPART_ARC
(8,3),-0.389059 # DEPENDENCYPART_ARC
(8,4),-0.487656 # DEPENDENCYPART_ARC
(8,5),-0.172447 # DEPENDENCYPART_ARC
(8,6),-0.603267 # DEPENDENCYPART_ARC
(8,7),-0.108973 # DEPENDENCYPART_ARC
(8,9),-0.183319 # DEPENDENCYPART_ARC
(8,10),-0.341894 # DEPENDENCYPART_ARC
(8,11),3.52747 # DEPENDENCYPART_ARC
(8,12),-1.22647 # DEPENDENCYPART_ARC
(8,13),-0.963048 # DEPENDENCYPART_ARC
(8,14),1.35577 # DEPENDENCYPART_ARC
(8,15),-4.06962 # DEPENDENCYPART_ARC
(8,16),-1.76364 # DEPENDENCYPART_ARC
(8,17),0.359063 # DEPENDENCYPART_ARC
(8,18),-0.0468271 # DEPENDENCYPART_ARC
(8,19),-2.96329 # DEPENDENCYPART_ARC
(8,20),0.0421026 # DEPENDENCYPART_ARC
(8,21),-5.69842 # DEPENDENCYPART_ARC
(8,22),-6.45305 # DEPENDENCYPART_ARC
(8,23),0.499475 # DEPENDENCYPART_ARC
(8,24),-2.67094 # DEPENDENCYPART_ARC
(8,25),-7.31319 # DEPENDENCYPART_ARC
(8,26),-2.448 # DEPENDENCYPART_ARC
(8,27),-8.03039 # DEPENDENCYPART_ARC
(8,28),1.19439 # DEPENDENCYPART_ARC
(8,29),-3.83521 # DEPENDENCYPART_ARC
(8,30),-12.8364 # DEPENDENCYPART_ARC
(8,31),-2.6019 # DEPENDENCYPART_ARC
(8,32),3.18617 # DEPENDENCYPART_ARC
(9,1),-3.0664 # DEPENDENCYPART_ARC
(9,2),-3.03701 # DEPENDENCYPART_ARC
(9,3),-2.83681 # DEPENDENCYPART_ARC
(9,4),-1.78753 # DEPENDENCYPART_ARC
(9,5),-0.300353 # DEPENDENCYPART_ARC
(9,6),-1.56645 # DEPENDENCYPART_ARC
(9,7),-1.10838 # DEPENDENCYPART_ARC
(9,8),-0.585382 # DEPENDENCYPART_ARC
(9,10),2.07644 # DEPENDENCYPART_ARC
(9,11),-0.974118 # DEPENDENCYPART_ARC
(9,12),-1.30129 # DEPENDENCYPART_ARC
(9,13),-1.58872 # DEPENDENCYPART_ARC
(9,14),-1.6307 # DEPENDENCYPART_ARC
(9,15),-2.20296 # DEPENDENCYPART_ARC
(9,16),-2.89337 # DEPENDENCYPART_ARC
(9,17),-1.72772 # DEPENDENCYPART_ARC
(9,18),-2.02117 # DEPENDENCYPART_ARC
(9,19),-2.21363 # DEPENDENCYPART_ARC
(9,20),-2.90261 # DEPENDENCYPART_ARC
(9,21),-4.65319 # DEPENDENCYPART_ARC
(9,22),-3.59227 # DEPENDENCYPART_ARC
(9,23),-2.70228 # DEPENDENCYPART_ARC
(9,24),-3.34863 # DEPENDENCYPART_ARC
(9,25),-6.59992 # DEPENDENCYPART_ARC
(9,26),-4.48572 # DEPENDENCYPART_ARC
(9,27),-7.345 # DEPENDENCYPART_ARC
(9,28),-3.2291 # DEPENDENCYPART_ARC
(9,29),-3.20283 # DEPENDENCYPART_ARC
(9,30),-4.44739 # DEPENDENCYPART_ARC
(9,31),-3.68235 # DEPENDENCYPART_ARC
(9,32),-3.07413 # DEPENDENCYPART_ARC
(10,1),-2.04123 # DEPENDENCYPART_ARC
(10,2),-2.43218 # DEPENDENCYPART_ARC
(10,3),-2.44096 # DEPENDENCYPART_ARC
(10,4),-1.7262 # DEPENDENCYPART_ARC
(10,5),0.498287 # DEPENDENCYPART_ARC
(10,6),-1.43132 # DEPENDENCYPART_ARC
(10,7),-0.781344 # DEPENDENCYPART_ARC
(10,8),-0.645941 # DEPENDENCYPART_ARC
(10,9),4.82018 # DEPENDENCYPART_ARC
(10,11),-0.600082 # DEPENDENCYPART_ARC
(10,12),-1.03187 # DEPENDENCYPART_ARC
(10,13),-1.45581 # DEPENDENCYPART_ARC
(10,14),-1.6424 # DEPENDENCYPART_ARC
(10,15),-2.10184 # DEPENDENCYPART_ARC
(10,16),-3.03522 # DEPENDENCYPART_ARC
(10,17),-1.25776 # DEPENDENCYPART_ARC
(10,18),-1.99873 # DEPENDENCYPART_ARC
(10,19),-2.42259 # DEPENDENCYPART_ARC
(10,20),-2.99235 # DEPENDENCYPART_ARC
(10,21),-4.83428 # DEPENDENCYPART_ARC
(10,22),-3.74053 # DEPENDENCYPART_ARC
(10,23),-2.98072 # DEPENDENCYPART_ARC
(10,24),-3.49177 # DEPENDENCYPART_ARC
(10,25),-6.49718 # DEPENDENCYPART_ARC
(10,26),-4.6457 # DEPENDENCYPART_ARC
(10,27),-7.46981 # DEPENDENCYPART_ARC
(10,28),-3.65131 # DEPENDENCYPART_ARC
(10,29),-3.40827 # DEPENDENCYPART_ARC
(10,30),-4.6364 # DEPENDENCYPART_ARC
(10,31),-3.64647 # DEPENDENCYPART_ARC
(10,32),-2.79885 # DEPENDENCYPART_ARC
(11,1),-0.477129 # DEPENDENCYPART_ARC
(11,2),-0.705196 # DEPENDENCYPART_ARC
(11,3),-0.0677204 # DEPENDENCYPART_ARC
(11,4),0.88511 # DEPENDENCYPART_ARC
(11,5),-0.363872 # DEPENDENCYPART_ARC
(11,6),1.22568 # DEPENDENCYPART_ARC
(11,7),0.835894 # DEPENDENCYPART_ARC
(11,8),1.41632 # DEPENDENCYPART_ARC
(11,9),1.8114 # DEPENDENCYPART_ARC
(11,10),3.24935 # DEPENDENCYPART_ARC
(11,12),2.60475 # DEPENDENCYPART_ARC
(11,13),1.61073 # DEPENDENCYPART_ARC
(11,14),1.18325 # DEPENDENCYPART_ARC
(11,15),-0.373433 # DEPENDENCYPART_ARC
(11,16),-1.06224 # DEPENDENCYPART_ARC
(11,17),0.235386 # DEPENDENCYPART_ARC
(11,18),0.122473 # DEPENDENCYPART_ARC
(11,19),-0.720048 # DEPENDENCYPART_ARC
(11,20),-0.945209 # DEPENDENCYPART_ARC
(11,21),-1.89933 # DEPENDENCYPART_ARC
(11,22),-2.03258 # DEPENDENCYPART_ARC
(11,23),-0.321338 # DEPENDENCYPART_ARC
(11,24),-2.1907 # DEPENDENCYPART_ARC
(11,25),-2.43988 # DEPENDENCYPART_ARC
(11,26),-2.62894 # DEPENDENCYPART_ARC
(11,27),-3.42837 # DEPENDENCYPART_ARC
(11,28),0.176399 # DEPENDENCYPART_ARC
(11,29),-0.329902 # DEPENDENCYPART_ARC
(11,30),-4.29772 # DEPENDENCYPART_ARC
(11,31),-2.66503 # DEPENDENCYPART_ARC
(11,32),5.23081 # DEPENDENCYPART_ARC
(12,1),-0.679879 # DEPENDENCYPART_ARC
(12,2),-0.0353335 # DEPENDENCYPART_ARC
(12,3),0.554537 # DEPENDENCYPART_ARC
(12,4),-0.230808 # DEPENDENCYPART_ARC
(12,5),0.0993405 # DEPENDENCYPART_ARC
(12,6),-0.199132 # DEPENDENCYPART_ARC
(12,7),-0.298861 # DEPENDENCYPART_ARC
(12,8),1.53535 # DEPENDENCYPART_ARC
(12,9),1.08362 # DEPENDENCYPART_ARC
(12,10),0.72478 # DEPENDENCYPART_ARC
(12,11),0.543723 # DEPENDENCYPART_ARC
(12,13),4.27155 # DEPENDENCYPART_ARC
(12,14),2.19667 # DEPENDENCYPART_ARC
(12,15),1.98741 # DEPENDENCYPART_ARC
(12,16),-0.0083187 # DEPENDENCYPART_ARC
(12,17),1.32284 # DEPENDENCYPART_ARC
(12,18),1.47607 # DEPENDENCYPART_ARC
(12,19),2.54113 # DEPENDENCYPART_ARC
(12,20),0.527574 # DEPENDENCYPART_ARC
(12,21),-0.509572 # DEPENDENCYPART_ARC
(12,22),-0.168393 # DEPENDENCYPART_ARC
(12,23),0.485847 # DEPENDENCYPART_ARC
(12,24),-0.395701 # DEPENDENCYPART_ARC
(12,25),-1.24158 # DEPENDENCYPART_ARC
(12,26),0.22108 # DEPENDENCYPART_ARC
(12,27),-1.75657 # DEPENDENCYPART_ARC
(12,28),1.75086 # DEPENDENCYPART_ARC
(12,29),1.64931 # DEPENDENCYPART_ARC
(12,30),-3.15403 # DEPENDENCYPART_ARC
(12,31),0.223474 # DEPENDENCYPART_ARC
(12,32),1.61392 # DEPENDENCYPART_ARC
(13,1),-1.64349 # DEPENDENCYPART_ARC
(13,2),-1.55348 # DEPENDENCYPART_ARC
(13,3),-0.898558 # DEPENDENCYPART_ARC
(13,4),-0.720374 # DEPENDENCYPART_ARC
(13,5),-0.124758 # DEPENDENCYPART_ARC
(13,6),-0.824228 # DEPENDENCYPART_ARC
(13,7),-0.908042 # DEPENDENCYPART_ARC
(13,8),-0.588716 # DEPENDENCYPART_ARC
(13,9),-0.755852 # DEPENDENCYPART_ARC
(13,10),-0.470018 # DEPENDENCYPART_ARC
(13,11),-0.246733 # DEPENDENCYPART_ARC
(13,12),0.435529 # DEPENDENCYPART_ARC
(13,14),0.551909 # DEPENDENCYPART_ARC
(13,15),0.416077 # DEPENDENCYPART_ARC
(13,16),-0.133971 # DEPENDENCYPART_ARC
(13,17),0.104254 # DEPENDENCYPART_ARC
(13,18),-0.346176 # DEPENDENCYPART_ARC
(13,19),0.158674 # DEPENDENCYPART_ARC
(13,20),-0.719747 # DEPENDENCYPART_ARC
(13,21),-0.935286 # DEPENDENCYPART_ARC
(13,22),-1.58876 # DEPENDENCYPART_ARC
(13,23),-0.858168 # DEPENDENCYPART_ARC
(13,24),-1.49687 # DEPENDENCYPART_ARC
(13,25),-1.95248 # DEPENDENCYPART_ARC
(13,26),-0.170582 # DEPENDENCYPART_ARC
(13,27),-2.5352 # DEPENDENCYPART_ARC
(13,28),-0.416557 # DEPENDENCYPART_ARC
(13,29),-1.54362 # DEPENDENCYPART_ARC
(13,30),-2.99847 # DEPENDENCYPART_ARC
(13,31),-2.55993 # DEPENDENCYPART_ARC
(13,32),0.102531 # DEPENDENCYPART_ARC
(14,1),-3.78372 # DEPENDENCYPART_ARC
(14,2),-3.54059 # DEPENDENCYPART_ARC
(14,3),-3.56805 # DEPENDENCYPART_ARC
(14,4),-3.45184 # DEPENDENCYPART_ARC
(14,5),-3.10772 # DEPENDENCYPART_ARC
(14,6),-3.59861 # DEPENDENCYPART_ARC
(14,7),-3.1112 # DEPENDENCYPART_ARC
(14,8),-2.96112 # DEPENDENCYPART_ARC
(14,9),-3.48343 # DEPENDENCYPART_ARC
(14,10),-3.27078 # DEPENDENCYPART_ARC
(14,11),-2.69419 # DEPENDENCYPART_ARC
(14,12),-2.46305 # DEPENDENCYPART_ARC
(14,13),-2.27889 # DEPENDENCYPART_ARC
(14,15),-0.958642 # DEPENDENCYPART_ARC
(14,16),-2.20716 # DEPENDENCYPART_ARC
(14,17),-1.46754 # DEPENDENCYPART_ARC
(14,18),-2.09584 # DEPENDENCYPART_ARC
(14,19),-2.24132 # DEPENDENCYPART_ARC
(14,20),-2.13315 # DEPENDENCYPART_ARC
(14,21),-2.85217 # DEPENDENCYPART_ARC
(14,22),-2.93729 # DEPENDENCYPART_ARC
(14,23),-2.32047 # DEPENDENCYPART_ARC
(14,24),-3.18674 # DEPENDENCYPART_ARC
(14,25),-3.30023 # DEPENDENCYPART_ARC
(14,26),-2.76933 # DEPENDENCYPART_ARC
(14,27),-3.42983 # DEPENDENCYPART_ARC
(14,28),-1.83748 # DEPENDENCYPART_ARC
(14,29),-3.03654 # DEPENDENCYPART_ARC
(14,30),-3.72835 # DEPENDENCYPART_ARC
(14,31),-3.58325 # DEPENDENCYPART_ARC
(14,32),-2.95213 # DEPENDENCYPART_ARC
(15,1),-4.05694 # DEPENDENCYPART_ARC
(15,2),-2.20258 # DEPENDENCYPART_ARC
(15,3),-1.75456 # DEPENDENCYPART_ARC
(15,4),-1.20055 # DEPENDENCYPART_ARC
(15,5),-1.24839 # DEPENDENCYPART_ARC
(15,6),-2.35454 # DEPENDENCYPART_ARC
(15,7),-1.33716 # DEPENDENCYPART_ARC
(15,8),-1.05543 # DEPENDENCYPART_ARC
(15,9),-0.589819 # DEPENDENCYPART_ARC
(15,10),-1.35999 # DEPENDENCYPART_ARC
(15,11),-0.782447 # DEPENDENCYPART_ARC
(15,12),0.00622587 # DEPENDENCYPART_ARC
(15,13),-0.058133 # DEPENDENCYPART_ARC
(15,14),0.412101 # DEPENDENCYPART_ARC
(15,16),0.388058 # DEPENDENCYPART_ARC
(15,17),3.56261 # DEPENDENCYPART_ARC
(15,18),1.4134 # DEPENDENCYPART_ARC
(15,19),0.746295 # DEPENDENCYPART_ARC
(15,20),0.672687 # DEPENDENCYPART_ARC
(15,21),0.4976 # DEPENDENCYPART_ARC
(15,22),0.665598 # DEPENDENCYPART_ARC
(15,23),0.495072 # DEPENDENCYPART_ARC
(15,24),-0.453254 # DEPENDENCYPART_ARC
(15,25),-0.216083 # DEPENDENCYPART_ARC
(15,26),-0.928323 # DEPENDENCYPART_ARC
(15,27),-0.304162 # DEPENDENCYPART_ARC
(15,28),1.0104 # DEPENDENCYPART_ARC
(15,29),0.211558 # DEPENDENCYPART_ARC
(15,30),-0.804184 # DEPENDENCYPART_ARC
(15,31),-0.168048 # DEPENDENCYPART_ARC
(15,32),0.84814 # DEPENDENCYPART_ARC
(16,1),-2.64377 # DEPENDENCYPART_ARC
(16,2),-2.29765 # DEPENDENCYPART_ARC
(16,3),-1.9005 # DEPENDENCYPART_ARC
(16,4),-1.82747 # DEPENDENCYPART_ARC
(16,5),-1.90252 # DEPENDENCYPART_ARC
(16,6),-1.97735 # DEPENDENCYPART_ARC
(16,7),-1.7383 # DEPENDENCYPART_ARC
(16,8),-1.39644 # DEPENDENCYPART_ARC
(16,9),-1.53096 # DEPENDENCYPART_ARC
(16,10),-1.41469 # DEPENDENCYPART_ARC
