# _root_ But analysts , while applauding the acquisition , say Applied 's chief executive faces a tough challenge in integrating the two companies .
#goldHeads=9,9,9,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
#predictedHeads=9,9,9,14,4,7,5,9,0,13,10,13,14,9,17,17,14,14,18,22,22,19,9,
(6,4),-0.836967 # DEPENDENCYPART_ARC
(6,5),-0.409113 # DEPENDENCYPART_ARC
(6,7),-0.448659 # DEPENDENCYPART_ARC
(6,8),-1.65453 # DEPENDENCYPART_ARC
(6,9),-1.12554 # DEPENDENCYPART_ARC
(6,10),-2.00394 # DEPENDENCYPART_ARC
(6,11),-2.47389 # DEPENDENCYPART_ARC
(6,12),-2.22627 # DEPENDENCYPART_ARC
(6,13),-2.27904 # DEPENDENCYPART_ARC
(6,14),-1.73165 # DEPENDENCYPART_ARC
(6,15),-3.1041 # DEPENDENCYPART_ARC
(6,16),-2.74755 # DEPENDENCYPART_ARC
(6,17),-2.89027 # DEPENDENCYPART_ARC
(6,18),-3.46784 # DEPENDENCYPART_ARC
(6,19),-2.94464 # DEPENDENCYPART_ARC
(6,20),-3.86586 # DEPENDENCYPART_ARC
(6,21),-3.7237 # DEPENDENCYPART_ARC
(6,22),-3.18285 # DEPENDENCYPART_ARC
(6,23),-2.75091 # DEPENDENCYPART_ARC
(7,1),-1.83928 # DEPENDENCYPART_ARC
(7,2),-0.914232 # DEPENDENCYPART_ARC
(7,3),-0.795099 # DEPENDENCYPART_ARC
(7,4),0.43142 # DEPENDENCYPART_ARC
(7,5),1.36891 # DEPENDENCYPART_ARC
(7,6),4.79791 # DEPENDENCYPART_ARC
(7,8),1.21441 # DEPENDENCYPART_ARC
(7,9),0.786916 # DEPENDENCYPART_ARC
(7,10),0.169848 # DEPENDENCYPART_ARC
(7,11),0.601762 # DEPENDENCYPART_ARC
(7,12),0.0750136 # DEPENDENCYPART_ARC
(7,13),0.312723 # DEPENDENCYPART_ARC
(7,14),-0.0379346 # DEPENDENCYPART_ARC
(7,15),-0.863843 # DEPENDENCYPART_ARC
(7,16),-0.525625 # DEPENDENCYPART_ARC
(7,17),-0.35327 # DEPENDENCYPART_ARC
(7,18),-1.04925 # DEPENDENCYPART_ARC
(7,19),-0.989851 # DEPENDENCYPART_ARC
(7,20),-1.55531 # DEPENDENCYPART_ARC
(7,21),-1.34831 # DEPENDENCYPART_ARC
(7,22),-1.69697 # DEPENDENCYPART_ARC
(7,23),-0.0328362 # DEPENDENCYPART_ARC
(8,1),-2.06567 # DEPENDENCYPART_ARC
(8,2),-1.63448 # DEPENDENCYPART_ARC
(8,3),-0.394062 # DEPENDENCYPART_ARC
(8,4),-1.42442 # DEPENDENCYPART_ARC
(8,5),-0.869455 # DEPENDENCYPART_ARC
(8,6),-0.676714 # DEPENDENCYPART_ARC
(8,7),-1.01984 # DEPENDENCYPART_ARC
(8,9),-0.0668491 # DEPENDENCYPART_ARC
(8,10),-1.09939 # DEPENDENCYPART_ARC
(8,11),-1.62641 # DEPENDENCYPART_ARC
(8,12),-1.89242 # DEPENDENCYPART_ARC
(8,13),-2.21682 # DEPENDENCYPART_ARC
(8,14),-1.75848 # DEPENDENCYPART_ARC
(8,15),-2.31361 # DEPENDENCYPART_ARC
(8,16),-2.5515 # DEPENDENCYPART_ARC
(8,17),-3.01651 # DEPENDENCYPART_ARC
(8,18),-2.24877 # DEPENDENCYPART_ARC
(8,19),-2.32242 # DEPENDENCYPART_ARC
(8,20),-2.93059 # DEPENDENCYPART_ARC
(8,21),-3.31708 # DEPENDENCYPART_ARC
(8,22),-3.3863 # DEPENDENCYPART_ARC
(8,23),-2.39905 # DEPENDENCYPART_ARC
(9,1),1.96272 # DEPENDENCYPART_ARC
(9,2),1.88009 # DEPENDENCYPART_ARC
(9,3),2.35484 # DEPENDENCYPART_ARC
(9,4),2.11978 # DEPENDENCYPART_ARC
(9,5),0.923613 # DEPENDENCYPART_ARC
(9,6),0.914404 # DEPENDENCYPART_ARC
(9,7),0.575983 # DEPENDENCYPART_ARC
(9,8),2.95127 # DEPENDENCYPART_ARC
(9,10),1.8057 # DEPENDENCYPART_ARC
(9,11),1.65791 # DEPENDENCYPART_ARC
(9,12),0.621706 # DEPENDENCYPART_ARC
(9,13),0.418994 # DEPENDENCYPART_ARC
(9,14),3.13239 # DEPENDENCYPART_ARC
(9,15),-0.116384 # DEPENDENCYPART_ARC
(9,16),-0.194563 # DEPENDENCYPART_ARC
(9,17),-0.700515 # DEPENDENCYPART_ARC
(9,18),0.106935 # DEPENDENCYPART_ARC
(9,19),0.437454 # DEPENDENCYPART_ARC
(9,20),-1.11529 # DEPENDENCYPART_ARC
(9,21),-0.292542 # DEPENDENCYPART_ARC
(9,22),-1.03044 # DEPENDENCYPART_ARC
(9,23),7.9304 # DEPENDENCYPART_ARC
(10,1),-2.87539 # DEPENDENCYPART_ARC
(10,2),-2.37744 # DEPENDENCYPART_ARC
(10,3),-2.40077 # DEPENDENCYPART_ARC
(10,4),-1.44952 # DEPENDENCYPART_ARC
(10,5),-0.693599 # DEPENDENCYPART_ARC
(10,6),1.29569 # DEPENDENCYPART_ARC
(10,7),-0.774822 # DEPENDENCYPART_ARC
(10,8),0.0904224 # DEPENDENCYPART_ARC
(10,9),0.388295 # DEPENDENCYPART_ARC
(10,11),4.69803 # DEPENDENCYPART_ARC
(10,12),1.59795 # DEPENDENCYPART_ARC
(10,13),0.732176 # DEPENDENCYPART_ARC
(10,14),0.422727 # DEPENDENCYPART_ARC
(10,15),-0.160097 # DEPENDENCYPART_ARC
(10,16),0.181871 # DEPENDENCYPART_ARC
(10,17),-0.833968 # DEPENDENCYPART_ARC
(10,18),0.145006 # DEPENDENCYPART_ARC
(10,19),-0.419824 # DEPENDENCYPART_ARC
(10,20),-0.469833 # DEPENDENCYPART_ARC
(10,21),-1.21459 # DEPENDENCYPART_ARC
(10,22),-1.30503 # DEPENDENCYPART_ARC
(10,23),0.219752 # DEPENDENCYPART_ARC
(11,1),-1.51453 # DEPENDENCYPART_ARC
(11,2),-1.34869 # DEPENDENCYPART_ARC
(11,3),-0.95027 # DEPENDENCYPART_ARC
(11,4),-1.26464 # DEPENDENCYPART_ARC
(11,5),-0.618898 # DEPENDENCYPART_ARC
(11,6),0.28671 # DEPENDENCYPART_ARC
(11,7),-0.867837 # DEPENDENCYPART_ARC
(11,8),-0.000527964 # DEPENDENCYPART_ARC
(11,9),0.0529947 # DEPENDENCYPART_ARC
(11,10),1.19047 # DEPENDENCYPART_ARC
(11,12),0.117391 # DEPENDENCYPART_ARC
(11,13),-0.76393 # DEPENDENCYPART_ARC
(11,14),-0.557485 # DEPENDENCYPART_ARC
(11,15),-1.31937 # DEPENDENCYPART_ARC
(11,16),-1.48072 # DEPENDENCYPART_ARC
(11,17),-1.8892 # DEPENDENCYPART_ARC
(11,18),-1.45924 # DEPENDENCYPART_ARC
(11,19),-1.7746 # DEPENDENCYPART_ARC
(11,20),-1.76593 # DEPENDENCYPART_ARC
(11,21),-2.42864 # DEPENDENCYPART_ARC
(11,22),-3.07694 # DEPENDENCYPART_ARC
(11,23),-1.54204 # DEPENDENCYPART_ARC
(12,1),-2.94484 # DEPENDENCYPART_ARC
(12,2),-2.11594 # DEPENDENCYPART_ARC
(12,3),-1.52012 # DEPENDENCYPART_ARC
(12,4),-1.49878 # DEPENDENCYPART_ARC
(12,5),-1.58592 # DEPENDENCYPART_ARC
(12,6),-0.329418 # DEPENDENCYPART_ARC
(12,7),-1.0261 # DEPENDENCYPART_ARC
(12,8),-0.648933 # DEPENDENCYPART_ARC
(12,9),-1.1204 # DEPENDENCYPART_ARC
(12,10),0.25248 # DEPENDENCYPART_ARC
(12,11),0.404356 # DEPENDENCYPART_ARC
(12,13),1.04664 # DEPENDENCYPART_ARC
(12,14),0.588973 # DEPENDENCYPART_ARC
(12,15),-0.914782 # DEPENDENCYPART_ARC
(12,16),-0.60171 # DEPENDENCYPART_ARC
(12,17),-0.580242 # DEPENDENCYPART_ARC
(12,18),-0.971755 # DEPENDENCYPART_ARC
(12,19),-1.09071 # DEPENDENCYPART_ARC
(12,20),-1.9441 # DEPENDENCYPART_ARC
(12,21),-1.92636 # DEPENDENCYPART_ARC
(12,22),-0.666253 # DEPENDENCYPART_ARC
(12,23),-0.12648 # DEPENDENCYPART_ARC
(13,1),-2.0003 # DEPENDENCYPART_ARC
(13,2),-0.952866 # DEPENDENCYPART_ARC
(13,3),-1.08875 # DEPENDENCYPART_ARC
(13,4),-0.413373 # DEPENDENCYPART_ARC
(13,5),0.684232 # DEPENDENCYPART_ARC
(13,6),1.17174 # DEPENDENCYPART_ARC
(13,7),0.330133 # DEPENDENCYPART_ARC
(13,8),0.487603 # DEPENDENCYPART_ARC
(13,9),0.0203837 # DEPENDENCYPART_ARC
(13,10),4.07649 # DEPENDENCYPART_ARC
(13,11),1.88236 # DEPENDENCYPART_ARC
(13,12),4.73463 # DEPENDENCYPART_ARC
(13,14),1.13361 # DEPENDENCYPART_ARC
(13,15),0.222626 # DEPENDENCYPART_ARC
(13,16),0.277862 # DEPENDENCYPART_ARC
(13,17),0.370144 # DEPENDENCYPART_ARC
(13,18),0.177785 # DEPENDENCYPART_ARC
(13,19),0.302018 # DEPENDENCYPART_ARC
(13,20),-0.579814 # DEPENDENCYPART_ARC
(13,21),-0.512774 # DEPENDENCYPART_ARC
(13,22),-0.447985 # DEPENDENCYPART_ARC
(13,23),0.396314 # DEPENDENCYPART_ARC
(14,1),0.944873 # DEPENDENCYPART_ARC
(14,2),-0.804291 # DEPENDENCYPART_ARC
(14,3),1.24453 # DEPENDENCYPART_ARC
(14,4),2.36221 # DEPENDENCYPART_ARC
(14,5),1.71014 # DEPENDENCYPART_ARC
(14,6),-0.449964 # DEPENDENCYPART_ARC
(14,7),0.267956 # DEPENDENCYPART_ARC
(14,8),1.91104 # DEPENDENCYPART_ARC
(14,9),0.261381 # DEPENDENCYPART_ARC
(14,10),1.42554 # DEPENDENCYPART_ARC
(14,11),0.844253 # DEPENDENCYPART_ARC
(14,12),0.982192 # DEPENDENCYPART_ARC
(14,13),2.4437 # DEPENDENCYPART_ARC
(14,15),1.23642 # DEPENDENCYPART_ARC
(14,16),1.501 # DEPENDENCYPART_ARC
(14,17),3.03796 # DEPENDENCYPART_ARC
(14,18),2.63881 # DEPENDENCYPART_ARC
(14,19),1.04302 # DEPENDENCYPART_ARC
(14,20),-0.398363 # DEPENDENCYPART_ARC
(14,21),-0.32347 # DEPENDENCYPART_ARC
(14,22),1.4056 # DEPENDENCYPART_ARC
(14,23),4.38584 # DEPENDENCYPART_ARC
(15,1),-3.26282 # DEPENDENCYPART_ARC
(15,2),-2.80286 # DEPENDENCYPART_ARC
(15,3),-2.45018 # DEPENDENCYPART_ARC
(15,4),-1.87135 # DEPENDENCYPART_ARC
(15,5),-2.18628 # DEPENDENCYPART_ARC
(15,6),-1.11823 # DEPENDENCYPART_ARC
(15,7),-2.43932 # DEPENDENCYPART_ARC
(15,8),-1.91179 # DEPENDENCYPART_ARC
(15,9),-1.97541 # DEPENDENCYPART_ARC
(15,10),-1.73035 # DEPENDENCYPART_ARC
(15,11),-1.38987 # DEPENDENCYPART_ARC
(15,12),-0.947879 # DEPENDENCYPART_ARC
(15,13),-1.28331 # DEPENDENCYPART_ARC
(15,14),-0.456879 # DEPENDENCYPART_ARC
(15,16),0.69377 # DEPENDENCYPART_ARC
(15,17),0.263737 # DEPENDENCYPART_ARC
(15,18),-0.277275 # DEPENDENCYPART_ARC
(15,19),-0.25766 # DEPENDENCYPART_ARC
(15,20),-1.31227 # DEPENDENCYPART_ARC
(15,21),-0.533931 # DEPENDENCYPART_ARC
(15,22),-0.727759 # DEPENDENCYPART_ARC
(15,23),-0.349759 # DEPENDENCYPART_ARC
(16,1),-3.37932 # DEPENDENCYPART_ARC
(16,2),-2.59071 # DEPENDENCYPART_ARC
(16,3),-1.86086 # DEPENDENCYPART_ARC
(16,4),-1.91078 # DEPENDENCYPART_ARC
(16,5),-2.04702 # DEPENDENCYPART_ARC
(16,6),-0.788861 # DEPENDENCYPART_ARC
(16,7),-1.56002 # DEPENDENCYPART_ARC
(16,8),-1.45017 # DEPENDENCYPART_ARC
(16,9),-1.80353 # DEPENDENCYPART_ARC
(16,10),-1.14335 # DEPENDENCYPART_ARC
(16,11),-1.02911 # DEPENDENCYPART_ARC
(16,12),0.156579 # DEPENDENCYPART_ARC
(16,13),-0.273443 # DEPENDENCYPART_ARC
(16,14),-0.492157 # DEPENDENCYPART_ARC
(16,15),2.11116 # DEPENDENCYPART_ARC
(16,17),1.32985 # DEPENDENCYPART_ARC
(16,18),-0.172196 # DEPENDENCYPART_ARC
(16,19),-0.0708181 # DEPENDENCYPART_ARC
(16,20),-1.0153 # DEPENDENCYPART_ARC
(16,21),-0.484077 # DEPENDENCYPART_ARC
(16,22),-0.201278 # DEPENDENCYPART_ARC
(16,23),-0.00252886 # DEPENDENCYPART_ARC
(17,1),-2.97324 # DEPENDENCYPART_ARC
(17,2),-2.40655 # DEPENDENCYPART_ARC
(17,3),-3.38104 # DEPENDENCYPART_ARC
(17,4),-1.71109 # DEPENDENCYPART_ARC
(17,5),-0.754622 # DEPENDENCYPART_ARC
(17,6),-1.91295 # DEPENDENCYPART_ARC
(17,7),-1.47886 # DEPENDENCYPART_ARC
(17,8),-1.67392 # DEPENDENCYPART_ARC
(17,9),-1.47486 # DEPENDENCYPART_ARC
(17,10),0.626458 # DEPENDENCYPART_ARC
(17,11),-0.361225 # DEPENDENCYPART_ARC
(17,12),1.51511 # DEPENDENCYPART_ARC
(17,13),0.0895012 # DEPENDENCYPART_ARC
(17,14),-0.353982 # DEPENDENCYPART_ARC
(17,15),4.58913 # DEPENDENCYPART_ARC
(17,16),4.24487 # DEPENDENCYPART_ARC
(17,18),2.47753 # DEPENDENCYPART_ARC
(17,19),1.79473 # DEPENDENCYPART_ARC
(17,20),0.435243 # DEPENDENCYPART_ARC
(17,21),0.950722 # DEPENDENCYPART_ARC
(17,22),0.683457 # DEPENDENCYPART_ARC
(17,23),1.25103 # DEPENDENCYPART_ARC
(18,1),-3.16151 # DEPENDENCYPART_ARC
(18,2),-1.83804 # DEPENDENCYPART_ARC
(18,3),-2.41511 # DEPENDENCYPART_ARC
(18,4),-1.5701 # DEPENDENCYPART_ARC
(18,5),-2.33977 # DEPENDENCYPART_ARC
(18,6),-1.69274 # DEPENDENCYPART_ARC
(18,7),-2.26479 # DEPENDENCYPART_ARC
(18,8),-1.69824 # DEPENDENCYPART_ARC
(18,9),-1.66343 # DEPENDENCYPART_ARC
(18,10),-1.48923 # DEPENDENCYPART_ARC
(18,11),-0.87164 # DEPENDENCYPART_ARC
(18,12),-1.0272 # DEPENDENCYPART_ARC
(18,13),-1.22802 # DEPENDENCYPART_ARC
(18,14),-0.800849 # DEPENDENCYPART_ARC
(18,15),-0.0293186 # DEPENDENCYPART_ARC
(18,16),-0.611754 # DEPENDENCYPART_ARC
(18,17),0.102714 # DEPENDENCYPART_ARC
(18,19),4.03005 # DEPENDENCYPART_ARC
(18,20),-0.384073 # DEPENDENCYPART_ARC
(18,21),-0.242949 # DEPENDENCYPART_ARC
(18,22),1.31805 # DEPENDENCYPART_ARC
(18,23),-0.358175 # DEPENDENCYPART_ARC
(19,1),-3.65548 # DEPENDENCYPART_ARC
(19,2),-2.39212 # DEPENDENCYPART_ARC
(19,3),-2.23924 # DEPENDENCYPART_ARC
(19,4),-2.89817 # DEPENDENCYPART_ARC
(19,5),-2.29769 # DEPENDENCYPART_ARC
(19,6),-1.68958 # DEPENDENCYPART_ARC
(19,7),-2.49265 # DEPENDENCYPART_ARC
(19,8),-1.88312 # DEPENDENCYPART_ARC
(19,9),-1.72262 # DEPENDENCYPART_ARC
(19,10),-1.13121 # DEPENDENCYPART_ARC
(19,11),-1.45079 # DEPENDENCYPART_ARC
(19,12),-1.69151 # DEPENDENCYPART_ARC
(19,13),-1.58437 # DEPENDENCYPART_ARC
(19,14),-1.52638 # DEPENDENCYPART_ARC
(19,15),-0.658648 # DEPENDENCYPART_ARC
(19,16),-0.821142 # DEPENDENCYPART_ARC
(19,17),-0.54383 # DEPENDENCYPART_ARC
(19,18),0.289385 # DEPENDENCYPART_ARC
(19,20),1.20301 # DEPENDENCYPART_ARC
(19,21),1.45363 # DEPENDENCYPART_ARC
(19,22),2.68826 # DEPENDENCYPART_ARC
(19,23),0.496846 # DEPENDENCYPART_ARC
(20,1),-3.4217 # DEPENDENCYPART_ARC
(20,2),-3.04706 # DEPENDENCYPART_ARC
(20,3),-2.61888 # DEPENDENCYPART_ARC
(20,4),-2.38017 # DEPENDENCYPART_ARC
(20,5),-2.55315 # DEPENDENCYPART_ARC
(20,6),-2.03009 # DEPENDENCYPART_ARC
(20,7),-2.80075 # DEPENDENCYPART_ARC
(20,8),-2.12259 # DEPENDENCYPART_ARC
(20,9),-2.1716 # DEPENDENCYPART_ARC
(20,10),-2.02364 # DEPENDENCYPART_ARC
(20,11),-1.90598 # DEPENDENCYPART_ARC
(20,12),-1.76343 # DEPENDENCYPART_ARC
(20,13),-2.01126 # DEPENDENCYPART_ARC
(20,14),-1.60454 # DEPENDENCYPART_ARC
(20,15),-0.650903 # DEPENDENCYPART_ARC
(20,16),-1.01323 # DEPENDENCYPART_ARC
(20,17),-1.02581 # DEPENDENCYPART_ARC
(20,18),-0.390742 # DEPENDENCYPART_ARC
(20,19),0.166356 # DEPENDENCYPART_ARC
(20,21),1.05893 # DEPENDENCYPART_ARC
(20,22),-0.4601 # DEPENDENCYPART_ARC
(20,23),-0.666944 # DEPENDENCYPART_ARC
(21,1),-3.84204 # DEPENDENCYPART_ARC
(21,2),-3.38167 # DEPENDENCYPART_ARC
(21,3),-3.38204 # DEPENDENCYPART_ARC
(21,4),-3.52669 # DEPENDENCYPART_ARC
(21,5),-2.60917 # DEPENDENCYPART_ARC
(21,6),-1.25861 # DEPENDENCYPART_ARC
(21,7),-3.30514 # DEPENDENCYPART_ARC
(21,8),-2.70263 # DEPENDENCYPART_ARC
(21,9),-2.48681 # DEPENDENCYPART_ARC
(21,10),-2.21658 # DEPENDENCYPART_ARC
(21,11),-2.36316 # DEPENDENCYPART_ARC
(21,12),-1.51615 # DEPENDENCYPART_ARC
(21,13),-2.36256 # DEPENDENCYPART_ARC
(21,14),-2.01318 # DEPENDENCYPART_ARC
(21,15),-0.640131 # DEPENDENCYPART_ARC
(21,16),-0.672495 # DEPENDENCYPART_ARC
(21,17),-1.39609 # DEPENDENCYPART_ARC
(21,18),-1.118 # DEPENDENCYPART_ARC
(21,19),-0.285993 # DEPENDENCYPART_ARC
(21,20),2.17944 # DEPENDENCYPART_ARC
(21,22),0.466007 # DEPENDENCYPART_ARC
(21,23),-0.756152 # DEPENDENCYPART_ARC
(22,1),-2.26169 # DEPENDENCYPART_ARC
(22,2),-3.16458 # DEPENDENCYPART_ARC
(22,3),-1.81034 # DEPENDENCYPART_ARC
(22,4),-1.76576 # DEPENDENCYPART_ARC
(22,5),-1.52025 # DEPENDENCYPART_ARC
(22,6),-3.74887 # DEPENDENCYPART_ARC
(22,7),-2.4217 # DEPENDENCYPART_ARC
(22,8),-1.29455 # DEPENDENCYPART_ARC
(22,9),-1.74821 # DEPENDENCYPART_ARC
(22,10),-0.27321 # DEPENDENCYPART_ARC
(22,11),-0.964741 # DEPENDENCYPART_ARC
(22,12),-0.778352 # DEPENDENCYPART_ARC
(22,13),-1.77873 # DEPENDENCYPART_ARC
(22,14),-0.703076 # DEPENDENCYPART_ARC
(22,15),0.257462 # DEPENDENCYPART_ARC
(22,16),0.382238 # DEPENDENCYPART_ARC
(22,17),-0.938868 # DEPENDENCYPART_ARC
(22,18),-0.180212 # DEPENDENCYPART_ARC
(22,19),1.29327 # DEPENDENCYPART_ARC
(22,20),4.67201 # DEPENDENCYPART_ARC
(22,21),4.66071 # DEPENDENCYPART_ARC
(22,23),0.439302 # DEPENDENCYPART_ARC
(23,1),-2.09998 # DEPENDENCYPART_ARC
(23,2),-2.52366 # DEPENDENCYPART_ARC
(23,3),-1.04013 # DEPENDENCYPART_ARC
(23,4),-2.9726 # DEPENDENCYPART_ARC
