# _root_ In the year-earlier quarter , Morgan earned $ 233.6 million , or $ 1.25 a share .
#goldHeads=7,4,4,1,7,7,0,7,8,8,8,8,12,13,16,13,7,
#predictedHeads=7,4,4,1,7,7,0,7,8,8,8,8,12,13,16,13,7,
(9,4),-2.70983 # DEPENDENCYPART_ARC
(9,5),-2.01111 # DEPENDENCYPART_ARC
(9,6),-1.57356 # DEPENDENCYPART_ARC
(9,7),-1.47649 # DEPENDENCYPART_ARC
(9,8),-0.665423 # DEPENDENCYPART_ARC
(9,10),1.56822 # DEPENDENCYPART_ARC
(9,11),-0.472861 # DEPENDENCYPART_ARC
(9,12),0.0956986 # DEPENDENCYPART_ARC
(9,13),-0.96596 # DEPENDENCYPART_ARC
(9,14),-0.88539 # DEPENDENCYPART_ARC
(9,15),-1.3286 # DEPENDENCYPART_ARC
(9,16),-1.66698 # DEPENDENCYPART_ARC
(9,17),-0.622941 # DEPENDENCYPART_ARC
(10,1),-2.29485 # DEPENDENCYPART_ARC
(10,2),0.102666 # DEPENDENCYPART_ARC
(10,3),-0.420015 # DEPENDENCYPART_ARC
(10,4),-1.69548 # DEPENDENCYPART_ARC
(10,5),-0.561415 # DEPENDENCYPART_ARC
(10,6),-0.27247 # DEPENDENCYPART_ARC
(10,7),-0.316033 # DEPENDENCYPART_ARC
(10,8),0.437922 # DEPENDENCYPART_ARC
(10,9),1.90712 # DEPENDENCYPART_ARC
(10,11),0.31919 # DEPENDENCYPART_ARC
(10,12),0.468484 # DEPENDENCYPART_ARC
(10,13),-0.344768 # DEPENDENCYPART_ARC
(10,14),-0.725859 # DEPENDENCYPART_ARC
(10,15),-1.29092 # DEPENDENCYPART_ARC
(10,16),-0.75819 # DEPENDENCYPART_ARC
(10,17),-0.356304 # DEPENDENCYPART_ARC
(11,1),-1.78327 # DEPENDENCYPART_ARC
(11,2),-1.34957 # DEPENDENCYPART_ARC
(11,3),-1.71533 # DEPENDENCYPART_ARC
(11,4),-1.43041 # DEPENDENCYPART_ARC
(11,5),-0.126095 # DEPENDENCYPART_ARC
(11,6),-1.72782 # DEPENDENCYPART_ARC
(11,7),-1.26882 # DEPENDENCYPART_ARC
(11,8),-0.564697 # DEPENDENCYPART_ARC
(11,9),-0.961263 # DEPENDENCYPART_ARC
(11,10),-0.278557 # DEPENDENCYPART_ARC
(11,12),0.127921 # DEPENDENCYPART_ARC
(11,13),-0.569253 # DEPENDENCYPART_ARC
(11,14),-0.899921 # DEPENDENCYPART_ARC
(11,15),-1.19997 # DEPENDENCYPART_ARC
(11,16),-1.40806 # DEPENDENCYPART_ARC
(11,17),-0.741038 # DEPENDENCYPART_ARC
(12,1),-1.74621 # DEPENDENCYPART_ARC
(12,2),-1.51183 # DEPENDENCYPART_ARC
(12,3),-1.73254 # DEPENDENCYPART_ARC
(12,4),-1.59637 # DEPENDENCYPART_ARC
(12,5),-1.8441 # DEPENDENCYPART_ARC
(12,6),-0.747288 # DEPENDENCYPART_ARC
(12,7),-0.732943 # DEPENDENCYPART_ARC
(12,8),-0.904723 # DEPENDENCYPART_ARC
(12,9),-0.763394 # DEPENDENCYPART_ARC
(12,10),-0.855246 # DEPENDENCYPART_ARC
(12,11),-0.418139 # DEPENDENCYPART_ARC
(12,13),3.01516 # DEPENDENCYPART_ARC
(12,14),1.5169 # DEPENDENCYPART_ARC
(12,15),0.239367 # DEPENDENCYPART_ARC
(12,16),0.653081 # DEPENDENCYPART_ARC
(12,17),0.0759516 # DEPENDENCYPART_ARC
(13,1),-2.74643 # DEPENDENCYPART_ARC
(13,2),-1.17429 # DEPENDENCYPART_ARC
(13,3),-1.99483 # DEPENDENCYPART_ARC
(13,4),-2.18337 # DEPENDENCYPART_ARC
(13,5),-1.93834 # DEPENDENCYPART_ARC
(13,6),-2.06198 # DEPENDENCYPART_ARC
(13,7),-1.55495 # DEPENDENCYPART_ARC
(13,8),-0.490523 # DEPENDENCYPART_ARC
(13,9),-0.836497 # DEPENDENCYPART_ARC
(13,10),-0.523506 # DEPENDENCYPART_ARC
(13,11),0.022073 # DEPENDENCYPART_ARC
(13,12),0.591355 # DEPENDENCYPART_ARC
(13,14),4.28244 # DEPENDENCYPART_ARC
(13,15),1.17506 # DEPENDENCYPART_ARC
(13,16),2.33304 # DEPENDENCYPART_ARC
(13,17),-0.571835 # DEPENDENCYPART_ARC
(14,1),-2.951 # DEPENDENCYPART_ARC
(14,2),-1.40371 # DEPENDENCYPART_ARC
(14,3),-1.47644 # DEPENDENCYPART_ARC
(14,4),-2.46116 # DEPENDENCYPART_ARC
(14,5),-1.05855 # DEPENDENCYPART_ARC
(14,6),-1.62471 # DEPENDENCYPART_ARC
(14,7),-1.54376 # DEPENDENCYPART_ARC
(14,8),-1.64616 # DEPENDENCYPART_ARC
(14,9),0.0961488 # DEPENDENCYPART_ARC
(14,10),-0.263047 # DEPENDENCYPART_ARC
(14,11),0.248577 # DEPENDENCYPART_ARC
(14,12),0.228102 # DEPENDENCYPART_ARC
(14,13),0.622345 # DEPENDENCYPART_ARC
(14,15),0.749844 # DEPENDENCYPART_ARC
(14,16),0.724852 # DEPENDENCYPART_ARC
(14,17),0.093078 # DEPENDENCYPART_ARC
(15,1),-2.30002 # DEPENDENCYPART_ARC
(15,2),-1.59637 # DEPENDENCYPART_ARC
(15,3),-2.43084 # DEPENDENCYPART_ARC
(15,4),-2.71727 # DEPENDENCYPART_ARC
(15,5),-2.10832 # DEPENDENCYPART_ARC
(15,6),-2.17924 # DEPENDENCYPART_ARC
(15,7),-1.93625 # DEPENDENCYPART_ARC
(15,8),-1.58584 # DEPENDENCYPART_ARC
(15,9),-1.59656 # DEPENDENCYPART_ARC
(15,10),-1.34329 # DEPENDENCYPART_ARC
(15,11),-1.15424 # DEPENDENCYPART_ARC
(15,12),-1.42084 # DEPENDENCYPART_ARC
(15,13),-0.328808 # DEPENDENCYPART_ARC
(15,14),-0.0144083 # DEPENDENCYPART_ARC
(15,16),0.490185 # DEPENDENCYPART_ARC
(15,17),-1.26768 # DEPENDENCYPART_ARC
(16,1),-1.96314 # DEPENDENCYPART_ARC
(16,2),-0.0224201 # DEPENDENCYPART_ARC
(16,3),-0.781482 # DEPENDENCYPART_ARC
(16,4),-2.77481 # DEPENDENCYPART_ARC
(16,5),-0.702061 # DEPENDENCYPART_ARC
(16,6),-1.93254 # DEPENDENCYPART_ARC
(16,7),-0.605204 # DEPENDENCYPART_ARC
(16,8),-0.713699 # DEPENDENCYPART_ARC
(16,9),-0.84241 # DEPENDENCYPART_ARC
(16,10),-1.44021 # DEPENDENCYPART_ARC
(16,11),0.0251034 # DEPENDENCYPART_ARC
(16,12),0.213112 # DEPENDENCYPART_ARC
(16,13),0.593131 # DEPENDENCYPART_ARC
(16,14),0.762433 # DEPENDENCYPART_ARC
(16,15),5.27911 # DEPENDENCYPART_ARC
(16,17),-0.962976 # DEPENDENCYPART_ARC
(17,1),-2.81177 # DEPENDENCYPART_ARC
(17,2),-1.88494 # DEPENDENCYPART_ARC
(17,3),-2.23818 # DEPENDENCYPART_ARC
(17,4),-2.34325 # DEPENDENCYPART_ARC
(17,5),-1.13012 # DEPENDENCYPART_ARC
(17,6),-1.96938 # DEPENDENCYPART_ARC
(17,7),-1.21616 # DEPENDENCYPART_ARC
(17,8),-1.91084 # DEPENDENCYPART_ARC
(17,9),-1.7325 # DEPENDENCYPART_ARC
(17,10),-1.59792 # DEPENDENCYPART_ARC
(17,11),-0.305337 # DEPENDENCYPART_ARC
(17,12),-1.3089 # DEPENDENCYPART_ARC
(17,13),-1.12506 # DEPENDENCYPART_ARC
(17,14),-1.00875 # DEPENDENCYPART_ARC
(17,15),-0.694584 # DEPENDENCYPART_ARC
(17,16),-1.79557 # DEPENDENCYPART_ARC
